Facility Name,Address,Phone Number,Capacity,City,Zip Code,State,Date Accessed,State Facility Type 1 Literal,State Facility Type 2 Literal,County,Licensee,License Number,Facility ID
Cumberland Village Assisted Living,1124 CEDAR CREEK ROAD,(910)323-8212,163.0,Fayetteville,28312,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Cumberland,"CUMBERLAND VILLAGE ASSISTED LIVING, LLC",HAL-026-062,920670.0
Fayetteville Manor,231 TREETOP DRIVE,(910)488-4821,60.0,Fayetteville,28311-0600,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Cumberland,"FAYETTEVILLE MANOR, LLC",HAL-026-054,951078.0
Harmony At Hope Mills,7051 ROCKFISH ROAD,(910)635-0555,100.0,Fayetteville,28306,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Cumberland,"CUMBERLAND OPERATIONS, LLC",HAL-026-065,160155.0
Heritage Suites,240 ANN STREET,(910)323-4925,62.0,Fayetteville,28301-5543,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Cumberland,"COOL SPRINGS SENIOR CARE, LLC",HAL-026-064,990115.0
Hope Mills Retirement Center,4217 ELK ROAD,(910)425-6306,64.0,Hope Mills,28348,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Cumberland,"HOPE MILLS RETIREMENT CENTER, INC",HAL-026-008,920570.0
Morning Star Special Care Unit,3017 DUNN ROAD,(910)822-5552,44.0,Fayetteville,28312,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Cumberland,J&S CARE INC.,HAL-026-066,923426.0
Pine Valley Adult Care Home,3522 CAMDEN ROAD,(910)425-8954,40.0,Fayetteville,28306,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Cumberland,"PINE VALLEY CARE, INC.",HAL-026-048,920393.0
The Addison Of Fayetteville,1164 71ST SCHOOL RD,(910)764-2020,96.0,Fayetteville,28314,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Cumberland,"GA HC REIT II FAYETTEVILLE ALF TRS SUB, LLC",HAL-026-068,80399.0
Valley Pines Adult Care,2521 MURIEL DRIVE,(910)484-4429,23.0,Fayetteville,28306,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Cumberland,"VALLEY PINES ADULT CARE, LLC",HAL-026-052,920549.0
Currituck House,141 MOYOCK LANDING DRIVE,(252)435-1024,90.0,Moyock,27958-9080,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Currituck,"CHI HOLDINGS, LLC",HAL-027-003,80097.0
Spring Arbor Of The Outer Banks,803 BERMUDA BAY BLVD,(252)449-4455,102.0,Kill Devil Hills,27948,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Dare,"SPRING ARBOR OF NAGS HEAD, L.P.",HAL-028-001,970709.0
Brookdale Lexington,161 YOUNG DRIVE,(336)238-1700,76.0,Lexington,27292,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Davidson,"SOUTHERN ASSISTED LIVING, LLC",HAL-029-006,970192.0
Brookstone Retirement Center,2968 OLD SALISBURY ROAD,(336)243-2500,115.0,Lexington,27295,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Davidson,"BROOKSTONE REST HOME & RETIREMENT CENTER, INC.",HAL-029-001,940136.0
Grayson Creek Of Welcome,6781 OLD US HWY 52,(336)619-4036,75.0,Lexington,27295,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Davidson,"LANDMARK ASSISTED LIVING, LLC",HAL-029-010,90508.0
Hilltop Living Center,212 PLEMMONS DRIVE,(336)853-8113,65.0,Linwood,27299,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Davidson,"PLEMMONS ENTERPRISES, INC",HAL-029-002,920551.0
Mallard Ridge Assisted Living,9420 N NC HIGHWAY 150,(336)775-2205,100.0,Clemmons,27012,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Davidson,"MALLARD RIDGE, LLC",HAL-029-007,980506.0
Spring Arbor Of Thomasville,915 WEST COOKSEY DRIVE,(336)472-7171,62.0,Thomasville,27360,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Davidson,THE OAKS OF THOMASVILLE II LP,HAL-029-004,921210.0
Mocksville Senior Living And Memory Care,337 HOSPITAL STREET,(336)751-2175,69.0,Mocksville,27028,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Davie,"MOCKSVILLE OPCO, LLC",HAL-030-009,920863.0
Ps Senior Living Of Mocksville,191 CRESTVIEW DRIVE,(336)751-1515,40.0,Mocksville,27028,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Davie,"PS SENIOR LIVING OF MOCKSVILLE, LLC",HAL-030-010,940294.0
Somerset Court Of Mocksville,150 KEN DWIGGINS DRIVE,(336)751-1209,60.0,Mocksville,27028,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Davie,"JFC MERIDIAN OPCO-MOCKSVILLE, LLC",HAL-030-008,990698.0
Autumn Village,235 NORTH NC 41,(910)298-5877,88.0,Beulaville,28518-8633,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Duplin,"WP-BEULAVILLE HEALTH HOLDINGS, LLC",HAL-031-018,920050.0
Dayspring Of Wallace,4026 S NC 11,(910)285-9050,80.0,Wallace,28466,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Duplin,DEPAUL ADULT CARE COMMUNITIES INC,HAL-031-017,970835.0
Golden Care,4002 SOUTH NC 41,(910)285-5352,30.0,Wallace,28466,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Duplin,"FIVE STAR INVESTMENTS, INC.",HAL-031-003,920438.0
The Gardens Of Rose Hill,571 S. SYCAMORE STREET,(910)289-2435,45.0,Rose Hill,28458,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Duplin,"ROSEHILL OPCO, LLC",HAL-031-019,945023.0
Wallace Gardens,1052 NE RAILROAD STREET,(910)285-7881,64.0,Wallace,28466,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Duplin,"WALLACE GARDENS, INC.",HAL-031-016,970130.0
Wellington Park,329 COOPER STREET,(910)296-0333,80.0,Kenansville,28349,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Duplin,"WELLINGTON PARK, INC.",HAL-031-020,921357.0
Atria Southpoint Walk,5705 FAYETTEVILLE RD,(919)401-0100,20.0,Durham,27713,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Durham,"WG DURHAM, LP",HAL-032-131,70323.0
Brookdale Chapel Hill,2230 FARMINGTON DRIVE,(919)929-5850,38.0,Chapel Hill,27517,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Durham,"BROOKDALE SENIOR LIVING COMMUNITY, INC.",HAL-032-019,970542.0
Brookdale Chapel Hill Al (Nc),2220 FARMINGTON DRIVE,(919)933-1430,70.0,Chapel Hill,27517,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Durham,"BROOKDALE SENIOR LIVING COMMUNITIES, INC.",HAL-032-016,970049.0
Brookdale Durham,4434 BEN FRANKLIN BOULEVARD,(919)479-9966,119.0,Durham,27704,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Durham,"SOUTHERN ASSISTED LIVING, LLC",HAL-032-065,970590.0
Calyx Living Of Durham,4214 GUESS ROAD,(919)471-0091,84.0,Durham,27712,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Durham,"CARILLON ASSISTED LIVING, LLC",HAL-032-134,180020.0
Camellia Gardens,5010 S. ALSTON AVENUE,(919)544-0257,81.0,Durham,27713,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Durham,"KC CARE MANAGEMENT, INC",HAL-032-071,944745.0
Carolina Reserve Of Durham,4523 HOPE VALLEY ROAD,(919)403-0055,60.0,Durham,27707,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Durham,"RSS/DURHAM OPERATIONS, LLC",HAL-032-132,956359.0
Croasdaile Village,2600 CROASDAILE FARM PARKWAY,(919)384-2000,64.0,Durham,27705,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Durham,UNITED METHODIST RETIREMENT HOMES INC,HAL-032-020,990906.0
Durham Ridge Assisted Living,3420 WAKE FORREST HWY,(919)596-9464,142.0,Durham,27703,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Durham,"DURHAM RIDGE ASSISTED LIVING, LLC",HAL-032-091,920869.0
Eden Spring Living Center,3812 BOOKER STREET,(919)544-0874,19.0,Durham,27713,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Durham,"EDEN SPRING LIVING CENTER, INC",HAL-032-073,920577.0
Eno Pointe Assisted Living,5600 N. ROXBORO ROAD,(919)471-6306,147.0,Durham,27712,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Durham,"DURHAM REST HOME, INC.",HAL-032-001,920333.0
Seasons @ Southpoint,1002 EAST HIGHWAY 54,(919)484-8518,51.0,Durham,27713,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Durham,"SNH SE TENANT TRS, INC.",HAL-032-109,960836.0
The Addison Of Durham,4713 GARRETT ROAD,(919)401-1101,96.0,Durham,27707,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Durham,"GA HC REIT II DURHAM ALF TRS SUB, LLC",HAL-032-133,100294.0
Heritage Care Of Rocky Mount,1650 COKEY ROAD,(252)977-6199,126.0,Rocky Mount,27801,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Edgecombe,"HERITAGE OF ROCKY MOUNT, LLC",HAL-033-005,920534.0
Tarboro Senior Living,3210 WESTERN BOULEVARD,(252)823-8546,130.0,Tarboro,27886,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Edgecombe,"TARBORO OPCO, LLC",HAL-033-006,920129.0
Brighton Gardens Of Winston-Salem,2601 REYNOLDA ROAD,(336)722-2224,115.0,Winston-Salem,27106,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Forsyth,"PRIME CARE ONE, LLC",HAL-034-026,970699.0
Brookdale Reynolda Road,2980 REYNOLDA ROAD,(336)722-1617,72.0,Winston-Salem,27106,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Forsyth,"SOUTHERN ASSISTED LIVING, LLC",HAL-034-035,960455.0
Brookdale Winston-Salem,275 SOUTH PEACE HAVEN ROAD,(336)659-7797,38.0,Winston-Salem,27104,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Forsyth,"BROOKDALE SENIOR LIVING COMMUNITIES, INC",HAL-034-027,971374.0
Brookstone Of Clemmons,4430 CLINARD ROAD,(336)766-5000,40.0,Clemmons,27012,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Forsyth,"BROOKSTONE OF CLEMMONS, LLC",HAL-034-102,970694.0
C.R.T. - Golden Lamb Rest Home,1515 GOLDEN LAMB COURT,(336)727-9119,40.0,Winston-Salem,27105,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Forsyth,"C.R.T. - GOLDEN LAMB REST HOME, INC",HAL-034-019,955729.0
Cadence At Clemmons,1165 S. PEACE HAVEN ROAD,(336)766-6220,96.0,Clemmons,27012,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Forsyth,"GAHC3 CLEMMONS NC TRS SUB, LLC",HAL-034-106,120137.0
Clemmons Village I,6401 HOLDER ROAD,(336)766-2990,60.0,Clemmons,27012,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Forsyth,"CLEMMONS VILLAGE I, LLC",HAL-034-090,960006.0
Clemmons Village Ii,6441 HOLDER ROAD,(336)778-8548,66.0,Clemmons,27012,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Forsyth,"CLEMMONS ASSISTED LIVING, LLC",HAL-034-062,970639.0
Creekside Manor,6206 REIDSVILLE ROAD,(336)595-9889,60.0,Kernersville,27284,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Forsyth,"CREEKSIDE MANOR OF FORSYTH, LLC",HAL-034-060,941250.0
Danby House,3150 BURKE MILL ROAD,(336)768-5656,100.0,Winston-Salem,27103-6431,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Forsyth,"DANBY HOUSE, LLC",HAL-034-093,980709.0
Forest Heights Senior Living Community,2500 POLO RIDGE COURT,(336)722-7118,125.0,Winston-Salem,27106-3950,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Forsyth,"FIVE STAR QUALITY CARE-OBX OPERATOR, LLC",HAL-034-087,970731.0
Homestead Hills Assisted Living,2101 HOMESTEAD HILLS DRIVE,(336)659-0708,66.0,Winston-Salem,27103,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Forsyth,HOMESTEAD HILLS RETIREMENT LIMITED PARTNERSHIP,HAL-034-023,930565.0
Kerner Ridge Assisted Living,250 HOPKINS ROAD,(336)993-1881,66.0,Kernersville,27284,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Forsyth,"KERNER RIDGE ASSISTED LIVING, LLC",HAL-034-058,990384.0
Magnolia Creek Assisted Living,2560 WILLARD ROAD,(336)650-0699,117.0,Winston-Salem,27107-5543,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Forsyth,"WP-WINSTON SALEM HEALTH HOLDINGS, LLC",HAL-034-097,944516.0
Memory Care Of The Triad,413 NORTH MAIN STREET,(336)993-4696,42.0,Kernersville,27284,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Forsyth,"THE BRADFORD VILLAGE OF KERNERSVILLE, EAST, LLC",HAL-034-068,920116.0
Salem Terrace,2609 OLD SALISBURY ROAD,(336)785-1935,142.0,Winston-Salem,27127,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Forsyth,"BHM SALEM TERRACE, LLC",HAL-034-098,920768.0
Salemtowne,2000 SALEMTOWNE,(336)767-8130,46.0,Winston Salem,27106,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Forsyth,"THE MORAVIAN HOME, INC.",HAL-034-103,923440.0
Shuler Health Care/Crane Villa,250 PITT STREET,(336)996-0772,12.0,Kernersville,27284,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Forsyth,"STAR CARE NETWORK, INC",HAL-034-111,921086.0
Shuler Health Care/Phillips Villa,250 PITT STREET,(336)996-0772,12.0,Kernersville,27284,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Forsyth,"STAR CARE NETWORK, INC.",HAL-034-110,921085.0
Shuler Health Care/Pierce Villa,250 PITT STREET,(336)996-0772,12.0,Kernersville,27285,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Forsyth,"STAR CARE NETWORK, INC.",HAL-034-109,921087.0
Shuler Health Care/Record Villa,250 PITT STREET,(336)996-0772,12.0,Kernersville,27284,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Forsyth,"STAR CARE NETWORK, INC.",HAL-034-108,921088.0
Shuler Health Care/Storey Villa,250 PITT STREET,(336)996-0772,12.0,Kernersville,27285,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Forsyth,"STAR CARE NETWORK, INC.",HAL-034-107,921089.0
Somerset Court At University Place,1635 EAST 5TH STREET,(336)722-7119,60.0,Winston Salem,27101,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Forsyth,"JFC MERIDIAN OPCO-WINSTON-SALEM, LLC",HAL-034-100,991125.0
Southfork,1345 JONESTOWN ROAD,(336)768-8828,78.0,Winston-Salem,27103,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Forsyth,DEPAUL ADULT CARE COMMUNITIES INC,HAL-034-028,960775.0
The Bradford Village Of Kernersville - West,602 PINEY GROVE ROAD,(336)993-8711,62.0,Kernersville,27284,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Forsyth,"THE BRADFORD VILLAGE OF KERNERSVILLE - WEST, LLC",HAL-034-069,920117.0
The Ivy At Clemmons,6010 MEADOWBROOK MALL COURT,(336)766-8050,70.0,Clemmons,27012-9266,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Forsyth,THE IVY AT CLEMMONS LLC,HAL-034-105,920769.0
Tranquility Care,5100 LANSING DRIVE,(336)744-8270,60.0,Winston-Salem,27105,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Forsyth,"TRANQUILITY CARE OF WINSTON-SALEM, LLC",HAL-034-104,920396.0
Trinity Elms,3750 HARPER ROAD,(336)766-2131,104.0,Clemmons,27012,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Forsyth,"LSA ELMS AT TANGLEWOOD, INC",HAL-034-085,971182.0
Verra Spring At Heritage Woods,3812 FORRESTGATE DRIVE,(336)768-2011,29.0,Winston-Salem,27103,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Forsyth,"KRC WOODS, LP",HAL-034-003,920535.0
Vienna Village,6601 YADKINVILLE ROAD,(336)945-5410,90.0,Pfafftown,27040,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Forsyth,"VIENNA VILLAGE, INC",HAL-034-016,921290.0
Franklin Manor Assisted Living Center,100 SUNSET DRIVE,(919)562-5550,54.0,Youngsville,27596,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Franklin,"FRANKLIN OPERATIONS, LLC",HAL-035-024,110290.0
Liberty Commons Assisted Living Of Franklin County,114 SMOKETREE WAY,(919)496-6084,60.0,Louisburg,27549,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Franklin,"LIBERTY HEALTHCARE GROUP, LLC",HAL-035-032,920691.0
"Southern Living For Seniors Of Louisburg, Nc",361 LEONARD ROAD,(919)497-0144,60.0,Louisburg,27549,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Franklin,"SOUTHERN LIVING FOR SENIORS OF LOUISBURG NC, LLC",HAL-035-031,920147.0
Brookdale New Hope,1680 SOUTH NEW HOPE ROAD,(704)864-0801,86.0,Gastonia,28054,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Gaston,"SOUTHERN ASSISTED LIVING, LLC",HAL-036-013,970656.0
Brookdale Robinwood,1750 ROBINWOOD ROAD,(704)864-2480,89.0,Gastonia,28054,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Gaston,"SOUTHERN ASSISTED LIVING, LLC",HAL-036-015,961020.0
Brookdale Union,1717 UNION ROAD,(704)864-9440,78.0,Gastonia,28054,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Gaston,"SOUTHERN ASSISTED LIVING, LLC",HAL-036-012,955352.0
Country Time Inn,602 BREVARD ROAD,(704)739-2760,59.0,Kings Mountain,28086-8692,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Gaston,"COUNTRY TIME INN, LLC",HAL-036-018,940276.0
Elmcroft Of Cramerton,500 CRAMER MOUNTAIN ROAD,(704)823-0500,128.0,Cramerton,28032,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Gaston,"EC OPCO CRAMERTON, LP",HAL-036-039,980170.0
Heritage Oaks Assisted Living,916 S. MARIETTA STREET,(704)864-3249,86.0,Gastonia,28054,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Gaston,"GASTON AREA LUTHERAN FOUNDATION, INC.",HAL-036-036,921119.0
Morningside Of Gastonia,2755 UNION ROAD,(704)810-0111,105.0,Gastonia,28054,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Gaston,SNH NC TENANT LLC,HAL-036-037,970732.0
Rosewood Assisted Living,"721 DR. MARTIN LUTHER KING, JR. WAY",(704)865-2238,48.0,Gastonia,28052,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Gaston,"LANCASTER HEALTH CARE, INC.",HAL-036-004,921042.0
Somerset Court Of Cherryville,401 WEST ACADEMY STREET,(704)445-1554,60.0,Cherryville,28021,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Gaston,"JFC MERIDIAN OPCO-CHERRYVILLE, LLC",HAL-036-034,971259.0
Terrace Ridge Assisted Living,1251 E HUDSON BLVD,(704)865-5556,74.0,Gastonia,28054-6102,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Gaston,"TERRACE RIDGE ASSISTED LIVING, INC",HAL-036-023,971399.0
Wellington House,850 MAJESTIC COURT,(704)864-7739,48.0,Gastonia,28054-5131,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Gaston,"WP-GASTONIA HEALTH HOLDINGS, LLC",HAL-036-031,920427.0
Woodlawn Haven,301 CRAIG STREET,(704)827-1573,80.0,Mt. Holly,28120,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Gaston,EVERETT YATES SPRINGS,HAL-036-006,931371.0
Gates House,11 COMMERCE DRIVE,(252)357-1379,70.0,Gatesville,27938,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Gates,"GATES HOUSE, LLC",HAL-037-001,110136.0
Granville House,200 COVENTRY DRIVE,(919)603-5576,60.0,Oxford,27565,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Granville,"GRANVILLE OPCO, LLC",HAL-039-016,971402.0
Heritage Meadows Long Term Care,6659 PRIVATE SCHOOL ROAD,(919)690-1299,80.0,Oxford,27565,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Granville,"NORTH CAROLINA COMMUNITY HOMES, LLC",HAL-039-015,940532.0
Toney Rest Home,904 RALEIGH STREET,(919)693-2123,60.0,Oxford,27565,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Granville,"PS SENIOR LIVING, LLC",HAL-039-017,920336.0
Tre' More Manor Alf,6016 PINE TOWN ROAD,(919)693-2984,31.0,Oxford,27565,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Granville,CRESCENT GREEN INC.,HAL-039-018,955531.0
Snow Hill Assisted Living,1328 S. E. SECOND STREET,(252)747-8100,40.0,Snow Hill,28580,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Greene,"GREENE OPCO, LLC",HAL-040-009,960866.0
Abbotswood At Irving Park Assisted Living,3506 FLINT STREET,(336)282-8870,28.0,Greensboro,27405,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Guilford,KRC GREENSBORO LP,HAL-041-060,980538.0
Alpha Concord Of Greensboro,3301 GAR PLACE,(919)819-3882,64.0,Greensboro,27406,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Guilford,"ALPHA CONCORD OF GREENSBORO, LLC",HAL-041-082,920473.0
Brighton Gardens Of Greensboro,1208 NEW GARDEN ROAD,(336)297-4700,125.0,Greensboro,27410,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Guilford,"HCP GREENSBORO NC OPCO, LLC",HAL-041-084,970066.0
Brookdale High Point,201 WEST HARTLEY DRIVE,(336)885-8600,82.0,High Point,27265,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Guilford,"SOUTHERN ASSISTED LIVING, LLC",HAL-041-030,944614.0
Brookdale High Point North,1564 SKEET CLUB ROAD,(336)869-4188,65.0,High Point,27265,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Guilford,"SOUTHERN ASSISTED LIVING, LLC",HAL-041-033,980269.0
Brookdale High Point North Al (Nc),1568 SKEET CLUB ROAD,(336)869-0026,102.0,High Point,27265,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Guilford,"SOUTHERN ASSISTED LIVING, LLC",HAL-041-039,980795.0
Brookdale Lawndale Park,4400 LAWNDALE DRIVE,(336)286-3432,118.0,Greensboro,27455,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Guilford,SOUTHERN ASSISTED LIVING LLC,HAL-041-062,970613.0
Brookdale Northwest Greensboro,5809 OLD OAK RIDGE ROAD,(336)297-9900,81.0,Greensboro,27410,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Guilford,"SOUTHERN ASSISTED LIVING, LLC",HAL-041-031,970040.0
Brookdale Skeet Club,1560 SKEET CLUB ROAD,(336)869-0301,79.0,High Point,27265,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Guilford,"SOUTHERN ASSISTED LIVING, LLC",HAL-041-029,970263.0
Carriage House Senior Living Community,3896 N. ELM STREET,(336)286-1235,108.0,Greensboro,27455-2596,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Guilford,"FIVE STAR QUALITY CARE - OBX OPERATOR, LLC",HAL-041-065,960702.0
Clapp'S Assisted Living,4558 PLEASANT GARDEN ROAD,(336)674-2253,30.0,Pleasant Garden,27313-0249,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Guilford,"CLAPP'S ASSISTED LIVING, INC",HAL-041-054,953104.0
Guilford House,5918 NETFIELD ROAD,(336)553-0272,60.0,Greensboro,27455-9245,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Guilford,"GREENSBORO AL HOLDINGS, LLC",HAL-041-077,100777.0
Harmony At Greensboro,3420 WHITEHURST ROAD,(336)355-7733,92.0,Greensboro,27410,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Guilford,"GREENSBORO OPERATIONS, LLC",HAL-041-086,160498.0
Holden Heights,1915 BOULEVARD STREET,(336)855-1414,96.0,Greensboro,27407,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Guilford,"GREENSBORO OPCO HOLDINGS, LLC",HAL-041-080,920765.0
Lawson'S Adult Enrichment Center,1319 WOODBRIAR AVENUE,(336)273-0017,18.0,Greensboro,27405-5361,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Guilford,JAMES & WILLIE LAWSON,HAL-041-015,944966.0
Morningview At Irving Park,3200 N. ELM STREET,(336)545-3444,105.0,Greensboro,27408,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Guilford,"MORNINGSIDE OF GREENSBORO, LLC",HAL-041-052,960751.0
Piedmont Christian Home,1510 DEEP RIVER ROAD,(336)883-6023,93.0,High Point,27265,NC,6/29/21,ASSISTED LIVING RESIDENCE,ADULT CARE HOME,Guilford,"PIEDMONT CHRISTIAN HOME, INC.",HAL-041-010,920918.0
