XFCOUNTY,XFACILITY,XCAP,LLICENSEE,XSADDR,XSCITY,XSSTATE,XSZIP,XFADDR1,XFADDR2,XFCITY,XFSTATE,XFZIP,XFPHONE,XFFAX,LLICENSNO,XFID,XSTATUS,STARS
Guilford,Richland Place,70,"Greensboro BG OPCO, LLC",3823 Lawndale Drive,Greensboro,NC,27455,330 N Wabash Ave Suite  # 3700,,Chicago,IL,60611,(336)288-8688,(336)288-8230,HAL-041-081,970071,Active,3
Guilford,Spring Arbor of Greensboro,100,Spring Arbor of Greensboro Limited Partnership,5125 Michaux Road,Greensboro,NC,27410,5125 Michaux Road,,Greensboro,NC,27410,(336)286-6404,(336)286-6557,HAL-041-074,90346,Active,3
Guilford,St. Gales Estates,60,"St. Gales Estates, Inc",1411 Lee's Chapel Road,Greensboro,NC,27405-1615,P O Box 14982,,Greensboro,NC,27415-4982,(336)621-5336,(336)954-2431,HAL-041-023,960822,Active,2
Guilford,The Arboretum at Heritage Greens,66,"KC Heritage Greens, LLC",709 Meadowood Street,Greensboro,NC,27409,5790 Fleet Street,Suite 300,Carlsbad,CA,92008,(760)804-5900,(   )   -,HAL-041-078,980248,Active,3
Guilford,The Elms at Abbotswood,48,KRC Greensboro Limited Partnership,3508 Flint Street,Greensboro,NC,27405,5790 Fleet St Suite 300,,Carlsbad,CA,92008,(336)282-8870,(336)282-9148,HAL-041-085,150329,Ownership Changed,3
Guilford,Verra Springs at Heritage Greens,45,"KC Heritage Greens, LLC",803 Meadowood Street,Greensboro,NC,27409,5790 Fleet Street STE 300,,Carlsbad,CA,92008,(760)804-5900,(   )   -,HAL-041-079,940530,Active,4
Guilford,Wellington Oaks,85,"Greensboro Health Holdings, LLC",3004 Dexter Avenue,Greensboro,NC,27407-3616,PO Box 26255,,Winston Salem,,27114,(336)553-3917,(336)553-3920,HAL-041-072,920871,Active,4
Guilford,Westchester Harbour,90,"Providence Place Assisted Living, Inc",630 Whittier Avenue,High Point,NC,27262,1701 Westchester Dr,Suite 400,High Point,NC,27262,(336)888-6777,(336)888-6778,HAL-041-073,90501,Active,3
Halifax,Carolina Rest Home,40,"Carolina Care of Halifax, LLC",1361 Carolina Rest Home Road,Roanoke Rapids,NC,27870,1361 Carolina Rest Home Road,,Roanoke Rapids,NC,27870,(252)533-0014,(252)533-0020,HAL-042-005,920177,Active,3
Halifax,Scotland House,60,"Halifax Opco Holdings, LLC",27669 Highway 125,Scotland Neck,NC,27874,P.O. Box 26255,,Winston Salem,NC,27114,(252)826-0475,(252)826-0573,HAL-042-006,61339,Active,3
Halifax,The Landings of Lake Gaston,0,"Lake Gaston Opco Holdings, LLC",206 North Mosby Ave,Littleton,NC,27850,PO Box 26255,,Winston Salem,NC,27114,(828)270-0661,(252)629-2377,HAL-042-007,160282,New,0
Harnett,Absolute Care Assisted Living,12,"Absolute Care Assisted Living, LLC",431 Junny Road,Angier,NC,27501,2905 Autumn Sunset Court,,Raleigh,NC,27616,(919)639-6322,(919)639-5504,HAL-043-029,970273,Active,3
Harnett,Absolute Care Assisted Living II,12,"Absolute Care Assisted Living, LLC",431 Junny Road,Angier,NC,27501-1091,2905 Autumn Sunset Court,,Raleigh,NC,27616,(919)673-2146,(919)639-5504,HAL-043-031,980225,Active,2
Harnett,Arc of Dunn,36,"A1A - Arc of Dunn, LLC",217 Jonesboro Road,Dunn,NC,28334,10752 Deerwood Park Blvd,Ste 100,Jacksonville,FL,32256,(910)892-1711,(910)892-5343,HAL-043-033,920260,Ownership Changed,0
Harnett,Green Leaf Care Center,105,"Lillington Operations, LLC",2041 NC 210 North,Lillington,NC,27546,23700 Commerce Park,,Beachwood,OH,44122,(910)893-8181,(910)893-3612,HAL-043-027,920134,Active,2
Harnett,Johnson Better Care Facility,50,Jerry Johnson,3485 Hwy 301 North,Dunn,NC,28335,P O Box 1456,,Dunn,NC,28335,(910)892-1155,(910)892-6465,HAL-043-003,920602,Active,1
Harnett,Oak Hill Living Center,122,"The Autumn Group, Inc.",9767 NC 210-N,Angier,NC,27501,PO Box 759,,Angier,NC,27501,(919)639-9000,(919)639-9435,HAL-043-015,971532,Active,1
Harnett,Pinecrest Gardens,60,Senior Management Inc,1984 Old US 421,Lillington,NC,27546,PO Box 1913,,Lillington,NC,27546,(910)893-2766,(910)893-2925,HAL-043-022,970133,Active,3
Harnett,Senior Citizens Village,65,"Moore Health Care, Inc.",504 West Canal Drive,Dunn,NC,28334,P O Box 247,,Dunn,NC,28335,(910)892-1241,(910)892-5549,HAL-043-006,941082,Active,3
Harnett,Senter's Rest Home,50,"Fuquay-Varina Health Holdings, LLC",40 Rawls Club Road,Fuquay-Varina,NC,27526-8031,PO Box 26255,,Winston Salem,NC,27114,(919)552-6264,(919)552-7882,HAL-043-024,921084,Active,1
Haywood,Chestnut Park Retirement Center,20,Barbara J Hannah,84 Chestnut Park Drive,Waynesville,NC,28786,84 Chestnut Park Drive,,Waynesville,NC,28786,(828)456-3337,(828)456-3338,HAL-044-022,920207,Active,2
Haywood,Creekside Villas,20,Earl Enterprises Inc,465 Boyd Avenue,Waynesville,NC,28786-4317,251 Shelton Street,,Waynesville,NC,28786-4317,(828)456-9241,(828)456-9012,HAL-044-044,920977,Active,3
Haywood,Haywood House,60,"Haywood Health Holdings, LLC",27 North Main Street,Canton,NC,28716-1449,PO Box 26255,,Winston Salem,NC,27114,(828)276-1004,(828)276-1017,HAL-044-042,110041,Active,4
Haywood,Haywood Lodge and Retirement Center,68,"Earl Enterprises, Inc",251 Shelton Street,Waynesville,NC,28786-3362,251 Shelton Street,,Waynesville,NC,28786-3362,(828)456-8365,(828)456-6792,HAL-044-009,920515,Active,4
Haywood,McCracken Rest Home,22,"CDS Management Group, LLC",203 McCracken Street,Waynesville,NC,28786,203  McCracken Street,,Waynesville,NC,28786,(828)456-9004,(828)456-9122,HAL-044-046,920745,Active,3
Haywood,Pigeon Valley Rest Home,29,Pigeon Valley Rest Home LLC,55 Lake Drive,Canton,NC,28716,100 Silver Bluff Drive,,Canton,NC,28716,(828)648-2044,(828)648-2065,HAL-044-012,920921,Active,4
Haywood,Richland Community Care #2,11,Bronwyn Pruitt,290 Killian Street,Waynesville,NC,28786,290 Killian St,,Waynesville,NC,28786,(828)452-0456,(828)452-0114,HAL-044-045,921005,Active,3
Haywood,Spicewood Cottages Elms,20,"Earl Enterprises, Inc",39 Loving Way,Clyde,NC,28721-9471,251 Shelton Street,,Waynesville,NC,28786-9471,(828)452-0238,(828)452-5473,HAL-044-039,920250,Active,4
Haywood,Spicewood Cottages Oaks,20,"Earl Enterprises, Inc",67 Loving Way,Clyde,NC,28721-9471,251 Shelton Street,,Waynesville,NC,28786-9471,(828)452-3822,(828)456-3700,HAL-044-040,920253,Active,3
Haywood,Spicewood Cottages Willows,20,"Earl Enterprises, Inc",65 Loving Way,Clyde,NC,28721-9471,251 Shelton Street,,Waynesville,NC,28786-9471,(828)452-0913,(828)454-0404,HAL-044-041,920252,Active,3
Henderson,Carolina Reserve of Hendersonville,61,"RSS Hendersonville Operations, LLC",1820 Pisgah Drive,Hendersonville,NC,28791,"5430 Wade Park Blvd, Suite 402",,Raleigh,NC,27607,(828)692-6440,(828)692-8922,HAL-045-125,960697,Active,4
Henderson,Carolina Reserve of Laurel Park,48,"RSS Hendersonville West Operations, LLC",1825 Pisgah Drive,Hendersonville,NC,28791,"5430 Wade Park Blvd, Suite 402",,Raleigh,NC,27607,(828)697-7800,(828)697-9797,HAL-045-126,980406,Active,4
Henderson,Carolina Village,60,"Carolina Village, Inc.",600 Carolina Village Road,Hendersonville,NC,28792,600 Carolina Village Road,,Hendersonville,NC,28792,(828)692-6275,(828)692-5951,HAL-045-067,11225,Active,4
Henderson,Cherry Springs Village,60,"WP-Hendersonville Health Holdings, LLC",358 Clear Creek Road,Hendersonville,NC,28792-2595,P.O. Box 26255,,Winston Salem,NC,27114,(828)698-6501,(828)698-6504,HAL-045-115,970589,Active,2
Henderson,Elmcroft Of Hendersonville,96,"EC Opco Hendersonville NC, LP",3851 Howard Gap Road,Hendersonville,NC,28792,"5885 Meadows Road, Suite 500",,Lake Oswego,OR,97035,(828)693-0700,(828)697-0027,HAL-045-130,454,Ownership Changed,4
Henderson,Henderson's Assisted Living,26,"Dogwood Villas, Inc",74 Lotus Lane,Hendersonville,NC,28792,P.O. Box 1009,,Marion,NC,28752,(828)692-2220,(828)696-9116,HAL-045-113,920523,Active,3
Henderson,Heritage Hills A Pacifica Senior Living Community,24,"Pacifica Heritage Circle, LLC",2500 Heritage Circle,Hendersonville,NC,28791,1775 Hancock Street Suite 200,,San Diego,CA,92110,(828)639-8282,(619)296-9090,HAL-045-123,944350,Active,3
Henderson,McCullough's Rest Home,13,"McCullough Rest Home, LLC",720 Orr's Camp Road,Hendersonville,NC,28792,720 Orr's Camp Road,,Hendersonville,NC,28792,(828)693-7976,(828)693-7946,HAL-045-005,920746,Active,3
Henderson,Mountain View Assisted Living,27,"Mountain View Assisted Living, Inc",260 Centerway Drive,Hendersonville,NC,28792,PO Box 1009,,Marion,NC,28752,(828)692-9960,(828)692-8911,HAL-045-112,920827,Active,3
Henderson,The Gardens of Hendersonville,60,"Cardinal AL Holdings, LLC",1000 West Allen Street,Hendersonville,NC,28739,PO Box 26255,,Winston Salem,NC,27114,(828)693-3388,(828)697-5461,HAL-045-129,920163,Active,3
Henderson,The Gardens of the Blue Ridge,43,"Cardinal Opco, LLC",913 9th Avenue West,Hendersonville,NC,28791-3315,P O Box 26255,,Winston Salem,NC,27114,(828)693-0871,(828)693-8574,HAL-045-128,920998,Active,2
Henderson,The Landings of Mills River,65,"Hendersonville AL Holdings, LLC",4143 Haywood Road,Mills River,NC,28759,P.O. Box 26255,,Winston Salem,NC,27114,(828)891-2166,(828)891-0056,HAL-045-127,140293,Active,2
Hertford,Ahoskie Assisted Living,92,RPA Healthcare LLC,240 South Earley Station Road,Ahoskie,NC,27910,PO Box 369,,Ahoskie,NC,27910,(252)513-8591,(252)513-8390,HAL-046-020,920944,Ownership Changed,2
Hertford,Ahoskie House,60,"Ahoskie House, LLC",407 Loftin Lane,Ahoskie,NC,27910-3447,P.O. Box 26255,,Winston Salem,NC,27114,(252)862-4700,(252)862-4800,HAL-046-004,971403,Active,3
Hertford,Twin Oaks and Twins Adult Home,21,"Twin Oaks and Twins, Inc",817 US 258 N,Como,NC,27818,PO Box 72,,Como,NC,27818,(252)398-8110,(252)398-8172,HAL-046-018,921269,Active,0
Hoke,Open Arms Retirement Center,90,"Integrity-Open Arms, LLC",612 Health Drive,Raeford,NC,28376,3053 S. Church St,,Burlington,NC,27215,(910)875-3949,(910)875-7919,HAL-047-014,10099,Active,1
Hoke,Wickshire Creeks Crossing,75,Wickshire Creeks Crossing OpCo LLC,8398 Fayetteville Road,Raeford,NC,28376,8398 Fayetteville Rd,,Raeford,NC,28376,(910)683-6800,(910)875-1705,HAL-047-015,130277,Ownership Changed,0
Iredell,Brookdale East Broad,58,"Southern Assisted Living, LLC",2441 East Broad Street,Statesville,NC,28625,2441 East Broad Street,,Statesville,NC,28625,(704)872-1940,(704)872-8617,HAL-049-019,921147,Active,4
Iredell,Brookdale Peachtree AL,87,"Southern Assisted Living, LLC",2806 Peachtree Road,Statesville,NC,28625,2806 Peachtree Road,,Statesville,NC,28625,(704)872-1946,(704)872-1992,HAL-049-020,961012,Active,4
Iredell,Brookdale Peachtree MC,40,"Southern Assisted Living, LLC",2814 Peachtree Road,Statesville,NC,28625-8204,2806 Peachtree Road,,Statesville,NC,28625-8204,(704)872-1946,(704)872-1992,HAL-049-021,980271,Active,2
Iredell,Cadence Mooresville,96,"GAHC3 Mooresville NC TRS Sub, LLC",198 E Waterlynn Road,Mooresville,NC,28117,8501 N. Scottsdale Rd.,Suite 255,Scottsdale,AZ,85253,(704)660-8000,(704)660-8001,HAL-049-034,120015,Ownership Changed,3
Iredell,Crown Colony,60,Taylor & Hart Management LLC,291 Commercial Drive,Mooresville,NC,28115,P.O. Box 598,,Mooresville,NC,28115,(704)663-7600,(704)663-2881,HAL-049-010,970852,Active,4
Iredell,Heritage Place Adult Living Center,40,"Omega Investment, Inc",1372 Eufola Road,Statesville,NC,28677,PO Box 903,,Statesville,NC,28687,(704)528-4568,(704)528-9844,HAL-049-003,920889,Active,4
Iredell,Jurney's Assisted Living,60,"Enterprise Healthcare of  Statesville, Inc",1942 Van Haven Drive,Statesville,NC,28625,PO Box 1678,,Clemmons,NC,27012,(704)878-0046,(704)878-9757,HAL-049-015,940620,Active,3
Iredell,Mill Creek Manor,80,"Mill Creek Manor, LLC",1902 Ora Drive,Statesville,NC,28625,138 Bay Hill Drive,,Advance,NC,27006,(980)223-2353,(704)878-6787,HAL-049-033,941148,Active,3
Iredell,Olin Village,64,"Olin Village, LLC",999 Tabor Road,Olin,NC,28660,2959 Sowers Road,,Linwood,NC,27299,(704)546-7121,(704)546-5286,HAL-049-016,960782,Active,3
Iredell,Rosewood Assisted Living,54,"Lancaster Health Care, Inc.",3134 Harmony Highway,Harmony,NC,28634,PO Box 964,,Troutman,NC,28166,(704)546-2671,(704)546-7672,HAL-049-004,921043,Active,3
Iredell,Summit Place of Mooresville,60,SNH SE Mooresville Tenant LLC,128 Brawley School Road,Mooresville,NC,28117,400 Centre St,,Newton,MA,2458,(704)799-2712,(704)799-2719,HAL-049-030,971550,Active,4
Iredell,Terrabella Lake Norman,120,"HP Mooresville Opco, LLC",140 Carriage Club Drive,Mooresville,NC,28117,3461 Bonita Bay Blvd.,Suite 100,Bonita Springs,FL,34134,(704)658-1200,(704)662-8509,HAL-049-035,1199,Ownership Changed,3
Iredell,The Gardens of Statesville,67,"Statesville Assisted Living, LLC",2147 Davie Avenue,Statesville,NC,28625,2147 Davie Avenue,,Statesville,NC,28625,(704)878-0123,(704)878-8689,HAL-049-023,971094,Active,4
Jackson,Morningstar Assisted Living,55,"Morningstar of Jackson, LLC",95 Morningstar Lane,Sylva,NC,28779,95 Morningstar Lane,,Sylva,NC,28779,(828)586-4002,(828)631-0293,HAL-050-016,920365,Active,4
Jackson,The Hermitage,90,"Skyland House, LLC",185 Brickfarm Road,Dillsboro,NC,28779,P.O. Box 26255,,Winston Salem,NC,27114,(828)586-9070,(828)586-3959,HAL-050-017,50758,Active,3
Johnston,Autumn Home Care of Johnston County I,12,"Autumn Home Care of Johnston County, Inc.",474 Jerry Road,Selma,NC,27576,474 Jerry Road,,Selma,NC,27576,(919)965-3435,(919)965-3455,HAL-051-002,920046,Active,4
Johnston,Autumn Home Care of Johnston County II,12,"Autumn Home Care of Johnston County, Inc.",474 Jerry Road,Selma,NC,27576,474 Jerry Road,,Selma,NC,27576,(919)965-3455,(919)965-3455,HAL-051-003,920047,Active,4
Johnston,Autumn Home Care of Johnston County III,12,"Autumn Home Care of Johnston County, Inc.",474 Jerry Road,Selma,NC,27576,474 Jerry Road,,Selma,NC,27576,(919)965-3333,(919)965-3455,HAL-051-001,920045,Active,4
Johnston,Brookdale Smithfield,74,"Southern Assisted Living, LLC",830 Berkshire Road,Smithfield,NC,27577,830 Berkshire Road,,Smithfield,NC,27577,(919)989-3100,(919)989-7219,HAL-051-024,971376,Active,2
Johnston,Classic Care Homes #1,12,"Classic Care Holdings, LLC",101 Annie Parker Circle,Smithfield,NC,27577,101 Annie Parker Circle,,Smithfield,NC,27577,(919)726-9447,(919)934-7076,HAL-051-062,920225,Active,0
Johnston,Classic Care Homes #2,12,"Classic Care Holdings, LLC",103 Annie Parker Circle,Smithfield,NC,27577,101 Annie Parker Circle,,Smithfield,NC,27577,(919)726-9447,(919)934-7076,HAL-051-064,960961,Active,2
Johnston,Classic Care Homes #3,12,"Classic Care Holdings, LLC",105 Annie Parker Circle,Smithfield,NC,27577,101 Annie Parker Circle,,Smithfield,NC,27577,(919)726-9449,(919)934-7076,HAL-051-063,960962,Active,1
Johnston,Clayton House,60,"Clayton Health Holdings, LLC",145 Dairy Road,Clayton,NC,27520-4965,P.O. Box 26255,,Winston Salem,NC,27114,(919)553-6144,(919)553-8714,HAL-051-041,920228,Active,0
Johnston,Four Oaks Senior Living,96,"Four Oaks Opco Holdings, LLC",565 Boyette Road,Four Oaks,NC,27524,PO Box 26255,,Winston Salem,NC,27114,(919)963-2011,(919)963-2284,HAL-051-060,921218,Active,0
Johnston,Gabriel Manor Assisted Living Center,77,"Smithfield East Health Holdings, LLC",84 Johnson Estate Road,Clayton,NC,27520,23700 Commerce Park,,Beachwood,OH,44122,(919)359-3878,(919)359-3876,HAL-051-048,100883,Active,3
Johnston,McLamb's Rest Home,12,Maylon & Katie McLamb,998 Five Points Road,Benson,NC,27504,998 Five Points Road,,Benson,NC,27504,(919)207-0282,(919)894-2349,HAL-051-007,920754,Active,3
Johnston,McLamb's Rest Home #2,12,Maylon & Katie McLamb,998 Five Points Road,Benson,NC,27504,998 Five Points Road,,Benson,NC,27504,(919)207-0282,(919)894-2349,HAL-051-008,920753,Active,3
Johnston,Meadowview Assisted Living Center,60,"Meadowview AL Operations, LLC",250 Highway 210 West,Smithfield,NC,27577,26691 Richmond Road,,Bedford Heights,OH,44146,(919)989-4848,(919)989-8437,HAL-051-047,980347,Active,4
Johnston,Progressive Care of Princeton,12,Progressive Care of Princeton LLC,160 Haven Lane,Princeton,NC,27569,160 Haven Lane,,Princeton,NC,27569-7132,(919)524-6968,(919)936-1461,HAL-051-052,920970,Active,4
Johnston,Providence Assisted Living,20,"Providence Healthcare of the Carolinas, LLC",4302 NC 210,Smithfield,NC,27577,P O Box 464,,Wendell,NC,27591,(919)247-4760,(919)900-8081,HAL-051-061,920051,Active,3
Johnston,The Landings of Smithfield,66,"Johnston Opco, LLC",200 Kellie Drive,Smithfield,NC,27577,PO Box 26255,,Winston Salem,NC,27114,(919)934-2030,(919)300-2040,HAL-051-065,170320,Active,3
Lee,Oakhaven Home,40,"Keller's Nursing Home, Inc",700 Westover Drive,Sanford,NC,27330,P.O. Box 640,,Sanford,NC,27331,(919)776-4121,(919)774-6482,HAL-053-001,920867,Active,3
Lee,Oakhaven II,12,"Keller's Nursing Home, Inc",700 Westover Drive,Sanford,NC,27330,P.O. Box 640,,Sanford,NC,27331-0640,(919)776-4121,(919)774-6482,HAL-053-002,920868,Active,4
Lee,Parkview Retirement Center,116,"Parkview Retirement Center, Inc",1801 Wicker Street Ext.,Sanford,NC,27330,PO Box 4057,,Sanford,NC,27331-4057,(919)774-4322,(919)776-0883,HAL-053-004,920895,Active,3
Lee,Sanford Manor,85,"Sanford Manor, LLC",1115 Carthage Street,Sanford,NC,27330-4162,505 Ariana Ave,,Auburndale,FL,33823-0481,(919)774-3774,(919)774-7084,HAL-053-030,950864,Ownership Changed,2
Lee,Sanford Senior Living,50,"Sanford Senior Living, LLC",1107 Carthage Street,Sanford,NC,27330-4162,505 Ariana Ave,,Auburndale,FL,33823-0481,(919)774-3774,(919)774-7084,HAL-053-031,955674,Active,3
Lenoir,Legacy Memory Care at Kinston,24,"Legacy Memory Care at Kinston, LLC",1406 East Shine Street,Kinston,NC,28501,3532 Lena Ln,,Greenville,NC,27834,(252)527-0438,(252)527-0433,HAL-054-070,941256,Ownership Changed,3
Lenoir,Lenoir Assisted Living,94,"Lenoir Assisted Living, LLC",2773 Pinewood Home Drive,Pink Hill,NC,28572,PO Box 419,,Pink Hill,NC,28572,(252)568-6167,(252)568-7457,HAL-054-068,920943,Active,3
Lenoir,Rose Vista Assisted Living,60,"Rose Vista Assisted Liviing, LLC",2130 Rose Vista Road,Kinston,NC,28504,3420 Wake Forest Hwy,,Durham,NC,27703,(919)596-9464,(919)957-8915,HAL-054-069,921079,Ownership Changed,0
Lenoir,Spring Arbor of Kinston,86,"Spring Arbor of Kinston II, Ltd",3207 Carey Road,Kinston,NC,28504,3207 Carey Road,,Kinston,NC,28504,(252)523-3099,(252)523-8074,HAL-054-006,980433,Active,3
Lenoir,The Village of Kinston,63,"The Village of Kinston Assisted Living, LLC",1935 Idlewild Drive,Kinston,NC,28504,PO Box 3447,,Kinston,NC,28504,(252)208-7103,(252)208-7105,HAL-054-067,970042,Active,3
Lincoln,Amazing Grace Rest Home,10,"Earleen Wellmon, Margie Leonhardt & Melanie Leonhardt Wilson",3633 Amazing Grace Road,Lawndale,NC,28090,3633 Amazing Grace Road,,Lawndale,NC,28090,(704)473-3178,,HAL-055-001,920025,Active,4
Lincoln,Boger City Rest Home,52,"Boger City Rest Home, Inc",1428 Little Valley Lane,Lincolnton,NC,28092,P.O. Box 755,,Lincolnton,NC,28092,(704)732-2220,(704)732-4945,HAL-055-002,920109,Active,4
Lincoln,Heath House,60,"DePaul Adult Care Communities, Inc",919 Wilma Sigmon Road,Lincolnton,NC,28092,919 Wilma Sigmon Road,,Lincolnton,NC,28092,(704)732-1113,(704)732-1339,HAL-055-O07,970865,Active,4
Lincoln,Lakewood Care Center,60,"Lakewood Care Center, Inc.",7981 Optimist Club Road,Denver,NC,28037,PO Box 177,,Denver,NC,28037,(704)483-7000,(704)483-3953,HAL-055-003,920645,Active,3
Lincoln,North Brook Rest Home,12,"North Brook Rest Home, Inc.",1611 North Brook III School Rd,Vale,NC,28168,5106 Hawthorne Lane,,Shelby,NC,28152,(704)482-2033,(704)276-2579,HAL-055-004,920860,Active,4
Lincoln,The Addison of Lincolnton,96,"GA HC Reit II Alf TRS Lincolnton Sub, LLC",440 Salem Church Road,Lincolnton,NC,28092,303 E. Wacker Dr,Suite 2400,Chicago,IL,60601,(704)732-0029,(704)732-0089,HAL-055-009,456,Active,3
Lincoln,Wexford House,80,DePaul Adult Care Communities Inc,3900 Wexford Lane,Denver,NC,28037,3900 Wexford Lane,,Denver,NC,28037,(704)489-2633,(704)489-2650,HAL-055-008,980529,Active,3
Macon,Chestnut Hill of Highlands,26,"Highlands Assisted Living, LLC",24 Clubhouse Trail,Highlands,NC,28741,24 Clubhouse Trail,,Highlands,NC,28741,(828)526-5251,(828)526-8826,HAL-056-005,970361,Active,3
Macon,Franklin House,70,"Macon Health Holdings, LLC",186 One Center Court,Franklin,NC,28734,PO Box 26255,,Winston Salem,NC,27114,(828)363-9965,(828)363-9962,HAL-056-006,80177,Active,3
Macon,Grandview Manor Care Center,82,"Grandview Manor Care Center, Inc",150 Crisp Street,Franklin,NC,28734,150 Crisp Street,,Franklin,NC,28734,(828)524-4425,(828)349-4162,HAL-056-001,920455,Active,4
Madison,Mars Hill Retirement Community,69,"Western North Carolina Retirement, LLC",170 South Main Street,Mars Hill,NC,28754,170 South Main Street,,Mars Hill,NC,28754,(828)689-7900,(828)689-7972,HAL-057-010,980237,Active,4
Martin,Vintage Inn Retirement Community,122,"Vintage Inn Retirement Community, LLC",826 East Blvd. 17 N By-Pass,Williamston,NC,27892,PO Box 547,,Williamston,NC,27892,(252)792-8311,(252)792-4299,HAL-058-010,921293,Active,1
Martin,Williamston House,60,"WP-Williamston Health Holdings, LLC",160 Santree Drive,Williamston,NC,27892-1466,P.O. Box 26255,,Winston Salem,NC,27114,(252)792-6969,(252)792-6785,HAL-058-011,971507,Active,1
McDowell,Cedarbrook Residential Center,80,"Cedarbrook Residential Center, Inc",1267 Pinnacle Church Road,Nebo,NC,28761,PO Box 1257,,Marion,NC,28752,(828)652-4633,(828)659-1307,HAL-059-021,920947,Active,3
McDowell,Houston House,29,"Integrity-Houston House, LLC",9460  Hwy 64,Union Mills,NC,28167,3053 S. Church Street,,Burlington,NC,27215,(828)287-4943,(828)287-2556,HAL-059-033,921193,Active,4
McDowell,Lake James Lodge Assisted Living,60,"Lake James Lodge Assisted Living, Inc",63 Lakeview Drive North,Marion,NC,28752,P.O. Box 1009,,Marion,NC,28752,(828)652-3038,(828)652-3775,HAL-059-032,961014,Active,3
McDowell,McDowell Assisted Living,54,"McDowell Assisted Living, LLC",5235 NC 226 South,Marion,NC,28752,PO Box 909,,Marion,NC,28752,(828)652-3033,(828)659-8649,HAL-059-017,921030,Active,4
McDowell,McDowell House,25,"Integrity-McDowell House, LLC",1687 Dairy Road,Nebo,NC,28761,3053 S. Church Street,,Burlington,NC,27215,(828)652-5458,(828)652-4447,HAL-059-034,956982,Active,4
McDowell,Rose Hill Retirement Community,87,"Your H.O.M.E., Inc.",120 Fleming Avenue,Marion,NC,28752,PO Box 69,,Marion,NC,28752,(828)652-2504,(828)659-2518,HAL-059-027,960008,Active,4
Mecklenburg,Brighton Gardens of Charlotte,125,"Prime Care One, LLC",6000 Park South Drive,Charlotte,NC,28210,6000 Park South Drive,,Charlotte,NC,28210,(704)643-1400,(704)643-9400,HAL-060-019,970276,Active,2
Mecklenburg,Brookdale Carriage Club Providence I,77,"ARCLP-Charlotte, LLC",5802 Old Providence Road,Charlotte,NC,28226,5800 Old Providence Road,,Charlotte,NC,28226,(704)365-8551,(704)366-4270,HAL-060-016,960511,Active,3
Mecklenburg,Brookdale Carriage Club Providence II,34,"ARCLP-Charlotte, LLC",5816 Old Providence Road,Charlotte,NC,28226,5800 Old Providence Road,,Charlotte,NC,28226,(704)365-8551,(704)366-8885,HAL-060-049,971560,Active,3
Mecklenburg,Brookdale Charlotte East,50,"ARC Wilora Assisted Living, LLC",6053 Wilora Lake Road,Charlotte,NC,28212,6053 Wilora Lake Road,,Charlotte,NC,28212,(704)537-8848,(704)537-0118,HAL-060-060,980599,Active,3
Mecklenburg,Brookdale South Charlotte,82,"Brookdale Place of South Charlotte, LLC",5515 Rea Road,Charlotte,NC,28226,5515 Rea Rd,,Charlotte,NC,28226,(704)544-2094,(704)544-6530,HAL-060-101,960963,Active,2
Mecklenburg,Brookdale South Park,56,"BREA Charlotte, LLC",5326 Park Road,Charlotte,NC,28209,5326 Park Road,,Charlotte,NC,28209,(704)553-8700,(704)553-8922,HAL-060-085,970632,Active,3
Mecklenburg,Brookdale Weddington Park,83,"Southern Assisted Living, LLC",2404 Plantation Center Drive,Matthews,NC,28105,2404 Plantation Center Drive,,Matthews,NC,28105,(704)847-9477,(704)814-9869,HAL-060-042,980770,Active,3
Mecklenburg,Cadence Huntersville,96,"GAHC3 Huntersville NC TRS Sub, LLC",250 Commerce Center Drive,Huntersville,NC,28078,8501 N. Scottsdale Rd.,Suite 255,Scottsdale,AZ,85253,(704)875-6100,(704)875-6111,HAL-060-160,457,Ownership Changed,3
Mecklenburg,Cadence Senior Living at Mint Hill,84,"GAHC3 Mint Hill NC TRS Sub, LLC",5601 Margaret Wallace Road,Matthews,NC,28105,8501 N. Scottsdale Rd.,Suite 255,Scottsdale,AZ,85253,(704)573-4000,(704)573-4002,HAL-060-159,150495,Ownership Changed,3
Mecklenburg,Carmel Hills,38,"Carmel Hills, Inc.",2801 Carmel Road,Charlotte,NC,28226,2801 Carmel Road,,Charlotte,NC,28226,(704)364-8302,(704)364-8819,HAL-060-001,920171,Active,4
Mecklenburg,Charlotte Square,125,"CSL LeaseCo., Inc",5820 Carmel Road,Charlotte,NC,28226-8106,5820 Carmel Road,,Charlotte,NC,28226-8106,(704)544-4979,(704)540-7883,HAL-060-087,970658,Active,0
Mecklenburg,Cuthbertson Village at Aldersgate,61,"Aldersgate UMRC, Inc",3800 Shamrock Drive,Charlotte,NC,28215-3298,3800  Shamrock Drive,,Charlotte,NC,28215-3298,(704)532-7000,(704)532-5463,HAL-060-059,991042,Active,4
Mecklenburg,East Towne,120,"Charlotte Opco Holdings, LLC",4815 North Sharon Amity Road,Charlotte,NC,28205,P O Box 26255,,Winston Salem,NC,27114,(704)531-9690,(704)531-6009,HAL-060-149,920341,Active,0
Mecklenburg,Elmcroft of Little Avenue,62,"EC Opco Little Avenue, LP",7745 Little Avenue,Charlotte,NC,28226,"5885 Meadows Road, Suite 500",,Lake Oswego,OR,97035,(704)541-9333,(704)541-5358,HAL-060-156,971280,Active,3
