Est Name,Address,City,State,Zip,Phone,License Number,Issued,Expires,AZ,Reg,FL,Total,Alzheimer,Adult Day,County
Smith Crossing,10501 Emilie Ln,Orland Park,IL,60467,7083262326,5101677,05/27/18,05/27/19,16,46,,62,Yes,No,Will
Smith Village,2320 W. 113th Place,Chicago,IL,60643,7734747314,5102006,06/23/18,06/23/19,24,58,,82,Yes,No,Cook
Snyder Village Assisted Living,1115 Harbers Lane,Metamora,IL,61548,3093672500,5100950,03/10/19,03/10/20,20,45,,65,Yes,No,Woodford
"Solana Deer Park, The",21840 W. Lake Cook Road,Deer Park,,60010,8475501927,5105389,09/18/18,09/18/19,24,60,,84,Yes,No,Lake
Spring Meadows Libertyville,901 Florsheim Drive,Libertyville,IL,60048,8478169990,5103673,07/30/18,07/30/19,14,31,55,100,Yes,No,Lake
Spring Meadows Naperville,504 N River Rd,Naperville,IL,60563,6305484488,5103665,01/30/19,01/30/20,13,34,60,107,Yes,No,DuPage
Springfield Homes The Ranch,3363 Spaulding Orchard Road,Springfield,IL,62711,2176791030,5201873,03/06/19,07/06/19,,5,,5,No,No,Sangamon
"Springs at Monarch Landing, The",2308 N. Route 59,Naperville,,60563,6303001200,5106585,12/03/18,12/03/19,28,,,28,Yes,No,DuPage
Springs of Vernon Hills (The),350 South Milwaukee Ave,Vernon Hills,,60061,8476349300,5106254,03/29/19,03/29/20,70,,,70,Yes,No,Lake
"St. James Villas Wellness, Rehab Villas",1251 East Richton Road,Crete,,60417,7086726700,5104705,12/16/18,12/16/19,26,34,,60,Yes,No,Will
St. Joseph Village of Chicago,4021 W. Belmont,Chicago,IL,60641,7733285500,5102030,04/27/18,04/27/20,25,15,,40,Yes,No,Cook
"Stillwater Senior Living, LLC",1111 University Drive,Edwardsville,,62025,6186922273,5104903,04/30/19,04/30/20,,46,,46,No,No,Madison
Stonecroft Village Retirement Community,1700 Burlington St.,Mendota,IL,61342,8155385300,5106452,08/01/18,08/01/19,,32,,32,No,No,LaSalle
Sugar Creek Alzheimer's SCC,505 E Vernon Ave,Normal,,61761,3094513000,5104127,08/31/18,08/31/19,38,,,38,Yes,No,McLean
Summit of Uptown,10 N. Summit,Park Ridge,,60068,8478251161,5106569,02/18/19,02/18/20,19,,46,65,No,No,Cook
Sunrise of Barrington,510 Northwest Highway,Barrington,,60010,8473828888,5104028,11/08/18,11/08/20,24,21,,45,Yes,No,Lake
Sunrise of Bloomingdale,129 E Lake St.,Bloomingdale,IL,60108,6302958600,5101206,07/08/18,07/08/19,18,64,,82,Yes,No,DuPage
Sunrise of Buffalo Grove,180 West Half Day Rd,Buffalo Grove,IL,60089,8474788484,5101214,07/08/18,07/08/19,24,55,,79,Yes,No,Lake
Sunrise of Crystal Lake,751 E Terra Cotta Ave,Crystal Lake,IL,60014,8154446600,5101222,07/08/18,07/08/19,13,45,,58,Yes,No,McHenry
Sunrise of Flossmoor,19715 Governor's Hwy,Flossmoor,IL,60422,7087981600,5101230,07/08/18,07/08/19,17,45,,62,Yes,No,Cook
Sunrise of Fountain Square,2210 Fountain Square,Lombard,IL,60148,6308741405,5103343,02/09/19,02/09/20,20,60,,80,Yes,No,DuPage
Sunrise of Gurnee,500 N. Hunt Club Rd.,Gurnee,IL,60031,8478568100,5101255,08/21/18,08/21/19,13,46,,59,Yes,No,Lake
Sunrise of Highland Park,1601 Green Bay Road,Highland Park,,60035,8476811620,5104275,07/20/18,07/20/19,19,56,,75,Yes,No,Lake
Sunrise of Lincoln Park,2710 N. Clark St,Chicago,IL,60614,7732440005,5101263,06/23/18,06/23/19,14,46,,60,Yes,No,Cook
Sunrise of Naperville,960 E. Chicago Ave.,Naperville,IL,60540,6305791400,5101271,07/08/18,07/08/19,16,60,,76,Yes,No,DuPage
Sunrise of Naperville North,535 W. Ogden Ave.,Naperville,IL,60563,6303059400,5101289,03/28/19,03/28/20,33,44,,77,Yes,No,DuPage
Sunrise of Palos Park,12828 S. LaGrange Rd.,Palos Park,IL,60464,7083613577,5101297,07/08/18,07/08/19,25,60,,85,Yes,No,Cook
Sunrise of Park Ridge,1725 Ballard Rd.,Park Ridge,IL,60068,8478241724,5101305,07/08/18,07/08/19,39,71,,110,Yes,No,Cook
Sunrise of Schaumburg,790 N. Plum Grove Rd,Schaumburg,IL,60193,8475179700,5101313,07/08/18,07/08/19,30,52,,82,Yes,No,Cook
Sunrise of Willowbrook,6300 Clarendon Hill Rd,Willowbrook,IL,60527,6307349954,5101321,07/08/18,07/08/19,18,64,,82,Yes,No,DuPage
Sunrise of Wilmette,615 Ridge Rd,Wilmette,IL,60091,8472561600,5106791,01/01/19,05/01/19,28,,,28,No,No,Cook
Sunrise Villa Olympia Fields,3633 Breakers Drive,Olympia Fields,,60461,7087473333,5105470,10/17/18,10/17/19,,25,6,31,No,No,Cook
Sunset Haven,361 N. Alfred Ave,Elgin,IL,60123,8477421448,5200669,07/28/17,07/28/19,,7,,7,No,No,Kane
Sunshine Gardens,442 Comfort Drive,Marion,,62959,6183640482,5105215,02/25/19,02/25/20,15,40,8,63,Yes,No,Williamson
Sycamore Village,217 Castellano Dr,Swansea,IL,62226,6182222571,5103863,05/01/19,05/01/20,82,27,,109,Yes,No,St. Clair
Taylorville Estates Inc,705 South Houston Street,Taylorville,,62568,2178242222,5104473,06/13/18,06/13/20,,49,,49,No,No,Christian
Terra Vista of Oakbrook Terrace LLC,1635 D. Ardmore Avenue,Oakbrook Terrace,IL,60181,6305340886,5105207,01/23/19,01/23/20,106,,,106,Yes,No,DuPage
Terraces at The Clare,55 East Pearson Street,Chicago,,60611,3127848100,5104044,02/24/19,02/24/20,13,26,,39,Yes,No,Cook
"Theresa's Home Care 1, LLC",6455 Cunningham Court,Gurnee,,60031,8475252816,5200917,02/14/19,02/14/20,,5,,5,No,No,Lake
"Theresa's Home Care II, LLC",5044 Darlene Dr,Gurnee,IL,60031,8475252816,5201063,02/22/19,02/20/20,,4,,4,No,No,Lake
"Theresa's Home Care III, LLC",402 Bonnie Brae Ave,Grayslake,IL,60030,8475252816,5201303,12/08/17,12/08/19,,3,,3,No,No,Lake
Three Crowns Park,2323 McDaniel,Evanston,IL,60201,8473288700,5102915,03/11/19,03/11/20,18,,,18,Yes,No,Cook
Three Oaks Assisted Living,1055 Silver Lake Rd,Cary,IL,60013,8475166016,5103947,10/30/18,10/30/19,25,69,,94,Yes,No,McHenry
Timber Creek Village,201 Stahlhut,Lincoln,,62656,2176518771,5104812,01/13/19,01/13/20,,40,,40,No,No,Logan
Timber Creek Village,101 W. Sallee Street,Litchfield,IL,62056,2173132208,5106510,12/23/18,12/23/19,,40,,40,No,No,Montgomery
Timber Creek Village,1302 W Highland Ave.,Robinson,,62454,6185448877,5103855,01/19/19,01/19/20,,39,,39,No,No,Crawford
Timbers of Shorewood,1100 N. River Rd,Shorewood,IL,60404,8156090669,5101347,09/01/18,09/01/19,,,90,90,No,No,Will
Travanse Living at Grayslake,1865 East Belvidere Rd,Grayslake,IL,60030,8475487000,5105694,05/01/19,05/01/20,28,68,,96,Yes,No,Lake
Travanse Living at Wheaton,219 E. Parkway Drive,Wheaton,IL,60187,6307520644,5105793,05/01/18,05/01/19,20,64,,84,Yes,No,Du Page
Tremont Ridge Assisted Living,801 E Tremont St,Hillsboro,IL,62049,2175322733,5101354,02/26/19,02/26/21,10,28,,38,Yes,Yes,Montgomery
Trenton Village LLC,980 E. Broadway,Trenton,IL,62293,6182249465,5102170,07/01/18,07/01/19,15,42,,57,Yes,No,Clinton
United Methodist Village N. Campus,2101 James St,Lawrenceville,IL,62439,6189433444,5200974,11/23/18,11/23/19,,6,,6,No,No,Lawrence
"United Methodist Village Retirement Community, INC.",5201 Asbury Avenue,Godfrey,IL,62035,6184670191,5101362,02/07/19,02/07/20,11,33,,44,Yes,No,Madison
Vi at The Glen,2401 Indigo Lane,Glenview,IL,60026,8479044710,5100398,11/19/18,11/19/19,13,23,,36,Yes,No,Cook
Victorian Inn,12600 Renaissance Circle,Homer Glen,IL,60491,7083010800,5101370,06/05/17,06/05/19,20,40,,60,Yes,No,Will
Villa Catherine AL,491 Clinton St,Carlyle,IL,62231,6185948363,5101388,10/21/18,10/21/19,,18,,18,No,No,Clinton
Village at Mercy Creek (The),1501 Mercy Creek Dr.,Normal,IL,61761,3092681501,5106684,12/09/18,12/09/19,,60,,60,No,No,McLean
Village Woods,2681 S. Route 394,Crete,IL,60417,7086726111,5101404,11/04/18,11/04/19,,50,,50,No,No,Will
Villas at St. James,14335 Jamestown Road,Breese,,62230,6185260100,5104663,07/12/18,07/12/19,,65,,65,No,No,Clinton
Villas of Holly Brook & Reflections Pekin,2720 S. 14th Street,Pekin,,61455,3092013763,5105777,03/04/19,03/04/20,36,50,,86,Yes,Yes,Tazewell
Villas of Holly Brook Bethalto,312 Mechanical Drive,East Alton,IL,62024,6187170820,5106551,11/26/18,11/26/19,24,50,,74,Yes,Yes,Madison
Villas of Holly Brook Bloomington Fox Creek,2016 Fox Creek Rd,Bloomington,IL,61701,3098084027,5106239,02/28/19,02/28/20,20,51,,71,Yes,Yes,McLean
Villas of Holly Brook Charleston,738 18th Street,Charleston,IL,61920,2175122773,5106106,12/10/18,12/10/19,20,51,,71,Yes,Yes,Coles
Villas of Holly Brook Chatham,825 East Walnut,Chatham,,62629,2174834655,5104564,07/21/18,07/21/19,,50,,50,No,No,Sangamon
Villas of Holly Brook Effingham,904 West Evergreen,Effingham,,62401,2173422345,5104572,10/11/18,10/11/19,,44,,44,No,No,Effingham
Villas of Holly Brook Gibson City,1400 N. Melvin Street,Gibson City,,60936,2177271082,5105223,10/22/18,10/22/19,,50,,50,No,No,Ford
Villas of Holly Brook Harrisburg,220 Ron Crank Drive,Harrisburg,,62946,6182529218,5105538,08/15/18,08/15/19,18,50,,68,Yes,Yes,Saline
Villas of Holly Brook Herrin,505 Rushing Drive,Carterville,,62918,6189931997,5104580,06/13/18,06/13/20,,50,,50,No,Yes,Williamson
Villas of Holly Brook Marshall,17050 North Quality Lime Road,Marshall,,62441,2178265600,5104531,06/13/18,06/13/19,,46,,46,No,No,Clark
Villas of Holly Brook Monticello,901 Medical Center Dr,Monticello,,61856,2176311136,5104291,11/23/17,11/23/19,,50,,50,No,No,Piatt
Villas of Holly Brook Morton,1709 North Main Street,Morton,,61550,3093218393,5105173,01/21/19,01/21/20,,76,,76,No,No,Tazewell
Villas of Holly Brook Newton,101 South Gregory Dr.,Newton,,62448,6187834181,5104549,07/21/18,07/21/19,,41,,41,No,No,Jasper
Villas of Holly Brook Rantoul,722 Stone Bridge Center Drive,Rantoul,IL,61866,2172829854,5106312,04/22/19,04/22/20,24,50,,74,Yes,Yes,Champaign
Villas of Holly Brook Savoy,68 E. Airport Road,Savoy,,61874,2173596224,5104945,06/19/18,06/19/20,,50,,50,No,No,Champaign
Villas of Holly Brook Shelbyville,2201 W. Main Street,Shelbyville,,62565,2177741040,5104556,06/13/18,06/13/19,,45,,45,No,No,Shelby
Villas of Holly Brook Towanda Barnes,1815 N. Towanda Barnes Road,Bloomington,IL,61701,3095850541,5106445,08/11/18,08/11/19,24,50,,74,Yes,Yes,McLean
Villas of Holly Brook Washington,1285 Independence Court,Washington,,61571,3095087100,5104457,04/05/19,04/05/20,,79,,79,No,Yes,Tazewell
Villas of South Park,10000 South Main Street,Chatham,,62629,2176975415,5105447,04/10/19,10/10/19,,50,,50,No,No,Sangamon
Vines Senior Home (The),971 Bode Rd,Elgin,IL,60120,8476959600,5106122,11/24/18,11/24/20,,14,,14,No,No,Cook
Violet Lane,101 N. Violet Lane,Carbondale,IL,62901,6185199560,5200941,04/25/18,04/25/19,,6,,6,No,No,Jackson
Voyage Senior Living - Marion South,815 Mississippi Drive,Marion,,62959,6189933503,5104218,04/06/19,10/06/19,,27,,27,No,No,Williamson
Voyage Senior Living - Murphysboro East,5 North Shawnee Dr,Murphysboro,IL,62966,6186845818,5100299,03/19/19,03/19/20,,50,,50,No,No,Jackson
Voyage Senior Living - Murphysboro West,11 N. Shawnee Dr,Murphysboro,IL,62966,6186845818,5100281,03/19/19,03/19/19,,24,,24,No,No,Jackson
Waterford Estates,17400 S. Kedzie Ave,Hazel Crest,IL,60429,7083351600,5101412,04/27/18,04/27/19,19,,61,80,Yes,No,Cook
Waverly Inn Memory Care Community,515 W. Rand Road,Arlington Heights,IL,60004,2242488916,5106411,03/16/19,03/16/20,60,,,60,No,No,Cook
Weinberg Community,1551 Lake Cook Rd,Deerfield,IL,60015,8473740500,5101420,06/14/17,06/14/19,40,125,,165,Yes,Yes,Cook
Welbrook Bloomington Operating Co,1402 Leslie Dr,Bloomington,IL,61704,3096032500,5106387,07/20/18,07/20/19,24,56,,80,Yes,No,McLean
Wellshire Morton Grove,8415 Waukegan Road,Morton Grove,,60053,8474704550,5104887,06/25/18,06/25/19,,45,,45,No,No,Cook
Westbridge Assisted Living,500 Wyndemere Circle,Wheaton,,60187,6306906662,5105025,06/28/18,06/29/19,12,65,5,82,Yes,No,DuPage
Westbrook Senior Living,110 W. Schaumburg Rd,Streamwood,,60107,6303724114,5105504,01/29/19,01/29/20,24,56,,80,Yes,No,Cook
Westminster Village AL,2025 E. Lincoln St,Bloomington,IL,61701,3096636474,5102329,01/29/18,01/29/20,,30,30,60,No,No,McLean
White Oaks at Heritage Woods of McHenry,4605 W. Crystal Lake Rd,Mc Henry,IL,60050,8153442970,5106072,02/06/19,02/16/20,40,,,40,Yes,No,McHenry
White Oaks at Spring Street,1300 Spring Street,South Elgin,,60177,8477173187,5104846,06/28/18,06/28/19,30,,,30,Yes,No,Kane
Willow Crossing Senior Living,809 N. Central Ave.,Addison,IL,60101,6302917500,5201790,02/28/19,06/28/19,,3,,3,No,No,DuPage
Willow Falls,1681 Willow Circle Drive,Crest Hill,,60403,8157255868,5105546,09/24/18,09/24/19,31,82,,113,Yes,No,Will
Willowbrook of Effingham,100 Blohm Avenue,Effingham,IL,62401,2178210779,5200990,11/18/18,11/18/19,12,,,12,Yes,Yes,Effingham
Willowbrook of Effingham #3,104 Blohm Avenue,Effingham,,62401,2178210779,5201550,10/08/18,11/18/19,12,,,12,Yes,No,Effingham
Willowbrook of Effingham East,102 Blohm Ave,Effingham,IL,62401,2173423239,5201105,11/18/18,11/18/19,12,,,12,Yes,No,Effingham
Willowbrook of Marshall #1,1002 North Second St,Marshall,IL,62441,2178210779,5201741,05/17/18,05/17/19,12,,,12,Yes,No,Clark
Willowbrook of Marshall #2,1000 N. 2nd Street,Marshall,IL,62441,2178210779,5201840,09/21/18,09/21/19,12,,,12,Yes,No,Clark
Willowbrook of Savoy,404 W. Curtis,Savoy,,61874,2176078932,5201394,07/03/18,07/03/20,12,,,12,Yes,No,Champaign
Willowbrook of Savoy #2,406 W. Curtis,Savoy,,61874,2176007705,5201493,04/15/18,04/15/20,12,,,12,Yes,No,Champaign
Willowbrook of Savoy #3,408 W Curtis,Savoy,,61874,2178210779,5201527,07/23/18,07/23/20,12,,,12,Yes,No,Champaign
Willowbrook of Vandalia #1,1125 Sunset Drive,Vandalia,IL,62471,2178210779,5201808,06/28/18,06/28/19,12,,,12,Yes,No,Fayette
Windsor Court - Savoy,401 Burwash Ave,Savoy,IL,61874,2173511490,5102337,02/10/18,02/10/20,,36,,36,No,No,Champaign
Windsor Manor Morrison,403 Scenic Street,Morrison,IL,61270,8157724031,5104721,12/09/18,12/09/20,16,24,,40,Yes,No,Whiteside
Windsor Park Manor,124 Windsor Park Dr,Carol Stream,IL,60188,6305105200,5101453,09/17/17,09/17/19,16,22,,38,Yes,No,DuPage
Winn Prairie,1545 S. Forest Road,Freeport,,61032,8156564800,5105587,04/07/19,04/07/20,30,31,,61,Yes,No,Stephenson
Woodlands at The British Home,3000 McCormick Ave,Brookfield,IL,60513,7084850135,5101461,08/13/18,08/13/19,,73,,73,No,No,Cook
"Woods Garden Villa, The",302 S. Main St,Lincoln,,62656,2177322189,5201535,10/17/18,10/17/19,,12,,12,No,No,Logan
