Name of Facility,Location Street,Location City,Location State,ZIP Code,County,Facility #,Admin Name & Phone,Facility Email,Fac. Cont. Email,License / Expiration,County / Ownership Type,Mailing Address,Mailing City,Mailing State,Mailing ZIP,Licensee,Alzheimer Unit,Alzheimer Care,# of Licensed Beds,Max # of Beds,X,Y,Permit Type,x,y
CUMMINGS COMMUNITY RESIDENTIAL CARE HOME,2606 STARK LN,NORTH CHARLESTON,SC,29405-5537,Charleston,843-747-7088,"CUMMINGS, OLYMPIA W. PH#: 843-860-2340",OCUMMINGS03@COMCAST.NET,OCUMMINGS03@COMCAST.NET,CRC-0891 / 10/31/2021,Charleston / Sole Proprietorship,2606 STARK LN,NORTH CHARLESTON,SC,29405,"CUMMINGS, OLYMPIA W.",N,N,8,8,-79.99037799,32.85222403,HLRESIDENTIALCARE,594473.621,3635356.248
CURAMENG RESIDENTIAL HOME CARE,2021 COSGROVE AVE,NORTH CHARLESTON,SC,29405-7710,Charleston,843-566-1266,"REYES, MILAGROS L. PH#: 843-566-1266",MYLESR05@YAHOO.COM,MYLESR05@YAHOO.COM,CRC-1187 / 11/30/2021,Charleston / Corporation,109 WELCHMAN AVE,GOOSE CREEK,SC,29445-7154,JFJ INC,N,N,8,10,-79.97612224,32.85682768,HLRESIDENTIALCARE,595802.6882,3635879.474
CYPRESS PLACE,205 MIDLAND PKWY,SUMMERVILLE,SC,29485-8104,Dorchester,843-875-7163,"HOOLEY, JOHANNA PH#: 843-875-7163",JHOOLEY@ENLIVANT.COM,,CRC-1411 / 11/30/2021,Dorchester / Limited Liability,330 N WABASH AVE STE 3700,CHICAGO,IL,60611-7605,CYPRESS AID OPCO LLC,N,N,44,44,-80.16174068,32.96584168,HLRESIDENTIALCARE,578338.0025,3647811.997
DALTONS CMC RESIDENTIAL CARE FACILITY,1231 EUTAW ST,ORANGEBURG,SC,29115-3529,Orangeburg,803-747-7006,"JENKINS, LAVEDA PH#: 803-347-9443",CHERYLGDALTON@GMAIL.COM,CHERYLGDALTON@GMAIL.COM,CRC-1447 / 07/31/2021,Orangeburg / Sole Proprietorship,1231 EUTAW ST,ORANGEBURG,SC,29115-3529,"GIBSON-DALTON, CHERYL",N,N,5,5,-80.85527775,33.50685519,HLRESIDENTIALCARE,513441.5268,3707488.621
DAVIDSON STREET COMMUNITY RESIDENCE,313 DAVIDSON ST,CLINTON,SC,29325-2023,Laurens,864-833-7284,"TAVENNER, JASON PH#: 864-833-7284",KMCGOWAN@LCDSNB.ORG,JTAVENNER@LCDSNB.ORG,CRC-1420 / 12/31/2021,Laurens / Non-Profit Corporation,1860 HWY 14,LAURENS,SC,29360-1068,LAURENS COUNTY DISABILITIES AND SPECIAL NEEDS BOARD,N,N,8,8,-81.87336934,34.47938172,HLRESIDENTIALCARE,419801.0015,3815656.998
DAYSPRING ASSISTED LIVING,5146 TOWLES RD,HOLLYWOOD,SC,29449-6119,Charleston,843-889-9757,"MARSHALL, GRAEME PH#: 843-889-9757",DAYSPRINGSC@YAHOO.COM,DAYSPRINGSC@YAHOO.COM,CRC-1385 / 03/31/2022,Charleston / Ltd. Liability,5146 TOWLES RD,HOLLYWOOD,SC,29449-6119,DAYSPRING ASSISTED LIVING LLC,N,Y,16,18,-80.20733598,32.74101737,HLRESIDENTIALCARE,574263.9355,3622854.546
DAYSPRING OF JOHNS ISLAND,3455 BOHICKET RD,JOHNS ISLAND,SC,29455-7222,Charleston,843-768-5335,"MARSHALL, YASSAMIN B. PH#: 843-768-5335",DAYSPRINGSC@YAHOO.COM,DAYSPRINGSC@YAHOO.COM,CRC-1915 / 03/31/2022,Charleston / Corporation,3455 BOHICKET RD,JOHNS ISLAND,SC,29455-7222,DAYSPRING OF JOHNS ISLAND INC,N,Y,24,,-80.12889705,32.65920026,HLRESIDENTIALCARE,581687.5357,3613842.002
DILLON COMMUNITY RESIDENCE,506 S 14TH AVE,DILLON,SC,29536-4369,Dillon,843-841-0778,"TIMMONS, ELLA M. PH#: 843-841-0778",MKEITH@MDDSN.ORG,ETIMMONS@MDDSN.ORG,CRC-1377 / 04/30/2022,Dillon / County,"400 MARTIN LUTHER KING BLVD, MARION-DILLON CO BRD OF DISAB & SPECIAL",MARION,SC,29571,MARION-DILLON COUNTY BOARD OF DISABILITIES AND SPECIAL NEEDS,N,N,8,8,-79.3681371,34.40965224,HLRESIDENTIALCARE,649979.1284,3808786.075
DIVINE MANOR ASSISTED LIVING CENTER,2210 OAK POND RD,ROCK HILL,SC,29730-7958,York,803-329-4494,"AFAM, DORIS O. PH#: 803-329-4494",DIVINEMANOR@COMPORIUM.NET,DIVINEMANOR@COMPORIUM.NET,CRC-1361 / 07/31/2021,York / Limited Liability,2210 OAK POND RD,ROCK HILL,SC,29730-7958,DIVINE NURSE CONSULTANT LLC,N,Y,32,32,-80.97044434,34.88098469,HLRESIDENTIALCARE,502700.9025,3859845.247
DIXON'S COMMUNITY CARE HOME,1456 DIXON RD,ELGIN,SC,29045-9030,Kershaw,803-729-4309,"DIXON, JAMES M. PH#: 803-729-4309",JADIXON35@GMAIL.COM,JAMES.DIXON@RICHLANDONE.ORG,CRC-0934 / 09/30/2021,Kershaw / Corporation,1498 DIXON RD,ELGIN,SC,29045-9030,DIXON'S COMMUNITY CARE HOME INC,N,N,5,6,-80.78691634,34.19085943,HLRESIDENTIALCARE,519633.712,3783338.938
DOMINION SENIOR LIVING AT PATRICK SQUARE,100 PERSHING AVE,CLEMSON,SC,29631,Pickens,864-722-2811,"DAUGHERTY, LINDSEY R. PH#: 864-722-2811",MARKT@DOMINIONDG.COM,LINDSEYD@DOMINIONSENIORLIVING.COM,CRC-1966 / 03/31/2022,Pickens / ,145 THOMAS GREEN BLVD STE 210,CLEMSON,SC,29631,DOMINION CLEMSON LLC,Y,Y,78,,-82.81369678,34.68502466,HLRESIDENTIALCARE,336391.654,3839385.715
DOMINION SENIOR LIVING OF ANDERSON,3461 N HWY 81,ANDERSON,SC,29621,Anderson,864-332-4511, PH#: ,CHRISP@DOMINIONANDERSON.COM,,CRC-1955 / 12/31/2021,Anderson / Limited Liability Company (multiple member),145 THOMAS GREEN BLVD STE 210,CLEMSON,SC,29631,DOMINION ANDERSON LLC,Y,Y,70,,-82.62094374,34.58819084,HLRESIDENTIALCARE,351341.8744,3828570.454
DORCH COMMUNITY RESIDENTIAL CARE,3921 GREELEYVILLE HWY,MANNING,SC,29102,Clarendon,803-473-4681,"FORTUNE, ELLA R. PH#: 803-473-4681",DORCHANDREW@YAHOO.COM,ERFORTUNE62@YAHOO.COM,CRC-1078 / 04/30/2022,Clarendon / Partnership,PO BOX 122,MANNING,SC,29102-0122,EVELYN DORCH LEWIS AND ANDREW DORCH,N,N,13,13,-80.162579,33.680951,HLRESIDENTIALCARE,577623.0938,3727096.014
DOWDY'S COMMUNITY CARE HOME #2,4609 ARLINGTON ST,COLUMBIA,SC,29203-4143,Richland,803-786-2105,"DOWDY, FRANK PH#: 803-786-2105",TDOWDY@CIO.SC.GOV,TOMMYDOWDY@ROCKETMAIL.COM,CRC-0173 / 08/31/2021,Richland / Sole Proprietorship,6125 LUKE ST,COLUMBIA,SC,29203-5067,ANNIE R DOWDY,N,N,9,10,-81.04150667,34.04639827,HLRESIDENTIALCARE,496169.0346,3767301.322
DREAMLAND RESIDENTIAL CARE,6941 NORTH RD,NORTH,SC,29112-8832,Orangeburg,803-533-7492,"WRIGHT, DELORES M. PH#: 803-533-7492",DELORESWRIGHT4@AOL.COM,DELORESWRIGHT4@AOL.COM,CRC-0795 / 10/31/2021,Orangeburg / Sole Proprietorship,6941 NORTH RD,NORTH,SC,29112-8832,DELORES M WRIGHT,N,N,5,5,-81.00873397,33.60945225,HLRESIDENTIALCARE,499189.7642,3718854.226
EASLEY PLACE- A CONTINUUM OF CARE COMMUNITY,706 PELZER HWY,EASLEY,SC,29642-3800,Pickens,864-859-0167,"WINN, LAURA O. PH#: 864-859-0167",MARLEDGE@EASLEYPLACE.COM,LWINN@EASLEYPLACE.COM,CRC-2137 / 11/30/2021,Pickens / Limited Liability,,,,,SCHOOL ROAD SENIOR LIVING LLC,N,N,85,,-82.595774,34.794567,HLRESIDENTIALCARE,354013.4019,3851421.932
EASLEY PLACE NORTH- A CONTINUUM OF CARE COMMUNITY,125 ZION SCHOOL RD,EASLEY,SC,29642-2833,Pickens,864-859-0167, PH#: ,MARLEDGE@EASLEYPLACE.COM,,CRC-2138 / 01/31/2022,Pickens / Limited Liability,,,,,SCHOOL ROAD SENIOR LIVING LLC,N,N,66,,-82.597129,34.79485,HLRESIDENTIALCARE,353889.9761,3851455.317
EASLEY RETIREMENT CENTER,102 DOWLING ST,EASLEY,SC,29641,Pickens,864-859-3722,"OWENS, BERT J. PH#: 864-859-3722",SARAFOSTER@EASLEYRETIREMENT.NET,SARAFOSTER@EASLEYRETIREMENT.NET,CRC-0359 / 02/28/2022,Pickens / Corporation,"102 DOWLING ST, PO BOX 736",EASLEY,SC,29640-2424,WEST END RETIREMENT CENTER INC,N,N,16,28,-82.57720289,34.83531995,HLRESIDENTIALCARE,355783.4956,3855914.934
EASY LIVING,506 E JACKSON ST,LAMAR,SC,29069-9162,Darlington,843-326-5884,"JONES, ERIC PH#: 843-326-5884",19EJONES19@GMAIL.COM,19EJONES19@GMAIL.COM,CRC-1512 / 03/31/2022,Darlington / Sole Proprietorship,PO BOX 85,LAMAR,SC,29069-0085,"GEORGE, EDELL",N,N,5,,-80.05408685,34.16723558,HLRESIDENTIALCARE,587182.9464,3781103.172
EDEN TERRACE OF SPARTANBURG,2780 E MAIN ST,SPARTANBURG,SC,29307-1248,Spartanburg,864-579-7387,"HUGHES, CINDY B. PH#: 864-579-7387",CINDY.HUGHES@ARBORCOMPANY.COM,CHUGHES@ARBORCOMPANY.COM,CRC-1213 / 05/31/2022,Spartanburg / Ltd. Liability,2780 E MAIN ST,SPARTANBURG,SC,29307,BRISTOL SPARTANBURG LLC,Y,Y,140,115,-81.86995037,34.98080472,HLRESIDENTIALCARE,420596.0011,3871259.995
ELLIOTT'S RESIDENTIAL CARE HOME,2432 LANDSDOWNE RD,BOWMAN,SC,29018-9583,Orangeburg,803-829-3348,"LEVINS, DEBORAH Y. PH#: 803-829-3348",ELLIOTTSCAREHOME@GMAIL.COM,ELLIOTTSCAREHOME@GMAIL.COM,CRC-0272 / 10/31/2021,Orangeburg / Corporation,PO BOX 265,BOWMAN,SC,29018-0265,ELLIOTT'S RESIDENTIAL CARE HOME INC,N,N,7,8,-80.61298639,33.37819678,HLRESIDENTIALCARE,535998.2773,3693282.037
ELMCROFT OF FLORENCE,3006 HOFFMEYER RD,FLORENCE,SC,29501-7551,Florence,843-292-0012,"COSGROVE-FLECKNOE, JANICE A. PH#: 843-347-9280",JANICE.COSGROVE@ELMCROFT.COM,JFLECKNOE.ANDERSONOAKS@YAHOO.COM,CRC-2026 / 01/31/2022,Florence / Limited Liability,"5885 MEADOWS RD STE 500, ECLIPSE SENIOR LIVING",LAKE OSWEGO,OR,97035,EC OPCO FLORENCE SC LLC,Y,Y,82,,-79.837347,34.205748,HLRESIDENTIALCARE,607111.7128,3785580.259
EMERALD GARDENS OF GREENWOOD,201 OVERLAND DR,GREENWOOD,SC,29646-4097,Greenwood,864-953-2174, PH#: ,MPATTERSON@EMERALDGARDENSASSISTEDLIVING.,,CRC-1378 / 10/31/2021,Greenwood / Ltd. Liability,201 OVERLAND DR,GREENWOOD,SC,29646-4097,EMERALD GARDENS OF GREENWOOD LLC,Y,Y,66,66,-82.15664203,34.16976197,HLRESIDENTIALCARE,393396.8734,3781583.495
EMERALD RCF I,2244 BROWNTOWN RD,BISHOPVILLE,SC,29010-9664,Lee,803-428-6044, PH#: ,MARJORIE.WILSON-GUESS@SCDMH.ORG,,CRC-2066 / 02/28/2022,Lee / State,2414 BULL ST,COLUMBIA,SC,29201-1924,SOUTH CAROLINA DEPARTMENT OF MENTAL HEALTH,N,N,5,,-80.34352035,34.19410739,HLRESIDENTIALCARE,560486.7216,3783873.309
EMERALD RCF II,2262 BROWNTOWN RD,BISHOPVILLE,SC,29010-9664,Lee,803-428-6044,"POLLARD, DAISY W. PH#: 803-428-5407",MARJORIE.WILSON-GUESS@SCDMH.ORG,DAISY.POLLARD@SCDMH.ORG,CRC-2074 / 02/28/2022,Lee / State,"2414 BULL ST, SCDMH",COLUMBIA,SC,29201-1924,SOUTH CAROLINA DEPARTMENT OF MENTAL HEALTH,N,N,5,,-80.34405215,34.19378994,HLRESIDENTIALCARE,560437.9476,3783837.793
EUGENIA'S RESIDENTIAL CARE FACILITY,2232 HEYWARD BROCKINGTON RD,COLUMBIA,SC,29203-9677,Richland,803-786-1047, PH#: ,DAVISCCHANDERCF.INFO@GMAIL.COM,,CRC-0538 / 08/31/2021,Richland / Partnership,PO BOX 3273,COLUMBIA,SC,29230-3273,ELIJAH DAVIS THOMASENA DAVIS & EUGENIA M EARGLE,N,N,23,23,-81.05536427,34.132021,HLRESIDENTIALCARE,494895.1523,3776795.746
FAIRVIEW PARK ASSISTED LIVING,544 HARRISON BRIDGE RD,SIMPSONVILLE,SC,29860,Greenville,864-757-8812,"HOWE, VALERIE PH#: ",ASURLS@ATLASSENIORLIVING.COM,VHOWE@ATLASSENIORLIVING.COM,CRC-2050 / 02/28/2022,Greenville / Limited Liability,2700 HWY 280 STE 460E,BIRMINGHAM,AL,35223,AFF18 FAIRVIEW PARL ALF LLC,Y,Y,90,,-82.26765015,34.70224315,HLRESIDENTIALCARE,383904.0019,3840755.006
FAMILY RESIDENTIAL CARE HOME I,21 EDWARDS ST,SUMTER,SC,29150-4808,Sumter,803-757-1032,"WALTERS, MICHAEL A. PH#: 803-775-9555",TWRG32@YAHOO.COM,TWRG32@YAHOO.COM,CRC-1233 / 02/28/2022,Sumter / Sole Proprietorship,PO BOX 562,SUMTER,SC,29151-0562,"WALTERS, MICHAEL A.",N,N,5,5,-80.35312692,33.91900055,HLRESIDENTIALCARE,559794.45,3753363.338
FAMILY RESIDENTIAL CARE HOME II,23 EDWARDS ST,SUMTER,SC,29150-4808,Sumter,803-775-9555,"WALTERS, MICHAEL A. PH#: 803-775-9555",TWRG32@YAHOO.COM,TWRG32@YAHOO.COM,CRC-1277 / 06/30/2021,Sumter / Sole Proprietorship,19 EDWARDS ST,SUMTER,SC,29150,"WALTERS, MICHAEL A.",N,N,5,5,-80.35313083,33.91887233,HLRESIDENTIALCARE,559794.1782,3753349.119
FAMILY RESIDENTIAL CARE HOME III,25 EDWARDS ST,SUMTER,SC,29150-4808,Sumter,803-775-9555,"WALTER, MICHAEL PH#: 803-775-9555",TWRG32@YAHOO.COM,TWRG32@YAHOO.COM,CRC-1537 / 02/28/2022,Sumter / Sole Proprietorship,2625 CASEY LN,SUMTER,SC,29153,"WALTERS, MICHAEL A.",N,N,12,,-80.35295163,33.91873198,HLRESIDENTIALCARE,559810.8419,3753333.661
FARMINGTON COMMUNITY RESIDENCE,1269 CAMP RD,JAMES ISLAND,SC,29412-9212,Charleston,843-795-2461,"CAPERS, MADLYN PH#: 843-795-2461",ETURNER@DSNCC.COM,MCAPERS@DSNCC.COM,CRC-1370 / 01/31/2022,Charleston / State,"PO BOX 22708, DISABILITIES BOARD OF CHARLESTON COUNTY",CHARLESTON,SC,29413-2708,DISABILITIES BOARD OF CHARLESTON COUNTY,N,N,8,8,-79.950656,32.72794038,HLRESIDENTIALCARE,598327.3838,3621613.886
FH&C RESIDENTIAL CARE LLC,101 COE RD,ANDERSON,SC,29624,Anderson,864-437-8327, PH#: ,0911BEAUTYJ@GMAIL.COM,,CRC-2169 / 10/31/2021,Anderson / Limited Liability,,,,,FH&C RESIDENTIAL CARE LLC,N,N,10,,-82.644342,34.481708,HLRESIDENTIALCARE,349003.6664,3816795.747
FIRST CHOICE HOME CARE FACILITY,2003 COSGROVE AVE,NORTH CHARLESTON,SC,29405-5702,Charleston,843-225-0637,"RELLORA, JESUS N. PH#: ",EJCRELLORA@GMAIL.COM,,CRC-0742 / 10/31/2021,Charleston / Partnership,2827 SPRUILL AVE,NORTH CHARLESTON,SC,29405,DQR CAMBA/NM CAMBA/GT MARTINEZ/P MARTINEZ/P PAJOTA,N,N,8,9,-79.97586154,32.85741949,HLRESIDENTIALCARE,595826.4459,3635945.322
FLANAGAN COMMUNITY CARE HOME,665 SHARPE RD,COLUMBIA,SC,29203-9304,Richland,803-754-2136,"BRIGGS, MARY E. PH#: 803-754-2136",MARYPBRIGGS1@GMAIL.COM,MARYPBRIGGS1@GMAIL.COM,CRC-0314 / 09/30/2021,Richland / Sole Proprietorship,665 SHARPE RD,COLUMBIA,SC,29203-9304,"BRIGGS, MARY E.",N,N,9,10,-81.00065852,34.08987981,HLRESIDENTIALCARE,499939.2509,3772121.746
FLORA'S RESIDENTIAL CARE FACILITY II,703 S HARVIN ST,SUMTER,SC,29150-6415,Sumter,803-775-6007,"YORK-HERRIOTT, LUCINDA PH#: 803-775-6007",LUCINDAHERRIOTT@GMAIL.COM,LUCINDAHERRIOTT@GMAIL.COM,CRC-1519 / 12/31/2021,Sumter / Sole Proprietorship,1685 REEDROMAN RD,SUMTER,SC,29153-8497,"YORK-HERRIOTT, LUCINDA",N,N,5,,-80.33938221,33.90734302,HLRESIDENTIALCARE,561073.2946,3752078.85
FLORENCE PLACE,1938 MOUNTAIN LAUREL CT,FLORENCE,SC,29505-6084,Florence,312-725-7000,"MCCLEOD, HILL JENNIFER PH#: ",JHILL2@ENLIVANT.COM,,CRC-1990 / 10/31/2021,Florence / Limited Liability,330 N WABASH AVE STE 3700,CHICAGO,IL,60611-7605,FLORENCE BG OPCO LLC,Y,Y,90,,-79.755179,34.157879,HLRESIDENTIALCARE,614746.8813,3780361.505
FLOWERS RESIDENTIAL CARE FACILITY,855 WATTS HILL RD,LUGOFF,SC,29078-9234,Kershaw,803-438-2654,"FLOWERS, MARY C. PH#: 803-438-2654",MLA3524@YAHOO.COM,MLA3524@YAHOO.COM,CRC-0297 / 11/30/2021,Kershaw / Sole Proprietorship,855 WATTS HILL RD,LUGOFF,SC,29078-9234,"FLOWERS, MARY C.",N,Y,7,8,-80.76543959,34.18145043,HLRESIDENTIALCARE,521615.0023,3782299.997
FOOTHILLS ASSISTED LIVING,999 W UNION RD,WEST UNION,SC,29696-2642,Oconee,864-638-4370,"NICHOLS, KYMBERLY PH#: 864-638-4370",KNICHOLS@CITE-MGMT.COM,KNICHOLS@CITE-MGMT.COM,CRC-1364 / 08/31/2021,Oconee / Corporation,106 MARLEE CT,LEXINGTON,SC,29072-8492,CITE HEALTH MANAGEMENT SERVICES INC,Y,Y,76,76,-83.02961237,34.73891615,HLRESIDENTIALCARE,314194.4329,3845966.246
FOREST CIRCLE COMMUNITY RESIDENCE,505 FOREST CIR,WALTERBORO,SC,29488-2869,Colleton,843-549-5140,"FARMER, THERESA L. PH#: 843-549-5140",TFARMER@COLLETONDSN.ORG,TFARMER@COLLETONDSN.ORG,CRC-1527 / 09/30/2021,Colleton / State,505 FOREST CIR,WALTERBORO,SC,29488-2869,COLLETON COUNTY BOARD OF DISABILITIES AND SPECIAL NEEDS,N,N,8,,-80.67920271,32.91592428,HLRESIDENTIALCARE,529996.001,3642011.996
FOREST VIEW MANOR RETIREMENT CENTER,141 CALLISON HWY,MCCORMICK,SC,29835-3524,Edgefield,864-443-5857,"NIXON, KENNETH M. PH#: 864-443-5857",KMNIXON62@AOL.COM,KMNIXON62@AOL.COM,CRC-0500 / 11/30/2021,Edgefield / Corporation,141 CALLISON HWY,MCCORMICK,SC,29835-3524,HILLSIDE INC,N,Y,40,40,-82.12227553,33.93562387,HLRESIDENTIALCARE,396279.652,3755585.246
FRANKE HOME,1885 RIFLE RANGE RD,MOUNT PLEASANT,SC,29464-9440,Charleston,843-856-4705,"STOLL, SANDRA A. PH#: 843-856-4700",SSTOLL@FRANKEATSEASIDE.ORG,SSTOLL@FRANKEATSEASIDE.ORG,CRC-1082 / 09/30/2021,Charleston / Non-Profit Corporation,1885 RIFLE RANGE RD,MOUNT PLEASANT,SC,29464-9440,LUTHERAN HOMES OF SOUTH CAROLINA INC,Y,Y,86,86,-79.8197044,32.82152193,HLRESIDENTIALCARE,610483.0021,3632117.996
GABLES ON PELHAM ASSISTED LIVING AND MEMORY CARE,1306 PELHAM RD,GREENVILLE,SC,29615-3600,Greenville,864-286-6600,"KENNEDY, SHERRY SUE PH#: ",SUE@THEGABLESONPELHAM.COM,,CRC-2157 / 07/31/2021,Greenville / Limited Liability,,,,,FSL GREENVILLE SC TENANT LLC,N,N,119,,-82.307621,34.855499,HLRESIDENTIALCARE,380464.5168,3857798.247
GARDEN HOUSE LLC,201 EDGEBROOK DR,ANDERSON,SC,29621-2573,Anderson,864-964-5668, PH#: ,LICENSING@PRINCIPALSENIORLIVING.COM,,CRC-1437 / 07/31/2021,Anderson / Ltd. Liability,11175 CICERO DR STE 500,ALPHARETTA,GA,30022-0004,ARHC GHANDSC01 TRS LLC,Y,Y,75,60,-82.63319202,34.5534423,HLRESIDENTIALCARE,350156.1165,3824734.798
GARDENS AT EASTSIDE,275 COMMONWEALTH DR,GREENVILLE,SC,29615-4814,Greenville,864-329-1200,"FORD, JANE A. PH#: 864-329-1200",JANE.FORD@ARBORCOMPANY.COM,JFORD@ARBORCOMPANY.COM,CRC-1222 / 08/31/2021,Greenville / Ltd. Liability,275 COMMONWEALTH DR,GREENVILLE,SC,29615-4814,EASTSIDE ASSISTED LIVING LLC,Y,Y,83,83,-82.32004193,34.85234452,HLRESIDENTIALCARE,379324.2729,3857463.323
GARDENS AT SUMTER,2065 MCCRAYS MILL RD,SUMTER,SC,29154-6111,Sumter,803-778-9690,"CASANOVA, CATHY PH#: 000-000-0000",MDEATON@AFFINITYLIVINGGROUP.COM,MCEL.ADM@AFFINITYLIVINGHGROUP.COM,CRC-0988 / 06/30/2021,Sumter / Limited Liability,PO BOX 2568,HICKORY,NC,28603-2568,SUMTER AL HOLDINGS LLC,Y,Y,140,100,-80.38657628,33.90480121,HLRESIDENTIALCARE,556711.8794,3751769.955
GENERATIONS OF BATESBURG,111 GENERATIONS BLVD,BATESBURG,SC,29006-2315,Lexington,803-532-8428,"NIX, HAMMIE R. PH#: 803-532-8428",TIM@GENERATIONSOFCHAPIN.COM,HAMMIE@GENERATIONSOFBATESBURG.COM,CRC-0647 / 09/30/2021,Lexington / Corporation,431 E BOUNDARY ST,CHAPIN,SC,29036-8388,GENERATIONS OF BATESBURG INC,N,N,88,88,-81.53487748,33.90702979,HLRESIDENTIALCARE,450551.2038,3751976.462
GENERATIONS OF CHAPIN,431 E BOUNDARY ST,CHAPIN,SC,29036-8388,Lexington,803-345-1911,"HOLLINGSWORTH, VIRGINIA PH#: 803-345-1911",TODD@GENERATIONSOFCHAPIN.COM,VIRGINIA@SCGENERATIONS.COM,CRC-1128 / 10/31/2021,Lexington / Corporation,431 E BOUNDARY ST,CHAPIN,SC,29036-8388,GENERATIONS OF CHAPIN INC,N,N,56,64,-81.3396408,34.16188585,HLRESIDENTIALCARE,468694.4652,3780157.9
GENERATIONS OF IRMO,7142 WOODROW ST,IRMO,SC,29063-2832,Lexington,803-227-8991,"EDWARDS, CHARLES DAVID PH#: 803-227-8991",DEDWARDS@CAREBYGENERATIONS.COM,DEDWARDS@CAREBYGENERATIONS.COM,CRC-1477 / 05/31/2022,Lexington / Limited Liability,7142 WOODROW ST,IRMO,SC,29063-2832,GENERATIONS OF IRMO LLC,Y,Y,78,,-81.17879583,34.07940226,HLRESIDENTIALCARE,483503.9619,3770974.422
GENERATIONS OF MONETTA,77 CATO RD,MONETTA,SC,29105-9319,Aiken,803-685-7820,"WILLIAMS, FELICIA D. PH#: 803-685-7820",TODD@GENERATIONSOFCHAPIN.COM,FELICIA.WILLIAMS2@SCDMH.ORG,CRC-0876 / 10/31/2021,Aiken / Ltd. Liability,77 CATO RD,MONETTA,SC,29105-9319,GENERATIONS OF MONETTA LLC,N,N,22,22,-81.59765022,33.85076214,HLRESIDENTIALCARE,444711.5832,3745769.607
GENE'S RESIDENTIAL CARE FACILITY #3,1312 W EVANS ST,FLORENCE,SC,29501-3324,Florence,843-667-6636,"GOLDEN, IDA M. PH#: 843-667-6636",NUGGIE23@GMAIL.COM,,CRC-0482 / 02/28/2022,Florence / Sole Proprietorship,622 E MCIVER RD,FLORENCE,SC,29506-6919,"JONES, GENE E.",N,N,9,9,-79.79066725,34.19584651,HLRESIDENTIALCARE,611425.379,3784532.35
GOD'S HAVEN OF REST,516 BELVEDERE CLEARWATER RD,NORTH AUGUSTA,SC,29841-2583,Aiken,803-279-1129,"AYERS, HAZEL L. PH#: 803-279-1129",LEIGH.3@COMCAST.NET,LEIGH.3@COMCAST.NET,CRC-1237 / 12/31/2021,Aiken / Sole Proprietorship,516 BELVEDERE CLEARWATER RD,BELVEDERE,SC,29841-2583,"AYERS, HAZEL LEIGH",N,N,9,11,-81.93704366,33.53091428,HLRESIDENTIALCARE,412991.7749,3710539.703
GOOD DEEDS RESIDENTIAL I,23 KENDRICK ST,SUMTER,SC,29150-5224,Sumter,803-778-2780,"GLOVER, CORETTA PH#: 803-316-2168",GLOVER2180@GMAIL.COM,GLOVER2180@GMAIL.COM,CRC-2140 / 01/31/2022,Sumter / Limited Liability,,,,,GOOD DEEDS RESIDENTIAL CARE FACILITY LLC,N,N,21,,-80.338308,33.918397,HLRESIDENTIALCARE,561164.7598,3753305.184
GOOD DEEDS RESIDENTIAL II,28 S MAGNOLIA ST,SUMTER,SC,29150-5243,Sumter,803-778-2780,"GLOVER, CORETTA PH#: 803-316-2168",GLOVER2180@GMAIL.COM,GLOVER2180@GMAIL.COM,CRC-2139 / 01/31/2022,Sumter / Limited Liability,,,,,GOOD DEEDS RESIDENTIAL CARE FACILITY LLC,N,N,12,,-80.337812,33.918216,HLRESIDENTIALCARE,561210.755,3753285.332
GOOD SAMARITAN RESIDENTIAL CARE,1356 BUBZY RD,KINGSTREE,SC,29556-5246,Williamsburg,843-382-3530,"SCOTT, MARY INEZ PH#: ",GSRFC1356@GMAIL.COM,,CRC-1015 / 05/31/2022,Williamsburg / Corporation,1356 BUBZY RD,KINGSTREE,SC,29556-5246,GOOD SAMARITAN RESIDENTIAL CARE FACILITY INC,N,N,9,9,-79.750733,33.632072,HLRESIDENTIALCARE,615865.7936,3722061.803
GOOSE CREEK MANOR #1,104 MARILYN ST,GOOSE CREEK,SC,29445-3104,Berkeley,843-572-7442,"ADAIR, MICHELE PH#: ; DOTTERY, VERNELL PH#: 843-572-7442",ADMIN@GOOSECREEKALF.COM,,CRC-2027 / 06/30/2021,Berkeley / Limited Liability,104 MARILYN ST,GOOSE CREEK,SC,29445-3104,STAR CAPITAL INC,N,N,7,,-80.041086,32.997868,HLRESIDENTIALCARE,589581.7322,3651458.861
GOOSE CREEK MANOR #2,104 MARILYN ST,GOOSE CREEK,SC,29445-3104,Berkeley,843-572-7442,"ADAIR, MICHELE PH#: ; DOTTERY, VERNELL PH#: 843-572-7442",ADMIN@GOOSECREEKALF.COM,,CRC-2028 / 06/30/2021,Berkeley / Corporation,,,,,STAR CAPITAL INC,N,N,36,,-80.041086,32.997868,HLRESIDENTIALCARE,589581.7322,3651458.861
GRACE RESIDENTIAL CARE FACILITY,6534 CAROLINA HWY,DENMARK,SC,29042-2366,Bamberg,803-793-3423,"DAVIS, BERNESTINE C. PH#: 803-793-3423",BERNESTINEDAVIS@YAHOO.COM,BERNESTINEDAVIS@YAHOO.COM,CRC-0584 / 08/31/2021,Bamberg / Corporation,PO BOX 326,DENMARK,SC,29042-0326,GRACE RESIDENTIAL CARE FACILITY INC,N,Y,22,22,-81.146165,33.300003,HLRESIDENTIALCARE,486392.3208,3684555.607
