Facility Name,Address,City,State,Zip Code,County,Phone Number,Email Address,License / Expiration,Ownership Type,Licensee,Capacity,Longitude,Latitude
HARMONY COLLECTION AT COLUMBIA (AL/MC),2300 CLEMSON RD,COLUMBIA,SC,29229-8029,Richland,803-223-9560,BCUNNINGHAM@HARMONYATCOLUMBIA.COM,CRC-1544 / 03/31/2022,Richland / Limited Liability,COLUMBIA AL OPERATIONS LLC,110,-80.92132461,34.13849901
HARMONY COLLECTION AT COLUMBIA (IL),2304 CLEMSON RD,COLUMBIA,SC,29229,Richland,803-451-0653,BCUNNINGHAM@HARMONYATCOLUMBIA.COM,CRC-1980 / 07/31/2021,Richland / Limited Liability,COLUMBIA IL INVESTORS LLC,25,-80.920752,34.139155
HARMONY HOUSE RESIDENTIAL CARE,704 ANDERSON ST,CALHOUN FALLS,SC,29628-1034,Abbeville,864-418-9277,HARMONYHOUSERCF@ATT.NET,CRC-1511 / 05/31/2022,Abbeville / Limited Liability,HERRON CARE LLC,16,-82.59141235,34.09902162
HAVEN IN THE VILLAGE AT CHANTICLEER,355 BERKMANS LN,GREENVILLE,SC,29605-5606,Greenville,864-467-0031,LNEWCOMB@5SSL.COM,CRC-2125 / 01/31/2022,Greenville / Limited Liability,SNH SC TENANT LLC,60,-82.412531,34.812892
HEARTLAND HEALTH CARE CENTER-UNION (RESIDENTIAL CARE),709 RICE AVE EXT,UNION,SC,29379-9023,Union,864-427-0306,4031ADMIN@HCR-MANORCARE.COM,CRC-0576 / 12/31/2021,Union / Limited Liability,OAKMONT OF UNION SC LLC,40,-81.64648159,34.71875053
HEATH SPRINGS RESIDENTIAL CARE CENTER,614 HART ST,HEATH SPRINGS,SC,29058-8411,Lancaster,803-273-3227,SFBARNES11@GMAIL.COM,CRC-1903 / 12/31/2021,Lancaster / Corporation,HSRCC PARTNERS LLC,64,-80.67038419,34.59388799
HELENA PLACE,1624 PARIS AVE,PORT ROYAL,SC,29935-2041,Beaufort,843-982-0233,LKESLER@ENLIVANT.COM,CRC-1409 / 11/30/2021,Beaufort / ,HELENA AID OPCO LLC,44,-80.692194,32.382022
HELMS-GORDON RESIDENTIAL CARE HOME,714 FUNDERBURKE RD,FORT LAWN,SC,29714-8593,Chester,803-872-4253,MKGORDON@COMPORIUM.NET,CRC-0527 / 07/31/2021,Chester / Sole Proprietorship,HELMS-GORDON RESIDENTIAL CARE HOME LLC,32,-80.91152851,34.68903933
HERITAGE AT LOWMAN RESIDENTIAL CARE,2101 DUTCH FORK RD,CHAPIN,SC,29036,Richland,803-732-8800,AHYMAN@THEHERITAGEATLOWMAN.ORG,CRC-0840 / 09/30/2021,Richland / Non-Profit Corporation,LUTHERAN HOMES OF SOUTH CAROLINA INC,132,-81.2755918,34.14337327
HERRIOTT'S RESIDENTIAL CARE FACILITY,114 LIME LN,SUMTER,SC,29150-6630,Sumter,803-773-6882,LUCINDAHERRIOTT@GMAIL.COM,CRC-1013 / 06/30/2022,Sumter / Partnership,JOHN & LUCINDA HERRIOTT,14,-80.33770786,33.90247351
HILLS OF CUMBERLAND VILLAGE,3215 WISE CREEK LN,AIKEN,SC,29801-2534,Aiken,803-641-8444,MCHEATHAM@MARRINSON.COM,CRC-1121 / 09/30/2021,Aiken / Corporation,MARRINSON GROUP INC,34,-81.77381704,33.55816745
HILLTOP OF GREENVILLE MEMORY CARE,352 PELHAM RD,GREENVILLE,SC,29615,Greenville,864-558-0383,ED@MEMORYCAREOFGREENVILLECOM,CRC-1947 / 04/30/2022,Greenville / Limited Liability,GREENVILLE MEMORY CARE LLC,54,-82.340055,34.860755
HITCHCOCK PLACE,102 CREPE MYRTLE DR OFC,AIKEN,SC,29803-7552,Aiken,803-649-6439,LEGALHELP@ENLIVANT.COM,CRC-1412 / 11/30/2021,Aiken / ,HITCHCOCK AID OPCO LLC,44,-81.73733846,33.51359869
IDA LANE I CRCF,120 IDA LN,COLUMBIA,SC,29203-9234,Richland,803-786-7522,RWROTEN@BABCOCKCENTER.ORG,CRC-1520 / 03/31/2022,Richland / Corporation,BABCOCK CENTER INC,8,-80.98035325,34.11219588
IDA LANE II CRCF,124 IDA LN,COLUMBIA,SC,29203-9234,Richland,803-786-7522,AGASS@BABCOCKCENTER.ORG,CRC-1518 / 12/31/2021,Richland / Corporation,BABCOCK CENTER INC,8,-80.97957166,34.11218648
INDIGO HALL,509 STANDARD WAY,CHARLESTON,SC,29412,Charleston,843-406-4747,ADMINISTRATION@INDIGOHALL.COM,CRC-1922 / 11/30/2021,Charleston / Limited Liability,INDIGO HALL OPERATING CO LLC,179,-79.980562,32.761207
INLET COASTAL RESORT,5087 HWY 17 N BP,MURRELLS INLET,SC,29576,Georgetown,843-405-2005,ADMINISTRATOR@INLETCOASTAL.COM,CRC-1549 / 08/31/2021,Georgetown / Limited Liability,INLET COASTAL RESORT LLC,62,-79.05792714,33.53534178
INLET OAKS ASSISTED LIVING COMMUNITY,12287 HWY 707,MURRELLS INLET,SC,29576-9739,Horry,843-357-0317,DENISE@SCSENIORCARE.NET,CRC-1560 / 12/31/2021,Horry / Corporation,PARTNERS IN HOPE INC,60,-79.03949091,33.58037547
INVERNESS AT SPARTANBURG,2720 COUNTRY CLUB RD,SPARTANBURG,SC,29302-4473,Spartanburg,864-591-1116,MDEATON@AFFINITYLIVINGGROUP.COM,CRC-1351 / 07/31/2021,Spartanburg / Limited Liability,DSJ AL HOLDINGS LLC,100,-81.8585992,34.93906297
IVORYS LOVING CARE II,4108 S RHETT AVE,N CHARLESTON,SC,29405,Charleston,843-554-0733,SISTERSANDERS@COMCAST.NET,CRC-2092 / 07/31/2021,Charleston / Sole Proprietorship,"SANDERS, JUANITA",10,-79.98495582,32.86924445
IVORY'S LOVING CARE RESIDENTIAL FACILITY,2827 SPRUILL AVE,NORTH CHARLESTON,SC,29405-8050,Charleston,843-745-2339,SISTERSANDERS@COMCAST.NET,CRC-1383 / 04/30/2022,Charleston / Partnership,JUANITA SANDERS & GENEVA NELSON,7,-79.96296938,32.85046586
IVY GROVE RESIDENTIAL CARE CENTER,483 LOCKHART LN,GAFFNEY,SC,29341-2841,Cherokee,864-487-0869,OSKARMANI@AOL.COM,CRC-1458 / 10/31/2021,Cherokee / Ltd. Liability,HARMONY RESIDENTIAL CARE CENTER LLC,62,-81.64778595,35.09846898
J & T RESIDENTIAL CARE FACILITY,604 WAGON WHEEL RD,HAMPTON,SC,29924-5346,Hampton,803-943-7177,JTRESIDENTIALCARE@GMAIL.COM,CRC-1094 / 05/31/2022,Hampton / Sole Proprietorship,"MYERS, THELMA S.",10,-81.05295755,32.89372831
J C LARAES SOUTHWINDS ASSISTED LIVING COMMUNITY,308 HUMPHRIES RD,RIDGEWAY,SC,29130-9648,Kershaw,803-438-4052,JUDYOWENS53@YAHOO.COM,CRC-1181 / 09/30/2021,Kershaw / Sole Proprietorship,ANNA L OWENS,5,-80.79773634,34.28765449
J J RESIDENTIAL CARE,748 GREEN ST,ORANGEBURG,SC,29115-4805,Orangeburg,803-539-2604,EYBLACK52@MAIL.COM,CRC-0831 / 09/30/2021,Orangeburg / Sole Proprietorship,BARBARA W IRICK,10,-80.86824853,33.49701153
JENNI-LYNN ASSISTED LIVING COMMUNITY,915 HOOK AVE,WEST COLUMBIA,SC,29169-5332,Lexington,803-926-8600,GTHOMPSON@PREMIERSL.COM,CRC-1248 / 09/30/2021,Lexington / Ltd. Liability,JENNI-LYNN ASSISTED LIVING LLC,63,-81.10063518,33.99628156
JESSAMINE COMMUNITY RESIDENCE,143 JESSAMINE AVE,GEORGETOWN,SC,29440-5837,Georgetown,843-527-1390,EKRAUSS@GCBDSN.COM,CRC-1445 / 06/30/2022,Georgetown / County,GEORGETOWN COUNTY BOARD OF DISABILITIES AND SPECIAL NEEDS,8,-79.28888158,33.40975181
JOANNE'S COMMUNITY CARE HOME #1,5048 PERCIVAL RD,ELGIN,SC,29045-9156,Richland,803-736-3860,TOWANA_HAYES@ATT.NET,CRC-0932 / 06/30/2021,Richland / Sole Proprietorship,"CALDWELL, JOANNE M.",10,-80.80785852,34.10872984
JOANNE'S COMMUNITY CARE HOME II,756 FARROWOOD DR,COLUMBIA,SC,29223-7801,Richland,803-736-3094,JOANNESCCH@AOL.COM,CRC-0030 / 03/31/2022,Richland / Sole Proprietorship,"CALDWELL, JOANNE M.",9,-80.93897259,34.11109484
JOHNSONVILLE ADULT CARE SERVICES,351 S MIDWAY HWY,JOHNSONVILLE,SC,29555-6242,Florence,843-380-0777,JADC2011@YAHOO.COM,CRC-1530 / 11/30/2021,Florence / Ltd. Liability,JOHNSONVILLE ADULT CARE SERVICES LLC,22,-79.472263,33.80814129
JOSHUAS FOUNDATION,388 ELBOW CIR,RIDGEWAY,SC,29130,Fairfield,803-337-8701,MBERNARDEZ@JOSHUASFOUNDATION.ORG,CRC-0659 / 02/28/2022,Fairfield / Non-Profit Corporation,JOSHUA'S FOUNDATION INC,20,-80.94217531,34.30077594
JOSIE DRIVE COMMUNITY RESIDENCE,210 JOSIE DR,WALTERBORO,SC,29488-2791,Colleton,843-549-6979,TFARMER@COLLETONDSN.ORG,CRC-1528 / 09/30/2021,Colleton / State,COLLETON COUNTY BOARD OF DISABILITIES AND SPECIAL NEEDS,8,-80.67194037,32.9161129
JOY COMMUNITY CARE HOME,6800 DOBY DR,COLUMBIA,SC,29203-5133,Richland,803-754-3157,JDQCSI@AOL.COM,CRC-0961 / 11/30/2021,Richland / Sole Proprietorship,"SCOTT, DEBORAH A.",10,-80.98674285,34.06559776
KEMPTON OF GREENVILLE,1560 THORNBLADE BLVD,GREER,SC,29650-4520,Greenville,864-968-1277,LEFREEMAN@LIBERTYSENIORLIVING.COM,CRC-2021 / 09/30/2021,Greenville / Limited Liability,GREENVILLE SENIOR HOUSING I OPCO LLC,100,-82.256996,34.869968
KENSINGTON I,100 KENSINGTON RD,COLUMBIA,SC,29203-5451,Richland,803-931-3263,C.WRIGHT@CHESCOSERVICES.ORG,CRC-1532 / 06/30/2022,Richland / Sole Proprietorship,CHESCO SERVICES,8,-81.05749915,34.03091253
KENSINGTON II GROUP HOME,120 KENSINGTON RD,COLUMBIA,SC,29203-5451,Richland,803-252-0848,C.WRIGHT@CHESCOSERVICES.ORG,CRC-1536 / 11/30/2021,Richland / Sole Proprietorship,CHESCO SERVICES,8,-81.10957555,33.97542385
KEOWEE PLACE,475 ROCHESTER HWY,SENECA,SC,29672,Oconee,864-886-0070,LEGALHELP@ENLIVANT.COM,CRC-1460 / 12/31/2021,Oconee / Ltd. Liability,INN AT SENECA AID OPCO LLC,50,-82.92747218,34.71052328
KIVA LODGE,200 CLAUDE BUNDRICK RD,BLYTHEWOOD,SC,29016-9420,Richland,803-764-2761,JJAY@MHA-SC.ORG,CRC-1092 / 07/31/2021,Richland / Corporation,MENTAL HEALTH AMERICA OF SOUTH CAROLINA,5,-80.91849826,34.21360099
L & B CARE HOME,924 BARR WOODS RD,SALUDA,SC,29138-8191,Saluda,864-993-3072,JWLONG@EMBARQMAIL.COM,CRC-0530 / 07/31/2014,Saluda / Partnership,LESA L GOLDMAN & FAYE LONG,24,-81.70457386,34.04673837
LADIES COMMUNITY RESIDENCE,408 WEBB ST,CONWAY,SC,29527-5842,Horry,843-349-7271,JBROMELL@HCDSN.ORG,CRC-1449 / 07/31/2021,Horry / County,HORRY COUNTY DISABILITIES AND SPECIAL NEEDS BOARD,8,-79.08003558,33.81729794
LADSON'S RESIDENTIAL HOME CARE,1116 CAMP RD,CHARLESTON,SC,29412-8831,Charleston,843-762-6443,PAULINELADSON@ATT.NET,CRC-1256 / 09/30/2021,Charleston / Sole Proprietorship,"LADSON, PAULINE",5,-79.94708115,32.72664153
LAKE WYLIE ASSISTED LIVING COMMUNITY,4877 CHARLOTTE HWY,CLOVER,SC,29710-8096,York,803-831-9900,MBRAKEFIELD@SENIORLIFESTYLE.COM,CRC-1241 / 01/31/2022,York / Limited Liability,LSREF GOLDEN OPS 14 (SC) LLC,110,-81.0706488,35.11471586
LAKES AT LITCHFIELD ASSISTED LIVING,120 LAKES AT LITCHFIELD DR,PAWLEYS ISLAND,SC,29585-5515,Georgetown,843-235-9393,LEXINGTON-LICENSING@WELL-MORE.COM,CRC-1116 / 08/31/2021,Georgetown / Ltd. Liability,LITCHFIELD RETIREMENT LLC,79,-79.10680036,33.4750375
LAKESIDE PLACE SENIOR LIVING,487 HWY 378,LEXINGTON,SC,29072,Lexington,803-520-0985,ED@LAKESIDEPLACESC.COM,CRC-2011 / 03/31/2022,Lexington / Limited Liability,CR LAKESIDE PLACE SENIOR LIVING LLC,90,-81.28412575,33.99154584
LAKEVIEW ASSISTED LIVING,320 CAMP RD,WALHALLA,SC,29691-4811,Oconee,864-638-5212,DWRIGHT@SENIORSOLUTIONS-SC.ORG,CRC-0086 / 04/30/2022,Oconee / Non-Profit Corporation,LAKEVIEW ASSISTED LIVING INC,19,-83.113416,34.723327
LAKEWOOD SENIOR LIVING,3709 CLARK RD,BOILING SPRINGS,SC,29316,Spartanburg,864-586-1457,DLITTLE3@MINDSPRING.COM,CRC-1924 / 10/31/2021,Spartanburg / Limited Liability,CR LAKEWOOD LLC,90,-82.00244569,35.0600217
LANDRUM COMMUNITY RESIDENCE I,722 BOMAR AVE,LANDRUM,SC,29356,Spartanburg,864-457-1370,SMASON@CHARLESLEA.ORG,CRC-1507 / 08/31/2021,Spartanburg / Corporation,CHARLES LEA CENTER,5,-82.18053859,35.16792004
LANDRUM COMMUNITY RESIDENCE II,722 BOMAR AVE,LANDRUM,SC,29356,Spartanburg,864-457-1374,SMASON@CHARLESLEA.ORG,CRC-1508 / 08/31/2021,Spartanburg / Corporation,CHARLES LEA CENTER,5,-82.18053859,35.16792004
LANGIT'S ASSISTED LIVING FACILITY,1273 REMOUNT RD,NORTH CHARLESTON,SC,29406-3439,Charleston,843-554-1671,JAMES.LANGIT@LANGITSASSISTEDLIVING.NET,CRC-0861 / 03/31/2022,Charleston / Corporation,LANGIT'S RESIDENTIAL HOME CARE INC,70,-79.99183474,32.90158633
LANGSTON PLACE,939 SPRINGDALE DR,CLINTON,SC,29325-7266,Laurens,864-833-0338,LEGALHELP@ENLIVANT.COM,CRC-1408 / 11/30/2021,Laurens / ,LANGSTON AID OPCO LLC,44,-81.86763406,34.45763541
LAUREL CREST,100 JOSEPH WALKER DR,WEST COLUMBIA,SC,29169-6939,Lexington,803-796-0370,CESSANDRA.CARTER@LAURELCREST.ORG,CRC-1999 / 01/31/2022,Lexington / Non-Profit Corporation,LAUREL CREST RETIREMENT COMMUNITY (NPC),26,-81.06421,34.003451
LAURENS MEMORIAL HOME FOR AGED,3744 TORRINGTON RD,LAURENS,SC,29360-0638,Laurens,864-682-2322,MBDUNMOYER@AOL.COM,CRC-0316 / 12/31/2021,Laurens / Non-Profit Corporation,LAURENS MEMORIAL HOME FOR AGED INC,50,-81.94399762,34.50941544
LEGACY AT HAWTHORNE PARK,20 HAWTHORNE PARK CT,GREENVILLE,SC,29615-3194,Greenville,864-288-6775,KEARA.LEE@NAVIONSL.COM,CRC-2094 / 09/30/2021,Greenville / Limited Liability,NAVION BKE HAWTHORNE PARK LLC,68,-82.330947,34.864039
LEGACY AT SOUTHPOINTE DRIVE,23 SOUTHPOINTE DR,GREENVILLE,SC,29607-5956,Greenville,846-675-0220,KEISHA.ELLIS@NAVIONSL.COM,CRC-2108 / 11/30/2021,Greenville / Limited Liability,NAVION SOUTHPOINTE OPERATIONS LLC,110,-82.264209,34.81711
LEMONAIDE HOUSE,1018 CRYSTAL CLEAR LN,HOPKINS,SC,29061-8237,Richland,803-776-1742,LEMONS2LOVE@AOL.COM,CRC-2170 / 10/31/2021,Richland / Limited Liability,LEMONAIDE HOUSE LLC,15,-80.823662,33.96968
LENEVAR COMMUNITY RESIDENCE,1435 W LENEVAR DR,CHARLESTON,SC,29407-5118,Charleston,843-766-3061,GJOHNSTON@DSNCC.COM,CRC-0943 / 07/31/2021,Charleston / State,DISABILITIES BOARD OF CHARLESTON COUNTY,8,-79.99783334,32.80983325
LEXINGTON PLACE,190 MCSWAIN DR,WEST COLUMBIA,SC,29169-4825,Lexington,312-725-7000,SARA@WRCOMPANIES.COM,CRC-1989 / 10/31/2021,Lexington / Limited Liability,WEST COLUMBIA BG OPCO LLC,90,-81.109431,34.010164
LIGHTHOUSE RESIDENTIAL CARE FACILITY,4033 DELREE ST LOT # 31,WEST COLUMBIA,SC,29170,Lexington,803-957-0583,20LIGHTHOUSE17@GMAIL.COM,CRC-2013 / 03/31/2022,Lexington / Sole Proprietorship,ANGELINE A SMITH,10,-81.150133,33.971437
LOIS EARGLE HOME,406 WEBB ST,CONWAY,SC,29527-5842,Horry,843-349-7272,ACORNELL@HCDSN.ORG,CRC-1450 / 07/31/2021,Horry / County,HORRY COUNTY DISABILITIES AND SPECIAL NEEDS BOARD,8,-79.07951861,33.81722675
LONG'S RESIDENTIAL CARE CENTER,1280 DENNY HWY,SALUDA,SC,29138-8972,Saluda,864-445-7901,LONGSRESCARE@YAHOO.COM,CRC-0592 / 05/31/2022,Saluda / Corporation,LONG'S RESIDENTIAL CARE CENTER INC,32,-81.71411519,34.06204882
LONGWOOD PLANTATION,1687 LONGWOOD DR,ORANGEBURG,SC,29118-2307,Orangeburg,803-535-0250,JERRI.JOHNSON-STILL@LONGWOODPLANTATION.,CRC-0797 / 10/31/2021,Orangeburg / Limited Liability,LONGWOOD PLANTATION-FHE LLC,42,-80.86758347,33.52782776
LOWCOUNTRY ASSISTED LIVING,6060 EHRHARDT RD,EHRHARDT,SC,29081,Bamberg,803-267-2222,LOWCOUNTRYAL@YAHOO.COM,CRC-2029 / 06/30/2022,Bamberg / Limited Liability,LOWCOUNTRY ASSISTED LIVING LLC,10,-81.015122,33.099475
LUCILLE MANOR COMMUNITY RESIDENTIAL CARE FACILITY,1004 R L COWARD RD,EASTOVER,SC,29044,Richland,803-400-2554,JACQUELINEMACK58@YAHOO.COM,CRC-1967 / 04/30/2022,Richland / Limited Liability,LUCILLE MANOR COMMUNITY RESIDENTIAL CARE LLC,9,-80.785756,33.940489
M & M RESIDENTIAL CARE HOME,408 GENEVA AVE,MARION,SC,29571-4416,Marion,843-423-0120,SANDYBURGESS98@YAHOO.COM,CRC-1379 / 08/31/2021,Marion / Sole Proprietorship,"BURGESS, SANDY M.",5,-79.391045,34.173466
MAGNOLIAS OF SANTEE,118 BRITAIN ST,SANTEE,SC,29142-8922,Orangeburg,803-854-2020,KIMBERLY@MAGNOLIASOFSANTEE.COM,CRC-1987 / 09/30/2021,Orangeburg / Limited Liability,CEDAR COMMUNITIES AT SANTEE LLC,52,-80.476773,33.484736
MAGNOLIAS OF SUMMERVILLE,335 MIDLAND PKWY,SUMMERVILLE,SC,29485-8138,Dorchester,843-821-4122,SEAN@MAGNOLIASOFSUMMERVILLE.COM,CRC-1414 / 05/31/2022,Dorchester / Ltd. Liability,CAROLINA RETIREMENT SERVICES OF SUMMERVILLE LLC,60,-80.15456855,32.96390815
MAGNOLIAS OF WALTERBORO,210 ACADEMY RD,WALTERBORO,SC,29488-9208,Colleton,843-538-8181,SCOTT@MAGNOLIASOFWALTERBORO.COM,CRC-2153 / 04/30/2022,Colleton / Limited Liability,MAGNOLIAS OF WALTERBORO LLC,44,-80.660512,32.937288
MANNING PLACE,10 COMPANION CT,GREER,SC,29651-1288,Greenville,864-989-0707,LEGALHELP@ENVLIVANT.COM,CRC-1407 / 11/30/2021,Greenville / ,MANNING AID OPCO LLC,44,-82.23758465,34.95243919
MAPLES OF HONEA PATH,224 WILDWOOD DR,HONEA PATH,SC,29654-1335,Anderson,864-369-2000,MARK@MAPLESHP.COM,CRC-0819 / 05/31/2022,Anderson / Corporation,MAPLE MANOR INC,74,-82.40969374,34.44972661
MARCHBANKS ASSISTED LIVING AND MEMORY CARE,2203 MARCHBANKS AVE,ANDERSON,SC,29621-2247,Anderson,864-231-7786,BRENT@MARCHBANKSAL.COM,CRC-1413 / 05/31/2022,Anderson / Ltd. Liability,CAROLINA RETIREMENT SERVICES OF ANDERSON LLC,60,-82.62964232,34.52705103
MARETT BOULEVARD COMMUNITY RESIDENTIAL CARE FACILITY,1721 MARETT BLVD EXT,ROCK HILL,SC,29730,York,803-327-9466,LEETTA.HART@MAXABILITIES.ORG,CRC-0883 / 08/31/2021,York / Non-Profit Corporation,YORK COUNTY BOARD OF DISIBALITIES AND SPECIAL NEEDS,8,-81.01507274,34.96506478
MARIAN PARKINS COMMUNITY RESIDENCE I,103 KERNS AVE,GREENVILLE,SC,29609,Greenville,864-232-0282,AMANDA.STONE@THRIVEUPSTATE.ORG,CRC-2036 / 11/30/2021,Greenville / Non-Profit Corporation,GREENVILLE COUNTY DISABILITIES AND SPECIAL NEEDS BOARD,8,-82.409699,34.879048
MARIAN PARKINS COMMUNITY RESIDENCE II,518 PICKETT ST,GREENVILLE,SC,29609,Greenville,864-232-0595,SWHITSEL@THRIVEUPSTATE.ORG,CRC-2037 / 11/30/2021,Greenville / Non-Profit Corporation,GREENVILLE COUNTY DISABILITIES AND SPECIAL NEEDS BOARD,8,-82.409745,34.879371
MARIA'S PRIORITY CARE RESIDENTIAL HOME I,3117 MEETING STREET RD,NORTH CHARLESTON,SC,29405-7980,Charleston,843-554-0064,RRPARANAL@GMAIL.COM,CRC-0937 / 07/31/2021,Charleston / Sole Proprietorship,"PARANAL, ROGERIA R.",7,-79.9722828,32.85163952
MARIA'S PRIORITY CARE RESIDENTIAL HOME II-B,4583 DURANT AVE,NORTH CHARLESTON,SC,29405-5212,Charleston,843-566-0460,JNRELLORA4SUS@GMAIL.COM,CRC-0772 / 06/30/2021,Charleston / Partnership,JESUS N AND WILHELMINA C RELLORA,7,-79.99029856,32.87702837
MARIA'S PRIORITY CARE RESIDENTIAL HOME II-F,4583 DURANT AVE,NORTH CHARLESTON,SC,29405-5212,Charleston,843-566-0460,JNRELLORA4SUS@GMAIL.COM,CRC-0774 / 06/30/2021,Charleston / Partnership,JESUS N AND WILHELMINA C RELLORA,5,-79.99029856,32.87702837
MARIA'S PRIORITY CARE RESIDENTIAL HOME III,3115 MEETING STREET RD,NORTH CHARLESTON,SC,29405-7980,Charleston,843-554-0064,RRPARANAL@GMAIL.COM,CRC-0938 / 07/31/2021,Charleston / Sole Proprietorship,"PARANAL, ROGERIA R.",7,-79.97228098,32.85163862
MARTHA FRANKS BAPTIST RETIREMENT COMMUNITY,1 MARTHA FRANKS DR,LAURENS,SC,29360-1799,Laurens,864-984-4541,KHOLLIDAY@SCBMA.COM,CRC-0360 / 02/28/2022,Laurens / Corporation,SOUTH CAROLINA BAPTIST MINISTRIES FOR THE AGING INC,82,-82.02572212,34.50039044
MARY'S HOME CARE,224 WARD LOOP,HEMINGWAY,SC,29554-3415,Georgetown,843-558-0953,MARYSHOMECARE1@GMAIL.COM,CRC-1505 / 05/31/2022,Georgetown / Sole Proprietorship,"HOLMES, MARY W.",21,-79.33780296,33.7032156
MARY'S RESIDENTIAL #2,633 SHARPE RD,COLUMBIA,SC,29203-9304,Richland,803-708-0300,M.BACOTE@HOTMAIL.COM,CRC-1534 / 08/31/2021,Richland / Sole Proprietorship,"BACOTE, MARY",5,-81.00509375,34.09081821
MARY'S RESIDENTIAL CARE FACILITY,10425 WILSON BLVD,BLYTHEWOOD,SC,29016-9017,Richland,803-708-1739,NHAJIYAH.SIMMONS@YAHOO.COM,CRC-1501 / 12/31/2021,Richland / Sole Proprietorship,"BACOTE, MARY",5,-80.96913167,34.1830551
MARYVILLE COMMUNITY RESIDENCE,2602 OLD CHARLESTON RD,GEORGETOWN,SC,29440-1471,Georgetown,843-546-7268,EKRAUSS@GCBDSN.COM,CRC-1446 / 06/30/2021,Georgetown / County,GEORGETOWN COUNTY BOARD OF DISABILITIES AND SPECIAL NEEDS,8,-79.30074287,33.33675847
MASTER CARE,5870 MOOREFIELD MEMORIAL HWY,LIBERTY,SC,29657-9268,Pickens,864-878-9926,MASTERCAREASSIST@GMAIL.COM,CRC-0358 / 02/28/2021,Pickens / Corporation,MASTER CARE INC,14,-82.70183194,34.82697322
MCKINNEY HOUSE,307 MILLER RD,MAULDIN,SC,29662-2034,Greenville,864-297-5044,KIM.DUNCAN@SCDMH.ORG,CRC-2071 / 06/30/2021,Greenville / State,SOUTH CAROLINA DEPARTMENT OF MENTAL HEALTH,10,-82.306414,34.789308
MEADOWLARK DRIVE COMMUNITY RESIDENTIAL CARE FACILITY,1183 MEADOWLARK DR,ROCK HILL,SC,29730,York,803-327-9770,LEETTA.HART@MAXABILITIES.ORG,CRC-0881 / 08/31/2021,York / Non-Profit Corporation,YORK COUNTY BOARD OF DISIBALITIES AND SPECIAL NEEDS,8,-81.07987739,34.94988698
MEMORY CARE OF SIMPSONVILLE,645 SCUFFLETOWN RD,SIMPSONVILLE,SC,29681,Greenville,864-962-3038,RMERRITT@MEMORYCARESIMPSONVILLE.COM,CRC-1886 / 08/31/2021,Greenville / Limited Liability,MCA SIMPSONVILLE OPERATING COMPANY,64,-82.21556493,34.78519689
MERRILL GARDENS AT CAROLINA PARK,3501 MERRILL PL,MOUNT PLEASANT,SC,29466,Charleston,843-606-5705,LICENSING@MERRILLGARDENS.COM,CRC-1917 / 11/30/2021,Charleston / Limited Liability,NEW MERRILL GARDENS AT CAROLINA PARK LLC,193,-79.77093607,32.88600582
MERRILL GARDENS AT COLUMBIA,2205 GREGG ST,COLUMBIA,SC,29201,Richland,647-227-7385,WILSONA@MERRILLGARDENS.COM,CRC-1979 / 07/31/2021,Richland / ,MERRILL GARDENS AT COLUMBIA LLC,18,-81.029235,34.020071
MIDLAND PARK RESIDENTIAL HOME CARE,2712 MIDLAND PARK RD,NORTH CHARLESTON,SC,29406-4551,Charleston,843-569-0025,MIDLANDPARKRCF@GMAIL.COM,CRC-0905 / 01/31/2022,Charleston / Corporation,MIDLAND PARK ENTERPRISES INC,52,-80.04716665,32.92133297
MIDWAY RESIDENTIAL CARE FACILITY #1,4026 MOORE DUNCAN HWY,MOORE,SC,29369-9721,Spartanburg,864-433-8999,MIDWAYRESIDENTIALCARE@YAHOO.COM,CRC-0318 / 12/31/2021,Spartanburg / Corporation,MIDWAY RESIDENTIAL CARE FACILITY INC,13,-82.06386074,34.88468566
MIDWAY RESIDENTIAL CARE FACILITY #1A,4026 MOORE DUNCAN HWY,MOORE,SC,29369-9721,Spartanburg,864-433-8999,MIDWAYRESIDENTIALCARE@YAHOO.COM,CRC-0320 / 12/31/2021,Spartanburg / Corporation,MIDWAY RESIDENTIAL CARE FACILITY INC,14,-82.06387959,34.8846855
MIDWAY RESIDENTIAL CARE FACILITY #2,4026 MOORE DUNCAN HWY,MOORE,SC,29369-9721,Spartanburg,864-433-8999,MIDWAYRESIDENTIALCARE@YAHOO.COM,CRC-0321 / 12/31/2021,Spartanburg / Corporation,MIDWAY RESIDENTIAL CARE FACILITY INC,25,-82.06390693,34.88468528
MIDWAY RESIDENTIAL CARE FACILITY #3,4026 MOORE DUNCAN HWY,MOORE,SC,29369-9721,Spartanburg,864-433-8999,MIDWAYRESIDENTIALCARE@YAHOO.COM,CRC-0346 / 12/31/2021,Spartanburg / Corporation,MIDWAY RESIDENTIAL CARE FACILITY INC,17,-82.06385528,34.88468572
MIDWAY RESIDENTIAL CARE FACILITY #4,4026 MOORE DUNCAN HWY,MOORE,SC,29369-9721,Spartanburg,864-433-8999,MIDWAYRESIDENTIALCARE@YAHOO.COM,CRC-0322 / 12/31/2021,Spartanburg / Corporation,MIDWAY RESIDENTIAL CARE FACILITY INC,14,-82.06385977,34.88468569
