Facility Name,Address,City,State,Zip Code,County,Phone Number,Email Address,Ownership Type,Licensee,Capacity,Longitude,Latitude,Date Accessed,State Facility Type 1 Literal,License Number
Harborchase Of Columbia,120 FAIRFOREST RD,Columbia,SC,29212-2308,Richland,803-615-5735,mcaldwell@hraonline.net,CORPORATION,TWENTY TWO PACK MANAGEMENT CORPORATION,66,-81.14665978,34.07764698,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1315
Harborchase Of Riverwalk,749 DUNKINS FERRY RD,Rock Hill,SC,29730,York,803-393-2983,sjustice@hraonline.net,LIMITED LIABILITY,RB ROCKHILL PROPERTY LLC,97,-80.973661,34.97406,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2033
Harborchase Of Rock Hill,1611 CONSTITUTION BLVD,Rock Hill,SC,29732-3047,York,803-981-6855,lpressley@hraonline.net,CORPORATION,TWENTY TWO PACK MANAGEMENT CORPORATION,110,-81.04961696,34.95299469,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1290
Harmony At Five Forks,345 FIVE FORKS RD,Simpsonville,SC,29681,Greenville,864-412-4700,plaugavitz@harmonyatfiveforks.com,LIMITED LIABILITY,GREENVILLE OPERATIONS LLC,92,-82.23225956,34.80452107,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1960
Harmony At Wescott Plantation,5130 WESCOTT BLVD,Summerville,SC,29485,Dorchester,843-486-2712,kpatterson@harmonyaratwescottplantation,LIMITED LIABILITY,CHARLESTON OPERATIONS LLC,105,-80.14226931,32.94464128,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1596
Harmony At West Ashley,1925 ESSEX FARMS DR,Charleston,SC,29414,Charleston,843-804-8850,ccure@harmonyatwestashley.com,LIMITED LIABILITY,WEST ASHLEY OPERATIONS LLC,105,-80.05137543,32.80859732,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1899
Harmony Collection At Columbia (Al/Mc),2300 CLEMSON RD,Columbia,SC,29229-8029,Richland,803-223-9560,bcunningham@harmonyatcolumbia.com,LIMITED LIABILITY,COLUMBIA AL OPERATIONS LLC,110,-80.92132461,34.13849901,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1544
Harmony Collection At Columbia (Il),2304 CLEMSON RD,Columbia,SC,29229,Richland,803-451-0653,bcunningham@harmonyatcolumbia.com,LIMITED LIABILITY,COLUMBIA IL INVESTORS LLC,25,-80.920752,34.139155,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1980
Harmony House Residential Care,704 ANDERSON ST,Calhoun Falls,SC,29628-1034,Abbeville,864-418-9277,harmonyhousercf@att.net,LIMITED LIABILITY,HERRON CARE LLC,16,-82.59141235,34.09902162,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1511
Haven In The Village At Chanticleer,355 BERKMANS LN,Greenville,SC,29605-5606,Greenville,864-467-0031,lnewcomb@5ssl.com,LIMITED LIABILITY,SNH SC TENANT LLC,60,-82.412531,34.812892,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2125
Heartland Health Care Center-Union (Residential Care),709 RICE AVE EXT,Union,SC,29379-9023,Union,864-427-0306,4031admin@hcr-manorcare.com,LIMITED LIABILITY,OAKMONT OF UNION SC LLC,40,-81.64648159,34.71875053,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0576
Heath Springs Residential Care Center,614 HART ST,Heath Springs,SC,29058-8411,Lancaster,803-273-3227,sfbarnes11@gmail.com,CORPORATION,HSRCC PARTNERS LLC,64,-80.67038419,34.59388799,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1903
Helena Place,1624 PARIS AVE,Port Royal,SC,29935-2041,Beaufort,843-982-0233,lkesler@enlivant.com,,HELENA AID OPCO LLC,44,-80.692194,32.382022,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1409
Helms-Gordon Residential Care Home,714 FUNDERBURKE RD,Fort Lawn,SC,29714-8593,Chester,803-872-4253,mkgordon@comporium.net,SOLE PROPRIETORSHIP,HELMS-GORDON RESIDENTIAL CARE HOME LLC,32,-80.91152851,34.68903933,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0527
Heritage At Lowman Residential Care,2101 DUTCH FORK RD,Chapin,SC,29036,Richland,803-732-8800,ahyman@theheritageatlowman.org,NON-PROFIT CORPORATION,LUTHERAN HOMES OF SOUTH CAROLINA INC,132,-81.2755918,34.14337327,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0840
Herriott'S Residential Care Facility,114 LIME LN,Sumter,SC,29150-6630,Sumter,803-773-6882,lucindaherriott@gmail.com,PARTNERSHIP,JOHN & LUCINDA HERRIOTT,14,-80.33770786,33.90247351,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1013
Hills Of Cumberland Village,3215 WISE CREEK LN,Aiken,SC,29801-2534,Aiken,803-641-8444,mcheatham@marrinson.com,CORPORATION,MARRINSON GROUP INC,34,-81.77381704,33.55816745,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1121
Hilltop Of Greenville Memory Care,352 PELHAM RD,Greenville,SC,29615,Greenville,864-558-0383,ed@memorycareofgreenvillecom,LIMITED LIABILITY,GREENVILLE MEMORY CARE LLC,54,-82.340055,34.860755,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1947
Hitchcock Place,102 CREPE MYRTLE DR OFC,Aiken,SC,29803-7552,Aiken,803-649-6439,legalhelp@enlivant.com,,HITCHCOCK AID OPCO LLC,44,-81.73733846,33.51359869,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1412
Ida Lane I Crcf,120 IDA LN,Columbia,SC,29203-9234,Richland,803-786-7522,rwroten@babcockcenter.org,CORPORATION,BABCOCK CENTER INC,8,-80.98035325,34.11219588,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1520
Ida Lane Ii Crcf,124 IDA LN,Columbia,SC,29203-9234,Richland,803-786-7522,agass@babcockcenter.org,CORPORATION,BABCOCK CENTER INC,8,-80.97957166,34.11218648,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1518
Indigo Hall,509 STANDARD WAY,Charleston,SC,29412,Charleston,843-406-4747,administration@indigohall.com,LIMITED LIABILITY,INDIGO HALL OPERATING CO LLC,179,-79.980562,32.761207,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1922
Inlet Coastal Resort,5087 HWY 17 N BP,Murrells Inlet,SC,29576,Georgetown,843-405-2005,administrator@inletcoastal.com,LIMITED LIABILITY,INLET COASTAL RESORT LLC,62,-79.05792714,33.53534178,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1549
Inlet Oaks Assisted Living Community,12287 HWY 707,Murrells Inlet,SC,29576-9739,Horry,843-357-0317,denise@scseniorcare.net,CORPORATION,PARTNERS IN HOPE INC,60,-79.03949091,33.58037547,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1560
Inverness At Spartanburg,2720 COUNTRY CLUB RD,Spartanburg,SC,29302-4473,Spartanburg,864-591-1116,mdeaton@affinitylivinggroup.com,LIMITED LIABILITY,DSJ AL HOLDINGS LLC,100,-81.8585992,34.93906297,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1351
Ivorys Loving Care Ii,4108 S RHETT AVE,N Charleston,SC,29405,Charleston,843-554-0733,sistersanders@comcast.net,SOLE PROPRIETORSHIP,"SANDERS, JUANITA",10,-79.98495582,32.86924445,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2092
Ivory'S Loving Care Residential Facility,2827 SPRUILL AVE,North Charleston,SC,29405-8050,Charleston,843-745-2339,sistersanders@comcast.net,PARTNERSHIP,JUANITA SANDERS & GENEVA NELSON,7,-79.96296938,32.85046586,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1383
Ivy Grove Residential Care Center,483 LOCKHART LN,Gaffney,SC,29341-2841,Cherokee,864-487-0869,oskarmani@aol.com,LTD. LIABILITY,HARMONY RESIDENTIAL CARE CENTER LLC,62,-81.64778595,35.09846898,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1458
J & T Residential Care Facility,604 WAGON WHEEL RD,Hampton,SC,29924-5346,Hampton,803-943-7177,jtresidentialcare@gmail.com,SOLE PROPRIETORSHIP,"MYERS, THELMA S.",10,-81.05295755,32.89372831,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1094
J C Laraes Southwinds Assisted Living Community,308 HUMPHRIES RD,Ridgeway,SC,29130-9648,Kershaw,803-438-4052,judyowens53@yahoo.com,SOLE PROPRIETORSHIP,ANNA L OWENS,5,-80.79773634,34.28765449,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1181
J J Residential Care,748 GREEN ST,Orangeburg,SC,29115-4805,Orangeburg,803-539-2604,eyblack52@mail.com,SOLE PROPRIETORSHIP,BARBARA W IRICK,10,-80.86824853,33.49701153,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0831
Jenni-Lynn Assisted Living Community,915 HOOK AVE,West Columbia,SC,29169-5332,Lexington,803-926-8600,gthompson@premiersl.com,LTD. LIABILITY,JENNI-LYNN ASSISTED LIVING LLC,63,-81.10063518,33.99628156,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1248
Jessamine Community Residence,143 JESSAMINE AVE,Georgetown,SC,29440-5837,Georgetown,843-527-1390,ekrauss@gcbdsn.com,COUNTY,GEORGETOWN COUNTY BOARD OF DISABILITIES AND SPECIAL NEEDS,8,-79.28888158,33.40975181,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1445
Joanne'S Community Care Home #1,5048 PERCIVAL RD,Elgin,SC,29045-9156,Richland,803-736-3860,towana_hayes@att.net,SOLE PROPRIETORSHIP,"CALDWELL, JOANNE M.",10,-80.80785852,34.10872984,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0932
Joanne'S Community Care Home Ii,756 FARROWOOD DR,Columbia,SC,29223-7801,Richland,803-736-3094,joannescch@aol.com,SOLE PROPRIETORSHIP,"CALDWELL, JOANNE M.",9,-80.93897259,34.11109484,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0030
Johnsonville Adult Care Services,351 S MIDWAY HWY,Johnsonville,SC,29555-6242,Florence,843-380-0777,jadc2011@yahoo.com,LTD. LIABILITY,JOHNSONVILLE ADULT CARE SERVICES LLC,22,-79.472263,33.80814129,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1530
Joshuas Foundation,388 ELBOW CIR,Ridgeway,SC,29130,Fairfield,803-337-8701,mbernardez@joshuasfoundation.org,NON-PROFIT CORPORATION,JOSHUA'S FOUNDATION INC,20,-80.94217531,34.30077594,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0659
Josie Drive Community Residence,210 JOSIE DR,Walterboro,SC,29488-2791,Colleton,843-549-6979,tfarmer@colletondsn.org,STATE,COLLETON COUNTY BOARD OF DISABILITIES AND SPECIAL NEEDS,8,-80.67194037,32.9161129,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1528
Joy Community Care Home,6800 DOBY DR,Columbia,SC,29203-5133,Richland,803-754-3157,jdqcsi@aol.com,SOLE PROPRIETORSHIP,"SCOTT, DEBORAH A.",10,-80.98674285,34.06559776,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0961
Kempton Of Greenville,1560 THORNBLADE BLVD,Greer,SC,29650-4520,Greenville,864-968-1277,lefreeman@libertyseniorliving.com,LIMITED LIABILITY,GREENVILLE SENIOR HOUSING I OPCO LLC,100,-82.256996,34.869968,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2021
Kensington I,100 KENSINGTON RD,Columbia,SC,29203-5451,Richland,803-931-3263,c.wright@chescoservices.org,SOLE PROPRIETORSHIP,CHESCO SERVICES,8,-81.05749915,34.03091253,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1532
Kensington Ii Group Home,120 KENSINGTON RD,Columbia,SC,29203-5451,Richland,803-252-0848,c.wright@chescoservices.org,SOLE PROPRIETORSHIP,CHESCO SERVICES,8,-81.10957555,33.97542385,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1536
Keowee Place,475 ROCHESTER HWY,Seneca,SC,29672,Oconee,864-886-0070,legalhelp@enlivant.com,LTD. LIABILITY,INN AT SENECA AID OPCO LLC,50,-82.92747218,34.71052328,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1460
Kiva Lodge,200 CLAUDE BUNDRICK RD,Blythewood,SC,29016-9420,Richland,803-764-2761,jjay@mha-sc.org,CORPORATION,MENTAL HEALTH AMERICA OF SOUTH CAROLINA,5,-80.91849826,34.21360099,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1092
L & B Care Home,924 BARR WOODS RD,Saluda,SC,29138-8191,Saluda,864-993-3072,jwlong@embarqmail.com,PARTNERSHIP,LESA L GOLDMAN & FAYE LONG,24,-81.70457386,34.04673837,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0530
Ladies Community Residence,408 WEBB ST,Conway,SC,29527-5842,Horry,843-349-7271,jbromell@hcdsn.org,COUNTY,HORRY COUNTY DISABILITIES AND SPECIAL NEEDS BOARD,8,-79.08003558,33.81729794,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1449
Ladson'S Residential Home Care,1116 CAMP RD,Charleston,SC,29412-8831,Charleston,843-762-6443,paulineladson@att.net,SOLE PROPRIETORSHIP,"LADSON, PAULINE",5,-79.94708115,32.72664153,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1256
Lake Wylie Assisted Living Community,4877 CHARLOTTE HWY,Clover,SC,29710-8096,York,803-831-9900,mbrakefield@seniorlifestyle.com,LIMITED LIABILITY,LSREF GOLDEN OPS 14 (SC) LLC,110,-81.0706488,35.11471586,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1241
Lakes At Litchfield Assisted Living,120 LAKES AT LITCHFIELD DR,Pawleys Island,SC,29585-5515,Georgetown,843-235-9393,lexington-licensing@well-more.com,LTD. LIABILITY,LITCHFIELD RETIREMENT LLC,79,-79.10680036,33.4750375,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1116
Lakeside Place Senior Living,487 HWY 378,Lexington,SC,29072,Lexington,803-520-0985,ed@lakesideplacesc.com,LIMITED LIABILITY,CR LAKESIDE PLACE SENIOR LIVING LLC,90,-81.28412575,33.99154584,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2011
Lakeview Assisted Living,320 CAMP RD,Walhalla,SC,29691-4811,Oconee,864-638-5212,dwright@seniorsolutions-sc.org,NON-PROFIT CORPORATION,LAKEVIEW ASSISTED LIVING INC,19,-83.113416,34.723327,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0086
Lakewood Senior Living,3709 CLARK RD,Boiling Springs,SC,29316,Spartanburg,864-586-1457,dlittle3@mindspring.com,LIMITED LIABILITY,CR LAKEWOOD LLC,90,-82.00244569,35.0600217,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1924
Landrum Community Residence I,722 BOMAR AVE,Landrum,SC,29356,Spartanburg,864-457-1370,smason@charleslea.org,CORPORATION,CHARLES LEA CENTER,5,-82.18053859,35.16792004,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1507
Landrum Community Residence Ii,722 BOMAR AVE,Landrum,SC,29356,Spartanburg,864-457-1374,smason@charleslea.org,CORPORATION,CHARLES LEA CENTER,5,-82.18053859,35.16792004,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1508
Langit'S Assisted Living Facility,1273 REMOUNT RD,North Charleston,SC,29406-3439,Charleston,843-554-1671,james.langit@langitsassistedliving.net,CORPORATION,LANGIT'S RESIDENTIAL HOME CARE INC,70,-79.99183474,32.90158633,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0861
Langston Place,939 SPRINGDALE DR,Clinton,SC,29325-7266,Laurens,864-833-0338,legalhelp@enlivant.com,,LANGSTON AID OPCO LLC,44,-81.86763406,34.45763541,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1408
Laurel Crest,100 JOSEPH WALKER DR,West Columbia,SC,29169-6939,Lexington,803-796-0370,cessandra.carter@laurelcrest.org,NON-PROFIT CORPORATION,LAUREL CREST RETIREMENT COMMUNITY (NPC),26,-81.06421,34.003451,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1999
Laurens Memorial Home For Aged,3744 TORRINGTON RD,Laurens,SC,29360-0638,Laurens,864-682-2322,mbdunmoyer@aol.com,NON-PROFIT CORPORATION,LAURENS MEMORIAL HOME FOR AGED INC,50,-81.94399762,34.50941544,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0316
Legacy At Hawthorne Park,20 HAWTHORNE PARK CT,Greenville,SC,29615-3194,Greenville,864-288-6775,keara.lee@navionsl.com,LIMITED LIABILITY,NAVION BKE HAWTHORNE PARK LLC,68,-82.330947,34.864039,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2094
Legacy At Southpointe Drive,23 SOUTHPOINTE DR,Greenville,SC,29607-5956,Greenville,846-675-0220,keisha.ellis@navionsl.com,LIMITED LIABILITY,NAVION SOUTHPOINTE OPERATIONS LLC,110,-82.264209,34.81711,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2108
Lemonaide House,1018 CRYSTAL CLEAR LN,Hopkins,SC,29061-8237,Richland,803-776-1742,lemons2love@aol.com,LIMITED LIABILITY,LEMONAIDE HOUSE LLC,15,-80.823662,33.96968,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2170
Lenevar Community Residence,1435 W LENEVAR DR,Charleston,SC,29407-5118,Charleston,843-766-3061,gjohnston@dsncc.com,STATE,DISABILITIES BOARD OF CHARLESTON COUNTY,8,-79.99783334,32.80983325,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0943
Lexington Place,190 MCSWAIN DR,West Columbia,SC,29169-4825,Lexington,312-725-7000,sara@wrcompanies.com,LIMITED LIABILITY,WEST COLUMBIA BG OPCO LLC,90,-81.109431,34.010164,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1989
Lighthouse Residential Care Facility,4033 DELREE ST LOT # 31,West Columbia,SC,29170,Lexington,803-957-0583,20lighthouse17@gmail.com,SOLE PROPRIETORSHIP,ANGELINE A SMITH,10,-81.150133,33.971437,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2013
Lois Eargle Home,406 WEBB ST,Conway,SC,29527-5842,Horry,843-349-7272,acornell@hcdsn.org,COUNTY,HORRY COUNTY DISABILITIES AND SPECIAL NEEDS BOARD,8,-79.07951861,33.81722675,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1450
Long'S Residential Care Center,1280 DENNY HWY,Saluda,SC,29138-8972,Saluda,864-445-7901,longsrescare@yahoo.com,CORPORATION,LONG'S RESIDENTIAL CARE CENTER INC,32,-81.71411519,34.06204882,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0592
Longwood Plantation,1687 LONGWOOD DR,Orangeburg,SC,29118-2307,Orangeburg,803-535-0250,jerri.johnson-still@longwoodplantation.,LIMITED LIABILITY,LONGWOOD PLANTATION-FHE LLC,42,-80.86758347,33.52782776,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0797
Lowcountry Assisted Living,6060 EHRHARDT RD,Ehrhardt,SC,29081,Bamberg,803-267-2222,lowcountryal@yahoo.com,LIMITED LIABILITY,LOWCOUNTRY ASSISTED LIVING LLC,10,-81.015122,33.099475,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2029
Lucille Manor Community Residential Care Facility,1004 R L COWARD RD,Eastover,SC,29044,Richland,803-400-2554,jacquelinemack58@yahoo.com,LIMITED LIABILITY,LUCILLE MANOR COMMUNITY RESIDENTIAL CARE LLC,9,-80.785756,33.940489,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1967
M & M Residential Care Home,408 GENEVA AVE,Marion,SC,29571-4416,Marion,843-423-0120,sandyburgess98@yahoo.com,SOLE PROPRIETORSHIP,"BURGESS, SANDY M.",5,-79.391045,34.173466,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1379
Magnolias Of Santee,118 BRITAIN ST,Santee,SC,29142-8922,Orangeburg,803-854-2020,kimberly@magnoliasofsantee.com,LIMITED LIABILITY,CEDAR COMMUNITIES AT SANTEE LLC,52,-80.476773,33.484736,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1987
Magnolias Of Summerville,335 MIDLAND PKWY,Summerville,SC,29485-8138,Dorchester,843-821-4122,sean@magnoliasofsummerville.com,LTD. LIABILITY,CAROLINA RETIREMENT SERVICES OF SUMMERVILLE LLC,60,-80.15456855,32.96390815,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1414
Magnolias Of Walterboro,210 ACADEMY RD,Walterboro,SC,29488-9208,Colleton,843-538-8181,scott@magnoliasofwalterboro.com,LIMITED LIABILITY,MAGNOLIAS OF WALTERBORO LLC,44,-80.660512,32.937288,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2153
Manning Place,10 COMPANION CT,Greer,SC,29651-1288,Greenville,864-989-0707,legalhelp@envlivant.com,,MANNING AID OPCO LLC,44,-82.23758465,34.95243919,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1407
Maples Of Honea Path,224 WILDWOOD DR,Honea Path,SC,29654-1335,Anderson,864-369-2000,mark@mapleshp.com,CORPORATION,MAPLE MANOR INC,74,-82.40969374,34.44972661,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0819
Marchbanks Assisted Living And Memory Care,2203 MARCHBANKS AVE,Anderson,SC,29621-2247,Anderson,864-231-7786,brent@marchbanksal.com,LTD. LIABILITY,CAROLINA RETIREMENT SERVICES OF ANDERSON LLC,60,-82.62964232,34.52705103,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1413
Marett Boulevard Community Residential Care Facility,1721 MARETT BLVD EXT,Rock Hill,SC,29730,York,803-327-9466,leetta.hart@maxabilities.org,NON-PROFIT CORPORATION,YORK COUNTY BOARD OF DISIBALITIES AND SPECIAL NEEDS,8,-81.01507274,34.96506478,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0883
Marian Parkins Community Residence I,103 KERNS AVE,Greenville,SC,29609,Greenville,864-232-0282,amanda.stone@thriveupstate.org,NON-PROFIT CORPORATION,GREENVILLE COUNTY DISABILITIES AND SPECIAL NEEDS BOARD,8,-82.409699,34.879048,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2036
Marian Parkins Community Residence Ii,518 PICKETT ST,Greenville,SC,29609,Greenville,864-232-0595,swhitsel@thriveupstate.org,NON-PROFIT CORPORATION,GREENVILLE COUNTY DISABILITIES AND SPECIAL NEEDS BOARD,8,-82.409745,34.879371,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2037
Maria'S Priority Care Residential Home I,3117 MEETING STREET RD,North Charleston,SC,29405-7980,Charleston,843-554-0064,rrparanal@gmail.com,SOLE PROPRIETORSHIP,"PARANAL, ROGERIA R.",7,-79.9722828,32.85163952,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0937
Maria'S Priority Care Residential Home Ii-B,4583 DURANT AVE,North Charleston,SC,29405-5212,Charleston,843-566-0460,jnrellora4sus@gmail.com,PARTNERSHIP,JESUS N AND WILHELMINA C RELLORA,7,-79.99029856,32.87702837,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0772
Maria'S Priority Care Residential Home Ii-F,4583 DURANT AVE,North Charleston,SC,29405-5212,Charleston,843-566-0460,jnrellora4sus@gmail.com,PARTNERSHIP,JESUS N AND WILHELMINA C RELLORA,5,-79.99029856,32.87702837,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0774
Maria'S Priority Care Residential Home Iii,3115 MEETING STREET RD,North Charleston,SC,29405-7980,Charleston,843-554-0064,rrparanal@gmail.com,SOLE PROPRIETORSHIP,"PARANAL, ROGERIA R.",7,-79.97228098,32.85163862,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0938
Martha Franks Baptist Retirement Community,1 MARTHA FRANKS DR,Laurens,SC,29360-1799,Laurens,864-984-4541,kholliday@scbma.com,CORPORATION,SOUTH CAROLINA BAPTIST MINISTRIES FOR THE AGING INC,82,-82.02572212,34.50039044,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0360
Mary'S Home Care,224 WARD LOOP,Hemingway,SC,29554-3415,Georgetown,843-558-0953,maryshomecare1@gmail.com,SOLE PROPRIETORSHIP,"HOLMES, MARY W.",21,-79.33780296,33.7032156,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1505
Mary'S Residential #2,633 SHARPE RD,Columbia,SC,29203-9304,Richland,803-708-0300,m.bacote@hotmail.com,SOLE PROPRIETORSHIP,"BACOTE, MARY",5,-81.00509375,34.09081821,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1534
Mary'S Residential Care Facility,10425 WILSON BLVD,Blythewood,SC,29016-9017,Richland,803-708-1739,nhajiyah.simmons@yahoo.com,SOLE PROPRIETORSHIP,"BACOTE, MARY",5,-80.96913167,34.1830551,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1501
Maryville Community Residence,2602 OLD CHARLESTON RD,Georgetown,SC,29440-1471,Georgetown,843-546-7268,ekrauss@gcbdsn.com,COUNTY,GEORGETOWN COUNTY BOARD OF DISABILITIES AND SPECIAL NEEDS,8,-79.30074287,33.33675847,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1446
Master Care,5870 MOOREFIELD MEMORIAL HWY,Liberty,SC,29657-9268,Pickens,864-878-9926,mastercareassist@gmail.com,CORPORATION,MASTER CARE INC,14,-82.70183194,34.82697322,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0358
Mckinney House,307 MILLER RD,Mauldin,SC,29662-2034,Greenville,864-297-5044,kim.duncan@scdmh.org,STATE,SOUTH CAROLINA DEPARTMENT OF MENTAL HEALTH,10,-82.306414,34.789308,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-2071
Meadowlark Drive Community Residential Care Facility,1183 MEADOWLARK DR,Rock Hill,SC,29730,York,803-327-9770,leetta.hart@maxabilities.org,NON-PROFIT CORPORATION,YORK COUNTY BOARD OF DISIBALITIES AND SPECIAL NEEDS,8,-81.07987739,34.94988698,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-0881
Memory Care Of Simpsonville,645 SCUFFLETOWN RD,Simpsonville,SC,29681,Greenville,864-962-3038,rmerritt@memorycaresimpsonville.com,LIMITED LIABILITY,MCA SIMPSONVILLE OPERATING COMPANY,64,-82.21556493,34.78519689,6/30/21,COMMUNITY RESIDENTIAL CARE FACILITIES,CRC-1886
