Facility Name,License Number,State Facility Type 2 Literal,Status,Address,City,State,Zip Code,County,Phone Number,State Facility Type 1 Literal,Capacity
BRULE STREET,RCA39069,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,7 BRULE ST,LEWISTON,ME,04240-3309,ANDROSCOGGIN,+1 (207) 937-8260,ASSISTED HOUSING,2
BRUNSWICK AREA RESPITE CARE,ADS38942,ADULT DAY SERVICES PROGRAM,ACTIVE,9 PARK ST RM 118,BATH,ME,04530-2828,SAGADAHOC,+1 (207) 729-8571,ASSISTED HOUSING,20
BSS APT 98B,RCA38970,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,98 BEACH ST APT 98B,SACO,ME,04072-2986,YORK,+1 (207) 878-9663,ASSISTED HOUSING,1
BSS APT. 100,RCA38972,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,100 BEACH ST APT 100,SACO,ME,04072-2812,YORK,+1 (207) 878-9663,ASSISTED HOUSING,2
BSS APT. 100B,RCA38971,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,100 BEACH ST APT 100B,SACO,ME,04072-2812,YORK,+1 (207) 878-9663,ASSISTED HOUSING,2
BSS APT. 98,RCA38969,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,98 BEACH ST APT 98,SACO,ME,04072-2986,YORK,+1 (207) 878-9663,ASSISTED HOUSING,2
BURLEIGH LANE,RCA39108,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,3 BURLEIGH CIR,BIDDEFORD,ME,04005-9719,YORK,+1 (207) 571-9775,ASSISTED HOUSING,2
"BURNS ROAD, CLA",PNC150,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,74 BURNS RD,AUGUSTA,ME,04330-7859,KENNEBEC,+1 (207) 622-5688,ASSISTED HOUSING,3
"BURR HOME, THE",RCC151,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,108 STATE ST,BREWER,ME,04412-1914,PENOBSCOT,+1 (207) 989-3663,ASSISTED HOUSING,6
"BUTLER HOUSE, JENKINS",RCD38768,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,244 JENKINS RD,SACO,ME,04072-9007,YORK,+1 (207) 283-4967,ASSISTED HOUSING,8
C&C HOMES,RCC1768,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,97 SILK ST,BREWER,ME,04412-1862,PENOBSCOT,+1 (207) 989-5790,ASSISTED HOUSING,4
CADIGAN LODGE,ALP2095,ASSISTED LIVING PROGRAM,ACTIVE,54 GOVERNORS WAY,TOPSHAM,ME,04086-1470,SAGADAHOC,+1 (207) 725-2650,ASSISTED HOUSING,60
CALAIS ALTERNATIVE CARE,RCD2031,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,152 SOUTH ST,CALAIS,ME,04619-1324,WASHINGTON,+1 (207) 454-8960,ASSISTED HOUSING,8
CALAIS BOARDING HOME,PNC155,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,36 CALAIS AVE,CALAIS,ME,04619-1632,WASHINGTON,+1 (207) 454-0158,ASSISTED HOUSING,6
CAMBRIDGE COMMON CONGREGATE HOUSING,ALP156,ASSISTED LIVING PROGRAM,ACTIVE,50 NEW PORTLAND RD,GORHAM,ME,04038-1542,CUMBERLAND,+1 (207) 839-5757,ASSISTED HOUSING,42
CAMERA RESIDENTIAL HOME,RCA1285,LEVEL I RESIDENTIAL CARE FACILITY,FAILED TO RENEW,131 OAKLAND RD,FAIRFIELD,ME,04937-3229,SOMERSET,+1 (207) 453-9152,ASSISTED HOUSING,2
CANOE CLUB ROAD,RCA39207,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,27 CANOE CLUB RD,HAMPDEN,ME,04444-1308,PENOBSCOT,+1 (207) 862-2643,ASSISTED HOUSING,2
CAPE MEMORY CARE,PND2073,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,126 SCOTT DYER RD,CAPE ELIZABETH,ME,04107-2230,CUMBERLAND,+1 (207) 553-9616,ASSISTED HOUSING,72
CAPITOL CITY MANOR,PND165,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,313 STATE ST,AUGUSTA,ME,04330-7037,KENNEBEC,+1 (207) 622-6823,ASSISTED HOUSING,29
"CAPTAIN LEWIS RESIDENCE, THE",RCD1276,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,270 MAINE AVE,FARMINGDALE,ME,04344-4514,KENNEBEC,+1 (207) 582-6674,ASSISTED HOUSING,34
CAPTAIN MILLER HOUSE,RCA39097,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,42 MECHANIC ST,DOVER FOXCROFT,ME,04426-1036,PISCATAQUIS,+1 (207) 802-3081,ASSISTED HOUSING,2
CAPTAIN MILLER HOUSE APARTMENTS,ALP39098,ASSISTED LIVING PROGRAM,ACTIVE,40 MECHANIC ST,DOVER FOXCROFT,ME,04426-1082,PISCATAQUIS,+1 (207) 802-3081,ASSISTED HOUSING,4
CARE RIDGE ESTATES,PND1814,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,35 RIDGE RD,LEE,ME,04455-4418,PENOBSCOT,+1 (207) 738-4663,ASSISTED HOUSING,11
CARING HANDS ADULT DAY RESPITE,ADS38889,ADULT DAY SERVICES PROGRAM,ACTIVE,93 MAIN ST STE 1,FAIRFIELD,ME,04937-1569,SOMERSET,+1 (207) 742-0002,ASSISTED HOUSING,10
CARLISLE STREET HOME,RCC38837,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,23 CARLISLE STREET,ELLSWORTH,ME,4605,HANCOCK,+1 (207) 667-7464,ASSISTED HOUSING,6
CARON STREET HOUSE,RCC173,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,26 CARON ST,PORTLAND,ME,04103-2219,CUMBERLAND,+1 (207) 797-8046,ASSISTED HOUSING,4
CARRIAGE HOUSE 1,ALP38736,ASSISTED LIVING PROGRAM,ACTIVE,54 HIGH ST,SKOWHEGAN,ME,04976-1834,SOMERSET,+1 (207) 858-0791,ASSISTED HOUSING,2
CARRIAGE HOUSE 2,ALP38737,ASSISTED LIVING PROGRAM,ACTIVE,54 HIGH ST,SKOWHEGAN,ME,04976-1834,SOMERSET,+1 (207) 858-0791,ASSISTED HOUSING,4
CASA V,RCC180,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,4 QUAIL DR,WINDHAM,ME,04062-3336,CUMBERLAND,+1 (207) 893-0302,ASSISTED HOUSING,3
CASA VII,RCC182,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,15 QUAIL DR,WINDHAM,ME,04062-3336,CUMBERLAND,+1 (207) 893-0302,ASSISTED HOUSING,3
CASCO INN RESIDENTIAL CARE FACILITY,PND38874,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,434 ROOSEVELT TRL,CASCO,ME,04015-3515,CUMBERLAND,+1 (207) 627-7199,ASSISTED HOUSING,39
CEDAR STREET GROUP HOME,PNC38850,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,125 CEDAR ST,ROCKLAND,ME,04841-2304,KNOX,+1 (207) 594-8960,ASSISTED HOUSING,3
CENTER AVE HOME,RCA38990,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,8 CENTER STREET AVE,BANGOR,ME,04401-5101,PENOBSCOT,+1 (207) 307-7440,ASSISTED HOUSING,2
CENTER STREET,ALP38803,ASSISTED LIVING PROGRAM,ACTIVE,14 CENTER ST,BIDDEFORD,ME,04005-2445,YORK,+1 (207) 874-1092,ASSISTED HOUSING,7
CENTRAL DOWN-SUPPORT SOLUTIONS,RCA39250,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,244 CENTRAL AVE,LEWISTON,ME,04240-4724,ANDROSCOGGIN,+1 (207) 784-8993,ASSISTED HOUSING,2
CENTRAL STREET HOME,RCC190,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,60 CENTRAL ST,DANFORTH,ME,4424,WASHINGTON,+1 (207) 448-9019,ASSISTED HOUSING,4
CENTRAL UP-SUPPORT SOLUTIONS,RCA39249,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,244 CENTRAL AVE,LEWISTON,ME,04240-4724,ANDROSCOGGIN,+1 (207) 784-2982,ASSISTED HOUSING,2
CHAMBERLAIN 2,RCB39050,LEVEL II RESIDENTIAL CARE FACILITY,ACTIVE,292 CHAMBERLAIN ST APT 2,BREWER,ME,04412-1409,PENOBSCOT,+1 (207) 989-1980,ASSISTED HOUSING,2
CHAMBERLAIN 3,RCA39051,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,292 CHAMBERLAIN ST APT 3,BREWER,ME,04412-1409,PENOBSCOT,+1 (207) 989-3175,ASSISTED HOUSING,1
CHAMBERLAIN I,RCC2057,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,292 CHAMBERLAIN ST,BREWER,ME,04412-1409,PENOBSCOT,+1 (207) 989-3175,ASSISTED HOUSING,3
CHANDLER STREET,PNC39054,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,140 CHANDLER ST,PITTSFIELD,ME,04967-3711,SOMERSET,,ASSISTED HOUSING,6
CHANDLER STREET HOUSE,PNC2375,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,12 CHANDLER ST,SKOWHEGAN,ME,04976-1902,SOMERSET,+1 (207) 858-8518,ASSISTED HOUSING,3
CHANGING TIDES,RCC2376,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,57 E MAIN ST,HARRINGTON,ME,04643-3041,WASHINGTON,+1 (207) 598-8668,ASSISTED HOUSING,6
"CHAPMAN HOUSE, THE",PND1770,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,41 PLEASANT ST,AUBURN,ME,04210-5936,ANDROSCOGGIN,+1 (207) 783-0961,ASSISTED HOUSING,30
CHASE POINT ASSISTED LIVING FACILITY,ALP197,ASSISTED LIVING PROGRAM,ACTIVE,51 SCHOONER ST,DAMARISCOTTA,ME,04543-4055,LINCOLN,+1 (207) 563-4200,ASSISTED HOUSING,24
CHERRYFIELD AVENUE,RCC1723,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,15 CHERRYFIELD AVE,SACO,ME,04072-2431,YORK,+1 (207) 282-2195,ASSISTED HOUSING,3
CHESLEY STREET PROGRAM,PNC198,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,2 CHESLEY ST,WESTBROOK,ME,04092-3317,CUMBERLAND,+1 (207) 857-9419,ASSISTED HOUSING,3
CHESTNUT STREET HOME,RCB2325,LEVEL II RESIDENTIAL CARE FACILITY,ACTIVE,37 CHESTNUT ST,OLD ORCHARD BEACH,ME,04064-4140,YORK,+1 (207) 351-6245,ASSISTED HOUSING,3
CHRISTINE'S FOSTER HOME,RCB199,LEVEL II RESIDENTIAL CARE FACILITY,ACTIVE,110 POPLAR ST,VAN BUREN,ME,04785-1153,AROOSTOOK,+1 (207) 868-3354,ASSISTED HOUSING,4
CHURCH ROAD,RCC2287,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,85 CHURCH RD,BRUNSWICK,ME,04011-7306,CUMBERLAND,+1 (207) 504-5682,ASSISTED HOUSING,3
CHURCH ROAD- PENQUIS,RCC38902,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,138 CHURCH RD,BANGOR,ME,04401-2136,PENOBSCOT,+1 (207) 307-7761,ASSISTED HOUSING,4
CHURCH STREET,PNC1994,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,20 CHURCH ST,LEWISTON,ME,04240-3608,ANDROSCOGGIN,+1 (207) 783-3446,ASSISTED HOUSING,3
CHURCH WAIVER HOME,RCA39213,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,53 CHURCH ST,PRESQUE ISLE,ME,04769-2497,AROOSTOOK,+1 (207) 764-4794,ASSISTED HOUSING,2
CLARK'S TERRACE AT THE PARK DANFORTH,PND203,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,777 STEVENS AVE,PORTLAND,ME,04103-2675,CUMBERLAND,+1 (207) 797-7710,ASSISTED HOUSING,39
CLOVER LIVING CENTER,ALP204,ASSISTED LIVING PROGRAM,ACTIVE,460 MINOT AVE # 480,AUBURN,ME,04210-4357,ANDROSCOGGIN,+1 (207) 784-3573,ASSISTED HOUSING,34
CLOVER RESIDENTIAL CARE,RCD38015,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,440 MINOT AVE,AUBURN,ME,04210-4332,ANDROSCOGGIN,+1 (207) 784-3573,ASSISTED HOUSING,135
"COASTAL COMMUNITY CARE, LLC",RCA38914,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,280 STETSON RD,LEWISTON,ME,04240-2430,ANDROSCOGGIN,+1 (207) 518-0452,ASSISTED HOUSING,2
COASTAL LANDING LLC,ALP2378,ASSISTED LIVING PROGRAM,ACTIVE,142 NEPTUNE DR,BRUNSWICK,ME,04011-2882,CUMBERLAND,+1 (207) 837-6560,ASSISTED HOUSING,82
"COASTAL SHORES, INC.",PND2380,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,142 NEPTUNE DR,BRUNSWICK,ME,04011-2882,CUMBERLAND,+1 (207) 725-5801,ASSISTED HOUSING,40
COBALT COMPASSION CARE,RCA39073,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,3 COBALT CT,WINDHAM,ME,04062-4691,CUMBERLAND,+1 (207) 209-1802,ASSISTED HOUSING,2
"COFFIN-FELKER HOME, THE",PNC38770,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,37 SUNRISE DR,SOUTH PARIS,ME,04281-6573,OXFORD,+1 (207) 743-8049 x5366,ASSISTED HOUSING,5
COLDBROOK ROAD,RCA39206,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,10 COLDBROOK RD,HAMPDEN,ME,04444-1636,PENOBSCOT,+1 (207) 862-2643,ASSISTED HOUSING,2
COLLEGE APT-SUPPORT SOLUTIONS,RCA39251,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,414 COLLEGE ST,LEWISTON,ME,04240-5332,ANDROSCOGGIN,+1 (207) 312-5686,ASSISTED HOUSING,1
COLLINS FARM,RCC1730,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,144 COLLINS FARM ROAD,MANCHESTER,ME,4351,KENNEBEC,+1 (207) 795-0672,ASSISTED HOUSING,2
COLLINS POND,RCA39180,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,36 COLLINS POND RD,WINDHAM,ME,04062-5237,CUMBERLAND,+1 (207) 835-0099,ASSISTED HOUSING,2
COLONIAL HEALTH CARE,PND33803,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,36 WORKMAN TER,LINCOLN,ME,04457-1162,PENOBSCOT,+1 (207) 794-6534,ASSISTED HOUSING,26
COLONY LANE,RCC213,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,19 COLONY LANE,SOUTH PORTLAND,ME,4106,CUMBERLAND,+1 (207) 774-0250,ASSISTED HOUSING,3
COMMERCIAL STREET,ALP38766,ASSISTED LIVING PROGRAM,ACTIVE,115 COMMERCIAL ST,AUGUSTA,ME,04330-4635,KENNEBEC,+1 (207) 624-0550,ASSISTED HOUSING,10
"COMMONS AT TALL PINES, THE",RCD37183,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,34 MARTIN LN,BELFAST,ME,04915-6080,WALDO,+1 (207) 338-4117,ASSISTED HOUSING,16
"COMMONSENSE HOUSING, INC - SHERMAN AVE",RCC38877,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,97 SHERMAN AVE,BANGOR,ME,04401-3328,PENOBSCOT,+1 (207) 989-1303,ASSISTED HOUSING,3
"COMMONSENSE HOUSING, INC. - 12",RCC216,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,29 LAMBERT RD,EDDINGTON,ME,04428-3031,PENOBSCOT,+1 (207) 989-3243,ASSISTED HOUSING,4
"COMMONSENSE HOUSING, INC. - 15",RCC218,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,627 MAIN RD,EDDINGTON,ME,04428-3204,PENOBSCOT,+1 (207) 843-7900,ASSISTED HOUSING,3
"COMMONSENSE HOUSING, INC. - 1513 OHIO STREET",RCC1664,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,1513 OHIO ST,BANGOR,ME,04401-2327,PENOBSCOT,+1 (207) 945-6232,ASSISTED HOUSING,3
"COMMONSENSE HOUSING, INC. - 23",RCC2067,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,55 CLEWLEYVILLE RD,EDDINGTON,ME,04428-3020,PENOBSCOT,+1 (207) 989-5256,ASSISTED HOUSING,3
"COMMONSENSE HOUSING, INC. - 7",RCC223,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,739 N MAIN ST,BREWER,ME,04412-1260,PENOBSCOT,+1 (207) 989-0730,ASSISTED HOUSING,4
"COMMONSENSE HOUSING, INC. - EDDINGTON HOUSE",RCC298,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,15 RIVERSIDE DR,EDDINGTON,ME,04428-3109,PENOBSCOT,+1 (207) 989-7250,ASSISTED HOUSING,6
"COMMONSENSE HOUSING, INC. - KOUNTRY KORNER",RCC569,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,1300 MAIN RD,EDDINGTON,ME,04428-3320,PENOBSCOT,+1 (207) 843-6141,ASSISTED HOUSING,6
CONGRESS STREET CARE,PNA38966,PNMI LEVEL I RESIDENTIAL CARE FACILITY,DENIED,1395 CONGRESS ST,PORTLAND,ME,04102-2120,CUMBERLAND,,ASSISTED HOUSING,2
CONGRESS STREET WEST,ALP38804,ASSISTED LIVING PROGRAM,ACTIVE,829 CONGRESS ST,PORTLAND,ME,04102-3152,CUMBERLAND,+1 (207) 699-2465,ASSISTED HOUSING,10
COOLIDGE,RCA39193,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,27 COOLIDGE AVE,HAMPDEN,ME,04444-1821,PENOBSCOT,+1 (207) 862-2643,ASSISTED HOUSING,2
CORLISS STREET,RCC2034,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,32 CORLISS ST,BATH,ME,04530-1704,SAGADAHOC,+1 (207) 504-5684,ASSISTED HOUSING,3
CORNISH ASSISTED HOUSING PROGRAM,RCC38613,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,7 PUMPKINVILLE RD,CORNISH,ME,04020-3507,YORK,+1 (207) 625-4342,ASSISTED HOUSING,4
COTTAGE HILL HOME,RCC235,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,243 COTTAGE ST,SANFORD,ME,04073-1814,YORK,+1 (207) 324-8110,ASSISTED HOUSING,5
COUNTRY CHARM LANE,RCC1627,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,15 COUNTRY CHARM LN,NEW GLOUCESTER,ME,04260-3436,CUMBERLAND,+1 (207) 926-6081,ASSISTED HOUSING,3
COUNTRY CLUB,RCC1603,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,142 COUNTRY CLUB RD,SANFORD,ME,04073-5224,YORK,+1 (207) 490-5690,ASSISTED HOUSING,4
COUNTRY MANOR NURSING HOME,PND22455,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,132 MAIN ST,COOPERS MILLS,ME,4341,LINCOLN,+1 (207) 549-7471,ASSISTED HOUSING,22
COUNTRY MEADOWS,PND38683,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,1605 ESSEX ST,BANGOR,ME,04401-2659,PENOBSCOT,+1 (207) 945-6627,ASSISTED HOUSING,8
COUNTRY VILLAGE ASSISTED LIVING,PND38753,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,960 MEADOW RD,CASCO,ME,04015-3316,CUMBERLAND,+1 (207) 627-7111,ASSISTED HOUSING,30
COUNTRY VILLAGE ESTATES,PND1962,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,260 DUGAL DR,MADAWASKA,ME,04756-1517,AROOSTOOK,+1 (207) 728-3570,ASSISTED HOUSING,27
COUNTRY WAY,RCC2032,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,1757 POWNAL RD,AUBURN,ME,04210-9687,ANDROSCOGGIN,+1 (207) 783-8731,ASSISTED HOUSING,3
COUNTRYSIDE ADULT FAMILY CARE HOME,RCC1563,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,1334 LONG PLAINS RD,BUXTON,ME,04093-6052,YORK,+1 (207) 929-5787,ASSISTED HOUSING,6
COURAGE LIVES,RCC39047,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,1200 OHIO STREET,BANGOR,ME,4401,PENOBSCOT,+1 (207) 282-3361,ASSISTED HOUSING,5
COURT STREET,PNC38642,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,470 COURT ST,AUBURN,ME,04210-4383,ANDROSCOGGIN,+1 (207) 783-3446,ASSISTED HOUSING,3
COURTLAND REHAB & L C,PND25010,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,42 BUCKSPORT RD,ELLSWORTH,ME,04605-2230,HANCOCK,+1 (207) 667-9036,ASSISTED HOUSING,20
"COURTYARD, THE",RCD27118,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,30 COMMUNITY DR,CAMDEN,ME,04843-2061,KNOX,+1 (207) 230-6100,ASSISTED HOUSING,24
COVE STREET HOME,RCC2011,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,1 COVE ST,SANFORD,ME,04073-2801,YORK,+1 (207) 490-0903,ASSISTED HOUSING,3
CRAWFORD COMMONS,PND974,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,132 MIDDLE RD,UNION,ME,04862-4018,KNOX,+1 (207) 785-4419,ASSISTED HOUSING,34
CRESCENT PLACE GROUP HOME,PNC38848,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,15 CRESCENT ST,BIDDEFORD,ME,04005-2519,YORK,+1 (207) 282-4962,ASSISTED HOUSING,6
CREST VIEW MANOR,PND249,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,361 COURT ST,HOULTON,ME,04730-1957,AROOSTOOK,+1 (207) 532-3498,ASSISTED HOUSING,20
CRG,RCA38976,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,68 CRESSEY RD APT 12,GORHAM,ME,04038-2012,CUMBERLAND,+1 (207) 878-9663,ASSISTED HOUSING,2
CRG 6,RCA39082,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,68 CRESSEY RD APT 6,GORHAM,ME,04038-2012,CUMBERLAND,+1 (207) 878-9663,ASSISTED HOUSING,2
CROSSROADS,PND38800,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,735 WASHINGTON AVE,PORTLAND,ME,04103-4928,CUMBERLAND,+1 (207) 773-9931,ASSISTED HOUSING,8
CROSSROADS II,PND38862,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,575 FOREST AVE,PORTLAND,ME,04101-1513,CUMBERLAND,+1 (207) 773-9931,ASSISTED HOUSING,10
CROSSWINDS RESIDENTIAL CARE,RCD1879,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,40 VILLAGE RD,FORT KENT,ME,04743-1031,AROOSTOOK,+1 (207) 834-3701,ASSISTED HOUSING,45
CROWE'S RESIDENTIAL CARE,PNC250,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,604 LEIGHTON RD,AUGUSTA,ME,04330-7808,KENNEBEC,+1 (207) 623-5355,ASSISTED HOUSING,6
CSP APT. 1,RCA38974,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,3 C ST APT 1,SOUTH PORTLAND,ME,04106-2819,CUMBERLAND,+1 (207) 878-9663,ASSISTED HOUSING,2
CSP APT. 2,RCA38983,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,3 C ST APT 2,SOUTH PORTLAND,ME,04106-2819,CUMBERLAND,+1 (207) 878-9663,ASSISTED HOUSING,2
CUMMINGS HEALTH CARE FACILITY,RCD22459,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,5 CROCKER STREET,HOWLAND,ME,4448,PENOBSCOT,+1 (207) 732-4121,ASSISTED HOUSING,20
CURLEWIS LANE,RCC2382,LEVEL III RESIDENTIAL CARE FACILITY,FAILED TO RENEW,25 CURLEWIS LN,NEWCASTLE,ME,04553-3242,LINCOLN,+1 (207) 586-5026,ASSISTED HOUSING,3
DAFFRON,RCC604,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,317 FOSS RD,LIMERICK,ME,04048-4306,YORK,+1 (207) 797-2512,ASSISTED HOUSING,6
DAVID STREET HOME,RCC259,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,10 BURLEIGH STREET,ISLAND FALLS,ME,4747,AROOSTOOK,+1 (207) 463-3414,ASSISTED HOUSING,5
DAVIS ROAD GROUP HOME,RCC261,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,125 DAVIS RD,FARMINGTON,ME,04938-6507,FRANKLIN,+1 (207) 778-5086,ASSISTED HOUSING,4
DAY SPRING HOUSE LLC,RCB38898,LEVEL II RESIDENTIAL CARE FACILITY,ACTIVE,218 FERN RD,DEXTER,ME,04930-2609,PENOBSCOT,+1 (207) 924-3818,ASSISTED HOUSING,6
DAY STREET HOME,RCC263,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,2 DAY ST,KENNEBUNK,ME,04043-7115,YORK,+1 (207) 467-9060,ASSISTED HOUSING,4
DEAN HOUSE,RCC1258,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,272 ESSEX ST,BANGOR,ME,04401-4050,PENOBSCOT,+1 (207) 573-4712,ASSISTED HOUSING,4
DEAN ROAD WAIVER,RCC2103,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,21 DEAN RD,CLINTON,ME,04927-3400,KENNEBEC,+1 (207) 426-2806,ASSISTED HOUSING,3
DEBORAH LINCOLN HOUSE,RCC265,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,60 CEDAR ST,BELFAST,ME,04915-6302,WALDO,+1 (207) 338-1554,ASSISTED HOUSING,6
DECLARATION,RCA39179,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,33 DECLARATION DR,WESTBROOK,ME,04092-4510,CUMBERLAND,+1 (207) 835-0099,ASSISTED HOUSING,2
DEER HILL A,RCA39070,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,254A DEER HILL RD,WATERFORD,ME,04088-4035,OXFORD,+1 (207) 743-8049 x202,ASSISTED HOUSING,2
DEER HILL B,RCA39071,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,254B DEER HILL RD,WATERFORD,ME,04088-4035,OXFORD,+1 (207) 743-8049 x202,ASSISTED HOUSING,2
DIONNE COMMONS,PND276,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,24 MAURICE DR,BRUNSWICK,ME,04011-3270,CUMBERLAND,+1 (207) 725-4379,ASSISTED HOUSING,64
DIRIGO PINES INN,RCD38600,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,9 ALUMNI DR,ORONO,ME,04473-3479,PENOBSCOT,+1 (207) 866-3400,ASSISTED HOUSING,50
