Facility Name,License Number,State Facility Type 2 Literal,Address,City,State,Zip Code,County,Phone Number,State Facility Type 1 Literal,Capacity,Date Accessed
Casa V,RCC180,LEVEL III RESIDENTIAL CARE FACILITY,4 QUAIL DR,Windham,ME,04062-3336,Cumberland,+1 (207) 893-0302,ASSISTED HOUSING,3,7/12/21
Casa Vii,RCC182,LEVEL III RESIDENTIAL CARE FACILITY,15 QUAIL DR,Windham,ME,04062-3336,Cumberland,+1 (207) 893-0302,ASSISTED HOUSING,3,7/12/21
Casco Inn Residential Care Facility,PND38874,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,434 ROOSEVELT TRL,Casco,ME,04015-3515,Cumberland,+1 (207) 627-7199,ASSISTED HOUSING,39,7/12/21
Cedar Street Group Home,PNC38850,PNMI LEVEL III RESIDENTIAL CARE FACILITY,125 CEDAR ST,Rockland,ME,04841-2304,Knox,+1 (207) 594-8960,ASSISTED HOUSING,3,7/12/21
Center Ave Home,RCA38990,LEVEL I RESIDENTIAL CARE FACILITY,8 CENTER STREET AVE,Bangor,ME,04401-5101,Penobscot,+1 (207) 307-7440,ASSISTED HOUSING,2,7/12/21
Center Street,ALP38803,ASSISTED LIVING PROGRAM,14 CENTER ST,Biddeford,ME,04005-2445,York,+1 (207) 874-1092,ASSISTED HOUSING,7,7/12/21
Central Down-Support Solutions,RCA39250,LEVEL I RESIDENTIAL CARE FACILITY,244 CENTRAL AVE,Lewiston,ME,04240-4724,Androscoggin,+1 (207) 784-8993,ASSISTED HOUSING,2,7/12/21
Central Street Home,RCC190,LEVEL III RESIDENTIAL CARE FACILITY,60 CENTRAL ST,Danforth,ME,4424,Washington,+1 (207) 448-9019,ASSISTED HOUSING,4,7/12/21
Central Up-Support Solutions,RCA39249,LEVEL I RESIDENTIAL CARE FACILITY,244 CENTRAL AVE,Lewiston,ME,04240-4724,Androscoggin,+1 (207) 784-2982,ASSISTED HOUSING,2,7/12/21
Chamberlain 2,RCB39050,LEVEL II RESIDENTIAL CARE FACILITY,292 CHAMBERLAIN ST APT 2,Brewer,ME,04412-1409,Penobscot,+1 (207) 989-1980,ASSISTED HOUSING,2,7/12/21
Chamberlain 3,RCA39051,LEVEL I RESIDENTIAL CARE FACILITY,292 CHAMBERLAIN ST APT 3,Brewer,ME,04412-1409,Penobscot,+1 (207) 989-3175,ASSISTED HOUSING,1,7/12/21
Chamberlain I,RCC2057,LEVEL III RESIDENTIAL CARE FACILITY,292 CHAMBERLAIN ST,Brewer,ME,04412-1409,Penobscot,+1 (207) 989-3175,ASSISTED HOUSING,3,7/12/21
Chandler Street,PNC39054,PNMI LEVEL III RESIDENTIAL CARE FACILITY,140 CHANDLER ST,Pittsfield,ME,04967-3711,Somerset,,ASSISTED HOUSING,6,7/12/21
Chandler Street House,PNC2375,PNMI LEVEL III RESIDENTIAL CARE FACILITY,12 CHANDLER ST,Skowhegan,ME,04976-1902,Somerset,+1 (207) 858-8518,ASSISTED HOUSING,3,7/12/21
Changing Tides,RCC2376,LEVEL III RESIDENTIAL CARE FACILITY,57 E MAIN ST,Harrington,ME,04643-3041,Washington,+1 (207) 598-8668,ASSISTED HOUSING,6,7/12/21
"Chapman House, The",PND1770,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,41 PLEASANT ST,Auburn,ME,04210-5936,Androscoggin,+1 (207) 783-0961,ASSISTED HOUSING,30,7/12/21
Chase Point Assisted Living Facility,ALP197,ASSISTED LIVING PROGRAM,51 SCHOONER ST,Damariscotta,ME,04543-4055,Lincoln,+1 (207) 563-4200,ASSISTED HOUSING,24,7/12/21
Cherryfield Avenue,RCC1723,LEVEL III RESIDENTIAL CARE FACILITY,15 CHERRYFIELD AVE,Saco,ME,04072-2431,York,+1 (207) 282-2195,ASSISTED HOUSING,3,7/12/21
Chesley Street Program,PNC198,PNMI LEVEL III RESIDENTIAL CARE FACILITY,2 CHESLEY ST,Westbrook,ME,04092-3317,Cumberland,+1 (207) 857-9419,ASSISTED HOUSING,3,7/12/21
Chestnut Street Home,RCB2325,LEVEL II RESIDENTIAL CARE FACILITY,37 CHESTNUT ST,Old Orchard Beach,ME,04064-4140,York,+1 (207) 351-6245,ASSISTED HOUSING,3,7/12/21
Christine'S Foster Home,RCB199,LEVEL II RESIDENTIAL CARE FACILITY,110 POPLAR ST,Van Buren,ME,04785-1153,Aroostook,+1 (207) 868-3354,ASSISTED HOUSING,4,7/12/21
Church Road,RCC2287,LEVEL III RESIDENTIAL CARE FACILITY,85 CHURCH RD,Brunswick,ME,04011-7306,Cumberland,+1 (207) 504-5682,ASSISTED HOUSING,3,7/12/21
Church Road- Penquis,RCC38902,LEVEL III RESIDENTIAL CARE FACILITY,138 CHURCH RD,Bangor,ME,04401-2136,Penobscot,+1 (207) 307-7761,ASSISTED HOUSING,4,7/12/21
Church Street,PNC1994,PNMI LEVEL III RESIDENTIAL CARE FACILITY,20 CHURCH ST,Lewiston,ME,04240-3608,Androscoggin,+1 (207) 783-3446,ASSISTED HOUSING,3,7/12/21
Church Waiver Home,RCA39213,LEVEL I RESIDENTIAL CARE FACILITY,53 CHURCH ST,Presque Isle,ME,04769-2497,Aroostook,+1 (207) 764-4794,ASSISTED HOUSING,2,7/12/21
Clark'S Terrace At The Park Danforth,PND203,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,777 STEVENS AVE,Portland,ME,04103-2675,Cumberland,+1 (207) 797-7710,ASSISTED HOUSING,39,7/12/21
Clover Living Center,ALP204,ASSISTED LIVING PROGRAM,460 MINOT AVE # 480,Auburn,ME,04210-4357,Androscoggin,+1 (207) 784-3573,ASSISTED HOUSING,34,7/12/21
Clover Residential Care,RCD38015,LEVEL IV RESIDENTIAL CARE FACILITY,440 MINOT AVE,Auburn,ME,04210-4332,Androscoggin,+1 (207) 784-3573,ASSISTED HOUSING,135,7/12/21
"Coastal Community Care, Llc",RCA38914,LEVEL I RESIDENTIAL CARE FACILITY,280 STETSON RD,Lewiston,ME,04240-2430,Androscoggin,+1 (207) 518-0452,ASSISTED HOUSING,2,7/12/21
Coastal Landing Llc,ALP2378,ASSISTED LIVING PROGRAM,142 NEPTUNE DR,Brunswick,ME,04011-2882,Cumberland,+1 (207) 837-6560,ASSISTED HOUSING,82,7/12/21
"Coastal Shores, Inc.",PND2380,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,142 NEPTUNE DR,Brunswick,ME,04011-2882,Cumberland,+1 (207) 725-5801,ASSISTED HOUSING,40,7/12/21
Cobalt Compassion Care,RCA39073,LEVEL I RESIDENTIAL CARE FACILITY,3 COBALT CT,Windham,ME,04062-4691,Cumberland,+1 (207) 209-1802,ASSISTED HOUSING,2,7/12/21
"Coffin-Felker Home, The",PNC38770,PNMI LEVEL III RESIDENTIAL CARE FACILITY,37 SUNRISE DR,South Paris,ME,04281-6573,Oxford,+1 (207) 743-8049 x5366,ASSISTED HOUSING,5,7/12/21
Coldbrook Road,RCA39206,LEVEL I RESIDENTIAL CARE FACILITY,10 COLDBROOK RD,Hampden,ME,04444-1636,Penobscot,+1 (207) 862-2643,ASSISTED HOUSING,2,7/12/21
College Apt-Support Solutions,RCA39251,LEVEL I RESIDENTIAL CARE FACILITY,414 COLLEGE ST,Lewiston,ME,04240-5332,Androscoggin,+1 (207) 312-5686,ASSISTED HOUSING,1,7/12/21
Collins Farm,RCC1730,LEVEL III RESIDENTIAL CARE FACILITY,144 COLLINS FARM ROAD,Manchester,ME,4351,Kennebec,+1 (207) 795-0672,ASSISTED HOUSING,2,7/12/21
Collins Pond,RCA39180,LEVEL I RESIDENTIAL CARE FACILITY,36 COLLINS POND RD,Windham,ME,04062-5237,Cumberland,+1 (207) 835-0099,ASSISTED HOUSING,2,7/12/21
Colonial Health Care,PND33803,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,36 WORKMAN TER,Lincoln,ME,04457-1162,Penobscot,+1 (207) 794-6534,ASSISTED HOUSING,26,7/12/21
Colony Lane,RCC213,LEVEL III RESIDENTIAL CARE FACILITY,19 COLONY LANE,South Portland,ME,4106,Cumberland,+1 (207) 774-0250,ASSISTED HOUSING,3,7/12/21
Commercial Street,ALP38766,ASSISTED LIVING PROGRAM,115 COMMERCIAL ST,Augusta,ME,04330-4635,Kennebec,+1 (207) 624-0550,ASSISTED HOUSING,10,7/12/21
"Commons At Tall Pines, The",RCD37183,LEVEL IV RESIDENTIAL CARE FACILITY,34 MARTIN LN,Belfast,ME,04915-6080,Waldo,+1 (207) 338-4117,ASSISTED HOUSING,16,7/12/21
"Commonsense Housing, Inc - Sherman Ave",RCC38877,LEVEL III RESIDENTIAL CARE FACILITY,97 SHERMAN AVE,Bangor,ME,04401-3328,Penobscot,+1 (207) 989-1303,ASSISTED HOUSING,3,7/12/21
"Commonsense Housing, Inc. - 12",RCC216,LEVEL III RESIDENTIAL CARE FACILITY,29 LAMBERT RD,Eddington,ME,04428-3031,Penobscot,+1 (207) 989-3243,ASSISTED HOUSING,4,7/12/21
"Commonsense Housing, Inc. - 15",RCC218,LEVEL III RESIDENTIAL CARE FACILITY,627 MAIN RD,Eddington,ME,04428-3204,Penobscot,+1 (207) 843-7900,ASSISTED HOUSING,3,7/12/21
"Commonsense Housing, Inc. - 1513 Ohio Street",RCC1664,LEVEL III RESIDENTIAL CARE FACILITY,1513 OHIO ST,Bangor,ME,04401-2327,Penobscot,+1 (207) 945-6232,ASSISTED HOUSING,3,7/12/21
"Commonsense Housing, Inc. - 23",RCC2067,LEVEL III RESIDENTIAL CARE FACILITY,55 CLEWLEYVILLE RD,Eddington,ME,04428-3020,Penobscot,+1 (207) 989-5256,ASSISTED HOUSING,3,7/12/21
"Commonsense Housing, Inc. - 7",RCC223,LEVEL III RESIDENTIAL CARE FACILITY,739 N MAIN ST,Brewer,ME,04412-1260,Penobscot,+1 (207) 989-0730,ASSISTED HOUSING,4,7/12/21
"Commonsense Housing, Inc. - Eddington House",RCC298,LEVEL III RESIDENTIAL CARE FACILITY,15 RIVERSIDE DR,Eddington,ME,04428-3109,Penobscot,+1 (207) 989-7250,ASSISTED HOUSING,6,7/12/21
"Commonsense Housing, Inc. - Kountry Korner",RCC569,LEVEL III RESIDENTIAL CARE FACILITY,1300 MAIN RD,Eddington,ME,04428-3320,Penobscot,+1 (207) 843-6141,ASSISTED HOUSING,6,7/12/21
Congress Street Care,PNA38966,PNMI LEVEL I RESIDENTIAL CARE FACILITY,1395 CONGRESS ST,Portland,ME,04102-2120,Cumberland,,ASSISTED HOUSING,2,7/12/21
Congress Street West,ALP38804,ASSISTED LIVING PROGRAM,829 CONGRESS ST,Portland,ME,04102-3152,Cumberland,+1 (207) 699-2465,ASSISTED HOUSING,10,7/12/21
Coolidge,RCA39193,LEVEL I RESIDENTIAL CARE FACILITY,27 COOLIDGE AVE,Hampden,ME,04444-1821,Penobscot,+1 (207) 862-2643,ASSISTED HOUSING,2,7/12/21
Corliss Street,RCC2034,LEVEL III RESIDENTIAL CARE FACILITY,32 CORLISS ST,Bath,ME,04530-1704,Sagadahoc,+1 (207) 504-5684,ASSISTED HOUSING,3,7/12/21
Cornish Assisted Housing Program,RCC38613,LEVEL III RESIDENTIAL CARE FACILITY,7 PUMPKINVILLE RD,Cornish,ME,04020-3507,York,+1 (207) 625-4342,ASSISTED HOUSING,4,7/12/21
Cottage Hill Home,RCC235,LEVEL III RESIDENTIAL CARE FACILITY,243 COTTAGE ST,Sanford,ME,04073-1814,York,+1 (207) 324-8110,ASSISTED HOUSING,5,7/12/21
Country Charm Lane,RCC1627,LEVEL III RESIDENTIAL CARE FACILITY,15 COUNTRY CHARM LN,New Gloucester,ME,04260-3436,Cumberland,+1 (207) 926-6081,ASSISTED HOUSING,3,7/12/21
Country Club,RCC1603,LEVEL III RESIDENTIAL CARE FACILITY,142 COUNTRY CLUB RD,Sanford,ME,04073-5224,York,+1 (207) 490-5690,ASSISTED HOUSING,4,7/12/21
Country Manor Nursing Home,PND22455,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,132 MAIN ST,Coopers Mills,ME,4341,Lincoln,+1 (207) 549-7471,ASSISTED HOUSING,22,7/12/21
Country Meadows,PND38683,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,1605 ESSEX ST,Bangor,ME,04401-2659,Penobscot,+1 (207) 945-6627,ASSISTED HOUSING,8,7/12/21
Country Village Assisted Living,PND38753,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,960 MEADOW RD,Casco,ME,04015-3316,Cumberland,+1 (207) 627-7111,ASSISTED HOUSING,30,7/12/21
Country Village Estates,PND1962,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,260 DUGAL DR,Madawaska,ME,04756-1517,Aroostook,+1 (207) 728-3570,ASSISTED HOUSING,27,7/12/21
Country Way,RCC2032,LEVEL III RESIDENTIAL CARE FACILITY,1757 POWNAL RD,Auburn,ME,04210-9687,Androscoggin,+1 (207) 783-8731,ASSISTED HOUSING,3,7/12/21
Countryside Adult Family Care Home,RCC1563,LEVEL III RESIDENTIAL CARE FACILITY,1334 LONG PLAINS RD,Buxton,ME,04093-6052,York,+1 (207) 929-5787,ASSISTED HOUSING,6,7/12/21
Courage Lives,RCC39047,LEVEL III RESIDENTIAL CARE FACILITY,1200 OHIO STREET,Bangor,ME,4401,Penobscot,+1 (207) 282-3361,ASSISTED HOUSING,5,7/12/21
Court Street,PNC38642,PNMI LEVEL III RESIDENTIAL CARE FACILITY,470 COURT ST,Auburn,ME,04210-4383,Androscoggin,+1 (207) 783-3446,ASSISTED HOUSING,3,7/12/21
Courtland Rehab & L C,PND25010,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,42 BUCKSPORT RD,Ellsworth,ME,04605-2230,Hancock,+1 (207) 667-9036,ASSISTED HOUSING,20,7/12/21
"Courtyard, The",RCD27118,LEVEL IV RESIDENTIAL CARE FACILITY,30 COMMUNITY DR,Camden,ME,04843-2061,Knox,+1 (207) 230-6100,ASSISTED HOUSING,24,7/12/21
Cove Street Home,RCC2011,LEVEL III RESIDENTIAL CARE FACILITY,1 COVE ST,Sanford,ME,04073-2801,York,+1 (207) 490-0903,ASSISTED HOUSING,3,7/12/21
Crawford Commons,PND974,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,132 MIDDLE RD,Union,ME,04862-4018,Knox,+1 (207) 785-4419,ASSISTED HOUSING,34,7/12/21
Crescent Place Group Home,PNC38848,PNMI LEVEL III RESIDENTIAL CARE FACILITY,15 CRESCENT ST,Biddeford,ME,04005-2519,York,+1 (207) 282-4962,ASSISTED HOUSING,6,7/12/21
Crest View Manor,PND249,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,361 COURT ST,Houlton,ME,04730-1957,Aroostook,+1 (207) 532-3498,ASSISTED HOUSING,20,7/12/21
Crg,RCA38976,LEVEL I RESIDENTIAL CARE FACILITY,68 CRESSEY RD APT 12,Gorham,ME,04038-2012,Cumberland,+1 (207) 878-9663,ASSISTED HOUSING,2,7/12/21
Crg 6,RCA39082,LEVEL I RESIDENTIAL CARE FACILITY,68 CRESSEY RD APT 6,Gorham,ME,04038-2012,Cumberland,+1 (207) 878-9663,ASSISTED HOUSING,2,7/12/21
Crossroads,PND38800,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,735 WASHINGTON AVE,Portland,ME,04103-4928,Cumberland,+1 (207) 773-9931,ASSISTED HOUSING,8,7/12/21
Crossroads Ii,PND38862,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,575 FOREST AVE,Portland,ME,04101-1513,Cumberland,+1 (207) 773-9931,ASSISTED HOUSING,10,7/12/21
Crosswinds Residential Care,RCD1879,LEVEL IV RESIDENTIAL CARE FACILITY,40 VILLAGE RD,Fort Kent,ME,04743-1031,Aroostook,+1 (207) 834-3701,ASSISTED HOUSING,45,7/12/21
Crowe'S Residential Care,PNC250,PNMI LEVEL III RESIDENTIAL CARE FACILITY,604 LEIGHTON RD,Augusta,ME,04330-7808,Kennebec,+1 (207) 623-5355,ASSISTED HOUSING,6,7/12/21
Csp Apt. 1,RCA38974,LEVEL I RESIDENTIAL CARE FACILITY,3 C ST APT 1,South Portland,ME,04106-2819,Cumberland,+1 (207) 878-9663,ASSISTED HOUSING,2,7/12/21
Csp Apt. 2,RCA38983,LEVEL I RESIDENTIAL CARE FACILITY,3 C ST APT 2,South Portland,ME,04106-2819,Cumberland,+1 (207) 878-9663,ASSISTED HOUSING,2,7/12/21
Cummings Health Care Facility,RCD22459,LEVEL IV RESIDENTIAL CARE FACILITY,5 CROCKER STREET,Howland,ME,4448,Penobscot,+1 (207) 732-4121,ASSISTED HOUSING,20,7/12/21
Daffron,RCC604,LEVEL III RESIDENTIAL CARE FACILITY,317 FOSS RD,Limerick,ME,04048-4306,York,+1 (207) 797-2512,ASSISTED HOUSING,6,7/12/21
David Street Home,RCC259,LEVEL III RESIDENTIAL CARE FACILITY,10 BURLEIGH STREET,Island Falls,ME,4747,Aroostook,+1 (207) 463-3414,ASSISTED HOUSING,5,7/12/21
Davis Road Group Home,RCC261,LEVEL III RESIDENTIAL CARE FACILITY,125 DAVIS RD,Farmington,ME,04938-6507,Franklin,+1 (207) 778-5086,ASSISTED HOUSING,4,7/12/21
Day Spring House Llc,RCB38898,LEVEL II RESIDENTIAL CARE FACILITY,218 FERN RD,Dexter,ME,04930-2609,Penobscot,+1 (207) 924-3818,ASSISTED HOUSING,6,7/12/21
Day Street Home,RCC263,LEVEL III RESIDENTIAL CARE FACILITY,2 DAY ST,Kennebunk,ME,04043-7115,York,+1 (207) 467-9060,ASSISTED HOUSING,4,7/12/21
Dean House,RCC1258,LEVEL III RESIDENTIAL CARE FACILITY,272 ESSEX ST,Bangor,ME,04401-4050,Penobscot,+1 (207) 573-4712,ASSISTED HOUSING,4,7/12/21
Dean Road Waiver,RCC2103,LEVEL III RESIDENTIAL CARE FACILITY,21 DEAN RD,Clinton,ME,04927-3400,Kennebec,+1 (207) 426-2806,ASSISTED HOUSING,3,7/12/21
Deborah Lincoln House,RCC265,LEVEL III RESIDENTIAL CARE FACILITY,60 CEDAR ST,Belfast,ME,04915-6302,Waldo,+1 (207) 338-1554,ASSISTED HOUSING,6,7/12/21
Declaration,RCA39179,LEVEL I RESIDENTIAL CARE FACILITY,33 DECLARATION DR,Westbrook,ME,04092-4510,Cumberland,+1 (207) 835-0099,ASSISTED HOUSING,2,7/12/21
Deer Hill A,RCA39070,LEVEL I RESIDENTIAL CARE FACILITY,254A DEER HILL RD,Waterford,ME,04088-4035,Oxford,+1 (207) 743-8049 x202,ASSISTED HOUSING,2,7/12/21
Deer Hill B,RCA39071,LEVEL I RESIDENTIAL CARE FACILITY,254B DEER HILL RD,Waterford,ME,04088-4035,Oxford,+1 (207) 743-8049 x202,ASSISTED HOUSING,2,7/12/21
Dionne Commons,PND276,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,24 MAURICE DR,Brunswick,ME,04011-3270,Cumberland,+1 (207) 725-4379,ASSISTED HOUSING,64,7/12/21
Dirigo Pines Inn,RCD38600,LEVEL IV RESIDENTIAL CARE FACILITY,9 ALUMNI DR,Orono,ME,04473-3479,Penobscot,+1 (207) 866-3400,ASSISTED HOUSING,50,7/12/21
Don And Beth Straus Therapeutic Day Program,ADS2328,ADULT DAY SERVICES PROGRAM,25 VILLAGE INN RD,Bar Harbor,ME,04609-7451,Hancock,+1 (207) 288-8014,ASSISTED HOUSING,10,7/12/21
Dr Eunice Nelson-Baumann Home,RCC39133,LEVEL III RESIDENTIAL CARE FACILITY,2 SARAHS SPRING LN,Indian Island,ME,04468-1270,Penobscot,+1 (207) 827-0968,ASSISTED HOUSING,6,7/12/21
Drake'S East Ridge Residential Home,RCA1538,LEVEL I RESIDENTIAL CARE FACILITY,1309 E RIDGE RD,Cornville,ME,04976-6509,Somerset,+1 (207) 474-0776,ASSISTED HOUSING,2,7/12/21
Drummond 1,RCA39042,LEVEL I RESIDENTIAL CARE FACILITY,49 DRUMMOND ST APT 1,Auburn,ME,04210-5868,Androscoggin,+1 (207) 795-0005,ASSISTED HOUSING,1,7/12/21
Drummond 2,RCA39041,LEVEL I RESIDENTIAL CARE FACILITY,49 DRUMMOND ST APT 2,Auburn,ME,04210-5868,Androscoggin,+1 (207) 795-0005,ASSISTED HOUSING,1,7/12/21
Drummond 3,RCA39040,LEVEL I RESIDENTIAL CARE FACILITY,49 DRUMMOND ST APT 3,Auburn,ME,04210-5868,Androscoggin,+1 (207) 795-0005,ASSISTED HOUSING,1,7/12/21
Drummond 4,RCA39038,LEVEL I RESIDENTIAL CARE FACILITY,49 DRUMMOND ST APT 4,Auburn,ME,04210-5868,Androscoggin,+1 (207) 795-0005,ASSISTED HOUSING,1,7/12/21
Dubois Drive,RCC1604,LEVEL III RESIDENTIAL CARE FACILITY,4 DUBOIS DR,Sanford,ME,04073-6134,York,+1 (207) 490-5701,ASSISTED HOUSING,3,7/12/21
Duranleau House,RCC923,LEVEL III RESIDENTIAL CARE FACILITY,81 ROWE AVE,Portland,ME,04102-1421,Cumberland,+1 (207) 899-1985,ASSISTED HOUSING,3,7/12/21
East Point,PND665,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,96 STACKPOLE DR,Machias,ME,04654-7001,Washington,+1 (207) 255-6611,ASSISTED HOUSING,37,7/12/21
East Pond Home,RCC38674,LEVEL III RESIDENTIAL CARE FACILITY,1239 E POND RD,Smithfield,ME,04978-3214,Somerset,+1 (207) 566-5766,ASSISTED HOUSING,3,7/12/21
East Side Home,RCC2371,LEVEL III RESIDENTIAL CARE FACILITY,1 JOSEPH ST,Houlton,ME,04730-2359,Aroostook,+1 (207) 532-9446,ASSISTED HOUSING,6,7/12/21
Eastern Avenue-Mcir,PNC38731,PNMI LEVEL III RESIDENTIAL CARE FACILITY,161 EASTERN AVE,Brewer,ME,04412-1335,Penobscot,+1 (207) 989-2034,ASSISTED HOUSING,4,7/12/21
Eastport Residential Care Facility,PND296,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,4 CLARK ST,Eastport,ME,04631-1036,Washington,+1 (207) 853-4540,ASSISTED HOUSING,14,7/12/21
Eastside Manor,RCD38663,LEVEL IV RESIDENTIAL CARE FACILITY,51 EASTSIDE RD,Hancock,ME,04640-3958,Hancock,+1 (207) 442-0029,ASSISTED HOUSING,8,7/12/21
Easy Care Residential Llc,RCA38885,LEVEL I RESIDENTIAL CARE FACILITY,62 LELAND ST UNIT 1,Portland,ME,04103-2528,Cumberland,+1 (207) 939-1009,ASSISTED HOUSING,2,7/12/21
"Easy Care Residential, Llc Ii",RCA38936,LEVEL I RESIDENTIAL CARE FACILITY,254 BRADLEY ST UNIT 101,Saco,ME,04072-3181,York,+1 (207) 632-6240,ASSISTED HOUSING,2,7/12/21
Edgecomb Green,RCD1846,LEVEL IV RESIDENTIAL CARE FACILITY,31 CROSS POINT RD,Edgecomb,ME,04556-3247,Lincoln,+1 (207) 687-2164,ASSISTED HOUSING,7,7/12/21
Edgewood Rehabilitation & L C,PND22461,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,221 FAIRBANKS RD,Farmington,ME,04938-5723,Franklin,+1 (207) 778-3386,ASSISTED HOUSING,22,7/12/21
Eight Hundred Eight High Street,PNC299,PNMI LEVEL III RESIDENTIAL CARE FACILITY,808 HIGH ST,Bath,ME,04530-2474,Sagadahoc,+1 (207) 443-1133,ASSISTED HOUSING,6,7/12/21
Eight Rod Road,RCC38769,LEVEL III RESIDENTIAL CARE FACILITY,300 EIGHT ROD RD,Augusta,ME,04330-8112,Kennebec,+1 (207) 423-0531,ASSISTED HOUSING,5,7/12/21
Ellsworth Group Home,PNC305,PNMI LEVEL III RESIDENTIAL CARE FACILITY,849 RED BRIDGE RD,Ellsworth,ME,04605-3228,Hancock,+1 (207) 667-7216,ASSISTED HOUSING,4,7/12/21
Elm Street,PNC2239,PNMI LEVEL III RESIDENTIAL CARE FACILITY,101 ELM ST,Lewiston,ME,04240-6715,Androscoggin,+1 (207) 241-0574,ASSISTED HOUSING,3,7/12/21
Elm Street Boarding Home,RCC310,LEVEL III RESIDENTIAL CARE FACILITY,9 ELM ST,Sanford,ME,04073-3001,York,+1 (207) 324-3535,ASSISTED HOUSING,6,7/12/21
Elm Street House,PND311,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,14 ELM ST,Augusta,ME,04330-5110,Kennebec,+1 (207) 626-3475,ASSISTED HOUSING,8,7/12/21
Embden I,RCC38693,LEVEL III RESIDENTIAL CARE FACILITY,46 MOULTON HILL ROAD,Embden,ME,4958,Somerset,+1 (207) 643-2230,ASSISTED HOUSING,4,7/12/21
Embden Ii,RCC38694,LEVEL III RESIDENTIAL CARE FACILITY,46 MOULTON HILL ROAD,Embden,ME,4958,Somerset,+1 (207) 643-3019,ASSISTED HOUSING,4,7/12/21
"Emilio Estates, Inc.",PND318,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,465 W CORINTH RD,Corinth,ME,04427-3144,Penobscot,+1 (207) 285-7798,ASSISTED HOUSING,18,7/12/21
"Enclave Of Scarborough, The",RCD38667,LEVEL IV RESIDENTIAL CARE FACILITY,18 BLACK POINT RD,Scarborough,ME,04074-9816,Cumberland,+1 (207) 883-3889,ASSISTED HOUSING,92,7/12/21
Engel Place,PND22618,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,758 BROADWAY,Bangor,ME,04401-3224,Penobscot,+1 (207) 945-5532,ASSISTED HOUSING,24,7/12/21
Estes Avenue Waiver,RCA38909,LEVEL I RESIDENTIAL CARE FACILITY,271 ESTES AVE,Palmyra,ME,04965-3830,Somerset,+1 (207) 938-2337,ASSISTED HOUSING,2,7/12/21
Eugene House,RCA38989,LEVEL I RESIDENTIAL CARE FACILITY,249 MAIN RD S,Hampden,ME,04444-1203,Penobscot,+1 (207) 862-0076,ASSISTED HOUSING,2,7/12/21
F.A.R.E. House,RCC2096,LEVEL III RESIDENTIAL CARE FACILITY,659 LOWER ST,Turner,ME,04282-3909,Androscoggin,+1 (207) 225-5851,ASSISTED HOUSING,4,7/12/21
Fallbrook Woods,PND331,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,60 MERRYMEETING DR,Portland,ME,04103-3960,Cumberland,+1 (207) 878-0788,ASSISTED HOUSING,56,7/12/21
Falmouth House At Oceanview,ALP333,ASSISTED LIVING PROGRAM,32 BLUEBERRY LN,Falmouth,ME,04105-2807,Cumberland,+1 (207) 781-4621,ASSISTED HOUSING,48,7/12/21
Falmouth Street,RCA39300,LEVEL I RESIDENTIAL CARE FACILITY,152 FALMOUTH ST,Westbrook,ME,04092-3016,Cumberland,+1 (207) 939-1009,ASSISTED HOUSING,2,7/12/21
Farmington Congregate Associates,ALP341,ASSISTED LIVING PROGRAM,136 NORTH ST,Farmington,ME,04938-5935,Franklin,+1 (207) 778-4416,ASSISTED HOUSING,12,7/12/21
Farnham,RCA39163,LEVEL I RESIDENTIAL CARE FACILITY,67 FARNHAM ST,Portland,ME,04103-1209,Cumberland,+1 (207) 835-0099,ASSISTED HOUSING,2,7/12/21
Farwell Mills,RCA38963,LEVEL I RESIDENTIAL CARE FACILITY,"244 LISBON ST APT 12G, FARWELL MILLS #2",Lisbon,ME,04250-6877,Androscoggin,+1 (207) 795-6737,ASSISTED HOUSING,2,7/12/21
Farwell Street,RCC38915,LEVEL III RESIDENTIAL CARE FACILITY,167 FARWELL ST,Lewiston,ME,04240-4829,Androscoggin,+1 (207) 333-3743,ASSISTED HOUSING,3,7/12/21
Fdk,RCA38975,LEVEL I RESIDENTIAL CARE FACILITY,4 FIELDCREST DR,Kennebunk,ME,04043-6625,York,+1 (207) 878-9663,ASSISTED HOUSING,2,7/12/21
