State Facility Type 2 Literal,Medicaid,License Number,Facility ID,Facility Name,Address,City,State,Zip Code,County,Phone Number,Capacity,State Facility Type 1 Literal
Assisted Living SOW,Yes,1951,38770,Cedar Ridge Retirement & Assisted Living Community,9515 198th Avenue East,Bonney Lake,WA,98391,Pierce,(253) 299-6461,70,Assisted Living Facility
"Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",Yes,2120,41029,CHARLTON PLACE,9723 South Steele St,Tacoma,WA,98444,Pierce,(253) 589-1834,105,Assisted Living Facility
No Contract,Yes,2578,46670,Deer Ridge Memory Care Community,3901 5th St SE,Puyallup,WA,98374,Pierce,(253) 446-7892,70,Assisted Living Facility
Assisted Living SOW,Yes,1187,30480,eliseo,1301 N HIGHLANDS PARKWAY,TACOMA,WA,98406,Pierce,(253) 752-7112,61,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",Yes,2004,39721,Emerald Care Center Inc,23809 46th Ave E,Spanaway,WA,98387,Pierce,(253) 847-9452,14,Assisted Living Facility
No Contract,Yes,2561,46229,Fieldstone Memory Care of Puyallup,2121 S Meridian,Puyallup,WA,98371,Pierce,(253) 904-3434,66,Assisted Living Facility
No Contract,Yes,61,30003,FRANKE TOBEY JONES,5340 N Bristol St,Tacoma,WA,98407,Pierce,(253) 752-6621,80,Assisted Living Facility
No Contract,Yes,2189,42043,Franklin Place,5713 Parker Rd E,Sumner,WA,98390,Pierce,(253) 891-3569,51,Assisted Living Facility
No Contract,Yes,2557,45779,GenCare Lifestyle Tacoma at Point Ruston,4970 Main St,Tacoma,WA,98407,Pierce,(253) 941-5859,55,Assisted Living Facility
Assisted Living SOW,Yes,2477,45239,"Gig Harbor Court, Independent Living & Assisted Living",3213 45th Street Ct NW,Gig Harbor,WA,98335,Pierce,(253) 858-5300,100,Assisted Living Facility
No Contract,Yes,1809,30934,HARBOR PLACE AT COTTESMORE,1016 29TH STREET NW,GIG HARBOR,WA,98335,Pierce,(253) 853-3354,90,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care",Yes,2142,41740,Hearthside Manor,3615 Drexler Dr W,University Place,WA,98466,Pierce,(253) 460-3330,36,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW",Yes,2012,39835,HERITAGE HOUSE BUCKLEY,28833 State Route 410 E,Buckley,WA,98321,Pierce,(360) 829-5292,85,Assisted Living Facility
No Contract,Yes,2425,44407,Heron's Key,4340 Borgen Blvd NW,Gig Harbor,WA,98332,Pierce,(253) 313-0800,51,Assisted Living Facility
Adult Residential Care,Yes,2057,40646,Hope Guest Home,915 S 7th St,Tacoma,WA,98405,Pierce,(253) 627-3620,18,Assisted Living Facility
Assisted Living SOW,Yes,2466,45111,King's Manor Senior Living Community,8609 Portland Ave E,Tacoma,WA,98445,Pierce,(253) 538-7222,76,Assisted Living Facility
No Contract,Yes,1931,38838,KLEINER GROUP HOME,6415 6th Ave,Tacoma,WA,98406,Pierce,(253) 565-0588,10,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Adult Residential Care",Yes,1949,39128,Living Hope Care Center,402 NORTH J ST,TACOMA,WA,98403,Pierce,(253) 572-7977,59,Assisted Living Facility
"Enhanced Adult Residential Care, Adult Residential Care",Yes,2575,46648,"Maple Creek Venture, LLC",10420 Gravelly Lake Dr SW,Lakewood,WA,98499,Pierce,(253) 588-0227,75,Assisted Living Facility
Adult Residential Care,Yes,800,30172,MCGEE GUEST HOME,21520 82ND AVE E,SPANAWAY,WA,98387,Pierce,(253) 847-2292,64,Assisted Living Facility
No Contract,Yes,2421,44557,Memory Haven Sumner,5107 Parker Rd E,Sumner,WA,98390,Pierce,(253) 750-0552,39,Assisted Living Facility
No Contract,Yes,2134,41477,MERRILL GARDENS AT TACOMA,7290 Rosemount Cir,Tacoma,WA,98465,Pierce,(253) 460-5851,65,Assisted Living Facility
Assisted Living SOW,Yes,1073,30368,MILL RIDGE VILLAGE,607 28TH AVE,MILTON,WA,98354,Pierce,(253) 925-9200,45,Assisted Living Facility
No Contract,Yes,2385,44285,Narrows Glen,802 N Laurel Ln,Tacoma,WA,98406,Pierce,(253) 564-4770,155,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care",Yes,1610,30795,"OLYMPIC ALZHEIMER'S RESIDENCE, A PRESTIGE EXPRESSIONS COMMUN",3025 14TH AVE NW,GIG HARBOR,WA,98335,Pierce,(253) 851-5306,60,Assisted Living Facility
No Contract,Yes,544,30079,P A M  GROUP HOME,619 7th Ave SE,Puyallup,WA,98372,Pierce,(253) 845-8871,9,Assisted Living Facility
Adult Residential Care,Yes,1141,30434,PACIFIC AVENUE RESIDENTIAL CARE,5621 PACIFIC AVE,TACOMA,WA,98408,Pierce,(253) 473-3577,16,Assisted Living Facility
"Enhanced Adult Residential Care, Adult Residential Care",Yes,2450,44773,Passionate Care Center,321 S 116th St,Tacoma,WA,98444,Pierce,(253) 537-3022,23,Assisted Living Facility
No Contract,Yes,1762,30895,PATRIOTS LANDING OPERATIONS LLC,1600 MARSHALL CIRCLE,DUPONT,WA,98327,Pierce,(253) 964-4900,157,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care, Adult Residential Care",Yes,1952,38917,PEOPLES RETIREMENT COMMUNITY,1720 E 67TH ST,TACOMA,WA,98404,Pierce,(253) 474-1741,110,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care",Yes,1293,30568,PIONEER PLACE ALZHEIMER RESIDENCE OF TACOMA,11519 24th Ave E,Tacoma,WA,98445,Pierce,(253) 539-3410,60,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Adult Residential Care",Yes,2490,45105,Puyallup Valley Enhanced Residential Care Inc,723 2nd St NW,Puyallup,WA,98371,Pierce,(253) 845-5398,53,Assisted Living Facility
No Contract,Yes,1793,30922,SILVER CREEK RETIREMENT & ASSISTED LIVING COMMUNITY,17607 91ST AVENUE E,PUYALLUP,WA,98375,Pierce,(253) 875-8644,104,Assisted Living Facility
Assisted Living SOW,Yes,2382,44145,SOUND VISTA VILLAGE,6633 McDonald Ave,Gig Harbor,WA,98335,Pierce,(253) 851-9929,36,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW",Yes,2160,41821,"Spring Ridge Retirement, LLC",6856 E Portland Ave,Tacoma,WA,98404,Pierce,(253) 474-1093,75,Assisted Living Facility
No Contract,Yes,1375,30633,STAFFORD SUITES,15519 62nd Street Ct E,Sumner,WA,98390,Pierce,(253) 862-1818,77,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care, Adult Residential Care",Yes,2360,43894,The Cottages at Edgewood,2510 Meridian Ave East,Edgewood,WA,98372,Pierce,(253) 881-1435,60,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care",Yes,2418,44294,The Cottages at University Place,5417 64th St W,University Place,WA,98467,Pierce,(253) 301-3817,60,Assisted Living Facility
Assisted Living SOW,Yes,2064,40085,The Lodge at Mallard's Landing,7083 Wagner Way NW,Gig Harbor,WA,98335,Pierce,(253) 858-4990,136,Assisted Living Facility
No Contract,Yes,2483,45243,"The Rivers at Puyallup, Independent Living & Assisted Living",123 4th Ave NW,Puyallup,WA,98371,Pierce,(425) 803-6911,120,Assisted Living Facility
"Enhanced Adult Residential Care, Adult Residential Care",Yes,2558,46607,The Village Retirement and Assisted Living,4707 S Orchard St,Tacoma,WA,98466,Pierce,(253) 475-4707,110,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care",Yes,2518,45399,Trouves St Ann's Inc,6602 S Alaska St,Tacoma,WA,98408,Pierce,(253) 289-5050,15,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW",Yes,2553,45903,Vineyard Park of Puyallup,1813 S Meridian St,Puyallup,WA,98371,Pierce,(206) 232-9680,53,Assisted Living Facility
Adult Residential Care,Yes,1014,30318,WALLER ROAD HOME,4710 WALLER RD E,TACOMA,WA,98443,Pierce,(253) 922-2550,9,Assisted Living Facility
No Contract,Yes,1577,30773,WEATHERLY INN,6016 N Highlands Parkway,Tacoma,WA,98406,Pierce,(253) 752-8550,140,Assisted Living Facility
No Contract,Yes,2520,45735,Wesley Homes Bradley Park LLC,707 39th Ave SE,Puyallup,WA,98374,Pierce,(253) 435-8100,23,Assisted Living Facility
No Contract,Yes,1996,39441,VILLAGE AT THE HARBOUR,543 SPRING ST,FRIDAY HARBOR,WA,98250,San Juan,(360) 378-7144,36,Assisted Living Facility
No Contract,Yes,1948,39086,Ashley Gardens of Mt Vernon,3807 E College Way,Mount Vernon,WA,98273,Skagit,(360) 419-9422,40,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care, Adult Residential Care",Yes,2559,46461,Birchview Memory Care Community,925 Dunlop St,Sedro Woolley,WA,98284,Skagit,(360) 856-1911,61,Assisted Living Facility
No Contract,Yes,1190,30483,CHANDLER'S SQUARE,1300 O AVE,ANACORTES,WA,98221,Skagit,(360) 293-1300,37,Assisted Living Facility
Assisted Living SOW,Yes,1020,30323,COUNTRY MEADOW VILLAGE,1501 COLLINS RD,SEDRO WOOLLEY,WA,98284,Skagit,(360) 856-0404,50,Assisted Living Facility
Assisted Living SOW,Yes,2316,43652,Creekside Continuing Care Community,400 Gilkey Rd,Burlington,WA,98233,Skagit,(360) 755-5550,101,Assisted Living Facility
Enhanced Adult Residential Care,Yes,2527,46032,Cypress Assisted Living Inc,911 21st St,Anacortes,WA,98221,Skagit,(360) 293-7222,48,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care",Yes,2508,45560,Homeplace Respite,112 N SKAGIT ST,BURLINGTON,WA,98233,Skagit,(360) 755-7000,16,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care, Adult Residential Care",Yes,2510,45558,Homeplace Special Care Center at Burlington,210 N SKAGIT ST,BURLINGTON,WA,98233,Skagit,(360) 755-7000,46,Assisted Living Facility
"Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",Yes,2254,42272,La Conner Retirement Inn,204 N 1st St,La Conner,WA,98257,Skagit,(360) 466-5700,60,Assisted Living Facility
No Contract,Yes,2204,41953,LIGHTHOUSE MEMORY CARE,3502 K AVENUE,ANACORTES,WA,98221,Skagit,(360) 420-9801,39,Assisted Living Facility
No Contract,Yes,2328,42538,Mountain Glen Retirement Community,1810 E Division St,Mount Vernon,WA,982744633,Skagit,(360) 424-7900,83,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Enhanced Adult Residential Care, Adult Residential Care",Yes,2172,42004,OVENELL HOME ALF INC,625 E Washington Ave,Burlington,WA,98233,Skagit,(360) 755-9100,31,Assisted Living Facility
"Enhanced Adult Residential Care, Assisted Living SOW",Yes,2528,46031,Rosario Assisted Living,1105 27th St,Anacortes,WA,98221,Skagit,(360) 293-5752,94,Assisted Living Facility
No Contract,Yes,1826,30949,THE BRIDGE ASSISTED LIVING AT MOUNT VERNON,301 S Laventure Rd,Mount Vernon,WA,98274,Skagit,(360) 416-0400,50,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW",Yes,2500,45559,Where The Heart Is,410 S NORRIS ST,BURLINGTON,WA,98233,Skagit,(360) 755-8007,84,Assisted Living Facility
"Assisted Living SOW, Adult Residential Care",Yes,1254,30537,ROCK COVE ASSISTED LIVING,986 SW ROCK CREEK DRIVE,STEVENSON,WA,98648,Skamania,(509) 427-7272,36,Assisted Living Facility
No Contract,Yes,2345,42500,Aegis Senior Living of Lynnwood,18700 44th Ave W,Lynnwood,WA,98037,Snohomish,(425) 712-9999,52,Assisted Living Facility
No Contract,Yes,2126,41245,ASHLEY POINTE,11117 20TH ST NE,LAKE STEVENS,WA,98258,Snohomish,(425) 397-7500,40,Assisted Living Facility
Assisted Living SOW,Yes,1346,30611,BETHANY AT SILVER CREST,2131 LAKE HEIGHTS DR,EVERETT,WA,98208,Snohomish,(425) 385-2335,58,Assisted Living Facility
No Contract,Yes,1700,30852,Brookdale Alderwood,18706 36th AVENUE WEST,LYNNWOOD,WA,98037,Snohomish,(425) 774-3300,60,Assisted Living Facility
"Enhanced Adult Residential Care, Assisted Living SOW",Yes,2278,42382,Brookdale Arbor Place ,12806 BOTHELL EVERETT HWY,EVERETT,WA,98208,Snohomish,(425) 338-3227,115,Assisted Living Facility
"Enhanced Adult Residential Care, Assisted Living SOW",Yes,2285,42361,Brookdale Everett,11333 3RD PL W,EVERETT,WA,98204,Snohomish,(425) 347-0372,80,Assisted Living Facility
No Contract,Yes,2284,42374,Brookdale Monroe,15465 179TH AVE SE,MONROE,WA,98272,Snohomish,(360) 637-3927,82,Assisted Living Facility
No Contract,Yes,1703,30855,Brookdale Silver Lake,2015 LAKE HEIGHTS DR,EVERETT,WA,982086034,Snohomish,(425) 337-6336,60,Assisted Living Facility
No Contract,Yes,2276,42395,Brookdale Stanwood,7212 265TH ST NW,STANWOOD,WA,98292,Snohomish,(360) 637-3924,80,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW",Yes,2312,42466,CASCADE VALLEY SENIOR LIVING,8400 207TH PL NE,ARLINGTON,WA,98223,Snohomish,(360) 435-3222,80,Assisted Living Facility
No Contract,Yes,2453,44572,Cedar Creek Memory Care Community,21006 72nd Ave W,Edmonds,WA,98026,Snohomish,(425) 678-8001,80,Assisted Living Facility
No Contract,Yes,2229,41981,CHATEAU PACIFIC RETIREMENT COMMUNITY,3333 148TH ST SW,LYNNWOOD,WA,98087,Snohomish,(425) 787-9693,138,Assisted Living Facility
No Contract,Yes,2475,45280,Cogir Mill Creek,14905 Bothell Everett Highway,Mill Creek,WA,98012,Snohomish,,80,Assisted Living Facility
No Contract,Yes,2574,46736,Edmonds Landing Assisted Living Community,180 2nd Ave S,Edmonds,WA,98020,Snohomish,(425) 744-1181,83,Assisted Living Facility
"Specialized Dementia Care, Expanded Community Services, Enhanced Adult Residential Care",Yes,2423,44415,Everett Heritage Court,4230 Colby Ave,Everett,WA,98203,Snohomish,(425) 259-7200,47,Assisted Living Facility
"Assisted Living SOW, Adult Residential Care",Yes,1921,38698,EVERETT PLAZA,2204 12th St,Everett,WA,98201,Snohomish,(425) 258-6408,105,Assisted Living Facility
No Contract,Yes,1342,30609,FAIRWINDS - BRIGHTON COURT,6520 196th St SW,LYNNWOOD,WA,98036,Snohomish,(425) 775-4440,65,Assisted Living Facility
No Contract,Yes,2538,46059,Fieldstone Memory Care of Marysville,11015 State Ave,Marysville,WA,98271,Snohomish,(360) 244-4180,70,Assisted Living Facility
Enhanced Adult Residential Care,Yes,977,30289,GRANDVIEW VILLAGE RETIREMENT COMMUNITY,5800 64TH ST NE,MARYSVILLE,WA,98270,Snohomish,(360) 653-2223,35,Assisted Living Facility
No Contract,Yes,2362,44003,Harbour Pointe Retirement & Assisted Living Center,10200 HARBOUR PLACE,MUKILTEO,WA,98275,Snohomish,(425) 493-8555,136,Assisted Living Facility
Assisted Living SOW,Yes,569,30086,Josephine Caring Community,9901 272nd Pl NW,Stanwood,WA,98292,Snohomish,(360) 629-2126,65,Assisted Living Facility
No Contract,Yes,2447,44889,MorningStar Senior Living at Silver Lake,520 112th St SW,Everett,WA,98204,Snohomish,(425) 906-3818,52,Assisted Living Facility
No Contract,Yes,2373,44178,Mountlake Terrace Plaza,23303 58th Ave W,Mountlake Terrace,WA,98043,Snohomish,(425) 672-4673,55,Assisted Living Facility
Enhanced Adult Residential Care,Yes,2426,44561,Mukilteo Memory Care,4686 Pointes Dr,Mukilteo,WA,98275,Snohomish,(425) 267-0808,60,Assisted Living Facility
Assisted Living SOW,Yes,1995,39233,NORTH CREEK RETIREMENT & ASSISTED LIVING COMMUNITY,1907 201ST PLACE SE,BOTHELL,WA,98012,Snohomish,(425) 483-8927,102,Assisted Living Facility
Assisted Living SOW,Yes,1712,30863,OLYMPIC PLACE RETIREMENT AND ASSISTED LIVING COMMUNITY,20909 Olympic Pl NE,Arlington,WA,98223,Snohomish,(360) 435-8440,81,Assisted Living Facility
"Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",Yes,2371,44099,Pacifica Senior Living Lynnwood,18625 60th Ave W,Lynnwood,WA,98037,Snohomish,(425) 771-7700,72,Assisted Living Facility
Enhanced Adult Residential Care,Yes,2372,44098,Pacifica Senior Living Snohomish,1124 Pine Ave,Snohomish,WA,98290,Snohomish,(360) 568-1900,84,Assisted Living Facility
No Contract,Yes,2416,44376,Quail Park at Lynnwood,4015 164th St SW,Lynnwood,WA,98087,Snohomish,(425) 640-8529,227,Assisted Living Facility
No Contract,Yes,1379,30637,ROSEWOOD COURTE MEMORY CARE COMMUNITY,728 EDMONDS WAY,EDMONDS,WA,98020,Snohomish,(425) 673-2875,46,Assisted Living Facility
No Contract,Yes,2203,41939,SCRIBER GARDENS LLC,6024 200TH ST SW,LYNNWOOD,WA,98036,Snohomish,(425) 673-7111,39,Assisted Living Facility
"Enhanced Adult Residential Care, Assisted Living SOW",Yes,2253,42265,South Pointe Assisted Living,10330 4th Ave W,Everett,WA,98204,Snohomish,(425) 513-5645,38,Assisted Living Facility
No Contract,Yes,2162,41859,SUNRISE OF EDMONDS,750 EDMONDS WAY,EDMONDS,WA,98020,Snohomish,(425) 673-9700,76,Assisted Living Facility
No Contract,Yes,2343,43884,Sunrise of Lynnwood,21500 72nd Ave W,Edmonds,WA,98026,Snohomish,(425) 776-3600,70,Assisted Living Facility
Enhanced Adult Residential Care,Yes,792,30170,SUNRISE VIEW RETIREMENT VILLA,2520 Madison St,Everett,WA,98203,Snohomish,(425) 353-4040,65,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care, Adult Residential Care",Yes,2149,41525,THE COTTAGES AT MARYSVILLE,1216 GROVE STREET,MARYSVILLE,WA,98270,Snohomish,(360) 322-7561,50,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care, Adult Residential Care",Yes,1977,39366,THE COTTAGES AT MILL CREEK,13200  10TH DRIVE SE,MILL CREEK,WA,98012,Snohomish,(425) 379-8276,40,Assisted Living Facility
No Contract,Yes,2476,45244,"The Gardens at Marysville, Independent Living & Assisted Liv",9802 48th Dr NE,Marysville,WA,98270,Snohomish,(360) 659-1279,80,Assisted Living Facility
Enhanced Adult Residential Care,Yes,2411,43944,The Legacy of Bothell,305 240th St SW,Bothell,WA,98021,Snohomish,(425) 761-7739,15,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care, Adult Residential Care",Yes,2569,46739,The Terrace at Beverly Lake,524 75th St SE,Everett,WA,98203,Snohomish,(425) 348-8800,60,Assisted Living Facility
No Contract,Yes,2499,44646,The Village at Granite Falls,302 N Alder Ave,Granite Falls,WA,98252,Snohomish,(360) 691-1777,30,Assisted Living Facility
Enhanced Adult Residential Care,Yes,956,30275,TULALIP TRIBES BOARDING HOME,7300 Totem Beach Rd,Tulalip,WA,98271,Snohomish,(360) 716-4675,9,Assisted Living Facility
"Specialized Dementia Care, Assisted Living SOW",Yes,2335,42285,Vineyard Park at Mountlake Terrace,23008 56th Ave W,Mountlake Terrace,WA,98043,Snohomish,(425) 678-6008,123,Assisted Living Facility
No Contract,Yes,362,30039,WARM BEACH HEALTH CARE CENTER,20420 Marine Dr NW,Stanwood,WA,98292,Snohomish,(360) 652-7585,36,Assisted Living Facility
No Contract,Yes,1535,30740,WASHINGTON OAKES,1717 ROCKEFELLER AVENUE,EVERETT,WA,98201,Snohomish,(425) 339-3300,40,Assisted Living Facility
Enhanced Adult Residential Care,Yes,2307,42323,Aspen Quality Care Inc,9626 N Colfax Rd,Spokane,WA,99218,Spokane,(509) 464-9486,21,Assisted Living Facility
"Enhanced Adult Residential Care, Assisted Living SOW",Yes,2461,45019,Avamere at South Hill,3708 E 57th Ave,Spokane,WA,99223,Spokane,(509) 443-0401,95,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Adult Residential Care",Yes,1552,30753,BETHANY PLACE INC,9111 E Upriver Dr,Spokane,WA,99206,Spokane,(509) 924-0580,70,Assisted Living Facility
Assisted Living SOW,Yes,841,30194,BRIGHTON COURT,1308 N Vercler Rd,Spokane Valley,WA,99216,Spokane,(509) 926-4533,55,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care",Yes,1698,30850,Brookdale Nine Mile,5329 WEST RIFLE CLUB COURT,SPOKANE,WA,99208,Spokane,(509) 323-1400,60,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW",Yes,1759,30892,Brookdale Park Place,601 S Park Rd,Spokane Valley,WA,99212,Spokane,(509) 922-7224,110,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care",Yes,2530,45056,Cataldo Community Residental Inc,11916 E Cataldo Ave,Spokane Valley,WA,99206,Spokane,(509) 939-7218,59,Assisted Living Facility
Assisted Living SOW,Yes,1326,30594,CHENEY ASSISTED LIVING,2229 N 6TH ST,CHENEY,WA,99004,Spokane,(509) 235-6196,32,Assisted Living Facility
"Assisted Living SOW, Adult Residential Care",Yes,2572,46837,Cherrywood Place,100 E Dalke Ave,Spokane,WA,99208,Spokane,(509) 484-3553,52,Assisted Living Facility
Assisted Living SOW,Yes,1029,30329,COLONIAL COURT,12016 E Cataldo Ave,Spokane Valley,WA,99206,Spokane,(509) 921-5473,51,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care",Yes,2243,42116,Cornerstone Court LLC,12322 W Ruby Rd,Spokane,WA,99218,Spokane,(509) 467-2688,40,Assisted Living Facility
No Contract,Yes,1992,38757,Evergreen Fountains Senior Living Community,1201 North Evergreen Road,Spokane Valley,WA,99216,Spokane,(509) 922-3100,124,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",Yes,2138,41463,EVERGREEN RESIDENTIAL CARE,14120 E 3RD,SPOKANE VALLEY,WA,99037,Spokane,(509) 999-2538,47,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Assisted Living SOW",Yes,2128,41050,FAIRFIELD CARE,503 SOUTH HILLTOP LANE,FAIRFIELD,WA,99012,Spokane,(509) 283-2232,50,Assisted Living Facility
"Specialized Dementia Care, Expanded Community Services, Enhanced Adult Residential Care, Assisted Living SOW",Yes,1146,30439,FAIRVIEW ASSISTED LIVING INC,1617 N CALISPEL,SPOKANE,WA,99205,Spokane,(509) 325-7339,64,Assisted Living Facility
No Contract,Yes,1455,30688,FAIRWINDS - SPOKANE,520 EAST HOLLAND AVE,SPOKANE,WA,99218,Spokane,(509) 468-1000,90,Assisted Living Facility
"Specialized Dementia Care, Expanded Community Services, Enhanced Adult Residential Care, Assisted Living SOW",Yes,1989,39582,FAIRWOOD NORTHRIDGE LLC,312 W HASTINGS RD,SPOKANE,WA,99218,Spokane,(509) 468-0457,100,Assisted Living Facility
No Contract,Yes,2516,45610,Fieldstone Memory Care of Spokane,4503 S Freya Street,Spokane,WA,99223,Spokane,,60,Assisted Living Facility
"Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",Yes,2489,45289,Good Samaritan Society - Spokane Valley,17121 E 8th Ave,Spokane Valley,WA,990168556,Spokane,(509) 924-6161,14,Assisted Living Facility
No Contract,Yes,1472,30700,GRANDE MANOR,1718 W 9th Ave,Spokane,WA,99204,Spokane,(509) 747-7233,12,Assisted Living Facility
"Specialized Dementia Care, Expanded Community Services, Enhanced Adult Residential Care, Adult Residential Care",Yes,2035,40227,GUARDIAN ANGEL HOMES LIBERTY LAKE,23102 E MISSION AVE,LIBERTY LAKE,WA,99019,Spokane,(509) 893-9300,104,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Enhanced Adult Residential Care, Adult Residential Care",Yes,2066,40589,HOME IS WHERE THE HEART IS,11010 E 4th Ave,Spokane Valley,WA,99206,Spokane,(509) 891-2717,21,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Enhanced Adult Residential Care, Adult Residential Care",Yes,2242,42016,Home is Where the Heart Is (2),14805 E Mission Ave,Spokane Valley,WA,99216,Spokane,(509) 939-7218,27,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",Yes,1906,38697,Magnolia Care Enhanced Living,1707 E Rowan Ave,Spokane,WA,99207,Spokane,(509) 482-6290,53,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Adult Residential Care",Yes,1017,30320,MALLON PLACE INC,1724 W Mallon Ave,Spokane,WA,99201,Spokane,(509) 327-5945,71,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",Yes,2470,45152,Maplewood Gardens Assisted Living,1100 North Superior Street,Spokane,WA,99202,Spokane,(509) 489-9510,220,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Enhanced Adult Residential Care, Adult Residential Care",Yes,2207,42023,Milford House,2208 W Matt Milford Pl,Spokane,WA,99201,Spokane,(509) 327-5683,15,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Adult Residential Care",Yes,2446,44727,Moore's Assisted Living Inc,1803 W Pacific Ave,Spokane,WA,99201,Spokane,(509) 747-1745,18,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW",Yes,2562,46696,Moran Vista Senior Living,3319 E 57th Ave,Spokane,WA,99223,Spokane,(509) 443-1944,101,Assisted Living Facility
"Enhanced Adult Residential Care, Assisted Living SOW",Yes,2479,45242,"North Point Village, Assisted Living & Memory Care",1110 E Westview Ct,Spokane,WA,99218,Spokane,(509) 465-8440,126,Assisted Living Facility
No Contract,Yes,1538,30743,ORCHARD CREST LLC,222 S EVERGREEN ROAD,SPOKANE VALLEY,WA,99216,Spokane,(509) 928-2222,120,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care",Yes,2513,45602,Pine Ridge Alzheimer's Special Care Center,12009 E Mission Ave,Spokane Valley,WA,99206,Spokane,(509) 924-4388,66,Assisted Living Facility
Assisted Living SOW,Yes,2021,40075,Providence Emilie Court Assisted Living,34 E 8th Ave,Spokane,WA,99202,Spokane,(509) 474-2550,60,Assisted Living Facility
No Contract,Yes,2438,44779,Ridgeview Place,12903 E Mission Ave,Spokane Valley,WA,99216,Spokane,(509) 927-7176,67,Assisted Living Facility
No Contract,Yes,2469,45141,Riverview Retirement Community,1952 N Granite St,Spokane,WA,99207,Spokane,(509) 482-9586,24,Assisted Living Facility
Assisted Living SOW,Yes,2405,44126,Riverview Terrace,1801 E Upriver Dr,Spokane,WA,99207,Spokane,(509) 483-6483,90,Assisted Living Facility
No Contract,Yes,2577,47149,Rockwood at Whitworth,10331 N Mayberry Drive,Spokane,WA,99218,Spokane,(509) 466-0411,77,Assisted Living Facility
No Contract,Yes,155,30009,ROCKWOOD SOUTH HILL,2903 E 25TH AVE,SPOKANE,WA,992234963,Spokane,(509) 536-6650,90,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Assisted Living SOW",Yes,2452,44941,Rose Pointe Assisted Living,13013 E Mission Ave,Spokane Valley,WA,99216,Spokane,,95,Assisted Living Facility
"Enhanced Adult Residential Care, Assisted Living SOW",Yes,2533,45969,Royal Park Retirement Center,302 E Wedgewood Ave,Spokane,WA,99208,Spokane,(509) 483-7136,95,Assisted Living Facility
