State Facility Type 2 Literal,License Number,Facility ID,Facility Name,Address,City,State,Zip Code,County,Phone Number,Capacity,State Facility Type 1 Literal,Date Accessed
"ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",1845,30966,Cypress Gardens Retirement Center,3500 9TH ST,Bremerton,WA,98312,Kitsap,(360) 479-4130,65,ASSISTED LIVING FACILITY,7/6/21
ENHANCED ADULT RESIDENTIAL CARE,2396,44318,Laurel Glen At Bremerton Senior Living,2707 CLARE AVE,Bremerton,WA,983103337,Kitsap,(360) 377-1717,88,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2182,42040,Liberty Place,155 LIPPERT DR W,Port Orchard,WA,98366,Kitsap,(360) 876-0980,39,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",1834,30956,Liberty Shores Assisted Living,19360 VIKING AVE NW,Poulsbo,WA,98370,Kitsap,(360) 779-5533,112,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,922,30247,Madison Avenue Retirement Center,285 MADISON AVENUE SOUTH,Bainbridge Island,WA,98110,Kitsap,(206) 842-3694,30,ASSISTED LIVING FACILITY,7/6/21
ENHANCED ADULT RESIDENTIAL CARE,2210,41855,"Madrona Assisted Living, Llc",8800 MADISON AVE N,Bainbridge Island,WA,98110,Kitsap,(206) 317-6000,81,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",2570,46737,Marine Courte Memory Care,948 OYSTER BAY COURT,Bremerton,WA,98312,Kitsap,(360) 373-9904,32,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE",2394,44308,Orchard Pointe Senior Alzheimer Community,300 S KITSAP BLVD,Port Orchard,WA,98366,Kitsap,(360) 874-7400,45,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,1810,30935,Park Vista Retirement& Assisted Living Community,2944 SE LUND AVE,Port Orchard,WA,98366,Kitsap,(360) 871-2323,109,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1274,30554,Stafford Suites - Port Orchard,1761 POTTERY AVENUE,Port Orchard,WA,98366,Kitsap,(360) 874-1212,60,ASSISTED LIVING FACILITY,7/6/21
ENHANCED ADULT RESIDENTIAL CARE,2433,44192,The Arbor At Bremerton,3510 9TH STREET,Bremerton,WA,98312,Kitsap,(360) 525-9000,64,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2246,42211,The Cottage,3210 RICKEY RD NE,Bremerton,WA,98310,Kitsap,(360) 373-0553,43,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2231,42177,The Ridge An Encore Community,1501 NW TOWER VIEW CIR,Silverdale,WA,98383,Kitsap,(360) 697-4488,54,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1253,30536,Wyatt House Retirement Center,186 WYATT WAY NW,Bainbridge Island,WA,98110,Kitsap,(206) 780-3646,32,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2186,42044,Meadows Place,1008 EAST MOUNTAIN VIEW AVE,Ellensburg,WA,98926,Kittitas,(509) 925-4484,36,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",2376,44097,Pacifica Senior Living Ellensburg,818 E MOUNTAIN VIEW AVE,Ellensburg,WA,98926,Kittitas,(509) 925-1220,80,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,2392,44290,Prestige Senior Living At Hearthstone,802 EAST MOUNTAIN VIEW AVE,Ellensburg,WA,98926,Kittitas,(509) 925-3099,69,ASSISTED LIVING FACILITY,7/6/21
"ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",783,30163,Chehalis West Retirement Center Inc,478 NW QUINCY PLACE,Chehalis,WA,98532,Lewis,(360) 748-9911,66,ASSISTED LIVING FACILITY,7/6/21
"ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",2565,46460,Cooks Hill Manor,2010 COOKS HILL RD,Centralia,WA,98531,Lewis,(360) 330-2010,70,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW",2010,39836,Heritage House Morton,860 W MAIN,Morton,WA,98356,Lewis,(360) 496-6699,44,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",1428,30665,Sharon Care Center Assisted Living,1509 HARRISON AVE,Centralia,WA,98531,Lewis,(360) 736-0112,72,ASSISTED LIVING FACILITY,7/6/21
"ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",1061,30358,Stillwaters Colonial Residence,2700 COLONIAL DR,Centralia,WA,98531,Lewis,(360) 736-1551,81,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,2512,45644,Woodland Village,2100 SW WOODLAND CIRCLE,Chehalis,WA,98532,Lewis,(360) 748-0095,40,ASSISTED LIVING FACILITY,7/6/21
"ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",1194,30487,Quail Court,506 E AMENDE DR,Odessa,WA,99159,Lincoln,(509) 982-2611,12,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW",2377,44091,Vista Manor,700 SE BRACE ST,Wilbur,WA,99185,Lincoln,(509) 647-2211,16,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ASSISTED LIVING SOW",2141,41738,Alpine Way Retirement Apartments,900 W ALPINE WAY,Shelton,WA,98584,Mason,(360) 426-2600,103,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1953,39001,Haven In Allyn Llc,180 WHEELWRIGHT STREET,Allyn,WA,98524,Mason,(360) 277-0636,16,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,1447,30680,Maple Glen Assisted Living Community,1700 NORTH 13TH LOOP ROAD,Shelton,WA,98584,Mason,(360) 427-0300,64,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,1277,30557,Apple Springs Retirement And Assisted Living Residence,1001 SENNA STREET,Omak,WA,98841,Okanogan,(509) 826-3590,60,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,1970,39481,Golden Sands At Klipsan Beach,21608 O LANE,Ocean Park,WA,98640,Pacific,(360) 665-0190,43,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RES CARE CONVERSION PILOT, ASSISTED LIVING SOW",1613,30798,River Mountain Village Assisted Living,608 W 2ND ST,Newport,WA,99156,Pend Oreille,(509) 447-2903,99,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",2552,46368,6Th Avenue Senior Living Llc,610 N FIFE ST,Tacoma,WA,98406,Pierce,(253) 272-8600,110,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",2531,45730,"Alpha Cottage, Llc",10816 18TH AVE E,Tacoma,WA,98445,Pierce,(253) 537-5395,46,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2555,45928,Bonaventure Of Puyallup,14503 MERIDIAN AVENUE E,Puyallup,WA,98375,Pierce,(253) 387-8166,109,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,2427,44684,Bridgeport Place,5250 BRIDGEPORT WAY W,University Place,WA,98467,Pierce,(253) 565-1960,77,ASSISTED LIVING FACILITY,7/6/21
"ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",1701,30853,Brookdale Allenmore Al (Wa),3615 S. 23RD STREET,Tacoma,WA,98405,Pierce,(253) 759-7770,80,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW",2366,43928,Brookdale Courtyard Puyallup,4610 6TH STREET PLACE SE,Puyallup,WA,98374,Pierce,(253) 841-9722,120,ASSISTED LIVING FACILITY,7/6/21
ENHANCED ADULT RESIDENTIAL CARE,1912,30950,Brookdale Harbor Bay,9324 NORTH HARBORVIEW DR,Gig Harbor,WA,98332,Pierce,(253) 858-7790,44,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE",1702,30854,Brookdale Puyallup South,8811 176TH ST EAST,Puyallup,WA,98375,Pierce,(253) 445-1300,64,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",1063,30360,Cascade Park Gardens,4347 S UNION AVE,Tacoma,WA,98409,Pierce,(253) 475-3702,85,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW",1251,30535,Cascade Park Vista,242 ST HELENS AVE S,Tacoma,WA,98402,Pierce,(253) 627-3833,117,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,1951,38770,Cedar Ridge Retirement & Assisted Living Community,9515 198TH AVENUE EAST,Bonney Lake,WA,98391,Pierce,(253) 299-6461,70,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",2120,41029,Charlton Place,9723 SOUTH STEELE ST,Tacoma,WA,98444,Pierce,(253) 589-1834,105,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2578,46670,Deer Ridge Memory Care Community,3901 5TH ST SE,Puyallup,WA,98374,Pierce,(253) 446-7892,70,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,1187,30480,Eliseo,1301 N HIGHLANDS PARKWAY,Tacoma,WA,98406,Pierce,(253) 752-7112,61,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",2004,39721,Emerald Care Center Inc,23809 46TH AVE E,Spanaway,WA,98387,Pierce,(253) 847-9452,14,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2561,46229,Fieldstone Memory Care Of Puyallup,2121 S MERIDIAN,Puyallup,WA,98371,Pierce,(253) 904-3434,66,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,61,30003,Franke Tobey Jones,5340 N BRISTOL ST,Tacoma,WA,98407,Pierce,(253) 752-6621,80,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2189,42043,Franklin Place,5713 PARKER RD E,Sumner,WA,98390,Pierce,(253) 891-3569,51,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2557,45779,Gencare Lifestyle Tacoma At Point Ruston,4970 MAIN ST,Tacoma,WA,98407,Pierce,(253) 941-5859,55,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,2477,45239,"Gig Harbor Court, Independent Living & Assisted Living",3213 45TH STREET CT NW,Gig Harbor,WA,98335,Pierce,(253) 858-5300,100,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1809,30934,Harbor Place At Cottesmore,1016 29TH STREET NW,Gig Harbor,WA,98335,Pierce,(253) 853-3354,90,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE",2142,41740,Hearthside Manor,3615 DREXLER DR W,University Place,WA,98466,Pierce,(253) 460-3330,36,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW",2012,39835,Heritage House Buckley,28833 STATE ROUTE 410 E,Buckley,WA,98321,Pierce,(360) 829-5292,85,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2425,44407,Heron'S Key,4340 BORGEN BLVD NW,Gig Harbor,WA,98332,Pierce,(253) 313-0800,51,ASSISTED LIVING FACILITY,7/6/21
ADULT RESIDENTIAL CARE,2057,40646,Hope Guest Home,915 S 7TH ST,Tacoma,WA,98405,Pierce,(253) 627-3620,18,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,2466,45111,King'S Manor Senior Living Community,8609 PORTLAND AVE E,Tacoma,WA,98445,Pierce,(253) 538-7222,76,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1931,38838,Kleiner Group Home,6415 6TH AVE,Tacoma,WA,98406,Pierce,(253) 565-0588,10,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",1949,39128,Living Hope Care Center,402 NORTH J ST,Tacoma,WA,98403,Pierce,(253) 572-7977,59,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",2575,46648,"Maple Creek Venture, Llc",10420 GRAVELLY LAKE DR SW,Lakewood,WA,98499,Pierce,(253) 588-0227,75,ASSISTED LIVING FACILITY,7/6/21
ADULT RESIDENTIAL CARE,800,30172,Mcgee Guest Home,21520 82ND AVE E,Spanaway,WA,98387,Pierce,(253) 847-2292,64,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2421,44557,Memory Haven Sumner,5107 PARKER RD E,Sumner,WA,98390,Pierce,(253) 750-0552,39,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2134,41477,Merrill Gardens At Tacoma,7290 ROSEMOUNT CIR,Tacoma,WA,98465,Pierce,(253) 460-5851,65,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,1073,30368,Mill Ridge Village,607 28TH AVE,Milton,WA,98354,Pierce,(253) 925-9200,45,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2385,44285,Narrows Glen,802 N LAUREL LN,Tacoma,WA,98406,Pierce,(253) 564-4770,155,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE",1610,30795,"Olympic Alzheimer'S Residence, A Prestige Expressions Commun",3025 14TH AVE NW,Gig Harbor,WA,98335,Pierce,(253) 851-5306,60,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,544,30079,P A M  Group Home,619 7TH AVE SE,Puyallup,WA,98372,Pierce,(253) 845-8871,9,ASSISTED LIVING FACILITY,7/6/21
ADULT RESIDENTIAL CARE,1141,30434,Pacific Avenue Residential Care,5621 PACIFIC AVE,Tacoma,WA,98408,Pierce,(253) 473-3577,16,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",2450,44773,Passionate Care Center,321 S 116TH ST,Tacoma,WA,98444,Pierce,(253) 537-3022,23,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1762,30895,Patriots Landing Operations Llc,1600 MARSHALL CIRCLE,Dupont,WA,98327,Pierce,(253) 964-4900,157,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",1952,38917,Peoples Retirement Community,1720 E 67TH ST,Tacoma,WA,98404,Pierce,(253) 474-1741,110,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE",1293,30568,Pioneer Place Alzheimer Residence Of Tacoma,11519 24TH AVE E,Tacoma,WA,98445,Pierce,(253) 539-3410,60,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",2490,45105,Puyallup Valley Enhanced Residential Care Inc,723 2ND ST NW,Puyallup,WA,98371,Pierce,(253) 845-5398,53,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1793,30922,Silver Creek Retirement & Assisted Living Community,17607 91ST AVENUE E,Puyallup,WA,98375,Pierce,(253) 875-8644,104,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,2382,44145,Sound Vista Village,6633 MCDONALD AVE,Gig Harbor,WA,98335,Pierce,(253) 851-9929,36,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW",2160,41821,"Spring Ridge Retirement, Llc",6856 E PORTLAND AVE,Tacoma,WA,98404,Pierce,(253) 474-1093,75,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1375,30633,Stafford Suites,15519 62ND STREET CT E,Sumner,WA,98390,Pierce,(253) 862-1818,77,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",2360,43894,The Cottages At Edgewood,2510 MERIDIAN AVE EAST,Edgewood,WA,98372,Pierce,(253) 881-1435,60,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE",2418,44294,The Cottages At University Place,5417 64TH ST W,University Place,WA,98467,Pierce,(253) 301-3817,60,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,2064,40085,The Lodge At Mallard'S Landing,7083 WAGNER WAY NW,Gig Harbor,WA,98335,Pierce,(253) 858-4990,136,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2483,45243,"The Rivers At Puyallup, Independent Living & Assisted Living",123 4TH AVE NW,Puyallup,WA,98371,Pierce,(425) 803-6911,120,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",2558,46607,The Village Retirement And Assisted Living,4707 S ORCHARD ST,Tacoma,WA,98466,Pierce,(253) 475-4707,110,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE",2518,45399,Trouves St Ann'S Inc,6602 S ALASKA ST,Tacoma,WA,98408,Pierce,(253) 289-5050,15,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW",2553,45903,Vineyard Park Of Puyallup,1813 S MERIDIAN ST,Puyallup,WA,98371,Pierce,(206) 232-9680,53,ASSISTED LIVING FACILITY,7/6/21
ADULT RESIDENTIAL CARE,1014,30318,Waller Road Home,4710 WALLER RD E,Tacoma,WA,98443,Pierce,(253) 922-2550,9,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1577,30773,Weatherly Inn,6016 N HIGHLANDS PARKWAY,Tacoma,WA,98406,Pierce,(253) 752-8550,140,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2520,45735,Wesley Homes Bradley Park Llc,707 39TH AVE SE,Puyallup,WA,98374,Pierce,(253) 435-8100,23,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1996,39441,Village At The Harbour,543 SPRING ST,Friday Harbor,WA,98250,San Juan,(360) 378-7144,36,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1948,39086,Ashley Gardens Of Mt Vernon,3807 E COLLEGE WAY,Mount Vernon,WA,98273,Skagit,(360) 419-9422,40,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",2559,46461,Birchview Memory Care Community,925 DUNLOP ST,Sedro Woolley,WA,98284,Skagit,(360) 856-1911,61,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1190,30483,Chandler'S Square,1300 O AVE,Anacortes,WA,98221,Skagit,(360) 293-1300,37,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,1020,30323,Country Meadow Village,1501 COLLINS RD,Sedro Woolley,WA,98284,Skagit,(360) 856-0404,50,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,2316,43652,Creekside Continuing Care Community,400 GILKEY RD,Burlington,WA,98233,Skagit,(360) 755-5550,101,ASSISTED LIVING FACILITY,7/6/21
ENHANCED ADULT RESIDENTIAL CARE,2527,46032,Cypress Assisted Living Inc,911 21ST ST,Anacortes,WA,98221,Skagit,(360) 293-7222,48,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE",2508,45560,Homeplace Respite,112 N SKAGIT ST,Burlington,WA,98233,Skagit,(360) 755-7000,16,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",2510,45558,Homeplace Special Care Center At Burlington,210 N SKAGIT ST,Burlington,WA,98233,Skagit,(360) 755-7000,46,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",2254,42272,La Conner Retirement Inn,204 N 1ST ST,La Conner,WA,98257,Skagit,(360) 466-5700,60,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2204,41953,Lighthouse Memory Care,3502 K AVENUE,Anacortes,WA,98221,Skagit,(360) 420-9801,39,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2328,42538,Mountain Glen Retirement Community,1810 E DIVISION ST,Mount Vernon,WA,982744633,Skagit,(360) 424-7900,83,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",2172,42004,Ovenell Home Alf Inc,625 E WASHINGTON AVE,Burlington,WA,98233,Skagit,(360) 755-9100,31,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW",2528,46031,Rosario Assisted Living,1105 27TH ST,Anacortes,WA,98221,Skagit,(360) 293-5752,94,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1826,30949,The Bridge Assisted Living At Mount Vernon,301 S LAVENTURE RD,Mount Vernon,WA,98274,Skagit,(360) 416-0400,50,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW",2500,45559,Where The Heart Is,410 S NORRIS ST,Burlington,WA,98233,Skagit,(360) 755-8007,84,ASSISTED LIVING FACILITY,7/6/21
"ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",1254,30537,Rock Cove Assisted Living,986 SW ROCK CREEK DRIVE,Stevenson,WA,98648,Skamania,(509) 427-7272,36,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2345,42500,Aegis Senior Living Of Lynnwood,18700 44TH AVE W,Lynnwood,WA,98037,Snohomish,(425) 712-9999,52,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2126,41245,Ashley Pointe,11117 20TH ST NE,Lake Stevens,WA,98258,Snohomish,(425) 397-7500,40,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,1346,30611,Bethany At Silver Crest,2131 LAKE HEIGHTS DR,Everett,WA,98208,Snohomish,(425) 385-2335,58,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1700,30852,Brookdale Alderwood,18706 36TH AVENUE WEST,Lynnwood,WA,98037,Snohomish,(425) 774-3300,60,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW",2278,42382,Brookdale Arbor Place ,12806 BOTHELL EVERETT HWY,Everett,WA,98208,Snohomish,(425) 338-3227,115,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW",2285,42361,Brookdale Everett,11333 3RD PL W,Everett,WA,98204,Snohomish,(425) 347-0372,80,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2284,42374,Brookdale Monroe,15465 179TH AVE SE,Monroe,WA,98272,Snohomish,(360) 637-3927,82,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1703,30855,Brookdale Silver Lake,2015 LAKE HEIGHTS DR,Everett,WA,982086034,Snohomish,(425) 337-6336,60,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2276,42395,Brookdale Stanwood,7212 265TH ST NW,Stanwood,WA,98292,Snohomish,(360) 637-3924,80,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW",2312,42466,Cascade Valley Senior Living,8400 207TH PL NE,Arlington,WA,98223,Snohomish,(360) 435-3222,80,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2453,44572,Cedar Creek Memory Care Community,21006 72ND AVE W,Edmonds,WA,98026,Snohomish,(425) 678-8001,80,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2229,41981,Chateau Pacific Retirement Community,3333 148TH ST SW,Lynnwood,WA,98087,Snohomish,(425) 787-9693,138,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2475,45280,Cogir Mill Creek,14905 BOTHELL EVERETT HIGHWAY,Mill Creek,WA,98012,Snohomish,,80,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2574,46736,Edmonds Landing Assisted Living Community,180 2ND AVE S,Edmonds,WA,98020,Snohomish,(425) 744-1181,83,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE",2423,44415,Everett Heritage Court,4230 COLBY AVE,Everett,WA,98203,Snohomish,(425) 259-7200,47,ASSISTED LIVING FACILITY,7/6/21
"ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",1921,38698,Everett Plaza,2204 12TH ST,Everett,WA,98201,Snohomish,(425) 258-6408,105,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1342,30609,Fairwinds - Brighton Court,6520 196TH ST SW,Lynnwood,WA,98036,Snohomish,(425) 775-4440,65,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2538,46059,Fieldstone Memory Care Of Marysville,11015 STATE AVE,Marysville,WA,98271,Snohomish,(360) 244-4180,70,ASSISTED LIVING FACILITY,7/6/21
ENHANCED ADULT RESIDENTIAL CARE,977,30289,Grandview Village Retirement Community,5800 64TH ST NE,Marysville,WA,98270,Snohomish,(360) 653-2223,35,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2362,44003,Harbour Pointe Retirement & Assisted Living Center,10200 HARBOUR PLACE,Mukilteo,WA,98275,Snohomish,(425) 493-8555,136,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,569,30086,Josephine Caring Community,9901 272ND PL NW,Stanwood,WA,98292,Snohomish,(360) 629-2126,65,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2447,44889,Morningstar Senior Living At Silver Lake,520 112TH ST SW,Everett,WA,98204,Snohomish,(425) 906-3818,52,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2373,44178,Mountlake Terrace Plaza,23303 58TH AVE W,Mountlake Terrace,WA,98043,Snohomish,(425) 672-4673,55,ASSISTED LIVING FACILITY,7/6/21
