Speciality,contract,Check_Type,LicenseNumber,LocationNumber,FacInstanceId,FacilityType,FacilityName,FacilityStatus,LocationAddress,LocationCity,LocationState,LocationZipCode,LocationCounty,MailAddress,MailCity,MailState,MailZipCode,TelephoneNmbr,FaxNmbr,ConfidentialFaxNmbr,RCSRegionUnit,SpecialityCode,ContractCode,FacilityPOC,LicensedBedCount,LicenseExpirationDate,CheckCompleteDate,CheckType,Has Reports?,Reports Location
None,Assisted Living SOW,,1810,60001810,30935,BH  ,PARK VISTA RETIREMENT& ASSISTED LIVING COMMUNITY,OP    ,2944 SE LUND AVE,PORT ORCHARD,WA,98366,Kitsap,3425 BOONE RD SE,SALEM,OR,97317,(360) 871-2323,,(360) 871-2521,3D,,1002XP-12 ,"McComb, Kristina ",109,3/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1810
None,No Contract,,1274,60008722,30554,BH  ,STAFFORD SUITES - PORT ORCHARD,OP    ,1761 POTTERY AVENUE,PORT ORCHARD,WA,98366,Kitsap,1761 POTTERY AVENUE,PORT ORCHARD,WA,98366,(360) 874-1212,,(360) 874-8834,3D,,,"Olomon, Amber ",60,11/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1274
None,Enhanced Adult Residential Care,,2433,60009600,44192,BH  ,The Arbor at Bremerton,OP    ,3510 9th Street,Bremerton,WA,98312,Kitsap,3510 9th Street,Bremerton,WA,98312,(360) 525-9000,,,3D,,1006XP-12 ,"Stafsholt, Jennifer ",64,11/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2433
None,No Contract,,2246,60001140,42211,BH  ,The Cottage,OP    ,3210 Rickey Rd NE,Bremerton,WA,98310,Kitsap,3210 Rickey Rd NE,Bremerton,WA,98310,(360) 373-0553,,(360) 373-4356,3D,,,"Norton, Michael ",43,3/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2246
None,No Contract,,2231,60008932,42177,BH  ,The Ridge an Encore Community,OP    ,1501 NW Tower View Cir,Silverdale,WA,98383,Kitsap,1501 NW Tower View Cir,Silverdale,WA,98383,(360) 697-4488,,(360) 697-4771,3D,,,"Ryan, Jessie ",54,6/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2231
None,No Contract,,1253,60008714,30536,BH  ,WYATT HOUSE RETIREMENT CENTER,OP    ,186 WYATT WAY NW,BAINBRIDGE ISLAND,WA,98110,Kitsap,186 WYATT WAY NW,BAINBRIDGE ISLAND,WA,98110,(206) 780-3646,,(206) 317-6077,3D,,,"Duncan, Kori ",32,6/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1253
None,No Contract,,2186,60008726,42044,BH  ,Meadows Place,OP    ,1008 East Mountain View Ave,Ellensburg,WA,98926,Kittitas,1008 East Mountain View Ave,Ellensburg,WA,98926,(509) 925-4484,,(847) 255-1896,1C,,,"Ivan, Jeanette ",36,3/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2186
None,"Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",,2376,60001811,44097,BH  ,Pacifica Senior Living Ellensburg,OP    ,818 E Mountain View Ave,Ellensburg,WA,98926,Kittitas,818 E Mountain View Ave,Ellensburg,WA,98926,(509) 925-1220,,(509) 925-1230,1C,,"1006XP-12 , 1002XP-12 , 1007XP-12 ","Sorenson, Brian ",80,1/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2376
None,Assisted Living SOW,,2392,60000735,44290,BH  ,Prestige Senior Living at Hearthstone,OP    ,802 East Mountain View Ave,Ellensburg,WA,98926,Kittitas,802 East Mountain View Ave,Ellensburg,WA,98926,(509) 925-3099,,(509) 925-1144,1C,,1002XP-12 ,"Stucke, Jennifer R. ",69,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2392
None,"Assisted Living SOW, Adult Residential Care",,783,60000651,30163,BH  ,CHEHALIS WEST RETIREMENT CENTER INC,OP    ,478 NW QUINCY PLACE,CHEHALIS,WA,98532,Lewis,478 NW QUINCY PLACE,Chehalis,WA,98532,(360) 748-9911,,(360) 748-4642,3E,,"1002XP-12 , 1007XP-12 ","Severson, Theresa L. ",66,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=783
None,"Assisted Living SOW, Adult Residential Care",,2565,60006875,46460,BH  ,Cooks Hill Manor,OP    ,2010 Cooks Hill Rd,Centralia,WA,98531,Lewis,2010 Cooks Hill Rd,Centralia,WA,98531,(360) 330-2010,,(360) 736-4028,3E,,"1002XP-12 , 1007XP-12 ","Jones, Tamara ",70,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2565
None,"Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW",,2010,60008770,39836,BH  ,HERITAGE HOUSE MORTON,OP    ,860 W Main,Morton,WA,98356,Lewis,PO BOX 1329,Morton,WA,98356,(360) 496-6699,,(360) 496-6693,3E,,"1027XS-12 , 1006XP-12 , 1002XP-12 ","Elswick, Tammi ",44,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2010
None,"Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",,1428,60001323,30665,BH  ,SHARON CARE CENTER ASSISTED LIVING,OP    ,1509 HARRISON AVE,CENTRALIA,WA,98531,Lewis,1509 HARRISON AVE,CENTRALIA,WA,98531,(360) 736-0112,,(360) 807-0667,3E,,"1027XS-12 , 1006XP-12 , 1002XP-12 , 1007XP-12 ","Sutherland, Kari ",72,7/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1428
None,"Assisted Living SOW, Adult Residential Care",,1061,60007461,30358,BH  ,STILLWATERS COLONIAL RESIDENCE,OP    ,2700 COLONIAL DR,CENTRALIA,WA,98531,Lewis,2700 COLONIAL DR,CENTRALIA,WA,98531,(360) 736-1551,,(360) 736-2067,3E,,"1002XP-12 , 1007XP-12 ","Neeley, Fawn ",81,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1061
None,Assisted Living SOW,,2512,60009649,45644,BH  ,Woodland Village,OP    ,2100 SW Woodland Circle,Chehalis,WA,98532,Lewis,2020 A St SE Ste 101,Auburn,WA,98002,(360) 748-0095,,(360) 740-0760,3E,,1002XP-12 ,"Luciano, Halsey ",40,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2512
None,"Assisted Living SOW, Adult Residential Care",,1194,60001319,30487,BH  ,QUAIL COURT,OP    ,506 E AMENDE DR,ODESSA,WA,99159,Lincoln,PO BOX 368,ODESSA,WA,99159,(509) 982-2611,,(509) 982-2159,1B,,"1002XP-12 , 1007XP-12 ","Serle, John ",12,1/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1194
None,"Enhanced Adult Residential Care, Assisted Living SOW",,2377,60009595,44091,BH  ,Vista Manor,OP    ,700 SE Brace St,Wilbur,WA,99185,Lincoln,700 SE Brace St,Wilbur,WA,99185,(509) 647-2211,(509) 647-0131,,1B,,"1006XP-12 , 1002XP-12 ","Bess, Melanie D. ",16,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2377
None,"Specialized Dementia Care, Assisted Living SOW",,2141,60000604,41738,BH  ,Alpine Way Retirement Apartments,OP    ,900 W Alpine Way,Shelton,WA,98584,Mason,900 W Alpine Way,Shelton,WA,98584,(360) 426-2600,,(360) 427-3299,3E,,"1027XS-12 , 1002XP-12 ","Hunter, Trudy L. ",103,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2141
None,No Contract,,1953,60009506,39001,BH  ,Haven in Allyn LLC,OP    ,180 Wheelwright Street,Allyn,WA,98524,Mason,PO Box 928,Allyn,WA,98524,(360) 277-0636,(360) 275-4021,,3E,,,"Jamerson, Debra J. ",16,4/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1953
None,Assisted Living SOW,,1447,60008824,30680,BH  ,MAPLE GLEN ASSISTED LIVING COMMUNITY,OP    ,1700 NORTH 13TH LOOP ROAD,SHELTON,WA,98584,Mason,1700 NORTH 13TH LOOP ROAD,SHELTON,WA,98584,(360) 427-0300,,,3E,,1002XP-12 ,"Decicio, Monica ",64,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1447
None,Assisted Living SOW,,1277,60008724,30557,BH  ,APPLE SPRINGS RETIREMENT AND ASSISTED LIVING RESIDENCE,OP    ,1001 SENNA STREET,OMAK,WA,98841,Okanogan,1001 SENNA STREET,OMAK,WA,98841,(509) 826-3590,,(509) 826-5595,1B,,1002XP-12 ,"Cooper, Devan ",60,1/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1277
None,Assisted Living SOW,,1970,60008802,39481,BH  ,GOLDEN SANDS AT KLIPSAN BEACH,OP    ,21608 O LANE,OCEAN PARK,WA,98640,Pacific,21608 O LANE,OCEAN PARK,WA,98640,(360) 665-0190,,(360) 665-0194,3E,,1002XP-12 ,"Krise, John ",43,6/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1970
None,"Enhanced Adult Res Care Conversion Pilot, Assisted Living SOW",,1613,60008847,30798,BH  ,RIVER MOUNTAIN VILLAGE ASSISTED LIVING,OP    ,608 W 2nd St,Newport,WA,99156,Pend Oreille,714 W Pine Street,NEWPORT,WA,99156-9046,(509) 447-2903,,(509) 447-2281,1B,,"1068XS-12 , 1002XP-12 ","Wilbur, Thomas W. ",99,6/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1613
None,"Expanded Community Services, Enhanced Adult Residential Care, Adult Residential Care",,2552,60000878,46368,BH  ,6th Avenue Senior Living LLC,OP    ,610 N FIFE ST,TACOMA,WA,98406,Pierce,610 N FIFE ST,TACOMA,WA,98406,(253) 272-8600,,(253) 272-5058,3D,,"1036XP-12 , 1007XP-12 ","Kinsley, Rebecca ",110,8/31/21 0:00,,,No, 
None,"Enhanced Adult Residential Care, Adult Residential Care",,2531,60000801,45730,BH  ,"Alpha Cottage, LLC",OP    ,10816 18th Ave E,Tacoma,WA,98445,Pierce,10816 18th Ave E,Tacoma,WA,98445,(253) 537-5395,,(253) 536-7893,3D,,"1006XP-12 , 1007XP-12 ","Weyer, Salan ",46,4/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2531
None,No Contract,,2555,60009656,45928,BH  ,Bonaventure of Puyallup,OP    ,14503 Meridian Avenue E,Puyallup,WA,98375,Pierce,14503 Meridian Avenue E,Puyallup,WA,98375,(253) 387-8166,,(253) 387-6167,3D,,,"Bailey, Nerissa ",109,10/31/21 0:00,,,No, 
None,Assisted Living SOW,,2427,60008857,44684,BH  ,Bridgeport Place,OP    ,5250 Bridgeport Way W,University Place,WA,98467,Pierce,5250 Bridgeport Way W,University Place,WA,98467,(253) 565-1960,,(253) 565-1996,3D,,1002XP-12 ,"Walker, Patricia A. ",77,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2427
None,"Assisted Living SOW, Adult Residential Care",,1701,60008951,30853,BH  ,Brookdale Allenmore AL (WA),OP    ,3615 S. 23RD STREET,TACOMA,WA,98405,Pierce,3615 S. 23RD STREET,TACOMA,WA,98405,(253) 759-7770,,(253) 759-8311,3D,,"1002XP-12 , 1007XP-12 ","Wickline, Steven ",80,6/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1701
None,"Enhanced Adult Residential Care, Assisted Living SOW",,2366,60001165,43928,BH  ,Brookdale Courtyard Puyallup,OP    ,4610 6TH STREET PLACE SE,PUYALLUP,WA,98374,Pierce,4610 6TH STREET PLACE SE,PUYALLUP,WA,98374,(253) 841-9722,(253) 435-5466,,3D,,"1006XP-12 , 1002XP-12 ","Schwartz, Michael ",120,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2366
None,Enhanced Adult Residential Care,,1912,60006215,30950,BH  ,Brookdale Harbor Bay,OP    ,9324 NORTH HARBORVIEW DR,GIG HARBOR,WA,98332,Pierce,9324 NORTH HARBORVIEW DR,GIG HARBOR,WA,98332,(253) 858-7790,,(253) 858-7041,3D,,1006XP-12 ,"Landry, Joan Gay ",44,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1912
None,"Specialized Dementia Care, Enhanced Adult Residential Care",,1702,60008723,30854,BH  ,Brookdale Puyallup South,OP    ,8811 176TH ST EAST,PUYALLUP,WA,98375,Pierce,8811 176TH ST EAST,PUYALLUP,WA,98375,(253) 445-1300,,(253) 445-1400,3D,,"1027XS-12 , 1006XP-12 ","Houck, Jessica ",64,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1702
None,"Specialized Dementia Care, Enhanced Adult Residential Care, Adult Residential Care",,1063,60007939,30360,BH  ,CASCADE PARK GARDENS,OP    ,4347 S UNION AVE,TACOMA,WA,98409,Pierce,4347 S UNION AVE,TACOMA,WA,98409,(253) 475-3702,,(253) 475-3708,3D,,"1027XS-12 , 1006XP-12 , 1007XP-12 ","Singh, Kristina ",85,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1063
None,"Enhanced Adult Residential Care, Assisted Living SOW",,1251,60000720,30535,BH  ,CASCADE PARK VISTA,OP    ,242 ST HELENS AVE S,TACOMA,WA,98402,Pierce,242 ST HELENS AVE S,TACOMA,WA,98402,(253) 627-3833,(253) 572-9992,(253) 680-1960,3D,,"1006XP-12 , 1002XP-12 ","Solvie, Chad ",117,1/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1251
None,Assisted Living SOW,,1951,60009503,38770,BH  ,Cedar Ridge Retirement & Assisted Living Community,OP    ,9515 198th Avenue East,Bonney Lake,WA,98391,Pierce,3425 Boone Rd SE,Salem,OR,97317,(253) 299-6461,(253) 299-6475,,3D,,1002XP-12 ,"McDaniel, Travis B. ",70,4/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1951
None,"Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",,2120,60000880,41029,BH  ,CHARLTON PLACE,OP    ,9723 South Steele St,Tacoma,WA,98444,Pierce,9723 South Steele St,Tacoma,WA,98444,(253) 589-1834,,(253) 581-8540,3D,,"1006XP-12 , 1002XP-12 , 1007XP-12 ","Chapman, Robert P. ",105,1/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2120
None,No Contract,,2578,60009670,46670,BH  ,Deer Ridge Memory Care Community,OP    ,3901 5th St SE,Puyallup,WA,98374,Pierce,3901 5th St SE,Puyallup,WA,98374,(253) 446-7892,,(253) 446-7925,3D,,,"Martin, William D. ",70,6/30/22 0:00,,,No, 
None,Assisted Living SOW,,1187,60001187,30480,BH  ,eliseo,OP    ,1301 N HIGHLANDS PARKWAY,TACOMA,WA,98406,Pierce,1301 N HIGHLAND PARKWAY,TACOMA,WA,98406,(253) 752-7112,,(253) 752-7265,3D,,1002XP-12 ,"Mcfeely, R Kevin ",61,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1187
None,"Expanded Community Services, Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",,2004,60000887,39721,BH  ,Emerald Care Center Inc,OP    ,23809 46th Ave E,Spanaway,WA,98387,Pierce,23809 46th Ave E,Spanaway,WA,98387,(253) 847-9452,,(253) 847-3342,3D,,"1036XP-12 , 1002XP-12 , 1007XP-12 ","Waweru, Lydia N. ",14,6/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2004
None,No Contract,,2561,60009663,46229,BH  ,Fieldstone Memory Care of Puyallup,OP    ,2121 S Meridian,Puyallup,WA,98371,Pierce,2121 S Meridian,Puyallup,WA,98371,(253) 904-3434,,,3D,,,"Porsch, Katelin G. ",66,1/31/22 0:00,,,No, 
None,No Contract,,61,60000706,30003,BH  ,FRANKE TOBEY JONES,OP    ,5340 N Bristol St,Tacoma,WA,98407,Pierce,5340 N Bristol St,Tacoma,WA,98407,(253) 752-6621,,(253) 756-6287,3D,,,"Dunn, Judith A. ",80,6/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=61
None,No Contract,,2189,60001198,42043,BH  ,Franklin Place,OP    ,5713 Parker Rd E,Sumner,WA,98390,Pierce,5713 Parker Rd E,Sumner,WA,98390,(253) 891-3569,,(847) 255-1896,3D,,,"Gregory, Shameka ",51,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2189
None,No Contract,,2557,60009653,45779,BH  ,GenCare Lifestyle Tacoma at Point Ruston,OP    ,4970 Main St,Tacoma,WA,98407,Pierce,4970 Main St,Tacoma,WA,98407,(253) 941-5859,,(253) 941-3470,3D,,,"Berg, Peder ",55,12/31/21 0:00,,,No, 
None,Assisted Living SOW,,2477,60007271,45239,BH  ,"Gig Harbor Court, Independent Living & Assisted Living",OP    ,3213 45th Street Ct NW,Gig Harbor,WA,98335,Pierce,3213 45th Street Ct NW,Gig Harbor,WA,98335,(253) 858-5300,,(253) 848-5961,3D,,1002XP-12 ,"London, Letitia ",100,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2477
None,No Contract,,1809,60001809,30934,BH  ,HARBOR PLACE AT COTTESMORE,OP    ,1016 29TH STREET NW,GIG HARBOR,WA,98335,Pierce,1016 29TH STREET NW,GIG HARBOR,WA,98335,(253) 853-3354,,(253) 853-0400,3D,,,"Hooper, Stacy ",90,3/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1809
None,"Specialized Dementia Care, Enhanced Adult Residential Care",,2142,60008742,41740,BH  ,Hearthside Manor,OP    ,3615 Drexler Dr W,University Place,WA,98466,Pierce,3615 Drexler Dr W,University Place,WA,98466,(253) 460-3330,,(253) 460-3366,3D,,"1027XS-12 , 1006XP-12 ","Jensen, Peggy J. ",36,3/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2142
None,"Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW",,2012,60008823,39835,BH  ,HERITAGE HOUSE BUCKLEY,OP    ,28833 State Route 410 E,Buckley,WA,98321,Pierce,28833 State Route 410 E,Buckley,WA,98321,(360) 829-5292,,(360) 829-3764,3D,,"1027XS-12 , 1006XP-12 , 1002XP-12 ","Jensen, Peggy J. ",85,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2012
None,No Contract,,2425,60009608,44407,BH  ,Heron's Key,OP    ,4340 Borgen Blvd NW,Gig Harbor,WA,98332,Pierce,4340 Borgen Blvd NW,Gig Harbor,WA,98332,(253) 313-0800,,(253) 313-0651,3D,,,"Lester, Tristan ",51,10/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2425
None,Adult Residential Care,,2057,60000751,40646,BH  ,Hope Guest Home,OP    ,915 S 7th St,Tacoma,WA,98405,Pierce,915 S 7th St,Tacoma,WA,98405,(253) 627-3620,,(253) 627-3626,3D,,1007XP-12 ,"Wetterlind, Paula A. ",18,5/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2057
None,Assisted Living SOW,,2466,60008886,45111,BH  ,King's Manor Senior Living Community,OP    ,8609 Portland Ave E,Tacoma,WA,98445,Pierce,8609 Portland Ave E,Tacoma,WA,98445,(253) 538-7222,,(253) 531-4228,3D,,1002XP-12 ,"Coit, Nicole ",76,1/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2466
None,No Contract,,1931,60000773,38838,BH  ,KLEINER GROUP HOME,OP    ,6415 6th Ave,Tacoma,WA,98406,Pierce,6415 6th Ave,Tacoma,WA,98406,(253) 565-0588,,,3D,,,"Rapp, Scott W. ",10,3/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1931
None,"Expanded Community Services, Enhanced Adult Residential Care, Adult Residential Care",,1949,60000813,39128,BH  ,Living Hope Care Center,OP    ,402 NORTH J ST,TACOMA,WA,98403,Pierce,402 NORTH J ST,TACOMA,WA,98403,(253) 572-7977,(253) 572-2206,,3D,,"1036XP-12 , 1007XP-12 ","Negash, Fasika G. ",59,4/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1949
None,"Enhanced Adult Residential Care, Adult Residential Care",,2575,60008924,46648,BH  ,"Maple Creek Venture, LLC",OP    ,10420 Gravelly Lake Dr SW,Lakewood,WA,98499,Pierce,10420 Gravelly Lake Dr SW,Lakewood,WA,98499,(253) 588-0227,,(253) 581-7543,3D,,"1006XP-12 , 1007XP-12 ","Otero, Zoraida ",75,7/31/21 0:00,,,No, 
None,Adult Residential Care,,800,60000815,30172,BH  ,MCGEE GUEST HOME,OP    ,21520 82ND AVE E,SPANAWAY,WA,98387,Pierce,21520 82ND AVE E,SPANAWAY,WA,98387,(253) 847-2292,,(253) 847-4312,3D,,1007XP-12 ,"Anderson, Toni ",64,11/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=800
None,No Contract,,2421,60009572,44557,BH  ,Memory Haven Sumner,OP    ,5107 Parker Rd E,Sumner,WA,98390,Pierce,5107 Parker Rd E,Sumner,WA,98390,(253) 750-0552,,(253) 447-7453,3D,,,"Jaynes, Mary E. ",39,6/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2421
None,No Contract,,2134,60009518,41477,BH  ,MERRILL GARDENS AT TACOMA,OP    ,7290 Rosemount Cir,Tacoma,WA,98465,Pierce,1938 Fairview Ave E Ste 300,Seattle,WA,98102,(253) 460-5851,(253) 566-4367,,3D,,,"Brock, Robert ",65,3/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2134
None,Assisted Living SOW,,1073,60001073,30368,BH  ,MILL RIDGE VILLAGE,OP    ,607 28TH AVE,MILTON,WA,98354,Pierce,2020 A St SE Suite 101,Auburn,WA,98002,(253) 925-9200,,(253) 925-5158,3D,,1002XP-12 ,"Nijjar, Raminder ",45,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1073
None,No Contract,,2385,60000816,44285,BH  ,Narrows Glen,OP    ,802 N Laurel Ln,Tacoma,WA,98406,Pierce,802 N Laurel Ln,Tacoma,WA,98406,(253) 564-4770,(253) 565-5053,,3D,,,"Erickson, Bruce R. ",155,1/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2385
None,"Specialized Dementia Care, Enhanced Adult Residential Care",,1610,60000825,30795,BH  ,"OLYMPIC ALZHEIMER'S RESIDENCE, A PRESTIGE EXPRESSIONS COMMUN",OP    ,3025 14TH AVE NW,GIG HARBOR,WA,98335,Pierce,3025 14TH AVE NW,GIG HARBOR,WA,98335,(253) 851-5306,,(253) 858-2512,3D,,"1027XS-12 , 1006XP-12 ","Coutu, Lara ",60,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1610
None,No Contract,,544,60000831,30079,BH  ,P A M  GROUP HOME,OP    ,619 7th Ave SE,Puyallup,WA,98372,Pierce,619 7th Ave SE,Puyallup,WA,98372,(253) 845-8871,,(253) 845-8871,3D,,,"Volin, Barbara ",9,10/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=544
None,Adult Residential Care,,1141,60000599,30434,BH  ,PACIFIC AVENUE RESIDENTIAL CARE,OP    ,5621 PACIFIC AVE,TACOMA,WA,98408,Pierce,5621 PACIFIC AVE,TACOMA,WA,98408,(253) 473-3577,,(253) 922-2550,3D,,1007XP-12 ,"Arenas, Gerilyn ",16,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1141
None,"Enhanced Adult Residential Care, Adult Residential Care",,2450,60000837,44773,BH  ,Passionate Care Center,OP    ,321 S 116th St,Tacoma,WA,98444,Pierce,321 S 116th St,Tacoma,WA,98444,(253) 537-3022,,,3D,,"1006XP-12 , 1007XP-12 ","Gizatu, Tewodros D. ",23,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2450
None,No Contract,,1762,60008976,30895,BH  ,PATRIOTS LANDING OPERATIONS LLC,OP    ,1600 MARSHALL CIRCLE,DUPONT,WA,98327,Pierce,1600 MARSHALL CIRCLE,DUPONT,WA,98327,(253) 964-4900,,(253) 964-4901,3D,,,"Clesley, Gidgette ",157,7/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1762
None,"Specialized Dementia Care, Enhanced Adult Residential Care, Adult Residential Care",,1952,60000841,38917,BH  ,PEOPLES RETIREMENT COMMUNITY,OP    ,1720 E 67TH ST,TACOMA,WA,98404,Pierce,25260 SW Parkway Ave,Wilsonville,OR,97070,(253) 474-1741,(253) 473-3979,,3D,,"1027XS-12 , 1006XP-12 , 1007XP-12 ","Brown, Sindrella ",110,3/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1952
None,"Specialized Dementia Care, Enhanced Adult Residential Care",,1293,60008732,30568,BH  ,PIONEER PLACE ALZHEIMER RESIDENCE OF TACOMA,OP    ,11519 24th Ave E,Tacoma,WA,98445,Pierce,11519 24th Ave E,Tacoma,WA,98445,(253) 539-3410,,(253) 538-2775,3D,,"1027XS-12 , 1006XP-12 ","BELOTE, DAWN ",60,3/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1293
None,"Expanded Community Services, Enhanced Adult Residential Care, Adult Residential Care",,2490,60000654,45105,BH  ,Puyallup Valley Enhanced Residential Care Inc,OP    ,723 2nd St NW,Puyallup,WA,98371,Pierce,723 2nd St NW,Puyallup,WA,98371,(253) 845-5398,,(253) 770-7976,3D,,"1036XP-12 , 1007XP-12 ","Galindo, Annette M. ",53,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2490
