State Facility Type 2 Literal,License Number,Facility Name,City,State,Zip Code,Phone Number,Capacity,Licensee,Date Accessed,State Facility Type 1 Literal,Address
SMALL GROUP,AS820392963,"Palmetto Afc, Llc",Detroit,MI,48234,3132829083.0,6,"PALMETTO AFC, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,7172-76 PALMETTO
SMALL GROUP,AS110404032,Emanuel,Niles,MI,49120,9172569745.0,6,DILIP SAMADDER & ALFRED SAMADDER,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,703 HICKORY STREET
XH (COULDN'T FIND DOCUMENTATION ON WHAT THIS IS),XH470393409,Brookdale Brighton,Brighton,MI,48116,8102299190.0,300,"EMERIVENT BRIGHTON, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,833 GRAND RIVER AVE.
XH (COULDN'T FIND DOCUMENTATION ON WHAT THIS IS),XH410402235,Porter Hills Village,Grand Rapids,MI,49546,6169494971.0,250,PORTER HILLS VILLAGE,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,3600 E. FULTON
HOME FOR THE AGED,AH470393393,Bella Vita Of Hartland,Hartland,MI,48353,8107467800.0,79,"BELLA VITA OF HARTLAND, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2799 BELLA VITA DR.
FAMILY HOME,AF740405024,Alexander Afc,Port Huron,MI,48060,8108582932.0,5,DANELL ALEXANDER,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2013 ST CLAIR STREET
FAMILY HOME,AF410395546,Fayette'S Home,Lowell,MI,49331,6167550974.0,6,SANDRA ROGERS,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,10893 DEERWOOD DR.
FAMILY HOME,AF380395563,Regina'S Home,Brooklyn,MI,49230,5179377438.0,6,REGINA GRIFFUS,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,9802 CASE RD
XH (COULDN'T FIND DOCUMENTATION ON WHAT THIS IS),XH740396794,Mallards Landing Of St. Clair,East China,MI,48054,8103297169.0,66,MALLARDS LANDING OF ST. CLAIR LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,4601 S. RIVER RD.
MEDIUM GROUP,AM590393687,Golden Life Afc #1,Greenville,MI,48838,6162252231.0,12,"GOLDEN LIFE AFC, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,10710 ROY DRIVE
MEDIUM GROUP,AM590395969,Golden Life Afc #2,Greenville,MI,48838,6162322584.0,12,"GOLDEN LIFE AFC, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,503 W. MONTCALM
SMALL GROUP,AS820396759,Wendy Manor,Taylor,MI,48180,7342316312.0,6,HEART TO HOME LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,15539 WENDY ST
SMALL GROUP,AS340392587,Passionate Home Care,Hubbardston,MI,48865,9897633688.0,6,DANA VINING,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,465 PLEASANT STREET
SMALL GROUP,AS380405366,Senior Meadows Assisted Living,Jackson,MI,49201,5177487354.0,6,"SENIOR MEADOWS ASSISTED LIVING, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,4940 EAST MICHIGAN AVENUE
LARGE GROUP,AL410397693,Ahsl Kentwood Cobblestone,Kentwood,MI,49508,6164551357.0,20,AH KENTWOOD SUBTENANT LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,5960 EASTERN AVE SE.
MEDIUM GROUP,AM250392107,Burnett Afc Llc,Burton,MI,48529,8107436291.0,12,BURNETT AFC LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2181 KENNETH ST
SMALL GROUP,AS780400203,Umbrellex 1,Owosso,MI,48667,5867654342.0,5,"UMBRELLEX BEHAVIORAL HEALTH SERVICES, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1207 DEVONSHIRE CT
SMALL GROUP,AS780404958,Umbrellex 2,Owosso,MI,48867,5867654342.0,6,"UMBRELLEX BEHAVIORAL HEALTH SERVICES, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,805 E KING ST
XH (COULDN'T FIND DOCUMENTATION ON WHAT THIS IS),XH820397710,American House Riverview,Riverview,MI,48193,7347201159.0,150,"AH RIVERVIEW SUBTENANT, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,20300 FORT ST.
XH (COULDN'T FIND DOCUMENTATION ON WHAT THIS IS),XH560401865,Pf Health Properties,Midland,MI,48640,9898371800.0,60,"PF HEALTH PROPERTIES, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,5007 UNIVERSAL DR.
XH (COULDN'T FIND DOCUMENTATION ON WHAT THIS IS),XH230401866,Delta Retirement Center,Lansing,MI,48917,5173236970.0,140,"DELTA RETIREMENT CENTER, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,201 MALL DRIVE S
XH (COULDN'T FIND DOCUMENTATION ON WHAT THIS IS),XH500399716,Story Point Chesterfield,Chesterfield,MI,48051,5862570033.0,316,CHESTERFIELD CARE 2017-LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,51760 GRATIOT AVE.
SMALL GROUP,AS810407916,Resilient - Golfside,Ypsilanti,MI,48197,7346461603.0,6,"RESILIENT LIFE CARE, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,3630 GOLFSIDE
SMALL GROUP,AS180407234,Gunden 1,Farwell,MI,48622,9895886769.0,6,"WILEY, BRETT",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,16 N. KAPPLINGER DR.
XH (COULDN'T FIND DOCUMENTATION ON WHAT THIS IS),XH110393198,The Whitcomb Senior Living Community,St. Joseph,MI,49085,2699832513.0,135,WTC SUB LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,509 SHIP ST.
XH (COULDN'T FIND DOCUMENTATION ON WHAT THIS IS),XH380393200,Countryside Manor,Jackson,MI,49203,5177874150.0,92,COUNTRYSIDE LIVING LLC - MANOR,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,3637 MCCAIN ROAD
SMALL GROUP,AS470407553,Odyssey Home,Brighton,MI,48114,8102258632.0,6,"RESILIRE NEUROREHABILITATION, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1911 ODYSSEY
MEDIUM GROUP,AM500407478,Middle Branch Residential Center,Macomb Twp.,MI,48044,5868463747.0,9,"RESILIRE NEUROREHABILITATION, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,45500 ROMEO PLANK RD.
SMALL GROUP,AS820407487,Riverview,Riverview,MI,48192,7342825485.0,6,"RESILIRE NEUROREHABILITATION, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,17436 POPLAR STREET
SMALL GROUP,AS630407488,Royal Oak,Royal Oak,MI,48073,2485464810.0,6,"RESILIRE NEUROREHABILITATION, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2017 ROCHESTER RD.
SMALL GROUP,AS820407491,Tyler Residential Center,Belleville,MI,48111,7346970792.0,6,"RESILIRE NEUROREHABILITATION, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,43001 TYLER RD.
SMALL GROUP,AS470407328,Bellavista Home,Howell,MI,48843,5175469320.0,6,"RESILIRE NEUROREHABILITATION, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1947 BELLAVISTA
LARGE GROUP,AL470407330,The Lodge,Brighton,MI,48116,8105884580.0,20,"RESILIRE NEUROREHABILITATION, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,7260 CHALLIS RD.
LARGE GROUP,AL820403228,Aspen Assisted Living,Livonia,MI,48152,2489874460.0,20,ASPEN ASSISTED LIVING LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,32406 SEVEN MILE RD
XH (COULDN'T FIND DOCUMENTATION ON WHAT THIS IS),XH170400607,Mckinley Manor,Sault Ste Marie,MI,49783,9066327250.0,50,"MCKINLEY MANOR, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2023 W 4TH AVE.
XH (COULDN'T FIND DOCUMENTATION ON WHAT THIS IS),XH700393161,Royal Atrium Inn,Zeeland,MI,49464,6167721248.0,90,PROVIDENCE LIFE SERVICES,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,400 PARKSIDE DRIVE
LARGE GROUP,AL180391857,Pioneer Golden Estates Memory Care,Clare,MI,48617,9899035405.0,20,PIONEER GOLDEN ESTATES INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,312 MCGUIRK DR
FAMILY HOME,AF500391861,Grace And Gratitude Adult Care,Warren,MI,48088,3139267190.0,2,TERRY PHILLIPS,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,28128 FLANDERS AVE
HOME FOR THE AGED,AH630404534,Anthology Of Novi,Novi,MI,48377,2486924836.0,116,CA SENIOR NOVI OPERATOR LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,42400 12 MILE RD
SMALL GROUP,AS410407268,Northern Pathways 1,Gowen,MI,49326,6165485238.0,6,NORTHERN PATHWAYS,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,12720 LINCOLN LAKE
SMALL GROUP,AS500402370,Ann Cook Center,St. Clair Shores,MI,48080,5862855459.0,6,ANN COOK CENTER LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,22525 E. 8 MILE ROAD
MEDIUM GROUP,AM250399708,Living Waters Buell Lake,Clio,MI,48420,8106861046.0,12,ALDRICH ASSISTED CARE LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,13515 N. GENESEE RD
SMALL GROUP,AS730402165,Tender Care Family Tree Llc,Saginaw,MI,48601,9893271212.0,3,TENDER CARE FAMILY TREE LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2016 MAPLEWOOD AVE
XH (COULDN'T FIND DOCUMENTATION ON WHAT THIS IS),XH630396188,The Park At Trowbridge,Southfield,MI,48033,2483520208.0,299,24111 CIVIC CENTER DR. LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,24111 CIVIC CENTER DR.
SMALL GROUP,AS760391684,Cc'S Villa,Peck,MI,48466,8103785550.0,6,CC'S VILLA LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,41 W. LORRAINE
XH (COULDN'T FIND DOCUMENTATION ON WHAT THIS IS),XH820395012,American House Dearborn Heights,Dearborn Heights,MI,48127,3132029914.0,226,AMERICAN HOUSE DEARBORN HEIGHTS,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,26600 ANN ARBOR TRAIL
XH (COULDN'T FIND DOCUMENTATION ON WHAT THIS IS),XH630395013,American House Elmwood,Rochester Hills,MI,48309,2483270497.0,126,"AMERICAN HOUSE ELMWOOD, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2251 W. AUBURN ROAD
SMALL GROUP,AS120359238,Gail Ann Home,Coldwater,MI,49036,5172788290.0,6,"ADAPT,  INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,123 GAIL ANN DRIVE
MEDIUM GROUP,AM410008685,Pine Rest Pine Grove Cottage,Grand Rapids,MI,495487707,6164555000.0,12,PINE REST CHRISTIAN MENTAL HEALTH SERVICES,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,"7051 MADISON AVENUE, SE"
SMALL GROUP,AS410015487,Kendall West,Grand Rapids,MI,495083747,6164867284.0,6,SPECTRUM HEALTH WORTH RESIDENTIAL SERVICES,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,"1712 KENDALL STREET, SE"
SMALL GROUP,AS830263282,Seneca Place Home,Cadillac,MI,49601,2317758821.0,6,NORTHERN LAKES COMMUNITY MENTAL HEALTH,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,440 SENECA PLACE
SMALL GROUP,AS720263284,Woodland Afc Home,Houghton Lake,MI,48629,9893666335.0,6,NORTHERN LAKES COMMUNITY MENTAL HEALTH,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,3374 E HOUGHTON LAKE DR
SMALL GROUP,AS590012176,Mcbride Stanton Afc,Stanton,MI,48888,9896443627.0,6,"MCBRIDE QUALITY CARE SERVICES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,340 N SECOND
SMALL GROUP,AS370088135,Mcbride #2,Mount Pleasant,MI,48858,9897736299.0,6,"MCBRIDE QUALITY CARE SERVICES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2051 GREENCREST
SMALL GROUP,AS540255143,Mcbride #3,Barryton,MI,49305,9893827399.0,6,"MCBRIDE QUALITY CARE SERVICES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,3414 W. 17 MILE ROAD
SMALL GROUP,AS540305481,Mcbride Sherman Street Home,Big Rapids,MI,49307,2317963643.0,6,"MCBRIDE QUALITY CARE SERVICES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,825 SHERMAN
SMALL GROUP,AS590379167,Mcbride Ferris Afc,Sheridan,MI,48884,6162558916.0,6,"MCBRIDE QUALITY CARE SERVICES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,5075 S. FERRIS ROAD
SMALL GROUP,AS560395819,Mcbride Meridian Rd. Afc,Midland,MI,48640,9898357688.0,6,"MCBRIDE QUALITY CARE SERVICES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2530 S. MERIDIAN RD.
SMALL GROUP,AS370406683,Mcbride Air Newton Afc,Mt Pleasant,MI,48858,9897729140.0,5,"MCBRIDE QUALITY CARE SERVICES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,4643 AIRPORT RD
MEDIUM GROUP,AM790095301,Mission Pointe (Afc),Caro,MI,48723,9896734024.0,12,"THE LIGHTHOUSE, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1780 HOPE DRIVE
SMALL GROUP,AS790368897,Stoney Brooke,Caro,MI,48723,9896732500.0,6,"THE LIGHTHOUSE, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1570 LIGHTHOUSE LANE
SMALL GROUP,AS820013464,Louisiana Home 2,Detroit,MI,48203,3133684857.0,6,LOUISIANA HOMES INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,614 W GOLDENGATE
SMALL GROUP,AS560012104,Samaritas - Wackerly Clf,Midland,MI,48640,9898357322.0,5,SAMARITAS,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,4904 WACKERLY STREET
SMALL GROUP,AS260010999,White Pines Clf,Gladwin,MI,48624,9894260424.0,6,SAMARITAS,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1411 SPRING ST
FAMILY HOME,AF410282594,Karsen Home,Grand Rapids,MI,49546,6167452396.0,6,TIMOTHY KARSEN AND DENISE M. KARSEN,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,386 FOREST HILLS AVE SE
HOME FOR THE AGED,AH730257847,Edgewood Assisted Living Center,Saginaw,MI,48603,9894979970.0,70,EDGEWOOD ASSISTED LIVING CENTER LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,4850 GRATIOT ROAD
LARGE GROUP,AL610260125,Sanctuary At The Oaks #2,Muskegon,MI,494424282,2316722700.0,20,TRINITY CONTINUING CARE SERVICES,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,"1740 VILLAGE DRIVE, 2ND FLOOR"
SMALL GROUP,AS670015899,Hopkins 20Th Ave Afc,Sears,MI,49679,2317346846.0,6,HOPKINS LAURA M,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,8328 20TH AVENUE
SMALL GROUP,AS630309673,Noble Living Afc 4,Pontiac,MI,48340,2486343326.0,6,VIRGINIA NOBLES,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,790 SECOND AVE.
LARGE GROUP,AL250255297,Gross Afc,Clio,MI,48420,8106911459.0,14,GROSS ADULT FOSTER CARE INC.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,5286 E. VIENNA ROAD
SMALL GROUP,AS250278254,Gross Afc #2,Clio,MI,48420,8106911459.0,5,GROSS ADULT FOSTER CARE INC.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1343 E. FARRAND ROAD
HOME FOR THE AGED,AH080236758,Carveth Village Of Middleville,Middleville,MI,49333,2697954972.0,68,CARVETH VILLAGE ASSISTED LIVING,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,690 W MAIN STREET
LARGE GROUP,AL410238274,Windsor Manor North,Kentwood,MI,495468257,6169542662.0,20,CLARK RETIREMENT COMMUNITY INC.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2499 FOREST HILL AVENU SE
LARGE GROUP,AL410238272,Oxford Manor East,Kentwood,MI,495468257,6169542970.0,20,CLARK RETIREMENT COMMUNITY INC.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,"2457 FOREST HILL AVE, SE"
SMALL GROUP,AS090094443,Wildwood,Bay City,MI,48706,9896710866.0,6,RIVERSBEND REHABILITATION INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,3238 WILDER RD
FAMILY HOME,AF610275867,Bracey Home,Muskegon,MI,494421355,2313295493.0,1,BRACEY CATHERINE IRENE,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1345 MARQUETTE AVENUE
SMALL GROUP,AS820093202,Family Tyes Iv,Detroit,MI,48206,3137904032.0,6,FAMILY TYES INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,7712 DEXTER
FAMILY HOME,AF390273822,Homestead South,Parchment,MI,49004,2693445292.0,6,THOMAS & AUDREY YOUNGBLOOD,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,"5152 RIVERVIEW DRIVE, N."
SMALL GROUP,AS820013998,Redwine Afc Home,Detroit,MI,48221,3138617278.0,6,ANNE & C.C. REDWINE,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,18231 SANTA ROSA
LARGE GROUP,AL090084487,Bay Valley Afc Inc.,Bay City,MI,48706,9894508769.0,20,BAY VALLEY ADULT FOSTER CARE INC.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,5113 REINHARDT LANE
FAMILY HOME,AF630080656,Florence Cth,Oak Park,MI,48237,2489671178.0,3,WILLIE FLORENCE GEORGE,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,23021 RADCLIFT
MEDIUM GROUP,AM290247447,Hearts Content,Breckenridge,MI,48615,9898421818.0,12,JOANN AND EDWARD KREH,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,317 N. EIGHTH STREET
CONGREGATE,AG320015863,Osantoski Inc,Bad Axe,MI,48413,9892696320.0,22,OSANTOSKI INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1514 BAD AXE RD
SMALL GROUP,AS810087390,Crane,Ypsilanti,MI,48197,7345287320.0,6,RAINBOW REHABILITATION CENTERS,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,7171 CRANE ROAD
SMALL GROUP,AS820013993,Chamberlain Home,Romulus,MI,48174,7347220438.0,6,"SAINTS,  INCORPORATED",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,6079 CHAMBERLAIN STREET
SMALL GROUP,AS820013647,Harrison House,Inkster,MI,48141,3135635396.0,6,"SAINTS,  INCORPORATED",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,717 HARRISON
SMALL GROUP,AS820013672,Hall Road Home,Woodhaven,MI,48183,7346717695.0,6,"SAINTS,  INCORPORATED",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,22014 CHIPMUNK TRAIL
SMALL GROUP,AS580360520,Vivian Home,Frenchtown,MI,48162,7343843506.0,6,ADULT LEARNING SYSTEMS-LOWER MICHIGAN,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2563 VIVIAN ROAD
SMALL GROUP,AS410011488,Thresholds Chamberlain Group Home,Grand Rapids,MI,495081511,6162476831.0,6,THRESHOLDS,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,"2819 CHAMBERLAIN AVE, SE"
SMALL GROUP,AS410094885,Roth Group Home,Grand Rapids,MI,495487728,6162811788.0,6,THRESHOLDS,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,"99 ROTH STREET, SE"
SMALL GROUP,AS410309721,Kentwood House,Grand Rapids,MI,49508,6165300234.0,3,THRESHOLDS,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,4709 EASTERN S.E.
SMALL GROUP,AS410386927,Hnrs Forest Glen Ii,Grand Rapids,MI,49546,6166087772.0,6,HOPE NETWORK REHABILITATION SERV,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,4218 BURTON ST. SE
MEDIUM GROUP,AM170306632,Cedar Street Home,Sault Ste. Marie,MI,49783,9066353025.0,8,"ADULT LEARNING SYSTEMS - UP, INC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,931 CEDAR ST.
MEDIUM GROUP,AM170306634,Maple,Sault Ste. Marie,MI,49783,9066359850.0,8,"ADULT LEARNING SYSTEMS - UP, INC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,952 MAPLE STREET
SMALL GROUP,AS630377685,Helen Afc Home Ii,Pontiac,MI,48342,2488180451.0,6,HELEN AFC HOMES INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,384 N. PERRY
LARGE GROUP,AL110077441,Caretel Inns Of Royalton Arlington,Saint Joseph,MI,49085,2694281111.0,20,CLIFFSIDE COMPANY,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,3905 LORRAINE PATH
LARGE GROUP,AL500066534,Haven Adult Foster Care Home,New Haven,MI,48048,5867493822.0,20,HAVEN ADULT FOSTER CARE LIMITED,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,58483 PASCO
SMALL GROUP,AS500267724,Griffith Home,Armada,MI,48005,5867848890.0,6,HAVEN ADULT FOSTER CARE LIMITED,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,73600 CHURCH STREET
SMALL GROUP,AS820013917,Reeck Ais Home,Southgate,MI,48195,7342834531.0,6,PASSAGES COMMUNITY SERVICES,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,14270 REECK ROAD
SMALL GROUP,AS820014856,Reaume St Ais Home,Woodhaven,MI,48183,7346920322.0,6,CREATIVE IMAGES INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,26771 REAUME RD
LARGE GROUP,AL820069925,Brighter Haven,Detroit,MI,48207,3135715104.0,20,BRIGHTER HAVEN INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,560 E GRAND BLVD
FAMILY HOME,AF740086067,Caldwell Afc,Goodells,MI,48027,8103259056.0,6,CALDWELL SARAH,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1735 GOODELLS
SMALL GROUP,AS790088128,Agape Care Systems Inc.,Caro,MI,48723,9896737360.0,6,AGAPE CARE SYSTEMS INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,3060 VAN GEISEN ROAD
SMALL GROUP,AS820014362,Oporto,Livonia,MI,48150,7342616488.0,6,"COMMUNITY CHOICES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,30237 SIX MILE RD
SMALL GROUP,AS820284331,The Charter Home,Lincoln Park,MI,48146,3133815072.0,6,THE REACH FOUNDATION,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1793 CHARTER
MEDIUM GROUP,AM110083631,Longacres Afc,Buchanan,MI,49107,2694732156.0,12,YOGARAJAH  & NILIMA SAVERUS,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,11793 RED BUD TRAIL
SMALL GROUP,AS530398194,White Pine Cottage,Scottville,MI,49454,5173935203.0,6,"TURNING LEAF RES REHAB SVCS., INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,309 E. JAMES STREET
LARGE GROUP,AL290087811,Ithaca Afc,Ithaca,MI,48847,9898752256.0,20,DHILLON BROS. CARE CORP.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,525 E. NORTH STREET
SMALL GROUP,AS090237189,Independence House,Bay City,MI,48708,9898930856.0,6,LIBERTY LIVING INC.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1306 38TH STREET
FAMILY HOME,AF250268371,Bush Manor Afc,Grand Blanc,MI,48439,8106031558.0,6,"BOWEN, AARON E AND BOWEN, OLIVIA",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,722 CAMBRIDGE CIRCLE
SMALL GROUP,AS130095138,Bedford Specialized Care Ii,Battle Creek,MI,49017,2699667459.0,5,BEDFORD SPECIALIZED CARE INC.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,34 BYRON STREET
SMALL GROUP,AS820287622,Daly Residence,Inkster,MI,48141,3132741758.0,6,"CITIZENS ALTERNATIVE RESIDENTIAL SVS., INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,820 JOHN DALY
SMALL GROUP,AS820278228,Real Place Inc. Afc Ii,Redford,MI,48239,3135357067.0,5,REAL PLACE INC.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,14200 DIXIE
LARGE GROUP,AL250388515,Burton East,Burton,MI,48529,8107435011.0,15,"FLATROCK MANOR, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,3490 GREENLY ST.
MEDIUM GROUP,AM250015879,Bentley Manor #7,Clio,MI,48420,8106877157.0,11,MELISSA BENTLEY,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1099 W VIENNA ROAD
MEDIUM GROUP,AM270389089,Ayer St. Home,Ironwood,MI,49938,9069326080.0,8,GOGEBIC CMH SVS BOARD,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,778 E. AYER ST.
SMALL GROUP,AS370011309,Cencare #5,Mount Pleasant,MI,48858,9897731023.0,6,CENCARE FOSTER CARE HOMES,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,4600 CRAWFORD
