Facility Number,Level of Care Code,Level of Care,Facility Name,Address,City,Zip Code,County,First Name Administrator,Last Name Administrator,Certification,Certification,Capacity,Alzheimer's SCU,DMH Licensed,Facility Phone Number,Facility Fax Number,Region,Facility Mailing Address,Facility Mailing City,Facility Mailing Zip,Operator Name,Operator Type
13544,N,ALF**,"ARBORS AT LAKEVIEW BEND - ASSISTED LIVING BY AMERICARE, THE",1700 ASBURY CIRCLE WEST,MEXICO,65265-1400,AUDRAIN,BETSY,SLUHAN,,,39,Yes,FALSE,(573) 581-8777,5735810744,5,1722 HUNTINGFIELD DR,MEXICO,65265-3808,"MEXICO RESIDENTIAL, LLC",LIMITED LIABILITY COMPANY
13589,N,ALF**,ARBORS AT PARKSIDE - MEMORY CARE ASSISTED LIVING BY AMERICARE,1700 EAST 10TH ST,ROLLA,65401-4600,PHELPS,ANGELA,REID,,,22,Yes,FALSE,(573) 364-2602,(573) 364-1273,6,1700 E 10TH ST,ROLLA,65401-4600,"ROLLA RESIDENTIAL, LLC",LIMITED LIABILITY COMPANY
13596,N,ALF**,WILLOW BROOKE - ASSISTED LIVING BY AMERICARE,#1 NORTH POTOMAC CT,UNION,63084-1113,FRANKLIN,SCOTT,KALIGIAN,,,50,No,FALSE,(636) 583-2799,(636) 583-6950,6,1 NORTH  POTOMAC CT,UNION,63084-1113,"UNION COURT RESIDENTIAL, LLC",LIMITED LIABILITY COMPANY
13608,D,RCF,TURNING POINT GROUP HOME,1720 SWOPE DR,INDEPENDENCE,64057-2163,JACKSON,LORI,BYL,,,12,No,TRUE,(816) 257-1435,8162571169,3,PO BOX 260,INDEPENDENCE,64051-0693,"INDEPENDENT RESIDENTIAL SERVICES, INC",NOT FOR PROFIT CORPORATION
13636,C,RCF*,OZARK OAKS RESIDENTIAL CARE FACILITY II,3405 S SCHIFFERDECKER,JOPLIN,64804-1388,NEWTON,LADAWN,TURNER,,,30,No,TRUE,(417) 347-7760,4173477778,1,PO BOX 2526,JOPLIN,64803-2526,OZARK CENTER,NOT FOR PROFIT CORPORATION
13641,C,RCF*,PLEASANT VALLEY MANOR,213 DAVIS DR,WEST PLAINS,65775-2274,HOWELL,JALYNN,MEIDELL,,,72,No,FALSE,(417) 257-0179,(417) 256-8526,1,213 DAVIS DR,WEST PLAINS,65775-2274,"WEST VUE, INC",NOT FOR PROFIT CORPORATION
13652,A,SNF,CHAFFEE NURSING CENTER,12273 STATE HIGHWAY 77,CHAFFEE,63740-8219,SCOTT,GAIL,HEISSERER,Medicare/Medicaid,265492,71,No,FALSE,(573) 887-3615,5738876452,2,12273 STATE HIGHWAY 77,CHAFFEE,63740-8219,"CHAFFEE NURSING, LLC",LIMITED LIABILITY COMPANY
13663,N,ALF**,CEDARHURST OF TESSON HEIGHTS,12335 WEST BEND DR,SAINT LOUIS,63128-2160,SAINT LOUIS COUNTY,MARGARET,KEITH,,,79,No,FALSE,(314) 849-1366,(314) 849-2122,7,12335 WEST BEND DR,SAINT LOUIS,63128-2160,CEDARHURST OF TESSON HEIGHTS OPERATOR LLC,LIMITED LIABILITY COMPANY
13684,A,SNF,REPUBLIC NURSING & REHAB,901 EAST HIGHWAY 174,REPUBLIC,65738-1155,GREENE,JOSHUA,GROCE,Medicare/Medicaid,265326,127,Yes,FALSE,(417) 732-1822,4177321084,1,901 EAST HIGHWAY 174,REPUBLIC,65738-1155,"N & R OF CHRISTIAN REPUBLIC, LLC",LIMITED LIABILITY COMPANY
13697,D,RCF,MAGNOLIA HOUSE,204 GRAND AVE,FESTUS,63028-1842,JEFFERSON,SANDY,BUCHANAN,,,12,No,TRUE,(636) 933-0662,(636) 933-0662,2,204 GRAND AVE,FESTUS,63028-1842,"HARD KNOCKS, LLC",LIMITED LIABILITY COMPANY
13735,N,ALF**,SOUTH POINTE - ASSISTED LIVING BY AMERICARE,5125 OLD HWY 100,WASHINGTON,63090-3855,FRANKLIN,CHRISTINE,AGLER,,,72,Yes,FALSE,(636) 239-0670,(636) 239-9611,6,5125 OLD HWY 100,WASHINGTON,63090-3855,"WASHINGTON RESIDENTIAL, LLC",LIMITED LIABILITY COMPANY
13744,A,SNF,ST CLAIR NURSING CENTER,1035 PLAZA COURT NORTH,SAINT CLAIR,63077-1129,FRANKLIN,DENICE,MARSH,Medicare/Medicaid,265495,79,No,FALSE,(636) 629-2100,6366297793,6,1035 PLAZA CT NORTH,SAINT CLAIR,63077-1129,"ST CLAIR NURSING, LLC",LIMITED LIABILITY COMPANY
13765,C,RCF*,LAURIE KNOLLS,610 HIGHWAY O,LAURIE,65038-,MORGAN,KATHERINE,CARLSON,,,66,No,FALSE,(573) 374-8263,(573) 374-0603,6,PO BOX 1068,LAURIE,65038-1068,GOOD SHEPHERD NURSING HOME DISTRICT #1,NURSING HOME DISTRICT
13774,D,RCF,WATERFORD LADIES HOME,500 NW VESPER ST,BLUE SPRINGS,64014-2744,JACKSON,JENNIFER,BOYER,,,27,No,FALSE,(816) 228-6337,(816) 228-0927,3,500 NW VESPER ST,BLUE SPRINGS,64014-2744,"WATERFORD VILLAGE, LP",LIMITED PARTNERSHIP
13840,A,SNF,NIXA NURSING & REHAB,1104 NORTH MAIN ST,NIXA,65714-9316,CHRISTIAN,JAMES,LINCOLN,Medicare/Medicaid,265322,82,No,FALSE,(417) 725-1777,4177254975,1,1104 N  MAIN ST,NIXA,65714-9316,"N & R OF NIXA, LLC",LIMITED LIABILITY COMPANY
13854,C,RCF*,CEDARS OF LIBERTY HEALTH CARE CENTER,200 WEST RUTH EWING RD,LIBERTY,64068-9496,CLAY,CARL,EMERSON,,,206,No,TRUE,(816) 781-7600,8167810340,4,200 WEST RUTH EWING RD,LIBERTY,64068-9496,"CEDARS OF LIBERTY HEALTH CARE CENTER, LLC",LIMITED LIABILITY COMPANY
13887,A,SNF,COMMUNITY MANOR,783 WEBER ROAD,FARMINGTON,63640-3318,SAINT FRANCOIS,LINDA,SHUH,Medicare/Medicaid,265798,99,No,FALSE,(573) 756-8998,(573) 756-1577,2,783 WEBER RD,FARMINGTON,63640-3318,MISSOURI NURSING & REHAB LLC,LIMITED LIABILITY COMPANY
13926,A,SNF,GERALD NURSING & REHAB,533 CANAAN ROAD,GERALD,63037-2515,FRANKLIN,BRIAN,MILLER,Medicare/Medicaid,265440,60,No,FALSE,(573) 764-2135,5737642771,6,PO BOX 180,GERALD,63037-0180,"N & R OF GERALD, INC",PROFIT CORPORATION
13963,A,SNF,GARDEN VIEW CARE CENTER,700 GARDEN PATH,O'FALLON,63366-3052,SAINT CHARLES,CHARLOTTE,LITLE,Medicare/Medicaid,265321,120,Yes,FALSE,(636) 240-2840,6369780738,5,700 GARDEN PATH,O'FALLON,63366-3052,"GARDEN VIEW CARE CENTER, INC",PROFIT CORPORATION
14047,C,RCF*,"CHEROKEE RESIDENTIAL CARE ACQUISITION, LLC",3409 MISSOURI AVE,SAINT LOUIS,63118-3236,SAINT LOUIS CITY,STEPHANIE,MILITZER,,,30,No,TRUE,(314) 771-8360,(314) 771-1377,7,3409 MISSOURI AVE,SAINT LOUIS,63118-3236,"CHEROKEE RESIDENTIAL CARE ACQUISITION, LLC",LIMITED LIABILITY COMPANY
14084,N,ALF**,"BAPTIST HOME, THE",500 BAPTIST HOME LN,CHILLICOTHE,64601-3973,LIVINGSTON,SHERRI,SNIDER,,,20,No,FALSE,(660) 646-6219,6606465466,4,500 BAPTIST HOME LN,CHILLICOTHE,64601-3973,"BAPTIST HOME, THE",NOT FOR PROFIT CORPORATION
14084,B,ICF,"BAPTIST HOME, THE",500 BAPTIST HOME LN,CHILLICOTHE,64601-3973,LIVINGSTON,SHERRI,SNIDER,,,34,No,FALSE,(660) 646-6219,6606465466,4,500 BAPTIST HOME LN,CHILLICOTHE,64601-3973,"BAPTIST HOME, THE",NOT FOR PROFIT CORPORATION
14093,A,SNF,DELMAR GARDENS NORTH,4401 PARKER ROAD,BLACK JACK,63033-4266,SAINT LOUIS COUNTY,CATHERINE,BONO,Medicare/Medicaid,265325,240,Yes,FALSE,(314) 355-1516,3143559074,7,4401 PARKER ROAD,BLACK JACK,63033-4266,"DELMAR GARDENS NORTH OPERATING, LLC",LIMITED LIABILITY COMPANY
14102,A,SNF,CLARA MANOR NURSING HOME,3621 WARWICK BLVD,KANSAS CITY,64111-1403,JACKSON,MARY,PECINA,Medicaid,26A293,90,No,FALSE,(816) 756-1593,8167560904,3,3621 WARWICK BLVD,KANSAS CITY,64111-1403,"CLARA MANOR NURSING HOME, INC",PROFIT CORPORATION
14119,A,SNF,EDGEWOOD MANOR HEALTH CARE CENTER,11900 JESSICA LN,RAYTOWN,64138-2649,JACKSON,MICAH,WILLIAMS,Medicare/Medicaid,265425,66,No,FALSE,(816) 358-7858,8163531514,3,11900 JESSICA LN,RAYTOWN,64138-2649,"EDGEWOOD MANOR HEALTH CARE CENTER, LLC",LIMITED LIABILITY COMPANY
14130,A,SNF,LINN OAK REHABILITATION CENTER,196 HIGHWAY CC,LINN,65051-3500,OSAGE,LACI,TAMBKE,Medicare/Medicaid,265364,132,no,FALSE,(573) 897-0700,(573) 897-0400,6,196 HIGHWAY CC,LINN,65051-3500,GENERAL BAPTIST NURSING HOME OF LINN,NOT FOR PROFIT CORPORATION
14143,M,ALF,GASCONADE TERRACE RETIREMENT CENTER,1930 NURSING HOME RD,OWENSVILLE,65066-2844,GASCONADE,CRYSTAL,RAY,,,19,No,FALSE,(573) 437-4833,(573) 437-7416,6,PO BOX 520,OWENSVILLE,65066-0520,GASCONADE MANOR NURSING HOME DISTRICT,NURSING HOME DISTRICT
14190,C,RCF*,LIFE ENHANCEMENT VILLAGE,732 SOUTH GREGG ROAD,NIXA,65714-7419,CHRISTIAN,PATRISHA,SMITH,,,44,No,TRUE,(417) 725-6671,(417) 725-6671,1,732 SOUTH GREGG RD,NIXA,65714-7419,"LIFE ENHANCEMENT VILLAGE OF THE OZARKS, INC",PROFIT CORPORATION
14200,A,SNF,STONEBRIDGE FLORISSANT,6768 NORTH HIGHWAY 67,FLORISSANT,63034-2742,SAINT LOUIS COUNTY,ROLANDO,CARTER,Medicare/Medicaid,265365,120,No,FALSE,(314) 741-9101,3147414936,7,6768 NORTH HWY 67,FLORISSANT,63034-2742,"ELDERCARE OF THE VALLEY, INC",PROFIT CORPORATION
14251,A,SNF,"SPRING RIVER CHRISTIAN VILLAGE, INC",201 S NORTHPARK LN,JOPLIN,64801-8426,JASPER,STACEY,SMITH,Medicare/Medicaid,265617,120,No,FALSE,(417) 623-4313,4176235478,1,201 S NORTHPARK LN,JOPLIN,64801-8426,"SPRING RIVER CHRISTIAN VILLAGE, INC",NOT FOR PROFIT CORPORATION
14251,N,ALF**,"SPRING RIVER CHRISTIAN VILLAGE, INC",201 S NORTHPARK LN,JOPLIN,64801-8426,JASPER,STACEY,SMITH,,,93,Yes,FALSE,(417) 623-4313,4176235478,1,201 S NORTHPARK LN,JOPLIN,64801-8426,"SPRING RIVER CHRISTIAN VILLAGE, INC",NOT FOR PROFIT CORPORATION
14270,C,RCF*,"COUNTRY AIRE ESTATES, LLC",49303 RENSSELAER LN,HANNIBAL,63401-7356,RALLS,GREG,SANDIDGE,,,16,No,TRUE,(573) 221-5400,(573) 221-5437,5,49303 RENSSELAER LN,HANNIBAL,63401-7356,"COUNTRY AIRE ESTATES, LLC",LIMITED LIABILITY COMPANY
14296,A,SNF,"CRESTWOOD HEALTH CARE CENTER, LLC",11400 MEHL AVE,FLORISSANT,63033-7204,SAINT LOUIS COUNTY,CHIQUITA,KIMARI,Medicare/Medicaid,265823,150,No,FALSE,(314) 741-3525,(314) 741-3721,7,11400 MEHL AVE,FLORISSANT,63033-7204,"CRESTWOOD HEALTH CARE CENTER, LLC",LIMITED LIABILITY COMPANY
14309,C,RCF*,INDEPENDENCE SQUARE RESIDENTIAL CARE CENTER,1136 SOUTH MAIN ST,PERRYVILLE,63775-8802,PERRY,CASEY,ELLIS,,,20,No,FALSE,(573) 547-8600,(573) 547-3553,2,1136 S MAIN ST,PERRYVILLE,63775-8802,"INDEPENDENCE HEALTH SYSTEM, INC",NOT FOR PROFIT CORPORATION
14376,C,RCF*,MELODY HOUSE,3031 SOUTH TEN MILE DR,JEFFERSON CITY,65109-6816,COLE,STACEY,DISHMAN,,,15,No,TRUE,(573) 893-7228,(573) 893-3192,6,3031 S TEN MILE DR,JEFFERSON CITY,65109-6816,"NEW HORIZONS COMMUNITY SUPPORT SERVICES, INC",NOT FOR PROFIT CORPORATION
14409,C,RCF*,APPLEGATE RETIREMENT HOME,1204 TELEGRAPH RD,SAINT LOUIS,63125-2528,SAINT LOUIS COUNTY,MELINDA,STUBBLEFIELD,,,38,No,TRUE,(314) 631-2003,3146318738,7,1204 TELEGRAPH RD,SAINT LOUIS,63125-2528,"APPLEGATE, INC",PROFIT CORPORATION
14428,A,SNF,RIVERDELL CARE CENTER,1121  11TH ST,BOONVILLE,65233-1419,COOPER,RHONDA,FRYE,Medicare/Medicaid,265361,60,No,FALSE,(660) 882-7600,6608826184,6,1121  11TH ST,BOONVILLE,65233-1419,"BOONVILLE NO 2, INC",PROFIT CORPORATION
14436,C,RCF*,BUTTERFIELD RESIDENTIAL CARE CENTER,1120 NORTH BUTTERFIELD RD,BOLIVAR,65613-1000,POLK,TAMMIE,CALLAWAY,,,66,No,FALSE,(417) 326-5200,4177775130,1,1120 N  BUTTERFIELD RD,BOLIVAR,65613-1000,CITIZENS MEMORIAL HEALTH CARE FOUNDATION,NOT FOR PROFIT CORPORATION
14436,D,RCF,BUTTERFIELD RESIDENTIAL CARE CENTER,1120 NORTH BUTTERFIELD RD,BOLIVAR,65613-1000,POLK,TAMMIE,CALLAWAY,,,24,No,FALSE,(417) 326-5200,4177775130,1,1120 N  BUTTERFIELD RD,BOLIVAR,65613-1000,CITIZENS MEMORIAL HEALTH CARE FOUNDATION,NOT FOR PROFIT CORPORATION
14443,M,ALF,COUNTRY MEADOWS,1301 N ST JOE DR,PARK HILLS,63601-1965,SAINT FRANCOIS,KIMBERLY,BURCH,,,15,No,FALSE,(573) 431-2889,5734312822,2,1301 N ST JOE DR,PARK HILLS,63601-1965,"COUNTRY MEADOWS NURSING & REHAB, LLC",LIMITED LIABILITY COMPANY
14443,A,SNF,COUNTRY MEADOWS,1301 N ST JOE DR,PARK HILLS,63601-1965,SAINT FRANCOIS,KIMBERLY,BURCH,Medicare/Medicaid,265734,72,No,FALSE,(573) 431-2889,5734312822,2,1301 N ST JOE DR,PARK HILLS,63601-1965,"COUNTRY MEADOWS NURSING & REHAB, LLC",LIMITED LIABILITY COMPANY
14454,A,SNF,MONTICELLO HOUSE,1115 K LAND DR,JACKSON,63755-2588,CAPE GIRARDEAU,KIM,WILCOX,Medicare/Medicaid,265716,105,Yes,FALSE,(573) 243-8989,5732436836,2,PO BOX 740,JACKSON,63755-0740,"N & R OF MONTICELLO, INC",PROFIT CORPORATION
14454,C,RCF*,MONTICELLO HOUSE,1115 K LAND DR,JACKSON,63755-2588,CAPE GIRARDEAU,KIM,WILCOX,,,32,No,FALSE,(573) 243-8989,5732436836,2,PO BOX 740,JACKSON,63755-0740,"N & R OF MONTICELLO, INC",PROFIT CORPORATION
14529,A,SNF,JOHN KNOX VILLAGE CARE CENTER,600 NW PRYOR ROAD,LEE'S SUMMIT,64081-1104,JACKSON,TAMI,HOVERSTEN,Medicare/Medicaid,265095,430,Yes,FALSE,(816) 246-4343,8163472561,3,600 NW PRYOR RD,LEE'S SUMMIT,64081-1104,JOHN KNOX VILLAGE,NOT FOR PROFIT CORPORATION
14557,A,SNF,LANSDOWNE VILLAGE,4624 LANSDOWNE AVE,SAINT LOUIS,63116-1523,SAINT LOUIS CITY,DAVID,ANDREW,Medicare/Medicaid,265351,145,Yes,FALSE,(314) 351-6888,3143515825,7,4624 LANSDOWNE AVE,SAINT LOUIS,63116-1523,"LANSDOWNE HEALTHCARE, LLC",LIMITED LIABILITY COMPANY
14661,A,SNF,BROOKING PARK,307 SOUTH WOODS MILL RD,CHESTERFIELD,63017-3418,SAINT LOUIS COUNTY,RAPHAEL,UTTERBACK,Medicare,265791,97,No,FALSE,(314) 576-5545,3145761354,7,307 SOUTH WOODS MILL RD,CHESTERFIELD,63017-3418,ST ANDREW'S RESOURCES FOR SENIORS,NOT FOR PROFIT CORPORATION
14661,N,ALF**,BROOKING PARK,307 SOUTH WOODS MILL RD,CHESTERFIELD,63017-3418,SAINT LOUIS COUNTY,RAPHAEL,UTTERBACK,,,93,Yes,FALSE,(314) 576-5545,3145761354,7,307 SOUTH WOODS MILL RD,CHESTERFIELD,63017-3418,ST ANDREW'S RESOURCES FOR SENIORS,NOT FOR PROFIT CORPORATION
14694,D,RCF,DUNN-DUNN HOUSE LLC,2133 JANNETTE DR,SAINT LOUIS,63136-4020,SAINT LOUIS COUNTY,LAVERNE M,DUNN,,,10,No,TRUE,(314) 869-2431,(314) 869-7044,7,2133 JANNETTE DR,SAINT LOUIS,63136-4020,"DUNN-DUNN HOUSE, LLC",LIMITED LIABILITY COMPANY
14711,M,ALF,CHATEAU ANN MARIE,7700 MINNESOTA AVE,SAINT LOUIS,63111-3336,SAINT LOUIS CITY,CHRISTOPHER M,VANCIL,,,22,No,TRUE,(314) 449-1497,3144491614,7,7700 MINNESOTA AVE,SAINT LOUIS,63111-3336,"MISSOURI RESIDENTIAL CARE, LLC",LIMITED LIABILITY COMPANY
14817,A,SNF,BENTWOOD NURSING & REHAB,1501 CHARBONIER RD,FLORISSANT,63031-5308,SAINT LOUIS COUNTY,KELLY,BALLARD,Medicare/Medicaid,265757,116,No,FALSE,(314) 921-2700,3149218501,7,1501 CHARBONIER RD,FLORISSANT,63031-5308,"BENTWOOD HEALTHCARE, LLC",LIMITED LIABILITY COMPANY
14868,M,ALF,NEW HORIZONS RCF II,5858 BUSIEK ROAD,FARMINGTON,63640-7325,SAINT FRANCOIS,VICKY,WINICK,,,15,No,TRUE,(573) 756-2426,(573) 756-6774,2,PO BOX 510,FARMINGTON,63640-0510,"WINICK, VICKY L",SOLE PROPRIETOR
14879,C,RCF*,HILLSIDE CARE CENTER,321 NORTH SECTION,HANNIBAL,63401-3460,MARION,KEVIN D,LIONBERGER,,,44,No,TRUE,(573) 221-1439,(573) 406-1232,5,PO BOX 308,HANNIBAL,63401-0308,"HILLSIDE CARE CENTER, INC",PROFIT CORPORATION
14888,M,ALF,WATERFORD SOUTH,11515 HOLMES RD,KANSAS CITY,64131-3856,JACKSON,ROBIN,O'BRIEN,,,28,No,TRUE,(816) 942-4898,(816) 942-3278,3,11515 HOLMES RD,KANSAS CITY,64131-3856,"SUNSHINE VILLAGES, INC",PROFIT CORPORATION
14926,A,SNF,"COUNTRY VIEW NURSING FACILITY, INC",2106 WEST MAIN ST,BOWLING GREEN,63334-1049,PIKE,ADAM,MCGRAW,Medicare/Medicaid,265419,60,No,FALSE,(573) 324-2216,(573) 324-6065,5,PO BOX 330,BOWLING GREEN,63334-0330,"COUNTRY VIEW NURSING FACILITY, INC",PROFIT CORPORATION
14953,M,ALF,ROYAL OAKS RESIDENCE,507 EAST MARSHALL,SWEET SPRINGS,65351-9759,SALINE,JILL,HIERONYMUS,,,51,No,TRUE,(660) 335-6500,(660) 335-6656,5,PO BOX 204,SWEET SPRINGS,65351-0204,"HIERONYMUS, JILL",SOLE PROPRIETOR
14982,A,SNF,KATY MANOR,205 PROSPECT,PILOT GROVE,65276-1111,COOPER,CARRIE CHRISTINE,MCKINNEY,Medicare/Medicaid,265801,60,No,FALSE,(660) 834-3111,6608343113,6,PO BOX 8,PILOT GROVE,65276-0008,COOPER COUNTY NURSING HOME DISTRICT,NURSING HOME DISTRICT
15005,C,RCF*,COUNTRYSIDE ESTATES,500 NORTH OHIO,APPLETON CITY,64724-1625,SAINT CLAIR,CHARLES,CONWAY,,,24,No,FALSE,(660) 476-2128,(660) 476-5567,1,PO BOX 98,APPLETON CITY,64724-0098,"APPLETON CITY MANOR, LLC",LIMITED LIABILITY COMPANY
15039,C,RCF*,OAK TREE MANOR,3919 MESSANIE,SAINT JOSEPH,64506-3458,BUCHANAN,BRENDA S,WICKHAM,,,20,No,TRUE,(816) 233-4463,(816) 233-4463,4,PO BOX 8186,SAINT JOSEPH,64508-8186,"BLISS MANOR, INC",PROFIT CORPORATION
15045,A,SNF,GRANDVIEW HEALTHCARE CENTER,201 GRAND AVE,WASHINGTON,63090-1209,FRANKLIN,DANA,BAILEY,Medicare/Medicaid,265374,102,No,FALSE,(636) 239-9190,6362395168,6,201 GRAND AVE,WASHINGTON,63090-1209,"WASHINGTON N & R, LLC",LIMITED LIABILITY COMPANY
15052,D,RCF,"COUNTRYSIDE HOME, LLC",24499 PARK DR,LEBANON,65536-5843,LACLEDE,REBECCA,CAMPBELL,,,20,No,TRUE,(417) 532-7418,(417) 532-9359,1,24499 PARK DR,LEBANON,65536-5843,"COUNTRYSIDE HOME, LLC",LIMITED LIABILITY COMPANY
15078,D,RCF,SYLVAN HOUSE,30 SHERMAN RD,SAINT LOUIS,63125-4125,SAINT LOUIS COUNTY,SHARON,MARBERRY,,,40,No,TRUE,(314) 892-2212,(314) 892-7643,7,30 SHERMAN RD,SAINT LOUIS,63125-4125,"LEA-ED, INC",PROFIT CORPORATION
15101,A,SNF,PLEASANT HILL HEALTH AND REHABILITATION CENTER,1300 BROADWAY,PLEASANT HILL,64080-1842,CASS,JOSHALYNN,VASSAR,Medicare/Medicaid,265565,90,Yes,FALSE,(816) 540-2116,8165402543,3,1300 BROADWAY,PLEASANT HILL,64080-1842,"NORTHPORT HEALTH SERVICES OF MISSOURI, LLC",LIMITED LIABILITY COMPANY
15140,D,RCF,FARMINGTON MANOR,2879 US HIGHWAY 67,FARMINGTON,63640-9168,SAINT FRANCOIS,PAMELA D,KING,,,50,No,TRUE,(573) 756-7566,(573) 756-7601,2,2879 US HWY 67,FARMINGTON,63640-9168,"RYDAN ENTERPRISES, LLC",LIMITED LIABILITY COMPANY
15140,M,ALF,FARMINGTON MANOR,2879 US HIGHWAY 67,FARMINGTON,63640-9168,SAINT FRANCOIS,PAMELA D,KING,,,20,No,TRUE,(573) 756-7566,(573) 756-7601,2,2879 US HWY 67,FARMINGTON,63640-9168,"RYDAN ENTERPRISES, LLC",LIMITED LIABILITY COMPANY
15163,D,RCF,HARTLAND RESIDENTIAL CARE CENTER,23435 LADDER DR,MARSHALL,65340-4662,SALINE,CYNTHIA,FARRIS,,,12,No,FALSE,(660) 886-7093,(660) 886-7094,5,23435 LADDER DR,MARSHALL,65340-4662,"FARRIS CORPORATION, THE",PROFIT CORPORATION
15226,A,SNF,BETHESDA MEADOW,322 OLD STATE ROAD,ELLISVILLE,63021-5917,SAINT LOUIS COUNTY,WADE,HACHMAN,Medicare/Medicaid,265766,210,Yes,FALSE,(636) 227-3431,6363945037,7,322 OLD STATE ROAD,ELLISVILLE,63021-5917,"BETHESDA LONG TERM CARE, INC",NOT FOR PROFIT CORPORATION
15243,A,SNF,WARSAW HEALTH AND REHABILITATION CENTER,1609 SUNCHASE DR,WARSAW,65355-3059,BENTON,JENNIFER,LEDOM,Medicare/Medicaid,265566,90,Yes,FALSE,(660) 438-2970,6604386327,6,1609 SUNCHASE DR,WARSAW,65355-3059,"NORTHPORT HEALTH SERVICES OF MISSOURI, LLC",LIMITED LIABILITY COMPANY
15258,A,SNF,BLUE CIRCLE REHAB AND NURSING,2939 MAGAZINE STREET,SAINT LOUIS,63106-1245,SAINT LOUIS CITY,ROCHELLE,THURMOND,Medicare/Medicaid,265817,90,No,FALSE,(314) 531-0500,3145315455,7,2939 MAGAZINE STREET,SAINT LOUIS,63106-1245,BLUE CIRCLE REHAB AND NURSING LLC,LIMITED LIABILITY COMPANY
15265,A,SNF,"ESTATES OF SPANISH LAKE, THE",610 PRIGGE ROAD,SAINT LOUIS,63138-3543,SAINT LOUIS COUNTY,AMBER,DRAKE,Medicare/Medicaid,265776,150,No,FALSE,(314) 741-9393,(314) 741-2810,7,610 PRIGGE RD,SAINT LOUIS,63138-3543,"THE ESTATES OF SPANISH LAKE, LLC",LIMITED LIABILITY COMPANY
15295,C,RCF*,"CEDAR RIDGE CARE CENTER, LLC",71 SYCAMORE,CASSVILLE,65625-1755,BARRY,JESSICA L,BAUGUS,,,30,No,TRUE,(417) 847-5546,4178478826,1,PO BOX 633,CASSVILLE,65625-0633,"CEDAR RIDGE CARE CENTER, LLC",LIMITED LIABILITY COMPANY
15309,C,RCF*,LAKESHORES RESIDENTIAL CARE FACILITY,102 SOUTH BOLIVAR RD,HUMANSVILLE,65674-8553,POLK,SANDRA,RUTHERFORD,,,30,No,TRUE,(417) 754-2272,(417) 754-8684,1,PO BOX 221,HUMANSVILLE,65674-0221,APPLEWOOD LANE CORPORATION,PROFIT CORPORATION
15342,N,ALF**,CAREGIVERS INN,1297 FEISE RD,DARDENNE PRAIRIE,63368-6710,SAINT CHARLES,TERESA,LOVELESS,,,30,Yes,FALSE,(636) 240-7979,6362723947,5,1297 FEISE RD,DARDENNE PRAIRIE,63368-6710,RNK CORPORATION,PROFIT CORPORATION
15380,N,ALF**,"GOLDEN OAKS, LLC",27882 HIGHWAY H,MARSHALL,65340-5303,SALINE,KAYLA,KIMBROUGH,,,67,No,FALSE,(660) 886-6172,(660) 886-7599,5,27882 HIGHWAY H,MARSHALL,65340-5303,"GOLDEN OAKS, LLC",LIMITED LIABILITY COMPANY
15415,C,RCF*,OASIS RESIDENTIAL CARE FACILITY,3508 PRAIRIE AVE,SAINT LOUIS,63107-2214,SAINT LOUIS CITY,LUTELIA,ST CLAIR,,,20,No,TRUE,(314) 534-3355,(573) 534-1434,7,3508 PRAIRIE AVE,SAINT LOUIS,63107-2214,"OASIS RESIDENTIAL CARE, INC",PROFIT CORPORATION
15436,N,ALF**,ASCENSION LIVING SHERBROOKE VILLAGE,4005 RIPA AVE,SAINT LOUIS,63125-2378,SAINT LOUIS COUNTY,C MICHAEL,ROTH,,,88,No,FALSE,(314) 544-1111,3145445134,7,4005 RIPA AVE,SAINT LOUIS,63125-2378,ALEXIAN BROTHERS SHERBROOKE VILLAGE,NOT FOR PROFIT CORPORATION
15436,A,SNF,ASCENSION LIVING SHERBROOKE VILLAGE,4005 RIPA AVE,SAINT LOUIS,63125-2378,SAINT LOUIS COUNTY,C MICHAEL,ROTH,Medicare/Medicaid,265417,167,Yes,FALSE,(314) 544-1111,3145445134,7,4005 RIPA AVE,SAINT LOUIS,63125-2378,ALEXIAN BROTHERS SHERBROOKE VILLAGE,NOT FOR PROFIT CORPORATION
15454,A,SNF,U-CITY FOREST MANOR,1301 PARTRIDGE AVE,SAINT LOUIS,63130-1944,SAINT LOUIS COUNTY,ANTOINE,WILEY,Medicare/Medicaid,265736,120,No,FALSE,(314) 862-5556,(314) 862-2951,7,1301 PARTRIDGE AVE,SAINT LOUIS,63130-1944,UFM OPERATIONS LLC,LIMITED LIABILITY COMPANY
15467,A,SNF,SURREY PLACE ST LUKE'S HOSPITAL SKILLED NURSING,14701 OLIVE BLVD,CHESTERFIELD,63017-2221,SAINT LOUIS COUNTY,SUSAN,FRANKLIN,Medicare/Medicaid,265414,130,Yes,FALSE,(314) 542-3300,3145425453,7,14701 OLIVE BLVD,CHESTERFIELD,63017-2221,ST LUKE'S EPISCOPAL-PRESBYTERIAN HOSPITALS,NOT FOR PROFIT CORPORATION
15510,A,SNF,DIXON NURSING & REHAB,403 EAST 10TH ST,DIXON,65459-6049,PULASKI,PHILIP,ADELSBERGER,Medicare/Medicaid,265418,60,No,FALSE,(573) 759-2135,5737592600,6,403 EAST 10TH ST,DIXON,65459-6049,"N & R OF DIXON, LLC",LIMITED LIABILITY COMPANY
