State Facility Type 1 Literal,Facility ID,Facility Name,Licensee,Email Address,Phone Number,Address,City,State,Zip Code,County,Capacity,Date Accessed
RESIDENTIAL CARE ELDERLY,331800100,Generous Homecare,MARIE ANTONETTE LIBED,genieh929@aol.com,(951) 467-0366,31963 GOLDEN WILLOW COURT,Winchester,CA,92596,Riverside,6,7/13/21
RESIDENTIAL CARE ELDERLY,336425652,Generous Homecare,MARIE ANTONETTE LIBED,marielibed@yahoo.com,(619) 398-6785,31729 BOTTLE BRUSH ST.,Winchester,CA,92596,Riverside,6,7/13/21
RESIDENTIAL CARE ELDERLY,197602851,Genesee Villa,"WEST LA SUPPORT SERVICES, INC.",onet_garcia@yahoo.com,(323) 935-2244,1441 GENESEE,Los Angeles,CA,90019,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,496803568,Genesis,"MENDOZA, ALMIE",genesisrcfe@comcast.net,(707) 559-5782,1004 SOUTH MCDOWELL BLVD.,Petaluma,CA,94954,Sonoma,6,7/13/21
RESIDENTIAL CARE ELDERLY,306003936,Genesis Elderly Care,"K.G. RAMIS, INC.",genesiselderlycare@gmail.com,(714) 771-4114,5129 ELSINORE,Orange,CA,92869,Orange,6,7/13/21
RESIDENTIAL CARE ELDERLY,306004653,Genesis Elderly Care Ii,"K.G. RAMIS, INC.",robertocamarena95@yahoo.com,(714) 989-3538,1184 NORTH LINDA VISTA,Orange,CA,92869,Orange,6,7/13/21
RESIDENTIAL CARE ELDERLY,366402896,Genesis Manor,"MARKIE, GERRY A.",genesismanor@aol.com,(909) 262-9802,6354 SACRAMENTO AVE,Alta Loma,CA,91701,San Bernardino,6,7/13/21
RESIDENTIAL CARE ELDERLY,197803648,Genesis Manor Ii,GERRY A. MARKIE,genesismanor@aol.com,(909) 262-9802,2123 AQUINAS AVE.,Claremont,CA,91711,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,198204544,Genesis Manor Iv,GENESIS HEALTH CARE INC.,genesismanor@aol.com,(909) 596-8903,1691 GENESSE AVENUE,La Verne,CA,91750,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,197607290,Genesis Manor V,"GENESIS HEALTH CARE, INC.",genesismanor@aol.com,(909) 262-9802,550 BETHANY CIRCLE,Claremont,CA,91711,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,366424424,Genesis Manor Vi,"GENESIS HEALTH CARE, INC.",genesismanor@aol.com,(909) 262-9802,6936 AMETHYST AVENUE,Alta Loma,CA,91701,San Bernardino,6,7/13/21
RESIDENTIAL CARE ELDERLY,306005629,Genesis Senior Living I,PLEASANT HAVEN HOME CARE LLC,genesisseniorliving@gmail.com,(714) 771-4173,824 S WINTHROPE STREET,Orange,CA,92869,Orange,6,7/13/21
RESIDENTIAL CARE ELDERLY,306005646,Genesis Senior Living Ii,PLEASANT HAVEN HOME CARE LLC,genesisseniorliving@gmail.com,(657) 210-4454,129 MOUNTAIN VIEW DRIVE,Tustin,CA,92780,Orange,6,7/13/21
RESIDENTIAL CARE ELDERLY,107209044,Genialcare,GENIALCARE LLC,limpi@sbcglobal.net,(209) 572-5157,2374 LAS ROSAS AVE,Clovis,CA,93619,Fresno,6,7/13/21
RESIDENTIAL CARE ELDERLY,547209017,Genialcare,GENIALCARE LLC,,(209) 572-5157,2374 LAS ROSAS AVE,Clovis,CA,93619,Tulare,6,7/13/21
RESIDENTIAL CARE ELDERLY,306001367,Gentle Care Home,"GENTLE CARE HOME, INC.",emy.garrovillas@yahoo.com,(714) 289-1260,416 S. JENNIFER LANE,Orange,CA,92869,Orange,6,7/13/21
RESIDENTIAL CARE ELDERLY,306005838,Gentle Caring Home,"NURSES CORP. OF AMERICA, A HOME HEALTH AGENCY",gentlecaringhome@gmail.com,(949) 874-4426,26762 CARLOTA DR.,Mission Viejo,CA,92691,Orange,6,7/13/21
RESIDENTIAL CARE ELDERLY,306005496,Gentle Senior Care,HARMONY CARE CORPORATION,pricillamirabueno@gmail.com,(213) 446-1695,4193 TERESA AVE,Cypress,CA,90630,Orange,6,7/13/21
RESIDENTIAL CARE ELDERLY,415600966,George Anne Home,"GONG, PETER",georgeannehome@gmail.com,(650) 931-4741,849 N DELAWARE STREET,San Mateo,CA,94401,San Mateo,6,7/13/21
RESIDENTIAL CARE ELDERLY,500305863,Georgia'S Guest Home,"WILCOMB, GEORGIA RAYE",grwilcomb@gmail.com,(209) 529-7872,102 SOUTH G STREET,Empire,CA,95319,Stanislaus,15,7/13/21
RESIDENTIAL CARE ELDERLY,374602689,Georgina Board And Care #2,"TORRES, RAYMOND E. & ANGELICA B.",georginabandc@gmail.com,(619) 913-6290,514 2ND AVENUE,Chula Vista,CA,91910,San Diego,6,7/13/21
RESIDENTIAL CARE ELDERLY,374602957,Georgina Board & Care,"TORRES, RONNIE ERMITANO",georginabandc@gmail.com,(619) 422-5807,77 E GEORGINA ST,Chula Vista,CA,91910,San Diego,6,7/13/21
RESIDENTIAL CARE ELDERLY,336426351,Gerada Home Care,"GERADA HOME CARE I, INC.",geradahomecare@msn.com,(760) 324-6895,30775 AVENIDA DEL PADRE,Cathedral City,CA,92234,Riverside,6,7/13/21
RESIDENTIAL CARE ELDERLY,107206609,Gettysburg Christian Home,"DYER, ELIZABETH & DAVIS, KAREN",gettysburg4844@sbcglobal.net,(559) 294-9080,4844 E. GETTYSBURG,Fresno,CA,93726,Fresno,18,7/13/21
RESIDENTIAL CARE ELDERLY,197606498,Geyser Home,"GEYSER HOME, INC.",edith.tagum@geyserhome.com,(818) 718-0597,9539 GEYSER AVENUE,Northridge,CA,91324,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,198602633,Giana'S Home #1,GIANA LLC,francis.e.mejia@gmail.com,(909) 534-0132,4263 LA JUNTA DRIVE,Claremont,CA,91711,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,198602634,Giana'S Home #2,GIANA LLC,francis.e.mejia@gmail.com,(919) 534-0132,665 MT CARMEL DRIVE,Claremont,CA,91711,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,107202381,Gift Of Grace Care Home,"AISLINN, LLC",pambilewis@ymail.com,(559) 284-8857,1480 W. SAN MADELE AVENUE,Fresno,CA,93711,Fresno,6,7/13/21
RESIDENTIAL CARE ELDERLY,15601502,Gigi'S Guest Home Ii,"G-SAR ENTERPRISE, LLC",gigiguesthome@yahoo.com,(925) 292-7745,1029 MADISON AVENUE,Livermore,CA,94550,Alameda,6,7/13/21
RESIDENTIAL CARE ELDERLY,306005968,Gilbert House Of Joy,DAHLIA LLC,klamusa45@gmail.com,(714) 725-0608,115 S. GILBERT STREET,Anaheim,CA,92804,Orange,6,7/13/21
RESIDENTIAL CARE ELDERLY,79200758,Gill Port Care Home,A1 HEALTH CARE INC,seemadi@yahoo.com,(510) 825-2383,2069 GILL PORT LANE,Walnut Creek,CA,94598,Contra Costa,6,7/13/21
RESIDENTIAL CARE ELDERLY,525002806,Gilmore Place,"SAIL HOUSE INC, THE",chris@sailhouse.org,(530) 727-9293,70 GILMORE ROAD,Red Bluff,CA,96080,Tehama,22,7/13/21
RESIDENTIAL CARE ELDERLY,435200924,Gilroy Elderly Care Home,"CLARK, DINA & DAVID",dina_clark@yahoo.com,(408) 847-4645,415 LONDON DRIVE,Gilroy,CA,95020,Santa Clara,6,7/13/21
RESIDENTIAL CARE ELDERLY,347000440,Gina'S Home Care,"POP, VIRGINIA & GEORGE",george_gina_81@yahoo.com,(916) 944-8163,3734 HOLLISTER AVE.,Carmichael,CA,95608,Sacramento,6,7/13/21
RESIDENTIAL CARE ELDERLY,75601041,Gines Residential Care Home Iii,"GINES, ISIDRO G. & ERLINDA R.",lindagines@outlook.com,(925) 743-1146,2565 STONE VALLEY ROAD,Alamo,CA,94507,Contra Costa,6,7/13/21
RESIDENTIAL CARE ELDERLY,41373047,Giselle'S Care Home #1,"MEMORACION, ELIZABETH & EFREN",gast24.chico@yahoo.com,(530) 893-1716,1156 MANZANITA AVENUE,Chico,CA,95926,Butte,6,7/13/21
RESIDENTIAL CARE ELDERLY,41373048,Giselle'S Care Home #2,"MEMORACION, ELIZABETH & EFREN",gast24.chico@yahoo.com,(530) 893-8078,2140 CERES AVENUE,Chico,CA,95926,Butte,6,7/13/21
RESIDENTIAL CARE ELDERLY,317000780,Gladding Ridge,"GLADDING RIDGE, INC",mnichols@platinumseniorliving.com,(916) 645-0106,1660 THIRD STREET,Lincoln,CA,95648,Placer,99,7/13/21
RESIDENTIAL CARE ELDERLY,331880734,Gladwell Rancho Mirage,"AOC CA OPCO GP PTR,GP OF AOC RANCHO MIRAGE; ATRIA",diane.morris@atriaseniorliving.com,(760) 770-7737,34560 BOB HOPE DRIVE,Rancho Mirage,CA,92270,Riverside,142,7/13/21
RESIDENTIAL CARE ELDERLY,347001619,Glen Creek Villa Ii-Res. Care Fac. For The Elderly,"OSANU, FLORINEL",florinelosanu@gmail.com,(916) 988-8285,8510 ELM AVENUE,Orangevale,CA,95662,Sacramento,6,7/13/21
RESIDENTIAL CARE ELDERLY,197608505,Glen Park At Glendale - Boynton St,GLEN PARK AT GLENDALE - BOYNTON ST,glenpark12@aol.com,(818) 246-9000,1250 BOYNTON ST,Glendale,CA,91205,Los Angeles,98,7/13/21
RESIDENTIAL CARE ELDERLY,197608506,Glen Park At Glendale - Mariposa St,GLEN PARK AT GLENDALE - MARIPOSA ST,marinapink@glenparkhealthyliving.com,(818) 242-9000,1220 S MARIPOSA ST,Glendale,CA,91205,Los Angeles,120,7/13/21
RESIDENTIAL CARE ELDERLY,198602134,Glen Park At Long Beach,GLEN PARK AT LONG BEACH INC,marinapink@glenpark.com,(562) 432-7468,1046 E 4TH ST,Long Beach,CA,90802,Los Angeles,208,7/13/21
RESIDENTIAL CARE ELDERLY,197802560,Glen Park At Monrovia,GLEN PARK AT MONROVIA,pamelaogot@glenparkhealthyliving.com,(626) 357-6818,110 N MOUNTAIN AVE,Monrovia,CA,91016,Los Angeles,49,7/13/21
RESIDENTIAL CARE ELDERLY,195850200,Glen Park At Ojai,GLEN PARK AT OJAI,,(818) 242-9000,225 N LOMITA AVE,Ojai,CA,93023,Los Angeles,49,7/13/21
RESIDENTIAL CARE ELDERLY,197603165,Glen Park At Valley Village,GLEN PARK AT VALLEY VILLAGE,tillmanpink@yahoo.com,(818) 769-6626,5527 LAUREL CANYON BLVD,Valley Village,CA,91607,Los Angeles,100,7/13/21
RESIDENTIAL CARE ELDERLY,197609005,Glen Terra Assisted Living,"ALF MANAGEMENT GROUP, INC.",oanush@yahoo.com,(818) 291-1918,917 N LOUISE STREET,Glendale,CA,91207,Los Angeles,155,7/13/21
RESIDENTIAL CARE ELDERLY,374601560,Glenbrook Assisted Living,GLENBROOK HC LLC/LIFE SERVICES LLC,harnesss@visitglenbrook.com,(760) 704-6800,1950 CALLE BARCELONA,Carlsbad,CA,92009,San Diego,95,7/13/21
RESIDENTIAL CARE ELDERLY,197608549,Glendale Carehome,"SHAHOMES, INC., THE",nursestouch7@gmail.com,(818) 640-2912,714 MILFORD STREET,Glendale,CA,91203,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,197609007,Glendale Garden Care Home,GLENDALE GARDEN CARE HOME INC,irene.deanon@hotmail.com,(818) 640-2912,405 CHESTER STREET,Glendale,CA,91203,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,197607333,Glendale Golden Years Home,"TRILLANA, AURELIO S. & MARIA TIOPIANCO",glenterra@yahoo.com,(818) 551-9421,1502 LYNGLEN DR.,Glendale,CA,91206,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,306003706,Glenwood Care,"VILLAGRAN, EDVIN",doravillagran@att.net,(714) 626-0796,2001 EAST GLENWOOD,Fullerton,CA,92831,Orange,6,7/13/21
RESIDENTIAL CARE ELDERLY,312700548,Glenwood Garden Manor,ACM HOMES LLC,angelina_crudo@yahoo.com,(916) 740-2248,176 GLENWOOD CIRCLE,Roseville,CA,95678,Placer,6,7/13/21
RESIDENTIAL CARE ELDERLY,306000470,Glo-Rilynn Guest Home,"WALLACE, JAMES",mgnrrr@yahoo.com,(714) 637-6754,2143 E. ALTURA,Orange,CA,92867,Orange,6,7/13/21
RESIDENTIAL CARE ELDERLY,198603453,Global Bm Eunice Bodak,"GLOBAL BM ; BODAK, EUNICE JENNY",gbm@gbmission.com,(310) 780-7697,3786 CRAWFORD ST,Los Angeles,CA,90011,Los Angeles,4,7/13/21
RESIDENTIAL CARE ELDERLY,198205203,Global Elderly Care Facility Inc.,"GLOBAL GROUP OF COMPANIES, INC.",pvmanor888@gmail.com,(424) 250-9710,2009 253RD PL.,Lomita,CA,90717,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,577000960,Gloria'S Country Care,"GARCIA, GLORIA",jose@gccacres.com,(530) 668-8444,34606 HIGHWAY 16,Woodland,CA,95695,Yolo,23,7/13/21
RESIDENTIAL CARE ELDERLY,374602662,Gloria'S Garden,"TUNCO, EVELYN",gloriasgarden@ymail.com,(760) 536-9238,1777 PINNACLE COURT,Vista,CA,92081,San Diego,5,7/13/21
RESIDENTIAL CARE ELDERLY,306002817,Glorious Home #2,"GLORIOUS HOMES, INC.",sanchez_pris@yahoo.com,(949) 916-2079,24672 ARGUS DRIVE,Mission Viejo,CA,92691,Orange,6,7/13/21
RESIDENTIAL CARE ELDERLY,306002818,Glorious Home #3,"GLORIOUS HOMES, INC.",glorioushomesinc.123@gmail.com,(949) 581-1039,24726 ARGUS DRIVE,Mission Viejo,CA,92691,Orange,6,7/13/21
RESIDENTIAL CARE ELDERLY,347004679,Glorious Homes #1,"GLORIOUS CAREHOMES, INC.",1mykeoff@gmail.com,(916) 242-0735,6901 FRANELA WAY,Citrus Heights,CA,95621,Sacramento,6,7/13/21
RESIDENTIAL CARE ELDERLY,547208849,Glory Days Assisted Living Inc,"GLORY DAYS ASSISTED LIVING, INC.",melinda.glorydays@gmail.com,(559) 625-1452,1303 S. PINKAM ST,Visalia,CA,93292,Tulare,10,7/13/21
RESIDENTIAL CARE ELDERLY,361880762,Glory Homes,"GLORY HOMES, INC",gloryhomes.elderlycare@gmail.com,(760) 867-3267,15045 BRUCITE ROAD,Victorville,CA,92394,San Bernardino,6,7/13/21
RESIDENTIAL CARE ELDERLY,11440602,Gm Residential Care Home,"CHILIN, GRICELDA G.",gchilin1@yahoo.com,(510) 226-0102,4924 OMAR STREET,Fremont,CA,94538,Alameda,6,7/13/21
RESIDENTIAL CARE ELDERLY,315001818,Gold Age Villa,"OSELSKY, RAISA",goldagevilla@gmail.com,(916) 652-0348,8100 HORSESHOE BAR ROAD,Loomis,CA,95650,Placer,6,7/13/21
RESIDENTIAL CARE ELDERLY,374603212,Gold Canyon Care Home,"STOLZ, ARMIN",stolzatgoldcanyon@yahoo.com,(858) 836-1111,6461 QUILLAN STREET,San Diego,CA,92111,San Diego,6,7/13/21
RESIDENTIAL CARE ELDERLY,486803678,Gold Coast Care Home,RADIANT MEADOWS HOME CARE,nlomboy721@gmail.com,(707) 631-8946,443 OLD RIVER DRIVE,Vallejo,CA,94589,Solano,6,7/13/21
RESIDENTIAL CARE ELDERLY,90317665,Gold Country Health Center,GOLD COUNTRY HEALTH CENTER,sandy.haskins@rhf.org,(530) 621-1100,4301 GOLDEN CENTER DR.,Placerville,CA,95667,El Dorado,46,7/13/21
RESIDENTIAL CARE ELDERLY,342701058,"Gold Home 2, The",GOLD HOME ELDER CARE INC,thegoldhome916@gmail.com,(916) 223-9394,5944 ALMOND AVE.,Orangevale,CA,95662,Sacramento,6,7/13/21
RESIDENTIAL CARE ELDERLY,340317657,"Gold Home, The","MARIUT, GINA & PETER",pgmariut@hotmail.com,(916) 987-7368,6029 DAHBOY WAY,Orangevale,CA,95662,Sacramento,6,7/13/21
RESIDENTIAL CARE ELDERLY,331800119,Gold Living Home Care,"GOLD LIVING HOME CARE,LLC",gary.candidato@sbcglobal.net,(951) 689-6471,10233 BONITA AVENUE,Riverside,CA,92503,Riverside,6,7/13/21
RESIDENTIAL CARE ELDERLY,198603355,Gold Medal Estates,GOLD MEDAL SENIOR LIVING ESTATES,tcsantos27@yahoo.com,(714) 488-7542,4010 GAREY AVE,Claremont,CA,91711,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,37001001,Gold Quartz Inn Retirement Home,AMADOR RESIDENTIAL PARTNERS INC.,rregan@assistcare.com,(209) 267-9155,15 BRYSON DRIVE,Sutter Creek,CA,95685,Amador,47,7/13/21
RESIDENTIAL CARE ELDERLY,315001992,Gold River Home Care,"KURTZ, DIANA",gold.river08@yahoo.com,(916) 663-1322,2235 NAVAS LANE,Newcastle,CA,95658,Placer,6,7/13/21
RESIDENTIAL CARE ELDERLY,390317215,Golden Acres Home And Care,"TEANO-CHUA, MARAVIC",goldenacreshomes@gmail.com,(209) 838-3405,1101 CALIFORNIA STREET,Escalon,CA,95320,San Joaquin,26,7/13/21
RESIDENTIAL CARE ELDERLY,565801076,Golden Acres Rcfe,JA PROGRESSIVE VENTURES INC.,golden_acres2@yahoo.com,(805) 577-6936,6437 KEYSTONE STREET,Simi Valley,CA,93063,Ventura,4,7/13/21
RESIDENTIAL CARE ELDERLY,565801327,Golden Acres Rcfe Ii,JA PROGRESSIVE VENTURES INC.,golden_acres2@yahoo.com,(805) 813-6411,1673 WILLOWBROOK LANE,Simi Valley,CA,93063,Ventura,5,7/13/21
RESIDENTIAL CARE ELDERLY,507001187,Golden Age,"PLACINTAR, MARINELA",goldenagemodesto@gmail.com,(209) 491-0674,3521 EFFINGHAM LANE,Modesto,CA,95357,Stanislaus,6,7/13/21
RESIDENTIAL CARE ELDERLY,502700820,Golden Age 10,"PLACINTAR, MARINELA",goldenagemodesto@gmail.com,(209) 495-2504,3213 INVERNESS ST.,Modesto,CA,95355,Stanislaus,6,7/13/21
RESIDENTIAL CARE ELDERLY,502700437,Golden Age 9,"PLACINTAR, MARINELA",goldenagemodesto@gmail.com,(209) 495-2504,4121 ACCLAIM CT,Modesto,CA,95356,Stanislaus,6,7/13/21
RESIDENTIAL CARE ELDERLY,197609953,Golden Age Assisted Living,"SSVM, INC.",goldenageal@gmail.com,(818) 433-4432,11749 WELBY WAY,North Hollywood,CA,91606,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,15600746,Golden Age Bayside Ii,"GOLDEN AGE BAYSIDE ASSISTED LIVING, INC.",mariceltinio@gmail.com,(510) 523-4105,117 NOTTINGHAM DRIVE,Alameda,CA,94502,Alameda,6,7/13/21
RESIDENTIAL CARE ELDERLY,79201019,Golden Age Care Home,JINGPA INC,ngaishew@yahoo.com,(415) 368-9477,1200 MCEWING CT,Concord,CA,94521,Contra Costa,6,7/13/21
RESIDENTIAL CARE ELDERLY,486802007,Golden Age Care Home,"YBALLA, ELISA",elisayballa@sbcglobal.net,(707) 297-6664,539 HASTINGS DRIVE,Benicia,CA,94510,Solano,5,7/13/21
RESIDENTIAL CARE ELDERLY,347003990,Golden Age Care Home,"GOLDEN AGE CARE HOME, LLC",pinzariuelena@yahoo.com,(916) 967-3248,6323 PERRIN WAY,Carmichael,CA,95608,Sacramento,6,7/13/21
RESIDENTIAL CARE ELDERLY,502700162,Golden Age Home Care Viii,"PLACINTAR, MARINELA",bplacintar@gmail.com,(209) 495-2504,3013 QUEENS GATE COURT,Modesto,CA,95355,Stanislaus,6,7/13/21
RESIDENTIAL CARE ELDERLY,507002688,Golden Age Ii,"PLACINTAR, MARINELA",goldenagemodesto@gmail.com,(209) 495-2504,3112 IRON GATE DRIVE,Modesto,CA,95355,Stanislaus,6,7/13/21
RESIDENTIAL CARE ELDERLY,507004123,Golden Age Iii,"PLACINTAR, MARINELA",goldenagemodesto@gmail.com,(209) 408-0428,3101 IRON GATE DR.,Modesto,CA,95355,Stanislaus,6,7/13/21
RESIDENTIAL CARE ELDERLY,415600471,Golden Age Inc.,"GOLDEN AGE, INC",goldenagecare@comcast.net,(650) 877-8258,624 CYPRESS AVENUE,Millbrae,CA,94030,San Mateo,6,7/13/21
RESIDENTIAL CARE ELDERLY,507004860,Golden Age Iv,"PLACINTAR, MARINELA",goldenagemodesto@gmail.com,(209) 495-2504,3109 IRON GATE DR.,Modesto,CA,95355,Stanislaus,6,7/13/21
RESIDENTIAL CARE ELDERLY,342700720,Golden Age Living,GOLDEN AGE LIVING LLC,goldenagelivingllc@gmail.com,(208) 866-7968,3375 LA CADENA WAY,Sacramento,CA,95835,Sacramento,6,7/13/21
RESIDENTIAL CARE ELDERLY,502700030,Golden Age Living,"JACOPETTI, JOSHUA",thegoldenageliving@gmail.com,(925) 918-3998,305 CINNAMON TEAL WAY,Newman,CA,95360,Stanislaus,6,7/13/21
RESIDENTIAL CARE ELDERLY,502700616,Golden Age Living Turlock,"JACOPETTI, JOSHUA & RAMOS, KELSY",thegoldenageliving@gmail.com,(209) 417-2742,1259 JOETT DRIVE,Turlock,CA,95380,Stanislaus,6,7/13/21
RESIDENTIAL CARE ELDERLY,502701081,Golden Age Living Turlock 2,GOLDEN AGE LIVING TURLOCK 2 LLC,thegoldenagekiving@gmail.com,(925) 918-3998,501 N. THOR STREET,Turlock,CA,95380,Stanislaus,6,7/13/21
RESIDENTIAL CARE ELDERLY,15601081,Golden Age Of Sweet Road,"GOLDEN AGE BAYSIDE ASSISTED LIVING, INC.",mariceltinio@gmail.com,(510) 864-4277,201 SWEET ROAD,Alameda,CA,94502,Alameda,8,7/13/21
RESIDENTIAL CARE ELDERLY,15601436,Golden Age Retirement,"GOLDEN AGE RETIREMENT, LLC",brondy111@aol.com,(510) 585-6652,38551 JONES WAY,Fremont,CA,94536,Alameda,6,7/13/21
RESIDENTIAL CARE ELDERLY,306005848,Golden Age Senior Homes,"MICO, RICO G.",ricomicogochango@gmail.com,(562) 338-4099,24982 WILKES PLACE,Laguna Hills,CA,92653,Orange,6,7/13/21
RESIDENTIAL CARE ELDERLY,507005174,Golden Age V,OANCEA TRAIAN,goldenagemodesto@gmail.com,(209) 495-2504,3301 SHARON AVENUE,Modesto,CA,95355,Stanislaus,6,7/13/21
RESIDENTIAL CARE ELDERLY,507005492,Golden Age Vi,MARINELA PLACINTAR,goldenagemodesto@gmail.com,(209) 495-2504,2008 DAMASK COURT,Modesto,CA,95355,Stanislaus,6,7/13/21
RESIDENTIAL CARE ELDERLY,507206765,Golden Age Vii,"PLACINTAR, MARINELA",goldenagemodesto@gmail.com,(209) 495-2504,1709 MABLE AVE,Modesto,CA,95355,Stanislaus,6,7/13/21
RESIDENTIAL CARE ELDERLY,430708303,Golden Agers Home,"SORIANO, ALEGRIA & MARS",smartmarss@yahoo.com,(408) 286-6277,1887 KILCHOAN WAY,San Jose,CA,95122,Santa Clara,6,7/13/21
RESIDENTIAL CARE ELDERLY,374604201,Golden Ages,"BANG NETWORK, INC, THE",melody@newworldvillas.com,(858) 232-0854,15020 AMSO ST,Poway,CA,92064,San Diego,6,7/13/21
RESIDENTIAL CARE ELDERLY,361880635,Golden Ages Senior Care,H & Y ELDERLY CARE CO,kathyzhg17@gmail.com,(626) 636-7221,1371 N VALLEJO WAY,Upland,CA,91786,San Bernardino,6,7/13/21
RESIDENTIAL CARE ELDERLY,306003459,Golden Angel Of La Habra,AJL GUEST HOME,nspanis@yahoo.com,(562) 694-0741,1141 CHERI DRIVE,La Habra,CA,90631,Orange,6,7/13/21
RESIDENTIAL CARE ELDERLY,306003764,Golden Angel Of La Habra Ii,AJL GUEST HOME,nspanis@yahoo.com,(714) 449-9819,1250 VIVIWOOD PLACE,La Habra,CA,90631,Orange,6,7/13/21
RESIDENTIAL CARE ELDERLY,455002746,Golden Angels Care,"GOLDEN ANGELS CARE, LLC",aaronn_y2k3@yahoo.com,(530) 222-2912,3747 LOUSTALOT WAY,Redding,CA,96002,Shasta,6,7/13/21
RESIDENTIAL CARE ELDERLY,197801028,Golden Apricot Manor,"SERBAN, NICULINA",goldenapricotmanor@gmail.com,(562) 694-5282,16875 SAUSALITO DR.,Whittier,CA,90603,Los Angeles,10,7/13/21
RESIDENTIAL CARE ELDERLY,197609621,Golden Assisted Living,GOLDEN LIVING IN SYLMAR INC,nursingregistry@yahoo.com,(818) 367-1947,14060 ASTORIA ST,Sylmar,CA,91342,Los Angeles,128,7/13/21
RESIDENTIAL CARE ELDERLY,374602877,Golden Care Facility,"CASTILLO, ERIC & CASTILLO, ROWENA",ericamaurie@yahoo.com,(858) 560-6497,2239 CRANDALL DRIVE,San Diego,CA,92111,San Diego,6,7/13/21
RESIDENTIAL CARE ELDERLY,75600323,Golden Care Home,"DAGDAG, MYRNA R.",goldencarehome@aol.com,(925) 687-7394,3579 SKYLARK DRIVE,Concord,CA,94520,Contra Costa,6,7/13/21
RESIDENTIAL CARE ELDERLY,198601924,Golden Care Living Ii,"GOLDEN CARE LIVING, INC",goldencareliving@yahoo.com,(310) 989-1941,1854 EL REY ROAD,San Pedro,CA,90732,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,198320024,Golden Care Living Iii,GOLDEN CARE LIVING III,asgcorp@yahoo.com,(310) 787-8369,1308 HICKORY AVE,Torrance,CA,90503,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,198320027,Golden Care Living Iv,"GOLDEN CARE LIVING, INC",spgfnf@yahoo.com,(310) 989-1941,27711 HAWTHORNE BLVD,Rancho Palos Verdes,CA,90275,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,197607206,"Golden Care Living, Inc.","GOLDEN CARE LIVING, INC.",spgfnf@yahoo.com,(310) 989-1941,2052 REDONDELA DRIVE,Rancho Palos Verdes,CA,90275,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,336403755,Golden Care Senior Living On Ramsey,"GOLDEN VIEW GUEST HOME, INC.",nitaveloso@aol.com,(951) 849-7521,3863 WEST RAMSEY,Banning,CA,92220,Riverside,49,7/13/21
RESIDENTIAL CARE ELDERLY,336402995,Golden Care Senior Living On Wilson,"GOLDEN VIEW GUEST HOME, INC.",nitaveloso@aol.com,(951) 845-7734,5466 W. WILSON,Banning,CA,92220,Riverside,30,7/13/21
RESIDENTIAL CARE ELDERLY,366423728,Golden Cascade,"GOLDEN WAY CARE, INC.",goldenwaycare@gmail.com,(909) 606-8719,15453 ELM LANE,Chino Hills,CA,91709,San Bernardino,6,7/13/21
RESIDENTIAL CARE ELDERLY,157203336,Golden Castle Assisted Living,"GOLDEN CASTLE ASSISTED LIVING, INC.",paulamaribelb@yahoo.com,(661) 871-8133,2607 MOUNT VERNON AVENUE,Bakersfield,CA,93306,Kern,49,7/13/21
RESIDENTIAL CARE ELDERLY,195850126,Golden Century Assisted Living Inc,"GOLDEN CENTURY ASSISTED LIVING, INC",goldencenturyal@gmail.com,(818) 416-0506,13303 REEDLEY STREET,Panorama City,CA,91402,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,197610071,Golden Century Assisted Living Inc,"GOLDEN CENTURY ASSISTED LIVING, INC",goldencenturyal@gmail.com,(818) 416-0506,13303 REEDLEY STREET,Panorama City,CA,91402,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,197607201,Golden City Home Care,"MEREDIAN INVESTMENTS, INC.",care4elderly12@yahoo.com,(310) 325-1995,2451 W. 230TH STREET,Torrance,CA,90501,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,312700159,Golden Coast Care Home,GOLDEN COAST CARE HOMES INC,goldencoastcarehomes@gmail.com,(916) 899-5043,728 SPAULDING DRIVE,Roseville,CA,95678,Placer,6,7/13/21
