HFR Facility Finder,,,,,,,,,,,,
 ,Name,Facility Type,Address,City,State,Zip,County,Bed Capacity,Telephone,Effective Date of License,Administrator,Email
,MAGNOLIA MANOR OF ST SIMONS,ASSISTED LIVING COMMUNITY,300 HERITAGE DRIVE,ST SIMONS,GA,31522,GLYNN,34,9126383844,05/21/2014,Ms JACKIE NEWMAN,bmitchell@magnoliamanor.com
,MAGNOLIA MANOR ON THE COAST,ASSISTED LIVING COMMUNITY,141 TIMBER TRAIL,RICHMOND HILL,GA,31324,BRYAN,36,9127564300,04/16/2014,,mbattle@magnoliamanor.com
,MAGNOLIA MANOR RETIREMENT CTR,PERSONAL CARE HOME,2001 SOUTH LEE STREET,AMERICUS,GA,31709,SUMTER,150,2299249352,05/21/2003,Ms JANE HOUSE,jhouse@magnoliamanor.com
,MAGNOLIA MANOR SOUTH,ASSISTED LIVING COMMUNITY,3011 VETERANS PARKWAY,MOULTRIE,GA,31788,COLQUITT,30,2299850265,04/25/2014,,tnewell@magnoliamanor.com
,"MAGNOLIA PERSONAL CARE HOME SERVICES, LLC",PERSONAL CARE HOME,3204 LEE ROAD,SNELLVILLE,GA,30039,GWINNETT,3,6784674254,02/18/2021,Mrs GEM ROBINSON,gemrobinson2000@yahoo.com
,MAGNOLIA PLACE,PERSONAL CARE HOME,6430 NEWTON ROAD,ALBANY,GA,31721,DOUGHERTY,8,2294367448,10/02/2003,Mr ALLEN SHINES,hilda2@myexcel.com
,MAGNOLIA PLACE ASSISTED LIVING AND MEMORY CARE,ASSISTED LIVING COMMUNITY,500 EAGLE LAKE TRAIL,ROME,GA,30165,FLOYD,72,7067283650,11/19/2020,Mr NICHOLAS LANCASTER,nick.lancaster@retireatberry.com
,MAGNOLIA PLACE OF CAIRO,PERSONAL CARE HOME,1710 SOUTH BROAD STREET,CAIRO,GA,39828,GRADY,50,2293776811,09/30/2004,,hello@magnoliaplaceseniorliving.com
,MAGNOLIA PLACE OF ROSWELL PCH & MEMORY CARE,PERSONAL CARE HOME,655 MANSELL ROAD,ROSWELL,GA,30076,FULTON,101,7706439433,11/01/2018,Ms BROOK MUNSON,bmunson@pegasusseniorliving.com
,"MAGNOLIA PLACE, THE",PERSONAL CARE HOME,300 W 2ND STREET,OCILLA,GA,31774,IRWIN,15,2297969293,01/02/2020,Ms SHARON GRIFFIN,themagnoliahouse@yahoo.com
,MAGNOLIA SENIOR LIVING,PERSONAL CARE HOME,89 OZORA ROAD,LOGANVILLE,GA,30052,GWINNETT,73,7703380493,04/10/2017,,zhicongchen@hotmail.com
,MAGNOLIA SENIOR LIVING AT SHARPSBURY LLC,ASSISTED LIVING COMMUNITY,3700 EAST HIGHWAY 34,SHARPSBURG,GA,30277,COWETA,85,7706834902,02/24/2021,Ms. SHARON HADDEN,zhicongchen@hotmail.com
,MAGNOLIA SENIOR LIVING AT SUGAR HILL,PERSONAL CARE HOME,422  RIVERSIDE ROAD,SUGAR HILL,GA,30518,GWINNETT,70,7709406116,08/05/2019,,zhicongchen@hotmail.com
,MAGNOLIAS ASSISTED AND MEMORY CARE,PERSONAL CARE HOME,964 SOUTH MAIN STREET,CONYERS,GA,30012,ROCKDALE,24,7702854947,02/16/2018,Ms TINA PIERCE,tina@magnolias.house
,MAHONEY'S PERSONAL CARE HOME,PERSONAL CARE HOME,2845 ELDORADO PLACE,SNELLVILLE,GA,30078,GWINNETT,5,7706767109,08/28/2013,Ms LENA MAHONEY,
,MAIN STREET,PERSONAL CARE HOME,147 MAIN STREET,MILLEDGEVILLE,GA,31061,BALDWIN,6,4784457184,04/21/2004,Mr TYRONE EVANS,oconeecbs@windstream.net
,MAIN STREET RESIDENTIAL LIVING,PERSONAL CARE HOME,615 WEST MAIN STREET,THOMASTON,GA,30286,UPSON,7,9126589238,06/15/2017,Ms CHRYSAL YORK,csyork@yahoo.com
,MAJESTIC MANOR,PERSONAL CARE HOME,67 PIN OAK DRIVE,ROCK SPRING,GA,30739,WALKER,34,7067641180,01/29/2007,Mrs DEBRA DONOHUE,pat@majestic-manor.com
,MAJESTIC SENIOR LIVING BOWDON,PERSONAL CARE HOME,501 MITCHELL AVENUE,BOWDON,GA,30108,CARROLL,78,7702588600,12/17/2015,Ms ELIZABETH SPREWELL,bruce@majesticseniorliving.com
,"MAJESTIC SENIOR LIVING BREMEN, BLDG A",PERSONAL CARE HOME,524 GORDON STREET,BREMEN,GA,30110,HARALSON,24,3522846504,07/23/2015,Ms LAKSHMI CHALLA,majesticseniorlivingllc@gmail.com
,MAJESTIC SENIOR LIVING TENNILLE,PERSONAL CARE HOME,401 MARTIN LUTHER KNG JR BLVD,TENNILLE,GA,31089,WASHINGTON,24,3522220417,07/09/2015,Mrs MEGAN ROGERS,majestictennille@gmail.com
,MALI'S PERSONAL CARE HOME,PERSONAL CARE HOME,525 PAPER MILL DRIVE,LAWRENCEVILLE,GA,30046,GWINNETT,6,7706766039,05/09/2007,Ms MALIAMA NASSER,mali's@bellsouth.net
,MANCHESTER COURT ASSISTED LIVING & MEMORY CARE,ASSISTED LIVING COMMUNITY,1358 MANCHESTER DRIVE,CONYERS,GA,30012,ROCKDALE,70,4702077250,11/20/2017,Ms. DEBBIE BROWN,debbie@manchestrcourtalc.com
,"MANN HOUSE CUMMING/FORSYTH, THE",ASSISTED LIVING COMMUNITY,8025 MAJORS ROAD,CUMMING,GA,30041,FORSYTH,50,7708449055,03/13/2018,Ms CHERRYL HYLTON,chm@themanngroup.com
,"MANN HOUSE, THE",ASSISTED LIVING COMMUNITY,5413 NORTHLAND DRIVE,ATLANTA,GA,30342,FULTON,40,4042509300,09/12/2013,Ms CHERRYL HYLTON,charles.mann@themanngroup.com
,MANOR LAKE ATHENS,ASSISTED LIVING COMMUNITY,933 US HIGHWAY 29,ATHENS,GA,30601,CLARKE,100,7624996364,06/23/2020,Ms MELLISSA DANIEL,ed@manorlakean.com
,MANOR LAKE BRIDGEMILL,ASSISTED LIVING COMMUNITY,131 HOLLY STREET,CANTON,GA,30114,CHEROKEE,86,6789905055,10/04/2018,,ed@manorlakebr.com
,MANOR LAKE ELLIJAY,ASSISTED LIVING COMMUNITY,85 HIGHLAND RIDGE ROAD,ELLIJAY,GA,30540,GILMER,100,7066369494,10/15/2020,Ms MONICA BLOOD,ed@manorlakeel.com
,MANOR LAKE GAINESVILLE,ASSISTED LIVING COMMUNITY,2900 MCEVER ROAD,GAINESVILLE,GA,30504,HALL,94,6789401101,04/11/2019,Ms DREMA THOMPSON,ed@manorlakegv.com
,MANOR LAKE HIRAM,ASSISTED LIVING COMMUNITY,68 BREEZY VALLEY CONN,HIRAM,GA,30141,PAULDING,100,6789731906,10/07/2019,Mr. JAMES MILLS SR,ED@manorlakehm.com
,MANSIONS AT ALPHARETTA SENIOR LIVING & MEMORY,ASSISTED LIVING COMMUNITY,3675 OLD MILTON PARKWAY,ALPHARETTA,GA,30005,FULTON,115,4703595200,06/06/2018,Mr TOM JOHNSRUD,mrandall@mansionseniorliving.com
,MANSIONS AT GWINNETT PARK ASSISTED LIVING AND MC,ASSISTED LIVING COMMUNITY,2450 BUFORD DRIVE,LAWRENCEVILLE,GA,30043,GWINNETT,110,4703941800,01/08/2020,,mrandall@mansionsseniorliving.com
,MANSIONS AT SANDY SPRINGS AL AND MEMORY CARE,ASSISTED LIVING COMMUNITY,7300 SPALDING DRIVE,PEACHTREE CORNERS,GA,30092,FULTON,110,6786846990,06/27/2019,Ms DENISE RICHARDS,jtiffany@mansionsseniorliving.com
,MAPLE COURT SENIOR RESIDENCE,PERSONAL CARE HOME,2408 NORTH TIFT AVENUE,TIFTON,GA,31794,TIFT,45,2293821791,05/14/2003,Ms LETHA HARTLEY,jmarta@georgialivingseniorcare.com
,MAPP PCH,PERSONAL CARE HOME,1141 ADRIAN CIRCLE,GREENSBORO,GA,30642,GREENE,4,7064530004,08/30/2012,Mr JONTHAVIUS SMITH,
,MARABLE MANOR,PERSONAL CARE HOME,235 E MARABLE STREET,MONROE,GA,30655,WALTON,6,6786358477,04/05/2012,Ms SHIRLEY WORTHY,sgrant13@earthlink.net
,MARABLE MANOR II,PERSONAL CARE HOME,303 CHURCH STREET,MONROE,GA,30655,WALTON,6,7702076763,07/10/2014,Ms SHIRLEY WORTHY,SGRANT13@EARTHLINK.NET
,MARANATHA PCH,PERSONAL CARE HOME,4414 REEF ROAD,MARIETTA,GA,30066,COBB,6,7705921371,08/05/2004,Ms CHERRYL HYLTON,maranathapch@comcast.net
,MARIA'S WARM HOME,PERSONAL CARE HOME,1322 SMOKERISE LN,AUBURN,GA,30011,BARROW,2,6782480307,03/22/2013,Ms MARIA TUDURII,danymary0717@yahoo.com
,MARIANA HOME CARE,PERSONAL CARE HOME,1822 MADRID FALLS ROAD,BRASELTON,GA,30517,GWINNETT,6,6789635279,11/05/2009,Mr SIMION TEREI,sterei52@yahoo.com
,MARIE'S PERSONAL CARE HOME,PERSONAL CARE HOME,813 OAKLAND AVENUE,ROME,GA,30165,FLOYD,2,7068441803,02/12/2021,,ladonnag62@gmail.com
,MARIE'S PERSONAL HOME CARE,PERSONAL CARE HOME,5205 BUENA VISTA ROAD,COLUMBUS,GA,31907,MUSCOGEE,6,7065617301,01/02/2018,Ms MARIE BRUDENT,brudentp@yahoo.com
,MARIE'S SENIOR LIVING,PERSONAL CARE HOME,3212 WRIGHTSBORO ROAD,AUGUSTA,GA,30909,RICHMOND,16,7068147194,09/04/2018,Ms ANNIE ELLISON,marieseniorliving@gmail.com
,MARIETA'S MISSION PCH,PERSONAL CARE HOME,4332 WOODHAVEN LANE,OAKWOOD,GA,30566,HALL,3,4045196281,10/19/2020,,marietaberar@gmail.com
,MARISA'S MANOR PERSONAL CARE HOME,PERSONAL CARE HOME,2608 WENATCHEE DRIVE,CANTON PLAZA,GA,30066,COBB,3,7704851000,08/22/2016,Ms TRACEY REEVES,marisamanor@gmail.com
,MARSH'S EDGE,ASSISTED LIVING COMMUNITY,111 RENEGAR WAY,SAINT SIMONS ISLAND,GA,31522,GLYNN,32,9122912000,08/14/2014,Mr. CHRIS MURRAY,CMurray@Marshs-Edge.com
,MARSHALL PINES ALZHEIMER'S SPECIAL CARE CENTER,ASSISTED LIVING COMMUNITY,743 NORTH BELAIR ROAD,EVANS,GA,30809,COLUMBIA,66,7068699500,05/24/2016,Ms KELLIE PUGH,Cambria.Burk@sunshineret.com
,MARY AND MARTHA'S PCH,PERSONAL CARE HOME,616 MOHAWK STREET,ROSSVILLE,GA,30741,WALKER,24,7068667454,07/01/2021,Ms MARTHA DAWN,waynemarthadawn@comcast.net
,MARY'S HAVEN,PERSONAL CARE HOME,310 S HUTCHINSON AVENUE,ADEL,GA,31620,COOK,12,2298964760,02/12/2016,Mr MATTHEW MACKIE,
,MARYETTA HILLS PCH,PERSONAL CARE HOME,3589 HWY 441 NORTH,RABUN GAP,GA,30568,RABUN,4,7067463897,12/12/2012,,maryettahills@windstream.net
,MASALON PERSONAL CARE HOME INC,PERSONAL CARE HOME,3952 ROCKBRIDGE ROAD,STONE MOUNTAIN,GA,30083,DEKALB,12,4042576640,02/28/2020,Ms MAKESA FOFANA,liberia18@yahoo.com
,MASTERS PERSONAL CARE,PERSONAL CARE HOME,362 CARVER STREET,THOMSON,GA,30824,MCDUFFIE,8,7065956694,04/24/2019,Ms SHAQITAER SHANK,tamekabeall@att.net
,MATREL'S PERSONAL CARE HOME,PERSONAL CARE HOME,1008 EAST 12TH STREET,WEST POINT,GA,31833,TROUP,6,7066455591,07/14/2008,Ms MATTIE TRAMMELL,pamela.buckhanon@yahoo.com
,MATTIE H MARSHALL MEMORY CARE CENTER,ASSISTED LIVING COMMUNITY,2001 SOUTH LEE STREET,AMERICUS,GA,31709,SUMTER,30,2299315943,05/07/2014,,dcason@magnoliamanor.com
,MAUZY HOUSE,PERSONAL CARE HOME,1029 SPRING GROVE ROAD,JESUP,GA,31545,WAYNE,3,9125881639,03/04/2011,Ms BETH ENGLISH,mhatcher@swga-easterseals.org
,MAYA'S PERSONAL CARE HOME,PERSONAL CARE HOME,321 SOUTH 12TH STREET,GRIFFIN,GA,30223,SPALDING,6,7702272776,02/14/2013,,maya58@bellsouth.net
,MAYFIELD OAKS,PERSONAL CARE HOME,143 MAYFIELD ROAD,ALPHARETTA,GA,30009,FULTON,15,7706676078,10/21/2014,Ms HELEN BOYLE,"boylejh@gmail.com, helen@mayfieldoaks.com"
,MCCLENDON PERSONAL CARE HOME,PERSONAL CARE HOME,3050 JOHNNY LONG RD,NEWTON,GA,39870,BAKER,5,2297349988,09/10/2007,Ms JEANETTE JACKSON,donjjm1811@yahoo.com
,MCELRATH'S PERSONAL TOUCH CARE HOME,PERSONAL CARE HOME,760 OLD MILLEDGEVILLE RD,THOMSON,GA,30824,MCDUFFIE,6,7622459250,06/06/2016,Mr ANTHONI MCELRATH,CYNTHIAMCELRATH64@HOTMAIL.COM
,MCJO PERSONAL CARE HOME,PERSONAL CARE HOME,990 BRITT DRIVE,MARIETTA,GA,30008,COBB,3,7705753200,07/06/2015,Ms SHIRLEY WORTHY,sgrant13@earthlink.net
,MCKENZIE PERSONAL CARE HOME,PERSONAL CARE HOME,4893 CANDLEWOOD LANE,STONE MOUNTAIN,GA,30088,DEKALB,3,4047071368,09/16/2016,Mr MANUEL MCKENZIE,manuelmckenzie@hotmail.com
,MCKINNEY'S CARE,PERSONAL CARE HOME,213 CHIPPEWA DR,SAVANNAH,GA,31406,CHATHAM,6,9127128078,04/30/2021,,kash.mckinney@icloud.com
,MEADOWS ROAD,PERSONAL CARE HOME,4630 MEADOWS ROAD,POWDER SPRINGS,GA,30127,COBB,4,7709437220,04/14/2004,Mr DAVID WATSON,ckerr@cobbcsb.com
,MEDLOCK GARDENS SENIOR LIVING,PERSONAL CARE HOME,460 MEDLOCK ROAD,DECATUR,GA,30030,DEKALB,42,4043700460,02/03/2014,Ms JENNY DOBBS,neke@medlockgardens.com
,MELANIE STREET HOUSE,PERSONAL CARE HOME,677 MELANIE STREET,JESUP,GA,31545,WAYNE,4,9125309041,07/24/2017,Ms RACHEL AUTRY,mwilliams@pinelandcsb.org
,"MEMORY CENTER ATLANTA , THE",ASSISTED LIVING COMMUNITY,12050 FINDLEY ROAD,JOHNS CREEK,GA,30097,FULTON,96,7704763678,11/27/2017,Ms. JULIE TAYLOR,juliet@thememorycenter.com
,MERCY PERSONAL CARE HOME,PERSONAL CARE HOME,3630 BRUSHY WOOD DRIVE,LOGANVILLE,GA,30052,GWINNETT,6,6786391428,12/11/2006,Ms GWENDOLYN FEARON,alicesev@aol.com
,MERCY PERSONAL CARE HOME #2,PERSONAL CARE HOME,4114 GRANITE FALLS LANE,LOGANVILLE,GA,30052,GWINNETT,6,4044056972,05/12/2017,Ms GWENDOLYN FEARON,personaltouchpersonalcarehome
,MERRILL GARDENS AT WOODSTOCK,ASSISTED LIVING COMMUNITY,12730 HIGHWAY 92 EAST,WOODSTOCK,GA,30188,CHEROKEE,160,6787188700,05/13/2019,Mr WILLIAM EYZAGUIRRE,gm.woodstock@merrillgardens.com
,MERRY'S PERSONAL CARE HOME,PERSONAL CARE HOME,4070 JANICE DRIVE,EAST POINT,GA,30344,FULTON,9,4042090110,01/09/2004,Ms MERRY MILLER,merrygorundme2000@yahoo.com
,MERRYVALE ASSISTED LIVING,ASSISTED LIVING COMMUNITY,11980 HIGHWAY 142 NORTH,OXFORD,GA,30054,NEWTON,78,7707864688,08/28/2018,,gmclendon@merryvaleal.com
,MG PCH III,PERSONAL CARE HOME,13308 CHESTERFIELD DRIVE,SAVANNAH,GA,31419,CHATHAM,6,9129617650,12/21/2005,Ms ANN GRANT,
,"MICHAEL HOUSE PCH LLC, THE",PERSONAL CARE HOME,209 E 12TH AVE,CORDELE,GA,31010,CRISP,6,8507126629,11/01/2020,,themichaelhousepch@gmail.com
,MIKASH AT SHALLOWFORD PCH,PERSONAL CARE HOME,104 SHALLOWFORD ROAD,KENNESAW,GA,30144,COBB,3,4049668218,03/05/2019,Mr KEWIN LYLE,mikashpchllc@yahoo.com
,MIKASH PCH,PERSONAL CARE HOME,4759 BRIARBEND TRACE,STONE MOUNTAIN,GA,30088,DEKALB,3,4702942969,07/18/2016,Ms MONIQUE LYLE,mikashpchllc@yahoo.com
,MILE STONE PERSONAL CARE HOME,PERSONAL CARE HOME,206 ANDERSON AVENUE,FORT VALLEY,GA,31030,PEACH,6,4783193158,12/09/2019,Ms DIANE DAVIS,itsagreenthingdiane@gmail.com
,MILLER & SON'S PCH,PERSONAL CARE HOME,136 SALEM CHURCH-MILLER ROAD,GRAY,GA,31032,JONES,14,4789321008,03/05/2003,Mr CARLOS MILLER,
,MILLER HOUSE,PERSONAL CARE HOME,1928 MONTGOMERY CROSSROADS,SAVANNAH,GA,31406,CHATHAM,7,9123494830,01/01/2009,Ms CORDELE GOLDEN,
,"MILLER MANOR SENIOR CARE HOME, THE",PERSONAL CARE HOME,2690 HIGHWAY 11,MONROE,GA,30656,WALTON,6,6786355615,11/13/2018,Ms KELLEY BROWN,
,MILLY'S HOME CARE,PERSONAL CARE HOME,2787 CLAY ROAD,AUSTELL,GA,30106,COBB,6,6783980924,04/26/2021,,sainvil52@gmail.com
,MILTON SENIOR LIVING,PERSONAL CARE HOME,17210 BIRMINGHAM HIGHWAY,ALPHARETTA,GA,30004,CHEROKEE,9,6784857362,03/02/2017,Ms CINDY MOFFIT,cindy@hembreeseniorcarecenter.com
,MIR EMPIRE PCH,PERSONAL CARE HOME,2470 FAIRVIEW ROAD,CONYERS,GA,30013,NEWTON,6,7706799612,08/27/2015,Ms MONICA TRIPP,ms_monicatripp@yahoo.com
,MIRACLE TOUCH PCH,PERSONAL CARE HOME,8099 REVERE DRIVE,MCDONOUGH,GA,30252,HENRY,2,4047174601,05/10/2013,Ms SOPHIA THOMAS,sophiabanton@rocketmail.com
,MISS FLO'S PERSONAL CARE HOME,PERSONAL CARE HOME,574 ALLGOOD ROAD,MARIETTA,GA,30060,COBB,4,7704291259,02/06/2015,Ms FLORISTINA BURKE-DAVIS,frburkedavis@aol.com
,MISS WILLIE'S MANOR,PERSONAL CARE HOME,5606 WOODED VALLEY WAY,FLOWERY BRANCH,GA,30542,HALL,5,6788287106,10/03/2012,Ms KAREN THOMAS,krthomas@laborofloveadultcare.com
,MISS WILLIE'S MANOR II,PERSONAL CARE HOME,4711 DEER CROSSING COURT,FLOWERY BRANCH,GA,30542,HALL,5,6786131412,11/20/2017,Mr DONALD THOMAS,krthomas@laborofloveadultcare.com
,MISTY MEADOWS PCH,PERSONAL CARE HOME,3464  WOLF PEN GAP ROAD,SUCHES,GA,30572,UNION,20,7067471005,07/21/2014,Ms CYNTHIA STEWART,
,MITCHELL'S PERSONAL CARE HOME,PERSONAL CARE HOME,405 LAWTON STREET,ATLANTA,GA,30310,FULTON,15,4047535030,09/04/2014,Ms RUTH MITCHELL,
,MOBLEY'S ANGELS PERSONAL CARE,PERSONAL CARE HOME,702 JAMAICA ROAD,SARDIS,GA,30456,BURKE,6,4785699028,02/27/2014,Ms EVELYN PARKS,evelynparks5@yahoo.com
,MOH'S PERSONAL CARE HOME,PERSONAL CARE HOME,4486 PARMALEE PATH,CONLEY,GA,30288,DEKALB,3,4043619631,03/16/2020,,ANIMARK2014@GMAIL.COM
,MONARCH HOUSE,ASSISTED LIVING COMMUNITY,299 BULLSBORO DRIVE SUITE 100,NEWNAN,GA,30263,COWETA,60,6785529867,05/29/2018,,vic@@monarchhouse.net
,MONARCH VILLA AT STOCKBRIDGE,ASSISTED LIVING COMMUNITY,100 MONARCH VILLAGE WAY,STOCKBRIDGE,GA,30281,HENRY,46,7703766753,09/03/2019,Ms MARLINE RANDALL,pmobley@monarchvillamc.com
,"MONTCLAIR, THE",PERSONAL CARE HOME,2100 CLAIRMONT LAKE,DECATUR,GA,30033,DEKALB,58,4046338875,12/22/2014,Ms BRIDGET COLLINS,cvrajack@yahoo.com
,MONTEBELLO HOME CARE,PERSONAL CARE HOME,3410 LAKE CARLTON ROAD,LOGANVILLE,GA,30052,GWINNETT,3,4703754175,02/25/2014,Ms ALLISON CUZMAN,sammy@montebellohomecare.net
,MOORE PERSONAL CARE HOME,PERSONAL CARE HOME,221 NORTH GREEN,SWAINSBORO,GA,30401,EMANUEL,6,4782370080,02/13/2020,Ms MICHELLE MOORE,michellemoore436@gmail.com
,"MORELAND HOUSE, THE",PERSONAL CARE HOME,2670 BANKSTONE DRIVE,MARIETTA,GA,30064,COBB,3,6788519050,02/05/2010,Ms LARHONDA ZACKERY,
,MORELAND PERSONAL CARE HOME,PERSONAL CARE HOME,2670 OWENS AVENUE,MARIETTA,GA,30064,COBB,4,7702221774,10/29/2003,Ms ALICIA HOUSTON,
,MORGAN HOUSE PCH,PERSONAL CARE HOME,3070 SANDY PLAINS ROAD,MARIETTA,GA,30066,COBB,6,4048394793,12/22/2017,,ndngsusan@yahoo.com
,MORGAN ROAD PCH,PERSONAL CARE HOME,2318 MORGAN ROAD,MARIETTA,GA,30066,COBB,3,7703741094,10/06/2016,Ms SUSAN NGUNGU,ndngsusan@yahoo.com
,MORNING DOVE PERSONAL CARE HOME,PERSONAL CARE HOME,211 FAIRGROUND ROAD,LEXINGTON,GA,30648,OGLETHORPE,4,7067430892,11/19/2014,Ms TERSHANT RHODES,tershant@hotmail.com
,MORNING GLORY,PERSONAL CARE HOME,55 JAKE LEWIS DRIVE,MCDONOUGH,GA,30252,HENRY,3,6782517993,10/01/2009,Ms BEVERLY ALLAWAY,
,MORNING POINT OF CALHOUN,ASSISTED LIVING COMMUNITY,660 JOLLY ROAD NW,CALHOUN,GA,30701,GORDON,71,7066290777,03/11/2015,Mr ALDO ANCHETA,Calhoun-ed@morningpointe.com
,MORNINGSIDE OF ALPHARETTA,PERSONAL CARE HOME,253 NORTH MAIN STREET,ALPHARETTA,GA,30009,FULTON,89,7704109169,02/07/2017,Ms LISA MINER,rdoyle@snhreit.com
,MORNINGSIDE OF ATHENS,PERSONAL CARE HOME,1291 CEDAR SHOALS DRIVE,ATHENS,GA,30605,CLARKE,50,7062270919,01/01/2020,Ms TERESA FIVES,
,MORNINGSIDE OF COLUMBUS,ASSISTED LIVING COMMUNITY,4500 SOUTH STADIUM DRIVE,COLUMBUS,GA,31909,MUSCOGEE,50,7065615560,01/01/2020,Ms MELISSA RYLAND,ginny.d.mann@gmail.com
,MORNINGSIDE OF CONYERS,ASSISTED LIVING COMMUNITY,1352 WELLBROOK CIRCLE NE,CONYERS,GA,30012,ROCKDALE,70,7709221654,01/01/2020,Ms NAIMA BAKER,nhall4@5ssl.com
,MORNINGSIDE OF DALTON,ASSISTED LIVING COMMUNITY,2470 DUG GAP ROAD,DALTON,GA,30720,WHITFIELD,48,7062779695,01/01/2020,,
,MORNINGSIDE OF EVANS,ASSISTED LIVING COMMUNITY,353 NORTH BELAIR ROAD,EVANS,GA,30809,COLUMBIA,52,7062284709,01/01/2020,Ms KELLIE PUGH,
,MORNINGSIDE OF GAINESVILLE,ASSISTED LIVING COMMUNITY,2435 LIMESTONE PARKWAY,GAINESVILLE,GA,30501,HALL,45,7705316100,01/01/2020,Ms BRITTANY TILSON,licensing@5ssl.com
,MORNINGSIDE OF MACON,ASSISTED LIVING COMMUNITY,6191 PEAKE ROAD,MACON,GA,31220,BIBB,54,4784776911,01/01/2020,Ms MITZY CAMPBELL,
,MORNINGSIDE OF SAVANNAH,ASSISTED LIVING COMMUNITY,7410 SKIDAWAY ROAD,SAVANNAH,GA,31406,CHATHAM,89,7709340034,01/01/2020,Ms DEBRA BEN-DOR,dBendor@5ssl.com
,MORRIS PCH #3,PERSONAL CARE HOME,5018 KENNEDY STREET,COLUMBUS,GA,31907,MUSCOGEE,6,7066825968,11/02/2017,Ms DIANE MORRIS,richardaverett@gmail.com
,MORRIS' PERSONAL CARE HOME #1,PERSONAL CARE HOME,1103 BEDFORD AVENUE,COLUMBUS,GA,31907,MUSCOGEE,6,7066873444,06/12/2013,Ms KATIE MORRIS,
,MORRIS' PERSONAL CARE HOME #2,PERSONAL CARE HOME,4547 MOLINE AVE,COLUMBUS,GA,31907,MUSCOGEE,6,7625247615,06/12/2013,Ms KESIA SEWELL,kjholloway31@gmail.com
,MOSEBY PERSONAL CARE HOME,PERSONAL CARE HOME,1806 CLAYSTONE WAY,HEPHZIBAH,GA,30815,RICHMOND,6,7068103159,03/07/2012,,soulfood889@comcast.net
,MOSLEY MANOR PCH,PERSONAL CARE HOME,3774 NEWINGTON HIGHWAY,SYLVANIA,GA,30467,SCREVEN,6,9128293315,07/17/2003,Mr TOMMY MOSLEY,tmosley2586@gmail.com
,MOSSY OAK,PERSONAL CARE HOME,1150 RIVER RD,JESUP,GA,31546,WAYNE,19,9122946927,02/05/2019,Mr MICHAEL PHILLIPS II,MPHILLIPS@HARBORVIEWHS.COM
,MOULTRIE MR APT 3- NORTHGATE,PERSONAL CARE HOME,"1515 4TH AVENUE,NE APT N2",MOULTRIE,GA,31768,COLQUITT,3,2298907333,12/04/2003,,thampton@georgiapines.net
,MOUNT CARMEL ASSISTED LIVING,ASSISTED LIVING COMMUNITY,3084 MT CARMEL ROAD,HAMPTON,GA,30228,HENRY,45,7709463376,09/01/2015,Mr NAHE COURY,mtcarmelpersonalcare@gmail.com
,MOUNTAIN BREEZE PCH,PERSONAL CARE HOME,167 HABERSHAM LANDING DRIVE,DEMOREST,GA,30535,HABERSHAM,4,7067784602,11/16/2010,Ms ALANA TOLLISON,
,MOUNTAIN VIEW PCH,PERSONAL CARE HOME,3675 KENSINGTON ROAD,DECATUR,GA,30032,DEKALB,35,4045087593,09/02/2004,Ex VERNARD WILLIAMS,mvpch_executivedirector@yahoo.com
,MS JO'S PERSONAL CARE HOME,PERSONAL CARE HOME,601 MCDONALD STREET,WAYCROSS,GA,31503,WARE,6,9122838587,09/09/2014,Ms JOLETHA WILLIAMS,msjopch@yahoo.com
,MSP PERSONAL CARE HOME,PERSONAL CARE HOME,4020 CAMPBELL STREET,SAVANNAH,GA,31405,CHATHAM,6,9122579346,06/16/2020,,shanita.pond@comcast.net
,MT PLEASANT ALTERNATIVE CARE,PERSONAL CARE HOME,311 JOHNSON AVENUE,THOMSON,GA,30824,MCDUFFIE,17,7065958537,08/17/2020,Ms JENNIFER BRUNNER,jrbfutures@gmail.com
,MULBERRY GROVE,PERSONAL CARE HOME,343 PRICE STREET,STATHAM,GA,30666,BARROW,46,7707256978,03/01/2013,Ms PATTIE MOODY,mulgrove123@aol.com
,MURIEL'S HAND PERSONAL CARE HOME,PERSONAL CARE HOME,5575 SALEM ROAD,LITHONIA,GA,30038,DEKALB,3,4048846167,11/10/2014,Mrs SCELLA HUMPHRIES,murielshandpch@yahoo.com
,MY HOUSE (2) COMMUNITY CARE FACILITY,PERSONAL CARE HOME,2836 RAVENWOOD DRIVE,SNELLVILLE,GA,30078,GWINNETT,6,7709790225,05/09/2005,Ms. ANNA BRAZIL,
,MY SERENITY PERSONAL CARE HOME,PERSONAL CARE HOME,835 PINE RIDGE DRIVE,RIVERDALE,GA,30274,CLAYTON,3,6788846450,04/29/2021,Ms SHONA JOHN,shonaJ618@hotmail.com
,NANCY GRACE HOME,PERSONAL CARE HOME,3716 AGAPE VILLAGE ROAD,MACON,GA,31210,BIBB,4,4784056852,04/27/2017,Ms ELIZABETH HARDIN-WAITS,ehardinwaits@wesleyglen.org
,NANCY HALL'S PCH OF EVANS,PERSONAL CARE HOME,4528 HEREFORD FARM ROAD,EVANS,GA,30809,COLUMBIA,11,7066507642,05/14/2004,Ms NANCY HALL,nancyhall1951@yahoo.com
