Licensee,Facility ID,State Facility Type 1 Literal,Address,City,County,State,Zip Code,Phone Number,Date Accessed,Facility Name
MISSION VILLAGE LIVING CENTER INC,N007003,NURSING FACILITY RESIDENTIAL HEALTH CARE FACILITY,1890 EUCLID AVENUE,Horton,Brown,KS,66439-1247,785-486-2697,6/25/21,Mission Village Living Center Inc
MORNINGSIDE PLACE,N046083,RESIDENTIAL HEALTH CARE FACILITY,6921 W. 81ST STREET,Overland Park,Johnson,KS,66204,913-901-8500,6/25/21,Morningside Place
MOUNT JOSEPH SENIOR VILLAGE LLC,N015003,NURSING FACILITY RESIDENTIAL HEALTH CARE FACILITY,1110 W 11TH STREET,Concordia,Cloud,KS,66901-9203,785-243-1347,6/25/21,Mount Joseph Senior Village Llc
NEUVANT HOUSE OF LAWRENCE,N023021,RESIDENTIAL HEALTH CARE FACILITY,1216 BILTMORE DRIVE,Lawrence,Douglas,KS,66049,785-856-7900,6/25/21,Neuvant House Of Lawrence
OAK CREEK SENIOR CARE,N089002,RESIDENTIAL HEALTH CARE FACILITY,3224 SW 29TH STREET,Topeka,Shawnee,KS,66614,785-272-2601,6/25/21,Oak Creek Senior Care
OAKVIEW ESTATES,N019014,RESIDENTIAL HEALTH CARE FACILITY,316 WICKWARE DRIVE,Frontenac,Crawford,KS,66763-2202,620-232-3555,6/25/21,Oakview Estates
PARK MEADOWS MEMORY CARE,N046087,RESIDENTIAL HEALTH CARE FACILITY,5951 W. 107TH STREET,Overland Park,Johnson,KS,66207-3882,913-901-8200,6/25/21,Park Meadows Memory Care
PEABODY OPERATOR LLC,N057005,NURSING FACILITY RESIDENTIAL HEALTH CARE FACILITY,407 N LOCUST STREET,Peabody,Marion,KS,66866,620-983-2152,6/25/21,Peabody Health And Rehab
PEGGY KELLY HOUSE I,N089033,RESIDENTIAL HEALTH CARE FACILITY,2111 SW RANDOLPH AVENUE,Topeka,Shawnee,KS,66611,785-234-8888,6/25/21,Peggy Kelly House I
PEGGY KELLY HOUSE II,N089034,RESIDENTIAL HEALTH CARE FACILITY,1800 FAIRMONT ROAD,Topeka,Shawnee,KS,66604-3699,785-271-9594,6/25/21,Peggy Kelly House Ii
PENTA I LLC,N087087,RESIDENTIAL HEALTH CARE FACILITY,1500 S 183RD ST W,Goddard,Sedgwick,KS,67052,316-550-6383,6/25/21,Dove Estates Memory Haven
PINE VILLAGE,N059002,NURSING FACILITY RESIDENTIAL HEALTH CARE FACILITY,86 22ND AVENUE,Moundridge,Mcpherson,KS,67107,620-345-2901,6/25/21,Pine Village
PRESBYTERIAN MANORS INC,N014001,NURSING FACILITY RESIDENTIAL HEALTH CARE FACILITY,924 EIGHTH ST,Clay Center,Clay,KS,67432-2620,785-632-5646,6/25/21,Clay Center Presbyterian Manor
PRESBYTERIAN MANORS INC,N089018,NURSING FACILITY RESIDENTIAL HEALTH CARE FACILITY,4712 SW 6TH AVE,Topeka,Shawnee,KS,66606-2299,785-272-6510,6/25/21,Topeka Presbyterian Manor
PRESBYTERIAN MANORS INC,N023005,NURSING FACILITY RESIDENTIAL HEALTH CARE FACILITY,1429 KASOLD DR,Lawrence,Douglas,KS,66049-3425,785-841-4262,6/25/21,Lawrence Presbyterian Manor
SNH TOTO TENANT LLC,N046033,NURSING FACILITY RESIDENTIAL HEALTH CARE FACILITY,3501 W. 95TH STREET,Overland Park,Johnson,KS,66206,913-648-4500,6/25/21,The Forum At Overland Park
THE ARBORS AT MONTEREY VILLAGE,N023023,RESIDENTIAL HEALTH CARE FACILITY,3905 PETERSON ROAD,Lawrence,Douglas,KS,66049,785-371-9080,6/25/21,The Arbors At Monterey Village
THE ATRIUMS SENIOR LIVING COMMUNITY,N046062,RESIDENTIAL HEALTH CARE FACILITY,7300 W 107 ST,Overland Park,Johnson,KS,66212-,913-381-6000,6/25/21,The Atriums Senior Living Community
THE AUTUMN PLACE,N011008,RESIDENTIAL HEALTH CARE FACILITY,120 AARON LANE,Baxter Springs,Cherokee,KS,66713-1200,620-856-3999,6/25/21,The Autumn Place
THE AUTUMN PLACE,N011007,RESIDENTIAL HEALTH CARE FACILITY,311 S. EAST AVENUE,Columbus,Cherokee,KS,66725-2181,620-429-1011,6/25/21,The Autumn Place
THE AUTUMN PLACE MEMORY CARE UNIT,N011011,RESIDENTIAL HEALTH CARE FACILITY,315 S EAST AVENUE,Columbus,Cherokee,KS,66725,620-429-2212,6/25/21,The Autumn Place Memory Care Unit
THE HERITAGE OF OVERLAND PARK,N046082,RESIDENTIAL HEALTH CARE FACILITY,10101 W 127TH ST,Overland Park,Johnson,KS,66213-,913-912-7800,6/25/21,The Heritage Of Overland Park
THE RESIDENCIES AT PLEASANTON,N054005,RESIDENTIAL HEALTH CARE FACILITY,706 W. 15TH STREET,Pleasanton,Linn,KS,66075,913-352-6658,6/25/21,The Residencies At Pleasanton
THE VILLAGE AT MISSION LLC,N046049,NURSING FACILITY RESIDENTIAL HEALTH CARE FACILITY,7105 MISSION ROAD,Prairie Village,Johnson,KS,66208-3302,913-262-1611,6/25/21,The Village At Mission
THE WHEATLANDS HEALTH CARE CENTER,N048003,NURSING FACILITY RESIDENTIAL HEALTH CARE FACILITY,750 W WASHINGTON ST,Kingman,Kingman,KS,67068-2000,620-532-5801,6/25/21,The Wheatlands Health Care Center
VALLEY HEALTH CARE CENTER,N044002,MENTAL HEALTH NURSING FACILITY RESIDENTIAL HEALTH CARE FACILITY,PO BOX 189 400 12TH STREET,Valley Falls,Jefferson,KS,66088-189,785-945-3832,6/25/21,Valley Health Care Center
VALLEY VIEW SENIOR LIFE,N031003,NURSING FACILITY RESIDENTIAL HEALTH CARE FACILITY,1417 W. ASH STREET,Junction City,Geary,KS,66441-3332,785-762-2162,6/25/21,Valley View Senior Life
ACCORD SENIOR CARE INC ROCKWOOD,B087153,HOME PLUS,6807 E ROCKWOOD ROAD,Wichita,Sedgwick,KS,,316-927-2725,6/25/21,Accord Senior Care Inc Rockwood
ADVANCED CARE HOME PLUS,B087221,HOME PLUS,5501 POLO DRIVE,Wichita,Sedgwick,KS,,316-777-6477,6/25/21,Advanced Care Home Plus
AGAPE HOME PLUS LLC,B087245,HOME PLUS,6322 E PEACH TREE LANE,Wichita,Sedgwick,KS,,316-339-0076,6/25/21,Agape Home Plus Llc
ALMOST HOME INC,B005003,HOME PLUS,1919 VAN BUREN,Great Bend,Barton,KS,,620-617-1634,6/25/21,Almost Home Inc
AMANI HOME PLUS,B087231,HOME PLUS,1201 N PINECREST ST,Wichita,Sedgwick,KS,,316-305-4142,6/25/21,Amani Home Plus
AUTUMN HOME PLUS 2,B089087,HOME PLUS,720 NW WALNUT LANE,Topeka,Shawnee,KS,,785-232-0730,6/25/21,Autumn Home Plus 2
AUTUMN HOME PLUS 3,B089095,HOME PLUS,750 NW WALNUT LN,Topeka,Shawnee,KS,,785-232-0730,6/25/21,Autumn Home Plus 3
AUTUMN HOME PLUS INC,B089068,HOME PLUS,747 NW WALNUT LANE,Topeka,Shawnee,KS,,785-232-0730,6/25/21,Autumn Home Plus Inc
BETHEL HOUSE,B087145,HOME PLUS,1316 CHARLOTTE ST,Wichita,Sedgwick,KS,,316-440-4406,6/25/21,Bethel House
BRIDGE HAVEN ON ALVAMAR,B023017,HOME PLUS,2147 QUAIL CREEK DRIVE,Lawrence,Douglas,KS,,785-371-1106,6/25/21,Bridge Haven On Alvamar
BRIDGE HAVEN THREE,B023021,HOME PLUS,1701 RESEARCH PARK BLDG #3,Lawrence,Douglas,KS,,785-550-6162,6/25/21,Madel'S House
BRIDGE HAVEN VILLAGE,B023016,HOME PLUS,1701 RESEARCH PARK DRIVE,Lawrence,Douglas,KS,,785-371-1106,6/25/21,Bridge Haven Village
BRIDGE HAVEN VILLAGE TWO,B023019,HOME PLUS,1701 RESEARCH PARK DRIVE,Lawrence,Douglas,KS,,785-550-6168,6/25/21,Bridge Haven Village Two
CARE HAVEN HOMES  BROADMOOR,B046050,HOME PLUS,7001 W 69TH STREET,Overland Park,Johnson,KS,,913-643-0111,6/25/21,Care Haven Homes  Broadmoor
CARE HAVEN HOMES  FONTANA,B046039,HOME PLUS,10001 FONTANA,Overland Park,Johnson,KS,,913-643-0111,6/25/21,Care Haven Homes  Fontana
CARE HAVEN HOMES OVERBROOK,B046033,HOME PLUS,9833 OVERBROOK CT,Leawood,Johnson,KS,,913-643-0111,6/25/21,Care Haven Homes Overbrook
CARE HAVEN HOMES SOUTHMOOR,B046030,HOME PLUS,7010 W 69TH TERR,Overland Park,Johnson,KS,,913-643-0111,6/25/21,Care Haven Homes Southmoor
CARE HAVEN HOMES SUNFLOWER,B046052,HOME PLUS,9218 LEE BOULEVARD,Leawood,Johnson,KS,,913-643-0111,6/25/21,Care Haven Homes Sunflower
CARE HAVEN HOMES WYCKLOW,B046061,HOME PLUS,3 WYCKLOW STREET,Overland Park,Johnson,KS,,913-643-0111,6/25/21,Care Haven Homes Wycklow
CARE TOUCH HOMES PLUS LLC,B046060,HOME PLUS,11206 W 72ND TERRACE,Shawnee,Johnson,KS,,913-850-3139,6/25/21,Care Touch Homes Plus Llc
CHENEY GOLDEN AGE HOME PLUS,B087183,HOME PLUS,802 NORTH MAIN STREET,Cheney,Sedgwick,KS,,316-540-3691,6/25/21,Cheney Golden Age Home Plus
CHRIST CARE HOME PLUS LLC,B087215,HOME PLUS,7901 W JENNIE STREET,Wichita,Sedgwick,KS,,316-308-6488,6/25/21,Christ Care Home Plus Llc
CLOVER CARE,B046049,HOME PLUS,6320 ZARDA DRIVE,Shawnee,Johnson,KS,,913-991-2605,6/25/21,Clover Care
COMFORT CARE HOMES INC,B087248,HOME PLUS,8629 W 29TH ST N,Wichita,Sedgwick,KS,,316-685-3322,6/25/21,Comfort Care Homes 29Th #2
COMFORT CARE HOMES INC,B087247,HOME PLUS,8631 W 29TH ST N,Wichita,Sedgwick,KS,,316-685-3322,6/25/21,Comfort Care Homes Inc 29Th #1
COMFORT CARE HOMES INC #147,B087100,HOME PLUS,147 S RIDGEWOOD DRIVE,Wichita,Sedgwick,KS,,316-685-3322,6/25/21,Comfort Care Homes Inc #147
COMFORT CARE HOMES INC #219,B087206,HOME PLUS,219 S MORNINGSIDE ST,Wichita,Sedgwick,KS,,316-685-3322,6/25/21,Comfort Care Homes Inc #219
COMFORT CARE HOMES INC #441,B087095,HOME PLUS,441 S MORNINGSIDE ST,Wichita,Sedgwick,KS,,316-685-3322,6/25/21,Comfort Care Homes Inc #441
COMFORT CARE HOMES INC #509,B087126,HOME PLUS,509 N TALLYRAND STREET,Wichita,Sedgwick,KS,,316-685-3322,6/25/21,Comfort Care Homes Inc #509
COMFORT CARE HOMES INC #557,B087186,HOME PLUS,557 N ARMOUR,Wichita,Sedgwick,KS,,316-685-3322,6/25/21,Comfort Care Homes Inc #557
COMFORT CARE HOMES INC #641,B087125,HOME PLUS,641 N BROADMOOR AVE,Wichita,Sedgwick,KS,,316-685-3322,6/25/21,Comfort Care Homes Inc #641
COMFORT CARE HOMES OF KANSAS CITY LLC,B046066,HOME PLUS,9631 DELMAR STREET,Overland Park,Johnson,KS,,816-830-9767,6/25/21,Comfortcare Homes Kc-Delmar
COMFORTCARE HOMES MILLIES PLACE,B019002,HOME PLUS,803 LAKEVIEW DR,Pittsburg,Crawford,KS,,620-308-6520,6/25/21,Comfortcare Homes Millies Place
COMFORTCARE HOMES OF BALDWIN CITY LLC,B023014,HOME PLUS,232 ELM STREET,Baldwin City,Douglas,KS,,785-594-2603,6/25/21,Comfortcare Homes Of Baldwin City Llc
COMFORTCARE HOMES OF HARVEY COUNTY ANNABELLES COTTAGE,B040003,HOME PLUS,1508 TERRACE DRIVE,Newton,Harvey,KS,,316-333-1406,6/25/21,Comfortcare Homes Of Harvey County Annabelles Cottage
COMFORTCARE HOMES OF HARVEY COUNTY LLC MAMA GS HOUSE,B040001,HOME PLUS,1504 TERRACE DRIVE,Newton,Harvey,KS,,316-804-7220,6/25/21,Comfortcare Homes Of Harvey County Llc Mama Gs House
COMFORTCARE HOMES OF KANSAS CITY LLC,B046032,HOME PLUS,10205 HOWE DRIVE,Leawood,Johnson,KS,,913-381-2580,6/25/21,Comfortcare Homes Kc - Howe Llc
COMFORTCARE HOMES OF KANSAS CITY LLC,B046031,HOME PLUS,9825 OVERBROOK ROAD,Leawood,Johnson,KS,,913-341-5547,6/25/21,Comfortcare Homes Of Kc - Overbrook Llc
COMFORTCARE HOMES OF OTTAWA LLC,B030013,HOME PLUS,27 E ROCKWOOD DRIVE,Ottawa,Franklin,KS,,785-.59-4.26,6/25/21,Comfortcare Homes Of Ottawa Llc
COMFORTCARE HOMES OF PITTSBURG LLC COLLEENS COTTAGE,B019004,HOME PLUS,704 LAKEVIEW DRIVE,Pittsburg,Crawford,KS,,620-308-6520,6/25/21,Comfortcare Homes Of Pittsburg Llc Colleens Cottage
COMPASSIONATE CARE WEST,B087167,HOME PLUS,968 N TYLER RD,Wichita,Sedgwick,KS,,316-440-4167,6/25/21,Compassionate Care West
COUNTRY LIVING OF LARNED HOME PLUS,B073001,HOME PLUS,710 WEST 9TH STREET,Larned,Pawnee,KS,,620-285-6212,6/25/21,Country Living Of Larned Home Plus
COUNTRY LIVING OF LARNED HOME PLUS II,B073002,HOME PLUS,712 WEST 9TH,Larned,Pawnee,KS,,620-285-6900,6/25/21,Country Living Of Larned Home Plus Ii
COUNTRY PLACE MEMORY CARE OF CHANUTE,B067003,HOME PLUS,705 OSA MARTIN BLVD,Chanute,Neosho,KS,,620-431-0599,6/25/21,Country Place Memory Care Of Chanute
COUNTRY PLACE MEMORY CARE OF FORT SCOTT,B006006,HOME PLUS,822 S HORTON STREET,Fort Scott,Bourbon,KS,,620-223-1822,6/25/21,Country Place Memory Care Of Fort Scott
COVENANT CARE SENIOR LIVING,B087158,HOME PLUS,14422 TWINLAKE DRIVE,Wichita,Sedgwick,KS,,316-655-9996,6/25/21,Covenant Care Senior Living
DC DEFENSE SYSTEMS LLC,B089101,HOME PLUS,1920 SW 32ND ST,Topeka,Shawnee,KS,,785-408-1559,6/25/21,Providence Homes Plus
DIVINE CARE HOMES LLC,B087195,HOME PLUS,5319 S SPRUCE STREET,Wichita,Sedgwick,KS,,316-796-4147,6/25/21,Divine Care Homes Llc
ELDER LIVING LLC,B005004,HOME PLUS,155 NW 10TH AVE,Great Bend,Barton,KS,,620-617-4096,6/25/21,Aster Estates
ELLINWOOD COUNTRY LIVING,B005001,HOME PLUS,302 N. MAIN STREET,Ellinwood,Barton,KS,,620-564-2100,6/25/21,Ellinwood Country Living
EMERALD SENIORS LLC,B087210,HOME PLUS,1226 S BYRON ROAD,Wichita,Sedgwick,KS,,316-258-1883,6/25/21,Emerald Seniors Llc
FREMONT HOME PLUS LLC,B087246,HOME PLUS,2062 N GARNETT ST,Wichita,Sedgwick,KS,,316-305-7405,6/25/21,Fremont Home Plus Llc
FUSION SENIOR CARE HOMES LLC,B087218,HOME PLUS,512 N BEBE STREET,Wichita,Sedgwick,KS,,774-361-4056,6/25/21,Fusion Senior Care Homes Llc
GARDEN CITY SR OPERATIONS LLC,B028002,HOME PLUS,2002 LABRADOR BLVD,Garden City,Finney,KS,,620-290-0469,6/25/21,The Cottages Senior Care Living Of Garden City
GENERATIONS HOME PLUS,B018003,HOME PLUS,28550 121ST RD,Arkansas City,Cowley,KS,,620-660-0938,6/25/21,Generations Home Plus
GOLDEN BOOMERS 2,B087242,HOME PLUS,6900 STONEGATE ST,Wichita,Sedgwick,KS,,316-730-3110,6/25/21,Golden Boomers 2
GOLDEN BOOMERS HOME PLUS LLC,B087216,HOME PLUS,6953 E KENTFORD CIRCLE,Wichita,Sedgwick,KS,,316-730-3110,6/25/21,Golden Boomers Home Plus Llc
GOLDEN OAKS,B089092,HOME PLUS,11701 W 60TH PLACE,Shawnee,Johnson,KS,,913-717-6257,6/25/21,Golden Oaks
GOSHEN HOME CARE INC,B046036,HOME PLUS,9939 FOSTER STREET,Overland Park,Johnson,KS,,913-341-2724,6/25/21,Goshen Home Care Inc
GRACE COTTAGE LLC,B087219,HOME PLUS,531 N CRESTLINE,Wichita,Sedgwick,KS,,316-990-2366,6/25/21,Grace Cottage Llc
GRACEFUL HOME LLC,B089098,HOME PLUS,3100 SE ILLINOIS AVE,Topeka,Shawnee,KS,,785-424-2785,6/25/21,Graceful Home Llc
HARMONY ADULT HOME PLUS,B059013,HOME PLUS,1108 EAST SIMPSON STREET,Mcpherson,Mcpherson,KS,,620-242-7981,6/25/21,Harmony Adult Home Plus
HARMONY HOUSE HOME PLUS LLC,B087240,HOME PLUS,400 N PETERSON AVE,Wichita,Sedgwick,KS,,316-351-1148,6/25/21,Harmony House Home Plus Llc
HAVEN HOUSE,B078029,HOME PLUS,410 NORTH RENO AVENUE,Haven,Reno,KS,,620-465-2421,6/25/21,Haven House
HEART TO HEART HOME PLUS,B030008,HOME PLUS,3600 COLORADO ROAD,Pomona,Franklin,KS,,785-241-0023,6/25/21,Heart To Heart Home Plus
HEARTLAND HAVEN HOME PLUS,B059012,HOME PLUS,1345 CHEROKEE ROAD,Inman,Mcpherson,KS,,620-585-6908,6/25/21,Heartland Haven Home Plus
HEARTLAND MEADOWS LLC,B001001,HOME PLUS,1727 OREGON ROAD,Iola,Allen,KS,,620-228-5200,6/25/21,Heartland Meadows Llc
HILLSDALE PLACE LLC,B089086,HOME PLUS,1402 SW LANCASTER STREET,Topeka,Shawnee,KS,,785-783-7762,6/25/21,Hillsdale Place Llc
HILLSIDE GUEST HOME,B006003,HOME PLUS,1115 227TH STREET,Fort Scott,Bourbon,KS,,620-223-6132,6/25/21,Hillside Guest Home
HOME AGAIN SENIOR LIVING LLC,B049001,HOME PLUS,321 N MAIN STREET,Haviland,Kiowa,KS,,620-862-5867,6/25/21,Home Again Senior Living Llc
HOMESTEAD ESTATES HOME PLUS,B088002,HOME PLUS,1140 S PERSHING AVE,Liberal,Seward,KS,,620-626-5672,6/25/21,Homestead Estates Home Plus
HORTON HOUSE,B006004,HOME PLUS,1126 S HORTON,Fort Scott,Bourbon,KS,,660-644-5019,6/25/21,Horton House
JOHNSONVILLE CARE HOME,B105138,HOME PLUS,2213 N. 22ND STREET,Kansas City,Wyandotte,KS,,913-371-0701,6/25/21,Johnsonville Care Home
JOHNSONVILLE HOME LLC,B105114,HOME PLUS,2419 N 22ND STREET,Kansas City,Wyandotte,KS,,913-371-3995,6/25/21,Johnsonville Home Llc
JOY HOME,B096017,HOME PLUS,"419 N PACIFIC STREET, PO BOX 26",Oxford,Sumner,KS,,620-455-3224,6/25/21,Joy Home
"KARAWAY, LLC",B089091,HOME PLUS,1815 SW WESTWOOD CIRCLE,Topeka,Shawnee,KS,,785-608-4535,6/25/21,"Karaway, Llc"
KEEPSAKE KOTTAGE #2,B087226,HOME PLUS,6412 E MARJORIE,Wichita,Sedgwick,KS,,316-650-4526,6/25/21,Keepsake Kottage #2
KEEPSAKE KOTTAGE #3,B087228,HOME PLUS,1411 S. MAIZE RD,Wichita,Sedgwick,KS,,316-650-4526,6/25/21,Keepsake Kottage #3
KEEPSAKE KOTTAGE LLC,B008005,HOME PLUS,15834 SW BUTLER ROAD,Rose Hill,Butler,KS,,316-350-6713,6/25/21,Keepsake Kottage Llc #1
KEEPSAKE KOTTAGE LLC,B087252,HOME PLUS,2940 W RIVER PARK DR,Wichita,Sedgwick,KS,,316-650-4526,6/25/21,Keepsake Kottage #4
KELLY HOUSE OF MERIDEN NORTH,B044001,HOME PLUS,6313 HIGHWAY K-4,Meriden,Jefferson,KS,,785-484-0100,6/25/21,Kelly House Of Meriden North
KELLY HOUSE OF MERIDEN SOUTH,B044002,HOME PLUS,3566 62ND STREET,Meriden,Jefferson,KS,,785-484-2165,6/25/21,Kelly House Of Meriden South
LEGACY LIVING LLC,B011004,HOME PLUS,445 E 10TH STREET,Baxter Springs,Cherokee,KS,,620-856-2756,6/25/21,Legacy Living Llc
LEISURE HOMESTEAD AT STAFFORD,N093002,NURSING FACILITYHOME PLUS,405 GRAND AVENUE,Stafford,Stafford,KS,,620-234-5208,6/25/21,Leisure Homestead At Stafford
LOIS HOUSE LLC,B087241,HOME PLUS,2734 N WELLESLEY,Wichita,Sedgwick,KS,,316-409-2276,6/25/21,Lois House Llc
LOVING CARE OF MCPHERSON,B059006,HOME PLUS,1411 DOVER ROAD,Mcpherson,Mcpherson,KS,,620-718-5047,6/25/21,Loving Care Of Mcpherson
LOVING HEARTS LLC,B087201,HOME PLUS,2311 W WESTPORT ST,Wichita,Sedgwick,KS,,316-239-6726,6/25/21,Loving Hearts Llc
MANHATTAN RETIREMENT FOUNDATION INC,B081001,HOME PLUS,7621 FALCON RD,Riley,Riley,KS,,785-485-2777,6/25/21,Meadowlark Riley House
MANHATTAN RETIREMENT FOUNDATION INC,B081002,HOME PLUS,120 N SCENIC DRIVE,Manhattan,Riley,KS,,785-317-8435,6/25/21,Meadowlark Scenic House
MARJORIES HOME LLC,B087162,HOME PLUS,14601 TIMBER LAKE ROAD,Wichita,Sedgwick,KS,,316-260-1234,6/25/21,Marjories Home Llc
MARJORIES HOME LLC GP,B087199,HOME PLUS,524 N MAIN STREET,Garden Plain,Sedgwick,KS,,316-213-9816,6/25/21,Marjories Home Llc Gp
MARJORIES HOME OF KINGMAN LLC,B048002,HOME PLUS,1211 W KELLY AVENUE,Kingman,Kingman,KS,,316-648-3368,6/25/21,Marjories Home Of Kingman Llc
MEADOWLARK ADULT CARE HOME 2,B087135,HOME PLUS,254 S  ROBIN ROAD,Wichita,Sedgwick,KS,,316-773-2277,6/25/21,Meadowlark Adult Care Home 2
MEADOWLARK ADULT CARE HOME 3,B087141,HOME PLUS,11216 W. MAPLE STREET,Wichita,Sedgwick,KS,,316-773-2277,6/25/21,Meadowlark Adult Care Home 3
MEADOWLARK ADULT CARE HOME 4,B087147,HOME PLUS,1425 LEECREST STREET,Wichita,Sedgwick,KS,,316-773-2277,6/25/21,Meadowlark Adult Care Home 4
MEADOWLARK ADULT CARE HOME 6,B087178,HOME PLUS,10001 W. 12TH STREET NORTH,Wichita,Sedgwick,KS,,316-773-2277,6/25/21,Meadowlark Adult Care Home 6
MEMORY VILLAGE OF OVERLAND PARK LLC,B046078,HOME PLUS,12640 W 137TH ST,Overland Park,Johnson,KS,,913-730-3700,6/25/21,Maggie'S Place At Colonial Village Building 3
MEMORY VILLAGE OF OVERLAND PARK LLC,B046077,HOME PLUS,12650 W 137TH ST,Overland Park,Johnson,KS,,913-730-3700,6/25/21,Maggie'S Place At Colonial Village Building 2
MEMORY VILLAGE OF OVERLAND PARK LLC,B046076,HOME PLUS,12620 W 137TH ST,Overland Park,Johnson,KS,,913-730-3700,6/25/21,Maggie'S Place At Colonial Village Building 1
MEMORY VILLAGE OF OVERLAND PARK LLC,B046080,HOME PLUS,12600 W 137TH ST,Overland Park,Johnson,KS,,913-730-3700,6/25/21,Maggie'S Place At Colonial Village Building 5
MEMORY VILLAGE OF OVERLAND PARK LLC,B046079,HOME PLUS,12630 W 137TH ST,Overland Park,Johnson,KS,,913-730-3700,6/25/21,Maggie'S Place At Colonial Village Building 4
MORNINGSTAR CARE HOMES AT DUNN'S VISTA,B023020,HOME PLUS,424 WASHINGTON STREET,Baldwin City,Douglas,KS,,785-.59-4.26,6/25/21,Morningstar Care Homes At Dunn'S Vista
NEW LIFE HOME PLUS LLC,B087239,HOME PLUS,1214 N CHARLOTTE STREET,Wichita,Sedgwick,KS,,316-247-2209,6/25/21,New Life Home Plus Llc
OAKLEY #3,B089096,HOME PLUS,3314 SW FRONT,Topeka,Shawnee,KS,,785-783-2128,6/25/21,Oakley #3
OAKLEY PLACE #1,B089081,HOME PLUS,618 SW OAKLEY,Topeka,Shawnee,KS,,785-221-7740,6/25/21,Oakley Place #1
OAKLEY PLACE #2,B089082,HOME PLUS,"618 SW OAKLEY AVENUE, SUITE B",Topeka,Shawnee,KS,,785-221-7740,6/25/21,Oakley Place #2
OAKLEY PLACE OF ROSSVILLE,B089089,HOME PLUS,590 INDUSTRIAL TRAFFICWAY,Rossville,Shawnee,KS,,785-584-6075,6/25/21,Oakley Place Of Rossville
OAKLEY PLACE OF SENECA,B066002,HOME PLUS,1306 BRANCH ST,Seneca,Nemaha,KS,,785-334-6000,6/25/21,Oakley Place Of Seneca
OUR HOME SENIOR CARE,B089093,HOME PLUS,5745 ROSEHILL RD,Shawnee,Johnson,KS,,913-296-3136,6/25/21,Our Home Senior Care
PEACE OF MIND HOME PLUS,B008003,HOME PLUS,400 E. SCHOOL,Rose Hill,Butler,KS,,316-260-7046,6/25/21,Peace Of Mind Home Plus
PEACE OF MIND LLC II,B087196,HOME PLUS,"223 N BURR OAK ROAD, PO BOX 173",Wichita,Sedgwick,KS,,316-295-4538,6/25/21,Peace Of Mind Llc Ii
PLATINUM CARE HOMES,B087203,HOME PLUS,5701 E. 17TH NORTH,Wichita,Sedgwick,KS,,316-618-0584,6/25/21,Platinum Care Homes
PLEASANT HILLS,B078030,HOME PLUS,2500 PLEASANT HILLS PARKWAY,Hutchinson,Reno,KS,,620-665-6639,6/25/21,Pleasant Hills
PRAIRIE ELDER HOMES  HARMONY HOUSE,B046059,HOME PLUS,11865 W 155TH TERRACE,Overland Park,Johnson,KS,,913-257-5425,6/25/21,Prairie Elder Homes  Harmony House
PRAIRIE WIND SENIOR LIVING,B089084,HOME PLUS,5227 SE 77TH STREET,Berryton,Shawnee,KS,,785-862-5318,6/25/21,Prairie Wind Senior Living
PRECIOUS GEMS HOMES  LLC,B087229,HOME PLUS,512 HORSESHOE BEND,Maize,Sedgwick,KS,,316-977-8875,6/25/21,Precious Gems Homes  Llc
PRECIOUS GEMS HOMES PLUS LLC,B087116,HOME PLUS,5502 POLO DRIVE,Wichita,Sedgwick,KS,,316-686-8098,6/25/21,Precious Gems Homes  At Polo Dr
PREMIER LIVING BY WARDEN LLC,B087119,HOME PLUS,234 S ANNA STREET,Wichita,Sedgwick,KS,,316-945-2028,6/25/21,Premier Living By Warden Llc
PREMIER LIVING BY WARDEN LLC 2,B087217,HOME PLUS,754 N MCCOMAS AVENUE,Wichita,Sedgwick,KS,,316-945-2028,6/25/21,Premier Living By Warden Llc 2
PREMIER LIVING BY WARDEN LLC 4,B087142,HOME PLUS,1229 S BYRON ROAD,Wichita,Sedgwick,KS,,316-945-2028,6/25/21,Premier Living By Warden Llc 4
PROGRESSIVE CARE HOME PLUS LLC,B071002,HOME PLUS,513 MILL STREET,Alton,Osborne,KS,,785-984-2290,6/25/21,Progressive Care Home Plus Llc
RAINBOW CARE HOMES LLC,B087251,HOME PLUS,1858 S GREENWAY BLVD,Wichita,Sedgwick,KS,,316-721-1010,6/25/21,Rainbow Greenway
REFLECTION LIVING LLC,B087146,HOME PLUS,1377 N IROQUOIS ROAD,Wichita,Sedgwick,KS,,316-992-2119,6/25/21,Reflection Living Llc
REFLECTION LIVING MAIZE COURT 1,B087189,HOME PLUS,623 S. MAIZE COURT,Wichita,Sedgwick,KS,,316-680-4724,6/25/21,Reflection Living Maize Court 1
REFLECTION LIVING MAIZE COURT 2,B087188,HOME PLUS,625 S. MAIZE COURT,Wichita,Sedgwick,KS,,316-680-4724,6/25/21,Reflection Living Maize Court 2
REFLECTION LIVING MAIZE COURT 3,B087194,HOME PLUS,619 S. MAIZE COURT,Wichita,Sedgwick,KS,,316-680-4724,6/25/21,Reflection Living Maize Court 3
REFLECTION LIVING OF HIDDEN LAKES LLC,B087155,HOME PLUS,550 CIRCLE LAKE,Wichita,Sedgwick,KS,,316-425-5531,6/25/21,Reflection Living Of Hidden Lakes Llc
REFLECTIONS AT PARK WEST PLAZA,B087144,HOME PLUS,515 N. MAIZE ROAD,Wichita,Sedgwick,KS,,316-729-4114,6/25/21,Reflections At Park West Plaza
