PROGRAM_DESCRIPTION,FACILITY_NAME,GEOGRAPHIC_STREET,GEOGRAPHIC_CITY,GEOGRAPHIC_STATE,GEOGRAPHIC_ZIP_CODE,PARISH,MAIL_STREET,MAIL_CITY,MAIL_STATE,MAIL_ZIP,ORIGINAL_LICENSURE_DATE,LICENSURE_EXPIRATION_DATE,ADMINISTRATOR,EMAIL_ADDRESS,TELEPHONE_NUMBER,FAX_PHONE_NUMBER,LDH_REGION_CODE,LICENSURE_NUM
Home and Community Based Services,"Care One Health, LLC",9800 Airline Hwy Suite 111,BATON ROUGE,LA,70816,EAST BATON ROUGE,P O BOX 90,BAKER,LA,70704,9/21/06,6/30/21,Tonya  Seals,careonehealth@yahoo.com,(225) 923-2090,(225) 284-1004,2,2203784005
Home and Community Based Services,"Care Solutions, Inc.",509 North Second Street,MONROE,LA,71201,OUACHITA,509 NORTH SECOND STREET,MONROE,LA,71201,12/4/03,12/31/21,Victoria  Jacola,ajacola@caresolutions-inc.com,(318) 362-0036,(318) 362-0165,8,2203782611
Home and Community Based Services,Careers In Progress,529 St. John Street,LAFAYETTE,LA,70501,LAFAYETTE,"103 EXCHANGE PLACE, SUITE 100",LAFAYETTE,LA,70503,4/24/96,3/31/22,Jennifer  Vath,jennifer.simon@rescare.com,(337) 233-2731,(337) 572-9728,4,4247
Home and Community Based Services,"Caregiver Homes of Louisiana Inc.-Regions 1,2,3,4,5,6,7,8,&9",7884 Office Park Blvd. Suite 120,BATON ROUGE,LA,70809,EAST BATON ROUGE,7884 OFFICE PARK. SUITE 120,BATON ROUGE,LA,70809,3/6/15,2/28/22,JULIE  KENNY,dbreaux@caregiverhomes.com,(225) 329-8793,(225) 929-5665,2,2203782304
Home and Community Based Services,"Caregivers Personal Assistance, LLC",7414 Main Street,HOUMA,LA,70360,TERREBONNE,7414 MAIN STREET,HOUMA,LA,70360,10/9/02,10/31/21,Karmella D Minor,caregivers1223@gmail.com,(985) 580-2165,(985) 223-4424,3,15323
Home and Community Based Services,Caring Angel Connection Inc,106 Courthouse Sq.,RAYVILLE,LA,71269,RICHLAND,300 WASHINGTON STREET SUITE 104,MONROE,LA,71201,2/18/09,2/28/22,YOLANDA  LYNCH,dfallc@bellsouth.net,(318) 728-3488,(318) 728-3468,8,2203784909
Home and Community Based Services,Caring Hands L.L.C.,134 Arlington Drive,LAKE CHARLES,LA,70605,CALCASIEU,134 ARLINGTON DRIVE,LAKE CHARLES,LA,70605,8/13/19,7/31/21,Leslie  Jacobs,leslie.mouton@yahoo.com,(337) 564-6164,(337) 564-6331,5,2203784367
Home and Community Based Services,Caring Touch Home Care,"292 Ridge Road, Suite 13",LAFAYETTE,LA,70506,LAFAYETTE,"292 RIDGE ROAD, SUITE 13",LAFAYETTE,LA,70506,4/29/08,7/31/21,Kevin  Vitto,caringtouch292@gmail.com,(337) 233-7009,(337) 233-7059,4,2203781134
Home and Community Based Services,Catahoula Association Of Retarded Citizens,810 First Street,JONESVILLE,LA,71343,CATAHOULA,P. O. BOX 789,JONESVILLE,LA,71343,10/6/82,10/31/21,Debbie T Manning,carccenter@bellsouth.net,(318) 339-8176,(318) 339-7716,6,2325
Home and Community Based Services,"Cathy E. Moore Respite Care And Pca Services, Inc.","2626 Charles Drive, Suite B",CHALMETTE,LA,70043,ST. BERNARD,P O BOX 79,VIOLET,LA,70092,10/1/05,6/30/21,Karen M Serpas,cathym1963@gmail.com,(504) 278-2922,(504) 278-2923,1,10049
Home and Community Based Services,Center For Personal Development,1701 Lamy Lane,MONROE,LA,71201,OUACHITA,P. O. BOX 4381,MONROE,LA,71211,6/25/07,10/31/21,KENYA  TRICE,cfpd@bellsouth.net,(318) 329-0240,(318) 329-0239,8,2203781186
Home and Community Based Services,Chalmette Community Center,3700 Jean Lafitte Parkway,CHALMETTE,LA,70043,ST. BERNARD,925 LABARRE ROAD,METAIRIE,LA,70001,10/1/11,9/30/12,,kimh@arcgno.org,(504) 837-5105,(504) 831-4107,1,2203781000
Home and Community Based Services,"Chambers Quality Home Care, LLC",1200 S Acadian Thruway Suite 103,BATON ROUGE,LA,70806,EAST BATON ROUGE,1200 S ACADIAN THRUWAY SUITE 103,BATON ROUGE,LA,70806,12/8/20,11/30/21,Darlecia  Chambers,dchambers@chambersqualityhomecare.com,(225) 256-7156,(225) 256-7157,2,2203784813
Home and Community Based Services,Charlie''s Place-Alzheimer,3772 North Boulevard,BATON ROUGE,LA,70806,EAST BATON ROUGE,3772 NORTH BOULEVARD,BATON ROUGE,LA,70806,4/20/10,4/30/22,Julie  Knight,serve2@alzbr.org,(225) 334-7494,(225) 387-3664,2,13057
Home and Community Based Services,"Cherie''s Tender Care, LLC ",5620 St. Claude Ave.,NEW ORLEANS,LA,70117,ORLEANS,P.O. 3791,NEW ORLEANS,LA,70177,4/30/02,4/30/22,Tarshia  Robinson,cheriestendercarellc@gmail.com,(504) 945-8118,(504) 309-7560,1,9297
Home and Community Based Services,"Choice Providers, LLC","2006 Gus Kaplan Drive, Suite A",ALEXANDRIA,LA,71301,RAPIDES,"2006 GUS KAPLAN DRIVE, SUITE A",ALEXANDRIA,LA,71301,8/26/09,6/30/21,Kendra  Young,kendrayoung@choiceproviders.us,(318) 484-7310,(318) 484-7374,6,2203783486
Home and Community Based Services,Christwood Companion Services,100 Christwood Blvd,COVINGTON,LA,70433,ST. TAMMANY,100 CHRISTWOOD BLVD,COVINGTON,LA,70433,5/21/14,5/31/22,Jennifer  Buchholz,jbuchholz@christwoodrc.com,(985) 292-1221,(985) 259-8802,9,2203782021
Home and Community Based Services,Clear Head Westbank,2310 Park Place,TERRYTOWN,LA,70056,JEFFERSON,2310 PARK PLACE DRIVE,TERRYTOWN,LA,70056,1/19/18,2/28/22,Amanda  Wilkerson,amandawilkerson18@yahoo.com,(504) 393-4222,(504) 393-4220,1,2203784581
Home and Community Based Services,Cognitive Development Center Personal Care Services,1811 Roselawn Avenue,MONROE,LA,71201,OUACHITA,P. O. BOX 7563,MONROE,LA,71211,10/1/05,11/30/21,PAMELA  PATRICK,latondrafisher@bellsouth.net,(318) 651-8080,(318) 651-8081,8,10839
Home and Community Based Services,Comforcare Senior Services-Slidell,2101Sergeant Alfred Drive Suite C,SLIDELL,LA,70458,ST. TAMMANY,2101SERGEANT ALFRED DRIVE SUITE C,SLIDELL,LA,70458,4/14/04,7/31/21,Lori A Franzo,slidell@comforcare.com,(985) 781-6619,(985) 781-6629,9,2203784071
Home and Community Based Services,Comfort Keepers,"4626 Jamestown Avenue, Suite 6",BATON ROUGE,LA,70808,EAST BATON ROUGE,"1 PARK PLAZA, SUITE 300",IRVINE,CA,92614,6/17/04,10/31/21,Amber  Duhon,AmberDuhon@corp.comfortkeepers.com,(225) 217-1863,(937) 264-3103,2,2203784455
Home and Community Based Services,Comfort Keepers,"6039 Five Oaks Drive, Suite A",SHREVEPORT,LA,71129,CADDO,"1 PARK PLAZA, SUITE #300",IRVINE,CA,92614,6/17/04,10/31/21,Robert A Myer,www.comfortkeepers.com,(318) 215-9484,(318) 754-3374,7,2203784452
Home and Community Based Services,"Community Angels Of Hope, LLC","1000 Chinaberry Drive, Suite 101",BOSSIER CITY,LA,71111,BOSSIER,"1000 CHINABERRY DRIVE, SUITE 101",BOSSIER CITY,LA,71111,6/13/06,2/28/22,Cheryl  Foster,cfoster450@aol.com,(318) 746-4673,(318) 549-9003,7,2203784919
Home and Community Based Services,Community Bridges West Inc-Waiver Services Ruston,1201 Atkins Road.,RUSTON,LA,71270,LINCOLN,P. O. BOX 715,RUSTON,LA,71273,5/12/09,5/31/22,Felicia L Johnson,cantcallu@hotmail.com,(318) 255-9137,(318) 255-8233,8,15228
Home and Community Based Services,"Community Care Services, Inc.",59 McGowen Lane,RAYVILLE,LA,71269,RICHLAND,59 MCGOWEN LANE,RAYVILLE,LA,71269,10/1/05,3/31/22,Donna  Strong,ccs@ccareservices.com,(318) 417-7145,(318) 303-4840,8,2203783900
Home and Community Based Services,"Community Connection Programs, Inc.",1332 Oretha Castle Haley Blvd.,NEW ORLEANS,LA,70113,ORLEANS,1332 ORETHA CASTLE HALEY BLVD.,NEW ORLEANS,LA,70113,10/1/05,12/31/21,Tanda  Armstrong (Chavis),tarmstrong@ccprograms.org,(504) 522-4304,(504) 522-4305,1,2203781463
Home and Community Based Services,"Community Connection Programs, Inc.",2035 Wooddale Blvd. Suite D,BATON ROUGE,LA,70806,EAST BATON ROUGE,1332 ORETHA CASTLE HALEY BLVD,NEW ORLEANS,LA,70113,10/1/05,6/30/21,Valarie  Dibia,vdibia@ccprograms.org,(225) 925-8600,(225) 925-8601,2,10560
Home and Community Based Services,"Community Connection Programs, Inc.",228 Richmond Street,BOGALUSA,LA,70427,WASHINGTON,1332 ORETHA CASTLE HALEY BLVD,NEW ORLEANS,LA,70113,10/1/05,8/31/21,MS. Voncile  Weary,tarmstrong@ccprograms.org,(985) 730-9011,(985) 730-9013,9,6965
Home and Community Based Services,"Community Independent Living Services, L.L.C.",940 Ellis Street,FRANKLINTON,LA,70438,WASHINGTON,940 ELLIS STREET,FRANKLINTON,LA,70438,1/13/00,1/31/22,Myrna  Goings,cils@bellsouth.net,(985) 795-0096,(985) 839-5114,9,7084
Home and Community Based Services,"Community Living Alternatives, Inc.",1207 Canal Blvd,THIBODAUX,LA,70301,LAFOURCHE,4134 FLORIDA AVE. SUITE 100,KENNER,LA,70065,2/12/03,8/31/21,Kathy  Luke,jobugg@cox.net,(985) 448-1129,(985) 448-1685,3,2203782078
Home and Community Based Services,"Community Living Alternatives, Inc.","4134 Florida Ave., Ste. 100",KENNER,LA,70065,JEFFERSON,4134 FLORIDA AVE. SUITE 100,KENNER,LA,70065,4/25/02,11/30/21,JO  BUGG,Jobugg@cox.net,(504) 471-0086,(504) 471-0664,1,2203782190
Home and Community Based Services,"COMMUNITY PERSONAL CARE SERVICES, LLC","5750 Johnston Street, Suite 204",LAFAYETTE,LA,70503,LAFAYETTE,"5750 JOHNSTON STREET, SUITE 204",LAFAYETTE,LA,70503,7/9/01,7/31/21,Ashley  Robicheaux,ddugas@healthandhospice.com,(337) 806-9190,(337) 806-9186,4,2203784047
Home and Community Based Services,"Community Waiver Services, LLC",727 Ohio Street,DELHI,LA,71232,RICHLAND,727 OHIO STREET,DELHI,LA,71232,6/17/10,9/30/21,Pamela B Knight,cws71232@yahoo.com,(888) 837-6175,(318) 878-5655,8,2203781871
Home and Community Based Services,Companion Care Of Swla,1877-B Hwy 190 West,DERIDDER,LA,70634,BEAUREGARD,1877-B HWY 190 WEST,DERIDDER,LA,70634,9/18/09,8/31/21,Mark  Wallace,companioncare13@yahoo.com,(337) 463-3550,(337) 463-8012,5,2203784070
Home and Community Based Services,Companion Care of SWLA,407 B North 5th Street,LEESVILLE,LA,71446,VERNON,407 B NORTH 5TH STREET,LEESVILLE,LA,71446,5/4/15,4/30/22,JAIME  SMITH,companioncare13@yahoo.com,(337) 404-4045,(337) 404-4066,6,2203782335
Home and Community Based Services,"Companion Home Services, LLC","8039 Line Avenue, Suite 1C",SHREVEPORT,LA,71106,CADDO,10615 JEFFERSON HWY,BATON ROUGE,LA,70809,8/27/09,1/31/22,PATRICK  DURR,cratliff@stjosephholdings.com,(318) 429-7482,(318) 222-8723,7,2203783055
Home and Community Based Services,"Compassion Community Services, LLC",910 East Main Street Suite 23,NEW IBERIA,LA,70560,IBERIA,910 EAST MAIN STREET SUITE 23,NEW IBERIA,LA,70560,5/23/03,12/31/21,Jeanne  Mitchell,compassioncs@bellsouth.net,(337) 367-5858,(337) 359-9083,4,2203784566
Home and Community Based Services,"Compassionate Covenant Adult Day Health Care, Inc.",1325 Oak Park Blvd.,LAKE CHARLES,LA,70601,CALCASIEU,P.O. BOX 1441,LAKE CHARLES,LA,70601,10/1/05,1/31/22,Tracie  Poullard,tracypoullard@gmail.com,(337) 474-0562,(337) 474-6164,5,2203783040
Home and Community Based Services,"Compassionate Healthcare Services, LLC","5145 Main Street, Suite B",ZACHARY,LA,70791,EAST BATON ROUGE,P O BOX 1152,ZACHARY,LA,70791,10/25/12,10/31/21,Yolanda  Grisby,robinsonchcs2012@att.net,(225) 654-1166,(225) 654-1112,2,2203781188
Home and Community Based Services,"Complete Care Services 2, LLC","1992 Florida Avenue, Suite A",DENHAM SPRINGS,LA,70726,LIVINGSTON,"1992 FLORIDA AVENUE, SUITE A",DENHAM SPRINGS,LA,70726,11/7/19,10/31/21,DERXANN M KEYS,CCS2.PCA2@gmail.com,(225) 304-6764,(225) 416-0999,9,2203784475
Home and Community Based Services,"Complete Choice Personal Care, LLC",1601 AVENUE F,BOGALUSA,LA,70427,WASHINGTON,1601 AVENUE F,BOGALUSA,LA,70427,1/8/09,1/31/22,PATRINA  WILLIAMS,cchoiceccare@yahoo.com,(985) 735-1011,(985) 735-1012,9,2203781581
Home and Community Based Services,"Complete Personal Care Services, LLC",140 Aspen Square Suite B,DENHAM SPRINGS,LA,70726,LIVINGSTON,"140 ASPEN SQUARE, SUITE B",DENHAM SPRINGS,LA,70726,10/1/05,3/31/22,Elizabeth  robertson,hopeclark33@gmail.com,(225) 380-1613,(225) 243-4349,9,2203783218
Home and Community Based Services,"Comprehensive Health Systems, Inc.",941 East McNeese Street,LAKE CHARLES,LA,70607,CALCASIEU,941 EAST MCNEESE STREET,LAKE CHARLES,LA,70607,1/18/06,6/30/21,ETHEL  HODGES,sam6670633@yahoo.com,(337) 478-7727,(337) 477-4253,5,2203783464
Home and Community Based Services,"Comprehensive Independent Goals, Inc.",2138 Wooddale Boulevard Suite 1-A,BATON ROUGE,LA,70806,EAST BATON ROUGE,P.O. BOX 66037,BATON ROUGE,LA,70896,11/6/02,11/30/21,MS. Celia A McGowan,compindgoals@bellsouth.net,(225) 926-5190,(225) 926-6964,2,9449
Home and Community Based Services,"Contin-U-Care Outreach Services, LLC",317 North Broad Street Suite #200,NEW ORLEANS,LA,70119,ORLEANS,"317 NORTH BROAD STREET ,SUITE #200",NEW ORLEANS,LA,70119,10/1/05,7/31/21,Gabrielle  Thomas,continucare53@bellsouth.net,(504) 962-3371,(504) 962-3372,1,15416
Home and Community Based Services,"Country Road Resources, Inc.",25687 Hwy 371,SAREPTA,LA,71071,WEBSTER,P.O. BOX 93,SAREPTA,LA,71071,10/1/05,6/30/21,Ms.. Johniece Whitehead,countryroadresources@yahoo.com,(318) 847-4193,(318) 847-4192,7,11002
Home and Community Based Services,"Courteous Care, Inc",1515 S. Salcedo Street Suite 106,NEW ORLEANS,LA,70125,ORLEANS,1515 S. SALCEDO STREET SUITE 106,NEW ORLEANS,LA,70125,7/2/09,7/31/21,Tonia  Hall,tonia4hall@yahoo.com,(504) 827-2557,(504) 827-5558,1,15257
Home and Community Based Services,"Courtesy Home Care Agency, LLC",4313 Highway 1 Suite A,RACELAND,LA,70394,LAFOURCHE,4313 HIGHWAY 1 SUITE A,RACELAND,LA,70394,10/12/18,9/30/21,Claudette  Alexis,courtesyhomecare@gmail.com,(985) 664-1477,(985) 664-1474,3,2203784119
Home and Community Based Services,"Crossroads Louisiana, Inc",3751 General Degaulle Drive,NEW ORLEANS,LA,70114,ORLEANS,3727 GENERAL DEGAULLE DRIVE,NEW ORLEANS,LA,70114,5/19/03,10/31/21,Susan  McIlwain,crofla@aol.com,(504) 366-1828,(504) 366-1867,1,2203784751
Home and Community Based Services,"D & D Community Connections, Inc.",1041 North 9th Street,MONROE,LA,71201,OUACHITA,1041 NORTH 9TH STREET,MONROE,LA,71201,2/4/02,2/28/22,Ms. Diann Beckwith,lbrowndebra@aol.com,(318) 651-0201,(318) 651-0221,8,9098
Home and Community Based Services,"D & K  Health Care Service , LLC",3200 Hollywood Avenue,SHREVEPORT,LA,71108,CADDO,3200 HOLLYWOOD AVENUE,SHREVEPORT,LA,71108,1/24/05,1/31/22,Quatina  Ealy,dandkcareservice@bellsouth.net,(318) 631-0805,(318) 631-1192,7,14076
Home and Community Based Services,"DDMS of Louisiana, NO. 2",2121 38th Street,KENNER,LA,70065,JEFFERSON,2121 38TH STREET,KENNER,LA,70065,7/29/98,9/30/21,ROUKAYATOU  OUSSEYNI,rouky@ddmsla.com,(504) 513-3159,(504) 405-5487,1,2203784118
Home and Community Based Services,"DDMS of Louisiana, No. 2",217 South Street,MAMOU,LA,70554,EVANGELINE,2645 O'NEAL LANE BUILDING A SUITE B,BATON ROUGE,LA,70816,4/20/00,10/31/21,Kristie  Dupre,admin@ddmsla.com,(225) 767-2344,(225) 767-8068,4,2203784138
Home and Community Based Services,"DDMS of Louisiana, No. 2",4607 Sherwood Common,BATON ROUGE,LA,70816,EAST BATON ROUGE,"2645 O'NEAL LANE BUILDING A, SUITE B",BATON ROUGE,LA,70810,7/1/94,9/30/21,Clifton  Hunt,admin@ddmsla.com,(225) 767-2344,(225) 767-8068,2,2203784113
Home and Community Based Services,"Delta American Healthcare, Inc.",119 Broadway Street,DELHI,LA,71232,RICHLAND,P.O. BOX 308,DELHI,LA,71232,9/27/95,10/31/21,MR. Randall J Watts,ewatts@delamhc.com,(318) 878-9011,(318) 878-5035,8,3913
Home and Community Based Services,"Dependable Care Services, LLC",2118 Hollywood Avenue,SHREVEPORT,LA,71108,CADDO,2118 HOLLYWOOD AVENUE,SHREVEPORT,LA,71108,6/3/09,1/31/22,DEANN  LAWRENCE,d.lawrencedcs@gmail.com,(318) 632-5008,(318) 632-5099,7,15490
Home and Community Based Services,"Desire Care, LLC","2637 Edenborn Avenue, Suite 303",METAIRIE,LA,70002,JEFFERSON,"2637 EDENBORN AVEUNE, SUITE 303",METAIRIE,LA,70002,1/30/03,9/30/21,Shekinah  Oriano,desirecarenola2@gmail.com,(504) 304-5780,(504) 605-3901,1,2203784155
Home and Community Based Services,Desoto Council On Aging,404 Polk Street Suite A,MANSFIELD,LA,71052,DESOTO,P.O. BOX 996,MANSFIELD,LA,71052,1/7/92,7/31/21,Cheryl  Lane,dcoa@bellsouth.net,(318) 872-3700,(318) 872-9473,7,15267
Home and Community Based Services,Desoto Habilitation Services,1528 Old Jefferson Highway,MANSFIELD,LA,71052,DESOTO,P. O. BOX 230,MANSFIELD,LA,71052,7/5/01,7/31/21,VICTORIA  JACKSON,darc_01@bellsouth.net,(318) 872-3255,(318) 872-3233,7,8600
Home and Community Based Services,Direct Care Services Inc,1106 Mcarthur Drive Suite 6,ALEXANDRIA,LA,71303,RAPIDES,1106 MCARTHUR DRIVE SUITE 6,ALEXANDRIA,LA,71303,8/4/11,8/31/21,Wanell N Lewis,dcsinc15@att.net,(318) 441-2229,(318) 442-2755,6,15523
Home and Community Based Services,"Direct Care, Inc.",3006 Common Street,LAKE CHARLES,LA,70601,CALCASIEU,3006 COMMON STREET,LAKE CHARLES,LA,70601,7/21/05,5/31/22,AARON  ORTEGO,aortego@directcareinc.com,(337) 436-5001,(337) 436-5002,5,15394
Home and Community Based Services,"Diversity Health Services, LLC","2035 Wooddale Blvd,Suite E",BATON ROUGE,LA,70806,EAST BATON ROUGE,"2035 WOODDALE BLVD,SUITE E",BATON ROUGE,LA,70806,4/18/08,9/30/21,Carolyn  Dalton,diversityhealth01@att.net,(225) 302-7729,(225) 330-4758,2,15424
Home and Community Based Services,"Divine Miracles, Inc.","2626 Charles Drive, Ste. G",CHALMETTE,LA,70043,ST. BERNARD,"2626 CHARLES DRIVE, SUITE G",CHALMETTE,LA,70043,5/20/09,5/31/22,Donyette  Williams,divinemiraclesinc@yahoo.com,(504) 322-2375,(504) 322-2414,1,15243
Home and Community Based Services,"Divine Purpose Homecare, LLC",2340 Belle Chase Hwy,GRETNA,LA,70056,JEFFERSON,2340 BELLE CHASE HWY.,GRETNA,LA,70056,11/24/08,3/31/22,LILLIE  REED,divinepurposehomecarellc@yahoo.com,(504) 392-3397,(504) 518-4098,1,2203782735
Home and Community Based Services,"Divine Services, LLC",201 Pine Street,MINDEN,LA,71055,WEBSTER,P O BOX 1295,MINDEN,LA,71058,6/2/09,6/30/21,Kimberly  Weston,westonkimberly@att.net,(318) 382-1366,(318) 382-8000,7,15240
Home and Community Based Services,"Donaldsonville Area Association For Retarded Citizens, Inc.",1030 Clay Street,DONALDSONVILLE,LA,70346,ASCENSION,1030 CLAY STREET,DONALDSONVILLE,LA,70346,5/1/06,2/28/22,MS. Marlene  Domingue,daarc@bellsouth.net,(225) 473-4516,(225) 473-4517,2,6675
Home and Community Based Services,"Dream Team Of La, Inc.",42334 Deluxe Plaza Suite 3,HAMMOND,LA,70403,TANGIPAHOA,42334 DELUXE PLAZA SUITE 3,HAMMOND,LA,70403,1/17/07,3/31/22,MS. Shirley  Oriano,dreamteamofla@yahoo.com,(985) 340-3958,(985) 340-3961,9,2203783946
Home and Community Based Services,"Dreamcatchers Total Care, Inc.",3924 General Degaulle Drive,NEW ORLEANS,LA,70114,ORLEANS,3924 GENERAL DEGAULLE DRIVE,NEW ORLEANS,LA,70114,7/12/01,1/31/22,Tarasa  Anderson,dreamcatchers504@bellsouth.net,(504) 362-9090,(504) 362-4410,1,2203782309
Home and Community Based Services,"Efficient Care, LLC",1000 N. Morrison Blvd. Suite E,HAMMOND,LA,70401,TANGIPAHOA,1000 N. MORRISON BLVD. SUITE E,HAMMOND,LA,70401,5/19/11,10/31/21,Scheletha  Cohn,efficientcarepca@gmail.com,(985) 419-1982,(985) 419-1983,9,2203782971
Home and Community Based Services,"Elaine''''''''s Personal Care Services, LLC","419 S. Columbia Street, Suite C",BOGALUSA,LA,70427,WASHINGTON,P.O. BOX 31,BOGALUSA,LA,70427,12/12/17,11/30/21,Valincia  Nichols,elainespersonalcs@yahoo.com,(985) 241-5601,(985) 241-5244,9,2203783705
Home and Community Based Services,Elara Caring,"1310 S. Union Street, Suite 5",OPELOUSAS,LA,70570,ST. LANDRY,"1310 SOUTH UNION STREET, SUITE 5",OPELOUSAS,LA,70570,10/1/05,4/30/22,Lisa  Sostand,regulatory@elara.com,(337) 942-4622,(337) 948-8543,4,2203781668
Home and Community Based Services,"Elite Health Solutions, LLC",7591 Fern Avenue Suite 1602,SHREVEPORT,LA,71105,CADDO,7591 FERN AVE. SUITE 1602,SHREVEPORT,LA,71105,11/16/16,10/31/21,Carla S Anderson,carla@elitehealthsolution.com,(318) 213-5483,(318) 213-5484,7,2203782987
Home and Community Based Services,"Enhance Health Care Services, LLC","1058 East Worthy Road, Suite B ",GONZALES,LA,70737,ASCENSION,"1058  EAST WORTHY ROAD, SUITE B",GONZALES,LA,70737,6/11/01,1/31/22,Erin  Carter,enhancehhc@gmail.com,(225) 400-5092,(225) 450-3799,2,2203783048
Home and Community Based Services,"Enrich Personal Care Service, LLC",3001 Armand Street Suite D,MONROE,LA,71201,OUACHITA,"3001 ARMAND STREET , SUITE D",MONROE,LA,71201,7/9/07,10/31/21,MS. Michael A Hayes,enrichpersonalca@bellsouth.net,(318) 322-7022,(318) 322-7061,8,15136
Home and Community Based Services,"Eternal Blessings, Inc.",6603 Highway 34,CHATHAM,LA,71226,JACKSON,P. O. BOX 386,CHATHAM,LA,71226,1/22/03,1/31/22,Jessica  Barr,eternalblessings2@hotmail.com,(318) 249-4562,(318) 249-4460,8,9807
Home and Community Based Services,Eunice Developmental Center,1582 Hwy 190 West,EUNICE,LA,70535,ST. LANDRY,P. O. BOX 1287,EUNICE,LA,70535,10/1/14,10/31/21,Frankie  LaFleur Jr.,l6edc@aol.com,(337) 546-0667,(337) 546-6827,4,2203782122
Home and Community Based Services,Evangeline Arc Respite Center,310 N.W. Railroad Avenue,VILLE PLATTE,LA,70586,EVANGELINE,P.O. BOX  182,VILLE PLATTE,LA,70586,2/1/96,4/30/22,Thomas W McFarlain,earcrespite@bellsouth.net,(337) 363-2273,(337) 363-7330,4,4083
Home and Community Based Services,Evangeline Association Of Retarded Citizens At Ville Platte,109 West Lasalle Street,VILLE PLATTE,LA,70586,EVANGELINE,P. O. BOX 677,VILLE PLATTE,LA,70586,5/14/91,3/31/22,Rhodonna  Fontenot (ADC ONLY),evangelinearc@yahoo.com,(337) 363-5553,(337) 363-5974,4,2490
Home and Community Based Services,"Evangeline Council On Aging, Inc.",1012 North Reed Street,VILLE PLATTE,LA,70586,EVANGELINE,P.O. BOX 312,VILLE PLATTE,LA,70586,6/20/95,6/30/21,Mr. Eugene Leboeuf,ecoa1971@gmail  ecoasocservices@gmail.com,(337) 766-0060,(337) 363-5301,4,3677
Home and Community Based Services,Evergreen Community Services - Swla/Personal Care Attendant,1146 Hodges Street,LAKE CHARLES,LA,70601,CALCASIEU,1146 HODGES STREET,LAKE CHARLES,LA,70601,12/2/94,10/31/21,MR. Keith W Stevenson,kstevenson@evergreenls.org,(337) 433-9495,(337) 433-9496,5,3327
Home and Community Based Services,"Evergreen Presbyterian Ministries, Inc.",40052 N Hoover RD,PONCHATOULA,LA,70454,TANGIPAHOA,40052 HOOVER RD,PONCHATOULA,LA,70454,10/1/05,6/30/21,Charmaine  Jones,charmaine.jones@evergreenls.org,(985) 467-8001,(985) 467-8083,9,2203783489
Home and Community Based Services,"Evergreen Presbyterian Ministries,Inc.",920 Main Street,PINEVILLE,LA,71360,RAPIDES,920 MAIN STREET,PINEVILLE,LA,71360,1/31/05,1/31/22,Doug  Ryland,devans@evergreenls.org,(318) 445-4470,(318) 445-6503,6,2623
Home and Community Based Services,Evergreen Supported Living Program,4400 Viking Drive,BOSSIER CITY,LA,71111,BOSSIER,4400 VIKING DRIVE,BOSSIER CITY,LA,71111,3/3/93,10/31/21,William J Sadka,bsadka@evergreenls.org,(318) 747-1460,(318) 747-1721,7,14052
Home and Community Based Services,Evergreen West Calcasieu Services,1340 Horridge Street,VINTON,LA,70668,CALCASIEU,958 BEGLIS PARKWAY,SULPHUR,LA,70663,3/2/06,10/31/21,Hilda  Trahan,hilda.trahan@evergreenls.org,(337) 589-1919,(337) 589-6604,5,6705
Home and Community Based Services,"Everline''''''''s Loving Arms, LLC","102 Bellevue Street, Suite 1000",BENTON,LA,71006,BOSSIER,"102 BELLEVUE STREET, SUITE 1000",BENTON,LA,71006,4/28/15,4/30/22,Laura  Fleenor,elovingarms@yahoo.com,(318) 965-0343,(318) 965-0353,7,2203782330
Home and Community Based Services,"Exceptional Client Care Service, LLC",835 Margaret Place,SHREVEPORT,LA,71101,CADDO,835 MARGARET PLACE,SHREVEPORT,LA,71101,10/1/05,5/31/22,Jenny  Choi,jkc671@gmail.com,(318) 221-1161,(318) 221-1164,7,15027
Home and Community Based Services,"Express Medical Staffing, Inc.",8475 Hwy 165,COLUMBIA,LA,71418,CALDWELL,P O BOX 388,GRAYSON,LA,71435,9/17/07,4/30/22,Kim  Thames,expressmedi69529@bellsouth.net,(318) 649-3565,(318) 649-5299,8,15017
Home and Community Based Services,Extended Family Inc.,201 Leonard Street,BREAUX BRIDGE,LA,70517,ST. MARTIN,201 LEONARD STREET,BREAUX BRIDGE,LA,70517,9/19/08,9/30/21,Debrica  Robert,extendedfamily247@gmail.com,(337) 507-3819,(337) 332-0072,4,15114
Home and Community Based Services,Faith And Hope Independent Living,"1126 Plaza Drive, Suite 200",MONROE,LA,71201,OUACHITA,408 THATCHER LANE,MONROE,LA,71203,6/16/08,8/31/21,Neal  Angrum,angrumn@gmail.com,(318) 388-6808,(318) 388-6893,8,2203784057
Home and Community Based Services,Faith And Hope Independent Living,83 South Main Street,GREENSBURG,LA,70441,ST. HELENA,408 THATCHER LANE ,MONROE,LA,71203,7/2/08,2/28/22,Tyeka  Hitchen,angrumn@gmail.com,(225) 222-3243,(225) 222-3263,9,2203781940
Home and Community Based Services,Faith And Hope Independent Living Service,"9508 Plank Road, Suite C",CLINTON,LA,70722,EAST FELICIANA,3000 KILPATRICK BLVD SUITE 200,MONROE,LA,71201,2/8/07,2/28/22,Leslie  Washington,angrumn@gmail.com,(225) 683-3997,(225) 683-1033,2,15095
