State Facility Type 1 Literal,Facility Name,Address,City,State,Zip Code,County,Email Address,Phone Number,License Number
Home and Community Based Services,"Strides Of Acadiana, LLC",502 W Lasalle Street,VILLE PLATTE,LA,70586,EVANGELINE,information@stridespcs.com,(337) 363-3750,11984
Home and Community Based Services,Strive Incorporated,1139 Napoleon Avenue,NEW ORLEANS,LA,70115,ORLEANS,denise@striveincorporated.org,(504) 895-2557,7590
Home and Community Based Services,"Sunny Days Home Care, LLC",308 Court Street,VILLE PLATTE,LA,70586,EVANGELINE,sunnydayshomecarellc@gmail.com,(337) 363-8530,2203784560
Home and Community Based Services,"Sunset Personal Care Services, Inc","3636 Sherwood Forest Blvd., Suite 410",BATON ROUGE,LA,70816,EAST BATON ROUGE,marilyn1518@att.net,(225) 293-1393,2203781686
Home and Community Based Services,"Superb Health Care, Inc.",4480 General Degaulle Drive,NEW ORLEANS,LA,70131,ORLEANS,niengala@bellsouth.net,(504) 975-1242,15486
Home and Community Based Services,"Superior Options Of La., Inc.","1799 Stumpf Blvd, Bldg 2, Ste. 6",TERRYTOWN,LA,70056,JEFFERSON,solacct1997@yahoo.com,(504) 367-9572,8293
Home and Community Based Services,"Support Healthcare Systems, Inc.",105 W. Ebey St.   Suite 2,CHURCH POINT,LA,70525,ACADIA,evelynfilipinas@yahoo.com,(337) 684-0411,14048
Home and Community Based Services,"Supreme Care, LLC",7809 Airline Highway Suite 206,METAIRIE,LA,70003,JEFFERSON,supremecare@netzero.com,(504) 265-8027,6681
Home and Community Based Services,"Supreme Home Health Service, Inc.",1110 Jackson Street,MONROE,LA,71201,OUACHITA,nichelle@supremehomehealth.com,(318) 323-5489,3586
Home and Community Based Services,Sylvia''''''''''''''''''''''''''''''''s Caring Companions He,816 Creswell Lane Suite 5 room 5,OPELOUSAS,LA,70570,ST. LANDRY,sylviacares@bellsouth.net,(337) 942-9939,2203784274
Home and Community Based Services,"Sylvia''''''''s Caring Companions Health Care Services, Inc.",104 West Church Street,BUNKIE,LA,71322,AVOYELLES,sylviacares@bellsouth.net,(318) 346-2540,15313
Home and Community Based Services,Sylvia''''s Caring Companions Health Care Services,"10985 N Harrells Ferry Road, Suite 253",BATON ROUGE,LA,70816,EAST BATON ROUGE,sylviacares@bellsouth.net,(225) 382-2333,2203783957
Home and Community Based Services,"T & B Home Care Services, Inc.","3101 Armand Street, Suite 6",MONROE,LA,71201,OUACHITA,tbhomecaresvcs@bellsouth.net,(318) 600-6143,2203781575
Home and Community Based Services,"Tailored Care, Inc.",2401 Westbend Pkwy. Suite 3110,NEW ORLEANS,LA,70114,JEFFERSON,tina.owen@yahoo.com,(504) 368-1512,2203782556
Home and Community Based Services,"Tailored Home Care, Llc dba Home Instead Senior Care",4129 Parliament Drive,ALEXANDRIA,LA,71303,RAPIDES,kasandra.potito@homeinstead.com,(318) 443-5574,2203784417
Home and Community Based Services,TARC,408 N. Cypress Street,HAMMOND,LA,70401,TANGIPAHOA,veronica@tarc-hammond.com,(985) 345-8811,15103
Home and Community Based Services,"Tcp, Inc. (Theophilus Community Programs)",8288 Tom Drive,BATON ROUGE,LA,70815,EAST BATON ROUGE,tcpacpadm@gmail.com,(225) 928-1730,2203784100
Home and Community Based Services,"Tcp, Inc. (Theophilus Community Programs, Inc.)",806 E. Morris Avenue,HAMMOND,LA,70401,TANGIPAHOA,tcpacpadm@gmail.com,(985) 429-1002,15347
Home and Community Based Services,"Terras Total Care, Inc.",2100 Lapalco Blvd,HARVEY,LA,70058,JEFFERSON,terrastotalcare@ymail.com,(504) 368-1801,15515
Home and Community Based Services,Terrebonne ARC,#1 Mccord Road,HOUMA,LA,70363,TERREBONNE,tarc@terrebonnearc.org,(985) 876-4465,4515
Home and Community Based Services,The Arc - Iberville ,24615 J. Gerald Berret Boulevard,PLAQUEMINE,LA,70765,IBERVILLE,arciberville@bellsouth.net,(225) 687-4062,2424
Home and Community Based Services,The Arc Baton Rouge ,12616 Jefferson Highway,BATON ROUGE,LA,70816,EAST BATON ROUGE,jbulkley@arcbatonrouge.org,(225) 927-0855,2203784472
Home and Community Based Services,"The ARC of Acadiana, Inc.",809 SOUTH SEVERIN,ERATH,LA,70533,VERMILION,natalie.mouton@arcofacadiana.org,(337) 937-6113,2203784850
Home and Community Based Services,The Arc Of Caddo-Bossier,351 Jordan Street,SHREVEPORT,LA,71101,CADDO,kjackson@thearccaddobossier.org,(318) 425-8888,2501
Home and Community Based Services,The Arc Of East Ascension,1122 Southeast Ascension Complex Blvd.,GONZALES,LA,70737,ASCENSION,liz.fussell@thearcea.org,(225) 621-2000,15365
Home and Community Based Services,The ARC of Livingston ,10494 Florida Boulevard,WALKER,LA,70785,LIVINGSTON,finance@lac-la.org,(225) 664-7384,2323
Home and Community Based Services,The Arc Of Morehouse,10640 Lucy Hudson Drive,BASTROP,LA,71220,MOREHOUSE, morehousearc@suddenlinkmail.com,(318) 283-2338,2492
Home and Community Based Services,The Arc of Ouachita,900 North 3rd Street,MONROE,LA,71201,OUACHITA,romak@arcomonroe.org,(318) 387-7817,2203784877
Home and Community Based Services,"The Arc Of St. Charles, Inc.",13771 Highway 631,BOUTTE,LA,70039,ST. CHARLES,rwebre@arcofstcharles.com,(985) 785-0971,5159
Home and Community Based Services,"The Arc Of St. Martin, Inc.",500 Lelia Street,SAINT MARTINVILLE,LA,70582,ST. MARTIN,kerrielorio@yahoo.com,(337) 394-4928,5021
Home and Community Based Services,"The Arc Rapides, Inc.",1700 Ashley Ave.,ALEXANDRIA,LA,71301,RAPIDES,d.urbina@rapidesarc.com,(318) 445-5287,11142
Home and Community Based Services,"The Golden Rule Care- Provider, LLC",2214 Grand Pointe Road,BREAUX BRIDGE,LA,70517,ST. MARTIN,goldenrulecare@cox.net,(337) 332-4005,14000
Home and Community Based Services,The Guild at Raphael Village,3401 Canal Street,NEW ORLEANS,LA,70119,JEFFERSON,jcase@raphaelvillage.org,(504) 482-0058,2203783583
Home and Community Based Services,"The Medical Team, Inc.",3445 N CAUSEWAY BLVD SUITE 904,METAIRIE,LA,70002,JEFFERSON,achampagne@medteam.com,(504) 834-4447,2203782404
Home and Community Based Services,"The Medical Team, Inc.",4722 Highway 311,HOUMA,LA,70360,TERREBONNE,Achampagne@medeteam.com,(985) 872-6666,8913
Home and Community Based Services,"The Right Way, Inc.",10985 North Harrells Ferry Rd. 2nd Floor,BATON ROUGE,LA,70816,EAST BATON ROUGE,trw.bht@att.net,(225) 448-2842,2203781921
Home and Community Based Services,"The Right Way, Inc.",120 Tate Road,DENHAM SPRINGS,LA,70726,LIVINGSTON,trw.kmm@att.net,(225) 664-0163,8673
Home and Community Based Services,The Will Of God Ministries Outreach Program,1113 Caliope Street,COUSHATTA,LA,71019,RED RIVER,willofgodmin1@aol.com,(318) 932-3177,10775
Home and Community Based Services,"Therapeutic Approaches, Inc.",2905 Cameron Street Suite C,MONROE,LA,71201,OUACHITA,latondrafisher@bellsouth.net,(318) 342-0003,2203784112
Home and Community Based Services,"Total Assurance, Inc.",4300 S. I- 10 Service Road Suite 209,METAIRIE,LA,70001,JEFFERSON,tassurance@aol.com,(504) 465-0760,2203784632
Home and Community Based Services,Total Homecare Services LLC,"345 Doucet Road, Suite 100-B",LAFAYETTE,LA,70503,LAFAYETTE,dustin.thcsla@gmail.com,(337) 269-5885,2203782487
Home and Community Based Services,"Touch Of Grace Services, LLC",115 Industrial Drive Suite A,NATCHITOCHES,LA,71457,NATCHITOCHES,touchofltc@yahoo.com,(318) 352-5575,2203784750
Home and Community Based Services,Trinity Personal Care Services,"30163 Walker North, Suite F",WALKER,LA,70785,LIVINGSTON,Trinitypcs@att.net,(225) 667-0083,2203781112
Home and Community Based Services,"True Home Care, LLC",241 East Main Street,VILLE PLATTE,LA,70586,EVANGELINE,debrawilson835@gmail.com,(337) 363-7879,11307
Home and Community Based Services,Truth Faith 2,825 Rev. E.D. Alfred Street,VILLE PLATTE,LA,70586,EVANGELINE,truthfaith2@yahoo.com,(337) 363-0857,2203783681
Home and Community Based Services,"Truth Professional Care Services, LLC",7240 Crowder Blvd. Suite 203,NEW ORLEANS,LA,70127,JEFFERSON,dswaingan@yahoo.com,(504) 245-7247,2203784502
Home and Community Based Services,Twin City Home Care Services Inc.,2410 Ferrand Street Suite 11,MONROE,LA,71201,OUACHITA,twincityhomecare@bellsouth.net,(318) 340-1775,2203783901
Home and Community Based Services,"Two Wings Community Health Services, LLC",1101 West Oak Street,AMITE,LA,70422,TANGIPAHOA,janiceholland641@yahoo.com,(985) 247-2721,2203784540
Home and Community Based Services,Unique Guidance Provider Services Inc,72 Colonial Drive,MONROE,LA,71203,OUACHITA,supreme3037@yahoo.com,(318) 345-4077,2203783601
Home and Community Based Services,United Cerebral Palsy Of Greater New Orleans,2200 Veterans Blvd.,KENNER,LA,70062,JEFFERSON,kendra@ucpgno.org,(504) 228-6870,8031
Home and Community Based Services,"Universal HomeCare Service, LLC",213 Washington Avenue,MANSFIELD,LA,71052,DESOTO,universal213@yahoo.com,(318) 575-1040,2203783706
Home and Community Based Services,"Unlimited Home Care Of Louisiana, Inc.",1009 W LINCOLN ROAD,VILLE PLATTE,LA,70586,EVANGELINE,cindyvidrine12@gmail.com,(337) 363-1663,2203782577
Home and Community Based Services,Vacherie Day Developmental Training Center,29150 Health Unit Street,VACHERIE,LA,70090,ST. JAMES,stjamesarc@bellsouth.net,(225) 265-7910,2264
Home and Community Based Services,"Vacherie Personal Care Services, Inc.",154 North Hollywood Road,HOUMA,LA,70364,TERREBONNE,vacheriepcs@bellsouth.net,(985) 601-3157,2203782059
Home and Community Based Services,Vee''''''''''''''''''''''''''''''''s Sitter Service Private ,401 Audubon Blvd. Suite 207-B,LAFAYETTE,LA,70503,LAFAYETTE,veessitterservices@yahoo.com,(337) 704-6602,2203783398
Home and Community Based Services,"Visionary Personal Care, Inc.",604 Assumption Street,NAPOLEONVILLE,LA,70390,ASSUMPTION,visionarypersona@bellsouth.net,(985) 369-4819,2203782347
Home and Community Based Services,"Visions Of Tomorrow, Inc.",710 Johnsons Road,HOMER,LA,71040,CLAIBORNE,visionsoftomorrow05@gmail.com,(318) 225-3133,2203784013
Home and Community Based Services,Visiting Angels,1929 Hickory Avenue,NEW ORLEANS,LA,70123,JEFFERSON,tmiceli@visitingangels.com,(504) 737-0522,2203781246
Home and Community Based Services,Visiting Angels       Private Pay Only,2124 Monroe Street,MANDEVILLE,LA,70448,ST. TAMMANY,rfuzy@visitingangels.com,(985) 629-4446,2203783806
Home and Community Based Services,Volunteers of America of North Louisiana,1554 Magnolia,SHREVEPORT,LA,71104,CADDO,donny.jackson@voanorthla.org,(318) 213-1657,2203782997
Home and Community Based Services,"Volunteers Of America Southeast Louisiana, Inc","3812 Ridgelake Drive, Suite 2A",METAIRIE,LA,70002,JEFFERSON,hmatthews@voasela.org,(504) 836-8710,2203784322
Home and Community Based Services,"Volunteers of America Southeast Louisiana, Inc.","823 Carroll Street, Suite B",MANDEVILLE,LA,70448,ST. TAMMANY,hmatthews@voasela.org,(985) 612-1054,6786
Home and Community Based Services,"Volunteers Of America, Greater Baton Rouge, Inc.",2124 Wooddale Boulevard,BATON ROUGE,LA,70806,EAST BATON ROUGE,eblack@voagbr.org,(225) 925-2372,5382
Home and Community Based Services,"Volunteers Of America, Greater Baton Rouge, Inc., Acadiana P",224 St. Landry Suite 2C,LAFAYETTE,LA,70506,LAFAYETTE,ghasling@voa-acadiana.org,(337) 234-5715,2203784030
Home and Community Based Services,"Vonnieab''''''''''''''''s, Inc.",3535 Government Street,BATON ROUGE,LA,70806,EAST BATON ROUGE,vonnieabsrespite@bellsouth.net,(225) 346-4040,15094
Home and Community Based Services,"We Care Homes, Inc","2900 Moss Street, Suite E & F",LAFAYETTE,LA,70501,LAFAYETTE,alvawecare2011@yahoo.com,(337) 332-4222,2203782930
Home and Community Based Services,"We Care Homes, Inc.","5329 Dijon Drive, Suite 107",BATON ROUGE,LA,70808,EAST BATON ROUGE,alvawecare2011@yahoo.com,(225) 336-9770,2203784226
Home and Community Based Services,We Care Ministries Outreach Program,1746 Texas Street,NATCHITOCHES,LA,71457,NATCHITOCHES,wecareministry15@gmail.com,(318) 352-5961,2203784296
Home and Community Based Services,We Care Ministries Outreach Program Inc.,"2017 Macather Drive, Bldg 4 Suite 8",ALEXANDRIA,LA,71301,RAPIDES,wecareministry15@gmail.com,(318) 443-2482,2203782331
Home and Community Based Services,"We Care Sitting Services, LLC",2737 Mansfield Road,SHREVEPORT,LA,71103,CADDO,wecareprivatesittingllc@gmail.com,(318) 670-7015,2203784107
Home and Community Based Services,"West Bank Arc, Inc.",401 Gretna Blvd.,GRETNA,LA,70053,JEFFERSON,preston@westbankarc.org,(504) 361-1131,2950
Home and Community Based Services,Wilkinson Care Giving,"1305 Derek Drive, Suite 7",HAMMOND,LA,70403,TANGIPAHOA,LoriSterling.WCG@gmail.com,(985) 429-0119,2203784610
Home and Community Based Services,With Love and Kindness Personal Care and Respite S,"4480 Gen. DeGaulle Avenue, Suite 221",NEW ORLEANS,LA,70131,JEFFERSON,rochellebsmith11@yahoo.com,(888) 251-7773,2203784568
Home Health,"Abundant Home Health, Inc",10001 Lake Forest Blvd. Ste. 305,NEW ORLEANS,LA,70127,ORLEANS,abundanthomehealthinc@gmail.com ,(504) 708-1060,2203782276
Home Health,Acadian HomeCare / Abbeville,302 North Hospital Drive,ABBEVILLE,LA,70510,VERMILION,lra@lhcgroup.com,(337) 892-0805,2203783772
Home Health,"Acadian HomeCare of New Iberia, LLC","124 E. Main Street, Suite 210",NEW IBERIA,LA,70560,IBERIA,lra@lhcgroup.com,(337) 367-1882,2203782015
Home Health,"Acadian HomeCare, LLC","458 Heymann Blvd., Bldg. A",LAFAYETTE,LA,70503,LAFAYETTE,lra@lhcgroup.com,(337) 235-8185,2203782057
Home Health,"Acts Home Health Care, Inc.","401 Whitney Avenue, Suite 304",GRETNA,LA,70056,JEFFERSON,cclofer@actshomehealth.com,(504) 362-2030,2203783094
Home Health,Allegiance Home Health of Northeast Louisiana,"117 Julia St, Unit #7",WEST MONROE,LA,71291,OUACHITA,katie.bennett@ahhmgt.com,(318) 516-2270,2203784922
Home Health,Allegiance Home Health of Northwest LA,"101 Murrell St., Ste 2",MINDEN,LA,71055,WEBSTER,ann.dickey@ahhmgt.com,(318) 932-6877,2203784871
Home Health,Allegiance Home Health of Southeast Louisiana,"10245 Siegen Lane, Suite D",BATON ROUGE,LA,70810,EAST BATON ROUGE,dana.viator@ahhmgt.com,(225) 928-3940,2203782435
Home Health,"Allegiance Home Health of Southwest Louisiana, LLC ",407 N. Ninth Street,KINDER,LA,70648,ALLEN,rmjlmayo @yahoo.com,(337) 738-2855,2203784839
Home Health,Allen Parish Home Health,532 N 8th Street,KINDER,LA,70648,ALLEN,bbell@allenparishhospital.com,(337) 738-5627,2203784134
Home Health,"Alpha Care Home Health, Inc.","1859 Ave of America, Ste A, Bldg #5 ",MONROE,LA,71201,OUACHITA,cariealpha@aol.com,(318) 323-7097,608
Home Health,Amedisys Home Health,"1403 St. Charles Street, Suite 101 ",HOUMA,LA,70360,TERREBONNE,1291@amedisys.com,(985) 872-1955,1079
Home Health,Amedisys Home Health,"3854 American Way, Suite D",BATON ROUGE,LA,70816,EAST BATON ROUGE,1251@amedisys.com,(225) 751-8201,2203784041
Home Health,Amedisys Home Health,4015 Common Street ,LAKE CHARLES,LA,70607,CALCASIEU,1298@amedisys.com,(337) 477-9820,2203781684
Home Health,Amedisys Home Health,"4021-B Ambassador Caffery Parkway, Suite 100",LAFAYETTE,LA,70503,LAFAYETTE,1253@amedisys.com,(337) 989-6913,2203782441
Home Health,Amedisys Home Health ,"425 Ashley Ridge Blvd., Suite 246",SHREVEPORT,LA,71106,CADDO,kelly.poarch@amedisys.com,(318) 865-8865,2203781752
Home Health,Amedisys Home Health Care,"1007 W. Thomas Street, Ste. L",HAMMOND,LA,70401,TANGIPAHOA,1271@amedisys.com,(985) 902-9922,1107
Home Health,Amedisys Home Health Care,"3501 N. Causeway Blvd., Ste 200 ",METAIRIE,LA,70002,JEFFERSON,1276@amedisys.com,(504) 838-7080,1011
Home Health,Amedisys Home Health Services,"5803 Coliseum Boulevard, Suite C ",ALEXANDRIA,LA,71303,RAPIDES,melissa.spurgeon@amedisys.com,(318) 445-2846,1189
Home Health,AmeraCare Home Health,1579 Highway 51 North ,PONCHATOULA,LA,70454,TANGIPAHOA,tlandry@ameracare.com,(985) 635-6900,1154
Home Health,"Apex Home Health -South, LLC","75 Dominican Drive, Ste 209",LAPLACE,LA,70068,ST. JOHN THE BAPTIST,Marcel@apexhh.com,(985) 224-2293,2203783898
Home Health,"APEX Home Health, LLC","1402 South Magnolia Street, Suite I & J",HAMMOND,LA,70403,TANGIPAHOA,marcel@apexhh.com,(985) 662-0552,2203782802
Home Health,"ARK-LA-TEX Home Health, Inc.","7591 Fern Avenue, Suite 1503",SHREVEPORT,LA,71105,CADDO,gbacilla@arklatexhomehealth.com,(318) 747-6180,2203782624
Home Health,At Home Healthcare,2840 W. Airline Hwy. Ste E,LAPLACE,LA,70068,ST. JOHN THE BAPTIST,schehardy@athomehc.com ,(504) 513-3125,2203783997
Home Health,Audubon Home Health,9256 Interline Avenue,BATON ROUGE,LA,70809,EAST BATON ROUGE,diannet@audubonhomehealth.com,(225) 218-8009,2203784192
Home Health,Audubon Home Health of Hammond ,15752 Professional Plaza ,HAMMOND,LA,70403,TANGIPAHOA,Diannet@audubonhomehealth.com,(985) 542-2010,2203783721
Home Health,Audubon Home Health of Lafayette,"221 Rue De Jean, Suite 200",LAFAYETTE,LA,70508,LAFAYETTE,diannet@audubonhomehealth.com,(337) 210-5124,2203784637
Home Health,"Audubon Home Health of New Orleans, Inc",18073 Mackey Rd,PRAIRIEVILLE,LA,70769,ASCENSION,diannet@audubonhomehealth.com,(225) 278-0324,2203784222
Home Health,Aveanna Healthcare,"3525 N.Causeway Blvd., Suite 800",METAIRIE,LA,70002,JEFFERSON,credentialing@aveanna.com,(504) 830-4512,2203782484
Home Health,Aveanna Healthcare,"9270 Siegen Lane, Suite 903-904 ",BATON ROUGE,LA,70810,EAST BATON ROUGE,credentialing@aveanna.com,(225) 291-1221,1188
Home Health,Baton Rouge General Home Health,"10235 Jefferson Hwy, Ste C",BATON ROUGE,LA,70809,EAST BATON ROUGE,lra@lhcgroup.com,(225) 376-6157,2203784913
Home Health,Bayou Home Care,"1020 David Drive , Suite 110",MORGAN CITY,LA,70380,ST. MARY,rstamant@vitalhcgroup.com,(985) 329-2273,2203781118
Home Health,Bayou Home Care,"4300 S-I10 Service Road, Suite 204-A",METAIRIE,LA,70001,JEFFERSON,rstamant@vitalhcgroup.com,(504) 835-0101,2203782627
Home Health,Bayou Home Care of Louisiana,"1211 North Range Ave, Suite A ",DENHAM SPRINGS,LA,70726,LIVINGSTON,arhymes@vitalhcgroup.com,(225) 291-1230,2203781823
Home Health,"Bayou Home Care, LLC",232 Civic Center Blvd. ,HOUMA,LA,70360,TERREBONNE,arhymes@vitalhcgroup.com,(985) 580-2273,1113
Home Health,Beauregard Home Health,"1877 Highway 190W, Bldg A",DERIDDER,LA,70634,BEAUREGARD,lra@lhcgroup.com,(337) 462-7188,2203784657
Home Health,Best Home Health,1903 N. 7th Street,WEST MONROE,LA,71291,OUACHITA,mel@besthh.com,(318) 323-5594,2203782996
Home Health,Better Care Home Health Inc.,2735 Culpepper Road ,ALEXANDRIA,LA,71301,RAPIDES,BCHH@aol.com,(318) 473-4676,255
Home Health,"Bridges Home Health Care, Inc.",1024 North Foster Drive ,BATON ROUGE,LA,70806,EAST BATON ROUGE,carolyn@prestigehc.com,(225) 927-6727,435
Home Health,Bunkie HomeCare,1123 Shirley Road ,BUNKIE,LA,71322,AVOYELLES,lra@lhcgroup.com,(318) 346-3312,1096
Home Health,"Carelink Home Care Services, LLC","3108 20th Street, 2B",METAIRIE,LA,70002,JEFFERSON,carelinkhcs@hotmail.com,(504) 838-9072,2203782699
Home Health,"Central Home Health, LLC","2805 Athania Parkway, Suite B",METAIRIE,LA,70002,JEFFERSON,samara1989@aol.com ,(504) 455-5959,2203781444
Home Health,"Central Louisiana Home Health Care, LLC",705 E. Lasalle St,VILLE PLATTE,LA,70586,EVANGELINE,CYNDI.GREEN@AHHMGT.COM,(337) 467-8080,2203784837
Home Health,Charter Home Health,"2798 O'Neal Lane, Building C ",BATON ROUGE,LA,70816,EAST BATON ROUGE,rrogers@charterhomehealth.com,(225) 667-2792,1133
Home Health,"Chase Health Care, Inc.","8755 Sullivan Road, BLDG. 2C",BATON ROUGE,LA,70818,EAST BATON ROUGE,jhstarns@aol.com,(225) 274-1444,1207
Home Health,Chateau Home Health Inc.,"1117 Veterans Memorial Blvd, Ste 5",KENNER,LA,70062,JEFFERSON,chateauhomehealthinc@live.com,(504) 305-2257,2203783992
Home Health,Christian Home Health Care Inc.,4110 Franklin Avenue,NEW ORLEANS,LA,70122,ORLEANS,elainedavis@bellsouth.net,(504) 949-7177,2203784727
Home Health,CHRISTUS Homecare Schumpert,"1700 Buckner Square, Suite 200 ",SHREVEPORT,LA,71101,CADDO,LRA@lhcgroup.com,(318) 383-6745,2203783909
Home Health,CHRISTUS Homecare St. Patrick,"1130 Pithon Street, Suite 102",LAKE CHARLES,LA,70601,CALCASIEU,lra@lhcgroup.com,(337) 395-5600,2203784358
Home Health,Claiborne Home Health,620 East College Street,HOMER,LA,71040,CLAIBORNE,kcopeland@claibornemedical.com,(318) 927-9119,2203782051
Home Health,Community Home Health Care ,"5750 Johnston Street, Ste 204",LAFAYETTE,LA,70503,LAFAYETTE,ddugas@chp.care,(337) 806-9190,2203784154
Home Health,"Community Home Health of Acadiana, LLC","5750 Johnston Street, Ste 210",LAFAYETTE,LA,70503,LAFAYETTE,clandry@chp.care,(337) 294-0404,2203784677
Home Health,"Community Home Health of Baton Rouge, LLC","1026 E. Worthey Street, Ste D",GONZALES,LA,70737,ASCENSION,ddugas@chp.care,(225) 465-1500,2203784714
Home Health,"Complete Home Health, Inc.",1753 Bertrand Drive ,LAFAYETTE,LA,70506,LAFAYETTE,kate@completehh.com,(337) 233-0079,1074
Home Health,"Concepts of Care Home Health, Inc.",100 General Mouton Ave. ,LAFAYETTE,LA,70501,LAFAYETTE,chris@conceptshh.com,(337) 289-9688,630
Home Health,"Concerned Care Home Health, Inc.","19550 N 10th St, Ste B",COVINGTON,LA,70433,ST. TAMMANY,rick.martin@concernedcare.com,(985) 892-3947,2203784629
Home Health,"Covenant Home Health, LLC","1700 Veterans Blvd., Suite 400",METAIRIE,LA,70005,JEFFERSON,ccarollo.covenanthh@gmail.com,(504) 831-8000,2203781926
Home Health,Cypress Home Health,3050 Teddy Drive ,BATON ROUGE,LA,70809,EAST BATON ROUGE,diannet@audubonhomehealth.com,(225) 761-1592,4198
Home Health,Delhi HomeCare,509 Cincinnati Street ,DELHI,LA,71232,RICHLAND,lra@lhcgroup.com,(318) 878-5152,984
Home Health,"Divinity Home Health Services, LLC",200 East 6th Street,THIBODAUX,LA,70301,LAFOURCHE,dnafalgout@aol.com,(985) 262-0445,2203782064
Home Health,Egan-Ochsner Home Health New Orleans.,"800 W Commerce Road, Ste 500",HARAHAN,LA,70123,JEFFERSON,LRA@lhcgroup.com,(504) 835-4474,2203784904
Home Health,Egan-Ochsner Home Health Northshore,"1200 Derek Drive, Ste 202 ",HAMMOND,LA,70403,TANGIPAHOA,jeanne.fos@lhcgroup.com,(985) 386-4958,2203784927
Home Health,Egan-Ochsner Home Health River Parishes,"1703 Chantillu Drive, Ste A",LA PLACE,LA,70068,ST. JOHN THE BAPTIST,LRA@lhcgroup.com,(985) 653-8117,2203784774
Home Health,Elara Caring ," 12035 Justice Avenue , Suite A ",BATON ROUGE,LA,70816,EAST BATON ROUGE,regulatory@elara.com,(225) 928-1666,2203783595
Home Health,Elara Caring,"1111 South 5th Street, Suite D ",LEESVILLE,LA,71446,VERNON,regulatory@elara.com,(337) 239-4779,1069
Home Health,Elara Caring,"1200 Derek Drive, Ste 201A",HAMMOND,LA,70403,TANGIPAHOA,regulatory@elara.com,(985) 340-8000,2203784698
Home Health,Elara Caring,"1200 Derek Drive, Ste 201A",HAMMOND,LA,70403,TANGIPAHOA,regulatory@elara.com,(985) 549-0865,2203784696
Home Health,Elara Caring,"1401 Texas Avenue, Suite A ",ALEXANDRIA,LA,71301,RAPIDES,regulatory@elara.com,(318) 442-2197,932
Home Health,Elara Caring,206 E. Reynolds Ste. D-1 ,RUSTON,LA,71270,LINCOLN,regulatory@elara.com,(318) 322-5461,2203783743
Home Health,Elara Caring,"226 South Drive, Suite A",NATCHITOCHES,LA,71457,NATCHITOCHES,regulatory@elara.com,(318) 238-3933,2203783494
Home Health,Elara Caring ,"2410 Jake Drive, Ste. 1",OPELOUSAS,LA,70570,ST. LANDRY,regulatory@elara.com,(337) 942-5367,2203784521
Home Health,Elara Caring ,"300 Washington Street, Ste 402C",MONROE,LA,71201,OUACHITA,regulatory@elara.com,(318) 340-0221,2203783527
Home Health,Elara Caring,"300 Washington Street, Suite 402B",MONROE,LA,71201,OUACHITA,regulatory@elara.com,(318) 450-6131,2203783057
Home Health,Elara Caring,"320 Acton Rd, Ste B",MARKSVILLE,LA,71351,AVOYELLES,regulatory@elara.com,(318) 253-8978,2203783532
Home Health,Elara Caring,332 Lake Road,MANSFIELD,LA,71052,DESOTO,regulatory@elara.com,(318) 871-5101,2203783978
Home Health,Elara Caring,3639 FRONT ST,WINNSBORO,LA,71295,FRANKLIN,regulatory@elara.com ,(318) 435-4366,2203784522
Home Health,Elara Caring,"425 W. Airline Highway, Suite L",LA PLACE,LA,70068,ST. JOHN THE BAPTIST,regulatory@elara.com ,(985) 345-4343,2203783904
Home Health,Elara Caring,"4442 Viking Drive, Suite 300/400",BOSSIER CITY,LA,71111,BOSSIER,regulatory@elara.com,(318) 742-4026,2203782154
Home Health,Elara Caring ,919 North Lake Arthur Ave. Unit H ,JENNINGS,LA,70546,JEFFERSON DAVIS,regulatory@elara.com ,(337) 824-5453,1209
Home Health,Encompass Health Home Health of The Northshore,"112 Innwood Drive, Ste E",COVINGTON,LA,70433,ST. TAMMANY,licensing@encompasshealth.com,(985) 735-0410,2203784337
Home Health,Eunice Community Home Health,3581 Highway 190,EUNICE,LA,70535,ST. LANDRY,LRA@lhcgroup.com,(985) 384-3478,2203782694
Home Health,"Evangeline Home Health, LLC",3019 Stagg Ave,BASILE,LA,70515,EVANGELINE,rstamant@vitalhcgroup.com,(337) 432-5986,2203784393
Home Health,"Excellent Home Health Care, LLC",1821 Franklin Street ,GRETNA,LA,70053,JEFFERSON,excellenthome74@bellsouth.net,(504) 362-9207,2203782401
Home Health,Family Home Health Agency,520 Willis Avenue ,BOGALUSA,LA,70427,WASHINGTON,FHHA520@gmail.com,(985) 732-4892,411
Home Health,"Family Homecare, Inc.","3636 S. I-10 Service Rd., Suite 310 ",METAIRIE,LA,70001,JEFFERSON,gragland@familyhomecare.net,(504) 835-0934,1217
Home Health,Feliciana Home Health,"1215 Independence Blvd, Building 3, Suite B",ZACHARY,LA,70791,EAST BATON ROUGE,lra@lhcgroup.com,(225) 683-3347,2203783954
Home Health,Feliciana Home Health South,"908 N Airline Hwy, Ste A, ",GONZALES,LA,70737,ASCENSION,LRA@lhcgroup.com ,(225) 450-3294,2203784932
Home Health,Feliciana Home Health West,58017 Plaquemine St.,PLAQUEMINE,LA,70764,IBERVILLE,lra@lhcgroup.com,(225) 687-0820,1213
Home Health,"First Option Home Health, Inc",4906 Ambassador Cffry Pkwy Bldg A Suite 100,LAFAYETTE,LA,70508,LAFAYETTE,msimion@firstoptionhcs.com,(337) 235-9741,452
