Facility Address,Facility ID,Facility Name,Administrator,Telephone,Type,County Name,Facility has Secured Bed?,address,fac_city,fac_st,fac_zip,Facility Email,Open Date,Owner Address,Owner Category,Owner Company,Owner Phone,Cert Beds,Licensed Beds,securebeds
"11952 GRAY STREET BROOMFIELD, CO 80020",23Z321,VILLAGIO OF BROOMFIELD,Ms CARISA BROWN,7206342535,ASSISTED LIVING RESIDENCE,BOULDER,Yes,11952 GRAY STREET,BROOMFIELD,CO,80020,cbrown@villagioliving.com,5/19/16,"9570 S KINGSTON COURT SUITE 300 ENGLEWOOD, CO 80112", LIMITED LIABIL,SELECT OPERATIONS OF BROOMFIELD LLC,720-684-4600,0,75,75
"3790 W QUINCY AVE DENVER, CO 80236",2304CA,BROOKDALE PINEHURST PARK,Ms TRISHA THOMAS,3037388500,ASSISTED LIVING RESIDENCE,DENVER,Yes,3790 W QUINCY AVE,DENVER,CO,80236,,8/5/99,"3131 ELLIOTT AVENUE, SUITE 500 SEATTLE, WA 98121", LIMITED LIABIL,"BREA DENVER, LLC",206-298-2909,0,76,76
"2365 PATRIOT HEIGHTS COLORADO SPRINGS, CO 80904",23054K,BROOKDALE SKYLINE-ALR, MICAH HEROLD,7196675360,ASSISTED LIVING RESIDENCE,EL PASO,Yes,2365 PATRIOT HEIGHTS,COLORADO SPRINGS,CO,80904,,1/26/99,"111 WESTWOOD PLACE #400 BRENTWOOD, TN 37027", LIMITED LIABIL,"BLC - VILLAGE AT SKYLINE, LLC",615-221-2250,0,187,80
"2762 BELLA VISTA LANE BOULDER, CO 80302",23R666,"ACADEMY AT BELLA VISTA, THE",Ms MICHELLE BELOCHI,3034423896,ASSISTED LIVING RESIDENCE,BOULDER,Yes,2762 BELLA VISTA LANE,BOULDER,CO,80302,gary@theacademyboulder.com,12/27/05,"970 AURORA AVENUE BOULDER, CO 80302", LIMITED PARTNE,"ACADEMY AT BELLA VISTA, LLLP",303-938-1920,0,10,10
"660 OLD LARAMIE TRAIL LAFAYETTE, CO 80026",23V340,"PEAKS AT OLD LARAMIE TRAIL, THE",Ms DEEDRA MOATS,3034406050,ASSISTED LIVING RESIDENCE,BOULDER,Yes,660 OLD LARAMIE TRAIL,LAFAYETTE,CO,80026,,9/15/16,"550 LAGUNA DRIVE CARLSBAD, CA 92008", LIMITED PARTNE,MERIDIAN LAFAYETTE OE LP,760-547-2860,0,95,44
"1078 S 88TH ST LOUISVILLE, CO 80027",23033N,JUNIPER VILLAGE AT LOUISVILLE,Ms MARGARET FARRAR,3036653722,ASSISTED LIVING RESIDENCE,BOULDER,Yes,1078 S 88TH ST,LOUISVILLE,CO,80027,,6/22/00,"400 BROADACRES DR. BLOOMFIELD, NJ 07003", LIMITED PARTNE,WELLSPRING AT LOUISVILLE LP,973-661-8300,0,52,52
"2494 INTERNATIONAL CIRCLE COLORADO SPRINGS, CO 80910",23052X,BRIDGE ASSISTED LVG AT LIFE CARE CTR OF CO SPRINGS,Ms AMANDA THOMAS,7196303330,ASSISTED LIVING RESIDENCE,EL PASO,No,2494 INTERNATIONAL CIRCLE,COLORADO SPRINGS,CO,80910,,4/10/97,"3570 KEITH STREET NW CLEVELAND, TN 37312", PARTNERSHIP,"COLORADO SPRINGS RETIREMENT OPERATIONS, LLC",423-473-5867,0,65,0
"12805 W 65TH WAY ARVADA, CO 80004",2304XO,NIGHTINGALE LANE,Ms KELLI MOSLEY,3034248777,ASSISTED LIVING RESIDENCE,JEFFERSON,No,12805 W 65TH WAY,ARVADA,CO,80004,lanedir@springwoodretirement.com,9/27/99,"999 SOUTH LOGAN STREET SUITE 300 DENVER, CO 80209", PARTNERSHIP,ARVADA HOUSING ASSOCIATES LLC,303-778-0380,0,28,0
"12825 W 65TH WAY ARVADA, CO 80004",2304F8,NIGHTINGALE SUITES,Ms KELLI MOSLEY,3034244411,ASSISTED LIVING RESIDENCE,JEFFERSON,No,12825 W 65TH WAY,ARVADA,CO,80004,,3/1/91,"909 S LOGAN STE 300 DENVER, CO 80209", PARTNERSHIP,ARVADA NIGHTINGALE ASSOCIATES LLLP,303-778-0380,0,72,0
"111 EMERSON ST DENVER, CO 80218",2304A2,BROOKDALE PARKPLACE,Ms BRIANNA WESTLAKE,3037440400,ASSISTED LIVING RESIDENCE,DENVER,Yes,111 EMERSON ST,DENVER,CO,80218,bwestlake@brookdale.com,5/3/03,"111 WESTWOOD PL #200 BRENTWOOD, TN 37027", PARTNERSHIP,FORT AUSTIN LTD PARTNERSHIP,615-221-2250,0,93,23
"11901 E MISSISSIPPI AVE AURORA, CO 80012",2304S1,JUNIPER VILLAGE AT AURORA,Mr THOMAS HUNTER,3033416335,ASSISTED LIVING RESIDENCE,ARAPAHOE,Yes,11901 E MISSISSIPPI AVE,AURORA,CO,80012,,2/4/99,"400 BROADACRES DR., 4TH FLOOR BLOOMFIELD, NJ 07003", PARTNERSHIP,WELLSPRING AT AURORA GENERAL PARTNERSHIP,973-661-8300,0,52,52
"7521 S DETROIT STREET CENTENNIAL, CO 80122",23J979,ROSE OF SHARON ASSISTED LIVING - DETROIT,Mr HANNY TANNY,3037704900,ASSISTED LIVING RESIDENCE,ADAMS,No,7521 S DETROIT STREET,CENTENNIAL,CO,80122,htanny7@gmail.com,8/12/16,"PO BOX 2712 LITTLETON, CO 80161", PROFIT-CORPORA,"ROSE OF SHARON ASSISTED LIVING, INC.",303-596-6472,0,8,0
"2895 SOUTH KILLARNEY WAY AURORA, CO 80013",23Q273,CARDAN MANOR ASSISTED LIVING II,Ms CAROLE ABAM,7205247192,ASSISTED LIVING RESIDENCE,ARAPAHOE,No,2895 SOUTH KILLARNEY WAY,AURORA,CO,80013,cabam@cardanmanor.com,8/21/15,"21991 EAST RIDGE TRAIL CIRCLE AURORA, CO 80016", PROFIT-CORPORA,CARDAN MANOR ASSISTED LIVING II INC,,0,11,0
"6988 SOUTH VALENTIA STREET CENTENNIAL, CO 80112",23J546,ROSE OF SHARON VALENTIA,Mr HANNY TANNY,7204822223,ASSISTED LIVING RESIDENCE,ARAPAHOE,No,6988 SOUTH VALENTIA STREET,CENTENNIAL,CO,80112,htanny7@gmail.com,7/20/04,"PO BOX 2712 LITTLETON, CO 80161", PROFIT-CORPORA,"ROSE OF SHARON ASSISTED LIVING, INC.",303-596-6472,0,7,0
"7783 SOUTH ELIZABETH WAY CENTENNIAL, CO 80122",23R130,LIGHTHOUSE ASSISTED LIVING INC-ELIZABETH HOUSE,Ms ELISABETH LITTLETON,7205298338,ASSISTED LIVING RESIDENCE,ARAPAHOE,No,7783 SOUTH ELIZABETH WAY,CENTENNIAL,CO,80122,tom@lighthouseassistedliving.com,1/17/01,"P. O. BOX 631395 HIGHLANDS RANCH, CO 80163", PROFIT-CORPORA,LIGHTHOUSE ASSISTED LIVING INC,720-635-1951,0,8,0
"7487 S WASHINGTON STREET CENTENNIAL, CO 80122",23G128,ROSE OF SHARON ASSISTED LIVING - WASHINGTON,Mr HANNY TANNY,3037943262,ASSISTED LIVING RESIDENCE,ARAPAHOE,No,7487 S WASHINGTON STREET,CENTENNIAL,CO,80122,htanny7@gmail.com,7/2/09,"PO BOX 2712 LITTLETON, CO 80161", PROFIT-CORPORA,ROSE OF SHARON WASHINGTON INC,303-596-6472,0,8,0
"6694 S FRANKLIN STREET CENTENNIAL, CO 80121",23K564,ST FRANCIS ASSISTED LIVING FACILITY,Dr ARTHUR FERRER,7206124813,ASSISTED LIVING RESIDENCE,ARAPAHOE,No,6694 S FRANKLIN STREET,CENTENNIAL,CO,80121,affmd@yahoo.com  ferrer_dahlia@yahoo.com,1/25/11,"2450 ROCKBRIDGE DR HIGHLANDS RANCH, CO 80129", PROFIT-CORPORA,"WE CARE HOMES OF COLORADO, INC",720-299-9791,0,8,0
"8108 S HARRISON WAY CENTENNIAL, CO 80122",23M587,ROSE OF SHARON ASSISTED LIVING - HARRISON,Mr HANNY TANNY,7203285013,ASSISTED LIVING RESIDENCE,ARAPAHOE,No,8108 S HARRISON WAY,CENTENNIAL,CO,80122,,5/8/12,"PO BOX 2712 LITTLETON, CO 80161", PROFIT-CORPORA,"ROSE OF SHARON ASSISTED LIVING, INC.*",303-596-6472,0,8,0
"5853 SOUTH SHERMAN WAY CENTENNIAL, CO 80121",23Z788,ROSE OF SHARON ASSISTED LIVING,Mr HANNY TANNY,3037303825,ASSISTED LIVING RESIDENCE,ARAPAHOE,No,5853 SOUTH SHERMAN WAY,CENTENNIAL,CO,80121,htanny7@gmail.com,7/15/03,"PO BOX 2712 LITTLETON, CO 80161", PROFIT-CORPORA,"ROSE OF SHARON ASSISTED LIVING, INC.",303-596-6472,0,8,0
"6610 S ONEIDA CT CENTENNIAL, CO 80111",23U239,ST FRANCIS ASSISTED LIVING II,Ms KATHRYN FERRER,3032841913,ASSISTED LIVING RESIDENCE,ARAPAHOE,No,6610 S ONEIDA CT,CENTENNIAL,CO,80111,,1/14/20,"2450 ROCKBRIDGE DR HIGHLANDS RANCH, CO 80129", PROFIT-CORPORA,"WE CARE HOMES OF COLORADO, INC",720-299-9791,0,10,0
"3638 E EUCLID AVE CENTENNIAL, CO 80121",23O244,ROCKY MOUNTAIN ASSISTED LIVING- EUCLID,Ms JESSICA HARMON,3039966886,ASSISTED LIVING RESIDENCE,ARAPAHOE,No,3638 E EUCLID AVE,CENTENNIAL,CO,80121,jessica@rockymountainassistedliving.com,12/19/13,"6143 SOUTH WILLOW DRIVE, SUITE 401 GREENWOOD VILLAGE, CO 80111", PROFIT-CORPORA,ROCKY MOUNTAIN ASSISTED LIVING LLC,303-996-6886,0,12,0
"2640 S JERSEY ST DENVER, CO 80222",23X282,SENIOR CARE ASSISTED LIVING JERSEY HOUSE INC,Mr HOKBENG KHO,7204357163,ASSISTED LIVING RESIDENCE,ARAPAHOE,No,2640 S JERSEY ST,DENVER,CO,80222,,5/21/18,"2640 S JERSEY ST DENVER, CO 80222", PROFIT-CORPORA,SENIOR CARE ASSISTED LIVING - JERSEY HOUSE INC,720-435-7163,0,8,0
"5890 SNOWBERRY DRIVE LITTLETON, CO 80123",23X373,ROSE OF SHARON ASSISTED LIVING - SNOWBERRY,Mr HANNY TANNY,3037303113,ASSISTED LIVING RESIDENCE,ARAPAHOE,No,5890 SNOWBERRY DRIVE,LITTLETON,CO,80123,,1/14/11,"PO BOX 2712 LITTLETON, CO 80161", PROFIT-CORPORA,"ROSE OF SHARON ASSISTED LIVING, INC.",303-596-6472,0,8,0
"7762 S YUKON WAY LITTLETON, CO 80128",23I537,ROSE OF SHARON ASSISTED LIVING - YUKON,Mr HANNY TANNY,3039737123,ASSISTED LIVING RESIDENCE,ARAPAHOE,No,7762 S YUKON WAY,LITTLETON,CO,80128,htanny@qwest.net,12/6/10,"PO BOX 2712 LITTLETON, CO 80161", PROFIT-CORPORA,"ROSE OF SHARON ASSISTED LIVING, INC.",303-596-6472,0,8,0
"2745 E IRWIN PLACE LITTLETON, CO 80122",23R935,"LIGHTHOUSE ASSISTED LIVING, INC-IRWIN HOUSE",Ms ELISABETH LITTLETON,7204935008,ASSISTED LIVING RESIDENCE,ARAPAHOE,No,2745 E IRWIN PLACE,LITTLETON,CO,80122,tom@lighthouseassistedliving.com,9/24/01,"P. O. BOX 631395 HIGHLANDS RANCH, CO 80163", PROFIT-CORPORA,LIGHTHOUSE ASSISTED LIVING,720-635-1951,0,8,0
"8603 S WADSWORTH COURT LITTLETON, CO 80128",23I533,LIGHTHOUSE ASSISTED LIVING INC - WADSWORTH,Ms ELISABETH LITTLETON,7204890864,ASSISTED LIVING RESIDENCE,ARAPAHOE,No,8603 S WADSWORTH COURT,LITTLETON,CO,80128,liz@lighthouseassistedliving.com,7/16/08,"P. O. BOX 631395 HIGHLANDS RANCH, CO 80163", PROFIT-CORPORA,LIGHTHOUSE ASSISTED LIVING,720-635-1951,0,12,0
"1424 16TH AVENUE LONGMONT, CO 80501",23M122,SAFE HARBOR ASSISTED LIVING LLC, MELINDA NAVA,3037764384,ASSISTED LIVING RESIDENCE,BOULDER,No,1424 16TH AVENUE,LONGMONT,CO,80501,,5/26/11,"1424 16TH AVENUE LONGMONT, CO 80501", PROFIT-CORPORA,SAFE HARBOR ASSISTED LIVING LLC,303-776-4384,0,6,0
"2240 PRATT ST LONGMONT, CO 80501",2303JU,BROOKDALE LONGMONT,Ms SANYATHA BONNELL,3036821066,ASSISTED LIVING RESIDENCE,BOULDER,No,2240 PRATT ST,LONGMONT,CO,80501,kharden@brookdale.com,2/13/98,"6111 WESTWOOD PLACE BRENTWOOD, TN 37027", PROFIT-CORPORA,ALTERRA HEALTHCARE CORPORATION,615-221-2250,0,50,0
"2020 S MONROE ST DENVER, CO 80210",230490,BROOKDALE UNIVERSITY PARK,Ms CHERESE DAY,3037571404,ASSISTED LIVING RESIDENCE,DENVER,No,2020 S MONROE ST,DENVER,CO,80210,,8/4/87,"111 WESTWOOD PLACE, SUITE 400 BRENTWOOD, TN 37027", PROFIT-CORPORA,ARC HERITAGE CLUB INC,615-221-2250,0,40,0
"3289 GROVE ST DENVER, CO 80211",230480,HEATHER GROVE,Ms AMANDA PHAN,3034774262,ASSISTED LIVING RESIDENCE,DENVER,No,3289 GROVE ST,DENVER,CO,80211,,2/25/87,"3289 GROVE STREET DENVER, CO 80211", PROFIT-CORPORA,MITCH B CORPORATION,303-477-4262,0,45,0
"3182 E OAK CREEK DR COLORADO SPRINGS, CO 80906",23052H,A ROBIN'S NEST,Ms MARY LOUISE KOURI,7192262941,ASSISTED LIVING RESIDENCE,EL PASO,No,3182 E OAK CREEK DR,COLORADO SPRINGS,CO,80906,,2/23/00,"3182 E. OAK CR DRIVE COLORADO SPRINGS, CO 80906", PROFIT-CORPORA,"A ROBIN'S NEST OF CHEYENNE MOUNTAIN, INC.",719-226-2941,0,8,0
"10080 LEXINGTON DRIVE COLORADO SPRINGS, CO 80920",23E517,"FREEDOM HOME ASSISTED LIVING, INC",Ms LAURA RUSSELL,7204363995,ASSISTED LIVING RESIDENCE,EL PASO,No,10080 LEXINGTON DRIVE,COLORADO SPRINGS,CO,80920,,6/5/14,"6007 VALLECITO DRIVE COLORADO SPRINGS, CO 80923", PROFIT-CORPORA,FREEDOM HOME ASSISTED LIVING INC,719-492-3175,0,8,0
"10975 HOWELLS ROAD COLORADO SPRINGS, CO 80908",23R718,NEW DAY COTTAGES AT PINE CREEK,Mr STEVE FELDMAN,7192661100,ASSISTED LIVING RESIDENCE,EL PASO,No,10975 HOWELLS ROAD,COLORADO SPRINGS,CO,80908,newadaycottages@q.com,6/3/14,"3870 TIMBER LANE COLORADO SPRINGS, CO 80908", PROFIT-CORPORA,NEW DAY COTTAGES INC,719-338-3562,0,16,0
"2818 GRAND VISTA CIRCLE COLORADO SPRINGS, CO 80904",23V337,"HEALTHCARE RESORT OF COLORADO SPRINGS, THE",Mr DAVID DUNYON,7196327000,ASSISTED LIVING RESIDENCE,EL PASO,No,2818 GRAND VISTA CIRCLE,COLORADO SPRINGS,CO,80904,,5/12/16,"29222 RANCHO VIEJO RD. STE 127 SAN JUAN CAPISTRANO, CA 92675", PROFIT-CORPORA,"PIKES PEAK HEALTHCARE, INC. USETHIS",949-487-9500,0,32,0
"9585 W 51ST AVENUE ARVADA, CO 80002",23G121,PEAK GARDENS ASSISTED LIVING INC,Ms RACHEL VAZQUEZ,3034676842,ASSISTED LIVING RESIDENCE,JEFFERSON,No,9585 W 51ST AVENUE,ARVADA,CO,80002,,12/9/13,"P O BOX 1979 COLORADO SPRINGS, CO 80901", PROFIT-CORPORA,PEAK GARDENS ASSISTED LIVING INC,719-375-9754,0,8,0
"632 DEFRAME COURT GOLDEN, CO 80401",23V250,CARE HAVEN ASSISTED LIVING INC,Mr ADAM MALACHI,3032743636,ASSISTED LIVING RESIDENCE,JEFFERSON,No,632 DEFRAME COURT,GOLDEN,CO,80401,malachi_adam@yahoo.com,11/30/15,"11544 E CUSTER PL AURORA, CO 80012", PROFIT-CORPORA,CARE HAVEN ASSISTED LIVING INC,303-210-1761,0,8,0
"9000 W VIRGINIA AVE LAKEWOOD, CO 80226",23T229,ROCKY MOUNTAIN ASSISTED LIVING- VIRGINIA,Ms MEGHANN ZIEGLER,3039966886,ASSISTED LIVING RESIDENCE,JEFFERSON,No,9000 W VIRGINIA AVE,LAKEWOOD,CO,80226,dave@rockymountainassistedliving.com,8/21/14,"6143 SOUTH WILLOW DRIVE, SUITE 401 GREENWOOD VILLAGE, CO 80111", PROFIT-CORPORA,ROCKY MOUNTAIN ASSISTED LIVING LLC,303-996-6886,0,12,0
"835 S FLOWER STREET LAKEWOOD, CO 80226",23A413,RISING SUN SENIOR HOME AT BELMAR INC THE,Ms SANDRA KUSI-APPIAH,3039890301,ASSISTED LIVING RESIDENCE,JEFFERSON,No,835 S FLOWER STREET,LAKEWOOD,CO,80226,,4/28/08,"835 S FLOWER ST LAKEWOOD, CO 80226", PROFIT-CORPORA,"RISING SUN SENIOR HOME AT BELMAR INC, THE",303-989-0301,0,12,0
"7456 S KENDALL BLVD LITTLETON, CO 80128",2304JT,COLORADO ASSISTED LIVING HOMES LLC - KENDALL,Ms TAMMY LITTLEFIELD,3039322289,ASSISTED LIVING RESIDENCE,JEFFERSON,No,7456 S KENDALL BLVD,LITTLETON,CO,80128,,,"6638 W. OTTAWA AVE. LITTLETON, CO 80128", PROFIT-CORPORA,"COLORADO ASSISTED LIVING HOMES, LLC",,0,7,0
"1002 RULE DR FORT COLLINS, CO 80525",2303WA,BROOKDALE FORT COLLINS AL (CO),Mr GREGORY RUSSELL BROWN,9702299777,ASSISTED LIVING RESIDENCE,LARIMER,No,1002 RULE DR,FORT COLLINS,CO,80525,pthomaskline@brookdaleliving.com,2/13/98,"6111 WESTWOOD PLACE BRENTWOOD, TN 37027", PROFIT-CORPORA,ALTERRA HEALTHCARE CORPORATION,615-221-2250,0,80,0
"2895 N EMPIRE AVE LOVELAND, CO 80538",2303RR,BROOKDALE NORTH LOVELAND,Ms TAMARA YOST,9706679500,ASSISTED LIVING RESIDENCE,LARIMER,No,2895 N EMPIRE AVE,LOVELAND,CO,80538,,8/26/97,"6111 WESTWOOD PLACE BRENTWOOD, TN 37027", PROFIT-CORPORA,ALTERRA HEALTHCARE CORPORATION,615-221-2250,0,60,0
"4723 SURFWOOD LANE PUEBLO, CO 81005",2306MT,BROOKDALE EL CAMINO, JANELLA SANDOVAL,7195611400,ASSISTED LIVING RESIDENCE,PUEBLO,No,4723 SURFWOOD LANE,PUEBLO,CO,81005,jsandoval@brookdaleliving.com,8/13/97,"6111 WESTWOOD PLACE BRENTWOOD, TN 37027", PROFIT-CORPORA,ALTERRA HEALTHCARE CORPORATION,615-221-2250,0,75,0
"1715 32ND ST EVANS, CO 80620",2303AM,ASHLEY MANOR - EVANS 3,Ms BRANDIE JACKSON,9703361966,ASSISTED LIVING RESIDENCE,WELD,No,1715 32ND ST,EVANS,CO,80620,,2/26/99,"4334 NORTH BRIGHT ANGEL AVENUE MERIDIAN, ID 83646", PROFIT-CORPORA,ASHLEY MANOR LLC,208-376-7298,0,16,0
"6994 CR 39 FORT LUPTON, CO 80621",23I528,EAGLES NEST AVIATOR'S HOMES INC,Mr MOTOLANI OWOLABI,5052315585,ASSISTED LIVING RESIDENCE,WELD,No,6994 CR 39,FORT LUPTON,CO,80621,,2/10/09,"18931 E BRUNSWICK PLACE AURORA, CO 80013", PROFIT-CORPORA,PLANET VIEW INC,505-231-5585,0,16,0
"1475 MAIN ST WINDSOR, CO 80550",23R659,COLUMBINE COMMONS ASSISTED LIVING,Mr PALMER WITHROW,9704495540,ASSISTED LIVING RESIDENCE,WELD,No,1475 MAIN ST,WINDSOR,CO,80550,,12/4/13,"802 W DRAKE RD, SUITE 101 FORT COLLINS, CO 80526", PROFIT-CORPORA,"COLUMBINE COMMONS HEATLH & REHAB, LLC",970-482-0198,0,65,0
"2204 OAKRIDGE LANE COLORADO SPRINGS, CO 80915",2305RA,CONSTANT CARE VI OAKRIDGE,Mr JEFFREY REYNOLDS,7196606826,ASSISTED LIVING RESIDENCE,EL PASO,Yes,2204 OAKRIDGE LANE,COLORADO SPRINGS,CO,80915,,7/1/00,"2540 CARDIGAN DRIVE COLORADO SPRINGS, CO 80920", PROFIT-CORPORA,"CONSTANT CARE OF COLORADO SPRINGS, INC",719-660-6826,0,6,6
"427 W CHEYENNE ROAD COLORADO SPRINGS, CO 80906",2305T2,CONSTANT CARE V CHEYENNE,Mr JEFFREY REYNOLDS,7196606826,ASSISTED LIVING RESIDENCE,EL PASO,Yes,427 W CHEYENNE ROAD,COLORADO SPRINGS,CO,80906,,,"2540 CARDIGAN DRIVE COLORADO SPRINGS, CO 80920", PROFIT-CORPORA,"CONSTANT CARE OF COLORADO SPRINGS, INC",719-660-6826,0,6,6
"2402 WOODBURN STREET COLORADO SPRINGS, CO 80906",2305U1,CONSTANT CARE IV WOODBURN,Mr JEFFREY REYNOLDS,7196606826,ASSISTED LIVING RESIDENCE,EL PASO,Yes,2402 WOODBURN STREET,COLORADO SPRINGS,CO,80906,,7/1/94,"2540 CARDIGAN DRIVE COLORADO SPRINGS, CO 80920", PROFIT-CORPORA,"CONSTANT CARE OF COLORADO SPRINGS, INC",719-660-6826,0,6,6
"19 LOMA LINDA DR COLORADO SPRINGS, CO 80906",2305FX,CONSTANT CARE III LOMA LINDA,Mr JEFFREY REYNOLDS,7196606826,ASSISTED LIVING RESIDENCE,EL PASO,Yes,19 LOMA LINDA DR,COLORADO SPRINGS,CO,80906,,4/4/96,"2540 CARDIGAN DRIVE COLORADO SPRINGS, CO 80920", PROFIT-CORPORA,"CONSTANT CARE OF COLORADO SPRINGS, INC",719-660-6826,0,8,8
"21 DELMAR CIRCLE AURORA, CO 80011",23D453,ASSISTED LIVING OF AURORA INC,Mr CHIRAG SHAH,3038345646,ASSISTED LIVING RESIDENCE,ARAPAHOE,Yes,21 DELMAR CIRCLE,AURORA,CO,80011,,9/14/11,"PO BOX 270523 LOUISVILLE, CO 80027", PROFIT-CORPORA,ASSISTED LIVING OF AURORA INC,303-834-5646,0,10,10
"1570 S NEWLAND ST LAKEWOOD, CO 80232",23W736,ROCKY MOUNTAIN ASSISTED LIVING-NEWLAND,Ms MEGHANN ZIEGLER,3039966886,ASSISTED LIVING RESIDENCE,JEFFERSON,Yes,1570 S NEWLAND ST,LAKEWOOD,CO,80232,zieglermeghann@gmail.com,11/6/14,"6143 SOUTH WILLOW DRIVE, SUITE 401 GREENWOOD VILLAGE, CO 80111", PROFIT-CORPORA,ROCKY MOUNTAIN ASSISTED LIVING LLC,303-996-6886,0,12,12
"155 S HOYT STREET LAKEWOOD, CO 80226",23U325,SERENITY HOUSE ASSISTED LIVING HOYT STREET,Mr MICHAEL ZISLIS,3035848926,ASSISTED LIVING RESIDENCE,JEFFERSON,Yes,155 S HOYT STREET,LAKEWOOD,CO,80226,michael.zislis@serenityhouse.net,5/4/15,"5290 EAST YALE CIRCLE, SUITE 209 DENVER, CO 80222", PROFIT-CORPORA,"SERENITY HOUSE ASSISTED LIVING, INC.",303-584-8926,0,12,12
"1102 4TH STREET FORT LUPTON, CO 80621",23F488,ASHLEY MANOR - FT LUPTON 1,Ms DEBBY CDEBACA,3038571921,ASSISTED LIVING RESIDENCE,WELD,Yes,1102 4TH STREET,FORT LUPTON,CO,80621,,12/11/02,"4334 NORTH BRIGHT ANGEL AVENUE MERIDIAN, ID 83646", PROFIT-CORPORA,ASHLEY MANOR LLC,208-376-7298,0,12,12
"1805 32ND STREET EVANS, CO 80620",2303Y3,ASHLEY MANOR - EVANS 1,Ms BILLIE WILLIAMS,9703469891,ASSISTED LIVING RESIDENCE,WELD,Yes,1805 32ND STREET,EVANS,CO,80620,,12/26/96,"4334 NORTH BRIGHT ANGEL AVENUE MERIDIAN, ID 83646", PROFIT-CORPORA,ASHLEY MANOR LLC,208-376-7298,0,13,13
"6450 S BOSTON STREET GREENWOOD VILLAGE, CO 80111",2304MV,BROOKDALE GREENWOOD VILLAGE-ALR,Ms VIRGINA TRUJILLO,3032249455,ASSISTED LIVING RESIDENCE,ARAPAHOE,Yes,6450 S BOSTON STREET,GREENWOOD VILLAGE,CO,80111,"ipollak@brookdale,com",9/15/99,"111 WESTWOOD PLACE, SUITE 400 BRENTWOOD, TN 37027", PROFIT-CORPORA,"ARC GREENWOOD VILLAGE, INC.",615-221-2250,0,136,15
"7201 W HAMPDEN LAKEWOOD, CO 80227",23R199,LEARNING SERVICES CORPORATION -  BEAR CREEK,Ms SHERI RENE MILLS,3039896660,ASSISTED LIVING RESIDENCE,JEFFERSON,Yes,7201 W HAMPDEN,LAKEWOOD,CO,80227,rmills@learningservices.com,4/8/08,"10 SPEEN STREET 4TH FLOOR FRAMINGHAM, MA 01701", PROFIT-CORPORA,LEARNING SERVICES CORPORATION,508-270-5200,0,15,15
"9 S DORIS DRIVE FLORENCE, CO 81226",23U714,FORGETMENOT MEMORY CARE ASSISTED LIVING,Mr ADAM MALACHI,7193720749,ASSISTED LIVING RESIDENCE,FREMONT,Yes,9 S DORIS DRIVE,FLORENCE,CO,81226,,12/16/10,"11544 E CUSTER PL AURORA, CO 80012", PROFIT-CORPORA,CARE HAVEN ASSISTED LIVING INC,303-210-1761,0,16,16
"1201 W ABRIENDO AVE PUEBLO, CO 81004",2306N1,CHATEAU AT SHARMAR ASSISTED LIVING,Mr KEITH ARNOLD JACKSON,7195441173,ASSISTED LIVING RESIDENCE,PUEBLO,Yes,1201 W ABRIENDO AVE,PUEBLO,CO,81004,luanna.tapia@continuumhealth.com,9/15/99,"P.O. BOX 336250 GREELEY, CO 80633", PROFIT-CORPORA,"CONTINUUM AT CHATEAU, INC.",970-395-0404,0,87,16
"1968 SUNRISE DRIVE MONTROSE, CO 81401",23S304,MONTAGE CREEK,Ms ANNELIESE WILHELMINA MUHLBAUER,9702400600,ASSISTED LIVING RESIDENCE,MONTROSE,Yes,1968 SUNRISE DRIVE,MONTROSE,CO,81401,praab@generationsllc.com,2/5/07,"8440 SE SUNNYBROOK BLVD SUITE 100 CLACKAMAS, OR 97015", PROFIT-CORPORA,EMERITUS CORPORATION,503-652-0750,0,107,24
"1685 SOUTH 21ST STREET COLORADO SPRINGS, CO 80904",23054G,BEAR CREEK SENIOR LIVING,Mr IAN CHARTIER,7193291774,ASSISTED LIVING RESIDENCE,EL PASO,Yes,1685 SOUTH 21ST STREET,COLORADO SPRINGS,CO,80904,,10/14/99,"6415 S. 3000 E. SUITE 100 SALT LAKE CITY, UT 84121", PROFIT-CORPORA,"S-H OPCO BEAR CREEK, LLC",801-495-7000,0,137,30
"6383 E GIRARD PLACE DENVER, CO 80222",23M205,HIGHPOINTE ASSISTED LIVING & MEMORY CARE,Ms LEBANA PRAHL,3037564567,ASSISTED LIVING RESIDENCE,ARAPAHOE,Yes,6383 E GIRARD PLACE,DENVER,CO,80222,jsullivan@spectrumretirement.com,12/4/13,"4600 S SYRACUSE ST, 11TH FL DENVER, CO 80237", PROFIT-CORPORA,"HIGHPOINTE OPERATOR, LLC",303-360-8812,0,100,32
"900 CENTRE AVENUE FORT COLLINS, CO 80526",23036U,NEW MERCER COMMONS,Ms GINA DIGIALLONARDO,9704951000,ASSISTED LIVING RESIDENCE,LARIMER,Yes,900 CENTRE AVENUE,FORT COLLINS,CO,80526,gina.digiallonardo@columbinehealth.com,5/19/94,"802 W DRAKE RD, SUITE 101 FORT COLLINS, CO 80526", PROFIT-CORPORA,THE WORTHINGTON INC.,970-482-0198,0,120,34
