Facility Name,Licensee,State Facility Type 1 Literal,Address,City,Island,Phone Number,License Number,Capacity,State Facility Type 2 Literal
Pohai Nani 'Ahui Laule'a,Judith Matthews,Type I Expanded Adult Residential Care Home,45-090 Namoku Street,Kaneohe,Oahu,8082476211,1325-C,5,Ambulatory
Pohai Nani 'Ahui Malie,Judith Matthews,Type I Expanded Adult Residential Care Home,45-090 Namoku Street,Kaneohe,Oahu,8082476211,1324-C,5,Ambulatory
Poncethia R. Rambo's,Poncethia Rambo,Type I Expanded Adult Residential Care Home,1621 Nohoana Place,Hilo,Big Island,8089598639,1476-C,5,Ambulatory
Precious Moment Adult Residential Care Home,Evangeline Andres,Type I Expanded Adult Residential Care Home,4229 Keaka Drive,Honolulu,Oahu,8084236358,1246-C,5,Ambulatory
"Prieto, Gloria",Gloria Prieto,Type I Expanded Adult Residential Care Home,3504 Likini Street,Honolulu,Oahu,8084222264,742-C,5,Ambulatory
Prime Health Services Care Home,Rafael Antonio,Type I  Adult Residential Care Home,99-1041 Halawa Heights Road,Aiea,Oahu,8084285844,1508-C,5,Ambulatory
Prime Health Services Care Home II,Rafael Antonio,Type I Expanded Adult Residential Care Home,107B Kilea Place,Wahiawa,Oahu,8084285844,1559-C,5,Ambulatory
Pualei Care Home,Ruby Jose,Type I Expanded Adult Residential Care Home,7246 Anakua Street,Honolulu,Oahu,8083589323,1550-C,5,Ambulatory
"Quiocho, Lolita",Lolita Quiocho,Type I  Adult Residential Care Home,4103 Likini Street,Honolulu,Oahu,8084226128,810-C,4,Fully Ambulatory
"Quitevis, Elena",Elena Quitevis,Type I  Adult Residential Care Home,1614 Maluawai Street,Pearl City,Oahu,8084557346,750-C,5,Ambulatory
R & A Care Home,Amalia Garcia-Lindenmuth,Type I Expanded Adult Residential Care Home,123 Uakanikoo Place,Wahiawa,Oahu,8088888925,1607-C,5,AMB
R & B ARCH/E-ARCH LLC,Remedios Aguinaldo,Type I Expanded Adult Residential Care Home,94-912 Kumuao Street,Waipahu,Oahu,8082348241,1429-C,5,Ambulatory
"R & M Duran, L.L.C.",Marenila Duran,Type I Expanded Adult Residential Care Home,94-628 Loa'a Street,Waipahu,Oahu,8086780150,1315-C,5,Ambulatory
R.K.C. ARCH,Josephine Fitzgerald,Type I  Adult Residential Care Home,91-938 Hanakahi Street,Ewa Beach,Oahu,8083477532,1269-C,3,Ambulatory
Rabaino's,Lalaine Rabaino,Type I  Adult Residential Care Home,328 Hie Street,Kapaa,Kauai,8088229753,1250-C,5,Ambulatory
Rafael Care Home,Marlene Rafael,Type I Expanded Adult Residential Care Home,98-1713 Laauhuahua Way,Pearl City,Oahu,8084559282,1385-C,5,Ambulatory
"Rafael, Evelyn",Evelyn Rafael,Type I Expanded Adult Residential Care Home,94-105 Haaa Street,Waipahu,Oahu,8086719717,1082-C,5,Ambulatory
Raguindin Malama Kauhale ARCH,Belma Raguindin,Type I Expanded Adult Residential Care Home,94-088 Awamoku Street,Waipahu,Oahu,8086777464,1025-C,5,Ambulatory
Rainbow Adult Residential Care Home/Expanded ARCH,Debbie Borgonia,Type I Expanded Adult Residential Care Home,95-195 Aumea Loop,Mililani,Oahu,8086252425,1510-C,5,Ambulatory
Ramelb Adult Residential Care Home,Evelyn Ramelb,Type I Expanded Adult Residential Care Home,16-1508 35th Avenue,Keaau,Big Island,8089669553,1504-C,4,Ambulatory
Ramos Care Center LLC,Kathleen Ramos,Type I Expanded Adult Residential Care Home,1365 Kuahaka Street,Pearl City,Oahu,8087726090,1621-C,3,Fully Ambulatory
"Ramos, Arsenia",Arsenia Ramos,Type I  Adult Residential Care Home,4028 Salt Lake Boulevard,Honolulu,Oahu,8084224886,711-C,1,Fully Ambulatory
"Ramos, Consolacion",Consolacion Ramos,Type I  Adult Residential Care Home,1742 Ala Aolani Place,Honolulu,Oahu,8088339812,618-C,3,Fully Ambulatory
Raqueno Care Home,Melkarth Raqueno,Type I Expanded Adult Residential Care Home,3454 Likini Street,Honolulu,Oahu,8084224324,1603-C,5,Fully Ambulatory
Raza Adult Residential Care Home-Expanded Care,Ruth Raza,Type I Expanded Adult Residential Care Home,61 Kehaulani Street,Hilo,Big Island,8089593166,1501-C,5,Ambulatory
"Respicio, Maria",Maria Respicio,Type I  Adult Residential Care Home,328 Wainohia Place,Hilo,Big Island,8089597246,687-C,5,Ambulatory
Reyes Care Home,Corazon Reyes,Type I  Adult Residential Care Home,94-931-A Lumihoahu Street,Waipahu,Oahu,8086710606,532-C,5,Ambulatory
"Reyes, Cesaria",Cesaria Reyes,Type I  Adult Residential Care Home,2602 Nihi Street,Honolulu,Oahu,8088430597,812-C,2,Fully Ambulatory
Riingen ARCH/Expanded ARCH,Benita Riingen,Type I Expanded Adult Residential Care Home,17-559 Ipuaiwaha Street,Keaau,Big Island,8089823658,1524-C,5,Ambulatory
RJ Santiago ARCH & E-ARCH,Juliet Santiago,Type I Expanded Adult Residential Care Home,94-571 Loaa Street,Waipahu,Oahu,8086718901,1204-C,5,Ambulatory
"RMJ Adult Care Home, Inc.",Maricel Rosario,Type I  Adult Residential Care Home,94-1048 Awalai Street,Waipahu,Oahu,8086769848,1591-C,5,Ambulatory
RNF Rainbow Adult Residential Care Home LLC,Rosemary Cayabyab,Type I Expanded Adult Residential Care Home,94-1178 Hoomakoa Street,Waipahu,Oahu,8086641022,1619-C,3,Ambulatory
Rodriguez Care Home,Teresita Rodriguez,Type I Expanded Adult Residential Care Home,1647 Paaaina Place,Pearl City,Oahu,8084554465,1029-C,5,Ambulatory
Ronidel Care Home,Milagros Ronidel,Type I Expanded Adult Residential Care Home,94-407 Kahualena Street,Waipahu,Oahu,,1628-C,,
Rosana Dumlao,Rosana Dumlao,Type I Expanded Adult Residential Care Home,94-871 Awanei Street,Waipahu,Oahu,8086710166,1053-C,5,Ambulatory
Rosario,Rosario Gomez,Type I Expanded Adult Residential Care Home,94-1134 Hapapa Street,Waipahu,Oahu,8086712609,1494-C,5,Ambulatory
"Rosario, Trinidad",Trinidad Rosario,Type I  Adult Residential Care Home,372 Pakauwili Drive,Wahiawa,Oahu,8086210819,712-C,5,Ambulatory
Rose Hwang's Care Home,Rose Hwang,Type I Expanded Adult Residential Care Home,1755 Palamoi Street,Pearl City,Oahu,8087411611,1399-C,4,Ambulatory
Roselle Ragasa Adult Residential Care Home (ARCH) Corp.,Roselle Ragasa,Type I  Adult Residential Care Home,4523 Likini Street,Honolulu,Oahu,8086224177,1593-C,5,Ambulatory
"Ruth's House, L.L.C.",Leigha Huber,Type I Expanded Adult Residential Care Home,73-4318 Keo Keo Street,Kailua-Kona,Big Island,8083256283,1374-C,5,Ambulatory
Sagadraca Care Home,Sagadraca Aurora,Type I Expanded Adult Residential Care Home,94-329 Kiokio Place,Waipahu,Oahu,8086713695,1070-C,5,Ambulatory
"Sagaysay, Makrina",Makrina Sagaysay,Type I  Adult Residential Care Home,1112 Kopke Street,Honolulu,Oahu,8088480451,802-C,3,Ambulatory
"Sales, Abner",Abner Sales,Type I Expanded Adult Residential Care Home,94-1156 Halelehua Street,Waipahu,Oahu,8086765140,1343-C,5,Ambulatory
"Salvador, Catherine",Catherine Salvador,Type I Expanded Adult Residential Care Home,2318 Awapuhi Street,Hilo,Big Island,8089810613,1419-C,5,Ambulatory
"Sambajon, Remedios",Remedios Sambajon,Type I  Adult Residential Care Home,94-1042 Halelehua Street,Waipahu,Oahu,8086783612,677-C,5,Ambulatory
"Santos, Norma",Norma Santos,Type I  Adult Residential Care Home,4240 Keaka Drive Honolulu,Honolulu,Oahu,8084237454,1214-C,5,Fully Ambulatory
Sebastian's ARCH LLC,Adelina Sebastian,Type I  Adult Residential Care Home,1630 Leilani Street,Honolulu,Oahu,8088452461,761-C,5,Ambulatory
"Selga, Natividad",Natividad Selga,Type I  Adult Residential Care Home,45-933 Keaahala Place,Kaneohe,Oahu,8082471699,817-C,5,Ambulatory
"Senior Living With Aloha, L.L.C.",Mohammed Rumi,Type I Expanded Adult Residential Care Home,1419 16th Avenue,Honolulu,Oahu,8083832597,1443-C,5,Ambulatory
"Sera, Aurora",Aurora Sera,Type I Expanded Adult Residential Care Home,1305 Mokapu Boulevard,Kailua,Oahu,8082546124,1107-C,5,Ambulatory
"Serapion, Shirley",Shirley Serapion,Type I Expanded Adult Residential Care Home,94-258 Kahuahele Street,Waipahu,Oahu,8086716376,637-C,5,Ambulatory
Serenity Care Home Hawaii Kai,Ana Jose,Type I  Adult Residential Care Home,1072 Kalapaki Street,Honolulu,Oahu,8084921033,1590-C,5,Ambulatory
Serenity Hawaii Carehome LLC,Claudia Cabrera-Prantl,Type I Expanded Adult Residential Care Home,94-559 Apii Place,Waipahu,Oahu,8082029465,1545-C,5,Ambulatory
Sharolyn L Galamay LLC,Sharolyn Galamay,Type I  Adult Residential Care Home,91-1141 Kauiki Street,Ewa Beach,Oahu,8086897092,1398-C,4,Ambulatory
Simpliciano's ARCH,Ofelia Simpliciano,Type I Expanded Adult Residential Care Home,94-106 Kaupu Place,Waipahu,Oahu,8086710396,1133-C,5,Ambulatory
"Snouffer, Cely",Cely Snouffer,Type I  Adult Residential Care Home,712 Hoomalimali Street,Pearl City,Oahu,8084540741,681-C,5,Ambulatory
"Solmerin, Ofelia",Ofelia Solmerin,Type I Expanded Adult Residential Care Home,366 Kapualani Street,Hilo,Big Island,8089598421,663-C,5,Ambulatory
Soriano Care Home,Helen Soriano,Type I Expanded Adult Residential Care Home,2307 North School Street,Honolulu,Oahu,8088450512,1276-C,5,Ambulatory
STS Adult Foster Service LLC,Steven Scott Jr.,Type I Expanded Adult Residential Care Home,1604 Perry Street,Honolulu,Oahu,8083689378,1613-C,5,Ambulatory
Suenaga II,Stacy Perry,Type I  Adult Residential Care Home,45-390 Kamehameha Highway,Kaneohe,Oahu,8082363465,1264-C,5,Ambulatory
Suetos Care Home,Ederlina Suetos,Type I  Adult Residential Care Home,4415 Ukali Street,Honolulu,Oahu,8084228757,1411-C,5,Ambulatory
Sun Moon,Maria Gallego,Type I Expanded Adult Residential Care Home,1020 Hala Drive,Honolulu,Oahu,8085951073,1366-C,5,Ambulatory
Superior Care Group L.L.C.,Shanelle Baxa,Type I  Adult Residential Care Home,2115 Gertz Lane #A,Honolulu,Oahu,8084971797,1605-C,5,Fully Ambulatory
"Susan's Adult Residential Care, LLC",Susan Ramiro,Type I Expanded Adult Residential Care Home,1315 Gulick Avenue,Honolulu,Oahu,8088452879,1338-C,5,Ambulatory
Sweet Haven,Bernardo Fogata,Type I Expanded Adult Residential Care Home,98-1274 Hoohuali Place,Pearl City,Oahu,8084564749,1394-C,4,Ambulatory
"T & F Home Services, L.L.C.",Francesca Mafua,Type I Expanded Adult Residential Care Home,45-339 Kahowaa Place,Kaneohe,Oahu,8085907769,1403-C,4,Ambulatory
"Tablit, Elpidio",Elpidio Tablit,Type I  Adult Residential Care Home,94-544 Hiahia Loop,Waipahu,Oahu,8086715255,982-C,5,Fully Ambulatory
Tabora's,Lourdes Tabora,Type I Expanded Adult Residential Care Home,94-970 Lumihoahu Street,Waipahu,Oahu,8086778767,1106-C,5,Ambulatory
Tacotaco ARCH,Cristeta Tacotaco,Type I Expanded Adult Residential Care Home,1017 Ala Lehua Street,Honolulu,Oahu,8088335178,1360-C,5,Ambulatory
Tadeo,Rianalyn Handy,Type I Expanded Adult Residential Care Home,17-566 S. Ipu'aiwaha Street,Keaau,Big Island,8089827274,1163-C,4,Ambulatory
Tangonan Adult Residential Care Home,Edna Tangonan,Type I Expanded Adult Residential Care Home,94-228 Moena Place,Waipahu,Oahu,8086869357,1407-C,5,Ambulatory
Tanisue Care Home,Clarisa Tanisue,Type I Expanded Adult Residential Care Home,1615 Hoolana Street,Pearl City,Oahu,8084559217,1469-C,5,Ambulatory
Tender Loving Care,Jovita Ibon,Type I  Adult Residential Care Home,94-1227 Kahuanui Street,Waipahu,Oahu,8086710695,1124-C,5,Fully Ambulatory
"Tender Loving Care G. Care Home, LLC",Grace Fernim,Type I Expanded Adult Residential Care Home,1730 Kilohi Street,Honolulu,Oahu,8088450742,1620-C,5,Ambulatory
The Paperbark House,Ian Taylor,Type I  Adult Residential Care Home,1038 Mokapu Boulevard,Kailua,Oahu,8082863274,1592-C,5,Ambulatory
TJ Factora Care Home,Tessie Factora,Type I Expanded Adult Residential Care Home,830 Second Street,Pearl City,Oahu,8084566084,1520-C,5,Ambulatory
"TLC Ohana Hale, Inc.",Lilibeth Caoile,Type I Expanded Adult Residential Care Home,99-019 Kealakaha Drive,Aiea,Oahu,8082551151,1434-C,5,Ambulatory
Ugalino ARCH,Josefina Ugalino,Type I  Adult Residential Care Home,1017 Ehoeho Avenue,Wahiawa,Oahu,8086216174,882-C,5,Fully Ambulatory
"Ulep, Juanita",Juanita Ulep,Type I  Adult Residential Care Home,2817 Nihi Street,Honolulu,Oahu,8088451459,836-C,5,Ambulatory
"United Family Care Home, LLC",Helen Go,Type I Expanded Adult Residential Care Home,1328 Molehu Drive,Honolulu,Oahu,8084211775,1143-C,5,Ambulatory
Valdez Care Home,Minda Valdez,Type I Expanded Adult Residential Care Home,94-1031 Lumiauau Street,Waipahu,Oahu,8086775398,751-C,5,Ambulatory
"Valley View Pearl City, LLC",Carol Fardal,Type I Expanded Adult Residential Care Home,944 Maiha Circle,Pearl City,Oahu,8086645701,1380-C,5,Ambulatory
Vargas Care Home,Levy Vargas,Type I Expanded Adult Residential Care Home,94-296 Kahuahele Street,Waipahu,Oahu,8086712088,521-C,5,Ambulatory
Veronica Esteban Care Home,Veronica Esteban,Type I  Adult Residential Care Home,1342 Kamehameha IV Road,Honolulu,Oahu,8088883402,297-C,5,Ambulatory
Vicky's,Victoria Eischen,Type I  Adult Residential Care Home,99-1002-D Puumakani Street,Aiea,Oahu,8084880504,547-C,5,Ambulatory
Victoria,Elena Ragasa,Type I  Adult Residential Care Home,1705 Ema Place,Honolulu,Oahu,8088451820,1054-C,4,Ambulatory
Victoria Expanded Care Home LLC,Vicky Bagain,Type I Expanded Adult Residential Care Home,94-1381 Hiaai Place,Waipahu,Oahu,8086717308,319-C,5,Ambulatory
Victoria Gabriella Care Home,Aida Rufo,Type I  Adult Residential Care Home,94-100 Kauweke Place,Waipahu,Oahu,8087826184,1540-C,5,Ambulatory
"Viernes, May G.",May Viernes,Type I  Adult Residential Care Home,94-1184 Hina Street,Waipahu,Oahu,8086764787,1243-C,5,Ambulatory
Vilas Home Care Inc,Anabel Vila,Type I Expanded Adult Residential Care Home,94-1254 Kahuaina Street,Waipahu,Oahu,8088886489,1572-C,5,Ambulatory
Vilas Home Care Inc II,Anabel Vila,Type I Expanded Adult Residential Care Home,5119 B Likini Street,Honolulu,Oahu,8088886489,1601-C,5,Ambulatory
Village Park Adult Residential Care Home,Marilou Peralta,Type I  Adult Residential Care Home,94-101 Kauweke Place,Waipahu,Oahu,8086773520,1551-C,4,Ambulatory
"Villar, Marylin",Marylin Villar,Type I  Adult Residential Care Home,94-242 Pupukahi Street,Waipahu,Oahu,8086781482,876-C,5,Ambulatory
"Violet's Care Home, Inc.",Violet Sadural,Type I Expanded Adult Residential Care Home,1104 Wiliki Drive,Honolulu,Oahu,8084230553,1167-C,5,Ambulatory
Waialae Senior Living,Kathleen Takamori,Type I  Adult Residential Care Home,2945 Kalei Road,Honolulu,Oahu,8089416960,1553-C,5,Ambulatory
Waialae Senior Living 2,Kathleen Takamori,Type I  Adult Residential Care Home,2945-A Kalei Road,Honolulu,Oahu,8084885521,1571-C,5,Ambulatory
Wailua Ohana Inc.,Debra Apor-Bahnmiller,Type I  Adult Residential Care Home,187 Lihau Street,Kapaa,Kauai,8088238004,1569-C,4,Ambulatory
Waipahu Hale,Aga Antonio,Type I Expanded Adult Residential Care Home,94-1201 Huakai Street,Waipahu,Oahu,8086771424,1454-C,5,Ambulatory
Weber's,Weber Perla,Type I Expanded Adult Residential Care Home,3056 Nihi Street,Honolulu,Oahu,8088432061,1285-C,5,Ambulatory
Wilson Senior Living Kailua,Shelley Wilson,Type II Adult Residential Care Home,96 Kaneohe Bay Drive,Kailua,Oahu,8082537460,1513-C,22,Ambulatory
Winmax Senior Care L.L.C.,Paul Dold,Type II Expanded Adult Residential Care Home,3808 Harding Avenue,Honolulu,Oahu,8084400560,1313-C,8,Ambulatory
Wisdom Home Care LLC,Maricor Dela Cruz,Type I Expanded Adult Residential Care Home,94-234 Waikele Road,Waipahu,Oahu,8083835409,1633-C,4,
Yamashiro Care Home L.L.C.,Vivian Yamashiro,Type I Expanded Adult Residential Care Home,45-386 Kamehameha Highway,Kaneohe,Oahu,8082852604,1412-C,5,Ambulatory
Yaying House Inc.,Yaying Liu,Type I Expanded Adult Residential Care Home,3285 Olu Street,Honolulu,Oahu,8087378307,1376-C,5,Ambulatory
Yolanda Razon-Collo,Yolanda Razon-Collo,Type I Expanded Adult Residential Care Home,4345 Likini Street,Honolulu,Oahu,8084227881,1117-C,5,Ambulatory
Yoon's Care Home,Yoon Young,Type I Expanded Adult Residential Care Home,1754 Komo Mai Drive,Pearl City,Oahu,8083921091,1517-C,5,Ambulatory
"Zen Residences, L.L.C.",Agbunag Jarrah,Type I Expanded Adult Residential Care Home,432 Hoomalu Street,Pearl City,Oahu,8083885285,1460-C,5,Ambulatory
Zenaida's,Zenaida Rivera,Type I  Adult Residential Care Home,67-435 Kukea Circle,Waialua,Oahu,8086379770,488-C,5,Ambulatory
