Facility Name,Address,City,Zip Code,License Number,Phone Number,State Facility Type 1 Literal,Licensee,Capacity,State Facility Type 2 Literal,Date Accessed,State
Kokua Gardens,340-B KAWAINUI STREET,Kailua,,1350-C,8082635624.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,LYNDON ODRUNIA,5.0,AMBULATORY,6/24/21,HI
Korean Care Home,525 KIAPU PLACE,Honolulu,,105-C,8085333157.0,TYPE II ADULT RESIDENTIAL CARE HOME,SAM SIL YUN CANNON,31.0,AMBULATORY,6/24/21,HI
Kuakini Home,347 N. KUAKINI STREET,Honolulu,,106-C,8085479208.0,TYPE II ADULT RESIDENTIAL CARE HOME,WILLIAM OSHIMA,34.0,AMBULATORY,6/24/21,HI
"Lanihale, Inc.",187 NENUE STREET,Honolulu,,1566-C,8083894194.0,TYPE I  ADULT RESIDENTIAL CARE HOME,LANI MOORE,5.0,AMBULATORY,6/24/21,HI
Laniolu Hale Llc,1261 LUNALILO HOME ROAD,Honolulu,,1410-C,8083940770.0,TYPE I  ADULT RESIDENTIAL CARE HOME,ANTHONY DEFIESTA,5.0,AMBULATORY,6/24/21,HI
Laulima Hale,1010C WANAKA STREET,Honolulu,,1581-C,8083044876.0,TYPE I  ADULT RESIDENTIAL CARE HOME,DARRELL AGUINALDO,5.0,AMBULATORY,6/24/21,HI
Lavigne-Namoca Care Home,98-609 KAAMILO STREET,Aiea,,1277-C,8084850133.0,TYPE I  ADULT RESIDENTIAL CARE HOME,ANN LAVIGNE-NAMOCA,5.0,AMBULATORY,6/24/21,HI
"Leano, Glenda",94-945 KUHAULUA STREET,Waipahu,,331-C,8086770262.0,TYPE I  ADULT RESIDENTIAL CARE HOME,GLENDA LEANO,5.0,AMBULATORY,6/24/21,HI
Leila'S Care Home Llc,1467 HALOA DRIVE,Honolulu,,1565-C,8084220686.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,JOSEPHINE CABALO,5.0,AMBULATORY,6/24/21,HI
Leticia'S Care Home,1375 ALA HOKU PLACE,Honolulu,,490-C,8083671364.0,TYPE I  ADULT RESIDENTIAL CARE HOME,TESSIE FERNANDO,5.0,FULLY AMBULATORY,6/24/21,HI
Lettie'S,739-D N. JUDD STREET,Honolulu,,333-C,8085372622.0,TYPE I  ADULT RESIDENTIAL CARE HOME,LETICIA TESORO,5.0,AMBULATORY,6/24/21,HI
Lilibeth Badua E-Arch,4318 LAAKEA STREET,Honolulu,,1594-C,8087440648.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,LILIBETH BADUA,5.0,AMBULATORY,6/24/21,HI
Lita Soria,94-346 HENE STREET,Waipahu,,1160-C,8086772174.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,ANGELITA SORIA,5.0,AMBULATORY,6/24/21,HI
Living Manoa Gardens,2385 BECKWITH STREET,Honolulu,,1531-C,8087798871.0,TYPE II EXPANDED ADULT RESIDENTIAL CARE HOME,TODD PANG,8.0,AMBULATORY,6/24/21,HI
Lolita Suga,94-414 HIANAKIU STREET,Waipahu,,460-C,8087292113.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,LOLITA SUGA,1.0,AMBULATORY,6/24/21,HI
"Lorenzo Care Home, Llc",98-1591 HOOMAIKE STREET,Pearl City,,1347-C,8084568878.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,CATHERINE LORENZO,5.0,AMBULATORY,6/24/21,HI
Loretta G. Domingo,1419 ALA LELEU STREET,Honolulu,,1435-C,8088393091.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,LORETTA DOMINGO,3.0,AMBULATORY,6/24/21,HI
Lory'S,94-1492 WAIPAHU STREET,Waipahu,,1406-C,8082301903.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,LORENZA PAREL,5.0,AMBULATORY,6/24/21,HI
Lota Bumanglag,94-366 KAHUANANI STREET,Waipahu,,1220-C,8086781967.0,TYPE I  ADULT RESIDENTIAL CARE HOME,LOTA BUMANGLAG,5.0,AMBULATORY,6/24/21,HI
Loumaile Cottage,1118 KAILI STREET,Honolulu,,1539-C,8086994899.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,MAILE DRAKE,3.0,AMBULATORY,6/24/21,HI
Lunalilo Home,501 KEKAULUOHI STREET,Honolulu,,1295-C,8083951000.0,TYPE II EXPANDED ADULT RESIDENTIAL CARE HOME,"DIANE PALOMA, PH.D., CEO",42.0,AMBULATORY,6/24/21,HI
Lusitana,1925 LUSITANA STREET,Honolulu,,1409-C,8085458641.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,CAROLYN DE GUZMAN,5.0,AMBULATORY,6/24/21,HI
Lydia Quemado,94-1292 HUAKAI STREET,Waipahu,,573-C,8085174799.0,TYPE I  ADULT RESIDENTIAL CARE HOME,LYDIA QUEMADO,3.0,AMBULATORY,6/24/21,HI
Macrina Castillo,1789 PIIKEA STREET,Honolulu,,516-C,8084225376.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,MARINA CASTILLO,5.0,AMBULATORY,6/24/21,HI
Maestro Care Home,613 HOOHALE STREET,Pearl City,,1537-C,8087414065.0,TYPE I  ADULT RESIDENTIAL CARE HOME,AMALIA MAESTRO,4.0,AMBULATORY,6/24/21,HI
"Magaoay, Shirley",1529 LEILANI STREET,Honolulu,,919-C,8088411448.0,TYPE I  ADULT RESIDENTIAL CARE HOME,SHIRLEY MAGAOAY,5.0,AMBULATORY,6/24/21,HI
"Magsanide'S Care Home, L.L.C.",1439 MIDDLE STREET,Honolulu,,1459-C,8088421676.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,EDITHA MAGSANIDE,5.0,AMBULATORY,6/24/21,HI
Makiki Valley Care Home,2041 KEEAUMOKU STREET,Honolulu,,1574-C,8083842300.0,TYPE I  ADULT RESIDENTIAL CARE HOME,GREGORY HONBO,5.0,AMBULATORY,6/24/21,HI
Malamaimua Care Home Llc,47-508 HAANOPU WAY,Kaneohe,,1614-C,8082843064.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,FRANKLIN VALIENTE,5.0,FULLY AMBULATORY,6/24/21,HI
Manayan'S Arch-Ec-Llc,1319 GULICK AVENUE,Honolulu,,1286-C,8088487730.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,FLORENCE MANAYAN,5.0,AMBULATORY,6/24/21,HI
Manoa Cottage,2035 KAMEHAMEHA AVENUE,Honolulu,,1279-C,8089438767.0,TYPE II EXPANDED ADULT RESIDENTIAL CARE HOME,SANDRA SHIM,8.0,FULLY AMBULATORY,6/24/21,HI
Manoa Cottage Too,2035 KAMEHAMEHA AVENUE,Honolulu,,1356-C,8089438767.0,TYPE II EXPANDED ADULT RESIDENTIAL CARE HOME,SANDRA SHIM,8.0,AMBULATORY,6/24/21,HI
Manoa Cottage Tree,2035 KAMEHAMEHA AVENUE,Honolulu,,1433-C,8089438767.0,TYPE II EXPANDED ADULT RESIDENTIAL CARE HOME,SANDRA SHIM,8.0,AMBULATORY,6/24/21,HI
"Manoa Elder Care, L.L.C.",2870 OAHU AVENUE,Honolulu,,1299-C,8084400560.0,TYPE II EXPANDED ADULT RESIDENTIAL CARE HOME,PAUL DOLD,8.0,AMBULATORY,6/24/21,HI
Manoa Senior Care A,2250 OAHU AVENUE,Honolulu,,1253-C,8084400560.0,TYPE II EXPANDED ADULT RESIDENTIAL CARE HOME,PAUL DOLD,8.0,AMBULATORY,6/24/21,HI
Manoa Senior Care B,2240 OAHU AVENUE,Honolulu,,1262-C,8084400560.0,TYPE II EXPANDED ADULT RESIDENTIAL CARE HOME,PAUL DOLD,8.0,AMBULATORY,6/24/21,HI
"Manoa Senior Care, L.L.C.",2872 OAHU AVENUE,Honolulu,,1292-C,8084400560.0,TYPE II EXPANDED ADULT RESIDENTIAL CARE HOME,PAUL DOLD,8.0,AMBULATORY,6/24/21,HI
Manoa Senior Living,3147 KAHIWA PLACE,Honolulu,,1582-C,8082005665.0,TYPE I  ADULT RESIDENTIAL CARE HOME,LAURA JACKSON,2.0,FULLY AMBULATORY,6/24/21,HI
Margee'S Care Home Llc,1547 HALOA DRIVE,Honolulu,,1596-C,8085976280.0,TYPE I  ADULT RESIDENTIAL CARE HOME,MARJORIE  RACPAN,3.0,FULLY AMBULATORY,6/24/21,HI
Maria Norma Jacinto Arch-Ec,94-332 KIPOU PLACE,Waipahu,,1263-C,8086807851.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,MARIA JACINTO,5.0,AMBULATORY,6/24/21,HI
"Mariano, Gloria",1614 MERKLE STTREET,Honolulu,,1000-C,8088458436.0,TYPE I  ADULT RESIDENTIAL CARE HOME,GLORIA MARIANO,5.0,AMBULATORY,6/24/21,HI
"Marie Malunao, Llc","98-801 AHIKOE STREET, SUITE B",Kapolei,,1599-C,8084899612.0,TYPE I  ADULT RESIDENTIAL CARE HOME,MARIE MALUNAO,4.0,AMBULATORY,6/24/21,HI
Marie Viduya,94-1177 HALELEHUA STREET,Waipahu,,650-C,8086717662.0,TYPE I  ADULT RESIDENTIAL CARE HOME,ROSE MARIE VIDUYA,5.0,AMBULATORY,6/24/21,HI
Marina Manuel Care Home,94-1035 LUMIKULA STREET,Waipahu,,561-C,8086718817.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,MARINA MANUEL,5.0,AMBULATORY,6/24/21,HI
"Marquez, Luz",94-908 KUMUAO STREET,Waipahu,,467-C,8086770932.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,LUZ MARQUEZ,5.0,AMBULATORY,6/24/21,HI
"Marrhey Care Home, Llc",94-211 LOAA STREET,Waipahu,,1091-C,8086710069.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,"MARRHEY CARE HOME, LLC",3.0,AMBULATORY,6/24/21,HI
Martha'S,516 IHE STREET,Honolulu,,1359-C,8085216181.0,TYPE I  ADULT RESIDENTIAL CARE HOME,MAATA TAUMALOLO,4.0,FULLY AMBULATORY,6/24/21,HI
Martin Obaldo,94-572 APII PLACE,Waipahu,,1168-C,8086765384.0,TYPE I  ADULT RESIDENTIAL CARE HOME,MARTIN OBALDO,3.0,AMBULATORY,6/24/21,HI
Mary Ann'S,745 PUU KALA STREET,Pearl City,,1249-C,8084563138.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,MARY ANN FORD,5.0,AMBULATORY,6/24/21,HI
Mary Arch,94-231 MOENA PLACE,,,1630-C,,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,MARITES FAILMA,3.0,,6/24/21,HI
"Mary'S Peaceful Haven, Llc",2777 KALIHI STREET,Honolulu,,1604-C,8088471070.0,TYPE I  ADULT RESIDENTIAL CARE HOME,MARIVIC PALTING,5.0,FULLY AMBULATORY,6/24/21,HI
"Medy'S Arch I, Inc.",1447 ALA LELEU STREET,Honolulu,,701-C,8088330919.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,MEDIATRIX DE LARA,5.0,AMBULATORY,6/24/21,HI
Medy'S Arch Ii,1447 ALA PILI LOOP,Honolulu,,1502-C,8088330919.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,MEDIATRIX DE LARA,5.0,AMBULATORY,6/24/21,HI
Mely Mueller,94-949 LUMILOKE STREET,Waipahu,,1140-C,8086779089.0,TYPE I  ADULT RESIDENTIAL CARE HOME,MELY BALLOCANAG,4.0,AMBULATORY,6/24/21,HI
Michelle Cacayorin Adult Residential Care Home,94-109 PALAI PLACE,Waipahu,,1584-C,8087442529.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,MICHELLE CACAYORIN,4.0,AMBULATORY,6/24/21,HI
Mildred'S,94-1273 PEKE PLACE,Waipahu,,1290-C,8086713752.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,MILDRED BUMANGLAG,5.0,AMBULATORY,6/24/21,HI
Mililani Care Home Llc,95-117 WAIKALANI DRIVE,Mililani,,1558-C,8082921603.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,SONIA GALVEZ,5.0,AMBULATORY,6/24/21,HI
Miva Arch,87-158 KAUKAMANA STREET,Waianae,,1339-C,8083580746.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,IMELDA ARREOLA,5.0,AMBULATORY,6/24/21,HI
Mjb,4221 LIKINI STREET,Honolulu,,1427-C,8085172114.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,MICHELLE BARRANCO,5.0,AMBULATORY,6/24/21,HI
Mona Liza,94-455 KAHUALENA STREET,Waipahu,,535-C,8086770524.0,TYPE I  ADULT RESIDENTIAL CARE HOME,PRESENTACION VALENTIN,4.0,AMBULATORY,6/24/21,HI
Monegas Care Home And Expanded Arch,94-913 KUHAULUA STREET,Waipahu,,1055-C,8086800636.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,BRENDA MONEGAS,5.0,AMBULATORY,6/24/21,HI
Morning Glory Care Home,91-1531 KEONEKAPU STREET,Ewa Beach,,1617-C,8086854926.0,TYPE I  ADULT RESIDENTIAL CARE HOME,DEBBIE OSORIO,4.0,FULLY AMBULATORY,6/24/21,HI
Mother & Daughter,94-369 APOWALE STREET,Waipahu,,1211-C,8086768893.0,TYPE I  ADULT RESIDENTIAL CARE HOME,RAYNILDA GUTING,5.0,AMBULATORY,6/24/21,HI
Msi Arch/Expanded Arch,99-603 ALIA PLACE,Aiea,,1445-C,8084872893.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,MARCELO IBERA,5.0,AMBULATORY,6/24/21,HI
My Kind Heart,98-034 KULEANA PLACE,Pearl City,,1610-C,8084921446.0,TYPE I  ADULT RESIDENTIAL CARE HOME,IMELDA HYDE,5.0,AMBULATORY,6/24/21,HI
Myles Care Home,719 S. KEI PLACE,Kahului,,1051-C,8088777494.0,TYPE I  ADULT RESIDENTIAL CARE HOME,VICTORIA PARANADA,4.0,AMBULATORY,6/24/21,HI
"Navarro, Rebecca",94-1354 HIAAI PLACE,Waipahu,,695-C,8086710294.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,REBECCA NAVARRO,5.0,AMBULATORY,6/24/21,HI
"Nebreja, Raymunda",94-023 POAILANI CIRCLE,Waipahu,,542-C,8086712291.0,TYPE I  ADULT RESIDENTIAL CARE HOME,RAYMUNDA NEBREJA,4.0,AMBULATORY,6/24/21,HI
Negrillo Arch & Earch Llc,4719 OPUKEA STREET,Lihue,,1485-C,8082411340.0,TYPE I  ADULT RESIDENTIAL CARE HOME,SHIRLEY NEGRILLO,5.0,AMBULATORY,6/24/21,HI
Nenita'S,5193 LIKINI STREET,Honolulu,,1157-C,8088336762.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,NENITA ANDRADA-JOSE,5.0,AMBULATORY,6/24/21,HI
Nita'S,98-029 LII-IPO STREET,Aiea,,638-C,8084882088.0,TYPE I  ADULT RESIDENTIAL CARE HOME,ANITA DOMINGO,5.0,AMBULATORY,6/24/21,HI
Nita'S Quality Home Care Services,1533 ALA IOLANI PLACE,Honolulu,,330-C,8088360489.0,TYPE I  ADULT RESIDENTIAL CARE HOME,CIONITA SALVADOR,4.0,FULLY AMBULATORY,6/24/21,HI
Noemi'S Arch,94-919 KUMUAO STREET,Waipahu,,1192-C,8086777875.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,NOEMI LAGUIT,5.0,AMBULATORY,6/24/21,HI
Nonales',1035 KUKILA STREET,Honolulu,,1181-C,8084211106.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,LILIA NONALES,4.0,AMBULATORY,6/24/21,HI
"Obrero, Esperanza",1609 MALIU STREET,Honolulu,,708-C,8088412142.0,TYPE I  ADULT RESIDENTIAL CARE HOME,ESPERANZA OBRERO,5.0,AMBULATORY,6/24/21,HI
Ohana,2011 KAUMUALII STREET,Honolulu,,1212-C,8088423003.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,CARMEN DONA,5.0,AMBULATORY,6/24/21,HI
"Ohana Hale, L.L.C.",94-1063 HALELEHUA STREET,Waipahu,,1364-C,8086779718.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,JERRY FELICITAS,5.0,AMBULATORY,6/24/21,HI
Ohanalani L.L.C.,5339 OIO DRIVE,Honolulu,,1470-C,8083775456.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,NORA SORIANO-TRIAS,5.0,AMBULATORY,6/24/21,HI
"Oililua Elder Care, Inc., #Iii",711 ONEAWA STREET,Kailua,,1489-C,8082637778.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,NORMA TENORIO,5.0,AMBULATORY,6/24/21,HI
Oililua Eldercare Inc.,429 ULUPAINA STREET UNIT B1,Kailua,,1556-C,8082637778.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,GERONIMO TENORIO,5.0,AMBULATORY,6/24/21,HI
"Oililua Eldercare, Inc #I",94-379 OILILUA PLACE,Waipahu,,1294-C,8086770882.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,GERONIMO TENORIO,5.0,AMBULATORY,6/24/21,HI
"Oililua Senior Care, Inc., #Ii",711 ONEAWA STREET,Kailua,,1370-C,8082637778.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,NORMA TENORIO,5.0,AMBULATORY,6/24/21,HI
Okano Care Home,16-1397 35TH AVENUE,Keaau,,1525-C,8089827828.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,STACEY OKANO,5.0,AMBULATORY,6/24/21,HI
"Olalani Senior Care, Llc",45-217 WILLIAM HENRY ROAD,Kaneohe,,1567-C,8082358388.0,TYPE II EXPANDED ADULT RESIDENTIAL CARE HOME,MYRIAM TABANIAG,8.0,AMBULATORY,6/24/21,HI
"Olipares, Celestina",45-693 KENEKE STREET,Kaneohe,,729-C,8082356993.0,TYPE I  ADULT RESIDENTIAL CARE HOME,CELESTINA OLIPARES,4.0,AMBULATORY,6/24/21,HI
"Olivas, Rosalinda",3410 ALIAMANU STREET,Honolulu,,1169-C,8084231002.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,ROSALINDA OLIVAS,5.0,AMBULATORY,6/24/21,HI
Olivia Lewin'S Earch,92-1336 PUEONANI STREET,Kapolei,,1625-C,,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,OLIVIA LEWIN,,,6/24/21,HI
"Padre, Norma",94-607 MAHOE STREET,Waipahu,,745-C,8086777174.0,TYPE I  ADULT RESIDENTIAL CARE HOME,NORMA PADRE,5.0,FULLY AMBULATORY,6/24/21,HI
"Padron, Martina",67-361 FARRINGTON HIGHWAY,Waialua,,415-C,8086379918.0,TYPE I  ADULT RESIDENTIAL CARE HOME,MARTINA PADRON,4.0,AMBULATORY,6/24/21,HI
"Paguirigan, Marietta B.",4007 KEAKA DRIVE,Honolulu,,1311-C,8084210171.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,MARIETTA PAGUIRIGAN,5.0,AMBULATORY,6/24/21,HI
Palolo Chinese Home Lani Booth,2459 10TH AVENUE,Honolulu,,1563-C,8087351754.0,TYPE II EXPANDED ADULT RESIDENTIAL CARE HOME,DARLENE NAKAYAMA,17.0,AMBULATORY,6/24/21,HI
Palolo Korean Care Home,2565 WAIOMAO ROAD,Honolulu,,1622-C,8082846259.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,SAM FUJII,5.0,AMBULATORY,6/24/21,HI
Paradise Arch,86-112 HOAHA STREET,Waianae,,1340-C,8086962430.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,MARLYN ACURAM,5.0,AMBULATORY,6/24/21,HI
Paranada #2,16 HOOLAULEA STREET,Hilo,,1245-C,8089597394.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,LEANDRO PARANADA,5.0,AMBULATORY,6/24/21,HI
"Parubrub, Tina",94-1108 HINA STREET,Waipahu,,824-C,8086713637.0,TYPE I  ADULT RESIDENTIAL CARE HOME,TINA PARUBRUB,4.0,AMBULATORY,6/24/21,HI
"Pascual, Esther",1802 WAHINE PLACE,Honolulu,,791-C,8088420227.0,TYPE I  ADULT RESIDENTIAL CARE HOME,ESTHER PASCUAL,4.0,AMBULATORY,6/24/21,HI
"Pascual, Marissa G.",45-220 NAMOKU STREET,Kaneohe,,1183-C,8082357515.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,MARISSA G. PASCUAL,5.0,AMBULATORY,6/24/21,HI
"Pascual, Soledad",91-711 FORT WEAVER ROAD,Ewa Beach,,770-C,8086898569.0,TYPE I  ADULT RESIDENTIAL CARE HOME,SOLEDAD PASCUAL,4.0,FULLY AMBULATORY,6/24/21,HI
Pascual'S,1521 ALA IOLANI PLACE,Honolulu,,342-C,8088342970.0,TYPE I  ADULT RESIDENTIAL CARE HOME,TRINA PASCUAL,5.0,FULLY AMBULATORY,6/24/21,HI
Pat'S Arch,91-1029 HANAKAHI STREET,Ewa Beach,,1363-C,8086896800.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,PATRICIA NUNEZ,5.0,FULLY AMBULATORY,6/24/21,HI
Pearl'S Paradise,1304 ANAPA STREET,Honolulu,,1580-C,8084239507.0,TYPE I  ADULT RESIDENTIAL CARE HOME,PERLITA TABIL,5.0,AMBULATORY,6/24/21,HI
Pohai Nani - 'Ahui Nani,45-090 NAMOKU STREET,Kaneohe,,1241-C,8082476211.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,JUDITH MATTHEWS,5.0,AMBULATORY,6/24/21,HI
Pohai Nani - 'Ahui 'Olu,45-090 NAMOKU STREET,Kaneohe,,1242-C,8082476211.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,JUDITH MATTHEWS,5.0,AMBULATORY,6/24/21,HI
Pohai Nani 'Ahui Laule'A,45-090 NAMOKU STREET,Kaneohe,,1325-C,8082476211.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,JUDITH MATTHEWS,5.0,AMBULATORY,6/24/21,HI
Pohai Nani 'Ahui Malie,45-090 NAMOKU STREET,Kaneohe,,1324-C,8082476211.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,JUDITH MATTHEWS,5.0,AMBULATORY,6/24/21,HI
Poncethia R. Rambo'S,1621 NOHOANA PLACE,Hilo,,1476-C,8089598639.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,PONCETHIA RAMBO,5.0,AMBULATORY,6/24/21,HI
Precious Moment Adult Residential Care Home,4229 KEAKA DRIVE,Honolulu,,1246-C,8084236358.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,EVANGELINE ANDRES,5.0,AMBULATORY,6/24/21,HI
"Prieto, Gloria",3504 LIKINI STREET,Honolulu,,742-C,8084222264.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,GLORIA PRIETO,5.0,AMBULATORY,6/24/21,HI
Prime Health Services Care Home,99-1041 HALAWA HEIGHTS ROAD,Aiea,,1508-C,8084285844.0,TYPE I  ADULT RESIDENTIAL CARE HOME,RAFAEL ANTONIO,5.0,AMBULATORY,6/24/21,HI
Prime Health Services Care Home Ii,107B KILEA PLACE,Wahiawa,,1559-C,8084285844.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,RAFAEL ANTONIO,5.0,AMBULATORY,6/24/21,HI
Pualei Care Home,7246 ANAKUA STREET,Honolulu,,1550-C,8083589323.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,RUBY JOSE,5.0,AMBULATORY,6/24/21,HI
"Quiocho, Lolita",4103 LIKINI STREET,Honolulu,,810-C,8084226128.0,TYPE I  ADULT RESIDENTIAL CARE HOME,LOLITA QUIOCHO,4.0,FULLY AMBULATORY,6/24/21,HI
"Quitevis, Elena",1614 MALUAWAI STREET,Pearl City,,750-C,8084557346.0,TYPE I  ADULT RESIDENTIAL CARE HOME,ELENA QUITEVIS,5.0,AMBULATORY,6/24/21,HI
R & A Care Home,123 UAKANIKOO PLACE,Wahiawa,,1607-C,8088888925.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,AMALIA GARCIA-LINDENMUTH,5.0,AMB,6/24/21,HI
R & B Arch/E-Arch Llc,94-912 KUMUAO STREET,Waipahu,,1429-C,8082348241.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,REMEDIOS AGUINALDO,5.0,AMBULATORY,6/24/21,HI
"R & M Duran, L.L.C.",94-628 LOA'A STREET,Waipahu,,1315-C,8086780150.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,MARENILA DURAN,5.0,AMBULATORY,6/24/21,HI
R.K.C. Arch,91-938 HANAKAHI STREET,Ewa Beach,,1269-C,8083477532.0,TYPE I  ADULT RESIDENTIAL CARE HOME,JOSEPHINE FITZGERALD,3.0,AMBULATORY,6/24/21,HI
Rabaino'S,328 HIE STREET,Kapaa,,1250-C,8088229753.0,TYPE I  ADULT RESIDENTIAL CARE HOME,LALAINE RABAINO,5.0,AMBULATORY,6/24/21,HI
Rafael Care Home,98-1713 LAAUHUAHUA WAY,Pearl City,,1385-C,8084559282.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,MARLENE RAFAEL,5.0,AMBULATORY,6/24/21,HI
"Rafael, Evelyn",94-105 HAAA STREET,Waipahu,,1082-C,8086719717.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,EVELYN RAFAEL,5.0,AMBULATORY,6/24/21,HI
Raguindin Malama Kauhale Arch,94-088 AWAMOKU STREET,Waipahu,,1025-C,8086777464.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,BELMA RAGUINDIN,5.0,AMBULATORY,6/24/21,HI
Rainbow Adult Residential Care Home/Expanded Arch,95-195 AUMEA LOOP,Mililani,,1510-C,8086252425.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,DEBBIE BORGONIA,5.0,AMBULATORY,6/24/21,HI
Ramelb Adult Residential Care Home,16-1508 35TH AVENUE,Keaau,,1504-C,8089669553.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,EVELYN RAMELB,4.0,AMBULATORY,6/24/21,HI
Ramos Care Center Llc,1365 KUAHAKA STREET,Pearl City,,1621-C,8087726090.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,KATHLEEN RAMOS,3.0,FULLY AMBULATORY,6/24/21,HI
"Ramos, Arsenia",4028 SALT LAKE BOULEVARD,Honolulu,,711-C,8084224886.0,TYPE I  ADULT RESIDENTIAL CARE HOME,ARSENIA RAMOS,1.0,FULLY AMBULATORY,6/24/21,HI
"Ramos, Consolacion",1742 ALA AOLANI PLACE,Honolulu,,618-C,8088339812.0,TYPE I  ADULT RESIDENTIAL CARE HOME,CONSOLACION RAMOS,3.0,FULLY AMBULATORY,6/24/21,HI
Raqueno Care Home,3454 LIKINI STREET,Honolulu,,1603-C,8084224324.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,MELKARTH RAQUENO,5.0,FULLY AMBULATORY,6/24/21,HI
Raza Adult Residential Care Home-Expanded Care,61 KEHAULANI STREET,Hilo,,1501-C,8089593166.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,RUTH RAZA,5.0,AMBULATORY,6/24/21,HI
"Respicio, Maria",328 WAINOHIA PLACE,Hilo,,687-C,8089597246.0,TYPE I  ADULT RESIDENTIAL CARE HOME,MARIA RESPICIO,5.0,AMBULATORY,6/24/21,HI
Reyes Care Home,94-931-A LUMIHOAHU STREET,Waipahu,,532-C,8086710606.0,TYPE I  ADULT RESIDENTIAL CARE HOME,CORAZON REYES,5.0,AMBULATORY,6/24/21,HI
