Facility Name,License Number,Capacity,Licensee,Phone Number,Email Address,Address,City,Zip Code
Hope - Yuguutuk,360325,4,"Hope Community Resources, Inc.",842-2117,scole@hope alaska.org,2301 Sockeye Circle,Dillingham,99576
Hope - Yukla,100210,3,"Hope Community Resources, Inc.",561-5335,sheldon-jackson@hopealaska.org,4221 Yukla Circle,Anchorage,99504
"Hope Haven Assisted Living, LLC",100744,15,"Hope Haven Assisted Living, LLC",374-9785,gladysegger@yahoo.com,1511 21st Avenue,Fairbanks,99701
Horizon Assisted Living of Fairbanks I,101028,8,"Horizon Assisted Living of Fairbanks, LLC",978-2316,horizon_alf@yahoo.com,821 17th Avenue,Fairbanks,99701
Horizon Assisted Living of Fairbanks II,101288,2,"Horizon Assisted Living of Fairbanks, LLC",978-2316,horizon_alf@yahoo.com,819 17th Avenue Apt. 112,Fairbanks,99701
Horizon House Assisted Living Fairbanks III,101385,1,"Horizon Assisted Living Fairbanks, LLC",,brian.kilpatrick@HALFairbanks.com,1902 Rickert Street Apt. #24,Fairbanks,99701
House of Gold ALH,101048,5,Jose Pentecostes,868-3775,jaygazmen@yahoo.com,4840 Leah Court,Anchorage,99508
House of Shalom E. 52nd,101206,5,"House of Shalom Assisted Living, LLC",351-4994,emegpd2004m@yahoo.com,2745 Meadow Wood Circle,Anchorage,99516
iCare Assisted Living Home,101302,5,Bernadith Lloren-Paris,,bml_021177@yahoo.com,5535 Chilkoot Ct.,Anchorage,99504
Ikayuqti,101399,10,Native Village of Unalakleet (NVU),624-3622,assisted.living@unkira.org,270 Main Street,Unalakleet,99684
Iluminada's Assisted Living Home,100681,5,Iluminada Ibay,868-2738,lumen1@yahoo.com,7619 Winchester Street,Anchorage,99507
Iluminada's Assisted Living Home II,100831,5,Iluminada Ibay,223-8840,lumen1@yahoo.com,2326 E 72nd Avenue,Anchorage,99507
Immaculate Concepcion Home,5,5,"Immaculate Concepcion Homes, LLC",522-5671,florence925@gmail.com,7110 Miranda Drive,Anchorage,99507
Immaculate Concepcion Home II,202,5,"Immaculate Concepcion Homes, LLC",522-5671,florence925@gmail.com,8720 Barney Circle,Anchorage,99507
Immaculated Concepcion,100549,5,Jeanephere Lorenzana,903-7446,jeanephere@acsalaska.net,1836 Laura Circle,Anchorage,99508
In His Image LLC,101277,4,In His Image LLC,907-222-3832,joyserafin1972@gmail.com,2956 Sheldon JacksonStreet,Anchorage,99508
"Independence Lodge, LLC",101294,2,"Independence Lodge, LLC",351-5931,Independencelodge@outlook.com,6941 Stanley Drive,Anchorage,99518
Independence Park Assisted Living,101009,3,Daniel & Elisha Martinez,350-2295,dan.martinez@live.com,9618 Newhaven Loop,Anchorage,99507
Jacobs Place,101230,1,Vasillios Blanas,345-8654,akplayer2@yahoo.com,2117 Dolly Varden Avenue,Anchorage,99516
Jade Assisted Living Home,100905,5,Eloisa Aguilar,952-2697,jayd1012@yahoo.com,9280 Aphrodite Drive,Anchorage,99515
Jamiezon ALH II,100949,3,Maria Corazon Garcia,868-5296,bubugarcia@alaska.net,3601 Scenic View Drive,Anchorage,99504
Jamiezon Assisted Living Home,100486,5,Maria Corazon Garcia,868-5296,bubugarcia@alaska.net,2280 Lake George Drive,Anchorage,99504
Jay Bird Assisted Living Home,100716,1,"Connecting Ties, Inc.",835-3274,r.james@cties.org,"330 Jago Street, Apartment A",Valdez,99686
Jeffry's Hope,100030,5,"Hope Community Resources, Inc.",561-5335,ocean@hopealaska.org,331 W. 121st Avenue,Anchorage,99515
Jeng Sallah ALH,101248,5,Samba Jeng,903-7873,samba.jeng123@gmail.com,3201 Doris Street,Anchorage,99517
"Jewel Lake Assisted Living Home, LLC",101014,10,"Jewel Lake Assisted Living Home, LLC",243-9570,jewellakealh@yahoo.com,4132 West 88th Avenue,Anchorage,99502
JMR Manor,100863,5,Jun Mark Robinson (not Rosie Robinson/ John Robinson,230-8486,junmark33@gmail.com,2121 E. 73rd Avenue Unit B,Anchorage,99507
Jones ALH,101337,2,Zachery Jones,541-405-0193,zachjonesafh@gmail.com,32 Craig Avenue,Fairbanks,99709
Joshua House LLC,101158,10,Linda & Maurice Hendrickson,357-5413,Joshuahouse.alh@gmail.com,2180 S. Foothills Blvd,Wasilla,99654
Kachemak Group Home,100862,4,"Southern Home Care Services, Inc. dba All Ways Caring HomeCare",262-9400,marcella.livesay@rescare.com,4631 Kachemak Drive,Homer,99603
Kamalani ALH,100727,5,Zayda Pentecostes,868-3924,switzayda@yahoo.com,310 Bunnell Street,Anchorage,99508
Kamalani II ALH,100951,5,Zayda Pentecostes,952-0427,switzayda@yahoo.com,1601 Brink Drive,Anchorage,99504
Karibu Home,101428,2,Ronardo (Ron) Coleman,559-974-0576,ugottaunderstand@yahoo.com,1617 Crescent Drive,Anchorage,99508
Kearney Home,100487,2,Darlene Kearney,376-1695,dardar@mtaonline.net,23591 Ayershire Avenue,Wasilla,99654
Keen Eye Care Assisted Living,100577,5,Cristina Johnson,262-6468,uniqueca68@yahoo.com,382 S. Kobuk Street,Soldotna,99669
Keiki Home II,100255,5,"Keiki Home, LLC",929-1463,ROY.PENTECOSTES@GMAIL.COM,6802 Zurich Street,Anchorage,99507
Kesanooksisk Assisted Living Home,100204,1,Maria Kesanooksisk,,kesanook@gmail.com,108 Osprey Street,Sitka,99835
Ketchikan Kottage,100636,2,Kathy Fitzgerald,247-7048,mnkfitz@kpunet.net or mnkfitz@live.com,3810 Chatham Avenue,Ketchikan,99901
Kham Assisted Living Home,101255,2,Chimee Tsangwa & Urgen Rungdo,885-8580,dechensoha@gmail.com,3200 W. 29th Avenue,Anchorage,99517
Kindly Assisted Living Home,101334,5,Denise & Julius Carino,,denisepanadero@hotmail.com,5420 Avila Court,Anchorage,99508
Kiwi Assisted Living Home,100351,5,Roy Francisco,227-5573 (Roy cell),roufranc@yahoo.com,1800 Northwestern Avenue,Anchorage,99508
Kiwi Assisted Living Home III,100923,5,Roy Francisco,227-5573 (Roy cell),roufranc@yahoo.com,2948 Princeton Way,Anchorage,99508
Kodiak Assisted Living and Group Home,101281,4,"Strong Solutions, LLP",654-5546,strong99615@gmail.com,421 Curlew Way,Kodiak,99615
Lake Street House,361792,5,Maniilaq Association,442-2224,bree.swanson@maniilaq.org,818 Lake Street,Kotzebue,99752
Lakeview Home,235,11,"Lake View Homes ALH, LLC",338-2712,lakeviewalh@gmail.com,2675 Wesleyan Drive,Anchorage,99508
Lakeview Home II,175,5,"Lake View Homes ALH, LLC",333-8921,lakeviewalh@gmail.com,2327 East 72nd Avenue,Anchorage,99507
Lakeview Home III,100495,5,"Lake View Homes ALH, LLC",333-8921,lakeviewalh@gmail.com,3838 Scenic View Drive,Anchorage,99504
Let Us Care Assisted Living Home,100476,4,Marion J. Griffin,452-5624,mg482000@yahoo.com,3405 Sandvik Street,Fairbanks,99709
Lhasa Assisted Living,101204,3,Sherab Tenzin,907-830-9154,tenzin@gci.net,4156 Checkmate Drive,Anchorage,99508
Life to the Fullest,101139,2,Matthew and Bonnie Jeselnik,,lifetothefullestllc@yahoo.com,1233 5th Avenue,Fairbanks,99701
"Lighthouse Home Care 1, LLC.",101322,5,"Lighthouse Home Care 1, LLC.",522-2509,sandritaah@yahoo.com,1154 Oceanview Drive,Anchorage,99515
"Lily Ann's Home Care, Inc.",101013,5,"Lily Ann's Home Care, Inc.",646-0702,lilyanns@live.com,935 Norman Street,Anchorage,99504
"Lily Pond ALH, LLC",101312,2,Janice and Carlo Saliganan,,saligananjanice@yahoo.com,1501 Lily Pond Circle,Anchorage,99507
Linda's Place,100993,5,Linda's Assisted Living LLC,301-3833,frommerleslie@yahoo.com,900 Allison Circle,Anchorage,99515
"Little Genie Assisted Living Home, LLC",101201,5,"Little Genie Assisted Living Home, LLC",512-6426,pandesal61@gmail.com,2229 Sunrise Drive,Anchorage,99508
LiveABLE SOULutions,101253,2,Audra Yewchin,929-2253,audranabinger@gmail.com,1504 W. 47th Avenue Unit B,Anchorage,99503
Living Legacies,101409,2,Claudia Wright,,claudiamwright83@gmail.com,144 Craig Ave APT A,Fairbanks,99701
Living Stone Home Care,100516,30,"Living Stone Home Care, LLC",230-2402,livingstonehomecare@gmail.com/Vines907@gmail.com,3901 West 86th Avenue,Anchorage,99502
"Lynne's Home Care, LLC",100399,5,Erlinda Rivera,334-3392,lynnes143@yahoo.com,7330 Winchester Street,Anchorage,99507
M&M Assisted Living,361793,3,Mercy Sonza,274-0903,sonzamercy@yahoo.com,7522 Grey Wolf Circle,Anchorage,99507
M.G.D. ALH,101101,4,Merlina Duggan,227-9689,paulo_tomeldan@yahoo.com,243 Klevin Street,Anchorage,99508
MacGregor House,101307,5,Tina Sampley,841-1514,hopkinstina1@gmail.com,3471 Wren Street,Wasilla,99623
"Magnolia Manor, LLC",101107,5,Magnolia Manor LLC(Cheryl & Theodore Sayen),631-3354,magnoliamanor12@outlook.com/vfield76@gmail.com/,751 N. Someret Circle,Wasilla,99654
Maile ALH,100808,5,Cresencia Santos,808-861-7471,cresencia61@yahoo.com,2634 Carroll Place Unit C,Anchorage,99508
Maletch's ALH,100888,5,Maletch's Assisted Living Home LLC,350-5422,maletch_alh@yahoo.com,8038 Sandy Circle,Anchorage,99507
Maletch's ALH II,101097,5,Maletch's Assisted Living Home LLC,,maletch_alh@yahoo.com,4143 Scenic View Drive,Anchorage,99504
"Malupo’s Haven ALH, LLC",101135,5,"Malupo's Haven Assisted Living Home, LLC",907-222-0389,maluposhavenalh@gmail.com,7221 Kiska Circle,Anchorage,99504
Mama's Assisted Living Home,244,5,"Mama's Assisted Living Home, Inc.",301-0111,mamashome@gci.net,9270 Aphrodite Drive,Anchorage,99515
Mama's Care,101223,5,Lamin Jammeh and Mama Sidibeh,782-8702,stjammeh@gmail.com,7924 Parkway Drive,Anchorage,99504
Marie Langley Assisted Living Home,100849,2,Marie Langley Assisted Living Home LLC,360-0196,marielangley907@gmail.com,2840 E. 84th Ave. Unit B,Anchorage,99507
Marie Langley Assisted Living Home #2,100996,5,Marie Langley Assisted Living Home LLC,360-0196,marielangley907@gmail.com,2201 W. 48th Avenue,Anchorage,99517
Marlow Manor Assisted Living Facility,101103,54,"Sourdough's Housing, LLC",338-8708,theresa@marlowmanor.com,2030 Muldoon Road,Anchorage,99504
Mary Joanne Home Care,100940,2,Mary J. Corpus,248-1038,joebendec41993@yahoo.com,3432 W. 80th Avenue,Anchorage,99502
Mary McGrew ALH,361454,3,Johnny & Mary McGrew,276-6751,kayria01@gmail.com,725 Winter Haven Street,Anchorage,99504
May ALH,101003,5,Rebecca Bonaparte,744-1850,rebecca_bonaparte@yahoo.com,2481 Chandalar Drive,Anchorage,99504
M-Care,101404,5,Marilou Pugeda,,malougelindon22@gmail.com,1023 East 28th Avenue,Anchorage,99508
McKenzie Assisted Living Home I,100249,8,Shannon McKenzie,336-0080,mckenziesuites@yahoo.com,"3913 Lynn Drive, Apt A & B",Anchorage,99508
McKenzie's ALH II,100683,4,Shannon McKenzie,336-0080,mckenziesuites@yahoo.com,"3913 Lynn Drive, Apt C & D",Anchorage,99508
McKinely Care LLC,101430,37,McKinley Care LLC,268-6576,jack@mckinley.care,337 East 4th Ave Unit B,Anchorage,99501
Meaningful Living,101146,4,Travis & Whitney Christiansen,854-6277,meaningful.livingAK@gmail.com,10845 Anvik Circle,Eagle River,99577
Melanie's Place Unit A,101378,3,AK Nurtured Living LLC,903-1930,aknurturedliving@gmail.com,1631 W. Melanie Ave Unit A,Wasilla,99654
Melanie's Place Unit B,101379,3,"AK Nurtured Livng, LLC",903-1930,aknurturedliving@gmail.com,1631 W. Melanie Ave Unit B,Wasilla,99654
Melinda's Home Care,101286,2,Melinda McGrew,907-240-3266,lyndapromise@yahoo.com,8116 Sandy Circle,Anchorage,99507
Melissa's ALH,101059,5,Melissa Lingad,929-7827,melissalingad@gmail.com,7691 Winchester Street,Anchorage,99507
Mercy Saw Me Assisted Living Home,101183,2,Lydia Quinn & Benita Sanguinetti,229-2857,mercysawme@gci.net,1432 Medfra Street,Anchorage,99501
Midnight Sun ALH,101244,1,"AK Goalkeeping, LLC.",,brandyaburke@gmail.com,5531 East 40th Avenue,Anchorage,99504
Mind and Soul,101320,2,Eloise and Elford Joseph,,eloisejoseph@aol.com,6124 E. 12th Avenue #D2,Anchorage,99504
Miracle Home Care,101178,5,John and Milagros Ragland,357-0078,Miracle.homecare@yahoo.com,2200 E. Wolverine Circle,Wasilla,99654
Montana Creek Assisted Living Home,100437,3,Tina and Dan McCluskey,733-5037,dtmccl@me.com,19205 E. Future Road,Talkeetna,99676
Moore Hands of Care,101093,3,Linda Moore,357-4922,moore1@mtaonline.net,6695 W. Wellington Drive,Wasilla,99623
Mount Carmel Assisted Living Home,101410,5,HRG Healthcare LLC,677-0286,hrghealthcarellc@gmail.com,6531 E. 9th Avenue,Anchorage,99504
Mount Moriah Assisted Living Home,101318,5,"AMG Healthcare, LLC",929-0614,amghealthcarellc@gmail.com,3951 Scenic View Drive,Anchorage,99504
Mount Vista Assisted Living Home,101345,1,Robert Carpenter and LaVonna Currey,978-9556,CarpenterRL@ak.net,572 Mount Vista Drive,Fairbanks,99712
Mount Zion Assisted Living Home,101273,5,HRG Healthcare LLC,917-582-5952,hrghealthcarellc@gmail.com,6720 East 11th Avenue,Anchorage,99504
Mountain View Assisted Living,276,30,City of Petersburg,772-2445,sbell@petersburgak.gov,16 N. 12th Street,Petersburg,99833
Mountain Vista ALH,100803,5,AOF Alaska LLC,622-2687,scott@aofalaska.com,19412 First Street,Eagle River,99577
MSSCA - Big Mack (Formerly Soaring Crane),100614,3,Mat Su Services for Children and Adults,352-1200,scott.kubacki@mssca.org,2401 S. Mack Drive,Wasilla,99654
MSSCA - Citation (Formerly Park Place),100962,2,Mat-Su Services for Children & Adults,352-1200,scott.kubacki@mssca.org,1819 North Citation Circle,Palmer,99645
MSSCA - Fallen Leaf,100506,2,Mat Su Services for Children and Adults,352-1200,scott.kubacki@mssca.org,255 W. Fallen Leaf Circle,Wasilla,99654
MSSCA - Kertulla Court,100766,2,Mat Su Services for Children and Adults,352-1200,scott.kubacki@mssca.org,3955 Kertulla Court #1,Wasilla,99654
MSSCA - Lone Cub,100344,2,Mat Su Services for Children and Adults,352-1200,scott.kubacki@mssca.org,850 E. Lone Cub Drive,Wasilla,99654
MSSCA - Pine Ridge (Formerly Kertulla Court #2),100878,2,Mat Su Services for Children and Adults,352-1200,scott.kubacki@mssca.org,791 N. Pine Ridge Loop,Wasilla,99654
MSSCA - Siberian Pea (Formerly Country Wood),100715,2,Mat Su Services for Children and Adults,352-1200,scott.kubacki@mssca.org,2650 S. Siberian Pea,Wasilla,99654
MSSCA - Tundra Rose,100386,2,Mat Su Services for Children and Adults,352-1200,scott.kubacki@mssca.org,2515 Tundra Rose Drive,Wasilla,99654
MSSCA - Vicki Way,100664,3,Mat Su Services for Children and Adults,352-1200,scott.kubacki@mssca.org,1000 Vicki Way,Wasilla,99654
"My Father's House Assisted Living Home, LLC",100525,5,Maria Davison,334-3391,doddie@gci.net,6951 Shane Place,Anchorage,99507
My Home ALH,101329,5,My Home LLC,,rebecca.clerc@gmail.com,6865 Viburnum Drive,Anchorage,99504
NAATH Assisted Living Home,101240,4,James Puol & Nyasunday Machar,885-9461,puoljames616@yahoo.com,1102  & 1104 W 29th Place,Anchorage,99503
Nadon Family Home,100947,5,"Nadon Family Home, LLC.",350-8702,raynadon@gmail.com,6955 Caravelle Drive,Anchorage,99502
Nadon Family Home II,101242,2,"Nadon Family Home, LLC.",350-8702,raynadon@gmail.com,2211 West 48th Avenue,Anchorage,99517
Nadon Family Home III,101278,2,"Nadon Family Home, LLC.",350-4545,raynadon@gmail.com,2903 Kingfisher Drive,Anchorage,99508
Nadon Family Home IV,101323,2,"Nadon Family Home, LLC.",350-8702,raynadon@gmail.com,40465 S. Parks Hwy House #1,Susitna North,99623
Nadon Family Home V,101349,5,Nadon Family Home LLC,290-0756,kjnadon@gmail.com,1506 Luke Street Unit B,Fairbanks,99709
Nadon Family Home VI,101359,2,"Nadon Family Home, LLC.",350-8702,raynadon@gmail.com,40465 S. Parks Hwy House #2,Susitna North,99623
Nadon Family Home VII,101388,3,"Nadon Family Home, LLC.",,raynadon@gmail.com,4130 Tweed Court Unit #2,Wasilla,99623
Nana's House Assisted Living Home,101185,5,Nana's House LLC,360-2126/ 341-9969,nanawyche@yahoo.com,8440 Blackberry Street,Anchorage,99502
Nana's House Assisted Living Home II,101377,5,"Nana's House, LLC",907-360-2126,nanawyche@yahoo.com,7349 Branche Drive,Anchorage,99518
Nettie's Assisted Living Home,101163,2,Jeanette Hickok,272-6612,iamworthit_2000@yahoo.com,1566 Valarian Street,Anchorage,99508
New Concept I,361283,16,New Concept Assisted Living LLC,,newconcept@acsalaska.net,354 Flower Street,Anchorage,99508
New Haven Assisted Living Home,100390,5,"New Haven Home, Inc.",350-4080,jcnewhaven@gci.net,9230 Aphrodite Drive,Anchorage,99515
New Horizons,100480,3,"Above the Horizon, LLC",232-8993,bowlesnbowles@live.com,3300 Amber Bay Loop,Anchorage,99515
Nicholson's Assisted Living Inc,116,10,Nicholson's Assisted Living Inc,283-6684,tmnicholson@gci.net,36601 Navigator Street,Kenai,99611
Nonomi House,100449,3,Lisa Newell,373-5644,lmnewell2009@hotmail.com,7945 Settlers Bay Drive,Wasilla,99687
Norbu Linka,100884,4,Tsewang Tsangwa & Karma Yonten,522-2157,karma@gci.net,3304 Checkmate Drive,Anchorage,99508
Nordic Living - Kachemak Way,101373,5,Nordic Living LLC,907-841-6140,britta.nordicliving@gmail.com,4201 Kachemak Way,Homer,99603
Northbridge Castle Heights,101030,8,"Northbridge, LLC",770-0495,renae@northbridgellc.com,4119 Checkmate Drive,Anchorage,99508
Northbridge Lynnwood,101083,2,"Northbridge, LLC",770-0495,renae@northbridgellc.com,344 Lynnwood Drive Unit B,Anchorage,99518
Northbridge Lynwood 2,101090,2,"Northbridge, LLC",770-0495,renae@northbridgellc.com,344 Lynnwood Drive Unit A,Anchorage,99518
Northbridge Nanuq,101133,3,"Northbridge, LLC",770-0495,renae@northbridgellc.com,1414 Ermine Street,Anchorage,99504
Northbridge Tikishla,101123,3,"Northbridge, LLC",770-0495,renae@northbridgellc.com,3721 E. 19th Avenue,Anchorage,99508
Northern Comfort,241,16,5-D Corporation,746-6493,northerncomfort@akassistedliving.com,2800 N. Lagoon Drive,Wasilla,99654
Northern Lights ALH,226,4,Aleks & Jelena Prost,277-0378,alexprost@hotmail.com,1640 Vashon Circle,Anchorage,99515
"Northern Living Centers, LLC",100409,12,Karen and Darrell Rhoades,376-5828,nlc@mtaonline.net,2795 W. Stonebridge Drive,Wasilla,99654
"Oasis Assisted Living Home, LLC",101265,13,"Oasis Assisted Living Home, LLC",222-1205/ 865-7968,oasisalh@gmail.com,1701 Cleveland Avenue,Anchorage,99517
O'Bie's Adobe Magnificent View,101099,5,Charles E. O'Bryan Jr.,376-6240,akobryan@me.com,8290 E. Magnificent View Dr.,Palmer,99645
O'Bies Adobe Meander Home,101371,4,Charles E. O'Bryan Jr.,,akobryan@me.com,3201 S. Meander Dr. Unit 2,Wasilla,99654
"Ohana Assisted Living Home, LLC",101426,2,"Ohana Assisted Living Home, LLC",317-5608,ohanaALH@outlook.com,7411 Tyone Ct.,Anchorage,99504
Olsen's ALH,354304,2,Mary Ann & Wayne Olsen,225-2001,maolsen@kpunet.net,4604 N. Tongass Hwy,Ketchikan,99901
Olympus House,262,5,Yolanda Campos,770-2730,olympushouse@gmail.com,1621 Demeter Drive,Anchorage,99515
Open Arms Assisted Living West,101391,5,Open Arms Assisted Living West LLC,250-9378,openarmsakwest@gmail.com,3660 W. 78th Ave,Anchorage,99502
"Open Arms Assisted Living, LLC",101271,2,"Open Arms Assisted Living, LLC",365-9504,openarmsak@gmail.com,3844 Helvetia Drive,Anchorage,99508
"Opus Memoria II, LLC",101166,5,"Opus Memoria, LLC",677-1919,hickel@opusmemoria.com,4880 Chuck Drive,Anchorage,99507
"Opus Memoria, LLC",101165,5,"Opus Memoria, LLC",677-1919,hickel@opusmemoria.com,4890 Chuck Drive,Anchorage,99507
Orchard Assisted Living,101114,5,Jessica Fulton,770-0511,fulton.jessica@yahoo.com,1001 Cherry Street Unit A,Anchorage,99504
Otter House,100983,3,Ramona 'Lynne' Stevens,222-6553,southernbellak@yahoo.com,1503 Otter Street,Anchorage,99504
Our Home,100528,5,Marichelle Pagtakhan,349-2417 (Not in service),richelle1660@gmail.com,1660 Thuja Avenue,Anchorage,99507
Our Lady of Fatima LLC,100559,5,Gina Nidoy,529-7495,olof_assistedlivinghome@yahoo.com,4030 Defiance Street,Anchorage,99504
Our Lady of Lourdes LLC,11,5,"Our Lady of Lourdes, LLC",333-4692,leocrv69@yahoo.com,1931 Greendale Drive,Anchorage,99504
Padre Pio Assisted Living Home,101197,5,Bryan Bolo,350-2375,bluntbryan2000@yahoo.com,8423 Dunlap Court,Anchorage,99504
Palos Verdes House,101251,4,"Focus, Inc.",907-694-6002,dpoage@focusoutreach.org,17311 Palos Verdes Drive,Eagle River,99577
Parker Too ALH,101259,2,Frances Reid,301-3355,franwilliams1011@yahoo.com,8140 E. 6th Avenue,Anchorage,99504
Parson Home,101072,5,James and Barbara Parson,250-5769,parson78@hotmail.com,9801 Spring Hill Drive,Anchorage,99507
"Pathways, LLC.",101143,5,"Pathways, LLC.",435-3938,pathwaysllc@outlook.com; bsherbondy@msn.com,45864 Inlet Breeze,Kenai,99611
"Patricia Jane's, LLC.",101232,5,"Patricia Jane's, LLC.",903-5224,PatriciaJanesllc@gmail.com,8501 Gordon Circle,Anchorage,99507
Peace & Harmony ALH,100909,4,Jacqueline D. Ramos,230-0502,somar@ak.net,107 Matthew Paul Way,Anchorage,99504
Peace and Harmony ALH #2,200000,5,"Raymond Ramos, Jacqueline Ramos, Raymond Michael Ramos, Raymond Marcus Ramos and Dayna Wilson",310-6434,somar@ak.net,840 Jay Circle,Anchorage,99504
Perpetual Help Care Center,101029,4,"Perpetual Care of AK , LLC",677-1901,perpetualcare.ak@gci.net,2531 Trisha Avenue,Anchorage,99516
Pine Creek,361510,16,Personalized Assisted Living Inc.,646-0797,erinterry91@yahoo.com,341 N. Bunn Street,Anchorage,99508
Pioneers' Home-Anchorage,67,169,State of Alaska,276-3414,richard.saville@alaska.gov,923 W. 11th Avenue,Anchorage,99501
Pioneers' Home-Fairbanks,52,91,State of Alaska,456-4372,angie.howard@alaska.gov,2221 Eagan Avenue,Fairbanks,99701
Pioneers' Home-Juneau,66,49,State of Alaska,780-6422 (ext 213),gina.delrosario@alaska.gov,4675 Glacier Highway,Juneau,99801
Pioneers' Home-Ketchikan,60,45,State of Alaska,225-4111,sue.mickelson@alaska.gov,141 Bryant Street,Ketchikan,99901
Pioneers' Home-Sitka,64,65,State of Alaska,747-3213,dayna.arnold@alaska.gov,120 Katlian Street,Sitka,99835
"Precious Care Assisted Living Facility, LLC",101012,7,"Precious Care Assisted Living Facility, LLC",227-5421,preciouscare@gci.net,3773 Scenic View Drive,Anchorage,99504
Primrose Retirement Community of Wasilla,101272,56,"Primrose Senior Holdings, LLC",373-5500,tnorman@primroseretirement.com,889 N. Elkhorn Drive,Wasilla,99654
Providence Forest View Assisted Living Care Center,100899,10,Providence Health Systems,212-4700,Karen.Lefler@providenc.org,3831 Piper Street  Ste. S333,Anchorage,99508
Providence Horizon House,3,65,Providence Health Systems,261-4140,theresa.gleason@providence.org,4140 Folker Street,Anchorage,99508
Providence Horizon House-Cottages,229,25,Providence Health Systems,261-4140,theresa.gleason@providence.org,4140 Folker Street,Anchorage,99508
Quality and Quantity Care Services,100368,4,"Quality and Quantity Care Services, LLC",229-2056,Ousmanfattyhydara@yahoo.com,848 Elaine Drive,Anchorage,99504
Queen Victoria,100254,2,Jessica Brunsting,441-2105,houghtonhill@hotmail.com,20176 Constitution Drive,Eagle River,99577
Rabe Assisted Living Home,100788,5,"Rabe Assisted Living Home, LLC",727-4723,balgenorth5@aol.com,4941 Alpha Circle,Anchorage,99516
RAD Home,101418,5,"Residential Adults with Disabilities, LLC.",745-1171,cblakney@outlook.com,5411 N Bonnie Dr,Palmer,99645
Ramona's Home,100241,4,Ramona and Jim Godsby,357-6906,monag@gci.net,6921 West Werner Drive,Wasilla,99687
Randel Home Care I,100471,5,Theresa and Rodrigo Malijan,743-0818,randelhomecare@yahoo.com,9290 Aphrodite Drive,Anchorage,99515
Randel Home Care II,100701,5,Theresa and Rodrigo Malijan,743-0818,randelhomecare@yahoo.com,7637 Winchester Street,Anchorage,99507
Randel Home Care III,100702,5,Theresa and Rodrigo Malijan,743-0818,randelhomecare@yahoo.com,7655 Winchester Street,Anchorage,99507
Raven,101227,4,Genacta In-Home Care,631-3078,jeanne.owen@genacta.com,5545 S Irwin Drive #4,Wasilla,99654
Raven's View,100699,3,Ella Savage,373-2581,sibonz@hotmail.com,1051 Rainbow Park Drive,Wasilla,99654
REACH - Glacier Woods,100298,5,REACH Inc.,796-7235,rdriscoll@reachak.org,3514 Mendenhall Loop Road,Juneau,99801
REACH - Mark Alan Home,358367,5,REACH Inc.,796-7235,rdriscoll@reachak.org,1814 Mark Alan Street,Juneau,99801
REACH - Mendenhall Woods,101089,4,REACH Inc.,796-7235,rdriscoll@reachak.org,3510 Mendenhall Loop Road,Juneau,99801
REACH - Steelhead,101297,5,"Reach, Inc",586-8228,rdriscoll@reachak.org,4934 Steelhead Street,Juneau,99801
Reflection Home Care,101343,2,Florence Lalia Achwil,,pdlhf@yahoo.com,4423 E. 6th Ave.,Anchorage,99508
Reflective Assisted Living Home,100815,5,Susan Taylor,332-2203,susant@gci.net,9113 Jewel Terrace Street,Anchorage,99502
"Riverquest Group Home, Inc.",101365,20,"Riverquest Group Home, Inc.",262-9600,dpeterson@riversideassistedliving.com,399 Lovers Lane,Soldotna,99669
Riverside Assisted Living Soldotna,101025,60,Riverside Assisted Living Soldotna Inc,262-9600,dpederson@riversideassistedliving.com,390 Lovers Lane,Soldotna,99669
RJP Home Care Services,100574,5,Harry & Rebecca Petrie,646-1131,reedpetrie@hotmail.com,973 Shakespeare Circle,Anchorage,99503
"Robert, Diana ALH",100306,3,Diana Robert & George Benzel,344-7729/227-4871,dianalioness@yahoo.com,6610 Round Tree Drive,Anchorage,99507
Robin's Nest ALH,100933,3,Dan & Robin Mingo,715-7284,rcazer@mtaonline.net,7750 W. Golden Drive,Wasilla,99623
Rocking Years One,54,5,Nicole Masson,451-4530,rockingyears@hotmail.com,1913 Jack Street,Fairbanks,99709
Rocking Years Two,100576,10,Nicole Masson,388-4605,rockingyears@hotmail.com,3291 Jefferson Drive,Fairbanks,99709
Rose's Care ALH,101200,5,Rose's Care ALH Inc.,,rdmissig@gci.net,7500 Wade Circle,Anchorage,99518
Rosewood Assisted Living,101236,16,Hallelujah ALH LLC,258-1141,sk@anchor-house.biz; jeremiahpasi@gmail.com,3722 Parsons Avenue,Anchorage,99508
Ruth Mingo Manor,100575,4,Dan and Robin Mingo,376-0389,rcazer@mtaonline.net,602 North Moriah Circle,Wasilla,99654
Safe Haven Assisted Living Home,101411,2,Joshua and Stephen Satterfield,338-0373,satterfieldjoshua@hotmail.com,3431 Evergreen Street,Anchorage,99504
Saint James Assisted Living,101420,5,"LOTY, LLC",317-8512,beh469@yahoo.com,2200 Roosevelt Drive,Anchorage,99517
Saint Pio Assisted Living Home 2,101360,2,Saint Pio Assisted Living Home LLC,952-1079,saintpioalh@gmail.com,2730 Brittany Drive,Anchorage,99504
Saint Pio Assisted Living Home LLC,101171,5,Robin Porte,952-1079,robinpentecostes@gmail.com,7924 Resurrection Drive,Anchorage,99504
