Facility Name,Address,County,City,Zip Code,Phone Number,Facility ID,Licensee,License Number,Capacity,Type,Classification
The Terrace at The Eddy Memorial,2256 Burdett Avenue,Rensselaer,Troy,12180,(518) 274-9890,AF0605A,"The James A. Eddy Memorial Geriatric Center, Inc.",600-S-001,69,EHP,NFP
St. Mark's Terrace EHP #1,110 Chapel Street,Yates,Penn Yan,14527,(315) 536-2440,AF0557A,St. Mark's Housing,910-S-005,27,EHP,NFP
Willow Gardens,60 Willow Drive,Westchester,New Rochelle,10805,(914) 336-2338,AF0737A,"Willow Gardens, Inc.",800-E-136,51,AH,NFP
Brookdale Kenmore,2971 Delaware Avenue,Erie,Kenmore,14217,(716) 874-3200,AF0893A,"WW Kenmore Operator, Inc.",240-S-113,120,EHP,PPHA
Promenade at Tuxedo Place,40 Hospital Road,Orange,Tuxedo,10987,(845) 735-6846,AF0683A,Promenade Tuxedo LLC,540-F-030,89,AH/ALP,PPHA
Harbor View Home for Adults,3900 Shore Parkway,Kings,Brooklyn,11235,(718) 769-9700,AF0261B,"Harbor View Senior Living Residence, LLC",331-F-282,162,AH,PPHA
Amber Court of Westbury,3400 Brush Hollow Road,Nassau,Westbury,11590,(516) 334-3838,AF0366C,"Amber Court of Westbury, LLC",400-F-325,225,AH/ALP,PPHA
Elderwood Village at Williamsville,5271 Main Street,Erie,Williamsville,14221,(716) 565-9663,AF0500B,"5271 Main Street Operating Company, LLC",240-S-115,110,EHP,PPHA
Jeffersonville Senior Living,4806 Route 52,Sullivan,Jeffersonville,12748,(845) 482-4375,AF0281B,"JJJ Yabut, LLC",710-F-060,49,AH,PPHA
Five Star Premier Residences of Yonkers,537 Riverdale Avenue,Westchester,Yonkers,10705,(914) 423-7200,AF0273C,D&R Yonkers LLC,800-S-143,84,EHP,PPHA
"Camphill Ghent, Inc.",2542 Route 66,Columbia,Chatham,12037,(518) 392-2760,AF0693A,"Camphill Ghent, Inc.",200-E-007,31,AH/ALP,NFP
The Glen at Maple Pointe,260 Maple Avenue,Nassau,Rockville Center,11570,(516) 764-4848,AF0607C,"Maple Pointe Senior Care, LLC",400-F-320,60,AH/ALP,PPHA
VillageCare at 46 and Ten,510 West 46th Street,New York,New York,10036,(212) 977-4600,AF0423A,Village Housing Development Fund Corporation,420-S-379,89,EHP/ALP,NFP
The Waterford on the Bay,2900 Bragg Street,Kings,Brooklyn,11235,(718) 891-8400,AF0351B,"The Palm Home for Adults, LLC",331-F-272,200,AH/ALP,PPHA
RPH East,20 Crossing Creek Drive,Monroe,Fairport,14450,(585) 223-0160,AF0739A,"Rochester Presbyterian Home, Inc.",370-E-204,64,AH,NFP
Tennyson Court,49 Tennyson Court,Erie,Williamsville,14221,(716) 632-9496,AF0565B,"Tennyson Court, LLC",240-F-874,93,AH,PPHA
The Willows,459 East Oak Orchard Street,Orleans,Medina,14103,(585) 798-5233,AF0580B,"Blue Heron Enterprises,  LLC",550-F-005,24,AH,PPHA
Pleasant Gardens Home for Adults,396 Middle Road,Suffolk,Bayport,11705,(631) 472-1047,AF0363B,"Mercy Haven, Inc.",700-E-282,27,AH,NFP
Lincoln Rest Home,12 Lincoln Avenue,Westchester,Ardsley,10502,(914) 693-1146,AF0294A,"Politan, Nenita",800-F-125,23,AH,PPHA
The Manor House,427 East Main Street,Genesee,Batavia,14020,(585) 344-2345,AF0899A,"Manor House Enriched, LLC",290-S-003,60,EHP,PPHA
Home of the Good Shepherd Wilton,60 Waller Road,Saratoga,Wilton,12831,(518) 580-0702,AF0659A,"The Church Aid of the Protestant Episcopal Church in the Town of Saratoga Springs, Inc.",640-E-038,54,AH,NFP
Lutheran Home Cottages,114 Utica Road,Oneida,Clinton,13323,(315) 801-5261,AF0904A,"The Lutheran Home of Central New York, Inc.",510-E-009,14,AH,NFP
Maple Rest,61 Rollstone Avenue,Suffolk,West Sayville,11796,(631) 589-4840,AF0303A,Simon Halpert Sarah Halpert,700-F-146,27,AH,PPHA
Village Green A Carlisle Assisted Living Community,90 Schoolhouse Road,Nassau,Levittown,11756,(516) 271-2500,AF0914A,"D & F Levittown, A.L., LLC",400-F-341,77,AH,PPHA
St. Joseph's Assisted Living,125 Sisters Servants Lane P.O. Box 8,Rockland,Sloatsburg,10974,(845) 753-2555,AF0402A,"St. Joseph's Adult Care Home, Inc.",620-E-016,31,AH/ALP,NFP
Kalet's Adult Home,504 Delaware Street,Onondaga,Syracuse,13204,(315) 479-7514,AF0166B,"Kalet, Diane",520-F-161,45,AH,PPHA
Foltsbrook Center for Senior Living,104 North Washington Street,Herkimer,Herkimer,13350,(315) 866-6964,AF0042C,"ClaxtonManor, LLC (as Receiver)",320-E-008,80,AH,NFP
McHarrie Pointe,7740 Meigs Road,Onondaga,Baldwinsville,13027,(315) 638-2521,AF0674A,Syracuse Home Association,520-E-093,47,AH,NFP
The Bristal at North Hills,99 South Service Road,Nassau,North Hills,11040,(516) 233-3100,AF0644A,"Engel Burman Senior Housing at North Hills, Inc.",400-S-309,140,EHP,PPHA
Terrace at Beverwyck,41 Beverwyck Lane,Albany,Slingerlands,12159,(518) 459-4062,AF0122A,"Beverwyck, Inc.",000-S-005,48,EHP,NFP
Brookdale Niagara Memory Care,6751 Nash Road,Niagara,North Tonawanda,14120,(716) 731-1461,AF0442A,"Niagara Sterling Cottage Operator, Inc.",500-F-095,40,AH,PPHA
The Cambridge,4 West Main Street,Washington,Cambridge,12816,(518) 677-3460,AF0736A,"ICC Management & Consulting, Inc.",760-F-018,40,AH,PPHA
South Bay Adult Home,"33 Cottontail Run, Box 601",Suffolk,Center Moriches,11934,(631) 878-0758,AF0396B,South Bay Adult Home and ALP LLC,700-F-937,39,AH/ALP,PPHA
Sachem Adult Home,1298 Coates Avenue,Suffolk,Holbrook,11741,(631) 588-4554,AF0378B,Sachem Adult Home and ALP LLC,700-F-935,46,AH/ALP,PPHA
Oyster Bay Manor,150 South Street,Nassau,Oyster Bay,11771,(516) 624-0600,AF0650A,"Oyster Bay Manor, Inc.",400-F-313,72,AH,PPHA
"Hyde Park Assisted Living Facility, Inc.",394 Violet Avenue,Dutchess,Poughkeepsie,12601,(845) 204-9572,AF0744A,"Hyde Park Assisted Living Facility, Inc.",230-F-282,78,AH/ALP,PPHA
Grande'ville Senior Living Community,555 Maiden Lane,Monroe,Rochester,14616,(585) 621-6160,AF0504B,"Grande'ville Senior Living Community, LLC",370-F-230,115,AH,PPHA
Metro Interfaith EHP,110 Chenango Place,Broome,Binghamton,13901,(607) 724-3774,AF0082A,Metro Interfaith Housing Management Corporation,030-S-041,37,EHP,NFP
Woodhaven Home for Adults,1350 Route 112,Suffolk,Port Jefferson Sta.,11776,(631) 473-3304,AF0440B,"Woodhaven A.H., LLC",700-F-905,181,AH/ALP,PPHA
Brookdale Ithaca Memory Care,101 Bundy Road,Tompkins,Ithaca,14850,(607) 256-5094,AF0145A,"Ithaca Sterling Cottage Operator, Inc.",730-F-001,36,AH,PPHA
Brightview Sayville,455 Broadway Avenue,Suffolk,Sayville,11782,(631) 546-0302,AF0910A,"BV Sayville Operator, LLC",700-F-947,92,AH,PPHA
East Road Adult Home,7731 East Road,Lewis,Lowville,13367,(315) 376-7072,AF0038B,Homes for Humanity Holdings I LLC,340-F-019,20,AH,PPHA
The Fountains at RiverVue,1 Rivervue Place,Westchester,Tuckahoe,10707,(914) 768-6000,AF0419A,"The Fountains Operating Company (NY), Inc.",800-F-981,141,AH,PPHA
Sunrise of Crestwood,65 Crisfield Street,Westchester,Yonkers,10710,(914) 395-3500,AF0865A,"GWC-Crestwood, Inc.",800-F-994,116,AH,PPHA
Harbor Terrace Adult Home and Assisted Living,110 Henderson Avenue,Richmond,Staten Island,10301,(718) 727-8100,AF0195B,Baywood LLC,610-F-064,363,AH/ALP,PPHA
Frederic Fleming Residence,443-445 West 22nd Street,New York,New York,10011,(212) 242-5277,AF0249A,West Side Federation For Senior Housing,420-E-374,47,AH,NFP
Sarah Jane Sanford Home,69 Guy Park Avenue,Montgomery,Amsterdam,12010,(518) 842-3670,AF0111A,The Home for Elderly Women of Montgomery County,380-E-011,40,AH,NFP
Elderwood Assisted Living at Waverly,44 Ball Street,Tioga,Waverly,14892,(607) 565-6216,AF0188C,"44 Ball Street Operating Company, LLC",720-S-004,40,EHP/ALP,PPHA
Elderwood Assisted Living at Cheektowaga,229 Bennett Road,Erie,Cheektowaga,14227,(716) 681-8631,AF0531C,"229 Bennett Road Operating Company, LLC",240-F-886,80,AH/ALP,PPHA
The Springvale Inn,62 Springvale Rd.,Westchester,Croton-on-Hudson,10520,(914) 739-4404,AF0611A,"Living Independently for the Elderly, Inc.",800-S-129,125,EHP,NFP
"Surfside Manor Home for Adults, LLC",95-02 Rockaway Beach Boulevard,Queens,Rockaway Beach,11693,(718) 945-5500,AF0410B,"Surfside Manor Home for Adults, LLC",590-F-314,200,AH/ALP,PPHA
Champlain Valley Senior Community,10 Gilliland Lane,Essex,Willsboro,12996,(518) 817-9108,AF0707A,"Stonebrook Properties, LLC",260-F-018,81,AH,PPHA
"Seaview Manor, LLC",210 Beach 47th Street,Queens,Far Rockaway,11691,(718) 471-1311,AF0386B,"Seaview Manor, LLC",590-F-313,118,AH/ALP,PPHA
Hidden Gem Home for Adults,11 Wittridge Street,Suffolk,Lake Ronkonkoma,11779,(631) 588-4755,AF0438B,"Golden Homes Operating, Inc.",700-F-085,18,AH,PPHA
Rochester Presbyterian Home,256 Thurston Road,Monroe,Rochester,14619,(585) 235-9100,AF0547A,"Rochester Presbyterian Home, Inc.",370-E-022,102,AH,NFP
"Moffat Gardens ALP, Inc",22 Moffat Street,Kings,Brooklyn,11207,(718) 366-3800,AF0680A,"Ridgewood Bushwick Senior Citizens Council, Inc",331-S-009,30,EHP/ALP,NFP
Southern Tier Meadows,4883 West Main Road,Chautauqua,Fredonia,14063,(716) 679-4883,AF0520B,"Southern Tier Environments for Living, Inc.",060-E-038,24,AH,NFP
The Knolls,55 Grasslands Road,Westchester,Valhalla,10595,(914) 989-7878,AF0602B,The Bethel Methodist Home,800-S-155,12,EHP,NFP
Valehaven Home for Adults,"2989 North Main Street, Box 683",Clinton,Peru,12972,(518) 643-2740,AF0006A,James E. Kane Sr. James E. Kane Jr.,090-F-003,40,AH/ALP,PPHA
The Nottingham Memory Care Residence,1307 Nottingham Road,Onondaga,Jamesville,13078,(315) 413-3945,AF0924A,"Loretto Adult Community, Inc.",520-E-097,24,AH,NFP
Morningside at Home Assisted Living Program,1000 Pelham Parkway South,Bronx,Bronx,10461,(718) 409-8266,AF0713B,"Morningside Acquisition III, LLC",020-F-821,40,AH/ALP,PPHA
The Terrace at Woodland,8299 Turin Road,Oneida,Rome,13440,(315) 336-0307,AF0668A,"Forest Hill Associates, Inc.",510-F-059,60,AH/ALP,PPHA
Amber Court of Brooklyn,650 East 104th Street,Kings,Brooklyn,11236,(718) 649-0700,AF0425B,"Amber Court of Brooklyn, LLC",331-F-284,224,AH/ALP,PPHA
The New Falls,117 Schuyler Street,Schuyler,Montour Falls,14865,(607) 535-7165,AF0566B,The New Falls Home. LLC,670-F-006,111,AH/ALP,PPHA
Garden House,2720 North Forest Road,Erie,Getzville,14068,(716) 639-3311,AF0879A,"Menorah Campus Adult Home, Inc.",240-S-121,48,EHP,NFP
New Windsor Country Inn,450 Temple Hill Road P.O. Box 4328,Orange,New Windsor,12553,(845) 565-8110,AF0333A,William R. Lockwood  William A. Lockwood Scott W. Lockwood Paul M. Lockwood,540-F-026,86,AH,PPHA
Adirondack Manor HFA D.B.A Scotia Mansion,39 Wallace Street,Schenectady,Scotia,12302,(518) 346-6458,AF0002A,James E. Kane Sr. James E. Kane Jr.,650-F-078,49,AH/ALP,PPHA
Alma Rangel Gardens NY Foundation EHP#7,55 West 137th Street,New York,New York,10037,(917) 507-1108,AF0594A,"New York Foundation for Senior Citizens, Inc.",420-S-381,42,EHP,NFP
Crossroads,120 Gifford Street,Onondaga,Syracuse,13202,(315) 701-3894,AF0154A,"Rescue Mission Alliance of Syracuse New York, Inc.",520-E-088,59,AH,NFP
"Tanglewood Manor, Inc.",560 Fairmount Avenue,Chautauqua,Jamestown,14701,(716) 483-2876,AF0564B,"Tanglewood Manor, Inc.",060-F-036,158,AH/ALP,PPHA
Ghent Assisted Living,30 Whittier Way,Columbia,Ghent,12075,(518) 828-0900,AF0050C,GALR Operating LLC,200-F-022,80,AH/ALP,PPHA
Atria Greece,150 Towngate Road,Monroe,Rochester,14626,(585) 225-3010,AF0551B,"ATR New York LH, Inc.",370-F-210,79,AH,PPHA
Family Srvs/Rochester EHP2 Jonathan Child Project,399 Colvin Avenue,Monroe,Rochester,14611,(585) 436-9462,AF0495A,"Family Service of Rochester, Inc.",370-S-132,30,EHP/ALP,NFP
Seabury Woods,110 Dalaker Drive,Monroe,Rochester,14624,(585) 426-4950,AF0593A,"CH Services, Inc.",370-S-841,85,EHP,NFP
St. Francis Commons,12 Burkle Street,Oswego,Oswego,13126,(315) 326-0870,AF0710A,"St. Francis Commons, Inc.",560-E-009,60,AH/ALP,NFP
Gurwin Jewish Fay J. Lindner Residence,50 Hauppauge Road,Suffolk,Commack,11725,(631) 715-8500,AF0260A,"Gurwin Jewish - Fay J. Lindner Residences, Inc.",700-S-289,200,EHP,NFP
The New Jewish Home University Avenue Assisted Living,2553 University Avenue,Bronx,Bronx,10468,(347) 418-4270,AF0714A,"Jewish Home Lifecare, University Avenue Assisted Living",020-S-003,72,EHP/ALP,NFP
Danforth Adult Care Center,19 Danforth Street,Rensselaer,Hoosick Falls,12090,(518) 686-5167,AF0035B,Danforth Assisted Living Program LLC,600-F-254,80,AH/ALP,PPHA
Countryside Adult Home,353 Schroon River Road,Warren,Warrensburg,12885,(518) 623-3451,AF0131A,Warren County D.S.S,750-N-006,48,AH,PUBL
Gurwin Jewish Fay J. Lindner Residence,50 Hauppauge Road,Suffolk,Commack,11725,(631) 715-6500,AF0259A,"Gurwin Jewish - Fay J. Lindner Residences, Inc.",700-E-288,65,AH,NFP
Pineview Commons H.F.A.,201 South Melcher Street,Fulton,Johnstown,12095,(518) 762-5488,AF0093B,"Pineview Commons, LLC",280-F-034,94,AH/ALP,PPHA
Robynwood Assisted Living,43 Walnut Street,Otsego,Oneonta,13820,(607) 432-6387,AF0100C,Robynwood ALP LLC,570-F-053,49,AH/ALP,PPHA
"Manor Haven Adult Home, Inc.",222 Columbia Street,Suffolk,Huntington Station,11746,(631) 549-0226,AF0300B,"Manor Haven Adult Home, Inc.",700-F-896,32,AH,PPHA
"New Homestead Home for Adults, Inc.",82-45 Grenfell Street,Queens,Kew Gardens,11415,(718) 441-2000,AF0329B,"New Homestead Home for Adults, Inc.",590-F-311,163,AH,PPHA
Chester Hill Adult Home,187 Cottage Avenue,Westchester,Mount Vernon,10550,(914) 699-4294,AF0236B,187 Cottage Avenue Corporation,800-F-986,21,AH,PPHA
Garden House For Adults,91 Walnut Street,Broome,Binghamton,13905,(607) 724-5763,AF0044A,"Bawas, Imelda",030-F-038,24,AH,PPHA
Hampshire House Adult Home,1846 County Highway 48,Otsego,Oneonta,13820,(607) 432-6171,AF0053B,Hampshire House Operating Corporation,570-F-048,65,AH,PPHA
Mermaid Manor Home for Adults,3602 Mermaid Avenue,Kings,Brooklyn,11224,(718) 266-2100,AF0311B,"Mermaid Manor Home for Adults, LLC",331-F-276,200,AH/ALP,PPHA
Kenwood Manor,141 Rockefeller Road,Albany,Delmar,12054,(518) 439-8899,AF0048A,"Kenwood Manor, Inc.",000-E-282,67,AH,NFP
Inspire of McClelland,126 Old Castle Point Road,Dutchess,Wappinger Falls,12590,(845) 831-1909,AF0307C,"Inspire of McClelland, LLC",230-F-284,75,AH,PPHA
Legacy at Maiden Park,749 Maiden Lane,Monroe,Rochester,14615,(585) 546-7275,AF0746B,"Rochester Operating Company, LLC",370-F-254,98,AH,PPHA
Tappan Zee Manor,51 Mountainview Avenue,Rockland,Nyack,10960,(845) 353-6100,AF0413B,"TZ Manor, LLC",620-F-087,150,AH,PPHA
Seneca Lake Terrace Assisted Living Center,3670 Pre-emption Road County Rd. #6,Ontario,Geneva,14456,(315) 789-4162,AF0550B,"Seneca Lake Terrace Operating, LLC",530-F-059,66,AH,PPHA
Atria Bay Shore,53 Ocean Ave.,Suffolk,Bay Shore,11706,(631) 206-1200,AF0359C,"ATR New York LH, Inc.",700-S-305,116,EHP,PPHA
Sunrise at Sheepshead Bay,2211 Emmons Avenue,Kings,Brooklyn,11235,(718) 616-1850,AF0831A,"GWC-Sheepshead Bay, Inc.",331-S-012,189,EHP,PPHA
Valley Vista Adult Home and Assisted Living Program,141 North Road,Ulster,Highland,12528,(845) 691-7400,AF0429B,"New York Senior Care in the Valley, LLC",740-F-076,89,AH/ALP,PPHA
Faatz-Crofut Home for the Elderly,46 Grant Avenue,Cayuga,Auburn,13021,(315) 253-6141,AF0160A,Faatz-Crofut Home for the Elderly,050-E-006,53,AH,NFP
Plattduetsche Home Society,1150 Hempstead Turnpike,Nassau,Franklin Square,11010,(516) 352-4252,AF0362A,"Plattduetsche Altenheim Gesellschaft Von Brooklyn Und Umgegend, Inc.",400-E-028,91,AH,NFP
Brookhaven Care Center,111 Beaverdam Road,Suffolk,Brookhaven,11719,(631) 286-2500,AF0325B,Brookhaven Care Center LLC,700-F-290,182,AH/ALP,PPHA
Atria Glen Cove,146 Glen Street,Nassau,Glen Cove,11542,(516) 671-7008,AF0689B,"ATR New York LH, Inc.",400-S-324,128,EHP,PPHA
The Bristal at Mount Sinai,400 Sutton Court,Suffolk,Mount Sinai,11766,(631) 250-8989,AF0912A,"EB Care at Mount Sinai, LLC",700-S-315,157,EHP,NFP
St. Francis Park,5229 South Park Avenue,Erie,Hamburg,14075,(716) 649-1205,AF0911A,"St. Francis Geriatric and Healthcare Services, Inc.",240-S-129,36,EHP,NFP
Park Inn Home,115-02 Ocean Promenade,Queens,Rockaway Park,11694,(718) 634-3400,AF0352A,"Konig, Samuel",590-F-104,181,AH,PPHA
Sunrise of Fleetwood,500 North Columbus Avenue,Westchester,Mount Vernon,10552,(914) 667-5660,AF0815A,"SZR New York LH, Inc.",800-F-995,136,AH,PPHA
Canterbury Woods,725 Renaissance Drive,Erie,Williamsville,14221,(716) 929-5150,AF0462A,"Episcopal Church Home & Affiliates Life Care Community, Inc.",240-S-106,32,EHP,NFP
The Bristal at Sayville,129 Lakeland Avenue,Suffolk,Sayville,11782,(631) 563-1160,AF0717A,Sayville Senior Care LLC,700-F-302,155,AH,PPHA
Crimson Ridge Gardens,1 Treeline Drive,Monroe,Rochester,14612,(585) 720-9310,AF0467B,"Peregrine Properties of Upstate, LLC",370-F-226,52,AH,PPHA
The Ambassador at Scarsdale,9 Saxon Woods Road,Westchester,White Plains,10605,(646) 528-0099,AF0721A,"KARP Scarsdale, LLC",800-S-153,138,EHP,PPHA
The New Village View SP LLC,1 Grove Street,Ulster,Highland,12528,(845) 691-8399,AF0266C,The New Village View SP LLC,740-F-084,80,AH/ALP,PPHA
Amber Court of Westbury,3400 Brush Hollow Road,Nassau,Westbury,11590,(516) 334-3838,AF0723A,"Amber Court of Westbury II, LLC",400-F-331,64,AH,PPHA
Brookdale Williamsville,6076 Main Street,Erie,Williamsville,14221,(716) 632-7123,AF0465A,"Williamsville Clare Bridge Operator, Inc.",240-F-851,52,AH,PPHA
"The Eliot at Troy, LLC",2902 Upper Tibbits Avenue,Rensselaer,Troy,12180,(518) 273-2040,AF0117C,"The Eliot at Troy, LLC",600-F-252,155,AH/ALP,PPHA
Willow Towers EHP,355 Pelham Road,Westchester,New Rochelle,10805,(914) 636-6565,AF0618A,"Willow Towers, Inc.",800-S-131,150,EHP,NFP
"Glen Arden, Inc.",214 Harriman Drive,Orange,Goshen,10924,(845) 291-7822,AF0631A,"Glen Arden, Inc.",540-S-003,28,EHP,NFP
Field of Dreams Senior Living,3260 N. 7th Street,Cattaraugus,Allegany,14706,(716) 543-4200,AF0906A,"Olean Manor, Inc.",040-F-030,140,AH/ALP,PPHA
The Inn at Menorah Park,4101 East Genesee Street,Onondaga,Syracuse,13214,(315) 446-9111,AF0838A,"Jewish Home of Central New York Senior Apartments, Inc.",520-E-095,61,AH,NFP
Brookdale Vestal West,421 Plaza Drive,Broome,Vestal,13850,(607) 771-1700,AF0697A,"Painted Post, LLC",030-F-056,65,AH,PPHA
305 West End Assisted Living,305 West End Avenue,New York,New York,10023,(212) 874-5000,AF0763A,305 West End Avenue Operating LLC,420-S-393,145,EHP,PPHA
Signature Senior Living,631 Foster Avenue,Kings,Brooklyn,11230,(718) 859-2400,AF0382B,"SMACF, Inc.",331-F-022,199,AH,PPHA
River View Gardens NY Foundation EHP #8,4-12 49th Avenue,Queens,Long Island City,11101,(718) 361-8442,AF0654A,"New York Foundation for Senior Citizens, Inc.",590-S-303,46,EHP,NFP
Green Hills Estate,1 South Route 9W,Rockland,Haverstraw,10927,(845) 429-8411,AF0257B,"Green Hills Estate, L.L.C",620-F-038,164,AH/ALP,PPHA
Heathwood Assisted Living at Penfield,100 Elderwood Court,Monroe,Penfield,14526,(585) 425-9663,AF0676B,"Heathwood Assisted Living at Penfield, Inc.",370-S-852,151,EHP/ALP,PPHA
St. Columban's on the Lake,"2546 Lake Road, Route 5",Chautauqua,Silver Creek,14136,(716) 934-4515,AF0555A,"St Columban's on the Lake, Home for Well-Aged Inc.",060-E-008,57,AH,NFP
Juniper Glen Alzheimer's Special Care Center,8820 Transit Road,Erie,East Amherst,14051,(716) 568-2099,AF0758A,"Amherst Care Group, LLC",240-F-894,66,AH,PPHA
Home of the Good Shepherd Saratoga,394-402 Church Street,Saratoga,Saratoga Springs,12866,(518) 450-7360,AF0738A,"The Church Aid of the Protestant Episcopal Church in the Town of Saratoga Springs, Inc.",640-E-042,105,AH,NFP
Elderwood Village at Fairport,7 Chardonnay Drive,Monroe,Fairport,14450,(585) 425-0210,AF0541D,"7 Chardonnay Drive Operating Company, LLC",370-F-246,80,AH,PPHA
The Lodge at Ives Hill,1200 Jewell Drive,Jefferson,Watertown,13601,(315) 681-4038,AF0694A,"The Lodge at Ives Hill, Inc.",330-S-038,24,EHP,NFP
Sue's Rest,396 Canisteo Street,Steuben,Hornell,14843,(607) 324-3222,AF0560A,Suzanne Coddington  Hubert Coddington,690-F-019,14,AH,PPHA
St. Vincent de Paul Assisted Living Program,900 Interval Avenue,Bronx,Bronx,10459,(917) 645-9200,AF0699A,St. Vincent De Paul Residence,020-E-133,59,AH/ALP,NFP
Loudonville Assisted Living Residence,298 Albany Shaker Road,Albany,Loudonville,12211,(518) 463-4398,AF0074B,"Westmere Home for Adults, LLC",000-F-304,105,AH,PPHA
The Inn at Millbrook,560 Flint Road,Dutchess,Millbrook,12545,(845) 677-8550,AF0420A,"The Fountains Operating Company (NY), Inc.",230-F-066,40,AH,PPHA
Loretto Village Apts. Enriched Housing Site #5,750 East Brighton Avenue,Onondaga,Syracuse,13205,(315) 492-1329,AF0178A,"Loretto Adult Community, Inc.",520-S-120,79,EHP/ALP,NFP
Heathwood Assisted Living at Williamsville,815 Hopkins Road,Erie,Williamsville,14221,(716) 688-0111,AF0686B,"Heathwood Assisted Living at Williamsville, Inc.",240-F-881,115,AH/ALP,PPHA
Woodbrook,1250 Maple Avenue,Chemung,Elmira,14904,(607) 734-7741,AF0583A,"Woodbrook Assisted Living, Inc.",070-E-011,80,AH,NFP
Brightview Lake Tappan,31 Hunt Road,Rockland,Orangeburg,10962,(845) 867-2333,AF0768A,"BV Lake Tappan Operator, LLC",620-F-097,85,AH,PPHA
Somerset Gardens,150 Sunnyside Boulevard,Nassau,Plainview,11803,(516) 576-3330,AF0217D,"Somerset Gardens Senior Care, LLC",400-S-318,160,EHP,PPHA
Harbor House,150 South Street,Nassau,Oyster Bay,11771,(516) 624-8400,AF0808A,"Oyster Bay Senior Residence, Inc.",400-F-305,136,AH,PPHA
Sunrise of Smithtown,"30 Hauppauge, Route 111",Suffolk,Smithtown,11787,(631) 724-2299,AF0860A,"SZR New York LH, Inc.",700-F-927,104,AH,PPHA
Parkwood Heights Senior Living Community,1340 Parkwood Drive,Wayne,Macedon,14502,(315) 986-9100,AF0695A,Parkwood Heights LLC,770-S-039,49,EHP,PPHA
"The Sentinel of Amsterdam, LLC",10 Market Street,Montgomery,Amsterdam,12010,(518) 896-0010,AF0754A,"The Sentinel of Amsterdam, LLC",380-F-047,150,AH/ALP,PPHA
The Arbors at Islandia West,1515 Veterans Memorial Highway,Suffolk,Islandia,11749,(631) 582-3600,AF0278C,"Arcadia Management, Inc.",700-F-915,200,AH,PPHA
Elderwood Assisted Living at Wheatfield,2600 Niagara Falls Boulevard,Niagara,Niagara Falls,14304,(716) 731-2200,AF0691B,"2600 Niagara Falls Boulevard AL Operating Company, LLC",500-F-103,65,AH/ALP,PPHA
Garnerville Home,216 Ramapo Road Route 202,Rockland,Garnerville,10923,(845) 241-5284,AF0252B,"Garnerville HFA Operation & Management, LLC",620-F-093,39,AH,PPHA
Madison York Home for Adults,61-80 Woodhaven Boulevard,Queens,Rego Park,11374,(718) 446-4300,AF0299B,"Madison York Rego Park, LLC",590-F-321,202,AH/ALP,PPHA
Chelsea at Greenburgh,715 Dobbs Ferry Road,Westchester,Greenburgh,10607,(914) 275-0010,AF0917A,"CRP/CSH Greenburgh Operator, Inc.",800-F-004,137,AH,PPHA
Artis Senior Living of Briarcliff Manor,553 North State Road,Westchester,Briarcliff Manor,10510,(914) 800-9057,AF0915A,"Artis Senior Living Operator of Briarcliff Manor, LLC",800-F-002,64,AH,PPHA
The Landing of Poughkeepsie,251 Boardman Road,Dutchess,Poughkeepsie,12603,(845) 471-4044,AF0727B,"Landing Senior Care, LLC",230-S-005,121,EHP,PPHA
Atria Park of Lynbrook,100 Peninsula Boulevard,Nassau,Lynbrook,11563,(516) 596-2700,AF0395B,"ATR New York LH, Inc.",400-F-326,140,AH,PPHA
Loretto EHP #1 Bernardine Apartments,417 Churchill Avenue,Onondaga,Syracuse,13205,(315) 469-7786,AF0174A,"Loretto Adult Community, Inc.",520-S-054,148,EHP/ALP,NFP
Kings Adult Care Center,2255 Cropsey Avenue,Kings,Brooklyn,11214,(718) 266-5858,AF0205C,"Kings Adult Care Center, LLC",331-F-281,200,AH/ALP,PPHA
Peregrine Senior Living at Onondaga Hill,4701 Peregrine Way,Onondaga,Syracuse,13207,(315) 469-8900,AF0761A,Peregrine Senior Living Onondaga Hill LLC,520-F-171,68,AH,PPHA
The Bristal at Holtsville,5535 Expressway Drive North,Suffolk,Holtsville,11742,(631) 732-2300,AF0740A,EB Care at Farmingville LLC,700-S-309,166,EHP,PPHA
The Clark Manor House,318 Fort Hill Avenue,Ontario,Canandaigua,14424,(585) 394-0965,AF0469A,The Clark Manor House,530-E-002,17,AH,NFP
Sunrise of East Setauket,1 Sunrise Drive,Suffolk,East Setauket,11733,(631) 941-4455,AF0812B,"GWC - East Setauket, Inc.",700-F-926,109,AH,PPHA
Brookdale Niskayuna,1786 Union Street,Schenectady,Niskayuna,12309,(518) 346-6935,AF0869A,"WW Niskayuna Operator, Inc.",650-S-071,110,EHP,PPHA
The Hearth at Castle Gardens,1715 Castle Gardens Road,Broome,Vestal,13850,(607) 748-5700,AF0021A,"Hearth Management, L.L.C.",030-S-044,58,EHP,PPHA
Sage Harbor at Baywinde,100 Kidd Castle Way,Monroe,Webster,14580,(585) 670-7000,AF0549B,"SL Sage Harbor, LLC",370-F-236,88,AH,PPHA
Inspir Carnegie Hill,1802 2nd Avenue,New York,New York,10128,(646) 978-9040,AF0922A,"Inspir Carnegie Hill, LLC",420-F-381,158,AH,PPHA
Assisted Living at Jennings Hall,260 Powers Street,Kings,Brooklyn,11211,(718) 782-3390,AF0679A,St. Nicks Alliance Corp.,331-S-007,40,EHP/ALP,NFP
