Facility Name,Address,County,City,Zip Code,Phone Number,Facility ID,Licensee,License Number,Capacity,Date Accessed,State Facility Type 1 Literal,State Facility Type 2 Literal,Ownership Type,State
The Plaza At Clover Lake,838 FAIR STREET,Putnam,Carmel,10512,(845) 878-4111,AF0696A,"CLOVER LAKE MANAGEMENT, LLC",580-F-001,175,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
Green Briar Adult Home,26 OLD ROUTE 82,Dutchess,Millbrook,12545,(845) 677-9997,AF0256B,"GREEN BRIAR ADULT HOME, LLC",230-F-072,53,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
The Landing Of Brighton,1350 WESTFALL ROAD,Monroe,Rochester,14618,(585) 271-1925,AF0716B,"BRIGHTON SENIOR CARE, LLC",370-S-197,121,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,FOR PROFIT,NY
Crestview Manor Alp,150 OLD SAW MILL RIVER ROAD,Westchester,Hawthorne,10532,(914) 769-1762,AF0228A,AZZY RECKESS PAULA RECKESS,800-F-129,76,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
Pearl Garden Manor,36 LOCUST AVENUE,Suffolk,Islip,11751,(631) 859-3228,AF0356C,"HSN, INC.",700-F-911,26,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
The Club At Briarcliff Manor,25 SCARBOROUGH ROAD,Westchester,Briarcliff Manor,10510,(914) 618-5496,AF0908A,"SL BRIARCLIFF MANOR OPERATOR, INC.",800-S-157,145,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,FOR PROFIT,NY
Kendal At Ithaca,2230 NORTH TRIPHAMMER ROAD,Tompkins,Ithaca,14850,(607) 266-5300,AF0167A,"KENDAL AT ITHACA, INC.",730-E-005,36,6/29/21,ADULT CARE FACILITY,ADULT HOME,NON PROFIT,NY
Five Star Premier Residences Of Yonkers,537 RIVERDALE AVENUE,Westchester,Yonkers,10705,(914) 709-1234,AF0272C,D&R YONKERS LLC,800-F-992,40,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
The Bristal At Jericho,310 JERICHO TURNPIKE,Nassau,Jericho,11753,(516) 219-8688,AF0867A,"ENGEL BURMAN SENIOR CARE AT JERICHO, LLC",400-S-332,200,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,FOR PROFIT,NY
The Meadows,2650 NORTH FOREST ROAD,Erie,Getzville,14068,(716) 639-3311,AF0731A,"MENORAH CAMPUS ADULT HOME, INC.",240-S-123,48,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,NON PROFIT,NY
Rudolf Steiner Fellowship Foundation,241 HUNGRY HOLLOW ROAD,Rockland,Spring Valley,10977,(845) 356-8494,AF0376A,"RUDOLF STEINER FELLOWSHIP FOUNDATION, INC.",620-E-013,33,6/29/21,ADULT CARE FACILITY,ADULT HOME,NON PROFIT,NY
Meadowview At The Wartburg,2 WARTBURG PLACE,Westchester,Mount Vernon,10552,(914) 699-0800,AF0309A,"WARTBURG SENIOR HOUSING, INC.",800-S-125,105,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,NON PROFIT,NY
Rodden Home,15 WITTRIDGE STREET,Suffolk,Lake Ronkonkoma,11779,(631) 585-1906,AF0373A,MATTHEW PATKOWSKI MARGARET PATKOWSKI,700-F-109,23,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Grande'Vie Senior Living,2140 FIVE MILE LINE ROAD,Monroe,Penfield,14526,(520) 797-4000,AF0503C,"ROCHESTER OPERATING COMPANY, LLC",370-F-250,178,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Manor Hills,4192-B BOLIVAR ROAD,Allegany,Wellsville,14895,(585) 593-9800,AF0528B,MANOR HILLS INC.,010-F-017,137,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Genesee Adult Home,278 BANK STREET,Genesee,Batavia,14020,(585) 344-0584,AF0498B,GENESEE CENTER OPERATING II LLC,290-F-007,80,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Randolph Manor,40 EAST MAIN STREET,Cattaraugus,Randolph,14772,(716) 358-4041,AF0546A,"RANDOLPH MANOR HOME FOR ADULTS, LLC",040-F-026,50,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
"Mariners Residence, Inc.",2099 FOREST AVENUE,Richmond,Staten Island,10303,(718) 720-8800,AF0377B,"MARINERS RESIDENCE, INC.",610-F-066,270,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
The Terrace At The Glen At Hiland Meadows,71 LONGVIEW DRIVE,Warren,Queensbury,12804,(518) 832-7894,AF0127A,THE GLEN AT HILAND MEADOWS INC.,750-S-002,52,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,NON PROFIT,NY
The Mohawk Homestead,62 EAST MAIN STREET,Herkimer,Mohawk,13407,(315) 866-1841,AF0085A,THE MOHAWK HOMESTEAD,320-E-005,41,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,NON PROFIT,NY
Vassar-Warner Home,52 SOUTH HAMILTON STREET,Dutchess,Poughkeepsie,12601,(845) 454-3754,AF0430A,VASSAR-WARNER HOME,230-E-014,58,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,NON PROFIT,NY
Leroy Manor,8678 LAKE STREET ROAD,Genesee,Leroy,14482,(585) 768-6291,AF0512D,"LEROY MANOR, LLC",290-F-005,79,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
Elm York Home For Adults,100-30 DITMARS BOULEVARD,Queens,East Elmhurst,11369,(718) 446-7900,AF0243B,ELM YORK LLC,590-F-319,262,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
The Bristal At Massapequa,400 COUNTY LINE ROAD,Nassau,Massapequa,11758,(516) 691-0706,AF0648B,"EB CARE AT MASSAPEQUA, LLC",400-S-314,86,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,FOR PROFIT,NY
Dosberg Manor,2680 NORTH FOREST ROAD,Erie,Amherst,14068,(716) 639-3311,AF0484A,"MENORAH CAMPUS ADULT HOME, INC.",240-E-141,96,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,NON PROFIT,NY
Island Assisted Living,800-820 FRONT STREET,Nassau,Hempstead,11550,(516) 564-1100,AF0715A,NEWCO ALP INC.,400-E-295,200,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,NON PROFIT,NY
Massry Residence At Daughters Of Sarah,182 WASHINGTON AVE. EXTENSION,Albany,Albany,12203,(518) 689-0453,AF0591A,"DAUGHTERS OF SARAH HOUSING COMPANY, INC.",000-S-006,70,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,NON PROFIT,NY
Ny Found-Sr Citizens Ehp#5 Clinton Gardens,404-412 W. 54 ST.- CLINTON GARDENS,New York,New York,10019,(212) 489-9339,AF0336A,"NEW YORK FOUNDATION FOR SENIOR CITIZENS, INC.",420-S-376,47,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,NON PROFIT,NY
New Haven Manor,1526 NEW HAVEN AVENUE,Queens,Far Rockaway,11691,(718) 471-7200,AF0328B,"NEW HAVEN MANOR HOME FOR ADULTS, LLC",590-F-172,123,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Fairport Baptist Homes Adult Care Facility,4646 NINE MILE POINT ROAD,Monroe,Fairport,14450,(585) 377-0350,AF0670A,"FAIRPORT BAPTIST HOMES ADULT CARE FACILITY, INC.",370-E-202,42,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,NON PROFIT,NY
Argyle Center For Independent Living,4573 STATE ROUTE 40,Washington,Argyle,12809,(518) 638-8274,AF0094B,WASHINGTON AH OPERATIONS ASSOCIATES LLC,760-F-016,35,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
Brookdale Fayetteville,5125 HIGHBRIDGE STREET,Onondaga,Fayetteville,13066,(315) 637-2000,AF0153A,"MANLIUS CLARE BRIDGE OPERATOR, INC.",520-F-145,52,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Yorktown Assisted Living Residence,2276 CATHERINE STREET,Westchester,Cortlandt Manor,10567,(914) 737-2255,AF0600B,"YALR OPERATING, LLC",800-F-134,85,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
Ahana House,31 SIXTH STREET,Saratoga,Waterford,12188,(518) 238-0471,AF0011A,"SUPPORT MINISTRIES, INC",640-E-034,17,6/29/21,ADULT CARE FACILITY,ADULT HOME,NON PROFIT,NY
Sunnydale Home,809 STUART AVENUE,Westchester,Mamaroneck,10543,(914) 698-2824,AF0408A,PERLITA GUERZON ROBERT GUERZON,800-F-127,17,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Camillus Ridge Terrace,2453 W. GENESEE TURNPIKE,Onondaga,Camillus,13031,(315) 672-3790,AF0645A,"EASTVIEW ASSOCIATES, LLC",520-F-157,56,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
"Kingsway Manor, Llc",357 KINGS ROAD,Schenectady,Schenectady,12304,(518) 393-4304,AF0071B,"KINGSWAY MANOR, LLC",650-F-103,140,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Atria South Setauket,4089 NESCONSET HIGHWAY,Suffolk,Centereach,11720,(631) 473-8000,AF0392C,"ATR NEW YORK LH, INC.",700-F-933,200,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Woodview Court,1015 SAW MILL RIVER ROAD,Westchester,Ardsley,10502,(914) 400-1103,AF0628C,"ATR NEW YORK LH, INC.",800-F-998,40,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
The Villa At Westhampton,68 OLD COUNTRY ROAD,Suffolk,Westhampton,11977,(631) 240-8100,AF0752A,"WESTHAMPTON SENIOR LIVING, INC.",700-F-939,100,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Laurelwood At The Highlands,300 HAHNEMANN TRAIL,Monroe,Pittsford,14534,(585) 389-1630,AF0523A,HIGHLAND COMMUNITY DEVELOPMENT CORP.,370-S-835,68,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,NON PROFIT,NY
The Pavilion At Vestal,105 WEST SHEEDY ROAD,Broome,Vestal,13850,(607) 754-4105,AF0733A,"THE PAVILION AT VESTAL, LLC",030-F-058,40,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
Castle Gardens Keepsake Village,1715 CASTLE GARDENS ROAD,Broome,Vestal,13850,(607) 748-5700,AF0909A,"HEARTH MANAGEMENT, LLC",030-F-062,48,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Brookdale Hospital Medical Center Alp,558-578 ROCKAWAY PARKWAY,Kings,Brooklyn,11212,(718) 240-6225,AF0212A,BROOKDALE HOSPITAL MEDICAL CENTER,331-S-001,43,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING AND ASSISTED LIVING PROGRAM,NON PROFIT,NY
Ny Found-Sr Citizens Ehp#3,1850 SECOND AVENUE,New York,New York,10128,(212) 369-5523,AF0340A,"NEW YORK FOUNDATION FOR SENIOR CITIZENS, INC.",420-S-370,39,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,NON PROFIT,NY
North Brook Heights Home For Adults,170 MURRAY STREET EXTENSION,Cayuga,Auburn,13021,(315) 253-2755,AF0182B,"NORTH BROOK HEIGHTS HOME FOR ADULTS, INC.",050-F-022,178,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
The Belvedere,5110 19TH AVENUE,Kings,Brooklyn,11204,(718) 223-1800,AF0367B,BORO PARK SENIOR LIVING COMMUNITY LLC,331-F-288,200,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Presbyterian Residential Community,4300 MIDDLE SETTLEMENT ROAD,Oneida,New Hartford,13413,(315) 724-9300,AF0097A,"PRESBYTERIAN RESIDENTIAL COMMUNITY, INC.",510-E-065,96,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,NON PROFIT,NY
Pine Harbour,15 NEW HAMPSHIRE STREET,Clinton,Plattsburgh,12903,(518) 561-5307,AF0652A,"PINE HARBOUR, INC.",090-S-001,66,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,NON PROFIT,NY
Wolk Manor Enriched Living Center,4000 SUMMIT CIRCLE DRIVE,Monroe,Rochester,14618,(585) 442-1950,AF0561A,"JEWISH HOME OF ROCHESTER ENRICHED HOUSING, INC.",370-S-836,85,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,NON PROFIT,NY
Manlius Home For Adults,215 EAST PLEASANT STREET,Onondaga,Manlius,13104,(315) 682-6725,AF0179B,215 EAST PLEASANT STREET LLC,520-F-167,39,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
Atria Riverdale,3718-3726 HENRY HUDSON PARKWAY,Bronx,Riverdale,10463,(718) 432-2448,AF0827A,"ATR NEW YORK LH, INC.",020-S-001,195,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,FOR PROFIT,NY
Brandywine Senior Living At Huntington Terrace,70 PINELAWN ROAD,Suffolk,Melville,11747,(631) 531-0000,AF0589B,BRANDYWINE SENIOR LIVING AT HUNTINGTON TERRACE LLC,700-S-299,110,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,FOR PROFIT,NY
Brooklyn Terrace,2316 SURF AVENUE,Kings,Brooklyn,11224,(718) 996-8400,AF0409B,"BROOKLYN TERRACE, LLC",331-F-290,200,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
"Lakeside Manor Home For Adults, Inc.",797 BRIGHTON AVENUE,Richmond,Staten Island,10301,(718) 720-9600,AF0291A,"LAKESIDE MANOR HOME FOR ADULTS, INC.",610-F-037,200,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
Family Srvs/Rochester Ehp1 Danforth Towers East,140 WEST AVENUE,Monroe,Rochester,14611,(585) 436-9462,AF0494A,"FAMILY SERVICE OF ROCHESTER, INC.",370-S-051,28,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,NON PROFIT,NY
Cohocton Valley Home For Adults,64 SOUTH MAIN STREET,Steuben,Avoca,14809,(607) 566-2543,AF0475A,COHOCTON VALLEY HOME FOR ADULTS LLC,690-F-031,10,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
The Hamlet At Park Ridge,1471 LONG POND ROAD,Monroe,Rochester,14626,(585) 723-7820,AF0540A,"PARK RIDGE HOUSING, INC.",370-S-193,66,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,NON PROFIT,NY
Cook Adult Home,1 PROSPECT STREET,Saratoga,Mechanicville,12118,(518) 664-8014,AF0033A,"SALTZMAN, LEONARD",640-F-032,13,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Parkview Home For Adults,3200 BRONX BOULEVARD,Bronx,Bronx,10467,(718) 547-9300,AF0355B,"PARKVIEW HFA, INC.",020-F-131,134,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Evergreen Heights,8939 OAKLAND STREET,Cayuga,Weedsport,13166,(315) 834-6142,AF0158B,"CENTRAL NEW YORK ADULT HOMES, INC.",050-E-010,60,6/29/21,ADULT CARE FACILITY,ADULT HOME,NON PROFIT,NY
Masonic Home,2150 BLEECKER STREET,Oneida,Utica,13501,(315) 798-4800,AF0079A,TRUSTEES OF THE MASONIC HALL AND ASYLYM FUND,510-E-033,96,6/29/21,ADULT CARE FACILITY,ADULT HOME,NON PROFIT,NY
Buckley Landing Enriched Housing Site #6,7430 BUCKLEY ROAD,Onondaga,North Syracuse,13212,(315) 452-1207,AF0151A,"LORETTO ADULT COMMUNITY, INC.",520-S-121,90,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING AND ASSISTED LIVING PROGRAM,NON PROFIT,NY
Bethany Village,3005 WATKINS ROAD,Chemung,Horseheads,14845,(607) 739-8711,AF0450A,"BETHANY RETIREMENT HOME, INC.",070-E-002,144,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,NON PROFIT,NY
Greenfield Terrace,5979 BROADWAY STREET,Erie,Lancaster,14086,(716) 681-4434,AF0526A,"LUTHERAN CHURCH HOME OF BUFFALO, INC.",240-E-013,56,6/29/21,ADULT CARE FACILITY,ADULT HOME,NON PROFIT,NY
Brookdale Clinton,115 BROOKSIDE DRIVE,Oneida,Clinton,13323,(315) 859-1947,AF0013A,"CLINTON STERLING COTTAGE OPERATOR, INC.",510-F-057,40,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Crimson Ridge Meadows,3 TREELINE DRIVE,Monroe,Rochester,14612,(585) 720-9330,AF0604B,"PEREGRINE PROPERTIES OF UPSTATE, LLC",370-F-227,52,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
The Kensington,100 MAPLE AVENUE,Westchester,White Plains,10601,(914) 390-0080,AF0688A,"WHITE PLAINS KENSINGTON, LLC",800-F-988,130,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Atria West 86,333 WEST 86TH STREET,New York,New York,10024,(212) 712-0200,AF0675B,"ATR NEW YORK LH, INC.",420-S-389,189,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,FOR PROFIT,NY
"Good Shepherd- Fairview Home, Inc.",80 FAIRVIEW AVENUE,Broome,Binghamton,13904,(607) 724-2477,AF0049A,"GOOD SHEPHERD-FAIRVIEW HOME, INC.",030-E-005,67,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,NON PROFIT,NY
Marchand Manor,"121 MAIN STREET, ROUTE 10",Schoharie,Sharon Springs,13459,(518) 284-2357,AF0076B,"MARCHAND MANOR, LLC",660-F-051,36,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
The Pavilion At Robinson Terrace,ONE BUNTLINE DRIVE,Delaware,Stamford,12167,(607) 652-2960,AF0690B,"RTACF, LLC",220-F-032,60,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
The Springs At Fountainview,2000 FOUNTAINVIEW DRIVE,Rockland,Monsey,10952,(845) 426-6757,AF0764A,"FOUNTAINVIEW AT COLLEGE ROAD, INC.",620-E-021,60,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING AND ASSISTED LIVING PROGRAM,NON PROFIT,NY
Atria Shaker,345 NORTHERN BOULEVARD,Albany,Albany,12204,(518) 465-4444,AF0016B,"ATR NEW YORK LH, INC.",000-S-011,146,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,FOR PROFIT,NY
The Arbors At Islandia East,1515A VETERANS MEMORIAL HIGHWAY,Suffolk,Islandia,11749,(631) 232-3131,AF0277C,"ARCADIA MANAGEMENT, INC.",700-F-914,200,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Old Peoples Russian Orthodox Convent,100 SMITH ROAD,Rockland,Nanuet,10954,(845) 356-8250,AF0344A,RUSSIAN ORTHODOX CONVENT,620-E-010,76,6/29/21,ADULT CARE FACILITY,ADULT HOME,NON PROFIT,NY
The Women'S Christian Association,134 TEMPLE STREET,Chautauqua,Fredonia,14063,(716) 672-7961,AF0582A,THE WOMEN'S CHRISTIAN ASSOCIATION,060-E-014,42,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,NON PROFIT,NY
Clark Meadows At Ferris Hills,ONE CLARK MEADOWS,Ontario,Canandaigua,14424,(585) 393-4330,AF0470A,"FF THOMPSON SENIOR COMMUNITIES, INC.",530-S-003,54,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,FOR PROFIT,NY
Sunrise At Mill Basin,5905 STRICKLAND AVENUE,Kings,Brooklyn,11234,(718) 444-2600,AF0809A,"GWC-MILL BASIN, INC.",331-S-011,142,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,FOR PROFIT,NY
Hudson Valley Senior Residence,80 WASHINGTON AVENUE,Ulster,Kingston,12401,(845) 331-0630,AF0270B,THE LUTHERAN CARE NETWORK,740-E-008,48,6/29/21,ADULT CARE FACILITY,ADULT HOME,NON PROFIT,NY
Fredonia Place,50 HOWARD STREET,Chautauqua,Fredonia,14063,(716) 679-2250,AF0606A,"WATER/HOWARD ASSOCIATES, LLC",060-S-003,84,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,FOR PROFIT,NY
Bickford Home,56 MAIN STREET,Wayne,Macedon,14502,(315) 986-5552,AF0451B,PETER SCHUMACHER SHIRLEY A. SCHUMACHER,770-F-035,24,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Elmore Home For Adults,330 ELMORE STREET,Suffolk,Central Islip,11722,(631) 234-6506,AF0244A,JOSEVITO MIRANDA TERESITA VASQUEZ,700-F-300,22,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
"Woodside Hall, Llc",1 MAIN STREET,Otsego,Cooperstown,13326,(607) 547-0600,AF0664A,WOODSIDE HALL LLC,570-F-044,37,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
The Glen At Maple Pointe,260 MAPLE AVENUE,Nassau,Rockville Center,11570,(516) 764-4848,AF0592C,"MAPLE POINTE SENIOR CARE, LLC",400-S-316,83,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
Brentland Woods,3831 EAST HENRIETTA ROAD,Monroe,Henrietta,14467,(585) 321-1490,AF0455A,"CH SERVICES, INC.",370-S-838,60,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,NON PROFIT,NY
Long Island Living Center,431 BEACH 20TH STREET,Queens,Far Rockaway,11691,(718) 327-2700,AF0298B,"LONG ISLAND LIVING CENTER, LLC",590-F-328,306,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
Brightview Tarrytown,581 OLD WHITE PLAINS RD,Westchester,Tarrytown,10591,(914) 297-8594,AF0728A,"BV TARRYTOWN OPERATOR, LLC",800-F-131,107,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Greenfield Court,5951 BROADWAY,Erie,Lancaster,14086,(716) 684-8400,AF0507A,LUTHERAN CHURCH HOME AT GREENFIELD INC.,240-S-105,57,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,NON PROFIT,NY
St. Nicholas Home,437 OVINGTON AVENUE,Kings,Brooklyn,11209,(718) 238-8141,AF0404A,ST. NICHOLAS HOME INC.,331-E-125,75,6/29/21,ADULT CARE FACILITY,ADULT HOME,NON PROFIT,NY
Seniorfirst Assisted Living At Valley Manor,1530 EAST AVENUE,Monroe,Rochester,14610,(585) 770-1953,AF0685A,"PRESBYTERIAN RESIDENTIAL COMMUNITY, INC.",370-S-853,13,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,NON PROFIT,NY
Ingersoll Place,3359 CONSAUL ROAD,Schenectady,Schenectady,12304,(518) 370-4419,AF0663A,"INGERSOLL ADULT HOME, INC.",650-E-007,78,6/29/21,ADULT CARE FACILITY,ADULT HOME,NON PROFIT,NY
Elderwood Village At Greece,1404 LONG POND ROAD,Monroe,Rochester,14626,(585) 225-7210,AF0576D,"1404 LONG POND ROAD OPERATING COMPANY, LLC",370-F-248,72,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Elderwood Assisted Living At Tonawanda,111 ENSMINGER ROAD,Erie,Tonawanda,14150,(716) 871-1814,AF0568C,"111 ENSMINGER ROAD OPERATING COMPANY, LLC",240-F-890,120,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
Rosewood On The Sound,59 BAYVILLE AVENUE,Nassau,Bayville,11709,(516) 628-1350,AF0284B,"ROSEWOOD ON THE SOUND, LLC",400-F-333,50,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Brookdale Niagara Assisted Living,6741 NASH ROAD,Niagara,North Tonawanda,14120,(716) 731-1634,AF0872A,"SH NIAGARA OPERATOR, INC.",500-S-002,53,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,FOR PROFIT,NY
Brookdale Painted Post,120 CREEKSIDE DRIVE,Steuben,Painted Post,14870,(607) 962-5096,AF0506C,"PAINTED POST, LLC",690-F-044,110,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
The Terraces At Brookmeade,54 BROOKMEADE DRIVE,Dutchess,Rhinebeck,12572,(845) 876-5522,AF0669A,"BROOKVIEW, INC.",230-S-001,29,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,NON PROFIT,NY
"Eger Harbor House, Inc.",110 MEISNER AVENUE,Richmond,Staten Island,10306,(718) 554-8700,AF0625A,"EGER HARBOR HOUSE, INC.",610-S-001,75,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING AND ASSISTED LIVING PROGRAM,NON PROFIT,NY
Atria Park Of Great Neck,51 GREAT NECK ROAD,Nassau,Great Neck,11021,(516) 829-4100,AF0391B,"ATR NEW YORK LH, INC.",400-S-326,162,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,FOR PROFIT,NY
Sanford Home,140-40 SANFORD AVENUE,Queens,Flushing,11355,(718) 353-1400,AF0379B,"SANFORD HOME FOR ADULTS, LLC",590-F-142,200,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Artis Senior Living Of Commack,1131 JERICHO TURNPIKE,Suffolk,Commack,11725,(631) 343-7942,AF0926A,"ARTIS SENIOR LIVING OPERATOR OF COMMACK, LLC",700-F-961,64,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
The Avalon Assisted Living And Wellness Center,1629 ROUTE 376,Dutchess,Wappingers Falls,12590,(845) 463-0500,AF0415A,AZZY RECKESS PAULA RECKESS,230-F-068,76,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
Atria Guilderland,300 MILL ROSE COURT,Albany,Slingerlands,12159,(518) 218-0506,AF0614C,"ATR NEW YORK LH, INC.",000-F-308,120,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
