Facility Name,Facility ID,License Number,Phone Number,Email Address,Address,City,State,Zip Code,County,Capacity,Licensee,State Facility Type 1 Literal
KENTRIDGE SENIOR LIVING THE,OHL40357,2435R,3306774040,bdriscoll@kentridgeseniorliving.com,5241 SUNNYBROOK ROAD,KENT,OH,44240,PORTAGE,112,"KENT SENIOR HOUSING I OPCO, LLC",Residential Care Facility
KENWOOD BY SENIOR STAR THE,OHL41383,2567R,5135619300,sgibson@seniorstar.com,5445 KENWOOD ROAD,CINCINNATI,OH,45227,HAMILTON,100,"SENIOR STAR TENANT KENWOOD, LLC",Residential Care Facility
KENWOOD BY SENIOR STAR THE,OHL41383,2567R,5135619300,sgibson@seniorstar.com,5445 KENWOOD ROAD,CINCINNATI,OH,45227,HAMILTON,100,"GEMINI KENWOOD, LLC",Residential Care Facility
KINGSBURY PLACE,OHL00843,2111R,4197826324,bellis@enlivant.com,245 WEST ROSEWOOD AVENUE,DEFIANCE,OH,43512,DEFIANCE,81,KINGSBURY AID OPCO LLC,Residential Care Facility
KINGSTON RESIDENCE OF MARION,OHL01159,2077R,7403892311,kpetrock@kingstonhealthcare.com,464 JAMES WAY,MARION,OH,43302,MARION,146,"KINGSTON RESIDENCE OF MARION, LLC",Residential Care Facility
KINGSTON RESIDENCE OF PERRYSBURG,OHL00840,2102R,4198726200,kburnard@kingstonhealthcare.com,333 EAST BOUNDARY,PERRYSBURG,OH,43551,WOOD,100,"KINGSTON RESIDENCE OF PERRYSBURG, LLC",Residential Care Facility
KINGSTON RESIDENCE OF SYLVANIA,OHL39950,2345R,4198244200,dferguson@kingstonhealthcare.com,4125 KING ROAD,SYLVANIA,OH,43560,LUCAS,162,"KINGSTON RESIDENCE OF SYLVANIA, LLC",Residential Care Facility
KINGSTON RESIDENCE OF VERMILION,OHL00877,2239R,4409672424,cjoseph@kingstonhealthcare.com,6010 WEST LAKE ROAD,VERMILION,OH,44089,ERIE,86,"KINGSTON RESIDENCE OF VERMILION, LLC",Residential Care Facility
KNOLLS OF OXFORD THE,OHL32965,2394R,5135247980,tmcgowan@mkcommunities.org,6727 CONTRERAS RD,OXFORD,OH,45056,BUTLER,56,LIFESPHERE,Residential Care Facility
LAKE VIEW AT BROOKHAVEN,OHL01621,1701R,9378332133, tnick@brookhavenoh.org,ONE COUNTRY LANE,BROOKVILLE,OH,45309,MONTGOMERY,100,"BROOKVILLE ENTERPRISES, INC.",Residential Care Facility
LAKES OF MONCLOVA THE,OHL41684,2623R,4198663030,billie.gerding@lakesofmonclova.com,6935 MONCLOVA ROAD,MAUMEE,OH,43537,LUCAS,78,TRILOGY HEALTHCARE OF LUCAS LLC,Residential Care Facility
LAKES OF SYLVANIA THE,OHL41994,2762R,4198246699,tyler.wehring@lakesofsylvania.com,5351 MITCHAW ROAD,SYLVANIA,OH,43560,LUCAS,40,"TRILOGY HEALTHCARE OF SYLVANIA, LLC",Residential Care Facility
LAKESIDE ASSISTED LIVING,OHL42154,2842R,4403335401,kelly@thenormandy.com,22441 LAKE ROAD,ROCKY RIVER,OH,44116,CUYAHOGA,80,ORLEAN NORMANDY II LLC,Residential Care Facility
"LAKEWOOD HEALTH CARE CENTER, I",OHL00430,0506R,2162263858,caring@enniscourt.com,13315 DETROIT AVE,LAKEWOOD,OH,44107,CUYAHOGA,36,"LAKEWOOD HEALTH CARE CENTER, INC.",Residential Care Facility
LANDING OF CANTON THE,OHL02949,2309R,3304775727,aschiller@northstarsl.com,4550 HILLS AND DALES ROAD NW,CANTON,OH,44708,STARK,150,"HILLS SENIOR CARE, LLC",Residential Care Facility
LANDINGS OF HUBER HEIGHTS,OHL41738,2647R,9372361800,lahh.adm@meridiansenior.com,6200 BELLEFONTAINE ROAD,HUBER HEIGHTS,OH,45424,MONTGOMERY,100,"ALCORE HUBER, LLC",Residential Care Facility
LANDINGS OF HUBER HEIGHTS,OHL41738,2647R,9372361800,lahh.adm@meridiansenior.com,6200 BELLEFONTAINE ROAD,HUBER HEIGHTS,OH,45424,MONTGOMERY,100,"MH HUBER HEIGHTS OPERATING, LLC",Residential Care Facility
LANDINGS OF OREGON,OHL41837,2683R,4199732772,laor.adm@meridiansenior.com,3450 SEAMAN ROAD,OREGON,OH,43616,LUCAS,100,"MH OREGON OPERATING, LLC",Residential Care Facility
LANDINGS OF OREGON,OHL41837,2683R,4199732772,laor.adm@meridiansenior.com,3450 SEAMAN ROAD,OREGON,OH,43616,LUCAS,100,ALCORE OREGON LLC,Residential Care Facility
LANDINGS OF SIDNEY,OHL41756,2655R,9374981818,lasy.adm@meridiansenior.com,1150 WEST RUSSELL ROAD,SIDNEY,OH,45365,SHELBY,100,ALCORE SIDNEY LLC,Residential Care Facility
LANDINGS OF SIDNEY,OHL41756,2655R,9374981818,lasy.adm@meridiansenior.com,1150 WEST RUSSELL ROAD,SIDNEY,OH,45365,SHELBY,100,"MH SIDNEY OPERATING, LLC",Residential Care Facility
LANTERN OF CHAGRIN VALLEY,OHL41965,2747R,4405571186,kimsemple@lanternofchagrinvalley.com,5277 CHILLICOTHE ROAD,CHAGRIN FALLS,OH,44022,CUYAHOGA,66,"LANTERN OF CHAGRIN VALLEY, INC",Residential Care Facility
LANTERN OF MADISON,OHL40115,2404R,4404282664,chostetler@lanternofsaybrook.com,2041 HUBBARD ROAD,MADISON,OH,44057,LAKE,97,"ORCUS SYSTEMS AND SOLUTIONS, INC.",Residential Care Facility
LANTERN OF SAYBROOK,OHL41959,2744R,4402613100,kstepp@lanternofsaybrook.com,3720 NORTH RIDGE ROAD WEST,ASHTABULA,OH,44004,ASHTABULA,67,"LANTERN OF SAYBROOK, INC.",Residential Care Facility
LAURELS OF MASSILLON THE,OHL01472,2082R,3308309988,ssonego@laurelhealth.com,"2000 SHERMAN CIRCLE, N.E.",MASSILLON,OH,44646,STARK,10,"FAIRPORT ENTERPRISES, INC.",Residential Care Facility
LAURELWOOD SENIOR LIVING,OHL01649,2032R,9374366155,jackie.coles@laurelwoodalf.com,3797 SUMMIT GLEN DRIVE,DAYTON,OH,45449,MONTGOMERY,135,"NIC 14 DAYTON LEASING, LLC",Residential Care Facility
LEGACY ASSISTED LIVING,OHL40355,2433R,9373720359, sthroop@nationalchurchresidences.org,695 WYCLIFFE DRIVE,XENIA,OH,45385,GREENE,83,LEGACY VILLAGE,Residential Care Facility
LEGACY ASSISTED LIVING COMMUNITY THE,OHL42309,2914R,3303557000,hpolonus@thelegacyalc.com,8785 YOUNGSTOWN-KINGSVILLE ROAD,FARMDALE,OH,44417,TRUMBULL,24,GUSTAVUS SENIOR CARE,Residential Care Facility
LEGACY AT FOREST GLEN THE,OHL41329,2556R,9373909913,michael.lacey@forestglenhc.com,2165 MONTEGO DRIVE,SPRINGFIELD,OH,45503,CLARK,30,"TRILOGY HEALTHCARE OPERATIONS OF SPRINGFIELD, LLC",Residential Care Facility
LEGACY AT HERITAGE ESTATES THE,OHL41184,2541R,4194241808,katie.brown@theheritagehc.com,2801 GREENACRE DRIVE,FINDLAY,OH,45840,HANCOCK,30,"TRILOGY HEALTHCARE OF HANCOCK, LLC",Residential Care Facility
"LEGACY AT LIBERTY RIDGE, THE",OHL42030,2778R,5133428889,john.dombrowski@legacyatlibertyridge.com,7200 HERITAGE SPRING DRIVE,WEST CHESTER,OH,45069,BUTLER,60,"LIBERTY RIDGE OPCO, LLC",Residential Care Facility
"LEGACY AT LIBERTY RIDGE, THE",OHL42030,2778R,5133428889,john.dombrowski@legacyatlibertyridge.com,7200 HERITAGE SPRING DRIVE,WEST CHESTER,OH,45069,BUTLER,60,"THRIVE AT WEST CHESTER, LLC",Residential Care Facility
LEGACY PLACE - PARMA,OHL03229,1232R,4408297027,k.frankeberger@lhshealth.com,7377 RIDGE ROAD,PARMA,OH,44129,CUYAHOGA,100,"RIDGE-PLEASANT VALLEY, INC.",Residential Care Facility
LEGACY PLACE - TWINSBURG,OHL00412,2240R,3304056040,mlackey@chcccompanies.com,9928 VAIL DRIVE,TWINSBURG,OH,44087,SUMMIT,56,"TWINSBURG HEALTHCARE CENTER, LLC",Residential Care Facility
LEGACY PLACE - TWINSBURG,OHL00412,2240R,3304056040,mlackey@chcccompanies.com,9928 VAIL DRIVE,TWINSBURG,OH,44087,SUMMIT,56,TWINSBURG - LEGACY ASSISTED LIVING LLC,Residential Care Facility
LEVY GARDENS,OHL00382,2153R,3307463570,nhargate@jewishyoungstown.org,584 GRANADA AVENUE,YOUNGSTOWN,OH,44505,MAHONING,30,"HERITAGE MANOR, JEWISH HOME FOR AGED",Residential Care Facility
LEVY GARDENS,OHL00382,2153R,3307463570,nhargate@jewishyoungstown.org,584 GRANADA AVENUE,YOUNGSTOWN,OH,44505,MAHONING,30,YOUNGSTOWN AREA JEWISH FEDERATION,Residential Care Facility
"LEXINGTON PLACE ASSISTED LIVING, LLC",OHL42318,2917R,3303371730,ejfabian@gracewoodshc.com,2343 - 2345 LEXINGTON AVENUE,SALEM,OH,44460,COLUMBIANA,32,"LEXINGTON PLACE ASSISTED LIVING, LLC",Residential Care Facility
LIBERTY ARMS ASSISTED LIVING FACILITY,OHL00414,2113R,3307592893,pahlswede@windsorhouseinc.com,1353 CHURCHILL - HUBBARD RD.,YOUNGSTOWN,OH,44505,MAHONING,87,JOHN MASTERNICK,Residential Care Facility
LIBERTY ARMS ASSISTED LIVING FACILITY,OHL00414,2113R,3307592893,pahlswede@windsorhouseinc.com,1353 CHURCHILL - HUBBARD RD.,YOUNGSTOWN,OH,44505,MAHONING,87,DOROTHY MASTERNICK,Residential Care Facility
LIBERTY ARMS ASSISTED LIVING FACILITY,OHL00414,2113R,3307592893,pahlswede@windsorhouseinc.com,1353 CHURCHILL - HUBBARD RD.,YOUNGSTOWN,OH,44505,MAHONING,87,"LIBERTY ARMS ASSISTED LIVINGS, INC.",Residential Care Facility
LIBERTY RESIDENCE HOLDINGS LLC,OHL03216,2299R,3303363616,bevl@libertyresidence.com,1054 FREEDOM DRIVE,WADSWORTH,OH,44281,MEDINA,70,"SENQUEST MANAGEMENT, INC.",Residential Care Facility
LIBERTY VILLAGE SENIOR COMMUNITIES,OHL00990,2020R,7407734630,mike@abbingtononline.com,1839 WESTERN AVENUE,CHILLICOTHE,OH,45601,ROSS,43,"LIBERTY VILLAGE SENIOR COMMUNITIES, INC.",Residential Care Facility
"LIBERTY VILLAS OF LIMA, INC",OHL00869,2203R,4193312273,lnickles@libertynursingcenters.com,2440 BATON ROUGE AVENUE,LIMA,OH,45805,ALLEN,34,"LIBERTY VILLAS OF LIMA, INC.",Residential Care Facility
"LIBERTY VILLAS OF LIMA, INC",OHL00869,2203R,4193312273,lnickles@libertynursingcenters.com,2440 BATON ROUGE AVENUE,LIMA,OH,45805,ALLEN,34,"PLUS MANAGEMENT SERVICES, INC.",Residential Care Facility
LIGHT OF HEARTS VILLA,OHL00056,1917R,4402321991,breanne.cavileer@lightofheartsvilla.org,283 UNION STREET,BEDFORD,OH,44146,CUYAHOGA,109,"LIGHT OF HEARTS VILLA, INC.",Residential Care Facility
LINCOLN PARK MANOR,OHL01637,1915R,9372974300,smeyer@laurelhealth.com,694 ISAAC PRUGH WAY,KETTERING,OH,45429,MONTGOMERY,34,LINCOLN PARK ASSOCIATES II L.P.,Residential Care Facility
LINDLEY INN THE,OHL01499,2237R,7407979701,jcash@chancellorhealth.com,9000 HOCKING HILLS DRIVE,THE PLAINS,OH,45780,ATHENS,86,"ATHENS HEALTH PARTNERS, LTD.",Residential Care Facility
LINDLEY INN THE,OHL01499,2237R,7407979701,jcash@chancellorhealth.com,9000 HOCKING HILLS DRIVE,THE PLAINS,OH,45780,ATHENS,86,"CHANCELLOR SENIOR MANAGEMENT, LTD",Residential Care Facility
LIVING CENTER AT 10 WILMINGTON,OHL01642,1952R,9372531010,mbrooke@10wilmingtonplace.com,10 WILMINGTON AVENUE,DAYTON,OH,45420,MONTGOMERY,100,WILMINGTON MANAGEMENT COMPANY,Residential Care Facility
LIVING CENTER AT 10 WILMINGTON,OHL01642,1952R,9372531010,mbrooke@10wilmingtonplace.com,10 WILMINGTON AVENUE,DAYTON,OH,45420,MONTGOMERY,100,BARRY HUMPHRIES,Residential Care Facility
LOCHHAVEN,OHL00836,0314R,4192275450,admin@limach.com,1640 ALLENTOWN ROAD,LIMA,OH,45805,ALLEN,100,"LIMA CONVALESCENT HOME FOUNDATION, INC.",Residential Care Facility
LODGE RETIREMENT COMMUNITY THE,OHL01957,2231R,5135833291,tawnya@lodgeretirementcommunity.com,12050 MONTGOMERY ROAD,CINCINNATI,OH,45249,HAMILTON,70,"LOM MANAGEMENT, LLC",Residential Care Facility
LOUDONVILLE REST HOME,OHL00017,0211R,4199944250,pattyt7@frontier.com,205 NORTH WATER STREET,LOUDONVILLE,OH,44842,ASHLAND,25,"LOUDONVILLE NURSING HOME, INC.",Residential Care Facility
LUTHER HOUSE,OHL42249,2884R,4408710090,mnieberding@concordplace.org,2154 DOVER CENTER ROAD,WESTLAKE,OH,44145,CUYAHOGA,141,LUTHER HOUSE,Residential Care Facility
LUTHERAN HOME AT TOLEDO ASSISTED LIVING,OHL03214,2285R,4197241414,cvoyles-baden@genacross.org,2519 SEAMAN STREET,TOLEDO,OH,43605,LUCAS,66,"LUTHERAN HOMES SOCIETY, INC.",Residential Care Facility
LUTHERAN VILLAGE AT WOLF CREEK,OHL500088,2148R,4198612233,jkirkendall@genacross.org,2015 PERRYSBURG-HOLLAND ROAD,HOLLAND,OH,43528,LUCAS,100,"LUTHERAN HOMES SOCIETY, INC.",Residential Care Facility
LUTHERAN VILLAGE OF ASHLAND,OHL32943,2291R,4192818403,sbenner@lssnetworkofhope.org,330 DAVIS ROAD,ASHLAND,OH,44805,ASHLAND,60,"ASHLAND ASSISTED LIVING OPERATIONS, LLC",Residential Care Facility
MADISON HOUSE THE,OHL01169,2134R,7408450145,krussell@chancellorhealth.com,351 KENY BOULEVARD,LONDON,OH,43140,MADISON,88,"MADISON HEALTH PARTNERS, LLC",Residential Care Facility
MAGNOLIA SPRINGS LOVELAND,OHL42056,2789R,5137749000,huffkatie@lcsnet.com,767 LOVELAND MIAMIVILLE ROAD,LOVELAND,OH,45140,CLERMONT,135,"GRANDVIEW CARE, INC",Residential Care Facility
MAGNOLIA SPRINGS LOVELAND,OHL42056,2789R,5137749000,huffkatie@lcsnet.com,767 LOVELAND MIAMIVILLE ROAD,LOVELAND,OH,45140,CLERMONT,135,"LCS LOVELAND, LLC",Residential Care Facility
MAGNOLIA TERRACE,OHL40014,2356R,4194623900,dkosikowski@alcoresenior.com,1110 NORTH MARKET STREET,GALION,OH,44833,CRAWFORD,65,"GALION ASSISTED LIVING, LTD.",Residential Care Facility
MAGNOLIA TERRACE,OHL40014,2356R,4194623900,dkosikowski@alcoresenior.com,1110 NORTH MARKET STREET,GALION,OH,44833,CRAWFORD,65,NATHAN D. SABO,Residential Care Facility
MAJESTIC CARE FAIRFIELD ASSISTED LIVING,OHL40071,2366R,5136994600,ed.fnh@mcareohio.com,5251 DIXIE HIGHWAY,FAIRFIELD,OH,45014,BUTLER,230,"FAIRFIELD PAVILION, INC.",Residential Care Facility
MAJESTIC CARE FAIRFIELD ASSISTED LIVING,OHL40071,2366R,5136994600,ed.fnh@mcareohio.com,5251 DIXIE HIGHWAY,FAIRFIELD,OH,45014,BUTLER,230,"MAJESTIC CARE OF FAIRFIELD ASSISTED LIVING, LLC",Residential Care Facility
MAJESTIC CARE MIDDLETOWN ASSISTED LIVING,OHL01606,0987R,5134245321,gm.mal@mcareohio.com,6898 HAMILTON-MIDDLETOWN ROAD,MIDDLETOWN,OH,45042,BUTLER,140,"GARDEN MANOR EXTENDED CARE CENTER, INC.",Residential Care Facility
MAJESTIC CARE MIDDLETOWN ASSISTED LIVING,OHL01606,0987R,5134245321,gm.mal@mcareohio.com,6898 HAMILTON-MIDDLETOWN ROAD,MIDDLETOWN,OH,45042,BUTLER,140,"MAJESTIC CARE MIDDLETOWN ASSISTED LIVING, LLC",Residential Care Facility
MALLARD COVE,OHL01647,2008R,5137726655,jbrace@mallardcoveseniorliving.com,1410 MALLARD COVE DRIVE,CINCINNATI,OH,45246,HAMILTON,168,"MALLARD COVE SENIOR DEVELOPMENT, LLC",Residential Care Facility
MANSFIELD PLACE,OHL00863,2177R,4197565599,lgrindle@enlivant.com,1841 MIDDLE BELLVILLE ROAD,MANSFIELD,OH,44904,RICHLAND,60,"BROOKDALE SENIOR LIVING COMMUNITIES, INC.",Residential Care Facility
MANSFIELD PLACE,OHL00863,2177R,4197565599,lgrindle@enlivant.com,1841 MIDDLE BELLVILLE ROAD,MANSFIELD,OH,44904,RICHLAND,60,MANSFIELD BG OPCO LLC,Residential Care Facility
MAPLE CREST OF MENNONITE MEMORIAL HOME,OHL00882,2255R,4193587654,dlee@mhcoliving.org,700 MAPLE CREST COURT,BLUFFTON,OH,45817,ALLEN,30,MENNONITE MEMORIAL HOME,Residential Care Facility
MAPLE KNOLL VILLAGE - BEECHER PLACE,OHL01618,1623R,5137822787,lwestermeyer@mkcommuniites.org,11100 SPRINGFIELD PIKE,CINCINNATI,OH,45246,HAMILTON,508,LIFESPHERE,Residential Care Facility
MAPLE RIDGE SENIOR LIVING,OHL00427,2262R,4402698600,charris@mapleridgeseniorliving.com,35300 KAISER COURT,WILLOUGHBY,OH,44094,LAKE,110,EIGHT PACK MANAGEMENT CORP.,Residential Care Facility
MAPLE RIDGE SENIOR LIVING,OHL00427,2262R,4402698600,charris@mapleridgeseniorliving.com,35300 KAISER COURT,WILLOUGHBY,OH,44094,LAKE,110,MARRIOTT SENIOR LIVING,Residential Care Facility
MAPLE RIDGE SENIOR LIVING,OHL00427,2262R,4402698600,charris@mapleridgeseniorliving.com,35300 KAISER COURT,WILLOUGHBY,OH,44094,LAKE,110,"ARROW SENIOR LIVING WILLOUGHBY, LLC",Residential Care Facility
MAPLE RIDGE SENIOR LIVING,OHL00427,2262R,4402698600,charris@mapleridgeseniorliving.com,35300 KAISER COURT,WILLOUGHBY,OH,44094,LAKE,110,EMERITUS CORPORATION,Residential Care Facility
MAPLECREST ASSISTED LIVING,OHL00673,1158R,4195624988,maplecrestkds@yahoo.com,717 ROGERS STREET,BUCYRUS,OH,44820,CRAWFORD,24,"KING'S DAUGHTERS & SONS, OHIO BRANCH",Residential Care Facility
MAPLEWOOD AT CHARDON,OHL00428,2264R,4402853300,chardoned@maplewoodsl.com,12350 BASS LAKE ROAD,CHARDON,OH,44024,GEAUGA,140,"MAPLEWOOD AT HEATHER HILL, LLC",Residential Care Facility
MAPLEWOOD AT CUYAHOGA FALLS,OHL41912,2722R,2342089871,cuyahogaed@maplewoodsl.com,190 WEST BATH ROAD,CUYAHOGA FALLS,OH,44223,SUMMIT,84,"MAPLEWOOD AT BATH CREEK, LLC",Residential Care Facility
MAPLEWOOD AT TWINSBURG,OHL41956,2741R,3308407404,twinsburged@maplewoodsl.com,2463 SUSSEX BOULEVARD,TWINSBURG,OH,44087,SUMMIT,84,"MAPLEWOOD AT TWINSBURG, LLC",Residential Care Facility
MAPLEWOOD OF SHANE'S VILLAGE,OHL01919,1492R,4193632620,imarkovits@divine-hc.com,10701 STATE ROUTE 118,ROCKFORD,OH,45882,MERCER,30,"SHANE HILL REHABILITATION AND NURSING CENTER, LLC",Residential Care Facility
MAPLEWOOD OF SHANE'S VILLAGE,OHL01919,1492R,4193632620,imarkovits@divine-hc.com,10701 STATE ROUTE 118,ROCKFORD,OH,45882,MERCER,30,"LAURELS OF ROCKFORD, INC. THE",Residential Care Facility
MARIAN LIVING CENTER,OHL00393,2060R,3305492434,melessa_scattino@mercy.com,9800 MARKET STREET,NORTH LIMA,OH,44452,MAHONING,60,HUMILITY OF MARY HEALTH PARTNERS,Residential Care Facility
MARIAN LIVING CENTER,OHL00393,2060R,3305492434,melessa_scattino@mercy.com,9800 MARKET STREET,NORTH LIMA,OH,44452,MAHONING,60,ASSUMPTION VILLAGE THE,Residential Care Facility
MARIAN LIVING CENTER,OHL00393,2060R,3305492434,melessa_scattino@mercy.com,9800 MARKET STREET,NORTH LIMA,OH,44452,MAHONING,60,CATHOLIC HEALTHCARE PARTNERS,Residential Care Facility
MARJORIE P LEE RETIREMENT,OHL500091,0034R,5135335002,estambaugh@erslife.org,3550 SHAW AVENUE,CINCINNATI,OH,45208,HAMILTON,191,"EPISCOPAL RETIREMENT HOMES, INC.",Residential Care Facility
MARTHA MANOR HOME,OHL01330,0083R,7402825623,marthamanor@sbcglobal.net,408 NORTH FIFTH STREET,STEUBENVILLE,OH,43952,JEFFERSON,22,MARTHA COCHRAN MCCONVILLE MEMORIAL,Residential Care Facility
MARYMOUNT PLACE,OHL00397,2207R,2163321100,not available,5100 MARYMOUNT VILLAGE DR,GARFIELD HEIGHTS,OH,44125,CUYAHOGA,104,VILLAGE AT MARYMOUNT,Residential Care Facility
MASON ASSISTED LIVING & MEMORY CARE,OHL42199,2864R,3038878656,edinnesen@spectrumretirement.com,5225 COX SMITH ROAD,MASON,OH,45040,WARREN,174,"MASON OPERATOR, LLC",Residential Care Facility
MASON HEALTH CARE CENTER,OHL01913,0009R,5133982881,cdaasch@masonhcc.org,5640 COX-SMITH ROAD,MASON,OH,45040,WARREN,10,MASON HEALTH CARE CENTER,Residential Care Facility
MASON HEALTH CARE CENTER,OHL01913,0009R,5133982881,cdaasch@masonhcc.org,5640 COX-SMITH ROAD,MASON,OH,45040,WARREN,10,"MASON HEALTHCARE, LLC",Residential Care Facility
MAYFAIR VILLAGE RETIREMENT COMMUNITY,OHL00970,1685R,6148896202,dmseltzer@centurypa.com,3011 HAYDEN ROAD,COLUMBUS,OH,43235,FRANKLIN,172,CONSOLIDATED RESOURCES HEALTH CARE FUND II – MAYFA,Residential Care Facility
MCCREA MANOR NURSING & REHAB CENTER,OHL01479,1804R,3308239005,troy.maldoven@hgohio.com,2040 MCCREA STREET,ALLIANCE,OH,44601,STARK,16,THI OF COLUMBUS INC,Residential Care Facility
MCCREA MANOR NURSING & REHAB CENTER,OHL01479,1804R,3308239005,troy.maldoven@hgohio.com,2040 MCCREA STREET,ALLIANCE,OH,44601,STARK,16,MCCREA OPERATING COMPANY LLC,Residential Care Facility
MCCREA MANOR NURSING & REHAB CENTER,OHL01479,1804R,3308239005,troy.maldoven@hgohio.com,2040 MCCREA STREET,ALLIANCE,OH,44601,STARK,16,"HEALTHCARE VENTURES OF OHIO, LLC",Residential Care Facility
MCGREGOR ASSISTED LIVING,OHL42240,2879R,2168518112,magan.frame@mcgregoramasa.org,14850 PRIVATE DRIVE,EAST CLEVELAND,OH,44112,CUYAHOGA,90,THE MCGREGOR FOUNDATION,Residential Care Facility
MCMULLEN ASSISTED CARE,OHL41025,2513R,4199945405,john@mcmullencare.com,201 SCHOOL DRIVE,LOUDONVILLE,OH,44842,ASHLAND,16,"MCMULLEN ASSISTED CARE, INC.",Residential Care Facility
"MCV - HEALTH CARE FACILITIES, INC",OHL01644,1962R,5133981486,bob.slade@christianbenevolent.org,411 WESTERN ROW ROAD,MASON,OH,45040,WARREN,214,"MCV-HEALTH CARE FACILITIES, INC.",Residential Care Facility
MEADOWS AT FRIENDSHIP VILLAGE,OHL00972,1746R,6147171600,jessicaj@fvdublin.org,6000 RIVERSIDE DRIVE,DUBLIN,OH,43017,FRANKLIN,46,"FRIENDSHIP VILLAGE OF DUBLIN, OHIO, INC.",Residential Care Facility
MEADOWS OF DELPHOS THE,OHL42102,2811R,4196920590,stephanie.schoenlein@meadowsofdelphos.com,800 AMBROSE DRIVE,DELPHOS,OH,45833,ALLEN,41,"TRILOGY HEALTHCARE OF ALLEN, LLC",Residential Care Facility
MEADOWS OF KALIDA THE,OHL40762,2484R,4195322961,kris.schroeder@meadowsofkalida.com,755 OTTAWA STREET,KALIDA,OH,45853,PUTNAM,66,"TRILOGY HEALTHCARE OF PUTNAM, LLC",Residential Care Facility
MEADOWS OF LEIPSIC THE,OHL00685,1996R,4199432103,stephanie.keaton@meadowsofleipsic.com,901 EAST MAIN STREET,LEIPSIC,OH,45856,PUTNAM,62,"TRILOGY HEALTHCARE OF PUTNAM III, LLC",Residential Care Facility
MEADOWS OF OTTAWA THE,OHL41831,2680R,4195234092,james.sherry@meadowsofottawa.com,147 PUTNAM PARKWAY,OTTAWA,OH,45875,PUTNAM,32,"TRILOGY HEALTHCARE OF PUTNAM II, LLC",Residential Care Facility
MELLON MEADOWS CARE CENTER,OHL01883,2036R,5135755052,bcasey@continuinghc.com,1659 STATE ROUTE 28,GOSHEN,OH,45122,CLERMONT,30,"ALS GOSHEN, INC",Residential Care Facility
MEMORIES OF MARIE,OHL41811,2675R,7405371500,alms.bhaught@gmail.com,710 MARKET STREET,TORONTO,OH,43964,JEFFERSON,17,"ASSISTED LIVING MINISTRY SERVICES, LLC",Residential Care Facility
MEMORY PAVILION AT MONTEFIORE THE,OHL41649,1956R,2163609080,llozier@menorahpark.org,27080 CEDAR ROAD,BEACHWOOD,OH,44122,CUYAHOGA,33,THE MONTEFIORE HOME,Residential Care Facility
MENNONITE MEMORIAL HOME,OHL00669,0153R,4193581015,sirvin@mhcoliving.org,410 WEST ELM STREET,BLUFFTON,OH,45817,ALLEN,40,MENNONITE MEMORIAL HOME BOARD OF TRUSTEES,Residential Care Facility
"MENTOR SENIOR LIVING, LLC",OHL42167,2850R,4407014560,athompson@danburyseniorliving.com,9150 LAKESHORE BLVD,MENTOR,OH,44060,LAKE,113,"BROOKWOOD MANAGEMENT COMPANY, LLC",Residential Care Facility
MERCY FRANCISCAN WEST PARK,OHL500101,1771R,5134518900,gvannostrand@mercy.com,2950 WEST PARK DRIVE,CINCINNATI,OH,45238,HAMILTON,369,MERCY FRANCISCAN SENIOR HEALTH AND HOUSING,Residential Care Facility
MERIT HOUSE,OHL41730,1249R,4194785131,john@merithousetoledo.com,4645 LEWIS AVENUE,TOLEDO,OH,43612,LUCAS,51,MERIT HOUSE LLC,Residential Care Facility
"MERRIMAN OPERATIONS, LLC",OHL500106,0523R,3307629341,astein@lionstonecare.com,209 MERRIMAN ROAD,AKRON,OH,44303,SUMMIT,71,"MERRIMAN OPERATIONS, LLC",Residential Care Facility
"MERRIMAN OPERATIONS, LLC",OHL500106,0523R,3307629341,astein@lionstonecare.com,209 MERRIMAN ROAD,AKRON,OH,44303,SUMMIT,71,"MERRIMAN CCRC, INC.",Residential Care Facility
MIDDLETON,OHL41938,2734R,7405870059,debbiehartshorn@traditionsmgmt.net,1500 WEAVER DRIVE,GRANVILLE,OH,43023,LICKING,192,"RACCOON CREEK SENIOR HOUSING, LLC",Residential Care Facility
MIDDLETOWN PAVILION RESIDENTIAL CARE,OHL01609,1032R,5134239621,ohiogrouph1@swohio.twcbc.com,3100 SOUTH MAIN STREET,MIDDLETOWN,OH,45042,BUTLER,24,"OHIO GROUP HOME OF MIDDLETOWN, LLC",Residential Care Facility
"MILCREST HEALTHCARE, INC",OHL42306,2913R,9376421026,hburrus@hollandmgmt.com,800 MILCREST DRIVE,MARYSVILLE,OH,43040,UNION,38,"MILCREST HEALTHCARE, INC.",Residential Care Facility
MILL RUN CARE CENTER,OHL01173,2144R,6145273000,kevin.st.john@mmclp.com,3399 MILL RUN DRIVE,HILLIARD,OH,43026,FRANKLIN,42,"MILL RUN CARE CENTER, LLC",Residential Care Facility
MILLER FARM PLACE,OHL01935,2157R,9372919800,noehler@enlivant.com,8130  MILLER FARM ROAD,DAYTON,OH,45458,MONTGOMERY,60,DAYTON BG OPCO LLC,Residential Care Facility
MILLER FARM PLACE,OHL01935,2157R,9372919800,noehler@enlivant.com,8130  MILLER FARM ROAD,DAYTON,OH,45458,MONTGOMERY,60,ALTERRA HEALTHCARE CORPORATION,Residential Care Facility
