Facility Name,Facility ID,License Number,Phone Number,Email Address,Address,City,State,Zip Code,County,Capacity,Licensee,State Facility Type 1 Literal,Date Accessed
Diversicare Of St Theresa,OHL500086,2011R,5132717010,62admn@dvcr.com,7010 ROWAN HILL DRIVE,Cincinnati,OH,45227,Hamilton,92,"DIVERSICARE OF ST. THERESA, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Divine Living Of Madison,OHL42091,2806R,4409693040,charlotte@divinelivingofmadison.com,2358 HUBBARD ROAD,Madison,OH,44057,Lake,16,"DIVINE LIVING OF MADISON, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Dolley Madison House,OHL41778,2664R,3307677444,lbyer22@gmail.com,264 MOHICAN STREET NE,Brewster,OH,44613,Stark,16,BREWSTER PARKE INC.,RESIDENTIAL CARE FACILITY,6/29/21
Dr. Roy A. Burkhart Center,OHL00965,1057R,6144869511,sgrote@nationalchurchresidences.org,1802 RIVERSIDE DRIVE,Columbus,OH,43212,Franklin,74,FIRST COMMUNITY VILLAGE,RESIDENTIAL CARE FACILITY,6/29/21
Dublin Assisted Living And Memory Support By Senio,OHL41919,2726R,6143890308,dnicol@seniorstar.com,6480 POST ROAD,Dublin,OH,43016,Franklin,165,"DUBLIN SENIOR COMMUNITY LSP, LLC",RESIDENTIAL CARE FACILITY,6/29/21
East Park Memory Care Facility,OHL41859,2695R,2162677067,cdykin@epretire.com,6 EAST PARK CIRCLE,Brook Park,OH,44142,Cuyahoga,30,"EAST PARK RETIREMENT COMMUNITY, INC.",RESIDENTIAL CARE FACILITY,6/29/21
East Park Retirement Community,OHL499899,2372R,2162677067,cdykin@epretire.com,6360 ELMDALE ROAD,Brook Park,OH,44142,Cuyahoga,80,"EAST PARK RETIREMENT COMMUNITY, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Eaton Grand Manor,OHL01601,0717R,9374563640,ohiogrouph.1@att.net,119 WEST SOMERS STREET,Eaton,OH,45320,Preble,21,"NEW HORIZONS HEALTHCARE, LLC",RESIDENTIAL CARE FACILITY,6/29/21
"Echelon Assisted Living, The",OHL42143,2836R,3305912777,hirise12@aol.com,635 N HUNTINGTON DRIVE,Medina,OH,44256,Medina,115,"ECHELON ASSISTED LIVING OPERATIONS, LLC",RESIDENTIAL CARE FACILITY,6/29/21
"Edgewater Place, Inc",OHL41233,2546R,6148739700,sharris@edgewaterplace.us,11351 LAFAYETTE - PLAIN CITY ROAD,Plain City,OH,43064,Madison,80,"EDGEWATER PLACE, INC",RESIDENTIAL CARE FACILITY,6/29/21
Elizabeth Scott Community,OHL00842,0184R,4198653002,pbucher@elizabethscott.org,2720 ALBON ROAD,Maumee,OH,43537,Lucas,108,"ELIZABETH SCOTT, INC",RESIDENTIAL CARE FACILITY,6/29/21
Elmcroft Of  Xenia,OHL01952,2217R,9373721530,mwoosley@elmcroft.com,60 PACELINE CIRCLE,Xenia,OH,45385,Greene,120,"AL XENIA OPERATIONS, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Elmcroft Of Lima,OHL00871,2206R,4193312442,georgiana.saffle@elmcroft.com,2075 NORTH EASTOWN ROAD,Lima,OH,45807,Allen,80,"AL LIMA OPERATIONS, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Elmcroft Of Lorain,OHL02973,2301R,4409602813,craig.rukande@elmcroft.com,3290 COOPER FOSTER PARK ROAD,Lorain,OH,44053,Lorain,133,HEARTSTONE ASSISTED LIVING,RESIDENTIAL CARE FACILITY,6/29/21
Elmcroft Of Marietta,OHL01488,2151R,7403739600,mindy.payne@elmcroft.com,150 BROWNS ROAD,Marietta,OH,45750,Washington,99,EMERITUS CORPORATION,RESIDENTIAL CARE FACILITY,6/29/21
Elmcroft Of Medina,OHL00404,2227R,3307643877,licensing@eclipseseniorliving.com,1046 NORTH JEFFERSON STREET,Medina,OH,44256,Medina,137,"EC OPCO MEDINA, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Elmcroft Of Ontario,OHL00870,2205R,4197471119,sholland@elmcroft.com,2010 WALKER LAKE ROAD,Mansfield,OH,44906,Richland,67,"BCC ONTARIO OPERATIONS, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Elmcroft Of Sagamore Hills,OHL00431,2271R,3309081166,david.kreuzer@elmcroft.com,997 WEST AURORA ROAD,Sagamore Hills,OH,44067,Summit,214,"EC OPCO SAGAMORE HILLS, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Elmcroft Of Washington Township,OHL01966,2260R,9372913211,kdavis@elmcroft.com,8630 WASHINGTON CHURCH ROAD,Miamisburg,OH,45342,Montgomery,198,"BBC WASHINGTON TOWNSHIP OPERATIONS, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Elms Assisted Living The,OHL00068,1992R,3306506155,cfazekas@aomhc.com,563 WEST STREETSBORO ROAD,Hudson,OH,44236,Summit,49,"HUDSON HEALTH CARE, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Elms Retirement Village,OHL00420,1194R,4406472414,rcarroll@sprengerhealthcare.com,115 PROSPECT AVE,Wellington,OH,44090,Lorain,36,"ASSISTED LIVING SERVICES, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Elmwood Assisted Living And Skilled Nursing Of Fre,OHL03203,2173R,4193326533,aluhring@elmwoodcommunities.com,1545 FANGBONER,Fremont,OH,43420,Sandusky,97,ELMWOOD OF FREMONT LTD & FACILITY,RESIDENTIAL CARE FACILITY,6/29/21
Elmwood Assisted Living Of New Bremen,OHL41427,2572R,4199772711,khunt@elmwoodcommunities.com,711 WALNUT STREET,New Bremen,OH,45869,Auglaize,95,"ELMWOOD OF NEW BREMEN, LTD",RESIDENTIAL CARE FACILITY,6/29/21
Elmwood At The Shawhan,OHL03204,2242R,4194476885,tmjones@elmwoodcommunities.com,54 S WASHINGTON STREET,Tiffin,OH,44883,Seneca,66,"ELMWOOD AT THE SHAWHAN, LTD",RESIDENTIAL CARE FACILITY,6/29/21
Emerald Village Senior Living,OHL40749,2481R,4407779300,mjgiovanetti@ccdocle.org,30344 LORAIN ROAD,North Olmsted,OH,44070,Cuyahoga,211,"VISTA PRAIRIE AT EMERALD VILLAGE, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Enclave Of Newell Creek The,OHL41750,2652R,4408408872,tammy.cummins@enclaveofnewellcreek.com,7900 CENTER STREET,Mentor,OH,44060,Lake,134,"MENTOR CARE GROUP, LP",RESIDENTIAL CARE FACILITY,6/29/21
Evergreen Retirement Community,OHL01635,1883R,5139482308,bcoury@seniorlifestyle.com,230 WEST GALBRAITH ROAD,Cincinnati,OH,45215,Hamilton,121,"GA HC REIT II EVERGREEN TRS SUB, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Fairfield Place,OHL01931,2149R,5139392500,legalhelp@enlivant.com,2357 MACK ROAD,Fairfield,OH,45014,Butler,50,FAIRFIELD BG OPCO LLC,RESIDENTIAL CARE FACILITY,6/29/21
Fairhaven Community,OHL41163,1116R,4192944973,lmarsh@uchinc.org,850 MARSEILLES AVENUE,Upper Sandusky,OH,43351,Wyandot,35,"UNITED CHURCH HOMES, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Fairlawn Haven Assisted Living,OHL42019,0708R,4194445080,nbeck@fairlawnarchbold.com,407 EAST LUTZ ROAD,Archbold,OH,43502,Fulton,28,FAIRLAWN HAVEN,RESIDENTIAL CARE FACILITY,6/29/21
Feridean Commons,OHL03231,2303R,6148987488,fredpowrie@feridean.com,6885 FREEMAN ROAD,Westerville,OH,43082,Delaware,66,FERIDEAN COMMONS SENIOR HOUSING LTD.,RESIDENTIAL CARE FACILITY,6/29/21
First & Main Of Lewis Center,OHL42009,2770R,7405132270,christian.cottrell@firstandmain-lc.com,8875 GREEN MEADOWS DRIVE,Lewis Center,OH,43035,Delaware,150,"F & M LEWIS CENTER OPCO, LLC",RESIDENTIAL CARE FACILITY,6/29/21
First & Main Of New Albany,OHL42010,2771R,7405133044,sandra.glorioso@firstandmain-na.com,245 EAST MAIN STREET,New Albany,OH,43054,Franklin,150,"F&M NEW ALBANY OPCO, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Forest Glen Health Campus,OHL40718,2468R,9373909913,steaveymarie.wildenhaus@foestglenhc.com,2150 MONTEGO DRIVE,Springfield,OH,45503,Clark,42,"TRILOGY HEALTHCARE OPERATIONS OF SPRINGFIELD, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Forest Hills Care Center,OHL42203,2866R,5135786200,chord@premierhcm.com,8700 MORAN ROAD,Cincinnati,OH,45244,Hamilton,48,BEECHWOOD TERRACE CARE CENTER INC,RESIDENTIAL CARE FACILITY,6/29/21
Forest Hills Place,OHL00429,2265R,2163216331,chasity.davis@foresthillsplacealf.com,3151 MAYFIELD ROAD,Cleveland Heights,OH,44118,Cuyahoga,270,BROOKDALE SENIOR LIVING,RESIDENTIAL CARE FACILITY,6/29/21
Forum At Knightsbridge The,OHL01175,2140R,6145386660,licensing@5ssl.com,4625 KNIGHTSBRIDGE BLVD.,Columbus,OH,43214,Franklin,71,FIVE STAR KNIGHTSBRIDGE LLC,RESIDENTIAL CARE FACILITY,6/29/21
Fox Chase Of Bel Air,OHL41861,2696R,3308213939,rcfadmin@visitbelair.com,2350 CHERRY AVENUE,Alliance,OH,44601,Stark,16,DAVID E CHILDS,RESIDENTIAL CARE FACILITY,6/29/21
Fox Run Of Findlay Assisted Living,OHL00684,1987R,4194228657,mstock.fral@gmail.com,600 FOX RUN ROAD,Findlay,OH,45840,Hancock,132,FOX RUN OF FINDLAY ALF LLC,RESIDENTIAL CARE FACILITY,6/29/21
Fox Run Senior Living,OHL01951,2216R,9378641500,cquinn@foxrunseniorliving.com,7800 DAYTON SPRINGFIELD ROAD,Fairborn,OH,45324,Greene,114,"ARROW SENIOR LIVING FAIRBORN, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Friedman Village At St Francis,OHL00864,2184R,4194431445,info@csjinitiatives.org,175 ST. FRANCIS AVENUE,Tiffin,OH,44883,Seneca,30,TU II,RESIDENTIAL CARE FACILITY,6/29/21
Friends Care Center Assisted Living,OHL01967,2263R,9377677363,mmontgomery@friendshealthcare.org,170 E. HERMAN STREET,Yellow Springs,OH,45387,Greene,40,FRIENDS HEALTH CARE ASSOCIATION,RESIDENTIAL CARE FACILITY,6/29/21
Friendship Village,OHL40724,2473R,9378375581,vborell@fvdayton.com,5790 DENLINGER ROAD,Dayton,OH,45426,Montgomery,212,"DAYTON SENIOR CARE, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Gables Of Canton The,OHL41986,2758R,3304845888,cmassaro@gablesofcanton.com,3660 GREENTREE AVENUE SW,Canton,OH,44706,Stark,80,"THE LODGE AT NEW DAWN, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Gables Of Green The,OHL42050,2787R,3302528188,cmassaro@gablesofgreen.com,2045 FRANKS PARKWAY,Uniontown,OH,44685,Stark,125,"GABLES GREEN, LLC",RESIDENTIAL CARE FACILITY,6/29/21
"Gables Of Westerville, The",OHL42326,2922R,6149180050,info@gablesofwesterville.com,131 MOSS ROAD,Westerville,OH,43082,Delaware,150,"GABLES WESTERVILLE, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Ganzhorn Suite The,OHL41916,2724R,6143569810,exd.powell@ganzhorn.com,10272 SAWMILL PARKWAY,Powell,OH,43065,Delaware,68,"GANZHORN OPERATING CO OF POWELL, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Garbry Ridge,OHL01950,2213R,9377789385,administrator@garbryridge.com,1567 GARBRY ROAD,Piqua,OH,45356,Miami,105,VAN WERT MANOR,RESIDENTIAL CARE FACILITY,6/29/21
Gardens At Celina The,OHL03242,2348R,4195840100,administrator@hgcelina.com,1301 MYERS ROAD,Celina,OH,45822,Mercer,37,"HEALTHCARE VENTURES OF OHIO , LLC",RESIDENTIAL CARE FACILITY,6/29/21
Gardens At Cuyahoga Falls The,OHL40318,2429R,3309284500,lsatterfield@inpsiritseniorliving.com,45 CHART ROAD,Cuyahoga Falls,OH,44223,Summit,152,"RGM HEALTH SERVICES GROUP, LLC",RESIDENTIAL CARE FACILITY,6/29/21
"Gardens At Pinebrook, The",OHL42149,2839R,5139653880,licensing@watermarkcommunities.com,5869 WOLFPEN PLEASANT HILL ROAD,Milford,OH,45150,Clermont,40,,RESIDENTIAL CARE FACILITY,6/29/21
Gardens At St. Henry The,OHL01975,2282R,4197389210,administrator@hgcelina.com,522 WESTERN AVE,Saint Henry,OH,45883,Mercer,37,"GARDENS AT WAPAKONETA OPERATING COMPANY, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Gardens At Wapakoneta The,OHL01964,2244R,4197380725,matt.thuman@hgohio.com,505 WALNUT STREET,Wapakoneta,OH,45895,Auglaize,92,"GARDENS AT WAPAKONETA OPERATING COMPANY, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Gardens At Westlake The,OHL00338,2053R,4408929777,rclark39@brookdale.com,27569 DETROIT ROAD,Westlake,OH,44145,Cuyahoga,120,"ARHC GWWSLOH01 TRS, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Gardens At Whetstone,OHL00968,1455R,6144571100,adam.zimmerman@mmclp.com,3710 OLENTANGY RIVER ROAD,Columbus,OH,43214,Franklin,72,MILL RUN CARE CENTER LLC,RESIDENTIAL CARE FACILITY,6/29/21
Gardens Of French Creek At Avon Oaks The,OHL50037,0205R,4403968738,jflynn@avonoaks.net,37800 FRENCH CREEK ROAD,Avon,OH,44011,Lorain,48,AVON OAKS SKILLED NURSING FACILITY,RESIDENTIAL CARE FACILITY,6/29/21
Gardens Of Paulding The,OHL40980,2505R,4193994940,administrator@hgpaulding.com,199 COUNTY ROAD 103,Paulding,OH,45879,Paulding,37,"GARDENS AT PAULDING OPERATING COMPANY, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Gates Mills Club Senior Living,OHL42084,2803R,4404612010,e.director@gatesmillsclub.com,6759 MAYFIELD ROAD,Mayfield Heights,OH,44124,Cuyahoga,234,"GATES MILLS ASSISTED LIVING, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Gateway Family House,OHL40200,2416R,2165315400,cbarrows@gatewaycarecommunity.com,1 GATEWAY DRIVE,Euclid,OH,44119,Cuyahoga,99,"GATEWAY FAMILY HOUSE, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Gateway Springs Health Campus,OHL42312,2916R,5139126834,ross.homan@gatewayspringshc.com.,7250 GATEWAY AVENUE,Hamilton,OH,45011,Butler,41,"TRILOGY HEALTHCARE OF BUTLER, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Generations Senior Living Berea,OHL40077,2368R,4402439050,jodi@generationshcm.com,4 BEREA COMMONS,Berea,OH,44017,Cuyahoga,113,ROBERT M. COURY TRUST,RESIDENTIAL CARE FACILITY,6/29/21
Generations Senior Living Strongsville,OHL02981,2334R,4402383600,maureen@generationshcm.com,18960 FALLING WATER ROAD,Strongsville,OH,44136,Cuyahoga,100,"FALLING WATER RETIREMENT COMMUNITY, INC",RESIDENTIAL CARE FACILITY,6/29/21
Genoa Retirement Village,OHL39986,1821R,4198557755,michelle.vernon@genoahs.com,300 CHERRY STREET,Genoa,OH,43430,Ottawa,84,"TRILOGY HEALTHCARE OF OTTAWA, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Glen The,OHL42124,2823R,5137690511,sierra.leaks@theglensl.com,4300 GLENESTE WITHAMSVILLE ROAD,Cincinnati,OH,45245,Clermont,37,"TRILOGY HEALTHCARE OF CLERMONT, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Glendale The,OHL00682,1958R,4193890800,ljohnson@northstarsl.com,5020 RYAN ROAD,Toledo,OH,43614,Lucas,85,"RYAN SENIOR CARE, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Glenmont,OHL50120,1861R,6148760084,lmanfreda@glenmontcsn.com,4599 AVERY ROAD,Hilliard,OH,43026,Franklin,28,GLENMONT,RESIDENTIAL CARE FACILITY,6/29/21
Glennpark In Defiance,OHL41365,2563R,4197823000,dthompson@chancellorhealth.com,2429 WILLIAM A DIEHL COURT,Defiance,OH,43512,Defiance,80,"DEFIANCE HEALTH PARTNERS, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Glenwood Alzheimer'S Special Care Center,OHL41785,2668R,6147619200,glenwood-adm@jeaseniorliving.com,6355 EMERALD PARKWAY,Dublin,OH,43016,Franklin,66,"DUBLIN CARE GROUP, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Glenwood Assisted Living,OHL41792,2670R,3304927131,licensing@providencehcm.com,820 - 34TH ST NW,Canton,OH,44709,Stark,75,"LL CANTON, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Glenwood Community,OHL01498,2224R,7403769555,ldailey@uchinc.org,200 TIMBERLINE DRIVE,Marietta,OH,45750,Washington,96,"UNITED CHURCH HOMES, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Good Shepherd Home,OHL00672,0982R,4199371801,cwidman@goodshepherdhome.com,725 COLUMBUS AVENUE,Fostoria,OH,44830,Seneca,73,GOOD SHEPHERD HOME,RESIDENTIAL CARE FACILITY,6/29/21
Governor'S Pointe,OHL40039,2359R,4409516363,nicoles@randallresidence.com,8506 HENDRICKS ROAD,Mentor,OH,44060,Lake,44,"GOVERNOR’S POINTE, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Governor'S Village,OHL02980,2332R,4404498788,mro@randallresidence.com,280 NORTH COMMONS BLVD,Mayfield Village,OH,44143,Cuyahoga,99,"GOVERNOR'S VILLAGE, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Grace Brethren Village,OHL40500,1470R,9378364011,mmckinniss@gbvillage.com,1010 TAYWOOD ROAD,Englewood,OH,45322,Montgomery,4,"GRACE BRETHREN VILLAGE, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Grace Woods Senior Living Of Niles,OHL40294,2425R,3306524177, bparsons@continuinghc.com,730 YOUNGSTOWN - WARREN ROAD,Niles,OH,44446,Trumbull,78,"GRACE WOODS SENIOR LIVING, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Grace Woods Senior Living Of Salem,OHL01350,1993R,3303321104,ejfabian@gracewoodshc.com,1166 BENTON ROAD,Salem,OH,44460,Columbiana,34,"GRACE WOODS SENIOR LIVING, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Grand The,OHL41866,2700R,6145455524,bjohnson@grandofdublin.com,4500 JOHN SHIELDS PARKWAY,Dublin,OH,43017,Franklin,40,"VRABLE VI, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Grande Lake Healthcare Center,OHL01640,1933R,4193947611,janetaylor@chs-corp.com,1209 INDIANA AVENUE,Saint Marys,OH,45885,Auglaize,33,ATRIUM LIVING CENTER,RESIDENTIAL CARE FACILITY,6/29/21
Grande Village Suites,OHL40392,2437R,3309633600,cpotokar@sprengerhealthcare.com,2610 EAST AURORA ROAD,Twinsburg,OH,44087,Summit,120,"GV SUITES, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Grande Village Villas,OHL41843,2685R,3309633600,cpotokar@sprengerhealthcare.com,2625 EAST AURORA ROAD,Twinsburg,OH,44087,Summit,108,"GV VILLAS, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Green Hills Inn,OHL01887,1637R,9374653895,inn@greenhillsrc.org,6559 U.S. 68 SOUTH,West Liberty,OH,43357,Logan,60,"WEST LIBERTY CARE CENTER, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Greenbriar Nursing Center The,OHL01930,1953R,9374569535,dburnett@hawthornglennc.com,501 W. LEXINGTON ROAD,Eaton,OH,45320,Preble,36,"OCTOBER ENTERPRISES, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Greenfield Estate Alzheimer'S Special Care Center,OHL41939,2735R,3306641650,mariah.towell@jeaseniorliving.com,3522 COMMERCIAL DRIVE,Akron,OH,44333,Summit,66,"COPLEY CARE GROUP, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Greenview Senior Assisted Living,OHL499954,2377R,3308990404,jswarmus@greenviewassistedliving.com,4000 MASSILON ROAD,Uniontown,OH,44685,Summit,110,"GREENVIEW ASSISTED LIVING, LTD.",RESIDENTIAL CARE FACILITY,6/29/21
Hamlet At Chagrin Falls,OHL03211,2325R,4402474201,lesleyh@hamletretirement.com,200 HAMLET HILLS DRIVE,Chagrin Falls,OH,44022,Cuyahoga,145,HAMLET ASSISTED LIVING OPERATOR LLC,RESIDENTIAL CARE FACILITY,6/29/21
Harborchase Of Beavercreek,OHL42164,2847R,9372304711,bdavenport@hraonline.net,4175 INDIAN RIPPLE ROAD,Beavercreek,OH,45440,Greene,150,"CD-TT BEAVERCREEK, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Harrison Trail Health Campus,OHL42331,2927R,5138451465,emily.wolf-lewis@harrisontrailhc.com,10460 PROGRESS WAY,Harrison,OH,45030,Hamilton,41,"TRILOGY HEALTHCARE OF HAMILTON III, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Hearth & Home At El Camino,OHL01944,2186R,9373997851,ahobbs@chancellorhealth.com,3185 EL CAMINO DRIVE,Springfield,OH,45503,Clark,30,"HEARTH & HOME AT EL CAMINO, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Hearth & Home At Harding,OHL01903,2092R,9373998622,ahobbs@chancellorhealth.com,550 WEST HARDING ROAD,Springfield,OH,45504,Clark,23,HEARTH & HOME AT VAN WERT LLC,RESIDENTIAL CARE FACILITY,6/29/21
Hearth & Home At Urbana,OHL01926,2139R,9376535163,cthompson@chancellorhealth.com,1579 EAST STATE RT. 29,Urbana,OH,43078,Champaign,50,"H & H AT URBANA, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Hearth & Home At Vandalia,OHL3287,2341R,9372641140,ekeeley@chancellorhealth.com,55 GREAT HILL,Dayton,OH,45414,Montgomery,70,"H & H OF VANDALIA, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Hearth & Home Of Van Wert,OHL00887,2280R,4192322450,mparrettr@chancellorhealth.com,1118 WESTWOOD DRIVE,Van Wert,OH,45891,Van Wert,36,"H & H AT VAN WERT, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Hearth Brook,OHL01166,2125R,7403660005,jbickle@hearthbrook.org,331 GOOSEPOND ROAD,Newark,OH,43055,Licking,50,"BROOKDALE SENIOR LIVING COMMUNITIES, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Helen Purcell Home,OHL500105,0540R,7404531745,missy.miller@helenpurcell.org,1854 NORWOOD BOULEVARD,Zanesville,OH,43701,Muskingum,72,HELEN PURCELL HOME (CORP),RESIDENTIAL CARE FACILITY,6/29/21
Hennis Care Centre Of Dover,OHL01340,1645R,3303648849,hbaker@henniscarecentre.com,1720 CROSS STREET,Dover,OH,44622,Tuscarawas,8,PATRICIA HENNIS,RESIDENTIAL CARE FACILITY,6/29/21
Henry Inn,OHL42046,2784R,3307677439,operations@brewsterparke.com,360 WABASH AVENUE N,Brewster,OH,44613,Stark,32,BREWSTER PARKE INC.,RESIDENTIAL CARE FACILITY,6/29/21
Heritage Crossing Senior Living And Memory Care,OHL42131,2828R,3305103110,lcoble@heritagecrossingliving.com,251 NORTH CLEVELAND MASSILLON ROAD,Akron,OH,44333,Summit,112,NXM AKRON OPERATOR LLC,RESIDENTIAL CARE FACILITY,6/29/21
Heritage Inn The,OHL00879,2247R,4197280285,elizabeth@heritagecorner.com,1069 KLOTZ ROAD,Bowling Green,OH,43402,Wood,60,MARK H. MANLEY,RESIDENTIAL CARE FACILITY,6/29/21
Heritage Pointe,OHL00975,1845R,7404568245,srakers52@gmail.com,3304 RHODES AVENUE,New Boston,OH,45662,Scioto,116,"HERITAGE LEGACY HEALTH SERVICES, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Heritage The,OHL40440,1608R,4194241808,nicole.giesige@theheritagehc.com,2820 GREENACRE DRIVE,Findlay,OH,45840,Hancock,86,"TRILOGY HEALTHCARE OF HANCOCK, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Hill View Health Center,OHL00969,1657R,7403543135,jprose@hillviewretirement.org,1610 28TH STREET,Portsmouth,OH,45662,Scioto,110,HILLVIEW RETIREMENT CENTER,RESIDENTIAL CARE FACILITY,6/29/21
Hilliard Assisted Living & Memory Care,OHL41917,2725R,6143193305,jrankin@spectrumretirement.com,4303 TRUEMAN BOULEVARD,Hilliard,OH,43026,Franklin,115,"HILLIARD OPERATOR, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Hillside Assisted Living Community,OHL40114,2403R,9373762691,hillside130@gmail.com,130 ROGERS STREET,Xenia,OH,45385,Greene,35,"H & S HILLSIDE, INC.",RESIDENTIAL CARE FACILITY,6/29/21
"Hilty Memorial Home, Inc.",OHL00848,1672R,4193843218,smccluer@mhcoliving.org,5570 STATE ROUTE 12,Pandora,OH,45877,Putnam,37,"HILTY MEMORIAL HOME, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Holzer Assisted Living-Gallipolis,OHL01203,2277R,7404419633,tmccoy@holzer.org,300 BRIARWOOD DRIVE,Gallipolis,OH,45631,Gallia,96,HOLZER CONSOLIDATED HEALTH SYSTEMS,RESIDENTIAL CARE FACILITY,6/29/21
Holzer Assisted Living-Jackson,OHL01202,2276R,7402868785,mweddington@holzer.org,101 MARKHAM DRIVE,Jackson,OH,45640,Jackson,96,"JACKSON HEALTH PARTNERS, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Homestead At Gentlebrook The,OHL42004,2768R,3308777700,dhuckestein@gentlebrook.org,850 SUNNYSIDE STREET SW,Hartville,OH,44632,Stark,58,"GENTLEBROOK, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Homestead At Towne Center,OHL42321,2919R,4187711400,iburrell@healthcaremgrs.com,240 TOWNE CENTER BLVD,Van Wert,OH,45891,Van Wert,87,"VAN WERT ALMC, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Hoover Haus,OHL41129,2530R,6148757600,rbnrwn@aol.com,3675 HOOVER ROAD,Grove City,OH,43123,Franklin,22,"RNRN SERVICES, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Hudson Grande,OHL41701,2632R,3306539170,cwalker@hudsongrandeseniorliving.com,5400 DARROW ROAD,Hudson,OH,44236,Summit,118,"GABLES OF HUDSON TRS, LLC",RESIDENTIAL CARE FACILITY,6/29/21
"Hudson Senior Living, Llc",OHL42168,2851R,2342844504,tfuzo@danburyseniorliving.com,150 OMNI LAKE PARKWAY,Hudson,OH,44236,Summit,198,"BROOKWOOD MANAGEMENT COMPANY, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Humility House,OHL00417,2251R,3305050144,armesmer@mercy.com,755 OHLTOWN ROAD,Austintown,OH,44515,Mahoning,39,HUMILITY HOUSE,RESIDENTIAL CARE FACILITY,6/29/21
Hunters Run Of Bel Air,OHL41909,0881R,3308213939,rcfadmin@belaircare.com,2350 SOUTH CHERRY AVENUE,Alliance,OH,44601,Stark,16,"DAVID E. CHILDS, JR",RESIDENTIAL CARE FACILITY,6/29/21
Hyde Park Health Center,OHL500099,1238R,5132720600,vwallen@hydeparkhealthcenter.com,4001 ROSSLYN DRIVE,Cincinnati,OH,45209,Hamilton,56,"CINCINNATI SENIOR CARE, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Independence Village Of Aurora,OHL499927,2375R,3305621750,staylor@independencevillages.com,505 S CHILLICOTHE RD,Aurora,OH,44202,Portage,82,"SENIOR LIVING AURORA, LLC",RESIDENTIAL CARE FACILITY,6/29/21
