NAME,FACID,STATEID,MCARE_ID,TELEPHONE,FAXPHONE,FACEMAIL,ABBREV,ADDRESS,FAC_CITY,FAC_ST,FAC_ZIP,FACTYPE,OPERSTDESC,CLOSEDDATE,CNTYNAME,LIC_BED_TOTAL,OPENDATE,BED_EFFECTIVE_DATE,CERT_BED_TOTAL,OWNCOMP,OWNPHONE,OWNADDR,OWNCITY,OWNST,OWNZIP,PRIMARYOWN,OWNEROFCODE
LAURELS OF MASSILLON THE,OHL01472,2082R,,3308309988,3308300039,ssonego@laurelhealth.com,SL-R,"2000 SHERMAN CIRCLE, N.E.",MASSILLON,OH,44646,L12,ACTIVE,,STARK,10,6/6/06,5/4/20,0,"FAIRPORT ENTERPRISES, INC.",3308309988,"2000 SHERMAN CIRCLE, N. E.",MASSILLON,OH,44646,1,2
LAURELWOOD SENIOR LIVING,OHL01649,2032R,,9374366155,9374360480,jackie.coles@laurelwoodalf.com,SL-R,3797 SUMMIT GLEN DRIVE,DAYTON,OH,45449,L12,ACTIVE,,MONTGOMERY,135,10/6/94,12/8/04,0,"NIC 14 DAYTON LEASING, LLC",,,,,,1,2
LEGACY ASSISTED LIVING,OHL40355,2433R,,9373720359,9373720037, sthroop@nationalchurchresidences.org,SL-R,695 WYCLIFFE DRIVE,XENIA,OH,45385,L12,ACTIVE,,GREENE,83,3/21/06,12/22/16,0,LEGACY VILLAGE,,,,,,1,2
LEGACY ASSISTED LIVING COMMUNITY THE,OHL42309,2914R,,3303557000,3303557001,hpolonus@thelegacyalc.com,SL-R,8785 YOUNGSTOWN-KINGSVILLE ROAD,FARMDALE,OH,44417,L12,ACTIVE,,TRUMBULL,24,12/23/20,5/24/21,0,GUSTAVUS SENIOR CARE,3308564232,8785 YOUNGSTOWN-KINGSVILLE ROAD,FARMDALE,OH,44147,1,2
LEGACY AT FOREST GLEN THE,OHL41329,2556R,,9373909913,9373909915,michael.lacey@forestglenhc.com,SL-R,2165 MONTEGO DRIVE,SPRINGFIELD,OH,45503,L12,ACTIVE,,CLARK,30,12/23/09,12/23/09,0,"TRILOGY HEALTHCARE OPERATIONS OF SPRINGFIELD, LLC",,,,,,1,2
LEGACY AT HERITAGE ESTATES THE,OHL41184,2541R,,4194241808,4194242010,katie.brown@theheritagehc.com,SL-R,2801 GREENACRE DRIVE,FINDLAY,OH,45840,L12,ACTIVE,,HANCOCK,30,4/21/09,4/21/09,0,"TRILOGY HEALTHCARE OF HANCOCK, LLC",,,,,,1,
"LEGACY AT LIBERTY RIDGE, THE",OHL42030,2778R,,5133428889,5138476686,john.dombrowski@legacyatlibertyridge.com,SL-R,7200 HERITAGE SPRING DRIVE,WEST CHESTER,OH,45069,L12,ACTIVE,,BUTLER,60,5/30/17,5/30/17,0,"LIBERTY RIDGE OPCO, LLC",,,,,,1,2
"LEGACY AT LIBERTY RIDGE, THE",OHL42030,2778R,,5133428889,5138476686,john.dombrowski@legacyatlibertyridge.com,SL-R,7200 HERITAGE SPRING DRIVE,WEST CHESTER,OH,45069,L12,ACTIVE,,BUTLER,60,5/30/17,5/30/17,0,"THRIVE AT WEST CHESTER, LLC",,,,,,0,2
LEGACY PLACE - PARMA,OHL03229,1232R,,4408297027,4408874279,k.frankeberger@lhshealth.com,SL-R,7377 RIDGE ROAD,PARMA,OH,44129,L12,ACTIVE,,CUYAHOGA,100,9/12/00,2/7/03,0,"RIDGE-PLEASANT VALLEY, INC.",,,,,,0,
LEGACY PLACE - TWINSBURG,OHL00412,2240R,,3304056040,3304050944,mlackey@chcccompanies.com,SL-R,9928 VAIL DRIVE,TWINSBURG,OH,44087,L12,ACTIVE,,SUMMIT,56,6/15/99,1/6/10,0,"TWINSBURG HEALTHCARE CENTER, LLC",,,,,,1,2
LEGACY PLACE - TWINSBURG,OHL00412,2240R,,3304056040,3304050944,mlackey@chcccompanies.com,SL-R,9928 VAIL DRIVE,TWINSBURG,OH,44087,L12,ACTIVE,,SUMMIT,56,6/15/99,1/6/10,0,TWINSBURG - LEGACY ASSISTED LIVING LLC,,,,,,0,
LEVY GARDENS,OHL00382,2153R,,3307463570,3307463781,nhargate@jewishyoungstown.org,SL-R,584 GRANADA AVENUE,YOUNGSTOWN,OH,44505,L12,ACTIVE,,MAHONING,30,10/3/97,2/12/03,0,"HERITAGE MANOR, JEWISH HOME FOR AGED",,517 GYPSY LANE,YOUNGSTOWN,OH,44504,0,
LEVY GARDENS,OHL00382,2153R,,3307463570,3307463781,nhargate@jewishyoungstown.org,SL-R,584 GRANADA AVENUE,YOUNGSTOWN,OH,44505,L12,ACTIVE,,MAHONING,30,10/3/97,2/12/03,0,YOUNGSTOWN AREA JEWISH FEDERATION,3307463570,584 GRANADA AVE,YOUNGSTOWN,OH,44505,1,1
"LEXINGTON PLACE ASSISTED LIVING, LLC",OHL42318,2917R,,3303371730,3303371731,ejfabian@gracewoodshc.com,SL-R,2343 - 2345 LEXINGTON AVENUE,SALEM,OH,44460,L12,ACTIVE,,COLUMBIANA,32,3/8/21,3/8/21,0,"LEXINGTON PLACE ASSISTED LIVING, LLC",,2345 LEXINGTON AVENUE,SALEM,OH,44460,1,2
LIBERTY ARMS ASSISTED LIVING FACILITY,OHL00414,2113R,,3307592893,3307592920,pahlswede@windsorhouseinc.com,SL-R,1353 CHURCHILL - HUBBARD RD.,YOUNGSTOWN,OH,44505,L12,ACTIVE,,MAHONING,87,5/6/99,4/27/10,0,JOHN MASTERNICK,,,,,,0,2
LIBERTY ARMS ASSISTED LIVING FACILITY,OHL00414,2113R,,3307592893,3307592920,pahlswede@windsorhouseinc.com,SL-R,1353 CHURCHILL - HUBBARD RD.,YOUNGSTOWN,OH,44505,L12,ACTIVE,,MAHONING,87,5/6/99,4/27/10,0,DOROTHY MASTERNICK,,,,,,0,2
LIBERTY ARMS ASSISTED LIVING FACILITY,OHL00414,2113R,,3307592893,3307592920,pahlswede@windsorhouseinc.com,SL-R,1353 CHURCHILL - HUBBARD RD.,YOUNGSTOWN,OH,44505,L12,ACTIVE,,MAHONING,87,5/6/99,4/27/10,0,"LIBERTY ARMS ASSISTED LIVINGS, INC.",3307592893,1353 CHURCHILL-HUBBARD RD.,YOUNGSTOWN,OH,44505,1,1
LIBERTY RESIDENCE HOLDINGS LLC,OHL03216,2299R,,3303363616,3303349713,bevl@libertyresidence.com,SL-R,1054 FREEDOM DRIVE,WADSWORTH,OH,44281,L12,ACTIVE,,MEDINA,70,7/18/01,5/20/16,0,"SENQUEST MANAGEMENT, INC.",,,,,,1,2
LIBERTY VILLAGE SENIOR COMMUNITIES,OHL00990,2020R,,7407734630,7407734648,mike@abbingtononline.com,SL-R,1839 WESTERN AVENUE,CHILLICOTHE,OH,45601,L12,ACTIVE,,ROSS,43,7/7/94,1/9/02,0,"LIBERTY VILLAGE SENIOR COMMUNITIES, INC.",6147734630,1839 WESTERN AVE,CHILLICOTHE,OH,45601,0,2
"LIBERTY VILLAS OF LIMA, INC",OHL00869,2203R,,4193312273,4193312205,lnickles@libertynursingcenters.com,SL-R,2440 BATON ROUGE AVENUE,LIMA,OH,45805,L12,ACTIVE,,ALLEN,34,7/10/98,8/14/07,0,"LIBERTY VILLAS OF LIMA, INC.",,,,,,1,2
"LIBERTY VILLAS OF LIMA, INC",OHL00869,2203R,,4193312273,4193312205,lnickles@libertynursingcenters.com,SL-R,2440 BATON ROUGE AVENUE,LIMA,OH,45805,L12,ACTIVE,,ALLEN,34,7/10/98,8/14/07,0,"PLUS MANAGEMENT SERVICES, INC.",,3125 ADA RD,LIMA,OH,45801,0,1
LIGHT OF HEARTS VILLA,OHL00056,1917R,,4402321991,4402321782,breanne.cavileer@lightofheartsvilla.org,SL-R,283 UNION STREET,BEDFORD,OH,44146,L12,ACTIVE,,CUYAHOGA,109,7/26/90,2/20/03,0,"LIGHT OF HEARTS VILLA, INC.",4402321991,283 UNION ST,BEDFORD,OH,44146,0,2
LINCOLN PARK MANOR,OHL01637,1915R,,9372974300,9372974199,smeyer@laurelhealth.com,SL-R,694 ISAAC PRUGH WAY,KETTERING,OH,45429,L12,ACTIVE,,MONTGOMERY,34,9/5/89,1/14/02,0,LINCOLN PARK ASSOCIATES II L.P.,9372974300,694 ISSAC PRUGH WAY,KETTERING,OH,45429,1,2
LINDLEY INN THE,OHL01499,2237R,,7407979701,7407972088,jcash@chancellorhealth.com,SL-R,9000 HOCKING HILLS DRIVE,THE PLAINS,OH,45780,L12,ACTIVE,,ATHENS,86,5/28/99,1/7/02,0,"ATHENS HEALTH PARTNERS, LTD.",7407979701,9000 HOCKING HILLS DRIVE,THE PLAINS,OH,45780,1,2
LINDLEY INN THE,OHL01499,2237R,,7407979701,7407972088,jcash@chancellorhealth.com,SL-R,9000 HOCKING HILLS DRIVE,THE PLAINS,OH,45780,L12,ACTIVE,,ATHENS,86,5/28/99,1/7/02,0,"CHANCELLOR SENIOR MANAGEMENT, LTD",7407979701,9000 HOCKING HILLS DR,THE PLAINS,OH,45780,0,1
LIVING CENTER AT 10 WILMINGTON,OHL01642,1952R,,9372531010,9372533982,mbrooke@10wilmingtonplace.com,SL-R,10 WILMINGTON AVENUE,DAYTON,OH,45420,L12,ACTIVE,,MONTGOMERY,100,10/22/91,8/3/18,0,WILMINGTON MANAGEMENT COMPANY,9372531010,WILMINGTON AVE,DAYTON,OH,45420,1,2
LIVING CENTER AT 10 WILMINGTON,OHL01642,1952R,,9372531010,9372533982,mbrooke@10wilmingtonplace.com,SL-R,10 WILMINGTON AVENUE,DAYTON,OH,45420,L12,ACTIVE,,MONTGOMERY,100,10/22/91,8/3/18,0,BARRY HUMPHRIES,,10 WILMINGTON AVENUE,DAYTON,OH,45420,0,
LOCHHAVEN,OHL00836,0314R,,4192275450,4192241131,admin@limach.com,SL-R,1640 ALLENTOWN ROAD,LIMA,OH,45805,L12,ACTIVE,,ALLEN,100,2/1/58,2/20/03,0,"LIMA CONVALESCENT HOME FOUNDATION, INC.",4192275450,1640 ALLENTON RD,LIMA,OH,45805,1,1
LODGE RETIREMENT COMMUNITY THE,OHL01957,2231R,,5135833291,5135833295,tawnya@lodgeretirementcommunity.com,SL-R,12050 MONTGOMERY ROAD,CINCINNATI,OH,45249,L12,ACTIVE,,HAMILTON,70,3/1/00,9/13/05,0,"LOM MANAGEMENT, LLC",5136839966,12050 MONTGOMERY ROAD,CINCINNATI,OH,45249,1,2
LOUDONVILLE REST HOME,OHL00017,0211R,,4199944250,4199943271,pattyt7@frontier.com,SL-R,205 NORTH WATER STREET,LOUDONVILLE,OH,44842,L12,ACTIVE,,ASHLAND,25,6/1/58,1/31/02,0,"LOUDONVILLE NURSING HOME, INC.",4199944250,205 NORTH WATER ST,LOUDONVILLE,OH,44842,1,1
LUTHER HOUSE,OHL42249,2884R,,4408710090,4408924061,mnieberding@concordplace.org,SL-R,2154 DOVER CENTER ROAD,WESTLAKE,OH,44145,L12,ACTIVE,,CUYAHOGA,141,10/20/20,10/20/20,0,LUTHER HOUSE,4408710090,2216 DOVER CENTER RD,WESTLAKE,OH,44145,1,2
LUTHERAN HOME AT TOLEDO ASSISTED LIVING,OHL03214,2285R,,4197241414,4196931026,cvoyles-baden@genacross.org,SL-R,2519 SEAMAN STREET,TOLEDO,OH,43605,L12,ACTIVE,,LUCAS,66,6/7/00,2/1/02,0,"LUTHERAN HOMES SOCIETY, INC.",,,,,,1,2
LUTHERAN VILLAGE AT WOLF CREEK,OHL500088,2148R,,4198612233,4198612234,jkirkendall@genacross.org,SL-R,2015 PERRYSBURG-HOLLAND ROAD,HOLLAND,OH,43528,L12,ACTIVE,,LUCAS,100,9/9/97,2/24/03,0,"LUTHERAN HOMES SOCIETY, INC.",,,,,,1,2
LUTHERAN VILLAGE OF ASHLAND,OHL32943,2291R,,4192818403,4192070353,sbenner@lssnetworkofhope.org,SL-R,330 DAVIS ROAD,ASHLAND,OH,44805,L12,ACTIVE,,ASHLAND,60,9/28/00,1/28/02,0,"ASHLAND ASSISTED LIVING OPERATIONS, LLC",,,,,,1,2
MADISON HOUSE THE,OHL01169,2134R,,7408450145,7408451115,krussell@chancellorhealth.com,SL-R,351 KENY BOULEVARD,LONDON,OH,43140,L12,ACTIVE,,MADISON,88,7/31/97,4/19/17,0,"MADISON HEALTH PARTNERS, LLC",,,,,,1,
MAGNOLIA SPRINGS LOVELAND,OHL42056,2789R,,5137749000,5025151183,huffkatie@lcsnet.com,SL-R,767 LOVELAND MIAMIVILLE ROAD,LOVELAND,OH,45140,L12,ACTIVE,,CLERMONT,135,11/1/17,11/1/17,0,"GRANDVIEW CARE, INC",,,,,,0,2
MAGNOLIA SPRINGS LOVELAND,OHL42056,2789R,,5137749000,5025151183,huffkatie@lcsnet.com,SL-R,767 LOVELAND MIAMIVILLE ROAD,LOVELAND,OH,45140,L12,ACTIVE,,CLERMONT,135,11/1/17,11/1/17,0,"LCS LOVELAND, LLC",,,,,,1,2
MAGNOLIA TERRACE,OHL40014,2356R,,4194623900,4194623901,dkosikowski@alcoresenior.com,SL-R,1110 NORTH MARKET STREET,GALION,OH,44833,L12,ACTIVE,,CRAWFORD,65,2/14/02,9/9/10,0,"GALION ASSISTED LIVING, LTD.",4194623900,1110 NORTH MARKET STREET,GALION,OH,44833,1,2
MAGNOLIA TERRACE,OHL40014,2356R,,4194623900,4194623901,dkosikowski@alcoresenior.com,SL-R,1110 NORTH MARKET STREET,GALION,OH,44833,L12,ACTIVE,,CRAWFORD,65,2/14/02,9/9/10,0,NATHAN D. SABO,,1110 NORTH MARKET STREET,GALION,OH,44833,0,
MAJESTIC CARE FAIRFIELD ASSISTED LIVING,OHL40071,2366R,,5136994600,5136994644,ed.fnh@mcareohio.com,SL-R,5251 DIXIE HIGHWAY,FAIRFIELD,OH,45014,L12,ACTIVE,,BUTLER,230,6/18/02,9/16/10,0,"FAIRFIELD PAVILION, INC.",,,,,,0,2
MAJESTIC CARE FAIRFIELD ASSISTED LIVING,OHL40071,2366R,,5136994600,5136994644,ed.fnh@mcareohio.com,SL-R,5251 DIXIE HIGHWAY,FAIRFIELD,OH,45014,L12,ACTIVE,,BUTLER,230,6/18/02,9/16/10,0,"MAJESTIC CARE OF FAIRFIELD ASSISTED LIVING, LLC",,100 BOULEVARD OF THE AMERICAS C/O RIVKI KASS,LAKEWOOD,NJ,8701,1,2
MAJESTIC CARE MIDDLETOWN ASSISTED LIVING,OHL01606,0987R,,5134245321,5134205796,gm.mal@mcareohio.com,SL-R,6898 HAMILTON-MIDDLETOWN ROAD,MIDDLETOWN,OH,45042,L12,ACTIVE,,BUTLER,140,11/13/87,9/1/05,0,"GARDEN MANOR EXTENDED CARE CENTER, INC.",5134246321,"6898 HAMILTON-MIDDLETOWN RD.,",MIDDLETOWN,OH,45042,0,
MAJESTIC CARE MIDDLETOWN ASSISTED LIVING,OHL01606,0987R,,5134245321,5134205796,gm.mal@mcareohio.com,SL-R,6898 HAMILTON-MIDDLETOWN ROAD,MIDDLETOWN,OH,45042,L12,ACTIVE,,BUTLER,140,11/13/87,9/1/05,0,"MAJESTIC CARE MIDDLETOWN ASSISTED LIVING, LLC",,100 BOULEVARD OF THE AMERICAS C/O RIVKI KASS,LAKEWOOD,NJ,8701,1,2
MALLARD COVE,OHL01647,2008R,,5137726655,5137720162,jbrace@mallardcoveseniorliving.com,SL-R,1410 MALLARD COVE DRIVE,CINCINNATI,OH,45246,L12,ACTIVE,,HAMILTON,168,2/4/94,7/1/11,0,"MALLARD COVE SENIOR DEVELOPMENT, LLC",,,,,,1,
MANSFIELD PLACE,OHL00863,2177R,,4197565599,4197565578,lgrindle@enlivant.com,SL-R,1841 MIDDLE BELLVILLE ROAD,MANSFIELD,OH,44904,L12,ACTIVE,,RICHLAND,60,1/22/98,2/21/03,0,"BROOKDALE SENIOR LIVING COMMUNITIES, INC.",,,,,,0,2
MANSFIELD PLACE,OHL00863,2177R,,4197565599,4197565578,lgrindle@enlivant.com,SL-R,1841 MIDDLE BELLVILLE ROAD,MANSFIELD,OH,44904,L12,ACTIVE,,RICHLAND,60,1/22/98,2/21/03,0,MANSFIELD BG OPCO LLC,,,,,,1,2
MAPLE CREST OF MENNONITE MEMORIAL HOME,OHL00882,2255R,,4193587654,4193587644,dlee@mhcoliving.org,SL-R,700 MAPLE CREST COURT,BLUFFTON,OH,45817,L12,ACTIVE,,ALLEN,30,10/13/99,1/10/02,0,MENNONITE MEMORIAL HOME,4193587654,700 MAPLE CREST COURT,BLUFFTON,OH,45817,1,1
MAPLE KNOLL VILLAGE - BEECHER PLACE,OHL01618,1623R,,5137822787,5137721056,lwestermeyer@mkcommuniites.org,SL-R,11100 SPRINGFIELD PIKE,CINCINNATI,OH,45246,L12,ACTIVE,,HAMILTON,508,9/14/93,1/14/02,0,LIFESPHERE,5137822400,11100 SPRINGFIELD PIKE,CINCINNATI,OH,45246,1,1
MAPLE RIDGE SENIOR LIVING,OHL00427,2262R,,4402698600,4402692398,charris@mapleridgeseniorliving.com,SL-R,35300 KAISER COURT,WILLOUGHBY,OH,44094,L12,ACTIVE,,LAKE,110,11/30/99,7/29/09,0,EIGHT PACK MANAGEMENT CORP.,,,,,,0,
MAPLE RIDGE SENIOR LIVING,OHL00427,2262R,,4402698600,4402692398,charris@mapleridgeseniorliving.com,SL-R,35300 KAISER COURT,WILLOUGHBY,OH,44094,L12,ACTIVE,,LAKE,110,11/30/99,7/29/09,0,MARRIOTT SENIOR LIVING,4402698600,35300 KAISER COURT,WILLOUGHBY,OH,44094,0,1
MAPLE RIDGE SENIOR LIVING,OHL00427,2262R,,4402698600,4402692398,charris@mapleridgeseniorliving.com,SL-R,35300 KAISER COURT,WILLOUGHBY,OH,44094,L12,ACTIVE,,LAKE,110,11/30/99,7/29/09,0,"ARROW SENIOR LIVING WILLOUGHBY, LLC",,,,,,1,2
MAPLE RIDGE SENIOR LIVING,OHL00427,2262R,,4402698600,4402692398,charris@mapleridgeseniorliving.com,SL-R,35300 KAISER COURT,WILLOUGHBY,OH,44094,L12,ACTIVE,,LAKE,110,11/30/99,7/29/09,0,EMERITUS CORPORATION,,,,,,0,
MAPLECREST ASSISTED LIVING,OHL00673,1158R,,4195624988,4195624883,maplecrestkds@yahoo.com,SL-R,717 ROGERS STREET,BUCYRUS,OH,44820,L12,ACTIVE,,CRAWFORD,24,6/1/64,8/9/11,0,"KING'S DAUGHTERS & SONS, OHIO BRANCH",4195624988,717 ROGERS ST,BUCYRUS,OH,44820,1,1
MAPLEWOOD AT CHARDON,OHL00428,2264R,,4402853300,4402792474,chardoned@maplewoodsl.com,SL-R,12350 BASS LAKE ROAD,CHARDON,OH,44024,L12,ACTIVE,,GEAUGA,140,11/26/99,1/16/02,0,"MAPLEWOOD AT HEATHER HILL, LLC",,,,,,1,2
MAPLEWOOD AT CUYAHOGA FALLS,OHL41912,2722R,,2342089871,,cuyahogaed@maplewoodsl.com,SL-R,190 WEST BATH ROAD,CUYAHOGA FALLS,OH,44223,L12,ACTIVE,,SUMMIT,84,1/25/16,8/28/17,0,"MAPLEWOOD AT BATH CREEK, LLC",,,,,,1,2
MAPLEWOOD AT TWINSBURG,OHL41956,2741R,,3308407404,3308407408,twinsburged@maplewoodsl.com,SL-R,2463 SUSSEX BOULEVARD,TWINSBURG,OH,44087,L12,ACTIVE,,SUMMIT,84,8/24/16,8/24/16,0,"MAPLEWOOD AT TWINSBURG, LLC",,,,,,1,2
MAPLEWOOD OF SHANE'S VILLAGE,OHL01919,1492R,,4193632620,4193632354,imarkovits@divine-hc.com,SL-R,10701 STATE ROUTE 118,ROCKFORD,OH,45882,L12,ACTIVE,,MERCER,30,12/15/91,1/25/02,0,"SHANE HILL REHABILITATION AND NURSING CENTER, LLC",,1080 MCDONALD AVENUE,BROOKLYN,NY,11230,1,2
MAPLEWOOD OF SHANE'S VILLAGE,OHL01919,1492R,,4193632620,4193632354,imarkovits@divine-hc.com,SL-R,10701 STATE ROUTE 118,ROCKFORD,OH,45882,L12,ACTIVE,,MERCER,30,12/15/91,1/25/02,0,"LAURELS OF ROCKFORD, INC. THE",4193632191,10701 STATE ROUTE 1181,ROCKFORD,OH,45882,0,
MARIAN LIVING CENTER,OHL00393,2060R,,3305492434,3305490701,melessa_scattino@mercy.com,SL-R,9800 MARKET STREET,NORTH LIMA,OH,44452,L12,ACTIVE,,MAHONING,60,6/4/98,1/7/02,0,HUMILITY OF MARY HEALTH PARTNERS,,1044 BELMONT AVENUE,YOUNGSTOWN,OH,44501,0,
MARIAN LIVING CENTER,OHL00393,2060R,,3305492434,3305490701,melessa_scattino@mercy.com,SL-R,9800 MARKET STREET,NORTH LIMA,OH,44452,L12,ACTIVE,,MAHONING,60,6/4/98,1/7/02,0,ASSUMPTION VILLAGE THE,3305490740,9800 MARKET ST,NORTH LIMA,OH,44452,1,1
MARIAN LIVING CENTER,OHL00393,2060R,,3305492434,3305490701,melessa_scattino@mercy.com,SL-R,9800 MARKET STREET,NORTH LIMA,OH,44452,L12,ACTIVE,,MAHONING,60,6/4/98,1/7/02,0,CATHOLIC HEALTHCARE PARTNERS,,615 ELSIMORE PLACE,CINCINNATI,OH,45202,0,
MARJORIE P LEE RETIREMENT,OHL500091,0034R,,5135335002,5135335096,estambaugh@erslife.org,SL-R,3550 SHAW AVENUE,CINCINNATI,OH,45208,L12,ACTIVE,,HAMILTON,191,5/1/64,11/9/20,0,"EPISCOPAL RETIREMENT HOMES, INC.",5132725555,3870 VIRGINIA AVENUE,CINCINNATI,OH,45227,1,2
MARTHA MANOR HOME,OHL01330,0083R,,7402825623,7402826087,marthamanor@sbcglobal.net,SL-R,408 NORTH FIFTH STREET,STEUBENVILLE,OH,43952,L12,ACTIVE,,JEFFERSON,22,11/1/51,1/7/02,0,MARTHA COCHRAN MCCONVILLE MEMORIAL,7402825623,408 NORTH FIFTH ST,STEUBENVILLE,OH,43952,0,1
MARYMOUNT PLACE,OHL00397,2207R,,2163321100,2163321742,not available,SL-R,5100 MARYMOUNT VILLAGE DR,GARFIELD HEIGHTS,OH,44125,L12,ACTIVE,,CUYAHOGA,104,5/20/99,9/7/06,0,VILLAGE AT MARYMOUNT,,,,,,1,
MASON ASSISTED LIVING & MEMORY CARE,OHL42199,2864R,,3038878656,5132340508,edinnesen@spectrumretirement.com,SL-R,5225 COX SMITH ROAD,MASON,OH,45040,L12,ACTIVE,,WARREN,174,7/11/19,7/11/19,0,"MASON OPERATOR, LLC",,,,,,1,2
MASON HEALTH CARE CENTER,OHL01913,0009R,,5133982881,5133982118,cdaasch@masonhcc.org,SL-R,5640 COX-SMITH ROAD,MASON,OH,45040,L12,ACTIVE,,WARREN,10,5/1/48,10/8/02,0,MASON HEALTH CARE CENTER,,,,,,0,2
MASON HEALTH CARE CENTER,OHL01913,0009R,,5133982881,5133982118,cdaasch@masonhcc.org,SL-R,5640 COX-SMITH ROAD,MASON,OH,45040,L12,ACTIVE,,WARREN,10,5/1/48,10/8/02,0,"MASON HEALTHCARE, LLC",,5640 COX-SMITH ROAD,MASON,OH,45040,1,2
MAYFAIR VILLAGE RETIREMENT COMMUNITY,OHL00970,1685R,,6148896202,6148998685,dmseltzer@centurypa.com,SL-R,3011 HAYDEN ROAD,COLUMBUS,OH,43235,L12,ACTIVE,,FRANKLIN,172,3/25/98,1/17/02,0,CONSOLIDATED RESOURCES HEALTH CARE FUND II – MAYFA,,,,,,1,2
MCCREA MANOR NURSING & REHAB CENTER,OHL01479,1804R,,3308239005,,troy.maldoven@hgohio.com,SL-R,2040 MCCREA STREET,ALLIANCE,OH,44601,L12,ACTIVE,,STARK,16,5/9/97,6/21/11,0,THI OF COLUMBUS INC,,910 RIDGEBROOK ROAD,SPARKS,MD,21152,0,
MCCREA MANOR NURSING & REHAB CENTER,OHL01479,1804R,,3308239005,,troy.maldoven@hgohio.com,SL-R,2040 MCCREA STREET,ALLIANCE,OH,44601,L12,ACTIVE,,STARK,16,5/9/97,6/21/11,0,MCCREA OPERATING COMPANY LLC,6144590445,1616 OLD HENDERSON ROAD,COLUMBUS,OH,43220,1,2
MCCREA MANOR NURSING & REHAB CENTER,OHL01479,1804R,,3308239005,,troy.maldoven@hgohio.com,SL-R,2040 MCCREA STREET,ALLIANCE,OH,44601,L12,ACTIVE,,STARK,16,5/9/97,6/21/11,0,"HEALTHCARE VENTURES OF OHIO, LLC",,,,,,0,
MCGREGOR ASSISTED LIVING,OHL42240,2879R,,2168518112,2168230704,magan.frame@mcgregoramasa.org,SL-R,14850 PRIVATE DRIVE,EAST CLEVELAND,OH,44112,L12,ACTIVE,,CUYAHOGA,90,12/23/19,12/23/19,0,THE MCGREGOR FOUNDATION,,,,,,1,2
MCMULLEN ASSISTED CARE,OHL41025,2513R,,4199945405,4199945410,john@mcmullencare.com,SL-R,201 SCHOOL DRIVE,LOUDONVILLE,OH,44842,L12,ACTIVE,,ASHLAND,16,10/1/08,7/29/11,0,"MCMULLEN ASSISTED CARE, INC.",,,,,,1,2
"MCV - HEALTH CARE FACILITIES, INC",OHL01644,1962R,,5133981486,5133985518,bob.slade@christianbenevolent.org,SL-R,411 WESTERN ROW ROAD,MASON,OH,45040,L12,ACTIVE,,WARREN,214,10/3/91,1/28/05,0,"MCV-HEALTH CARE FACILITIES, INC.",5133981486,411 WESTERN ROW RD,MASON,OH,45040,1,1
MEADOWS AT FRIENDSHIP VILLAGE,OHL00972,1746R,,6147171600,6147649372,jessicaj@fvdublin.org,SL-R,6000 RIVERSIDE DRIVE,DUBLIN,OH,43017,L12,ACTIVE,,FRANKLIN,46,7/2/81,2/19/03,0,"FRIENDSHIP VILLAGE OF DUBLIN, OHIO, INC.",6147641600,RIVERSIDE DR,DUBLIN,OH,,1,1
MEADOWS OF DELPHOS THE,OHL42102,2811R,,4196920590,4196920591,stephanie.schoenlein@meadowsofdelphos.com,SL-R,800 AMBROSE DRIVE,DELPHOS,OH,45833,L12,ACTIVE,,ALLEN,41,3/28/18,3/28/18,0,"TRILOGY HEALTHCARE OF ALLEN, LLC",,,,,,1,2
MEADOWS OF KALIDA THE,OHL40762,2484R,,4195322961,4195322962,kris.schroeder@meadowsofkalida.com,SL-R,755 OTTAWA STREET,KALIDA,OH,45853,L12,ACTIVE,,PUTNAM,66,7/2/07,4/2/14,0,"TRILOGY HEALTHCARE OF PUTNAM, LLC",,,,,,1,2
MEADOWS OF LEIPSIC THE,OHL00685,1996R,,4199432103,4199432104,stephanie.keaton@meadowsofleipsic.com,SL-R,901 EAST MAIN STREET,LEIPSIC,OH,45856,L12,ACTIVE,,PUTNAM,62,1/7/97,8/19/13,0,"TRILOGY HEALTHCARE OF PUTNAM III, LLC",,,,,,1,2
MEADOWS OF OTTAWA THE,OHL41831,2680R,,4195234092,4195230021,james.sherry@meadowsofottawa.com,SL-R,147 PUTNAM PARKWAY,OTTAWA,OH,45875,L12,ACTIVE,,PUTNAM,32,12/3/14,12/3/14,0,"TRILOGY HEALTHCARE OF PUTNAM II, LLC",4194883911,,,OH,,1,2
MELLON MEADOWS CARE CENTER,OHL01883,2036R,,5135755052,5135755053,bcasey@continuinghc.com,SL-R,1659 STATE ROUTE 28,GOSHEN,OH,45122,L12,ACTIVE,,CLERMONT,30,11/3/94,1/1/02,0,"ALS GOSHEN, INC",,,,,,1,2
MEMORIES OF MARIE,OHL41811,2675R,,7405371500,7405371505,alms.bhaught@gmail.com,SL-R,710 MARKET STREET,TORONTO,OH,43964,L12,ACTIVE,,JEFFERSON,17,10/7/14,10/7/14,0,"ASSISTED LIVING MINISTRY SERVICES, LLC",,,,,,1,2
