State Facility Type 1 Literal,Facility ID,Zip Code,Facility Name,Address,License Number,City,State,County,Phone Number,Capacity,Date Accessed
ASSISTED LIVING HOME-DIRECTED,AL8535,85024,Grace & Mercy Assisted Living,322 EAST RIMROCK DRIVE,AL8535H,Phoenix,AZ,Maricopa,(623)518-2938,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10889,85226,Grace Assisted Living Home,5372 WEST GERONIMO STREET,AL10889H,Chandler,AZ,Maricopa,(602)423-0569,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11854,85053,"Grace Assisted Living Ii, Llc",3420 WEST ANGELA DRIVE,AL11854H,Phoenix,AZ,Maricopa,(602)863-1811,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11853,85053,"Grace Assisted Living, Llc",3426 WEST ANGELA DRIVE,AL11853H,Phoenix,AZ,Maricopa,(602)863-1811,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11091,85331,"Grace Hill Assisted Living, L L C",4550 EAST BAJADA ROAD,AL11091H,Cave Creek,AZ,Maricopa,(480)454-4525,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL8827,85086,Grace Hill Ranch Llc,37509 NORTH 16TH STREET,AL8827H,Phoenix,AZ,Maricopa,(623)465-4650,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10950,85053,"Grace Hill Special Care, Llc",2866 WEST MURIEL DRIVE,AL10950H,Phoenix,AZ,Maricopa,(602)517-9294,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10507,85710,Grace Home Assisted Living,2301 SOUTH QUAIL HOLLOW DRIVE,AL10507H,Tucson,AZ,Pima,(520)312-0225,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11081,85345,Grace Living Care,8340 NORTH 86TH LANE,AL11081H,Peoria,AZ,Maricopa,(623)233-2600,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL8826,85225,Grace Manor,1330 EAST IVANHOE STREET,AL8826H,Chandler,AZ,Maricopa,(480)855-0169,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL4155,85225,Grace Manor Of Arizona Ii,314 WEST CROFTON STREET,AL4155H,Chandler,AZ,Maricopa,(480)361-1133,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL6096,85349,Grace'S Place Assisted Living Home,447 EAST VILLA STREET,AL6096H,San Luis,AZ,Yuma,(928)722-6670,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL9898,85040,Graceful Hands Home Care,5241 SOUTH 3RD STREET,AL9898H,Phoenix,AZ,Maricopa,(602)761-5917,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11425,85132,Graceful Waters,5777 EAST FLOWING SPRING,AL11425H,Florence,AZ,Pinal,(480)252-9795,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11860,85248,Graceville Estate Llc,619 WEST CITRUS WAY,AL11860H,Chandler,AZ,Maricopa,(480)251-8931,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10813,86326,Gracious Granny'S,1420 SOUTH BATES ROAD,AL10813H,Cottonwood,AZ,Yavapai,(928)282-3656,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL8986,85742,"Grama'S Home, Llc",9950 NORTH WILD CREEK DRIVE,AL8986H,Tucson,AZ,Pima,(520)349-2248,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10039,85710,Grandma'S Angel #2,1532 SOUTH PERLMAN AVENUE,AL10039H,Tucson,AZ,Pima,(520)393-9389,9,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL7896,85254,"Grandview Assisted Living, Llc",5938 EAST GRANDVIEW ROAD,AL7896H,Scottsdale,AZ,Maricopa,(602)354-7618,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11603,85284,Grandview Gardens,9580 SOUTH GRANDVIEW DRIVE,AL11603H,Tempe,AZ,Maricopa,(480)580-5035,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10573,85032,Great Heart Adult Assisted Living Home,3241 EAST CORRINE DRIVE,AL10573H,Phoenix,AZ,Maricopa,(602)315-8464,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10224,85286,Green Acres Assisted Living Home Llc,2821 EAST IRIS DRIVE,AL10224H,Chandler,AZ,Maricopa,(480)636-8284,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL8661,85710,Green Gables Home Care,6417 EAST BAYLOR DRIVE,AL8661H,Tucson,AZ,Pima,(520)514-0928,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL7262,85295,Greenfield Assisted Living 2,4023 EAST HARRISON STREET,AL7262H,Gilbert,AZ,Maricopa,(480)634-6156,8,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL7261,85296,Greenfield Assisted Living I,2481 EAST SIERRA MADRE AVENUE,AL7261H,Gilbert,AZ,Maricopa,(480)507-0802,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10685,85254,"Greenway Home Care, Llc",5801 EAST BECK LANE,AL10685H,Scottsdale,AZ,Maricopa,(623)332-0974,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10483,85306,"Greenway Oasis Assisted Living Facility, Llc",15233 NORTH 66TH LANE,AL10483H,Glendale,AZ,Maricopa,(623)521-8931,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11405,85379,"Greer Ranch Assisted Living, Llc",16062 WEST DESERT HILLS DRIVE,AL11405H,Surprise,AZ,Maricopa,(480)634-0907,9,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL9608,85027,Gregoria Manor,1007 WEST MOHAWK LANE,AL9608H,Phoenix,AZ,Maricopa,(602)448-5856,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10353,85308,Grovers Assisted Living Llc,7230 WEST GROVERS AVENUE,AL10353H,Glendale,AZ,Maricopa,(602)368-9242,9,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL9315,85345,Guardian Care Assisted Living,9071 NORTH 97TH DRIVE,AL9315H,Peoria,AZ,Maricopa,(480)369-0743,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL9270,85297,"Guiding Angels Assisted Living, Llc",3678 EAST THORNTON AVENUE,AL9270H,Gilbert,AZ,Maricopa,(480)350-7628,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10394,85323,Gwee'S Comfort Assisted Living Home,11210 WEST CHASE DRIVE,AL10394H,Avondale,AZ,Maricopa,(508)271-5150,6,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11395,85051,Gwee'S Comfort Assisted Living Ii Corporation,3135 WEST HAYWARD AVENUE,AL11395H,Phoenix,AZ,Maricopa,(508)271-5150,8,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11625,85023,"Gwee'S Comfort Assisted Living Iii, Llc",512 WEST ANDERSON AVENUE,AL11625H,Phoenix,AZ,Maricopa,(508)271-5150,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL9913,85295,H & A Family Care Home,1812 SOUTH RACINE LANE,AL9913H,Gilbert,AZ,Maricopa,(480)273-8875,6,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10692,85716,Hacienda De Caring Hands Llc,3624 EAST CALLE DEL PRADO,AL10692H,Tucson,AZ,Pima,(520)647-2421,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10429,85718,Hacienda De Luna Assisted Living,1310 EAST INA ROAD,AL10429H,Tucson,AZ,Pima,(520)989-3818,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL5670,85018,Hacienda Granada,4040 EAST HIGHLAND AVENUE,AL5670H,Phoenix,AZ,Maricopa,(602)952-1582,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL6433,85021,Halyna'S Care,2107 WEST ORANGEWOOD AVENUE,AL6433H,Phoenix,AZ,Maricopa,(602)561-9959,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL9627,85260,Hands Of Care,11444 NORTH 88TH PLACE,AL9627H,Scottsdale,AZ,Maricopa,(480)264-6044,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11736,85044,Happy And Healthy Assisted Living,4302 EAST WHITE ASTER,AL11736H,Phoenix,AZ,Maricopa,(602)785-1724,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL8550,85282,Happy Foster Family Adult Care Home Llc,2421 EAST CAIRO DRIVE,AL8550H,Tempe,AZ,Maricopa,(480)307-6033,9,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10708,85382,Happy Hearts Assisted Living,8331 WEST WILLOWBROOK DRIVE,AL10708H,Peoria,AZ,Maricopa,(623)328-9660,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11643,85306,Happy Living Care Home,6403 WEST SANDRA TERRACE,AL11643H,Glendale,AZ,Maricopa,(623)882-6545,7,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10102,85249,"Happy Together Assisted Living, Llc",371 EAST TORREY PINES PLACE,AL10102H,Chandler,AZ,Maricopa,(480)809-2877,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10539,85140,"Harmony Adult Living Solution, Inc.",3960 EAST BRAE VOE WAY,AL10539H,San Tan Valley,AZ,Pinal,(480)794-1603,9,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10093,85033,Harmony Gardens Llc,6301 WEST EARLL DRIVE,AL10093H,Phoenix,AZ,Maricopa,(480)233-6481,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL6729,85234,Harmony Palm Care Home,1214 NORTH PALM STREET,AL6729H,Gilbert,AZ,Maricopa,(480)926-2262,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11526,85308,Hartford Assisted Living,3736 WEST HARTFORD AVENUE,AL11526H,Glendale,AZ,Maricopa,(480)628-3008,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10139,85395,"Harvard House Of Care, Llc",14628 WEST HARVARD STREET,AL10139H,Goodyear,AZ,Maricopa,(623)518-3259,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL9763,85138,Haven House Az,17652 NORTH AVELINO DRIVE,AL9763H,Maricopa,AZ,Pinal,(520)472-2376,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10637,85260,Hayden Estates Assisted Living,7585 EAST SWEETWATER AVENUE,AL10637H,Scottsdale,AZ,Maricopa,(951)565-0172,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10089,85260,Hayden Villa,7917 EAST CACTUS ROAD,AL10089H,Scottsdale,AZ,Maricopa,(480)459-8206,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10815,85251,Hazelwood Manor Assisted Living,8319 EAST HAZELWOOD STREET,AL10815H,Scottsdale,AZ,Maricopa,(480)656-0614,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10196,85282,Healing Gardens Assisted Living Care Home,4638 SOUTH  PARKSIDE DRIVE,AL10196H,Tempe,AZ,Maricopa,(602)579-1577,4,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL9880,85028,"Healing Gardens Assisted Living Care Home, Llc",12034 NORTH 29TH STREET,AL9880H,Phoenix,AZ,Maricopa,(602)633-2610,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11376,85635,Healing Hearts Assisted Living,777 GOLF LINKS ROAD,AL11376H,Sierra Vista,AZ,Cochise,(520)678-1937,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL1532,85206,Heart Prints Elderly Care,4221 EAST HOLMES CIRCLE,AL1532H,Mesa,AZ,Maricopa,(480)981-5685,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11660,85335,Heart To Heart Adult Care Home,14801 NORTH B STREET,AL11660H,El Mirage,AZ,Maricopa,(623)444-7406,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11727,85379,Heart To Heart Assisted Living Llc,16224 WEST ACAPULCO CIRCLE,AL11727H,Surprise,AZ,Maricopa,(623)980-7416,8,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL3330,85718,Heatherwood,4520 NORTH HEATHERWOOD PLACE,AL3330H,Tucson,AZ,Pima,(520)529-1570,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL9371,85339,Heaven Can Wait,4205 WEST SIOUX STREET,AL9371H,Laveen,AZ,Maricopa,(602)237-8301,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL8269,85051,Heaven On Earth Assisted Living Home,3843 WEST BERYL AVENUE,AL8269H,Phoenix,AZ,Maricopa,(602)237-6913,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10904,85711,Heavenly Assisted Living Facility,444 SOUTH COLONIA AVENUE,AL10904H,Tucson,AZ,Pima,(520)393-9359,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11150,85741,Heavenly Haven Assisted Living Home Llc,8174 NORTH PLANTATION PLACE,AL11150H,Tucson,AZ,Pima,(520)572-6205,8,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11575,85710,Heights At Caring Hands,602 SOUTH WILMOT ROAD,AL11575H,Tucson,AZ,Pima,(520)358-0643,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11173,85388,"Helen Assisted Living Home, Llc",16407 WEST RIMROCK STREET,AL11173H,Surprise,AZ,Maricopa,(623)248-1371,8,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL1266,85306,Hellens Adult Care Home,6245 WEST KINGS AVENUE,AL1266H,Glendale,AZ,Maricopa,(602)439-7057,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL8398,85713,Helping Hands 2,2157 WEST JACKALOPE PLACE,AL8398H,Tucson,AZ,Pima,(520)838-0713,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10007,85085,Helping Hands Ach,27215 NORTH 23RD LANE,AL10007H,Phoenix,AZ,Maricopa,(623)466-0176,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11235,85249,Helping Hands Assisted Care Home,4411 SOUTH NEWPORT STREET,AL11235H,Chandler,AZ,Maricopa,(480)802-0347,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11796,85387,Helping Hands Assisted Living,17039 WEST ALAMEDA ROAD,AL11796H,Surprise,AZ,Maricopa,(646)427-2493,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11421,85286,Henry'S Place Assisted Living Facility,1399 SOUTH BOGLE COURT,AL11421H,Chandler,AZ,Maricopa,(480)590-2241,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11075,85085,Heritage Assisted Living At Northerra,2330 WEST QUAIL TRACK DRIVE,AL11075H,Phoenix,AZ,Maricopa,(602)469-7066,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL7752,85053,"Heritage Care Home, Llc",2707 WEST CHARLESTON AVENUE,AL7752H,Phoenix,AZ,Maricopa,(602)298-7497,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL9573,85233,Heritage Manor Assisted Living Llc,1271 NORTH KINGSTON STREET,AL9573H,Gilbert,AZ,Maricopa,(480)907-7735,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL8021,85739,"Heritage Manor At Lago Del Oro, L L C",16325 NORTH LAGO DEL ORO PKWY,AL8021H,Tucson,AZ,Pima,(520)818-2488,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11571,85710,Heritage Oaks Assisted Living,6569 EAST CARONDELET DRIVE,AL11571H,Tucson,AZ,Pima,(520)907-1163,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10040,85083,Herman & Novella Clancy Assisted Living Home,4617 WEST MOON BLOSSUM LANE,AL10040H,Phoenix,AZ,Maricopa,(623)434-5057,9,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10921,86314,Hidden Oasis,6081 NORTH DODGE DRIVE,AL10921H,Prescott Valley,AZ,Yavapai,(928)772-3616,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11740,85249,Highland Assisted Living I I Llc,4807 EAST THUNDERBIRD DRIVE,AL11740H,Chandler,AZ,Maricopa,(480)286-2912,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10794,85224,Highland Assisted Living Llc,1040 NORTH VILLAS LANE,AL10794H,Chandler,AZ,Maricopa,(480)659-2001,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL7636,85308,Highland Lakes Care Home,6076 WEST PIUTE AVENUE,AL7636H,Glendale,AZ,Maricopa,(602)410-2512,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL4738,85308,Highland Park Assisted Living Home,19512 NORTH 66TH AVENUE,AL4738H,Glendale,AZ,Maricopa,(623)362-3545,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL8875,85234,"Higley House Care Home, Llc",885 NORTH LOS GATOS LANE,AL8875H,Gilbert,AZ,Maricopa,(480)832-8032,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL9935,85225,Hilda'S Haven #1,1970 EAST ROSS DRIVE,AL9935H,Chandler,AZ,Maricopa,(480)855-0681,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10869,85248,Hilda'S Haven Alf #2,760 WEST LOCUST DRIVE,AL10869H,Chandler,AZ,Maricopa,(480)883-7636,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11454,85249,Hilda'S Haven Alf #3,2530 EAST YELLOWSTONE PLACE,AL11454H,Chandler,AZ,Maricopa,(480)207-0355,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11700,85249,Hilda'S Haven Alf #4,6567 SOUTH GARNET WAY,AL11700H,Chandler,AZ,Maricopa,(480)207-0355,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11828,85249,Hilda'S Haven Alf #5,1090 EAST KAIBAB PLACE,AL11828H,Chandler,AZ,Maricopa,(480)207-0355,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL9140,85310,Hillcrest Assisted Living Llc,7254 WEST WILLIAMS DRIVE,AL9140H,Glendale,AZ,Maricopa,(623)570-2500,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10765,85020,Hillside Senior Living,1546 EAST EL CAMINO DRIVE,AL10765H,Phoenix,AZ,Maricopa,(602)758-5230,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10719,85286,Holy Name Assisted Living 2,2571 SOUTH EILEEN DRIVE,AL10719H,Chandler,AZ,Maricopa,(480)207-1192,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10720,85225,"Holy Name Assisted Living, L L C",112 SOUTH NEBRASKA STREET,AL10720H,Chandler,AZ,Maricopa,(480)912-5388,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL9198,85741,"Holy Trinity Assisted Living, Llc",3965 WEST MASSINGALE ROAD,AL9198H,Tucson,AZ,Pima,(520)329-8889,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL2529,85710,Home Away From Home,8742 EAST APPOMATTOX,AL2529H,Tucson,AZ,Pima,(520)245-7515,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL9128,85379,"Home Care At Marley Park, Inc",13024 NORTH 154TH LANE,AL9128H,Surprise,AZ,Maricopa,(623)476-5741,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL7579,85023,"Home Care Choice, Llc",119 WEST BECK LANE,AL7579H,Phoenix,AZ,Maricopa,(602)314-6266,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10422,86404,Home Is Where The Heart Is,"3708 HIAWATHA DRIVE, UNIT A & B",AL10422H,Lake Havasu City,AZ,Mohave,(928)302-1017,9,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL9348,85395,"Home Of Helping Hands Assisted Living, Llc",4429 NORTH 156TH DRIVE,AL9348H,Goodyear,AZ,Maricopa,(623)536-7170,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL5294,85208,Home Sweet Home,6814 EAST MIRABEL AVENUE,AL5294H,Mesa,AZ,Maricopa,(480)924-5624,6,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL6265,85251,Home Sweet Home On Cheery Lynn,8701 EAST CHEERY LYNN ROAD,AL6265H,Scottsdale,AZ,Maricopa,(480)675-0101,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL6174,85206,Home Sweet Home On Florian,3942 EAST FLORIAN AVENUE,AL6174H,Mesa,AZ,Maricopa,(480)654-1005,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10678,85215,Home Sweet Home On Leland Ii,4034 EAST LELAND STREET,AL10678H,Mesa,AZ,Maricopa,(240)426-2495,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11024,85379,Hope Assisted Living,14123 WEST HOPE DRIVE,AL11024H,Surprise,AZ,Maricopa,(602)653-8557,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10900,85138,Hope Care Assisted Living,43204 WEST MCCORD DRIVE,AL10900H,Maricopa,AZ,Pinal,(520)582-0367,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10679,86401,Hope Haven Assisted Living Home,2615 CHAMBER AVENUE,AL10679H,Kingman,AZ,Mohave,(928)279-4580,7,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10764,85712,"Hope Springs Memory Care, Llc",4762 EAST ADAMS STREET,AL10764H,Tucson,AZ,Pima,(520)392-8575,9,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL4957,85743,"Horizon Acres Assisted Living Home, Inc.",6481 NORTH SILVERBELL ROAD,AL4957H,Tucson,AZ,Pima,(520)744-8222,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL8104,85308,Horizon Assisted Living Home Llc,19728 NORTH 79TH AVENUE,AL8104H,Glendale,AZ,Maricopa,(602)527-3199,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11238,85383,Horizon Home Assisted Living Llc,7198 WEST CAMINO DE ORO,AL11238H,Peoria,AZ,Maricopa,(708)724-6063,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL8718,85254,Horizon Manor 2,5645 EAST NISBET ROAD,AL8718H,Scottsdale,AZ,Maricopa,(480)823-8848,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL8441,85295,House Of Comfort,2325 SOUTH GRANITE STREET,AL8441H,Gilbert,AZ,Maricopa,(480)214-3062,7,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10336,85143,House Of Dignity Assisted Living Llc,214 WEST DANISH RED TRAIL,AL10336H,Queen Creek,AZ,Pinal,(614)900-6111,6,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL8468,85541,"Houston Creek Assisted Living, Llc",210 SOUTH HOUSTON CREEK CIRCLE,AL8468H,Star Valley,AZ,Gila,(928)951-2467,7,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL7075,85746,Hummingbird Assisted Living Home,1828 WEST SAUVIGNON DRIVE,AL7075H,Tucson,AZ,Pima,(520)269-6927,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL7006,85022,Hummingbird Gardens,16024 NORTH 17TH WAY,AL7006H,Phoenix,AZ,Maricopa,(602)485-1500,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10414,85383,Hummingbird Grove Peoria Llc,22834 NORTH 90TH DRIVE,AL10414H,Peoria,AZ,Maricopa,(323)273-3556,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11615,85254,Hummingbird Haven,14628 NORTH 49TH PLACE,AL11615H,Scottsdale,AZ,Maricopa,(480)207-9022,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL7125,85711,Hummingbird Manor #1,5602 EAST HOLMES STREET,AL7125H,Tucson,AZ,Pima,(520)270-5888,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL7286,85711,Hummingbird Manor #2,602 NORTH ALAMO AVENUE,AL7286H,Tucson,AZ,Pima,(520)270-5888,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL5896,85210,Ibransie Loving Care Home,1103 WEST MENDOZA AVENUE,AL5896H,Mesa,AZ,Maricopa,(480)964-1935,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10755,85212,Ideal Assisted Living - Olla,7212 EAST OLLA AVENUE,AL10755H,Mesa,AZ,Maricopa,(480)543-9377,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11832,85208,Immaculate Heart Assisted Living Llc,851 SOUTH SABRINA,AL11832H,Mesa,AZ,Maricopa,(480)696-9674,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11048,85308,Imperium Alh,4727 WEST ORAIBI DRIVE,AL11048H,Glendale,AZ,Maricopa,(602)920-1112,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL9859,85326,"In Angel Arms, Llc.",22868 WEST HOPI,AL9859H,Buckeye,AZ,Maricopa,(623)327-9983,6,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10619,85225,Infinite Care For Elderly-Alh,1203 EAST GERONIMO PLACE,AL10619H,Chandler,AZ,Maricopa,(480)732-1822,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11745,85297,Infinite Care In Gilbert,3092 EAST KINGBIRD DRIVE,AL11745H,Gilbert,AZ,Maricopa,(480)334-3558,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10918,86322,Inge'S Uniquely Warm Assisted Living Home,1625 SOUTH SULLIVAN LANE,AL10918H,Camp Verde,AZ,Yavapai,(928)274-4694,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11138,85248,"Innovative Care Assisted Living Facility, Llc",102 WEST ELMWOOD PLACE,AL11138H,Chandler,AZ,Maricopa,(480)687-8973,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL0411,85032,Insight Guest Home,15433 NORTH 45TH STREET,AL0411H,Phoenix,AZ,Maricopa,(602)494-2575,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL5800,85382,Integrity Adult Care Home,20493 NORTH 91ST DRIVE,AL5800H,Peoria,AZ,Maricopa,(602)716-1189,8,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL8745,85382,Integrity Adult Care Home 1,8952 WEST MELINDA LANE,AL8745H,Peoria,AZ,Maricopa,(602)716-1189,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10595,85257,Integrity Care Llc,1721 NORTH 74TH PLACE,AL10595,Scottsdale,AZ,Maricopa,(480)252-9122,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11491,85383,Integrity Memory Care Llc,9326 WEST LOUISE DRIVE,AL11491H,Peoria,AZ,Maricopa,(602)686-9648,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11452,85032,Intouch Assisted Living,4350 EAST ST JOHN ROAD,AL11452H,Phoenix,AZ,Maricopa,(623)201-8545,8,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL9031,85083,Iocam Assisted Living Home,6128 WEST GAMBIT TRAIL,AL9031H,Phoenix,AZ,Maricopa,(623)266-7929,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL8156,85367,Ironwood Estate Assisted Living,11893 SOUTH IRONWOOD DRIVE,AL8156H,Yuma,AZ,Yuma,(928)305-6270,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11047,85635,Isaiah'S Angels,1934 EXETER DRIVE,AL11047H,Sierra Vista,AZ,Cochise,(520)224-5465,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10549,85388,Ivy Lane Assisted Living Llc,18379 WEST IVY LANE,AL10549H,Surprise,AZ,Maricopa,(623)544-2805,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL0475,85051,J M J Adult Care Home,7754 NORTH 33RD AVENUE,AL0475H,Phoenix,AZ,Maricopa,(602)841-9186,10,7/13/21
