Facility Name,State Facility Type 1 Literal,Status,City,Address,Email Address,Facility ID,Capacity,County,Zip Code,Phone Number
Rose of Ames,Assisted Living Programs,Active,Ames,1315 Coconino Road,,S0209,112,Story,50014-8035,(515) 268-8828
Rose of Council Bluffs,Assisted Living Programs,Active,Council Bluffs,2306 Sherwood Drive,,S0318,152,Pottawattamie,51503,(712) 322-1000
Rose of Des Moines,Assisted Living Programs,Active,Des Moines,1330 19th Street,,S0223,104,Polk,50314-5000,(515) 244-3300
Rose of Dubuque,Assisted Living Programs,Active,Dubuque,3390 Lake Ridge Drive,,S0331,140,Dubuque,52003,(563) 556-1977
Rose Of East Des Moines,Assisted Living Programs,Active,Des Moines,1331 Idaho Street,,S0282,128,Polk,50316-2463,(515) 883-1000
Rose Of Waterloo,Assisted Living Programs,Active,Waterloo,421 Oak Avenue,,S0266,128,Black Hawk,50703-3401,(319) 232-6061
Rotary Senior Living,Residential Care Facilities,Active,Eagle Grove,620 Se Fifth Street,Tara.Behrendsen@rotaryseniorliving.com; financial@rotaryseniorliving.com,990615,16,Wright,50533-0000,(515) 448-5124
Ruthven Community Care Center,Assisted Living Programs,Active,Ruthven,2701 Mitchell Street,,S0147,30,Palo Alto,51358-7741,(712) 837-5411
Scenic Acres,Residential Care Facilities,Active,St Olaf,23105 Granite Avenue,shirleyc961@hotmail.com,220378,15,Clayton,52072-8049,(563) 245-2640
Scottish Rite Park-rcf,Residential Care Facilities,Active,Des Moines,2909 Woodland Avenue,dboor@scottishritepark.org,771117,25,Polk,50312-3822,(515) 274-4614
Senior Living Center,Residential Care Facilities,Closed,Pocahontas,313 Ne Fifth Street,,760762,43,Pocahontas,50574-1733,(712) 335-3375
Senior Star At Elmore Place Assisted Living,Assisted Living Programs,Active,Davenport,4500 Elmore Avenue,abuchholz@seniorstar.com,S0295,270,Scott,52807-2597,(563) 359-0100
Senior Suites Of Urbandale,Assisted Living Programs,Active,Urbandale,4700 84th St,,S0098,100,Polk,50322-7352,(515) 270-9700
Senior Suites of Urbandale,Residential Care Facilities,Active,Urbandale,4700 84th Street,,770702,35,Polk,50322-1091,(515) 270-9700
Seventh Heaven,Residential Care Facilities,Closed,Dubuque,1321 Tomahawk,iahst@earthlink.net,310945,0,Dubuque,52003-0000,(563) 557-9110
Sheffield Care Center,Residential Care Facilities,Closed,Sheffield,100 Bennett Drive,admin@sheffieldcarecenter.com,350857,4,Franklin,50475-0400,(641) 892-4691
Shirlees Retirement Home,Residential Care Facilities,Active,Indianola,1302 East Second Avenue,,910597,14,Warren,50125-2804,(515) 961-6673
Shores at Pleasant Hill,Assisted Living Programs,Active,Pleasant Hill,1500 Edgewater Drive,,S0382,210,Polk,50327,(515) 262-4444
Sigourney AL,Assisted Living Programs,Active,Sigourney,810 South Stone Street,,S0144,18,Keokuk,52591-1244,(641) 622-2971
Silver Palms,Assisted Living Programs,Active,Mt. Pleasant,126 W. Stonebrook Drive,,S0373,38,Henry,52641,(319) 931-6901
Silver Pond Assisted Living,Assisted Living Programs,Active,Wellman,1400 6th Ave N.,,S0160,20,Washington,52356-9232,(319) 646-5802
"Silveridge, An Eventide Community, LLC",Assisted Living Programs,Active,Denison,222 South 20th Street,,S0315,72,Crawford,51442,(712) 263-2639
Siouxland Residential Services,Residential Care Facilities,Closed,Sioux City,1600 County Home Road,,970530,120,Woodbury,51106-6932,(712) 943-5093
Sitler Center For Helpful Living,Assisted Living Programs,Closed,Washington,1015 South Iowa Avenue,cmarshall@wesleylife.org,S0392,18,Washington,52353,(319) 653-7264
Skiff Med Center Al,Assisted Living Programs,Closed,Newton,204 N 4th Ave E,,S0114,9,Jasper,50208-0000,(641) 791-4328
Solon Assisted Living Village,Assisted Living Programs,Active,Solon,623 E. 5th Street,,S0306,36,Johnson,52333,(319) 624-5353
Southcrest Manor Ii,Assisted Living Programs,Active,Waukon,602 2nd St Sw,,S0221,32,Allamakee,52172-2242,(563) 568-4207
Southfield Wellness Community AL,Assisted Living Programs,Active,Webster City,2414 Des Moines Street,,S0141,50,Hamilton,50595-3514,(515) 832-3715
Spectra Health Care,Residential Care Facilities,Closed,Storm Lake,5726 120th Avenue,spectra1@alta-tec.net,110175,46,Buena Vista,50588-7568,(712) 732-4118
Spring Creek Independent And Assisted Living,Assisted Living Programs,Active,Armstrong,110 2nd Avenue,,S0302,24,Emmet,50514,(712) 868-5567
Springvale Assisted Living,Assisted Living Programs,Active,Humboldt,1050 15th Street North,,S0203,32,Humboldt,50548-1076,(515) 332-7660
Spurgeon Manor,Residential Care Facilities,Active,Dallas Center,1204 Linden Street,mcahill@spurgeonmanor.com,250199,30,Dallas,50063-1052,(515) 992-3735
St Katharines Living Center,Residential Care Facilities,Closed,Davenport,901 Tremont Avenue,,820795,110,Scott,52803-5638,(563) 324-1601
Stacyville Community Nursing Home,Residential Care Facilities,Active,Stacyville,413 South Broad Street,scnh.kfravel@gmail.com,660408,15,Mitchell,50476-5003,(641) 710-2215
Stanard Family Assisted Living Center,Assisted Living Programs,Active,Cedar Falls,420 E 11th St,,S0036,109,Black Hawk,50613-3364,(319) 277-2141
Stirlingshire Of Coralville Al,Assisted Living Programs,Active,Coralville,1140 Kennedy Parkway,JACKIE.SCOTT@FAIRVIEW.ORG,S0444,112,Johnson,52241,(319) 338-8100
Stonebridge Suites,Assisted Living Programs,Active,Cherokee,921 Riverview Drive,,S0158,24,Cherokee,51012-1578,(712) 225-5724
Stonebridge Suites Of Bancroft,Assisted Living Programs,Active,Bancroft,548 East Ramsey,,S0294,18,Kossuth,50517,(515) 885-2463
Stonebridge Suites Of Milford,Assisted Living Programs,Active,Milford,1401 H Avenue,,S0298,44,Dickinson,51351,(712) 338-4742
Stonehill Care Center Rcf,Residential Care Facilities,Closed,Dubuque,3485 Windsor Avenue,pstockel@stonehilldbq.com,310824,41,Dubuque,52001-1312,(563) 557-7180
Stoney Brook Village,Assisted Living Programs,Active,West Union,705 South Pine Street,,S0238,72,Fayette,52175-1548,(563) 422-7145
Storm Residential Home,Residential Care Facilities,Closed,Knoxville,1721 Highway 14,,630585,8,Marion,50138-8703,(641) 828-7766
Suites of Ankeny,Assisted Living Programs,Active,Ankeny,420 NW Ash Drive,,S0357,68,Polk,50021,(515) 635-0936
Summit Heights,Assisted Living Programs,Active,Nora Springs,8 S Summit Ave,,S0060,16,Floyd,50458-8638,(641) 749-2411
Summit House Assisted Living,Assisted Living Programs,Active,Britt,600 1st Street Nw,,S0336,90,Hancock,50423,(641) 843-3333
Summit Pointe Senior Living,Assisted Living Programs,Active,Marion,3505 English Glen Avenue,,S0398,178,Linn,52302,(319) 373-4242
Sunnybrook AL,Assisted Living Programs,Closed,Fairfield,3000 West Madison Avenue,,S0104,8,Jefferson,52556-0000,(641) 469-5778
Sunnybrook Living Care Center,Residential Care Facilities,Closed,Fairfield,400 Highland Street,"telston@sunnybrooklivingcarecenter.com; 
 lhanson@sunnybrooklivingcarecenter.com",510236,8,Jefferson,52556,(641) 209-1600
Sunnycrest Manor,Residential Care Facilities,Closed,Dubuque,2375 Roosevelt Street,cris.kirsch@dubuquecounty.us,310304,16,Dubuque,52001-1392,(563) 583-1781
Sunnycrest Residential Care,Residential Care Facilities,Closed,Des Moines,1039 M L King Jr Parkway,,770570,22,Polk,50314-1202,(515) 243-4102
Sunrise Assisted Living Suites,Assisted Living Programs,Active,Traer,599 Taylor Street,,S0297,30,Tama,50675,(319) 478-2730
Sunrise Villa,Assisted Living Programs,Active,Bellevue,308 North 12th Street,,S0030,36,Jackson,52031-1944,(563) 872-5521
Sunset Knoll Inc,Residential Care Facilities,Closed,Aurelia,401 West 5th Street,sunknoll@newwmtel.net,180325,13,Cherokee,51005-0067,(712) 434-2294
Swales Assisted Living,Assisted Living Programs,Closed,Strawberry Point,313 Elkader St.,cleachman@splh.org,S0303,17,Clayton,52076,(563) 933-6037
Swan House,Assisted Living Programs,Closed,Carroll,1024 E 12th St,cmasching@alcco.com,S0031,83,Carroll,51401-3913,(712) 792-6974
Swan Place,Assisted Living Programs,Active,Carroll,1024 E. 12th Street,,S0349,83,Carroll,51401,(712) 792-6974
Sykora'S Managed Care,Residential Care Facilities,Closed,Cedar Rapids,1330 First Avenue Nw,,570247,15,Linn,52405-0000,(319) 365-8421
Sylvan Woods,Residential Care Facilities,Closed,Ottumwa,Two Pennsylvania Place,,900730,0,Wapello,52501-0000,(641) 684-4000
Systems Unlimited #11,Residential Care Facilities,Active,Iowa City,1801 High Street,"Chris.Alexander@sui.org,Jen.Simmering@sui.org",520288,6,Johnson,52245-6099,(319) 338-9212
Taylor Ridge Estates,Residential Care Facilities,Closed,Lenox,805 N Home Avenue,bmarxen@taylorridgeestates.org,870320,50,Taylor,50851-0010,(641) 333-2221
"Terrace AL of Hillcrest Home, Inc.",Assisted Living Programs,Active,Sumner,915 West 1st Street,deanna.kahler@westernhome.org,S0363,32,Bremer,50674,(563) 578-8591
Terrace Glen Village,Assisted Living Programs,Active,Marion,3400 Alburnett Road,,S0386,68,Linn,52302,(319) 377-9000
Terrace Park Sr Living,Assisted Living Programs,Active,Leon,201sw Lorraine,,S0109,32,Decatur,50144-1182,(641) 446-8396
Terrace View Residential,Residential Care Facilities,Closed,Clarinda,1040 West State Street,terraceview@clarinda.heartland.net,730242,44,Page,51632-0000,(712) 542-3530
Terrace View Residential,Residential Care Facilities,Closed,Clarinda,1020 West State Street,l.matheny@gendeviowa.com,730943,15,Page,51632-0000,(712) 542-3530
The Abbey Of Lemars Rcf,Residential Care Facilities,Closed,Lemars,320 First Avenue Se,dderoch99@yahoo.com,750489,52,Plymouth,51031-2099,(712) 546-7844
The Alverno Senior Living Community,Residential Care Facilities,Active,Clinton,849 13th Avenue North,nielsetm@mercyhealth.com,230199,41,Clinton,52732,(563) 242-1521
The Larabee Center,Residential Care Facilities,Closed,Waverly,1951 Larrabee Avenue,,90619,37,Bremer,50677-9803,(319) 352-2234
The New Homestead,Assisted Living Programs,Active,Guthrie Center,2306 State St,,S0087,28,Guthrie,50115-8896,(641) 332-2204
The Presbyterian Village Of Ackley,Residential Care Facilities,Closed,Ackley,502 Butler Street,jhinders@presvillage.com,420418,40,Hardin,50601-1730,(641) 847-3531
The Woodlands ( Now Listed As Silvercrest At Woodlands Creek),Assisted Living Programs,Closed,,,IowaPal@aol.com,,136,Polk,50325,(515) 223-9755
Thornton Heights Assisted Living,Assisted Living Programs,Active,Lansing,1329 Main St,,S0183,26,Allamakee,52151-9615,(563) 538-4335
Timberland Assisted Living At Deerfield,Assisted Living Programs,Closed,Urbandale,13731 Hickman Road,brenda.ballard@lcrc.net,S0217,48,Polk,50323-2193,(515) 267-0438
Timberland Village,Assisted Living Programs,Active,Story City,725 Timberland Drive,,S0162,48,Story,50248-8772,(515) 733-6500
Tower Living Center,Assisted Living Programs,Active,Garnavillo,"103 Centre Street, Box 477",,S0247,7,Clayton,52049,(563) 964-9090
Turner Pointe Assisted Living,Assisted Living Programs,Active,McGregor,1203 Buell Avenue,,S0246,18,Clayton,52157-7501,(563) 873-3527
Twilight Acres,Residential Care Facilities,Active,Wall Lake,600 West Sixth Street,awunscheltwiacres@netins.net,810342,18,Sac,51466-0000,(712) 664-2488
Valborg Lutheran Home,Residential Care Facilities,Closed,Des Moines,1101 Grandview Avenue,lcsvalborg@aol.com,770300,46,Polk,50316-1500,(515) 265-1629
Valley Lodge AL,Assisted Living Programs,Active,Correctionville,1118 East Hwy. 20,,S0140,18,Woodbury,51016-8056,(712) 372-4466
Valley View Assisted Living,Assisted Living Programs,Active,North English,"150 W. Washington, PO Box 430",,S0185,24,Iowa,52316-9514,(319) 664-3257
Valley View Manor Al,Assisted Living Programs,Active,Muscatine,2421 Lutheran Dr,,S0121,28,Muscatine,52761-9382,(563) 263-1241
Village Assisted Living,Assisted Living Programs,Active,Des Moines,2571 Guthrie Avenue,,S0308,108,Polk,50317-3096,(515) 265-2571
Village Northwest Unlimited,Residential Care Facilities,Active,Sheldon,330 Village Circle,bwhitsell@villagenorthwest.org,710546,8,O'Brien,51201-1299,(712) 324-4873
Village Terrace Al,Assisted Living Programs,Closed,Keosauqua,302 Franklin,Julie.ludwig@vbch.org; kasha.kite@vbch.org,S0174,20,Van Buren,52565-1165,(319) 293-3171
Vintage Hills Retirement Community AL,Assisted Living Programs,Active,Indianola,604 E. Hillcrest Avenue,,S0390,70,Warren,50125,(515) 961-1924
Vista Prairie At Fieldcrest AL,Assisted Living Programs,Active,Sheldon,2501 East 6th Street,,S0426,138,O'Brien,51201,(712) 324-2338
Vita Health Services,Residential Care Facilities,Active,Des Moines,1725 Sixth Avenue,vitahealth2020@gmail.com,770488,15,Polk,50314-3304,(515) 244-1895
Walden Point,Assisted Living Programs,Closed,Des Moines,1200 Fourth Street,waldenpoint@keywaymanagement.com,S0240,120,Polk,50314-3102,(515) 288-9985
Walnut Ridge,Assisted Living Programs,Active,Clive,1701 Campus Drive,,S0396,88,Polk,50325,(515) 457-1111
Walton Group Home,Residential Care Facilities,Active,Burlington,2101 Northern Drive,maureen.richenberger@hopehavencorp.com; jacque.worden@hopehavencorp.com,290960,12,Des Moines,52601-2230,(319) 752-8805
Waukon Living Ctr,Assisted Living Programs,Closed,Waukon,209 2nd Ave Sw,manager@waukonlivingcenter.com,S0032,15,Allamakee,52172-1900,(563) 568-2915
Wayne County Care Facility,Residential Care Facilities,Closed,Corydon,1858 110th St,,930009,15,Wayne,50060-8749,(641) 872-1830
Webster Health Care,Residential Care Facilities,Closed,Fort Dodge,1940 225th Street,,940480,0,Webster,50501-9766,(515) 955-8545
WEL-Life at Alta,Assisted Living Programs,Active,Alta,705 W 7th St,,S0096,57,Buena Vista,51002-1525,(712) 200-2620
WEL-Life at Spirit Lake,Assisted Living Programs,Active,Spirit Lake,1819 23rd St,,S0025,53,Dickinson,51360-7096,(712) 336-3553
Wellington Place,Residential Care Facilities,Closed,Decorah,2479 River Road,smarnin@wellingtonplacedecorah.com,960443,40,Winneshiek,52101-7596,(563) 382-9691
Wellington Place,Assisted Living Programs,Active,Decorah,2475 River Road,,S0252,68,Winneshiek,52101-7591,(563) 382-2292
Wesley Acres Central AL,Assisted Living Programs,Active,Des Moines,3520 Grand Ave,,S0075,126,Polk,50312-4359,(515) 271-6500
Wesley Acres Rcf,Residential Care Facilities,Active,Des Moines,3520 Grand Avenue,bkranovich@wesleylife.org,770287,27,Polk,50312-4397,(515) 271-6500
WesleyLife the Village,Assisted Living Programs,Active,Indianola,1203 North E Street,ewalton2@wesleylife.org,S0212,28,Warren,50125-3276,(515) 961-7458
West Liberty AL Residences,Assisted Living Programs,Active,West Liberty,1000 North Miller Street,,S0118,36,Muscatine,52776-1102,(319) 627-4775
Westhaven Community,Assisted Living Programs,Active,Boone,112 West 4th Street,,S0321,40,Boone,50036,(515) 432-1393
Westminster House Iii,Residential Care Facilities,Closed,Des Moines,940 Cummins Parkway,lindac@bhrci.org,770484,7,Polk,50312-1100,(515) 699-8627
Westside Assisted Living Suites,Assisted Living Programs,Active,Clarksville,110 Ely Street,,S0334,24,Butler,50619,(319) 278-4900
Whispering Creek Senior Living,Assisted Living Programs,Active,Sioux City,2609 Nicklaus Blvd.,,S0425,78,Woodbury,51106,(712) 276-2091
White Oak Estates,Assisted Living Programs,Active,Oskaloosa,914 N. 12th St.,,S0134,24,Mahaska,52577-2416,(641) 673-4443
Willow Dale Independent & Assisted Living,Assisted Living Programs,Active,Battle Creek,118 North Ida Street,,S0180,20,Ida,51006-9425,(712) 365-4338
Willow Heights,Residential Care Facilities,Active,Atlantic,60191 Willow Street,jsteffens@p4progress.org,150850,43,Cass,50022-8172,(712) 243-3411
Willow Winds Assisted Living,Assisted Living Programs,Active,Denver,121 Bremer Avenue,,S0370,48,Bremer,50622,(319) 984-5867
Willows (the),Assisted Living Programs,Active,Stuart,324 SW 6th Street,,S0122,24,Adair,50250-2169,(515) 523-2815
Willows Of Marshalltown,Assisted Living Programs,Active,Marshalltown,2315 Campbell Drive,,S0385,62,Marshall,50158,(641) 758-3123
Windhaven Assisted Living Center,Assisted Living Programs,Active,Cedar Falls,5500 South Main Street,,S0388,166,Black Hawk,50613,(319) 277-2141
Winding Creek Meadows,Assisted Living Programs,Active,Jesup,1044 9th Street,,S0338,48,Buchanan,50648,(319) 827-1052
Woodland Park Assisted Living,Assisted Living Programs,Active,Anamosa,1207 East Third Street,,S0253,32,Jones,52205-1569,(319) 462-2668
