Entity Name,Entity Type,Status,City,Address,Email,Renewal Cycle,Entity Type Renewal Cycle(months),Initial License Date,Expiration Date,Current License Date,Entity Type Survey Cycle(months),Medicaid #,CNN #,Classification #,Occupancy Type,Max Occupancy,County,State,Zip,Administrator / License,Phone,Fax,Url,Closed Date,Months since last survey,Accreditation,Accredited / Deemed,LSC Waiver,Licensure Rule Variance
Highland Ridge,Assisted Living Programs,Active,Williamsburg,100 Village View Circle,,730,24,7/27/04,7/26/22,7/26/20,24,,,S0196,Units,94,Iowa,Iowa,52361-9684,Krista Humphrey / Administrator,(319) 668-3800,(319) 668-3801,,,34,FALSE,FALSE,FALSE,FALSE
Higley Mansion Care Center,Residential Care Facilities,Closed,Cedar Rapids,860 17th Street Se,,365,12,11/1/95,8/1/21,8/1/20,30,,,570031,Beds,50,Linn,Iowa,52403-2610,JUDY TUCKER /,(319) 364-6710,(319) 364-5918,,4/8/21,15,FALSE,FALSE,FALSE,FALSE
Hill Boarding Home #1,Residential Care Facilities,Closed,Des Moines,1711 Tenth Street,,365,12,5/5/01,,,30,891119,,770632,Beds,12,Polk,Iowa,50314-2414,MARGARET  SCHEUERMANN /,(515) 244-2194,(515) 243-0235,,3/28/01,249,FALSE,FALSE,FALSE,FALSE
Hill Group Home #2,Residential Care Facilities,Closed,Des Moines,1720 Seventh Street,,365,12,3/26/77,,,30,891127,,770743,Beds,12,Polk,Iowa,50314-2901,MARGARET  SCHEUERMANN /,(515) 243-5411,(515) 243-0235,,3/28/01,249,FALSE,FALSE,FALSE,FALSE
Hillcrest Court,Assisted Living Programs,Closed,Sidney,115 Main Street,,365,24,6/13/02,,,24,,,S0145,Beds,9,Fremont,Iowa,51652-0000,Lisa  Ehlenkamp /,(712) 374-2693,(712) 274-3064,,7/27/05,,FALSE,FALSE,FALSE,FALSE
Hillcrest Family Services - Rcf,Residential Care Facilities,Active,Dubuque,1160 Seippel Road,,365,12,,10/25/21,10/25/20,30,893636,,310829,Beds,66,Dubuque,Iowa,52002-9647,TODD BIRCH /,(563) 583-1791,,,,22,FALSE,FALSE,FALSE,FALSE
Hillcrest Family Services - Rcf,Residential Care Facilities,Closed,Dubuque,13034 Seippel Road,todd.birch@hillcrest-fs.org,365,12,1/1/87,10/25/13,10/25/12,30,,,310829,Beds,72,Dubuque,Iowa,52002,TODD BIRCH /,(563) 583-1791,(563) 583-7026,,4/7/14,,FALSE,FALSE,FALSE,FALSE
Hillcrest House,Residential Care Facilities,Closed,Cedar Rapids,1744 Second Avenue Se,,365,12,12/26/99,,,30,890756,,570078,Beds,14,Linn,Iowa,52403-0000,ERICA  ROFHSTEIN /,(319) 365-1205,(319) 365-0153,,9/17/13,,FALSE,FALSE,FALSE,FALSE
Hillcrest Residence,Residential Care Facilities,Closed,Iowa City,214 Church Street,,365,12,9/1/83,,,30,892687,,520027,Beds,14,Johnson,Iowa,52245-1902,ANDY  WEIGEL /,(319) 337-7315,(319) 337-3138,,7/16/99,,FALSE,FALSE,FALSE,FALSE
Hillside Estates,Residential Care Facilities,Closed,Williamsburg,2227 225th Street,hillsideadmin@hughes.net,365,12,6/1/90,6/1/08,6/2/07,30,895219,,480653,Beds,63,Iowa,Iowa,52361-8503,NANCY  VAN PATTEN /,(319) 668-1659,(319) 668-9863,,12/18/07,169,FALSE,FALSE,FALSE,FALSE
Hillside Terrace,Assisted Living Programs,Closed,Spencer,1209 12th Street Se,kerri.kofoot@stlukelh.com,720,24,7/29/05,7/28/17,8/8/15,24,,,S0216,Units,50,Clay,Iowa,51301-6090,Kerri Kofoot /,(712) 262-5934,(712) 580-5934,,9/14/16,68,FALSE,FALSE,FALSE,FALSE
Hilltop Manor,Residential Care Facilities,Closed,Pella,408 Jefferson Street,lgarrard@pellahealth.org,365,12,1/1/00,1/1/14,1/1/13,30,896456,,630485,Beds,59,Marion,Iowa,50219-1298,LORI GARRARD /  02213,(641) 628-1381,(641) 628-9067,,12/5/13,97,FALSE,FALSE,FALSE,FALSE
Hilltop Manor South Ii,Residential Care Facilities,Closed,Pella,413 Jefferson Street,nbakken@pellahealth.org,365,12,1/1/00,,,30,896449,,630153,Beds,50,Marion,Iowa,50219-1295,NANCY  BAKKEN / 1989,(641) 628-1100,(641) 628-1101,,3/31/04,215,FALSE,FALSE,FALSE,FALSE
Hofstader Residential Home,Residential Care Facilities,Closed,Estherville,1720 First Avenue North,,365,12,7/1/04,,,30,890566,,320038,Beds,5,Emmet,Iowa,51334-0000,GARY  HOFSTADER / 1408,(712) 362-2210,(712) 362-8013,,11/19/03,224,FALSE,FALSE,FALSE,FALSE
Holland Farms Senior Living,Assisted Living Programs,Active,Norwalk,2800 Sunset Drive,,730,24,5/14/21,5/14/23,5/14/21,24,,,S0448,Units,120,Warren,Iowa,50211,Debra Chatman /,(515) 981-1888,(515) 850-5181,,,,FALSE,FALSE,FALSE,FALSE
Holy Spirit Al For Dementia,Assisted Living Programs,Closed,Sioux City,1701 W 25th St,,365,24,1/21/00,,,24,,,S0015,Beds,22,Woodbury,Iowa,51103-0000,Patrick  Tomscha /,(712) 252-2726,(712) 252-2728,,7/27/05,,FALSE,FALSE,FALSE,FALSE
Homestead Assisted Living,Assisted Living Programs,Active,Mason City,2501 W. State Street,,730,24,5/27/99,5/25/21,5/26/19,24,,,S0045,Units,70,Cerro Gordo,Iowa,50401-8916,Susan Wiley /,(641) 423-4809,(641) 423-0441,,,25,FALSE,FALSE,FALSE,FALSE
Homestead of Albia,Assisted Living Programs,Active,Albia,6592 165th Street,,730,24,2/1/13,1/31/23,1/31/21,24,,,S0333,Units,70,Monroe,Iowa,52531,Amanda Atwell /,(641) 932-2102,(641) 932-7997,,,22,FALSE,FALSE,FALSE,FALSE
Homestead of Chariton,Assisted Living Programs,Active,Chariton,1110 North 6th Street,,730,24,5/10/06,5/9/22,5/9/20,24,,,S0233,Units,70,Lucas,Iowa,50049-1265,Kristen Milledge /,(641) 774-2303,(641) 774-2515,,,9,FALSE,FALSE,FALSE,FALSE
Homestead Of Creston Al,Assisted Living Programs,Active,Creston,1709 West Prairie,mjameson@homesteadofosceola.com,720,24,2/27/20,2/26/22,3/8/20,24,,,S0429,Units,76,Union,Iowa,50801,Michelle Jameson /,(641) 782-3131,(641) 782-3176,,,8,FALSE,FALSE,FALSE,FALSE
Homestead of Knoxville,Assisted Living Programs,Active,Knoxville,908 South Park Lane,,730,24,12/3/01,12/2/21,12/3/19,24,,,S0132,Units,122,Marion,Iowa,50138-3176,Bailey Stone / Director,(641) 828-7878,(641) 828-2184,,,18,FALSE,FALSE,FALSE,FALSE
"Homestead Of Osceola Operations, LLC",Assisted Living Programs,Active,Osceola,334 N. West View Drive,,730,24,9/26/18,9/25/22,9/25/20,24,,,S0391,Units,74,Clarke,Iowa,50213,Michelle Jameson /,(641) 342-1036,(641) 342-1039,,,2,FALSE,FALSE,FALSE,FALSE
Homestead of Oskaloosa,Assisted Living Programs,Active,Oskaloosa,2107 South Market Street,,730,24,2/18/20,2/22/22,2/23/20,24,,,S0428,Units,96,Mahaska,Iowa,52577,Candice Fuller /,(641) 672-1090,(641) 672-1116,,,15,FALSE,FALSE,FALSE,FALSE
Hope Haven Residential Training Center,Residential Care Facilities,Closed,Orange City,4353 Ironwood Avenue,dsassman@hopehaven.org,365,12,,3/5/10,3/5/09,30,892745,,840548,Beds,15,Sioux,Iowa,51041-7567,DENNIS SASSMAN /,(712) 737-4508,(712) 737-8879,,5/29/09,166,FALSE,FALSE,FALSE,FALSE
Horizons Unlimited,Residential Care Facilities,Active,Emmetsburg,2201 21st Street,,365,12,7/31/85,7/31/22,7/31/21,30,893602,,740043,Beds,8,Palo Alto,Iowa,50536-2229,HOLLY CARTER /,(712) 852-4495,(712) 852-4800,,,16,FALSE,FALSE,FALSE,FALSE
Houser Street Residence,Residential Care Facilities,Closed,Muscatine,1810 Houser Street,nnauman@iowarescare.com,365,12,5/1/01,5/1/10,5/1/09,30,896563,,700555,Beds,8,Muscatine,Iowa,52761-2215,NANCY  NAUMAN /,(563) 263-5594,(563) 262-4007,,5/29/09,155,FALSE,FALSE,FALSE,FALSE
Huskamp Haven,Assisted Living Programs,Active,Algona,300 Riverview Drive,,730,24,8/22/06,8/21/22,8/21/20,24,,,S0242,Units,32,Kossuth,Iowa,50511-3241,Sandy Buscher /,(515) 395-3300,(515) 395-3301,,,34,FALSE,FALSE,FALSE,FALSE
Independence Village of Ames,Assisted Living Programs,Active,Ames,"1325 Coconino Rd, Ste 300",,730,24,4/23/01,4/22/23,4/22/21,24,,,S0041,Units,122,Story,Iowa,50014-7842,Curtis Avison / Administrator,(515) 292-2858,(515) 296-2134,,,28,FALSE,FALSE,FALSE,FALSE
Independence Village of Ankeny AL,Assisted Living Programs,Active,Ankeny,1275 SW State Street,,730,24,11/1/19,10/30/21,10/31/19,24,,,S0419,Units,88,Polk,Iowa,50023,Valorie Oxenfield /,(515) 963-4000,(515) 639-2130,,,7,FALSE,FALSE,FALSE,FALSE
Independence Village Of Pella AL,Assisted Living Programs,Active,Pella,2604 Fifield Road,,730,24,3/21/19,3/20/23,3/20/21,24,,,S0404,Units,68,Marion,Iowa,50219,Lisa White /,(641) 628-8260,(641) 628-4259,,,24,FALSE,FALSE,FALSE,FALSE
Independence Village Of Waukee AL,Assisted Living Programs,Active,Waukee,1654 SE Holiday Crest Circle,,720,24,4/10/07,3/30/23,4/9/21,24,,,S0257,Units,80,Dallas,Iowa,50263-8685,Kristin Beiner /,(515) 987-3625,(515) 987-3265,,,22,FALSE,FALSE,FALSE,FALSE
Indian Creek Independent & Assisted Living Apts.,Assisted Living Programs,Active,Nevada,98 South 6th Street,,730,24,12/22/11,12/21/21,12/22/19,24,,,S0324,Units,36,Story,Iowa,50201,Kathie Muhlenbruch /,(515) 382-6556,(515) 382-1425,,,16,FALSE,FALSE,FALSE,FALSE
Indianola Residential,Residential Care Facilities,Closed,Indianola,401 West Salem Avenue,rlhemness@qwestoffice.net,365,12,10/1/97,10/1/13,10/1/12,30,893818,,910290,Beds,32,Warren,Iowa,50125-0318,JOYCE BONNETT /,(515) 961-2556,(515) 961-1962,,12/5/12,144,FALSE,FALSE,FALSE,FALSE
Insight Human Services,Residential Care Facilities,Closed,Mount Pleasant,"915 South Iris Street, Suite101",tmeyer@henrycountyiowa.us,365,12,5/31/77,5/31/12,6/1/11,30,,,440765,Beds,15,Henry,Iowa,52641-0157,TODD MEYER /,(319) 385-2046,(319) 385-2656,,6/28/12,143,FALSE,FALSE,FALSE,FALSE
Iowa Jewish Senior Life Center,Residential Care Facilities,Closed,Des Moines,900 Polk Boulevard,ijslc@dwx.com,365,12,5/18/87,,,30,,,770384,Beds,15,Polk,Iowa,50312-2225,STEPHEN  BLEND / 01624,(515) 255-5433,(515) 277-8898,,4/15/05,,FALSE,FALSE,FALSE,FALSE
Iowa Veterans Home,Residential Care Facilities,Active,Marshalltown,1301 Summit Street,"Penny.CutlerBermudez@ivh.state.ia.us; 
 Timon.Oujiri@ivh.state.ia.us",365,12,,1/4/22,1/4/21,30,,,640108,Beds,113,Marshall,Iowa,50158-5485,PENNY CUTLER-BERMUDEZ /,(641) 752-1501,(641) 753-4278,,,31,FALSE,FALSE,FALSE,FALSE
Irving Point,Assisted Living Programs,Active,Cedar Rapids,910 7th Avenue SE,,730,24,9/17/08,9/16/22,9/16/20,24,,,S0286,Units,110,Linn,Iowa,52401,Sally Page / Administrator,(319) 294-5007,(319) 337-2430,,,31,FALSE,FALSE,FALSE,FALSE
Jefferson Point,Assisted Living Programs,Closed,North Liberty,45 West Jefferson St.,victoria@burnshousing.com,720,24,1/10/08,1/9/10,1/20/08,24,,,S0267,Units,120,Johnson,Iowa,52317-9050,Victoria Huffman / Director,(319) 626-3263,() -,,9/4/09,156,FALSE,FALSE,FALSE,FALSE
Kathleens Residential Care,Residential Care Facilities,Closed,Emmetsburg,1505 East Fifth Street,JudyC@kathleenscare.com,365,12,,3/2/21,3/2/20,30,892752,,740018,Beds,15,Palo Alto,Iowa,50536-0279,JUDY CURRY /,(712) 852-2267,(712) 852-2362,,2/23/21,26,FALSE,FALSE,FALSE,FALSE
Keelson Harbour Senior Living AL,Assisted Living Programs,Active,Spirit Lake,2810 Aurora Avenue,,730,24,4/19/19,4/18/23,4/18/21,24,,,S0406,Units,134,Dickinson,Iowa,51360,Amber Raveling /,(712) 336-4501,(712) 336-4509,,,25,FALSE,FALSE,FALSE,FALSE
Kennybrook Village,Assisted Living Programs,Active,Grimes,200 Sw Brookside Drive,,730,24,10/4/11,10/3/21,10/4/19,24,,,S0323,Units,68,Polk,Iowa,50111,Jayce Wilson /,(515) 369-3900,(515) 369-3905,,,17,FALSE,FALSE,FALSE,FALSE
Kensington (the),Assisted Living Programs,Active,Fort Madison,2210 Avenue H,,730,24,8/15/18,8/14/22,8/14/20,24,,,S0381,Units,91,Lee,Iowa,52627,Leia Morrison /,(319) 372-4233,(319) 372-7940,,,34,FALSE,FALSE,FALSE,FALSE
Kensington Place,Assisted Living Programs,Active,New Hampton,504 Short Avenue,,730,24,12/3/04,12/3/22,12/3/20,24,,,S0202,Units,68,Chickasaw,Iowa,50659-1867,Amy Orr / Program Director,(641) 394-4153,(641) 394-3708,,,29,FALSE,FALSE,FALSE,FALSE
Kentucky Ridge Neighborhood AL,Assisted Living Programs,Active,Mason City,2060 Kentucky Avenue South,,730,24,9/6/02,9/5/22,9/5/20,24,,,S0153,Units,120,Cerro Gordo,Iowa,50401-7129,Jean  Palmer /,(641) 423-5707,(641) 423-5710,,,31,FALSE,FALSE,FALSE,FALSE
"Kevington Lane, Inc.",Residential Care Facilities,Closed,Sidney,2876 230th Street,aaron@klaasmeyerconsulting.com,365,12,7/1/00,7/1/14,7/1/13,30,896506,,360305,Beds,15,Fremont,Iowa,51652-9785,AARON KLAASMEYER /,(712) 374-2296,(712) 374-2292,,5/22/14,92,FALSE,FALSE,FALSE,FALSE
Keystone Cedars Assisted Living,Assisted Living Programs,Active,Cedar Rapids,6325 Rockwell Drive NE,,730,24,7/19/18,7/18/22,7/18/20,24,,,S0389,Units,122,Linn,Iowa,52402,Amber Gauthier /,(319) 393-9500,(319) 373-7501,,,31,FALSE,FALSE,FALSE,FALSE
Keystone Place At Forevergreen AL,Assisted Living Programs,Active,North Liberty,1275 W. Forevergreen Road,,730,24,10/1/18,9/30/22,9/30/20,24,,,S0393,Units,112,Johnson,Iowa,52317,Lynn Johnson /,(319) 459-1964,(319) 626-2661,,,27,FALSE,FALSE,FALSE,FALSE
Keystone Senior Suites,Assisted Living Programs,Active,Keystone,251 6th St,,730,24,7/1/98,6/29/23,6/29/21,24,,,S0018,Units,24,Benton,Iowa,52249-9538,Tracy Hanson / Administrator,(319) 442-3234,(319) 442-3550,,,21,FALSE,FALSE,FALSE,FALSE
Kingston Court,Assisted Living Programs,Active,Elkader,118 Reimer Street SW,,730,24,8/20/02,8/19/22,8/19/20,24,,,S0152,Units,42,Clayton,Iowa,52043-9558,Sophie Rose / Director,(563) 245-1620,(563) 245-2198,,,10,FALSE,FALSE,FALSE,FALSE
Kingston Hill,Residential Care Facilities,Active,Cedar Rapids,202 12th Street Sw,,365,12,5/16/19,5/16/22,5/16/21,30,,,578962,Beds,12,Linn,Iowa,52405,RACHEL MENARD /,(319) 362-1382,,,,18,FALSE,FALSE,FALSE,FALSE
Kosgrove Estate,Assisted Living Programs,Active,Sioux Center,4155 Us 75,,730,24,5/9/01,5/8/23,5/8/21,24,,,S0115,Units,20,Sioux,Iowa,51250-7522,Kay Kosters /,(712) 722-4972,(712) 722-3294,,,21,FALSE,FALSE,FALSE,FALSE
Kossuth County Care Facility,Residential Care Facilities,Closed,Algona,1906 90th Avenue,,365,12,10/30/02,,,30,,,550826,Beds,46,Kossuth,Iowa,50511-7140,DARLA  MILLER /,(515) 295-2832,(515) 295-7355,,4/17/02,195,FALSE,FALSE,FALSE,FALSE
Lakeside Assisted Living,Assisted Living Programs,Active,Emmetsburg,401 North Lawler Street,,730,24,5/27/14,5/26/22,5/26/20,24,,,S0340,Units,24,Palo Alto,Iowa,50536,Jessica Christensen /,(712) 852-4060,(712) 852-9914,,,3,FALSE,FALSE,FALSE,TRUE
Lakeview Village,Assisted Living Programs,Active,Amana,3012 F Drive,,730,24,1/17/01,1/16/23,1/16/21,24,,,S0103,Units,56,Iowa,Iowa,52203-8224,Kelsie Ballard / Administrator,(319) 622-6500,(319) 622-6046,,,3,FALSE,FALSE,FALSE,FALSE
Lamoni Assisted Living,Assisted Living Programs,Active,Lamoni,810 East Third,,730,24,4/6/07,4/5/23,4/5/21,24,,,S0256,Units,10,Decatur,Iowa,50140-1300,Renee Alley /,(641) 784-8910,(641) 784-8913,,,20,FALSE,FALSE,FALSE,FALSE
Landsmeer Ridge Retirement Comm,Assisted Living Programs,Active,Orange City,"1007 7th Street, Ne",,730,24,5/10/99,5/9/22,5/9/20,24,,,S0037,Units,44,Sioux,Iowa,51041-1190,Kelly Heemstra /,(712) 737-8947,(712) 737-8934,,,38,FALSE,FALSE,FALSE,FALSE
Lawton Senior Living,Assisted Living Programs,Active,Lawton,200 E Char-mac Dr,,730,24,4/8/00,4/8/22,4/8/20,24,,,S0074,Units,50,Woodbury,Iowa,51030-8171,Charlys Folk /,(712) 944-4893,(712) 944-4853,,,9,FALSE,FALSE,FALSE,FALSE
Leahy Grove Independent And Assisted Living,Assisted Living Programs,Active,Hampton,800 Second Street Se,,730,24,12/7/09,12/6/21,12/7/19,24,,,S0305,Units,32,Franklin,Iowa,50441-2626,Kathy Meyer-Albee /,(641) 456-2701,(641) 456-5180,,,17,FALSE,FALSE,FALSE,FALSE
Legacy House,Residential Care Facilities,Closed,Indianola,207 East Salem Avenue,legacyhousercf@yahoo.com,365,12,6/1/04,6/1/19,6/1/18,30,891507,,910498,Beds,15,Warren,Iowa,50125-0000,CINDY  BRUMMER /,(515) 961-5245,(515) 961-5245,,6/22/19,33,FALSE,FALSE,FALSE,FALSE
Legacy Pointe,Assisted Living Programs,Active,Iowa City,1020 S. Scott Blvd.,,730,24,5/9/01,5/8/23,5/8/21,24,,,S0116,Units,136,Johnson,Iowa,52240-5832,Jacobi Feckers /,(319) 341-0911,(319) 341-4324,,,2,FALSE,FALSE,FALSE,FALSE
Leland R Smith Assisted Living Residences,Assisted Living Programs,Active,Wilton,309 Ovesen Drive,,730,24,3/19/04,3/19/22,3/19/20,24,,,S0187,Units,48,Muscatine,Iowa,52778-9605,Laura Brandt / Administer,(563) 732-2086,(563) 732-2465,,,8,FALSE,FALSE,FALSE,FALSE
Liberty Square Care Center,Residential Care Facilities,Closed,Nora Springs,111 South Boulder Avenue,liberty@ahahealthcare.com,365,12,1/1/99,1/1/17,1/2/16,30,894063,,340777,Beds,58,Floyd,Iowa,50458-0519,SIMONE SCHMITT /,(641) 749-5372,(641) 749-2630,,6/30/16,87,FALSE,FALSE,FALSE,FALSE
Lincolnway Villa AL,Assisted Living Programs,Active,Wheatland,320 East Lincolnway,,730,24,4/14/03,4/13/23,4/13/21,24,,,S0171,Units,28,Clinton,Iowa,52777-9731,Michael Weih / Administrator,(563) 374-1295,(563) 374-1107,,,22,FALSE,FALSE,FALSE,FALSE
Lincolnwood Assisted Living,Assisted Living Programs,Active,Edgewood,"302 W Lincoln, Po Box 189",,730,24,6/21/00,6/20/22,6/20/20,24,,,S0082,Units,54,Delaware,Iowa,52042-0189,Sara McCool / Administrator,(563) 928-6461,(563) 928-6462,,,33,FALSE,FALSE,FALSE,FALSE
Linden Place AL,Assisted Living Programs,Active,Waverly,1802 5th Ave Nw,,730,24,7/7/00,7/6/22,7/6/20,24,,,S0088,Units,60,Bremer,Iowa,50677-1903,Chelsey Petersen / Team Leader,(319) 352-8851,(319) 352-8852,,,34,FALSE,FALSE,FALSE,FALSE
Lindens,Assisted Living Programs,Active,Ames,2355 Hamilton Circle,,730,24,5/7/12,5/6/22,5/6/20,24,,,S0327,Units,32,Story,Iowa,50014,Jessica Walker /,(515) 296-5000,(515) 296-5008,,,35,FALSE,FALSE,FALSE,FALSE
Linnwood Estates,Assisted Living Programs,Active,Glenwood,700 North Linn Street,,730,24,5/26/04,5/25/22,5/25/20,24,,,S0191,Units,50,Mills,Iowa,51534-1100,Brandi Bockman /,(712) 527-1035,(712) 527-2771,,,34,FALSE,FALSE,FALSE,FALSE
Longhouse-Northshire Ltd,Residential Care Facilities,Closed,Spencer,711 West 11th Street,,365,12,1/1/99,1/1/20,1/1/19,30,890368,,210065,Beds,15,Clay,Iowa,51301-0177,TIMOTHY  CHRISTY / 1915,(712) 262-2344,(712) 262-3550,,12/31/19,41,FALSE,FALSE,FALSE,FALSE
Lutheran Home Apts,Assisted Living Programs,Active,Vinton,1413 2nd Ave,,730,24,4/17/01,4/16/23,4/16/21,24,,,S0034,Units,36,Benton,Iowa,52349-1695,Christine Smith /,(319) 472-2092,(319) 472-3070,,,22,FALSE,FALSE,FALSE,FALSE
Madrid Home For The Aging,Residential Care Facilities,Closed,Madrid,613 West North Street,kkudej@madridhome.com,365,12,7/16/97,12/30/09,12/30/08,30,,,80797,Beds,20,Boone,Iowa,50156-1059,KEITH  KUDEJ / 2037,(515) 795-3007,(515) 795-2138,,12/31/08,151,FALSE,FALSE,FALSE,FALSE
Maggie's House Assisted Living,Assisted Living Programs,Active,Dewitt,107 E 2nd,,730,24,7/10/00,7/9/22,7/9/20,24,,,S0089,Units,40,Clinton,Iowa,52742-2140,JoElla O'Connell / Director,(563) 659-1678,(563) 659-1618,,,37,FALSE,FALSE,FALSE,FALSE
Main Street Manor,Assisted Living Programs,Active,Swea City,207 3rd Street North,,730,24,9/21/10,9/20/22,9/20/20,24,,,S0312,Units,34,Kossuth,Iowa,50590,John Boughton /,(515) 477-0139,(712) 362-4648,,,1,FALSE,FALSE,FALSE,FALSE
Makee Manor,Residential Care Facilities,Closed,Waukon,877 Highway 9,janellingson@hotmail.com,365,12,11/1/91,11/1/13,11/1/12,30,895743,,30709,Beds,45,Allamakee,Iowa,52172-7757,JAN  ELLINGSON / 01879,(563) 568-4266,(563) 568-6986,,4/17/13,109,FALSE,FALSE,FALSE,FALSE
Mallard View Inc,Residential Care Facilities,Closed,Carroll,17504 Mahogany Avenue,sharikitt@gmail.com,365,12,6/20/90,6/20/11,6/20/10,30,895243,,140647,Beds,47,Carroll,Iowa,51401-9590,SHARI KITT /,(712) 792-3785,(712) 792-9841,,12/5/16,79,FALSE,FALSE,FALSE,FALSE
Malone Creek Estate,Residential Care Facilities,Closed,Independence,2059 Lee Avenue,sdavis3485@yahoo.com,365,12,5/17/88,,,30,894527,,100468,Beds,15,Buchanan,Iowa,50644-9207,SCOTT  DAVIS /,(319) 334-2508,(319) 334-4829,,7/7/00,,FALSE,FALSE,FALSE,FALSE
Manning Senior Living,Assisted Living Programs,Active,Manning,203 11th Street,,730,24,5/25/16,5/25/22,5/25/20,24,,,S0356,Units,53,Carroll,Iowa,51455,Sherry Meyer /,(712) 655-4893,(712) 655-4949,,,27,FALSE,FALSE,FALSE,FALSE
Maple Grove Senior Living,Assisted Living Programs,Active,Centerville,1917 South 18th Street,,730,24,7/3/02,7/2/22,7/2/20,24,,,S0148,Units,30,Appanoose,Iowa,52544-3136,Becky Oposnow / Administrator,(641) 856-6601,(641) 437-4090,,,1,FALSE,FALSE,FALSE,FALSE
Maple Manor Village,Assisted Living Programs,Active,Aplington,343 Parriott,,730,24,6/11/99,6/10/22,6/10/20,24,,,S0048,Units,36,Butler,Iowa,50604-1063,Lisa Forcier / Administrator,(319) 347-1502,(319) 347-6347,,,32,FALSE,FALSE,FALSE,FALSE
Maple Ridge AL,Assisted Living Programs,Active,Mt Ayr,1500 East South Street,,730,24,2/4/02,2/3/22,2/4/20,24,,,S0136,Units,24,Ringgold,Iowa,50854-2262,Travis Hinz /,(641) 464-3204,(641) 464-3723,,,39,FALSE,FALSE,FALSE,FALSE
Maples Assisted Living,Assisted Living Programs,Active,Fayette,98 Bolger Drive,,730,24,4/30/04,4/29/22,4/29/20,24,,,S0204,Units,26,Fayette,Iowa,52142-9716,Angelique Vagts / Administrator,(563) 425-4160,(563) 425-4401,,,38,FALSE,FALSE,FALSE,FALSE
Marilyn Ott Center,Residential Care Facilities,Closed,Cresco,21668 80th Street,pat.ogden@westernhome.org,365,12,1/26/95,7/1/16,7/2/15,30,894956,,450478,Beds,49,Howard,Iowa,52136-8412,Patrick Ogden /,(563) 547-2398,(563) 547-4274,,6/30/16,61,FALSE,FALSE,FALSE,FALSE
Marion County Care Facility Of Tenco,Residential Care Facilities,Closed,Knoxville,1111 Newbold Street,"sgehlhaar@tenco.org; bwright@tenco.org; 
 camason@tenco.org",365,12,,6/1/18,6/1/17,30,,,630531,Beds,15,Marion,Iowa,50138-1836,STEPHANIE GEHLHAAR /,(641) 828-6281,() -,,10/18/17,68,FALSE,FALSE,FALSE,FALSE
Mark Residential Care Facility,Residential Care Facilities,Closed,Chariton,309 South Grand,,365,12,11/22/85,,,30,893990,,590089,Beds,11,Lucas,Iowa,50049-2122,LETTIE  MARK /,(641) 774-4431,() -,,12/1/04,201,FALSE,FALSE,FALSE,FALSE
Marshall County Care Facility,Residential Care Facilities,Closed,Marshalltown,2369 Jessup Avenue,,365,12,,,,30,,,640359,Beds,0,Marshall,Iowa,50158-0000,DELAINE  AVIS / PROV,(641) 754-6324,() -,,10/1/97,,FALSE,FALSE,FALSE,FALSE
Martina Place,Assisted Living Programs,Active,Johnston,5815 Winwood Dr,,730,24,6/1/97,5/31/23,5/31/21,24,,,S0002,Units,120,Polk,Iowa,50131-1666,Adam Braden /,(515) 251-7999,(515) 331-8860,,,21,FALSE,FALSE,FALSE,FALSE
Mason City Group Home,Residential Care Facilities,Active,Mason City,695 South Illinois,"sarahbeyer@comprehensivesystems.org; 
 melissabollman@comprehensivesystems.org",365,12,7/20/84,7/20/21,7/20/20,30,893339,,170064,Beds,15,Cerro Gordo,Iowa,50401-0000,SARAH BEYER /,(641) 423-4513,(641) 423-6875,,,35,FALSE,FALSE,FALSE,FALSE
Mayflower Home,Assisted Living Programs,Active,Grinnell,927 1st Ave,,730,24,4/2/02,4/1/22,4/1/20,24,,,S0071,Units,17,Poweshiek,Iowa,50112-2480,JULIE SMITH /,(641) 236-6151,(641) 236-6154,,,38,FALSE,FALSE,FALSE,FALSE
Mayflower Home,Residential Care Facilities,Active,Grinnell,616 Broad Street,kmcgriff@mayflowerhomes.com,365,12,,12/5/21,12/5/20,30,893347,,790277,Beds,23,Poweshiek,Iowa,50112-2267,KELLIE MCGRIFF / 002556,(641) 236-6151,(641) 236-6154,,,37,FALSE,FALSE,FALSE,FALSE
Mccall Residential Care,Residential Care Facilities,Closed,Oskaloosa,709 A Avenue East,dixieray@mchsi.com,365,12,5/1/93,5/1/15,5/1/14,30,,,620798,Beds,9,Mahaska,Iowa,52577-0532,DIXIE  MCCALL / 798,(641) 673-7328,() -,,10/1/15,91,FALSE,FALSE,FALSE,FALSE
Meadows (the),Assisted Living Programs,Active,Manchester,200 Mccarren Dr,,730,24,3/8/00,3/8/22,3/8/20,24,,,S0069,Units,74,Delaware,Iowa,52057-0000,Katie Edgington / Administrator,(563) 927-6467,(563) 927-8436,,,9,FALSE,FALSE,FALSE,FALSE
Meadows Assisted Living,Assisted Living Programs,Active,Clarion,1302 South Main Street,,730,24,1/17/06,1/16/22,1/17/20,24,,,S0225,Units,42,Wright,Iowa,50525-2091,Ryan Lobdell / Administrator,(515) 532-2035,(515) 532-9304,,,16,FALSE,FALSE,FALSE,FALSE
